"TID","FI"
"TID_FIREWORKS_ULTI","RAKETTIKUURO"
"TID_FIREWORKS_ULTI_DESC","Brock tulittaa rakettiryöpyn, joka kaataa vastustajia ja esteitä. Oletko nähnyt Brockin jammailevan? Se on sadetanssi, joka tietää rakettikuuroa."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike viskaa kaksi räjähtävää dynamiittipötköä. Hänen superhyökkäyksensä on kokonainen dynamiittitynnyri, joka tuhoaa suojapaikkoja."
"TID_MORTAR","SYTYTYSLANKA"
"TID_MORTAR_DESC","Mike heittää kaksi dynamiittipötköä, jotka kiitävät vaivatta yli esteiden. Sytytyslangat ovat yhtä lyhyet kuin Miken pinna, kun hän hermostuu!"
"TID_MORTAR_ULTI","ISO PAMAUS"
"TID_MORTAR_ULTI_DESC","Kookas dynamiittitynnyri räjäyttää piilopaikat taivaan tuuliin. Pamaus tyrmää jäljellä olevat viholliset!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo lataa ryöpyn nyrkiniskuja vastustajaansa. Hänen supervoimansa on tuhoisa loikalla vauhditettu kyynärisku."
"TID_LUCHADOR_WEAPON","RAIVONYRKIT"
"TID_LUCHADOR_WEAPON_DESC","El Primo nakuttaa menemään neljä napakkaa nyrkiniskua. Siinä vasta tulinen pikku rystyburrito!"
"TID_LUCHADOR_ULTI","LENTÄVÄ KYYNÄRISKU"
"TID_LUCHADOR_ULTI_DESC","El Primo loikkaa korkeuksiin ja pudottaa galaktisen kyynärpäänsä, joka tyrmää lähistöllä olevia vihollisia ja tuhoaa suojapaikkoja."
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet ampuu ryöpyn luoteja, jotka kimpoavat seinistä. Hänen supervoimansa on laaja seinämä pomppivia ammuksia, jotka lävistävät vastustajan."
"TID_TRICKSHOT_DUDE_WEAPON","POMPPUPANOKSET"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricochetin luodit pomppaavat seinistä ja saavat siten lisää kantamaa. Ne voivat osua piilotteleviinkin vastustajiin."
"TID_TRICKSHOT_DUDE_ULTI","TAITOLAUKAUS"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet tulittaa pitkän luotiryöpyn, joka lävistävää vastustajia ja pomppaa seinistä saaden näin lisää kantamaa."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike heittelee kaktuskranaatteja, joista lentää piikkejä. Supervoimallaan hän kylvää kaktuskentän, joka hidastaa ja vahingoittaa vastustajia."
"TID_CACTUS_WEAPON","KAKTUSKRANAATTI"
"TID_CACTUS_WEAPON_DESC","Spike sinkoaa matkaan pienen kaktuksen, joka räjähtää ja ampuu piikkejä sinne sun tänne."
"TID_CACTUS_ULTI","PIIKKIMATTO"
"TID_CACTUS_ULTI_DESC","Spike sinkoaa piikikkään kranaatin. Räjähdysalueella olevat vastustajat vahingoittuvat ja hidastuvat."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley hyökkää paiskomalla vastustajaansa pulloilla, joiden roiskeet aiheuttavat vahinkoa. Hänen supervoimansa on joukko palavia pulloja."
"TID_BARKEEP_WEAPON","VÄKEVÄ PAUKKU"
"TID_BARKEEP_WEAPON_DESC","Barley nakkaa pullon, joka hajoaa maahan. Vastustajat vahingoittuvat roiskeista, ja lätäkössä seisoskelu aiheuttaa lisää tuhoa."
"TID_BARKEEP_ULTI","VALOMERKKI"
"TID_BARKEEP_ULTI_DESC","Barley humauttaa matkaan joukon palavia pulloja, ja laaja alue peittyy liekkeihin. Talo tarjoaa tämän kierroksen!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Jessien sokkikivääri ampuu energiakenttiä, jotka pomppaavat vastustajasta toiseen. Supertaidollaan hän lähettää matkaan suloisen mutta kuolettavan tykkitornin."
"TID_MECHANIC_WEAPON","SOKKIKIVÄÄRI"
"TID_MECHANIC_WEAPON_DESC","Jessie ampuu energiakentän, joka maaliin osuttuaan ponnahtaa seuraavaan kantaman sisällä olevaan kohteeseen. Se voi osua jopa kolmeen vastustajaan."
"TID_MECHANIC_ULTI","ROMUREKKU"
"TID_MECHANIC_ULTI_DESC","Jessie lähettää matkaan tykkitornin, joka ampuu vastustajia automaattisesti. Se on 100-prosenttisesti kierrätystuote!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita jyräyttää vastustajaansa intensiivisellä paineaallolla. Supervoimallaan hän kutsuu avukseen valtavan karhun."
"TID_SHAMAN_WEAPON","SOKKIAALTO"
"TID_SHAMAN_WEAPON_DESC","Nita lähettää sokkiaallon, joka vahingoittaa vastustajia värähtelyllä."
"TID_SHAMAN_ULTI","KARHUN KUTSU"
"TID_SHAMAN_ULTI_DESC","Nita kutsuu suuren karhunpoikasen hengen mukaan vihollisjahtiin."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis syöksyy eteenpäin lapionheilautus kerrallaan. Supervoimansa avulla hän lähettää matkaan lepakkoparven, joka vahingoittaa vastustajia ja parantaa häntä itseään."
"TID_UNDERTAKER_WEAPON","LAPION HEILAUTUS"
"TID_UNDERTAKER_WEAPON_DESC","Mortis syöksyy eteenpäin heiluttaen lapiotaan letkeästi potentiaalisten uusien asiakkaiden toivossa."
"TID_UNDERTAKER_ULTI","VERENIMIJÄT"
"TID_UNDERTAKER_ULTI_DESC","Mortis kutsuu paikalle parven vampyyrilepakoita, jotka imevät vastustajan elinvoimaa ja palauttavat hänen omansa. Karmeaa!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow sinkauttaa matkaan kolme myrkkytikaria. Hänen supervoimansa on loikka, jonka alussa ja lopussa hän heittää tikareita."
"TID_CROW_WEAPON","KOLMOISSTILETTI"
"TID_CROW_WEAPON_DESC","Crow paiskoo kolmoisuhan tikareillaan. Vastustaja, jota myrkkytikari viiltää, vahingoittuu ajan mittaan."
"TID_CROW_ULTI","SURMANSYÖKSY"
"TID_CROW_ULTI_DESC","Crow tavoittelee taivaita ja heittää ympärilleen myrkkytikareita sekä nousun että laskeutumisen aikana."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco vahingoittaa vastustajiaan ääniaalloilla. Supervoimallaan hän parantaa sekä itseään että joukkuekavereitaan."
"TID_DEAD_MARIACHI_WEAPON","RIITASOINTU"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco rämpyttää kitaraansa ja lähettää matkaan vavisuttavia ääniaaltoja. Vastustajat, joihin aallot koskevat, vahingoittuvat."
"TID_DEAD_MARIACHI_ULTI","KERTOSÄE"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco parantaa piristävällä laululla itseään ja kaikkia kuuloetäisyydellä olevia kavereitaan. Vastustajaan laulu ei vaikuta."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo ampuu vastustajiaan kohti kolme räjähtävää nuolta. Supervoimaansa käyttäessään hän piilottaa maahan kolme räjähtävää miinaa."
"TID_BOW_DUDE_WEAPON","HAUKAN KATSE"
"TID_BOW_DUDE_WEAPON_DESC","Bo lähettää matkaan kolme räjähtävää nuolta, jotka raatelevat vastustajaa kuin kotkan kynnet."
"TID_BOW_DUDE_ULTI","RÄJÄHDEANSA"
"TID_BOW_DUDE_ULTI_DESC","Bo piilottaa räjähtäviä ansoja maahan. Vastustajan laukaisemana ansa räjähtää pienen viiveen jälkeen ja tyrmää ja vahingoittaa vastustajia."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Piperin tarkka-ampujan laukaukset tekevät sitä enemmän vahinkoa, mitä pidemmälle ne lentävät. Supervoimallaan hän tiputtaa jalkojensa juureen kranaatteja ja loikkaa itse loitommalle."
"TID_SNIPER_WEAPON","VARJOPYSSY"
"TID_SNIPER_WEAPON_DESC","Piper ampuu tarkka-ampujan luodin päivävarjonsa kärjestä. Mitä pidemmälle laukaus matkustaa, sitä enemmän siinä on ytyä."
"TID_SNIPER_ULTI","LEIDIN LOIKKA"
"TID_SNIPER_ULTI_DESC","Piper pomppii loitommalle tunkeilevista kosiskelijoista. Hän on kuitenkin oikea leidi, joka lähettää sydämellisenä läksiäislahjana kolme kranaattia!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam ampuu lonkalta, ja vastustaja saa maistaa annoksen sirpaleita. Hänen supervoimansa on parantava tykkitorni, joka palauttaa elinvoimaa hänelle itselleen ja joukkuekavereille."
"TID_MINIGUN_DUDE_WEAPON","ROMUMYRSKY"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam lennättää metalliromua ryöppyinä laajalle alueelle. Suosittelemme suojalasien käyttöä!"
"TID_MINIGUN_DUDE_ULTI","LINTUKOTO"
"TID_MINIGUN_DUDE_ULTI_DESC","Pamin parantava tykkitorni hoitaa kuntoon hänet itsensä sekä vaikutusalueella olevat joukkuekaverit."
"TID_BONE_THROWER","LUUNHEITTÄJÄ"
"TID_BONE_THROWER_DESC","Tässä tykkikaverissa ei ole mitään minimaalista! Massiivista konekivääriä näppärästi käyttelevä Minigunner voi niittää melkein miten monta vastustajaa tahansa. (Hidasliikkeinen, immuuni työntämiselle)"
"TID_BONE_THROWER_WEAPON","PIKKUPYSSY"
"TID_BONE_THROWER_WEAPON_DESC","Minigunner tekee tämän valtavan konekiväärin käyttämisestä helppoa. Hän voi jopa kävellä tulittaessaan automaatilla!"
"TID_BONE_THROWER_ULTI","LAASTARISÄILIÖ"
"TID_BONE_THROWER_ULTI_DESC","Toisinaan tiukassa tulitaistelussa saa naarmuja ja ruhjeita. Laastarisäiliö pitää koko joukkueen taistelukunnossa!"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","Tara sivaltaa vastustajiaan kolmoiskorttihyökkäyksellä. Hänen supervoimansa on musta aukko, johon imeytyessään vastustajat vahingoittuvat."
"TID_BLACK_HOLE_WEAPON","KOLMOSET"
"TID_BLACK_HOLE_WEAPON_DESC","Tara heittää kolme sivaltavaa tarot-korttia vihollisia kohti yhdellä ranneliikkeellä. Aikamoinen korttitemppu!"
"TID_BLACK_HOLE_ULTI","MUSTA AUKKO"
"TID_BLACK_HOLE_ULTI_DESC","Tara luo hämmästyttäviä mustia aukkoja! Vaikutusalueella olevat vastustajat imeytyvät aukkoon ja törmäävät kivuliaasti toisiinsa."
"TID_TURRET_DAMAGE","Tykkitornin tuhovoima"
"TID_TURRET_HEALTH","Tykkitornin elinvoima"
"TID_STAT_DAMAGE_PER_SECOND","Tuhovoima sekunnissa"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Tuhovoima sekunnissa"
"TID_STAT_DAMAGE_PER_STRIKE","Tuhovoima iskua kohti"
"TID_ROBOT","APULAISSHERIFFI IRONS"
"TID_ROBOT_DESC","Luotu palvelemaan. Palveluksessa tuhotakseen."
"TID_ROBOT_WEAPON","SALARAKETTI"
"TID_ROBOT_WEAPON_DESC","Apulaissheriffi Irons ampuu räjähtävän raketin mittaviin etäisyyksiin mekaanisella tarkkuudella."
"TID_ROBOT_ULTI","JOUKKOJEN HALLINTA"
"TID_ROBOT_ULTI_DESC","Kun tarvitaan äärimmäisiä toimenpiteitä, apulaissheriffi Irons voi ampua rakettisuihkun kohti hallitsemattomia joukkoja."
"TID_ARMOR_STAT","Elinvoima"
"TID_HEALTH","Elinvoima"
"TID_STAT_GRENADE_DAMAGE","Tuhovoima kranaattia kohti"
"TID_STAT_MISSILE_DAMAGE","Tuhovoima rakettia kohti"
"TID_STAT_HEALTH","Osumapisteet"
"TID_STAT_SPEED","Nopeus"
"TID_STAT_DAMAGE","Tuhovoima"
"TID_STAT_DAMAGE_PER_SHOT","Tuhovoima luotia kohti"
"TID_STAT_DAMAGE_PER_SHELL","Tuhovoima ammusta kohti"
"TID_STAT_HAMMER_DAMAGE","Tuhovoima 0,2 s kohti"
"TID_BATTLE","PELAA"
"TID_QUIT","Poistu"
"TID_MATCHMAKING_QUIT","Poistu"
"TID_MATCHMAKING_HEADING","Etsitään pelaajia"
"TID_MATCHMAKING_TIME_LABEL","Ottelun alkamiseen"
"TID_MATCHMAKING_PLAYERS","<x>/<y> pelaajaa löydetty"
"TID_BUTTON_CANCEL","Peruuta"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Tervetuloa Brawl Starsiin!"
"TID_ENTER_NAME_BODY","Mikä on nimesi?"
"TID_TIME_DAYS","p"
"TID_TIME_HOURS","t"
"TID_TIME_MINS","min"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Aikaa aloitukseen <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Yhdistetty"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Yhdistä"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Kirjaudu"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Pelaa kirjautumatta"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Haluatko ladata toisen pelin, joka on kokemustasolla <number>? Lataa se kirjautumalla sisään Supercell ID:lläsi."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Virhe!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Asiakasta ja palvelinta ei ole synkronoitu!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Lataa peli uudelleen"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Yhteysvirhe"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Yhteyden muodostaminen palvelimeen ei onnistu. Tarkista internet-yhteytesi ja yritä uudelleen."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Kirjautuminen epäonnistui"
"TID_ERROR_POP_UP_LOGIN_FAILED","Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Onko siellä ketään?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Napauta alla olevaa painiketta ladataksesi pelin uudelleen."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Lataa peli uudelleen"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Uusi päivitys saatavilla!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Hyviä uutisia! Pelistä on saatavilla uusi versio!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Päivitä"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Huoltokatko"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Palvelimet ovat valitettavasti huollettavana. Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_BANNED_TITLE","Sinut on estetty!"
"TID_ERROR_POP_UP_BANNED","Sinut on estetty väliaikaisesti."
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Ota yhteyttä tukeen"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Lisätietoja"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Tärkeä ilmoitus"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Starsia voi pelata ilmaiseksi, mutta voit myös nopeuttaa etenemistäsi pelinsisäisten ostojen avulla. (Voit estää ostot laitteesi asetuksissa.) Hyväksy käyttöehdot ja yksityisyyskäytäntö napauttamalla OK."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Palvelinvirhe <number>"
"TID_SERVER_ERROR","Yhteytesi katkesi ottelun aikana."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_COME_BACK_NOTIFICATION_SMALL","Mites olisi toinen ottelu?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Mites olisi toinen ottelu?"
"TID_COME_BACK_NOTIFICATION_LARGE","Mites olisi toinen ottelu?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Yhteys katkesi"
"TID_ERROR_POP_UP_CONNECTION_LOST","Yritä kirjautua uudelleen!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Yritä kirjautua uudelleen"
"TID_TROPHIES","Pokaalit"
"TID_PRACTICE","HARJOITUS"
"TID_READY","Valmis"
"TID_BATTLE_END_TITLE_VICTORY","VOITTO!"
"TID_BATTLE_END_TITLE_DEFEAT","TAPPIO"
"TID_BATTLE_END_TITLE_DRAW","Tasapeli"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","Selviydyit <TIME>."
"TID_BATTLE_END_DEATHMATCH_VICTORY","Olet ykkönen!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Sijoitus: <RANK>."
"TID_BATTLE_END_TVST_DRAW_DESC","Ottelu päättyi tasapeliin, sillä molemmat joukkueet keräsivät saman määrän jalokiviä!"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Mahtirämäpää kukistettu ajassa <TIME>."
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","Selviydyit <TIME>."
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","HAASTE: TASOSTA <LEVEL> SELVIYDYTTY!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","TAPPIO"
"TID_BATTLE_END_RETURN_HOME","POISTU"
"TID_BATTLE_END_NEXT","Seuraava"
"TID_BATTLE_END_TAP","jatka napauttamalla"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","HARJOITUKSISTA EI SAA POKAALEJA"
"TID_BATTLE_END_XP_CAPPED","Kaikki kokemus on kerätty tältä päivältä."
"TID_BATTLE_END_PLAY_AGAIN","PELAA UUDELLEEN"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","PERUUTA"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> liittyi joukkueeseesi."
"TID_RESPAWNING","Takaisin otteluun:\n<n1>"
"TID_TEAMS_POPUP_TITLE","JOUKKUEET"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Jengi- ja kaverijoukkueet"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","LIITY JENGIIN JA NÄET AKTIIVISET PELIT"
"TID_TEAMS_POPUP_SEARCH","LIITY KOODILLA"
"TID_TEAMS_POPUP_CREATE","PERUSTA JOUKKUE"
"TID_TEAM_SEARCH_POPUP_TITLE","LIITY JOUKKUEESEEN KOODILLA"
"TID_TEAM_SEARCH_POPUP_SEARCH","LIITY"
"TID_TEAM_JOIN_ROOM_CODE","Syötä joukkuekoodi tähän..."
"TID_TEAM_CHANGE_MAP","MUUTA"
"TID_TEAM_TYPE_INFO_0","Sijalla"
"TID_TEAM_TYPE_INFO_1","Ystävyysottelu"
"TID_TEAM_TYPE_INFO_2","Pääsylipun vaativa"
"TID_TEAM_MEMBER_LEFT_0","Poistuit joukkueesta."
