"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent","CanGrowStronger"
"ShamanProjectile",2500,"sc/effects.sc","shaman_ptojectile","shaman_ptojectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,200,,,,,0,1,20,100,,,,,,"Shaman_trail","true",,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,,,
"DummyProjectileForLaserBall",2300,"sc/effects.sc","projectile_small_blue","projectile_small_red",,"projectile_light","projectile_light_red",,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,20,100,,,,,,"Gen_Trail_small","true",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"MechanicTurretProjectile",3200,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerUltiProjectile",2500,"sc/effects.sc","bat_clump_projectile","bat_clump_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,400,,,,,0,1,20,100,,,,,,"Bats","true",,,,"true",,,,,,,,,,,,,,,,,100,"true",,,,
"CrowProjectile",3000,"sc/effects.sc","throwing_knife","throwing_knife_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",0,,,,,0,2,20,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,100,,,
"CrowUltiProjectile",3000,"sc/effects.sc","throwing_knife_spinning","throwing_knife_spinning_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",0,,,,,0,1,20,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,100,,,
"DeadMariachiProjectile",1800,"sc/effects.sc","soundwave","soundwave","soundwave",,,,,,"Mariachi_hit","Mariachi_hit",,150,,,,,0,4,20,100,,,,,,"Mariachi_soundwaves_trail","true",,,,"true",,,,,,,,,,,,,,,,,,,,250,,
"DeadMariachiUltiProjectile",2400,"sc/effects.sc","Hammer_ptojectile","Hammer_ptojectile_red",,,,,,,"Mariachi_hit","Mariachi_hit",,400,,,,,0,1,20,100,,,,,,"Mariachi_ulti_trail","true",,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,"true",,400,100,
"BowDudeSpawnMineProjectile",2200,"sc/effects.sc","ballistic_minearrow_projectile","ballistic_minearrow_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,350,2,20,100,,,,,,"Plasma_Trail","true",,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,
"BowDudeProjectile",2400,"sc/effects.sc","bomb_arrow","bomb_arrow_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,4,20,100,,"BowDudeExplosion",,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"SniperProjectile",3800,"sc/effects.sc","sniper_bullet_blue","sniper_bullet_red","projectile_shadow",,,,,,"sniper_hit","sniper_hit","no_hit",50,,,,,0,3,20,100,,,,,,"Sniper_Trail","true",,,,,,,,,,,,,10,100,,,,,,,,,,,,"true"
"MinigunDudeProjectile",3800,"sc/effects.sc","scrap_prjectile","scrap_prjectile_red","scrap_shadown",,,,,,"Trash_hit","Trash_hit","no_hit",50,,,,,0,2,20,100,2,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeUltiProjectile",1100,"sc/effects.sc","helstation_projectile_blue","helstation_projectile_red","projectile_shadow",,,,,,,,,0,"true",,,,120,3,20,100,,,,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorProjectile",3000,"sc/effects.sc","primo_fist_blue","Primo_fist_red","projectile_shadow_big",,,,,,,"Lucha_hit",,150,,,,,0,1,20,80,,,,,,"lucha_smoke_Trail","true",,,"Use360Frames","true",,,,,,,,,,,,,,20,100,,,,,,,
"BlackHoleProjectile",2900,"sc/effects.sc","playing_card","playing_card_red","projectile_shadow",,,,,,"blackhole_hit_envy","Gen_hit","blackhole_no_hit",50,,,,,0,2,20,100,,,,,,"sparkle_trail","true",,,,"true",,,,,,,,,,,,,,,,,,,,,,
"BlackHoleUltiProjectile",1400,"sc/effects.sc","black_hole_projectile","black_hole_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,145,1,20,100,,"BlackHoleUltiSuck","BlackHoleUltiExplosion",,,"sparkle_trail_dark","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,
"BarrelBotProjectile",2800,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeProjectile",2400,"sc/effects.sc","electricity_ball","electricity_ball_red",,,,,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,2,20,100,,,,,,"electricity_Trail","true",,,,,,,,,3,100,16,"ArtilleryDudeProjectile2",,,,,,,,,,,,,,
"ArtilleryDudeProjectile2",3800,"sc/effects.sc","electricity_ball","electricity_ball_red",,,,,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,2,20,100,,,,,,"electricity_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeUltiProjectile",1100,"sc/effects.sc","turret_projectile","turret_projectile","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeTurretProjectile",400,"sc/effects.sc","bottle_blue","bottle_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,30,1,20,100,1,"ArtilleryDudeTurretExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlPetProjectile",2600,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackHolePetProjectile",2600,"sc/effects.sc","playing_card","playing_card_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CoopRangedEnemyProjectile",2100,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",100,,,,,0,2,20,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BossProjectile",2100,"sc/effects.sc","rocket1_projectile_blue","rocket1_projectile_red","projectile_shadow",,,,,,"explosion_rocket_rose","explosion_rocket_rose","explosion_rocket_rose",150,,,,,0,2,20,130,,,,,,"Rocket_Trail",,,,"Use360Frames",,,,,,,,,,,,,,,,,,,,,,,
