"Name","Character","PetSkin","CostGems","TID","Model","BlueTexture","RedTexture","BlueSpecular","RedSpecular","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyAnimLoop","SadAnim","SadAnimLoop","SignatureAnim","UiPoseAnim","EnterAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","IdleFace","WalkFace","HappyFace","SadFace","SignatureFace","UiPoseFace","HeadRotationIngame","HatScaleIngame"
"TrickshotDefault","TrickshotDude",,,"TID_TRICKSHOT_DEFAULT_SKIN","rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaWin","RickosheaUipose","RickosheaIdle",,,,,,,,,,0,100
"CactusDefault","Cactus",,,"TID_CACTUS_DEFAULT_SKIN","cactus_geo.scw:cactus_arms1+cactus_body1+cactus_flower1+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusWin","CactusUipose","CactusIdle",,,,,,,,,,0,100
"CactusPink","Cactus",,100,"TID_CACTUS_PINK_SKIN","cactusPink_geo.scw:cactus_arms1+cactus_body1+cactus_flowergirl+cactus_flowergirl001+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusWin","CactusUipose","CactusIdle",,,,,,,,,,0,100
"BarkeepDefault","Barkeep",,,"TID_BARKEEP_DEFAULT_SKIN","barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepWin","BarkeepUipose","BarkeepIdle",,,,,,,,,,0,100
"MechanicDefault","Mechanic","TurretDefault",,"TID_MECHANIC_DEFAULT_SKIN","junker_geo.scw:female_eyebrows1+junker_backpack1+junker_beltbuckle1+junker_body1+junker_gun1+junker_hat1+junker_head1","junker_d_01.pvr","junker_d_01.pvr","junker_d_01.pvr","junker_d_01.pvr","JunkerIdle","JunkerWalk","JunkerPrimary","JunkerUltiAttack","JunkerRecoil",,"JunkerUltiRecoil",,"JunkerReload","JunkerPushback","JunkerWin","JunkerWinloop","JunkerLose","JunkerLoseloop","JunkerWin","JunkerUipose","JunkerIdle",,,,"JunkerFace","JunkerFace","JunkerDreamyFace","JunkerDreamyFace","JunkerFace","JunkerDreamyFace",0,100
"ShamanDefault","Shaman","ShamanBearDefault",,"TID_SHAMAN_DEFAULT_SKIN","shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanUipose","ShamanIdle",,,,,,,,,,0,100
"ShamanPanda","Shaman","ShamanBearPanda",20,"TID_SHAMAN_PANDA_SKIN","shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanUipose","ShamanIdle",,,,,,,,,,0,100
"ShamanBearDefault","ShamanPet",,,,"bear_geo.scw","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,0,100
"ShamanBearPanda","ShamanPet",,,,"bear_geo.scw","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,0,100
"UndertakerDefault","Undertaker",,,"TID_UNDERTAKER_DEFAULT_SKIN","basic_tall_geo.scw:body+legs+shovel","undertaker_tex.pvr","undertaker_tex.pvr","undertaker_tex.pvr","undertaker_tex.pvr","UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerLose","UndertakerLoseloop","UndertakerWin","UndertakerUipose","UndertakerIdle",,,,,,,,,,0,100
"CrowDefault","Crow",,,"TID_CROW_DEFAULT_SKIN","crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowRecoil",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowUipose","CrowIdle",,,,"CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace",0,100
"CrowWhite","Crow",,100,"TID_CROW_WHITE_SKIN","crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowRecoil",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowUipose","CrowIdle",,,,"CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace",0,100
"DeadMariachiDefault","DeadMariachi",,,"TID_DEADMARIACHI_DEFAULT_SKIN","mariachi_geo.scw:Body+Guitar+Head","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","MariachiIdle","MariachiWalk","MariachiAttack","MariachiSecondary","MariachiRecoil",,"MariachiRecoil",,"MariachiReload","MariachiPushback","MariachiWin","MariachiWinloop","MariachiLose","MariachiLoseloop","MariachiWin","MariachiWin","MariachiIdle",,,,,,,,,,0,100
"BowDudeDefault","BowDude",,,"TID_BOW_DEFAULT_SKIN","bowdude_geo.scw:head+body+shoes+quiver+bow+arrow+eagle_hat","bowman_blue_tex.pvr","bowman_tex.pvr","bowman_blue_tex.pvr","bowman_tex.pvr","BowGuyIdle","BowGuyWalk","BowGuyAttack","BowGuySecondary","BowGuyRecoil",,"BowGuyRecoil2",,,"BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyLose","BowGuyLoseloop","BowGuyWin","BowGuyUIpose","BowGuyIdle",,,,,,,,,,0,100
"SniperDefault","Sniper",,,"TID_SNIPER_DEFAULT_SKIN","sniper_geo.scw:gunbrella_01+head_01+bow_01+body_01","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperRecoil",,"SniperRecoil",,"SniperReload","SniperPushback","SniperWin","SniperWinloop","SniperLose","SniperLoseloop","SniperWin","SniperWin","SniperIdle",,,,,,,,,,0,100
"MinigunDudeDefault","MinigunDude","HealstationDefault",,"TID_MINIGUN_DEFAULT_SKIN","minigunner_geo.scw:body+head+nozzle+hose+backpack","missJ_tex.pvr","missJ_tex.pvr","missJ_tex.pvr","missJ_tex.pvr","MinigunnerIdle","MinigunnerWalk","MinigunnerPrimary","MinigunnerSecondary","MinigunnerRecoil",,"MinigunnerRecoil2",,"MinigunnerReload","MinigunnerPushback","MinigunnerWin","MinigunnerWinloop","MinigunnerLose","MinigunnerLoseloop","MinigunnerWin","MinigunnerUipose","MinigunnerIdle",,,,"PamFace","PamFace","PamFace","PamFace","PamFace","PamFace",0,100
"BullGuyHair","BullDude",,20,"TID_BULL_HAIR_SKIN","bull_geo.scw:body+gun","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockWin","BullRockUipose","BullRockIdle",,,,"BullFace","BullFace","BullFace","BullFace","BullFace","BullFace",0,100
"TrickshotGold","TrickshotDude",,20,"TID_TRICKSHOT_GOLD_SKIN","rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaWin","RickosheaUipose","RickosheaIdle",,,,,,,,,,0,100
"BarkeepGold","Barkeep",,20,"TID_BARKEEP_GOLD_SKIN","barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepWin","BarkeepUipose","BarkeepIdle",,,,,,,,,,0,100
"LuchadorRudo","Luchador",,20,"TID_LUCHADOR_RUDO_SKIN","louchador_geo.scw:body+buckle1+wings","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorUipose","LouchadorIdle",,,,,,,,,,0,100
"BanditGirlBandita","ShotgunGirl",,20,"TID_SHOTGUN_BANDITA_SKIN","shelly_geo.scw:body+gun+head","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyWin","ShellyUipose","ShellyIdle",,,,"ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace",0,100
"LuchadorRey","Luchador",,50,"TID_LUCHADOR_KING_SKIN","louchador_geo.scw:body+buckle2+kingcrown1+kingcape1+kingcapeback1+kingpin1","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorUipose","LouchadorIdle",,,,,,,,,,0,100
"BallDefault","LaserBall",,,,"ball_geo.scw","ball_tex.pvr","ball_tex.pvr","ball_tex.pvr","ball_tex.pvr","Ball","Ball","Ball","Ball","Ball",,"Ball",,"Ball",,,"Ball",,"Ball",,"Ball","Ball",,,,,,,,,,0,100
"BlackholeDefault","BlackHole",,,"TID_BLACKHOLE_DEFAULT_SKIN","ninja_geo.scw:body+cape+head+card001+card002+card003+card004+card005+card006","ninja_tex.pvr","ninja_red_tex.pvr","ninja_tex.pvr","ninja_red_tex.pvr","NinjaIdle","NinjaWalk","NinjaPrimary","NinjaSecondary","NinjaRecoil",,"NinjaRecoil2",,"NinjaReload","NinjaPushback","NinjaWin","NinjaWinloop","NinjaLose","NinjaLoseloop","NinjaWin","NinjaUipose","NinjaIdle",,,,"TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace",0,100
"HealstationDefault","HealingStation",,,,"healstation_geo.scw:body+healy","healstion_tex.pvr","healstion_red_tex.pvr","healstion_tex.pvr","healstion_red_tex.pvr","Turret","Turret","Turret","Turret","Turret",,"Turret",,"Turret",,,"Turret",,"Turret",,"Turret","Turret",,,,,,,,,,0,100
"BarrelbotDefault","BarrelBot",,,"TID_BARRELBOT_DEFAULT_SKIN","barrelbot_geo.scw:body+guns+head+hat+hands","barrelbot_tex.pvr","barrelbot_tex_red.pvr","barrelbot_tex.pvr","barrelbot_tex_red.pvr","BarrelbotIdle","BarrelbotWalk","BarrelbotPrimary","BarrelbotSecondary","BarrelbotRecoil","BarrelbotRecoil2","BarrelbotRecoil",,"BarrelbotReload","BarrelbotPushback","BarrelbotWin","BarrelbotWinloop","BarrelbotLose","BarrelbotLoseloop","BarrelbotWinloop","BarrelbotUipose","BarrelbotHide",,,,,,,,,,0,100
"BlackholePetDefault","BlackHolePet",,,,"ninja_geo.scw:body+cape+head+card001+card002+card003+card004+card005+card006","ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr","NinjaIdle","NinjaWalk","NinjaPrimary","NinjaSecondary","NinjaRecoil",,"NinjaRecoil2",,"NinjaReload","NinjaPushback","NinjaWin","NinjaWinloop","NinjaLose","NinjaLoseloop","NinjaWin","NinjaUipose","NinjaIdle",,,,"TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace",0,100
"ShellyPetDefault","ShotgunGirlPet",,,,"bear_geo.scw","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,0,100
"RangedBotDefault",,,,,"rangedbot_geo.scw:head+body+Gun","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","RangedBotIdle","RangedBotWalk","RangedBotPrimary","RangedBotSecondary","RangedBotRecoil",,"RangedBotRecoil",,"RangedBotReload","RangedBotPushback","RangedBotWin","RangedBotWinloop","RangedBotLose","RangedBotLoseloop","RangedBotWin","RangedBotUipose","RangedBotIdle",,,,,,,,,,0,100
"MeleeFastBotDefault",,,,,"fastmeleebot_geo.scw:robo_geo","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","FastMeleeBotIdle","FastMeleeBotWalk","FastMeleeBotIdle","FastMeleeBotIdle","FastMeleeBotRecoil",,"FastMeleeBotRecoil",,,"FastMeleeBotPushback","FastMeleeBotWin","FastMeleeBotWinloop","FastMeleeBotLose","FastMeleeBotLoseloop","FastMeleeBotWin","FastMeleeBotUipose","FastMeleeBotIdle",,,,,,,,,,0,100
"MeleeBotDefault",,,,,"meleebot_geo.scw:body+head","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","MeleeBotIdle","MeleeBotWalk","MeleeBotIdle","MeleeBotIdle","MeleeBotRecoil","MeleeBotRecoil2","MeleeBotRecoil",,,"MeleeBotPushback","MeleeBotWin","MeleeBotWinloop","MeleeBotLose","MeleeBotLoseloop","MeleeBotWin","MeleeBotUipose","MeleeBotIdle",,,,,,,,,,0,100
"BossBotDefault",,,,,"bossbot_geo.scw:body+head+hands","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","BossBotIdle","BossBotWalk","BossBotIdle","BossBotIdle","BossBotPrimary",,"BossBotIdle",,,"BossBotPushback","BossBotWin","BossBotWinloop","BossBotLose","BossBotLoseloop","BossBotWin","BossBotUipose","BossBotIdle","BossBotIdle","BossBotRecoil","BossBotRecoil2",,,,,,,0,100
