"Name","Disabled","ItemName","WeaponSkill","UltimateSkill","Pet","Speed","Hitpoints","MeleeAutoAttackSplashDamage","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackProjectileSpread","AutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","UltiChargeMul","UltiChargeUltiMul","Type","DamagerPercentFromAliens","DefaultSkin","FileName","BlueExportName","RedExportName","ShadowExportName","AreaEffect","DeathAreaEffect","TakeDamageEffect","DeathEffect","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffect2","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","EndScreenScale","HeroScreenXOffset","HeroScreenZOffset","CollisionRadius","HealthBar","HealthBarOffsetY","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ForceAttackAnimationToEnd","IconSWF","IconExportName","RecoilAmount","Homeworld","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","ShowEnemyInMenus","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus"
"TntDude",,"dynamike","TntDudeWeapon","TntDudeUlti",,650,2800,,,,,,,,12,,120,100,"Hero",,"TntGuyDefault",,,,,,,"takedamage_gen","death_tnt_dude","Gen_move_fx","reload_tnt_dude","No_ammo_shotgungirl",,,,,,,,,"Tnt_guy_kill_vo","Tnt_guy_lead_vo","Tnt_guy_start_vo","Tnt_guy_ulti_vo","Tnt_guy_hurt_vo","Tnt_guy_die_vo",,35,,80,80,,,35,130,110,80,,,120,"Medium",-42,,350,,,"TID_TNT_DUDE",,"sc/ui.sc","hero_icon_mike",0,"human","footstep",25,200,100,"true","true","true",2,1,3
"Luchador",,"elprimo","LuchadorWeapon","LuchadorUlti",,650,5600,,,,,,,,12,,120,120,"Hero",,"LuchadorDefault",,,,,,,"takedamage_gen","death_luchador","Gen_move_fx",,"No_ammo_shotgungirl",,,"Gen_hit_melee",,,,,,"El_primo_kill","El_primo_lead","El_primo_start","El_primo_ulti","El_primo_hurt","El_primo_die","El_primo_atk",50,50,80,80,,,35,110,93,80,,,145,"Medium",-60,,350,,,"TID_LUCHADOR",,"sc/ui.sc","hero_icon_primo",0,"human","footstep",40,250,130,,,,1,3,2
"Undertaker",,"mortis","UndertakerWeapon","UndertakerUlti",,650,2800,,,,,,,,12,,120,120,"Hero",,"UndertakerDefault",,,,,,,"takedamage_gen","death_undertaker","Gen_move_fx","reload_undertaker","No_ammo_shotgungirl",,,,,,,,,,,,,,,,50,,80,80,,,35,110,100,80,,,120,"Medium",-55,,350,,,"TID_UNDERTAKER",,"sc/ui.sc","hero_icon_mortis",0,"human","footstep",25,350,165,,,,1,2,3
"Crow",,"crow","CrowWeapon","CrowUlti",,750,2400,,,,,,,,12,,150,150,"Hero",,"CrowDefault",,,,,,,"takedamage_gen","death_crow","Gen_move_fx","reload_crow","No_ammo_shotgungirl","crow_dryfire",,,,,,,,,,,,,,,45,,80,80,,,35,110,100,80,,,120,"Medium",-38,,350,,,"TID_CROW",,"sc/ui.sc","hero_icon_crow",0,"human","footstep",20,200,100,"true","true",,2,1,3
"DeadMariachi",,"poco","DeadMariachiWeapon","DeadMariachiUlti",,650,3200,,,,,,,,12,,150,150,"Hero",,"DeadMariachiDefault",,,,,,,"takedamage_gen","death_dead_mariachi","Gen_move_fx","reload_dead_mariachi","No_ammo_shotgungirl",,,,,,,,,,,,,,,,20,,80,80,,,35,110,100,80,,,120,"Medium",-45,,0,,,"TID_DEAD_MARIACHI",,"sc/ui.sc","hero_icon_poco",0,"human","footstep",25,250,100,,,,1,3,2
"BowDude",,"bo","BowDudeWeapon","BowDudeUlti",,650,3200,,,,,,,,12,,95,95,"Hero",,"BowDudeDefault",,,,,,,"takedamage_gen","death_bow_dude","Gen_move_fx","reload_bow_dude","No_ammo_shotgungirl","dry_fire_bowdude",,,,,,,,,,,,,,,45,,80,80,,,35,100,90,80,,,120,"Medium",-55,,350,,,"TID_BOW_DUDE",,"sc/ui.sc","hero_icon_bo",0,"human","footstep",30,300,100,,"true",,1,2,3
"Sniper",,"piper","SniperWeapon","SniperUlti",,650,2400,,,,,,,,12,,90,90,"Hero",,"SniperDefault",,,,,,,"takedamage_gen","death_sniper","Gen_move_fx","reload_sniper","No_ammo_shotgungirl",,,,,,,,,"Piper_Kill","Piper_Lead","Piper_Start","Piper_Ulti","Piper_Takedamage","Piper_Die",,45,,80,80,,,35,110,100,90,,,120,"Medium",-45,,350,,,"TID_SNIPER",,"sc/ui.sc","hero_icon_piper",100,"human","footstep",25,400,160,,,,2,3,1
"MinigunDude",,"pam","MinigunDudeWeapon","MinigunDudeUlti",,650,4000,,,,,,,,12,,130,130,"Hero",,"MinigunDudeDefault",,,,,,,"takedamage_gen","death_minigun","Gen_move_fx","reload_minigun","No_ammo_shotgungirl","Minig_dryfire",,,,,,,,,,,,,,,40,,80,80,,,35,90,80,70,-300,,145,"Medium",-55,,350,,,"TID_MINIGUN_DUDE",,"sc/ui.sc","hero_icon_mj",400,"human","footstep",30,400,130,,,,1,3,2
"BlackHole",,"tara","BlackHoleWeapon","BlackHoleUlti","BlackHolePet",650,3200,,,,,,,,12,,90,90,"Hero",,"BlackholeDefault",,,,,,,"takedamage_gen","death_blackhole","Gen_move_fx","reload_blackhole","No_ammo_shotgungirl","Mystic_dryfire",,,,,,,,,,,,,,,50,,80,80,,,35,110,100,90,,,120,"Medium",-55,,350,,,"TID_BLACK_HOLE",,"sc/ui.sc","hero_icon_taro",400,"human","footstep",30,400,130,,,,1,2,3
"BarrelBot",,"barrelbot","BarrelBotWeapon","BarrelBotUlti",,650,4400,,,,,,,,12,,120,120,"Hero",,"BarrelbotDefault",,,,,,,"takedamage_gen","death_barrel_bot","Gen_move_fx","reload_barrel_bot","No_ammo_shotgungirl",,,,,,,,,,,,,,,,50,150,80,80,,,35,90,80,80,,,145,"Medium",-50,,350,,,"TID_BARREL_BOT",,"sc/ui.sc","hero_icon_barrelbot",600,"human","footstep",40,300,130,,,,1,2,3
"TutorialDummy",,,,,,0,1600,,,,,,,,12,,,,"Minion_Building",,"BullGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,"No_ammo_shotgungirl",,,,,,,,,,,,,,,,35,,80,80,,,35,110,,,,,145,"Medium",-45,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"TutorialDummy2",,,,,,0,1600,,,,,,,,12,,,,"Minion_Building_charges_ulti",,"BullGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,,,,,,,,,,,,,,,,,35,,80,80,,,35,110,,,,,145,"Medium",-45,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"MechanicTurret",,,,,,0,2800,,300,240,,,30,"MechanicTurretProjectile",27,,,,"Minion_Building",,"TurretDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion",,,,,"SpawnTurret",,"turret_attack",,,,,,,,,,,,35,,75,75,,,25,110,75,,320,,120,"Medium",-30,,150,,,,,,,,,"footstep",25,400,160,,,,,,
"HealingStation",,,,,,0,3600,,,,,,,,12,,,,"Minion_Building",,"HealstationDefault",,,,,"HealingStationHeal",,"nuts_bolts_metal_small","nuts_bolts_metal_explosion",,,,,"SpawnTurret",,,,,,,,,,,,,,,,75,75,,,25,100,50,,475,,120,"Medium",-45,,300,,,,,,,,,"footstep",25,400,160,,,,,,
"Safe1",,,,,,0,18000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,,,,,,,100,-100,0,0,0,80,,,,,160,"Medium",-45,,300,,,,,,,,,"footstep",25,400,160,,,,,,
"Safe2",,,,,,0,22000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,,,,,,,100,-100,0,0,0,100,,,,,160,"Medium",-45,,300,,,,,,,,,"footstep",25,400,160,,,,,,
"Safe3",,,,,,0,26000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,,,,,,,100,-100,0,0,0,100,,,,,160,"Medium",-45,,300,,,,,,,,,"footstep",25,400,160,,,,,,
"Safe4",,,,,,0,30000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,,,,,,,100,-100,0,0,0,100,,,,,160,"Medium",-45,,300,,,,,,,,,"footstep",25,400,160,,,,,,
"ExplodingBarrel",,,,,,0,12000,,,,,,,,,,,,"Minion_Building",,,"sc/level.sc","tnt_box","tnt_box","tnt_box_shadow",,"ExplodingBarrelExplosion",,,,,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,100,,,,,145,"Medium",-45,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"PoisonBarrel",,,,,,0,2,,,,,,,,,,,,"Minion_Building",,,"sc/chr_comtower.sc","toxic_barrel_1","toxic_barrel_1","blocking4_mid_shadow",,"PoisonBarrelExplosion",,,,,,,,,,,,,,,,,,,,,35,,80,80,,,35,100,,,,,145,,,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"ShamanPet",,,,,,500,4000,,600,400,,,,,6,,,,"Minion_FindEnemies",,"ShamanBearDefault",,,,,,,,"death_bull_dude","Gen_move_fx",,,,"bear_spawn",,"bear_attack",,,,,,,,,,,,30,,85,80,,,25,100,75,,250,-1250,145,"Medium",-58,,,,,,,,,,,"footstep",25,250,160,,,,,,
"BoneThrowerPet",,,,,,800,2800,,300,160,,,,,4,800,,,"Minion_Dog",,"RocketGirlDefault",,,,,,,,,"Gen_alien_move_fx",,,,,,,,,,,,,,,,,,,,85,80,,,25,80,,,,,120,"Medium",-40,,,,,,,,,,,"footstep",25,400,160,,,,,,
"LaserBall",,,,,,0,1,,,,,,,,,,,,"LaserBall",,"BallDefault",,,,,,,,"laser_ball_goal",,,,,,,,,,,,,,,,,,,,,80,80,,,25,170,,,,,120,,,,,,,,,,,,,,,,160,,,,,,
"LootBox",,,,,,0,6000,,,,,,,,,,,,"LootBox",,,"sc/level.sc","powerup_barrel","powerup_barrel","powerup_barrel_shadow",,,,"Gen_wood_explosion",,,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,100,,,,,145,"Medium",-40,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"TutorialDummy3",,,,,,0,200,,,,,,,,12,,,,"Minion_Building_charges_ulti",,"TntGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,,,,,,,,,,,,,,,,,35,,80,80,,,35,110,,,,,145,"Medium",-45,,350,,,,,,,,,"footstep",25,400,160,,,,,,
"ArtilleryDudeTurret",,,,,,0,2800,,3000,800,,,130,"ArtilleryDudeTurretProjectile",40,,,,"Minion_Building",,"TurretDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion",,,,,"SpawnTurret",,"artillery_dude_turret_attack",,,,,,,,,,,,35,,75,75,,,25,110,150,,,,120,"Medium",-30,,150,,,,,,,,,"footstep",25,400,160,,,,,,
"CoopMeleeEnemy1",,,,,,500,4800,,400,260,,,,,5,,,,"Minion_FindEnemies",,"MeleeBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,70,85,80,,,25,120,200,,,,120,"Medium",-50,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopMeleeEnemy2",,,,,,500,6800,,400,470,,,,,5,,,,"Minion_FindEnemies",,"MeleeBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,70,85,80,,,25,140,200,,,,145,"Medium",-55,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopMeleeEnemy3",,,,,,500,11000,,400,600,,,,,6,,,,"Minion_FindEnemies",,"MeleeBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,70,85,80,,,25,160,200,,,,170,"Medium",-60,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopMeleeEnemy4",,,,,,500,13500,,400,730,,,,,6,,,,"Minion_FindEnemies",,"MeleeBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,70,85,80,,,25,180,200,,,,195,"Medium",-65,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopFastMeleeEnemy1",,,,,,800,3000,,600,400,,,,,5,,,,"Minion_FindEnemies",,"MeleeFastBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_fast_melee_attack",,,,,,,,,,,,30,,85,80,,,25,100,200,,,,100,"Medium",-40,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopFastMeleeEnemy2",,,,,,800,5400,,600,720,,,,,5,,,,"Minion_FindEnemies",,"MeleeFastBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_fast_melee_attack",,,,,,,,,,,,30,,85,80,,,25,120,200,,,,120,"Medium",-45,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopFastMeleeEnemy3",,,,,,800,6900,,600,920,,,,,6,,,,"Minion_FindEnemies",,"MeleeFastBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_fast_melee_attack",,,,,,,,,,,,30,,85,80,,,25,140,200,,,,140,"Medium",-50,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopFastMeleeEnemy4",,,,,,800,8400,,600,1120,,,,,6,,,,"Minion_FindEnemies",,"MeleeFastBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_fast_melee_attack",,,,,,,,,,,,30,,85,80,,,25,160,200,,,,160,"Medium",-55,,,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopRangedEnemy1",,,,,,650,3000,,1400,630,,,30,"CoopRangedEnemyProjectile",27,,,,"Minion_FindEnemies",,"RangedBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_ranged_attack",,,,,,,,,,,,30,,85,80,,,25,120,200,,,,100,"Medium",-45,,350,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopRangedEnemy2",,,,,,650,5400,,1400,1130,,,30,"CoopRangedEnemyProjectile",27,,,,"Minion_FindEnemies",,"RangedBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_ranged_attack",,,,,,,,,,,,30,,85,80,,,25,140,200,,,,120,"Medium",-50,,350,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopRangedEnemy3",,,,,,650,6900,,1400,1450,,,30,"CoopRangedEnemyProjectile",27,,,,"Minion_FindEnemies",,"RangedBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_ranged_attack",,,,,,,,,,,,30,,85,80,,,25,160,200,,,,140,"Medium",-55,,350,,,,,,,,,"footstep",25,250,130,,,,,,
"CoopRangedEnemy4",,,,,,650,8400,,1400,1760,,,30,"CoopRangedEnemyProjectile",27,,,,"Minion_FindEnemies",,"RangedBotDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion","Gen_move_fx",,,,,,"coop_ranged_attack",,,,,,,,,,,,30,,85,80,,,25,180,200,,,,160,"Medium",-60,,350,,,,,,,,,"footstep",25,250,130,,,,,,
"ShotgunGirlPet",,,,,,600,2400,,600,400,,,30,"ShotgunGirlPetProjectile",22,320,,,"Minion_FollowOwner",,"ShellyPetDefault",,,,,,,,"death_shotgun_girl","Gen_move_fx",,,,,,"bear_attack",,,,,,,,,,,,30,,85,80,,,25,40,200,,,,60,"Medium",-10,,,,,,,,,,,"footstep",25,250,160,,,,,,
"BlackHolePet",,,,,,800,1600,,600,200,,,,,4,,,,"Minion_FindEnemies",,"BlackholePetDefault",,,,,,,,"death_shotgun_girl",,,,,"bear_spawn",,"bear_attack",,,"sparkle_trail_dark_minion",,,,,,,,,30,,85,80,,,25,90,200,,,,60,"Medium",-40,,,,,,,,,,,,25,250,160,,,,,,
"CoopBoss1",,,"BossRapidFire","BossCharge",,500,43000,,1000,1500,,,,,7,,,,"Npc_Boss",,"BossBotDefault",,,,,,,"nuts_bolts_metal_small","boss_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,150,85,80,,,25,200,200,,,,220,"Medium",-80,,500,,,,,,,,,"footstep",25,250,160,,,,,,
"CoopBoss2",,,"BossRapidFire","BossCharge",,500,51000,,1000,1600,,,,,7,,,,"Npc_Boss",,"BossBotDefault",,,,,,,"nuts_bolts_metal_small","boss_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,150,85,80,,,25,250,200,,,,250,"Medium",-100,,500,,,,,,,,,"footstep",25,250,160,,,,,,
"CoopBoss3",,,"BossRapidFire","BossCharge",,500,59000,,1000,1700,,,,,7,,,,"Npc_Boss",,"BossBotDefault",,,,,,,"nuts_bolts_metal_small","boss_explosion","Gen_move_fx",,,,,,"coop_melee_attack",,,,,,,,,,,,30,150,85,80,,,25,300,200,,,,280,"Medium",-120,,500,,,,,,,,,"footstep",25,250,160,,,,,,
