"Name","BehaviorType","CanMoveAtSameTime","Targeted","Cooldown","ActiveTime","CastingTime","CastingRange","MaxCastingRange","RechargeTime","MaxCharge","Damage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","AlwaysCastAtMaxRange","Projectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","SpawnedItem","IconSWF","IconExportName","LargeIconSWF","LargeIconExportName","ButtonSWF","ButtonExportName","AttackEffect","UseEffect","EndEffect","LoopEffect","ChargeMoveSound"
"TrickshotDudeUlti","Attack","true","true",50,1250,,60,,,,320,100,20,1,1,,"true",,,,,,,"TrickshotDudeUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","trickshot_dude_attack_ulti",,,,
"CactusWeapon","Attack","true","true",250,150,,23,,2200,3,480,100,,,1,,"true",,,,,,,"CactusProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","cactus_attack",,,,
"CactusUlti","Attack","true","true",250,150,,23,,,,400,100,0,,1,,"true",,,,,,,"CactusUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","cactus_attack_ulti",,,,
"BarkeepWeapon","Attack","true","true",250,150,,22,,2000,3,560,100,0,,1,,"true",,,,,,,"BarkeepProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button","barkeep_attack",,,,
"BarkeepUlti","Attack","true","true",250,1050,,28,,,,480,200,100,,1,,"true",,,,,,,"BarkeepUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","barkeep_attack_ulti",,,,
"MechanicWeapon","Attack","true","true",250,150,,27,,2000,3,720,100,0,,1,,"true",,,,,,,"MechanicProjectile1",,,,,,,,,"sc/ui.sc","rapid_fire_button","mechanic_attack",,,,
"MechanicUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"MechanicUltiProjectile","MechanicTurret",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","mechanic_ulti",,,,
"ShamanWeapon","Attack","true","true",250,150,,18,,1250,3,680,100,0,,1,,"true",,,,,,,"ShamanProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shaman_attack",,,,
"ShamanUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"ShamanUltiProjectile","ShamanPet",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","shaman_ulti",,,,
"TntDudeWeapon","Attack","true","true",250,150,,22,,1700,3,720,100,30,,2,,"true",,,,,,,"TntDudeProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button","tnt_attack",,,,
"TntDudeUlti","Attack","true","true",250,150,,22,,,,2000,100,0,,1,,"true",,,,,,,"TntDudeUltiProjectile",,,,,,"skillicon_dynamite_ulti",,,"sc/ui.sc","plasma_bomb_button","tnt_attack_ulti",,,,
"LuchadorWeapon","Attack","true","true",50,650,,9,,800,3,320,150,0,,1,"true",,,,,,,,"LuchadorProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","luchador_attack",,,,
"LuchadorUlti","Charge",,"true",50,,,27,,,,800,,,,,,,130,1600,3,,,,,,,,,,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"luchador_ulti","luchador_ulti_ground_hit",,
"UndertakerWeapon","Charge",,"true",0,,,9,,2500,3,640,,,,,,,,2700,4,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"undertaker_attack",,,
"UndertakerUlti","Attack","true","true",0,200,,30,,,,800,150,,,1,,,,,,,,,"UndertakerUltiProjectile",,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","undertaker_attack_ulti",,,,
"CrowWeapon","Attack","true","true",250,150,,26,,1500,3,320,100,45,,3,,"true",,,,,,,"CrowProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","crow_attack",,,,
"CrowUlti","Charge",,"true",50,,,26,,,,320,,,,,,,0,3700,2,,,,,,"CrowUltiKnifes",,,,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"crow_ulti",,,
"DeadMariachiWeapon","Attack","true","true",250,150,,19,,2000,3,640,100,130,,4,,"true",,,,,,,"DeadMariachiProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","dead_mariachi_attack",,,,
"DeadMariachiUlti","Attack","true","true",250,150,,28,,,,1840,100,130,,3,,"true",,,,,,,"DeadMariachiUltiProjectile",,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","dead_mariachi_attack_ulti",,,,
"BowDudeWeapon","Attack","true","true",50,650,,26,,1700,3,400,200,30,2,1,,,,,,,,,"BowDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","bow_dude_attack",,,,
"BowDudeUlti","Attack","true","true",50,250,,26,,,,1440,200,,,1,,,,,,1,1,,"BowDudeSpawnMineProjectile",,,,"BoxOfMines",,"skillicon_build_bigger_turret",,,"sc/ui.sc","button_mine","bow_dude_ulti",,,,
"SniperWeapon","Attack","true","true",250,150,,35,,3000,3,1680,100,0,,1,,"true",,,,,,,"SniperProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","sniper_attack",,,,
"SniperUlti","Charge",,"true",50,,,26,,,,800,,,,,,,0,1500,6,1,1,,,,,,"BoxOfBombs",,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"sniper_ulti","sniper_landing_smoke_ring",,
"MinigunDudeWeapon","Attack","true","true",50,1150,,27,,1600,3,160,100,60,3,1,,"true",,,,,,,"MinigunDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","minigun_attack",,,,
"MinigunDudeUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"MinigunDudeUltiProjectile","HealingStation",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","button_mine","minigun_ulti",,,,
"BlackHoleWeapon","Attack","true","true",250,150,,24,,2000,3,400,100,50,,3,,"true",,,,,,,"BlackHoleProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","blackhole_attack",,,,
"BlackHoleUlti","Attack","true","true",250,150,,20,,,,560,100,0,,1,,"true",,,,,,,"BlackHoleUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","blackhole_ulti",,,,
"BarrelBotWeapon","Attack","true","true",50,550,,18,,2000,3,320,250,80,,4,"true","true",,,,,,,"BarrelBotProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","barrel_bot_attack",,,,
"BarrelBotUlti","Charge",,"true",50,,,70,,,,640,,,,,,,70,2800,7,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"barrel_bot_ulti",,"barrel_bot_ulti_loop","Barrelbot_step"
"ArtilleryDudeWeapon","Attack","true","true",250,150,,18,,2000,3,640,100,0,,1,,"true",,,,,,,"ArtilleryDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","artillery_dude_attack",,,,
"ArtilleryDudeUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"ArtilleryDudeUltiProjectile","ArtilleryDudeTurret",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","artillery_dude_ulti",,,,
"Warp","Blink","true","true",8000,,,19,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","item_icon_teleport",,,"sc/ui.sc","button_teleport",,,,,
"Invisibility","Invisibility","true",,15000,5000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","button_sprint",,,,,
"SupplyCrate","Attack","true","true",40000,,1000,14,,,,,,,,,,,,,,,,,,,,,"SupplyCrate",,,,,"sc/ui.sc","button_mine",,,,,
"Bow","Attack","true","true",500,150,,20,40,,,600,100,0,,,,"true",,,,,,,,,,,,,,,,"sc/ui.sc","rapid_fire_button","laser_attack",,,,
"BouncingForceBall","Attack","true","true",900,150,,80,,,,560,100,,,,,"true",,,,,,,,,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","laser_attack",,,,
"DummySkillForLaserBall","Attack","true","true",250,150,,24,,,,,100,,,1,,"true",,,,,,,"DummyProjectileForLaserBall",,,,,,,,,,,"laser_ball_throw",,,,
"DummyUltiSkillForLaserBall","Attack","true","true",250,150,,36,,,,,100,,,1,,"true",,,,,,,"DummyProjectileForLaserBall",,,,,,,,,,,"laser_ball_throw_ulti",,,,
"BossRapidFire","Attack",,"true",50,1850,,32,,1250,3,900,300,90,3,1,,,,,,,,,"BossProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","coop_boss_ranged_attack",,,,
"BossCharge","Charge",,"true",50,,1000,33,,,,1400,,,,,,,130,1800,1,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,,,"bull_dude_ulti_loop",
