"Name","IconSWF","IconExportName","Target","MetaType","RequiresCard","Type","Skill","Value","Value2","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName"
"Mechanic_abi","sc/ui.sc","attack_icon","Mechanic",2,,"skill","MechanicWeapon",,,"common","TID_MECHANIC_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Mechanic_ulti","sc/ui.sc","ulti_icon","Mechanic",3,,"skill","MechanicUlti",,,"common","TID_MECHANIC_ULTI","TID_TURRET_DAMAGE","TID_TURRET_HEALTH","genicon_damage","genicon_health"
"Shaman_unlock","sc/ui.sc",,"Shaman",0,,"unlock",,,,"common",,,,,
"Shaman_hp","sc/ui.sc","health_icon","Shaman",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Shaman_abi","sc/ui.sc","attack_icon","Shaman",2,,"skill","ShamanWeapon",,,"common","TID_SHAMAN_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Shaman_ulti","sc/ui.sc","ulti_icon","Shaman",3,,"skill","ShamanUlti",,,"common","TID_SHAMAN_ULTI","TID_BEAR_DAMAGE","TID_BEAR_HEALTH","genicon_damage","genicon_health"
"TntDude_unlock","sc/ui.sc",,"TntDude",0,,"unlock",,,,"common",,,,,
"TntDude_hp","sc/ui.sc","health_icon","TntDude",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"TntDude_abi","sc/ui.sc","attack_icon","TntDude",2,,"skill","TntDudeWeapon",,,"common","TID_MORTAR","TID_STAT_PER_DYNAMITE",,"genicon_damage",
"TntDude_ulti","sc/ui.sc","ulti_icon","TntDude",3,,"skill","TntDudeUlti",,,"common","TID_MORTAR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Luchador_unlock","sc/ui.sc",,"Luchador",0,,"unlock",,,,"common",,,,,
"Luchador_hp","sc/ui.sc","health_icon","Luchador",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Luchador_abi","sc/ui.sc","attack_icon","Luchador",2,,"skill","LuchadorWeapon",,,"common","TID_LUCHADOR_WEAPON","TID_STAT_DAMAGE_PER_STRIKE",,"genicon_damage",
"Luchador_ulti","sc/ui.sc","ulti_icon","Luchador",3,,"skill","LuchadorUlti",,,"common","TID_LUCHADOR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Undertaker_unlock","sc/ui.sc",,"Undertaker",0,,"unlock",,,,"mega_epic",,,,,
"Undertaker_hp","sc/ui.sc","health_icon","Undertaker",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Undertaker_abi","sc/ui.sc","attack_icon","Undertaker",2,,"skill","UndertakerWeapon",,,"common","TID_UNDERTAKER_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Undertaker_ulti","sc/ui.sc","ulti_icon","Undertaker",3,,"skill","UndertakerUlti",,,"common","TID_UNDERTAKER_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Crow_unlock","sc/ui.sc",,"Crow",0,,"unlock",,,,"legendary",,,,,
"Crow_hp","sc/ui.sc","health_icon","Crow",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Crow_abi","sc/ui.sc","attack_icon","Crow",2,,"skill","CrowWeapon",,,"common","TID_CROW_WEAPON","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",
"Crow_ulti","sc/ui.sc","ulti_icon","Crow",3,,"skill","CrowUlti",,,"common","TID_CROW_ULTI","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",
"DeadMariachi_unlock","sc/ui.sc",,"DeadMariachi",0,,"unlock",,,,"super_rare",,,,,
"DeadMariachi_hp","sc/ui.sc","health_icon","DeadMariachi",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"DeadMariachi_abi","sc/ui.sc","attack_icon","DeadMariachi",2,,"skill","DeadMariachiWeapon",,,"common","TID_DEAD_MARIACHI_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"DeadMariachi_ulti","sc/ui.sc","ulti_icon","DeadMariachi",3,,"skill","DeadMariachiUlti",,,"common","TID_DEAD_MARIACHI_ULTI","TID_STAT_HEAL",,"genicon_health",
"BowDude_unlock","sc/ui.sc",,"BowDude",0,,"unlock",,,,"super_rare",,,,,
"BowDude_hp","sc/ui.sc","health_icon","BowDude",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BowDude_abi","sc/ui.sc","attack_icon","BowDude",2,,"skill","BowDudeWeapon",,,"common","TID_BOW_DUDE_WEAPON","TID_STAT_DAMAGE_PER_ARROW",,"genicon_damage",
"BowDude_ulti","sc/ui.sc","ulti_icon","BowDude",3,,"skill","BowDudeUlti",,,"common","TID_BOW_DUDE_ULTI","TID_STAT_DAMAGE_PER_MINE",,"genicon_damage",
"Sniper_unlock","sc/ui.sc",,"Sniper",0,,"unlock",,,,"epic",,,,,
"Sniper_hp","sc/ui.sc","health_icon","Sniper",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Sniper_abi","sc/ui.sc","attack_icon","Sniper",2,,"skill","SniperWeapon",,,"common","TID_SNIPER_WEAPON","TID_STAT_MAX_DAMAGE",,"genicon_damage",
"Sniper_ulti","sc/ui.sc","ulti_icon","Sniper",3,,"skill","SniperUlti",,,"common","TID_SNIPER_ULTI","TID_STAT_DAMAGE_PER_BOMB",,"genicon_damage",
"MinigunDude_unlock","sc/ui.sc",,"MinigunDude",0,,"unlock",,,,"epic",,,,,
"MinigunDude_hp","sc/ui.sc","health_icon","MinigunDude",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"MinigunDude_abi","sc/ui.sc","attack_icon","MinigunDude",2,,"skill","MinigunDudeWeapon",,,"common","TID_MINIGUN_DUDE_WEAPON","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"MinigunDude_ulti","sc/ui.sc","ulti_icon","MinigunDude",3,,"skill","MinigunDudeUlti",,,"common","TID_MINIGUN_DUDE_ULTI","TID_STAT_HEALING_PER_SEC","TID_TURRET_HEALTH","genicon_heal","genicon_health"
"BlackHole_unlock","sc/ui.sc",,"BlackHole",0,,"unlock",,,,"mega_epic",,,,,
"BlackHole_hp","sc/ui.sc","health_icon","BlackHole",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BlackHole_abi","sc/ui.sc","attack_icon","BlackHole",2,,"skill","BlackHoleWeapon",,,"common","TID_BLACK_HOLE_WEAPON","TID_STAT_DAMAGE_PER_CARD",,"genicon_damage",
"BlackHole_ulti","sc/ui.sc","ulti_icon","BlackHole",3,,"skill","BlackHoleUlti",,,"common","TID_BLACK_HOLE_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"BarrelBot_unlock","sc/ui.sc",,"BarrelBot",0,,"unlock",,,,"super_rare",,,,,
"BarrelBot_hp","sc/ui.sc","health_icon","BarrelBot",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BarrelBot_abi","sc/ui.sc","attack_icon","BarrelBot",2,,"skill","BarrelBotWeapon",,,"common","TID_BARREL_BOT_WEAPON","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"BarrelBot_ulti","sc/ui.sc","ulti_icon","BarrelBot",3,,"skill","BarrelBotUlti",,,"common","TID_BARREL_BOT_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"ShotgunGirl_unique","sc/ui.sc","icon_eiuD","ShotgunGirl",4,,"freeze",,60,350,"common","TID_SPEC_ABI_FREEZE",,,"genicon_health",
"Gunslinger_unique","sc/ui.sc","icon_eiuD","Gunslinger",4,,"speed",,100,,"common","TID_SPEC_ABI_SPEED",,,"genicon_health",
"BullDude_unique","sc/ui.sc","icon_eiuD","BullDude",4,,"berserker",,30,,"common","TID_SPEC_ABI_BERSERKER",,,"genicon_health",
"RocketGirl_unique","sc/ui.sc","icon_eiuD","RocketGirl",4,,"main_attack_burn",,160,,"common","TID_SPEC_BURN",,,"genicon_health",
"TrickshotDude_unique","sc/ui.sc","icon_eiuD","TrickshotDude",4,,"bounced_bullets_stronger",,100,,"common","TID_SPEC_BOUNCED_BULLETS_STRONGER",,,"genicon_health",
"Cactus_unique","sc/ui.sc","icon_eiuD","Cactus",4,,"cactus_heal",,600,,"common","TID_SPEC_ABI_CACTUS_HEAL",,,"genicon_health",
"Barkeep_unique","sc/ui.sc","icon_eiuD","Barkeep",4,,"heal_self_main_attack",,100,,"common","TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK",,,"genicon_health",
"Mechanic_unique","sc/ui.sc","icon_eiuD","Mechanic",4,,"repair_turret",,600,,"common","TID_SPEC_ABI_REPAIR_TURRET",,,"genicon_health",
"Shaman_unique","sc/ui.sc","icon_eiuD","Shaman",4,,"pet_lifesteal",,180,180,"common","TID_SPEC_ABI_PET_LIFESTEAL",,,"genicon_health",
"TntDude_unique","sc/ui.sc","icon_eiuD","TntDude",4,,"pushback_self",,972,,"common","TID_SPEC_ABI_PUSHBACK_SELF",,,"genicon_health",
"Luchador_unique","sc/ui.sc","icon_eiuD","Luchador",4,,"fire_dot_ulti",,400,,"common","TID_SPEC_ABI_FIRE_DOT_ULTI",,,"genicon_health",
"Undertaker_unique","sc/ui.sc","icon_eiuD","Undertaker",4,,"steal_souls",,1200,,"common","TID_SPEC_ABI_STEAL_SOULS",,,"genicon_health",
"Crow_unique","sc/ui.sc","icon_eiuD","Crow",4,,"cripple",,10,,"common","TID_SPEC_CRIPPLE",,,"genicon_health",
"DeadMariachi_unique","sc/ui.sc","icon_eiuD","DeadMariachi",4,,"last_stand",,1000,20,"common","TID_SPEC_LAST_STAND",,,"genicon_health",
"BowDude_unique","sc/ui.sc","icon_eiuD","BowDude",4,,"spot",,5,,"common","TID_SPEC_ABI_SPOT",,,"genicon_health",
"Sniper_unique","sc/ui.sc","icon_eiuD","Sniper",4,,"ambush",,400,,"common","TID_SPEC_ABI_AMBUSH",,,"genicon_health",
"MinigunDude_unique","sc/ui.sc","icon_eiuD","MinigunDude",4,,"heal_others_main_attack",,30,,"common","TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK",,,"genicon_health",
"BlackHole_unique","sc/ui.sc","icon_eiuD","BlackHole",4,,"black_hole_monster",,1,,"common","TID_SPEC_ABI_BLACK_HOLE_MONSTER",,,"genicon_health",
"BarrelBot_unique","sc/ui.sc","icon_eiuD","BarrelBot",4,,"barrel_defense",,70,,"common","TID_SPEC_ABI_BARREL_DEFENSE",,,"genicon_health",
