"Name","LockedForChronos","Character","PetSkin","CostGems","Priority","TID","Model","BlueTexture","RedTexture","BlueSpecular","RedSpecular","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","EnterAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","HeadRotationIngame","HatScaleIngame","PetInSameSprite","MainAttackProjectile","UltiProjectile","MainAttackEffect","UltiAttackEffect"
"TrickshotDefault",,"TrickshotDude",,,,,"rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaIdle","RickosheaWin","RickosheaWinloop","RickosheaWin","RickosheaIdle",,,,,,,,,,,,,,0,100,,,,,
"CactusDefault",,"Cactus",,,,,"cactus_geo.scw:cactus_arms1+cactus_body1+cactus_flower1+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusIdle","CactusWin","CactusWinloop","CactusWin","CactusIdle",,,,,,,,,,,,,,0,100,,,,,
"CactusPink",,"Cactus",,80,1,"TID_CACTUS_PINK_SKIN","cactusPink_geo.scw:cactus_arms1+cactus_body1+cactus_flowergirl+cactus_flowergirl001+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusIdle","CactusWin","CactusWinloop","CactusWin","CactusIdle",,,,,,,,,,,,,,0,100,,,,,
"BarkeepDefault",,"Barkeep",,,,,"barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepIdle","BarkeepWin","BarkeepWinloop","BarkeepWin","BarkeepIdle",,,,,,,,,,,,,,0,100,,,,,
"MechanicDefault",,"Mechanic","TurretDefault",,,,"jessie_geo.scw:jessie_main+jessie_gun+jessie_hat+jessie_backpack","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","JunkerIdle","JunkerWalk","JunkerPrimary","JunkerUltiAttack","JunkerRecoil",,"JunkerUltiRecoil",,"JunkerReload","JunkerPushback","JunkerWin","JunkerWinloop","JunkerLose","JunkerLoseloop","JunkerIdle","JunkerWin","JunkerWinloop","JunkerWin","JunkerIdle",,,,"JunkerFace","JunkerFace","JunkerFace","JunkerDreamyFace","JunkerDreamyFace","JunkerDreamyFace","JunkerFace","JunkerFace","JunkerDreamyFace","JunkerFace",0,100,,,,,
"ShamanDefault",,"Shaman","ShamanBearDefault",,,,"shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanIdle","ShamanWin","ShamanWinloop","ShamanWin","ShamanIdle",,,,,,,,,,,,,,0,100,,,,,
"ShamanPanda",,"Shaman","ShamanBearPanda",30,1,"TID_SHAMAN_PANDA_SKIN","shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanIdle","ShamanWin","ShamanWinloop","ShamanWin","ShamanIdle",,,,,,,,,,,,,,0,100,,,,,
"ShamanBearDefault",,"ShamanPet",,,,,"bear_geo.scw","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,,,,,0,100,,,,,
"ShamanBearPanda",,"ShamanPet",,,,,"bear_geo.scw","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,,,,,0,100,,,,,
"UndertakerDefault",,"Undertaker",,,,,"mortis_geo.scw","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerLose","UndertakerLoseloop","UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerWin","UndertakerIdle",,,,"MortisWinloop","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisFace","MortisWin","MortisWinloop","MortisFace",0,100,,,,,
"CrowDefault",,"Crow",,,,,"crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowRecoil",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowIdle","CrowWin","CrowWinloop","CrowWin","CrowIdle",,,,"CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace",0,100,,,,,
"CrowWhite",,"Crow",,80,1,"TID_CROW_WHITE_SKIN","crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowRecoil",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowIdle","CrowWin","CrowWinloop","CrowWin","CrowIdle",,,,"CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace","CrowFace",0,100,,,,,
"DeadMariachiDefault",,"DeadMariachi",,,,,"mariachi_geo.scw:Body+Guitar+Head","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","MariachiIdle","MariachiWalk","MariachiAttack","MariachiSecondary","MariachiRecoil",,"MariachiRecoil",,"MariachiReload","MariachiPushback","MariachiWin","MariachiWinloop","MariachiLose","MariachiLoseloop","MariachiIdle","MariachiWin","MariachiWinloop","MariachiWin","MariachiIdle",,,,,,,,,,,,,,0,100,,,,,
"BowDudeDefault",,"BowDude",,,,,"bowdude_geo.scw:head+body+shoes+quiver+bow+arrow+eagle_hat","bowman_blue_tex.pvr","bowman_tex.pvr","bowman_tex.pvr","bowman_tex.pvr","BowGuyIdle","BowGuyWalk","BowGuyAttack","BowGuySecondary","BowGuyRecoil",,"BowGuyRecoil2",,,"BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyLose","BowGuyLoseloop","BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyWin","BowGuyIdle",,,,,,,,,,,,,,0,100,,,,,
"SniperDefault",,"Sniper",,,,,"sniper_geo.scw:gunbrella_01+head_01+bow_01+body_01","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperRecoil",,"SniperRecoil",,"SniperReload","SniperPushback","SniperWin","SniperWinloop","SniperLose","SniperLoseloop","SniperIdle","SniperWin","SniperWinloop","SniperWin","SniperIdle",,,,,,,,,,,,,,0,100,,,,,
"MinigunDudeDefault",,"MinigunDude","HealstationDefault",,,,"minigunner_geo.scw:body+head+nozzle+hose+backpack","missJ_tex.pvr","missJ_tex.pvr","missJ_tex.pvr","missJ_tex.pvr","MinigunnerIdle","MinigunnerWalk","MinigunnerPrimary","MinigunnerSecondary","MinigunnerRecoil",,"MinigunnerRecoil2",,"MinigunnerReload","MinigunnerPushback","MinigunnerWin","MinigunnerWinloop","MinigunnerLose","MinigunnerLoseloop","MinigunnerIdle","MinigunnerWin","MinigunnerWinloop","MinigunnerWin","MinigunnerIdle",,,,"PamFace","PamFace","PamFace","PamFace","PamFace","PamFace","PamFace","PamFace","PamFace","PamFace",0,100,,,,,
"BullGuyHair",,"BullDude",,30,1,"TID_BULL_HAIR_SKIN","bull_geo.scw:body+gun","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockIdle","BullRockWin","BullRockWinloop","BullRockWin","BullRockIdle",,,,"BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace",0,100,,,,,
"TrickshotGold",,"TrickshotDude",,30,1,"TID_TRICKSHOT_GOLD_SKIN","rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaIdle","RickosheaWin","RickosheaWinloop","RickosheaWin","RickosheaIdle",,,,,,,,,,,,,,0,100,,,,,
"BarkeepGold",,"Barkeep",,30,1,"TID_BARKEEP_GOLD_SKIN","barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepIdle","BarkeepWin","BarkeepWinloop","BarkeepWin","BarkeepIdle",,,,,,,,,,,,,,0,100,,,,,
"LuchadorRudo",,"Luchador",,30,1,"TID_LUCHADOR_RUDO_SKIN","louchador_geo.scw:body+buckle1+wings","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","LouchadorIdle",,,,,,,,,,,,,,0,100,,,,,
"BanditGirlBandita",,"ShotgunGirl",,30,1,"TID_SHOTGUN_BANDITA_SKIN","shelly_geo.scw:body+gun+head","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","ShellyIdle",,,,"ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace","ShellyBanditFace",0,100,,,,,
"LuchadorRey",,"Luchador",,80,1,"TID_LUCHADOR_KING_SKIN","louchador_geo.scw:body+buckle2+kingcrown1+kingcape1+kingcapeback1+kingpin1","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","LouchadorIdle",,,,,,,,,,,,,,0,100,,,,,
"BallDefault",,"LaserBall",,,,,"ball_geo.scw","ball_tex.pvr","ball_tex.pvr","ball_tex.pvr","ball_tex.pvr","Ball","Ball","Ball","Ball","Ball",,"Ball",,"Ball",,,"Ball",,"Ball","Ball",,"Ball",,"Ball",,,,,,,,,,,,,,0,100,,,,,
"BlackholeDefault",,"BlackHole",,,,,"ninja_geo.scw:body+cape+head+card001+card002+card003+card004+card005+card006","ninja_tex.pvr","ninja_red_tex.pvr","ninja_red_tex.pvr","ninja_red_tex.pvr","NinjaIdle","NinjaWalk","NinjaPrimary","NinjaSecondary","NinjaRecoil",,"NinjaRecoil2",,"NinjaReload","NinjaPushback","NinjaWin","NinjaWinloop","NinjaLose","NinjaLoseloop","NinjaIdle","NinjaWin","NinjaWinloop","NinjaWin","NinjaIdle",,,,"TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace",0,100,,,,,
"HealstationDefault",,"HealingStation",,,,,"healstation_geo.scw:body+healy","healstion_tex.pvr","healstion_red_tex.pvr","healstion_red_tex.pvr","healstion_red_tex.pvr","HealingStation","HealingStation","HealingStation","HealingStation","HealingStation",,"HealingStation",,"HealingStation",,,"HealingStation",,"HealingStation","HealingStation",,"HealingStation",,"HealingStation",,,,,,,,,,,,,,0,100,,,,,
"BarrelbotDefault",,"BarrelBot",,,,,"barrelbot_geo.scw:body+guns+head+hat+hands","barrelbot_tex.pvr","barrelbot_tex_red.pvr","barrelbot_tex_red.pvr","barrelbot_tex_red.pvr","BarrelbotIdle","BarrelbotWalk","BarrelbotPrimary","BarrelbotSecondary","BarrelbotRecoil","BarrelbotRecoil2","BarrelbotRecoil",,"BarrelbotReload","BarrelbotPushback","BarrelbotWin","BarrelbotWinloop","BarrelbotLose","BarrelbotLoseloop","BarrelbotIdle","BarrelbotWin","BarrelbotWinloop","BarrelbotWinloop","BarrelbotHide",,,,,,,,,,,,,,0,100,,,,,
"BlackholePetDefault",,"BlackHolePet",,,,,"ninja_geo.scw:body+cape+head+card001+card002+card003+card004+card005+card006","ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr","NinjaIdle","NinjaWalk","NinjaPrimary","NinjaSecondary","NinjaRecoil",,"NinjaRecoil2",,"NinjaReload","NinjaPushback","NinjaWin","NinjaWinloop","NinjaLose","NinjaLoseloop","NinjaIdle","NinjaWin","NinjaWinloop","NinjaWin","NinjaIdle",,,,"TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace","TaraFace",0,100,,,,,
"ShellyPetDefault",,"ShotgunGirlPet",,,,,"bear_geo.scw","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,,,,,,,,0,100,,,,,
"RangedBotDefault",,,,,,,"rangedbot_geo.scw:head+body+Gun","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","RangedBotIdle","RangedBotWalk","RangedBotPrimary","RangedBotSecondary","RangedBotRecoil",,"RangedBotRecoil",,"RangedBotReload","RangedBotPushback","RangedBotWin","RangedBotWinloop","RangedBotLose","RangedBotLoseloop","RangedBotIdle","RangedBotWin","RangedBotWinloop","RangedBotWin","RangedBotIdle",,,,,,,,,,,,,,0,100,,,,,
"MeleeFastBotDefault",,,,,,,"fastmeleebot_geo.scw:robo_geo","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","FastMeleeBotIdle","FastMeleeBotWalk","FastMeleeBotIdle","FastMeleeBotIdle","FastMeleeBotRecoil",,"FastMeleeBotRecoil",,,"FastMeleeBotPushback","FastMeleeBotWin","FastMeleeBotWinloop","FastMeleeBotLose","FastMeleeBotLoseloop","FastMeleeBotIdle","FastMeleeBotWin","FastMeleeBotWinloop","FastMeleeBotWin","FastMeleeBotIdle",,,,,,,,,,,,,,0,100,,,,,
"MeleeBotDefault",,,,,,,"meleebot_geo.scw:body+head","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","MeleeBotIdle","MeleeBotWalk","MeleeBotIdle","MeleeBotIdle","MeleeBotRecoil","MeleeBotRecoil2","MeleeBotRecoil",,,"MeleeBotPushback","MeleeBotWin","MeleeBotWinloop","MeleeBotLose","MeleeBotLoseloop","MeleeBotIdle","MeleeBotWin","MeleeBotWinloop","MeleeBotWin","MeleeBotIdle",,,,,,,,,,,,,,0,100,,,,,
"BossBotDefault",,,,,,,"bossbot_geo.scw:body+head+hands","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","BossBotIdle","BossBotWalk","BossBotIdle","BossBotIdle","BossBotPrimary",,"BossBotIdle",,,"BossBotPushback","BossBotWin","BossBotWinloop","BossBotLose","BossBotLoseloop","BossBotIdle","BossBotWin","BossBotWinloop","BossBotWin","BossBotIdle","BossBotIdle","BossBotRecoil","BossBotRecoil2",,,,,,,,,,,0,100,,,,,
"ArtilleryGalDefault",,"ArtilleryDude","ArtilleryTurretDefault",,,,"mari_geo.scw","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","ArtilleryGalIdle","ArtilleryGalWalk","ArtilleryGalPrimary","ArtilleryGalUltiAttack","ArtilleryGalRecoil",,"ArtilleryGalUltiRecoil",,"ArtilleryGalReload","ArtilleryGalPushback","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalLose","ArtilleryGalLoseloop","ArtilleryGalIdle","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalWin","ArtilleryGalIdle",,,,"PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace",0,100,,,,,
"FrankDefault",,"HammerDude",,,,,"frank_geo.scw","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","FrankIdle","FrankWalk","FrankPrimary","FrankSecondary","FrankRecoil",,"FrankRecoil2",,,"FrankPushback","FrankWin","FrankWinloop","FrankLose","FrankLoseloop","FrankIdle","FrankWin","FrankWinloop","FrankWin","FrankIdle",,,,,,,,,,,,,,0,100,,,,,
"ArtilleryTurretDefault",,"ArtilleryDudeTurret",,,,,"turret_geo.scw","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryAttack",,"ArtilleryIdle",,"ArtilleryIdle",,"ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle",,,,,,,,,,,,,,0,100,,,,,
