"Name","Conf","Campaign","ObtainType","PetSkin","CostGems","TID","InfoTID"
"MeleeFastBotDefault","MeleeFastBotDefault",,,,,,
"MeleeBotDefault","MeleeBotDefault",,,,,,
"BossBotDefault","BossBotDefault",,,,,,
"ArtilleryGalDefault","ArtilleryGalDefault",,,"ArtilleryTurretDefault",,,
"FrankDefault","FrankDefault",,,,,,
"ArtilleryTurretDefault","ArtilleryTurretDefault",,,,,,
"MechanicKnight","MechanicKnight",,,"TurretDragon",150,"TID_MECHANIC_KNIGHT_SKIN","TID_SKIN_INFO_ANIM_FX_TURRET"
"FrankCaveman","FrankCaveman",,,,80,"TID_FRANK_CAVEMAN_SKIN","TID_SKIN_INFO_NORMAL"
"TurretDragon","TurretDragon",,,,,,
"MechanicSummer","MechanicSummer",,,"TurretSummertime",80,"TID_MECHANIC_SUMMER_SKIN","TID_SKIN_INFO_NORMAL_TURRET"
"TurretSummertime","TurretSummertime",,,,,,
"CrowPheonix","CrowPheonix",,,,300,"TID_CROW_PHEONIX_SKIN","TID_SKIN_INFO_ANIM_FX"
"UndertakerGreaser","UndertakerGreaser",,,,150,"TID_UNDERTAKER_GREASER_SKIN","TID_SKIN_INFO_ANIM"
"BigBotDefault","BigBotDefault",,,,,,
"BanditGirlPrereg","BanditGirlPrereg",,1,,,"TID_SHOTGUN_STAR_SKIN","TID_SKIN_INFO_FX"
"LootBox","LootBox",,,,,,
"TntBox","TntBox",,,,,,
"Safe","Safe",,,,,,
"TntGuySanta","TntGuySanta",1,4,,80,"TID_DYNAMIKE_SANTA_SKIN","TID_SKIN_INFO_FX"
"TntGuyChef","TntGuyChef",,,,150,"TID_DYNAMIKE_CHEF_SKIN","TID_SKIN_INFO_FX"
"RocketGirlBoombox","RocketGirlBoombox",,,,80,"TID_BROCK_BOOMBOX_SKIN","TID_SKIN_INFO_NORMAL"
"BarkeepWizard","BarkeepWizard",,2,,,"TID_BARLEY_WIZARD_SKIN","TID_SKIN_INFO_ANIM_SOUND_FX"
"ShamanReindeer","ShamanReindeer",1,4,"ShamanBearReindeer",150,"TID_NITA_REINDEER_SKIN","TID_SKIN_INFO_NORMAL_PET"
"ArtilleryGalElf","ArtilleryGalElf",1,4,"ArtilleryTurretElf",80,"TID_PENNY_ELF_SKIN","TID_SKIN_INFO_FX_TURRET"
"NinjaDefault","NinjaDefault",,,,,,
"UndertakerHat","UndertakerHat",,,,,"TID_UNDERTAKER_HAT_SKIN","TID_SKIN_INFO_NORMAL"
"BullGuyFootbull","BullGuyFootbull",,,,80,"TID_SKIN_FOOTBULL","TID_SKIN_INFO_NORMAL"
"ShamanBearReindeer","ShamanBearReindeer",,,,,,
"ArtilleryTurretElf","ArtilleryTurretElf",,,,,,
"HookDefault","HookDefault",,,,,,
"TrickshotPopcorn","TrickshotPopcorn",,,,150,"TID_SKIN_POPCORN_RICO","TID_SKIN_INFO_FX"
"GunSlingerHanbok","GunSlingerHanbok",2,4,,150,"TID_SKIN_LUNAR_COLT","TID_SKIN_INFO_FX"
"BarrelbotCny","BarrelbotCny",2,4,,80,"TID_SKIN_DUMPLING_DARRYL","TID_SKIN_INFO_FX"
"PocoValentine","PocoValentine",,,,150,"TID_SKIN_VALENTINE_POCO","TID_SKIN_INFO_FX"
"RocketGirlCny","RocketGirlCny",2,4,,150,"TID_SKIN_LUNAR_BROCK","TID_SKIN_INFO_FX"
"WhirlwindDefault","WhirlwindDefault",,,,,,
"RoboWarsBox","RoboWarsBox",,,,,,
"UndertakerNightwitch","UndertakerNightwitch",,,,150,"TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_SKIN_INFO_FX"
"RoboWarsBaseDefault","RoboWarsBaseDefault",,,,,,
"RosaDefault","RosaDefault",,,,,,
"MineCart","MineCart",,,,,,
"ShamanShiba","ShamanShiba",,,"ShamanBearShiba",150,"TID_SHAMAN_SHIBA_SKIN","TID_SKIN_INFO_ANIM_FX_SOUND_PET"
"ShamanBearShiba","ShamanBearShiba",,,,,,
"BaseballDefault","BaseballDefault",,,,,,
"MineCartB","MineCartB",,,,,,
"MineCartC","MineCartC",,,,,,
"MineCartD","MineCartD",,,,,,
"MineCartE","MineCartE",,,,,,
"ClusterBombDefault","ClusterBombDefault",,,,,,
"ClusterBombPetDefault","ClusterBombPetDefault",,,,,,
"ArtilleryGalBunny","ArtilleryGalBunny",,,"ArtilleryTurretBunny",80,"TID_PENNY_BUNNY_SKIN","TID_SKIN_INFO_FX_TURRET"
"ArtilleryTurretBunny","ArtilleryTurretBunny",,,,,,
"BarkeepMs","BarkeepMs",,3,,150,"TID_BARLEY_MS_SKIN","TID_SKIN_INFO_ANIM_FX"
"RocketGirlHotrod","RocketGirlHotrod",,3,,150,"TID_BROCK_HOTROD_SKIN","TID_SKIN_INFO_FX"
"BarkeepMaple","BarkeepLumberjack",,3,,80,"TID_BARLEY_MAPLE_SKIN","TID_SKIN_INFO_FX"
"WhirlwindRR","WhirlwindHotrod",,3,,80,"TID_CARL_RR_SKIN","TID_SKIN_INFO_FX"
