"Name","BehaviorType","CanMoveAtSameTime","Targeted","CanAutoShoot","MovementBasedAutoshoot","AttackFacing","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","Projectile","OverchargedProjectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollow","SpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","SecondaryProjectile","ThirdProjectile","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","CustomString","CustomString2","CustomValue"
"MinigunDudeWeapon","Attack","true","true","true","","","50","950","","27","","","","","","1300","3","260","","100","60","3","1","","true","","","","","","","","","","MinigunDudeProjectile","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MinigunDudeUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","MinigunDudeUltiProjectile","","HealingStation","","","","","","","","","","","minigun_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleWeapon","Attack","true","true","true","","","250","150","","24","","","","","","2000","3","480","","100","50","","3","","true","","","","","","","","","","BlackHoleProjectile","","","","","","","","","","","","","tara_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BlackHoleUlti","Attack","true","true","true","","","250","150","","20","","","","","","","","800","","100","0","","1","","true","","","","","","","","","","BlackHoleUltiProjectile","","","","","","","","","","","","","blackhole_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotWeapon","Attack","true","true","true","","","50","550","","18","","","","","","1800","3","240","","250","80","","5","true","true","","","","","","","","","","BarrelBotProjectile","","","","","","","","","","","","","darryl_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BarrelBotUlti","Charge","","true","true","","","50","","","21","","","","","","","","400","","","","","","","","","70","2400","7","","","","","true","","","","","","","","","","","","","","","","barrel_bot_ulti","","","","barrel_bot_ulti_loop","","","","Barrelbot_step","","","","","","","","","","","","","","","",""
"ArtilleryDudeWeapon","Attack","true","true","true","","","250","150","","24","","","","","","2000","3","940","","100","0","","1","","true","","","","","","","","","","ArtilleryDudeProjectile","","","","","","","","","","","","","penny_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ArtilleryDudeUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","ArtilleryDudeUltiProjectile","","ArtilleryDudeTurret","","","","","","","","","","","artillery_dude_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Warp","Blink","true","true","","","","250","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SupplyCrate","Attack","true","true","","","","250","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupplyCrate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bow","Attack","true","true","","","","250","150","","20","","","40","","","","","600","","100","0","","","","true","","","","","","","","","","","","","","","","","","","","","","","laser_attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBall","Attack","true","true","","","","250","150","","24","","","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBall","Attack","true","true","","","","250","150","","36","","","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBallBurning","Attack","true","true","","","","250","150","","24","","","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBallBurning","Attack","true","true","","","","250","150","","36","","","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRapidFire","Attack","","true","","","","50","1850","1250","40","","","","","","1250","3","900","","300","90","3","1","","true","","","","","","","","","","BossProjectile","","","","","","","","","","","","","minion_missile_atk","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","",""
"BossCharge","Charge","","true","","","","50","","1000","33","","","","","","","","1400","","","","","","","","","130","1800","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","","","","","","","","","","","","","","",""
"MeleeEnemyCharge","Charge","","true","","","","50","","","33","","","","","","","","1000","","","","","","","","","130","2400","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","","","","","","","","","","","","","","",""
"HammerDudeWeapon","Attack","","true","true","","","50","700","","18","","","","","","800","3","1240","","600","130","","4","","","","","","","","","","","","HammerDudeProjectile","","","","","","","","","","","","","hammer_dude_attack","","hammer_dude_start_attack","","","","","","","","","","","","","","","","","","","","","true","","",""
"HammerDudeUlti","Attack","","true","true","","","50","1200","","21","","","","","","","","1240","","1100","130","","4","","","","","","","","","","","","HammerDudeUltiProjectile","","","","","","","","","","","","","hammer_dude_ulti","","hammer_dude_start_ulti","","","","","","","","","","","","","","","","","","","","","","","",""
"HookWeapon","Attack","true","true","true","","","250","150","","17","","","","","","2000","3","960","","100","0","","1","","true","","","","","","","","","","HookProjectile","","","","","","","","","","","","","gene_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"HookUlti","Attack","true","true","true","","","250","150","","23","","","","","","","","","","100","","","1","","true","","","","","","","","","","HookUltiProjectile","","","","","","","","","","","","","gene_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDudeWeapon","Attack","true","true","true","","","250","150","","26","","","","","","2400","3","640","","100","0","","1","","true","","","","","","","","","","ClusterBombProjectile","","","","","","","","","","","","","tick_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ClusterBombDudeUlti","Attack","true","true","true","","","50","250","","10","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","ClusterBombSummonProjectile","","ClusterBombPet","","","","","","","","","","","tick_attack_ulti","","tick_def_ulti","","","","","","","","","","","","","","","","","","","","","","","",""
"BoneThrowerWeapon","Attack","true","true","true","","","250","150","","27","","","","","","2000","3","","","100","0","","1","","true","","","","","","","","","","BoneThrowerProjectile","","","","","","","","","","","","","bonethrower_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BoneThrowerUlti","Attack","true","true","true","","","250","150","","27","","","","","","","","100","","500","","","1","","true","","","","","","","","","","BoneThrowerUltiProjectile","","","","","","","","","","","","","bonethrower_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NinjaWeapon","Attack","true","true","true","","","50","450","","29","","","","","","1900","3","480","","100","35","2","1","true","true","","","","","","","","","","LeonDefProjectile","","","","","","","","","","","","","ninja_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"NinjaUlti","Invisibility","true","","true","","","50","6000","","","","","","","","","","","","","","","","","","","","","","","","true","1200","","","","","","","","","","","","","","","","","ninja_go_invisible","ninja_go_invisible_overcharged","","","","","","","","","","","","","","true","","","","","","","","",""
"RosaWeapon","Attack","true","true","true","","","50","800","","11","","","","","","1000","3","460","","250","130","","3","true","true","","","","","","","","","","RosaProjectile","RosaOverchargedProjectile","","","","","","","","","","","","rosa_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"RosaUlti","Shield","true","","true","","","50","3000","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","RosaOverchargedUltiArea","","","","","","","","","","rosa_def_ulti","rosa_def_overcharge_use","","","rosa_def_ulti_loop","","rosa_def_overcharge_loop","","","","","","","","","true","","","","","","","","",""
"SandstormUlti","Attack","true","true","true","","","250","150","","22","","","","","","","","","","100","0","","1","","true","","","","","","","","","","SandstormUltiProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindWeapon","Attack","true","true","true","","","500","150","","25","","","","","","2000","1","660","","100","0","","1","","true","","","","","","","","","","WhirlwindProjectile","","","","","","","","","","","","","whirlwind_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"WhirlwindUlti","Ww","true","","true","","","50","3000","","7","","","","","","","","500","","600","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","carl_def_ulti_loop","carl_def_ulti_ground","","","","","","","","","","true","","","","","","","","",""
"BaseballWeapon","Attack","true","true","true","","","50","700","","11","","","","","","800","3","1400","","600","300","","1","","","","200","2000","","","","","","","","","","","","","","","","","","","","bibi_def_atk","","bibi_swing","","","","","","","","","","","","","","","","","","","","","true","","",""
"BaseballUlti","Attack","true","true","true","","","50","150","","120","","","","","","","","900","","100","","","","","true","","","","","","","","","","BaseballUltiProjectile","","","","","","","","","","","","","bibi_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeWeapon","Attack","true","true","true","","","50","650","","30","","","","","","1500","3","320","","100","18","3","1","","true","","","","","","","","","","ArcadeProjectile","","","","","","","","","","","","","arcade_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ArcadeUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","ArcadeUltiProjectile","","DamageBooster","","","","","","","","","","","","","arcade_def_ulti_atk","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormWeapon","Attack","true","true","true","","","250","150","","18","","","","","","1800","3","900","","100","80","4","3","","true","","","","","","","","","","SandstormProjectile","","","","","","","","","","","","","poco_def_atk_direct","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BeeSniperWeapon","Attack","true","true","true","","","50","150","","30","","","","","","900","1","800","","100","","","1","","true","","","","","","","","","","BeeSniperProjectile","","","","","","","","","","","","","bea_def_atk","","","","","","","","","","","","","","","","","","BeeSniperChargedProjectile","","1","250","","true","","",""
"BeeSniperUlti","Attack","true","true","true","","","50","150","","27","","","","","","","","100","","100","30","","7","","true","","","","","","","","","","BeeSniperUltiProjectile","","","","","","","","","","","","","tick_def_atk","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyWeapon","Attack","true","true","true","","","250","150","","20","","","","","","2000","3","520","","100","80","5","5","","true","","","","","","","","","","MummyProjectile","","","","","","","","","","","","","emz_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MummyUlti","AreaBuff","true","","true","","","50","5000","","","","","","","","","","240","","70","","","","","","","","","","","","","","","","","","MummyUltiArea","","","","true","","","","","","","","emz_def_ulti_use","","","","Dummy_effect","","","","","","","","","","","true","","","","","","","","",""
"SpawnerDudeUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","SpawnerDudeUltiProjectile","","SpawnerDudeTurret","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpawnerDudeWeapon","Attack","true","true","true","","","250","150","","21","","","","","","1600","3","760","","100","","","1","","true","","","","","","","","","","SpawnerDudeProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SpeedyWeapon","Attack","true","true","true","","","50","450","","25","","","","","","1300","4","320","","100","30","6","1","","true","","","","","","","","","","SpeedyProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SpeedyUlti","AreaBuff","true","","true","","","50","4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpeedyUltiArea","","","","true","","","","","","","","","","","","Dummy_effect","","","","","","","","","","","","","","","","","","","",""
"DummySkillForCTF","Attack","true","true","","","","250","150","","13","","200","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForCTF","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForCTF","Attack","true","true","","","","250","150","","20","","300","","","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForCTF","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerWeapon","Attack","true","","true","","1","250","150","","10","","","","","","1800","3","","","1000","","","","","","","","","","","","","","","","","","DrillerDamageArea","","","","true","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"DrillerUlti","Attack","true","","true","","1","250","500","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","DrillerUltiArea","","DrillerOverchargedUltiArea","","true","","","","","","","","driller_def_ulti_use","driller_def_overcharge_use","","","Dummy_effect","","","","","","","","","","","","","","","","","","","",""
"BlowerWeapon","Attack","true","true","true","","","250","150","","25","","","","","","1200","3","280","","100","","7","6","","true","","","","","","","","","","BlowerProjectile","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BlowerUlti","Attack","true","true","true","","","250","150","","30","","","","","","","","420","","100","","7","5","","true","","","","","","","","","","BlowerUltiProjectile","","","","","","","","","","","","","shelly_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ControllerWeapon","Attack","true","true","true","","","500","150","","26","","","","","","1800","3","800","","100","50","","3","","true","","","","","","","","","","ControllerProjectile","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ControllerUlti","Attack","","true","true","","","50","150","","10","","","","","","","","1800","","100","0","","1","","true","","","","","","","","","","ControllerUltiProjectile","","","","","","","","","","","","","colt_def_ulti","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyWeapon","Attack","true","true","true","","","250","150","","15","","","","","1","1700","3","980","","100","30","","1","","true","","","","","","","","","","WallyProjectile","","","","","","","","","","","","","sprout_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"WallyUlti","Attack","true","true","true","","","250","150","","23","","","","","1","","","","","100","0","","1","","true","","","","","","","","","","WallyUltiProjectile","","","","","","","","","","","","","sprout_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerLevelerWeapon","Attack","true","true","true","","","250","150","","20","","","","","","2000","3","1180","","100","0","","1","","true","","","","","","","","","","PowerLevelerProjectile","","","","","","","","","","","","","surge_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"PowerLevelerUlti","Charge","","true","true","","","50","","","10","","","","","","","","1000","","","","","","","","","100","4000","9","","","","","","","","","","","","","","","","","","","","","surge_def_ulti_use","","surge_def_ulti_ground","","","","","","","","","","","","","","","","","","","","","",""
"BossTownCrushCharge","Charge","","true","","","","50","","1500","33","","","","","","","","1000","","","","","","","","","130","1800","3","","","","","","","","","","","","","","","","","","","mode_tc_boss_atk_jump","","mode_tc_boss_atk_jump","","luchador_ulti_ground_hit","","minion_rush","","","","Rhinostep","","","","","","","","","","","","","","","",""
"BossTownCrushAoE","Attack","","","true","","1","250","1500","2000","10","","","","","","1800","3","","","800","","","","","","","","","","","","","","","","","","BossTownCrushAoEArea","","","","true","","","","","","luchador_attack","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRapidFire","Attack","","true","","","","50","1850","1250","60","","","","","","1250","3","1200","","300","100","2","1","","true","","","","","","","","","","RaidBossProjectileRed","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_long","","","","","","","","","","1","","","","","","","","","","","","","",""
"RaidBossRapidFire2","Attack","","true","","","","50","1850","1000","60","","","","","","1250","3","1400","","200","150","2","1","","true","","","","","","","","","","RaidBossProjectileRed","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_medium","","","","","","","","","","1","","","","","","","","","","","","","",""
"RaidBossRapidFire3","Attack","","true","","","","50","1850","750","60","","","","","","1250","3","1700","","100","250","2","1","","true","","","","","","","","","","RaidBossProjectileRedDestroyEnv","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","1","","","","","","","","","","","","","",""
"RaidBossRapidFire4","Attack","","true","","","","50","1850","750","60","","","","","","1250","3","2000","","100","250","2","1","","true","","","","","","","","","","RaidBossProjectileGold","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","1","","","","","","","","","","","","","",""
"RaidBossCharge","Charge","","true","","","","50","","1250","40","","","","","","","","1200","","","","","","","","","130","2000","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","1","","","","","","","","","","","","","",""
"RaidBossCharge2","Charge","","true","","","","50","","1000","50","","","","","","","","1400","","","","","","","","","130","2500","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","1","","","","","","","","","","","","","",""
"RaidBossCharge3","Charge","","true","","","","50","","750","60","","","","","","","","1700","","","","","","","","","130","3000","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","1","","","","","","","","","","","","","",""
"RaidBossCharge4","Charge","","true","","","","50","","750","60","","","","","","","","2000","","","","","","","","","130","3000","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","1","","","","","","","","","","","","","",""
