Name,USD,TID,Type,TypeCN,Disabled,ExistsApple,ExistsAndroid,ExistsCN,DisabledCN,ExistsAppleCN,ExistsAndroidCN,GeoSet,Diamonds,BonusPercentage,Order,RMB,TencentID,IconExportName,FrameNumber,StarterPackNumber,XpLevelReq,ValueFactor,LabelTID,LabelValue,TagLabelTID,Bg,Decor,IsPromotion,Coins,RefundGemValue,PricingValueEqualGems,SCIDStore,PremiumPass,PremiumPlusPass,BundledTierCount,DiscountOf,BundledXP,FirstValidBrawlPassSeason,LastValidBrawlPassSeason
com.supercell.laser.starterpack8,999,TID_STARTER_PACK_8,2,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,470,,0,,,,,8,125,4,,,,1,0,,2000,705,,,,FALSE,,,,,
com.supercell.laser.goldenweek,999,TID_IAP_GOLDENWEEK_PACK,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,330,,9,,,,,,,3,,,,4,4,,1500,506,,,,FALSE,,,,,
com.supercell.laser.retropolisgempack,499,TID_IAP_RETROPOLIS_PACK,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,250,,0,,,,,,,3,,,,4,5,,,250,,,,FALSE,,,,,
com.supercell.laser.retropoliscoins1,499,TID_IAP_RETROCOIN_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,0,,,,,,,3,,,,3,5,,2100,247,,,,FALSE,,,,,
com.supercell.laser.retropoliscoins2,499,TID_IAP_RETROCOIN_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,1,,,,,,,3,,,,3,5,,2100,247,,,,FALSE,,,,,
com.supercell.laser.retropoliscoins3,499,TID_IAP_RETROCOIN_PACK_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,2,,,,,,,3,,,,3,5,,2100,247,,,,FALSE,,,,,
com.supercell.laser.sprinkle0,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,80,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle1,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,1,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle2,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,80,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle3,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle4,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle5,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle6,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle7,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle8,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.sprinkle9,99,TID_PROMOCODE_PACK,4,,,FALSE,TRUE,FALSE,TRUE,,,,0,,9,,,,,,,,,,,,,TRUE,0,0,,,,FALSE,,,,,
com.supercell.laser.som1,499,TID_IAP_SOM_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,2,,,,3,4,,1700,200,,,,FALSE,,,,,
com.supercell.laser.som2,999,TID_IAP_SOM_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,2,,,,3,4,,4200,494,,,,FALSE,,,,,
com.supercell.laser.som3,1999,TID_IAP_SOM_PACK_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,820,,9,,,,,,,2,,,,1,4,,0,820,,,,FALSE,,,,,
com.supercell.laser.som4,999,TID_IAP_SOM_PACK_4,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,570,,9,,,,,,,4,,,,1,4,,2000,805,,,,FALSE,,,,,
com.supercell.laser.august1,999,TID_IAP_AUGUST_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,370,,9,,,,,,,3,,,,1,4,,2000,605,,,,FALSE,,,,,
com.supercell.laser.august2,1999,TID_IAP_AUGUST_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,790,,9,,,,,,,3,,,,1,4,,2000,1025,,,,FALSE,,,,,
com.supercell.laser.flash1,499,TID_IAP_FLASH_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,100,,9,,,,,,,,TID_BEST_VALUE_EXTRA,25,,4,4,,0,100,,,,FALSE,,,,,
com.supercell.laser.flash2,2999,TID_IAP_FLASH_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1100,,9,,,,,,,4,,,,1,4,,8000,2041,,,,FALSE,,,,,
com.supercell.laser.moon191,999,TID_IAP_MOON_19_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,260,,9,,,,,,,3,,,,1,4,,2000,495,,,,FALSE,,,,,
com.supercell.laser.moon192,4999,TID_IAP_MOON_19_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1250,,9,,,,,,,,TID_BEST_VALUE_EXTRA,30,,4,4,,0,1250,,,,FALSE,,,,,
com.supercell.laser.b2s191,999,TID_IAP_B2S_19_PACK_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,340,,9,,,,,,,3,,,,1,4,,1500,516,,,,FALSE,,,,,
com.supercell.laser.b2s192,499,TID_IAP_B2S_19_PACK_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,5,,,,3,4,,3500,412,,,,FALSE,,,,,
com.supercell.laser.b2s193,199,TID_IAP_B2S_19_PACK_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,45,,9,,,,,,,,TID_BEST_VALUE_EXTRA,50,,4,4,,0,45,,,,FALSE,,,,,
com.supercell.laser.cw191,199,TID_IAP_CYBER_WEEK_19_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,80,,9,,,,,,,,TID_BEST_VALUE_DISCOUNT,60,,1,4,,0,80,,,,FALSE,,,,,
com.supercell.laser.cw192,499,TID_IAP_CYBER_WEEK_19_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,3,,,,3,4,,2100,247,,,,FALSE,,,,,
com.supercell.laser.cw193,299,TID_IAP_CYBER_WEEK_19_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,190,,9,,,,,,,5,,,,1,4,,500,249,,,,FALSE,,,,,
com.supercell.laser.gstar2019,4999,TID_IAP_GSTAR2019_FINALS,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1110,,9,,,,,,,3,,,,6,4,,12000,2522,,,,FALSE,,,,,
com.supercell.laser.bow191,999,TID_IAP_BRAWLOWEEN_19_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,420,,9,,,,,,,4,,,,1,4,,2100,667,,,,FALSE,,,,,
com.supercell.laser.bow192,699,TID_IAP_BRAWLOWEEN_19_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,3,,,,3,4,,3000,353,,,,FALSE,,,,,
com.supercell.laser.bow193,1499,TID_IAP_BRAWLOWEEN_19_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,380,,9,,,,,,,,TID_BEST_VALUE_DISCOUNT,25,,4,4,,0,380,,,,FALSE,,,,,
com.supercell.laser.arabic01,199,TID_IAP_ARABIC_19_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,110,,9,,,,,,,5,,,,1,4,,480,166,,,,FALSE,,,,,
com.supercell.laser.arabic02,499,TID_IAP_ARABIC_19_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,4,,,,3,4,,2800,329,,,,FALSE,,,,,
com.supercell.laser.xmas190,999,TID_IAP_XMAS_19_0,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,360,,9,,,,,,,3,,,,7,4,,1200,501,,,,FALSE,,,,,
com.supercell.laser.xmas191,99,TID_IAP_XMAS_19_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,80,,9,,,,,,,5,,,,7,4,,0,80,,,,FALSE,,,,,
com.supercell.laser.xmas192,499,TID_IAP_XMAS_19_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,340,,9,,,,,,,5,,,,7,4,,600,411,,,,FALSE,,,,,
com.supercell.laser.xmas193,999,TID_IAP_XMAS_19_3,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,510,,9,,,,,,,5,,,,7,4,,2700,828,,,,FALSE,,,,,
com.supercell.laser.xmas194,1999,TID_IAP_XMAS_19_4,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,930,,9,,,,,,,5,,,,7,4,,6000,1636,,,,FALSE,,,,,
com.supercell.laser.cp1119,299,TID_IAP_COINPACK_11_19,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,3,,,,3,4,,1250,147,,,,FALSE,,,,,
com.supercell.laser.xmas195,199,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,9,,,,,,,5,,,,7,4,,0,160,,,,FALSE,,,,,
com.supercell.laser.xmas196,699,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,470,,9,,,,,,,5,,,,7,4,,900,576,,,,FALSE,,,,,
com.supercell.laser.xmas197,1299,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,640,,9,,,,,,,5,,,,7,4,,3500,1052,,,,FALSE,,,,,
com.supercell.laser.xmas198,2499,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1140,,9,,,,,,,5,,,,7,4,,8000,2081,,,,FALSE,,,,,
com.supercell.laser.xmas199,299,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,9,,,,,,,5,,,,7,4,,700,242,,,,FALSE,,,,,
com.supercell.laser.xmas200,799,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,470,,9,,,,,,,5,,,,7,4,,1700,670,,,,FALSE,,,,,
com.supercell.laser.xmas201,1499,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,640,,9,,,,,,,5,,,,7,4,,5100,1240,,,,FALSE,,,,,
com.supercell.laser.xmas202,2999,TID_IAP_XMAS_19_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1140,,9,,,,,,,5,,,,7,4,,11500,2493,,,,FALSE,,,,,
com.supercell.laser.ny201,499,TID_IAP_NEW_YEAR_20,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,180,,9,,,,,,,3,,,,1,4,,600,251,,,,FALSE,,,,,
com.supercell.laser.cp0120,99,TID_IAP_COINPACK_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,4,,,,3,4,,550,65,,,,FALSE,,,,,
com.supercell.laser.cp0121,199,TID_IAP_COINPACK_GENERIC,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,9,,,,,,,3,,,,3,4,,1400,165,,,,FALSE,,,,,
com.supercell.laser.lny201,299,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,9,,,,,,,5,,,,8,4,,800,254,,,,FALSE,,,,,
com.supercell.laser.lny202,299,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,9,,,,,,,4,,,,8,4,,350,201,,,,FALSE,,,,,
com.supercell.laser.lny203,499,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,230,,9,,,,,,,4,,,,8,4,,900,336,,,,FALSE,,,,,
com.supercell.laser.lny204,999,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,460,,9,,,,,,,4,,,,8,4,,1700,660,,,,FALSE,,,,,
com.supercell.laser.lny205,1999,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,900,,9,,,,,,,4,,,,8,4,,3600,1324,,,,FALSE,,,,,
com.supercell.laser.lny206,399,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,240,,9,,,,,,,5,,,,8,4,,800,334,,,,FALSE,,,,,
com.supercell.laser.lny207,499,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,240,,9,,,,,,,4,,,,8,4,,800,334,,,,FALSE,,,,,
com.supercell.laser.lny208,999,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,520,,9,,,,,,,4,,,,8,4,,1200,661,,,,FALSE,,,,,
com.supercell.laser.lny209,1499,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,750,,9,,,,,,,4,,,,8,4,,2100,997,,,,FALSE,,,,,
com.supercell.laser.lny2010,2999,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1300,,9,,,,,,,4,,,,8,4,,6000,2006,,,,FALSE,,,,,
com.supercell.laser.lny2011,199,TID_IAP_LNY2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,130,,9,,,,,,,5,,,,8,4,,300,165,,,,FALSE,,,,,
com.supercell.laser.tgs201,499,TID_IAP_TGS2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,9,,,,,,,3,,,,1,4,,750,248,,,,FALSE,,,,,
com.supercell.laser.tgs202,999,TID_IAP_TGS2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,320,,9,,,,,,,3,,,,1,4,,1500,496,,,,FALSE,,,,,
com.supercell.laser.vd20,499,TID_IAP_VD2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,230,,9,,,,,,,3,,,,1,4,,300,265,,,,FALSE,,,,,
com.supercell.laser.mar20,999,TID_IAP_MAR2020,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,470,,9,,,,,,,3,,,,1,4,,200,494,,,,FALSE,,,,,
com.supercell.laser.brawlpass0,499,TID_SHOP_SPECIAL_OFFER,5,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,0,,,,FALSE,,,,,
com.supercell.laser.brawlpass1,499,TID_SHOP_SPECIAL_OFFER,5,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,0,,,,FALSE,,,,,
com.supercell.laser.0320gp,1999,TID_SHOP_SPECIAL_OFFER,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,415,,9,,,,,,,,TID_BEST_VALUE_EXTRA,15,,4,4,,0,415,,,,FALSE,,,,,
com.supercell.laser.0320backup,499,TID_SHOP_SPECIAL_OFFER,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,270,,9,,,,,,,3,,,,1,4,,0,270,,,,FALSE,,,,,
com.supercell.laser.bundle099,99,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,15,,,FALSE,,,,,
com.supercell.laser.bundle199,199,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,30,,,FALSE,,,,,
com.supercell.laser.bundle299,299,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,48,,,FALSE,,,,,
com.supercell.laser.bundle399,399,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,64,,,FALSE,,,,,
com.supercell.laser.bundle499,499,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,80,,,FALSE,,,,,
com.supercell.laser.bundle599,599,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,102,,,FALSE,,,,,
com.supercell.laser.bundle699,699,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,119,,,FALSE,,,,,
com.supercell.laser.bundle799,799,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,136,,,FALSE,,,,,
com.supercell.laser.bundle899,899,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,153,,,FALSE,,,,,
com.supercell.laser.bundle999,999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,170,,,FALSE,,,,,
com.supercell.laser.bundle1099,1099,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,198,,,FALSE,,,,,
com.supercell.laser.bundle1199,1199,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,216,,,FALSE,,,,,
com.supercell.laser.bundle1299,1299,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,234,,,FALSE,,,,,
com.supercell.laser.bundle1399,1399,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,252,,,FALSE,,,,,
com.supercell.laser.bundle1499,1499,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,270,,,FALSE,,,,,
com.supercell.laser.bundle1599,1599,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,288,,,FALSE,,,,,
com.supercell.laser.bundle1699,1699,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,306,,,FALSE,,,,,
com.supercell.laser.bundle1799,1799,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,324,,,FALSE,,,,,
com.supercell.laser.bundle1899,1899,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,342,,,FALSE,,,,,
com.supercell.laser.bundle1999,1999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,360,,,FALSE,,,,,
com.supercell.laser.bundle2999,2999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,570,,,FALSE,,,,,
com.supercell.laser.bundle3999,3999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,760,,,FALSE,,,,,
com.supercell.laser.bundle4999,4999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,950,,,FALSE,,,,,
com.supercell.laser.bundle9999,9999,TID_IAP_BUNDLE_OFFER,6,,,TRUE,TRUE,FALSE,TRUE,,,,0,,0,,,,,,,,,,,,,,,,2000,,,FALSE,,,,,
com.supercell.laser.psg1,499,TID_IAP_PSG_WEEKEND,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,240,,0,,,,,,,4,,,,1,4,,700,322,,,,FALSE,,,,,
com.supercell.laser.psg2,999,TID_IAP_PSG_WEEKEND,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,490,,0,,,,,,,4,,,,1,4,,1700,690,,,,FALSE,,,,,
com.supercell.laser.04200,499,TID_IAP_APRIL20_0,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,0,,,,,,,3,,,,1,4,,700,242,,,,FALSE,,,,,
com.supercell.laser.gw200,499,TID_IAP_GOLDENWEEK20,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,320,,0,,,,,,,5,,,,1,4,,700,402,,,,FALSE,,,,,
com.supercell.laser.gw201,999,TID_IAP_GOLDENWEEK20,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,570,,0,,,,,,,5,,,,1,4,,2400,852,,,,FALSE,,,,,
com.supercell.laser.gw202,2999,TID_IAP_GOLDENWEEK20,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,1740,,0,,,,,,,5,,,,1,4,,8200,2705,,,,FALSE,,,,,
com.supercell.laser.04201,199,TID_IAP_APRIL20_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,80,,0,,,,,,,4,,,,1,4,,350,121,,,,FALSE,,,,,
com.supercell.laser.04202,299,TID_IAP_APRIL20_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,0,,0,,,,,,,4,,,,3,4,,1100,129,,,,FALSE,,,,,
com.supercell.laser.sc101,499,TID_IAP_SC10_1,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,200,,0,,,,,,,4,,,,1,4,,1100,329,,,,FALSE,,,,,
com.supercell.laser.sc102,999,TID_IAP_SC10_2,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,400,,0,,,,,,,4,,,,1,4,,2400,682,,,,FALSE,,,,,
com.supercell.laser.0620,499,TID_IAP_0620,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,0,,,,,,,3,,,,1,4,,700,242,,,,FALSE,,,,,
com.supercell.laser.0720,499,TID_IAP_0720,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,160,,0,,,,,,,3,,,,1,4,,700,242,,,,FALSE,,,,,
com.supercell.laser.0520c,199,TID_IAP_0520C,3,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,110,,0,,,,,,,5,,,,1,4,,350,151,,,,FALSE,,,,,
