"Name","BuddyCharacter","BuyScreenOffset","BuyScreenScale","BuyScreenRotation","ShopPanelOffset","ShopPanelScale","ShopPanelRotation","NewShopPanelOffset","NewShopPanelScale","NewShopPanelRotation","SkinAreaOffset","SkinAreaScale","SkinAreaRotation","HeroInfoScreenRotation","HeroInfoScreenOffset","HeroInfoScreenScale","UnlockingFlowOffset","UnlockingFlowScale","UnlockingFlowRotation","AfterUnlockingFlowOffset","AfterUnlockingFlowScale","AfterUnlockingFlowRotation","LoadingScreenRunnerOffset","LoadingScreenRunnerScale","LoadingScreenRunnerRotation"
"string","string","string","int","int","string","int","int","string","int","int","string","int","int","int","string","int","string","int","int","string","int","int","string","int","int"
"AssaultShotgunBuddy","AssaultShotgunBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-100;0",650,0,"-60;-110;0",550,0,-10,"0;-305;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"RocketGirlBuddy","RocketGirlBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-200;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"TrickshotDudeBuddy","TrickshotDudeBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-200;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"ArcadeBuddy","ArcadeBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-135;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"SpeedyBuddy","SpeedyBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-143;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"MechaDudeBuddy","MechaDudeBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-110;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"PowerLevelerBuddy","PowerLevelerBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-165;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"LuchadorBuddy","LuchadorBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"-10;-130;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"SoulCollectorBuddy","SoulCollectorBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-120;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"GhostBuddy","GhostBuddy","200;-330;0",950,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-100;0",600,"0;-100;-200",750,0,"-150;-380;0",1500,0,"0;0;0",100,0
"FireDudeBuddy","FireDudeBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-115;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"ConductorBuddy","ConductorBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"0;-180;0",600,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"DeadMariachiBuddy","DeadMariachiBuddy","-100;-150;-150",400,20,"0;-160;0",650,0,"0;-160;0",650,0,"0;-110;0",550,0,-10,"5;-165;0",600,"0;-110;0",600,0,"-50;-110;-100",500,0,"0;0;0",100,0
