Name,Character,Model,ModelCNOverride,GadgetModel,PortraitCameraFile,IntroCameraFile,MirrorIntro,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,LobbyAnim,LobbyLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,GachaOverrideAnim,HappyEnterAnim,SadEnterAnim,ProfileAnim,ShopGroupProfileAnim,BrawlPassPopupProfileAnim,IntroAnim,EnvAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,GadgetActiveAnim,GadgetRecoilAnim,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,LobbyFace,LobbyLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,IntroFace,LobbyEffect,HeroScreenEffect,SignatureEffect,HappyEffect,SadEffect,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,SecondaryProjectile,UltiProjectile,MainAttackEffect,MainAttackEffect2,UltiAttackEffect,UltiAttackEffect2,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,UltiEndEffect,MeleeHitEffect,SpawnEffect,ReloadEffect,UltiLoopEffect,UltiLoopEffect2,StarPower1Effect,StarPower2Effect,AreaEffect,AreaEffectStarPower,AreaEffectStarPower2,AreaEffectAttack,AreaEffectUlti,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,UnlockVO,UnlockVOIndex,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,AutoAttackProjectile,ProjectileForShockyStarPower,IncendiaryStarPowerAreaEffect,MoveEffect,MoveEffect2,ChargeMoveEffect,StillEffect,StillEffect2,LoopingEffect,ChargedShotEffect,DisableHeadRotation
TrickshotDefault,TrickshotDude,rico_geo.scw,,,rico_base_cam.scw,emz_intro_pose.scw,,RicoIdle,RicoWalk,RicoPrimary,RicoSecondary,RicoRecoil,,RicoRecoil,,RicoReload,RicoPushback,RicoWin,RicoWinloop,RicoLose,RicoLoseloop,RicoWin,RicoWinloop,RicoIdle,RicoWin,RicoWinloop,RicoWin,,RicoIdle,RicoIdle,RicoProfile,,,RicoProfile,RicoIdle,,,,,,RicoStill,RicoStill,RicoWin,RicoWinLoop,RicoLose,RicoLoseLoop,RicoWin,RicoWinLoop,RicoWinLoop,RicoWin,RicoWinLoop,RicoWin,RicoStill,RicoStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusDefault,Cactus,spike_geo.scw,,,spike_base_cam.scw,emz_intro_pose.scw,,SpikeIdle,SpikeWalk,SpikePrimary,SpikeSecondary,SpikeRecoil,,SpikeRecoil2,,SpikeReload,SpikeIdle,SpikeWin,SpikeWinloop,SpikeLose,SpikeLoseloop,SpikeWin,SpikeWinloop,SpikeIdle,SpikeWin,SpikeWinloop,SpikeWin,,SpikeIdle,SpikeIdle,SpikeProfile,,,SpikeProfile,SpikeIdle,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusPink,Cactus,spike_blossom_geo.scw,,,spike_base_cam.scw,emz_intro_pose.scw,,SpikeIdle,SpikeWalk,SpikePrimary,SpikeSecondary,SpikeRecoil,,SpikeRecoil2,,SpikeReload,SpikeIdle,SpikeWin,SpikeWinloop,SpikeLose,SpikeLoseloop,SpikeWin,SpikeWinloop,SpikeIdle,SpikeWin,SpikeWinloop,SpikeWin,,SpikeIdle,SpikeIdle,SpikeProfile,,,SpikeProfile,SpikeIdle,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,Spike002Projectile,,Spike002UltiProjectile,spike_002_atk,,spike_002_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepDefault,Barkeep,barkeep_geo.scw,,,barley_base_cam.scw,barley_intro_pose.scw,,BarkeepIdle,BarkeepWalk,BarkeepPrimary,BarkeepSecondary,BarkeepRecoil,,BarkeepRecoil,,BarkeepReload,BarkeepPushback,BarkeepWin,BarkeepWinloop,BarkeepLose,BarkeepLoseloop,BarkeepWin,BarkeepWinloop,BarkeepWinidleloop,BarkeepWin,BarkeepWinidleloop,BarkeepWin,,BarkeepIdle,BarkeepIdle,BarkeepProfile,,,BarkeepIntro,BarkeepIdle,,,,BarkeepSecondary,BarkeepRecoil,BarleyStill,BarleyStill,BarleyWin,BarleyWinLoop,BarleyLose,BarleyLoseLoop,BarleyWin,BarleyWinLoop,BarleyWinLoop,BarleyWin,BarleyWinLoop,BarleyWin,BarleyStill,BarleyStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MechanicDefault,Mechanic,jessie_geo.glb,,,jessie_portrait.glb,emz_intro_pose.scw,,JessieIdle,JessieWalk,JessiePrimary,JessieUltiAttack,JessieRecoil,,JessieUltiRecoil,,JessieReload,JessiePushback,JessieWin,JessieWinloop,JessieLose,JessieLoseloop,JessieWin,JessieWinloop,JessieIdle,JessieWin,JessieWinloop,JessieWin,,JessieIdle,JessieIdle,JessieProfile,,,JessieProfile,JunkerIdle,,,,,,JessieRenewStill,JessieRenewStill,JessieRenewWin,JessieRenewWinLoop,JessieRenewLose,JessieRenewLoseLoop,JessieRenewWin,JessieRenewWinLoop,JessieRenewIdle,JessieRenewWin,JessieRenewWinLoop,JessieRenewWin,JessieRenewStill,JessieRenewStill,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanDefault,Shaman,nita_geo.scw,,,nita_base_cam.scw,emz_intro_pose.scw,,ShamanIdle,ShamanWalk,ShamanAttack,ShamanSecondary,ShamanRecoil,,ShamanRecoil,,ShamanReload,ShamanPushback,ShamanWin,ShamanWinloop,ShamanLose,ShamanLoseloop,ShamanWin,ShamanWinloop,ShamanIdle,ShamanWin,ShamanWinloop,ShamanWin,,ShamanIdle,ShamanIdle,ShamanProfile,,,ShamanProfile,ShamanIdle,,,,,,NitaStill,NitaStill,NitaWin,NitaWinLoop,NitaLose,NitaLoseLoop,NitaWin,NitaWinLoop,NitaWinLoop,NitaWin,NitaWinLoop,NitaWin,NitaStill,NitaStill,,,,,,,true,true,,,,nita_def_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanPanda,Shaman,nita_geo.scw,,,nita_base_cam.scw,emz_intro_pose.scw,,ShamanIdle,ShamanWalk,ShamanAttack,ShamanSecondary,ShamanRecoil,,ShamanRecoil,,ShamanReload,ShamanPushback,ShamanWin,ShamanWinloop,ShamanLose,ShamanLoseloop,ShamanWin,ShamanWinloop,ShamanIdle,ShamanWin,ShamanWinloop,ShamanWin,,ShamanIdle,ShamanIdle,ShamanProfile,,,ShamanProfile,ShamanIdle,,,,,,NitaStill,NitaStill,NitaWin,NitaWinLoop,NitaLose,NitaLoseLoop,NitaWin,NitaWinLoop,NitaWinLoop,NitaWin,NitaWinLoop,NitaWin,NitaStill,NitaStill,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanBearDefault,ShamanPet,nita_bear_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearShibaIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanBearPanda,ShamanPet,nita_bear_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearShibaIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanDragon,Shaman,nita_nian_geo.glb,,,nita_base_cam.scw,emz_intro_pose.scw,,ShamanDragonIdle,ShamanDragonWalk,ShamanDragonAttack,ShamanDragonSecondary,ShamanDragonRecoil,,ShamanDragonRecoil,,ShamanDragonReload,ShamanDragonPushback,ShamanDragonWin,ShamanDragonWinloop,ShamanDragonLose,ShamanDragonLoseloop,ShamanDragonWin,ShamanDragonWinloop,ShamanDragonIdle,ShamanDragonWin,ShamanDragonWinloop,ShamanDragonWin,,ShamanDragonIdle,ShamanDragonIdle,ShamanDragonProfile,ShamanIdle,,ShamanDragonProfile,ShamanIdle,,,,,,NitaStill,NitaStill,NitaWin,NitaWinLoop,NitaLose,NitaLoseLoop,NitaWin,NitaWinLoop,NitaWinLoop,NitaWin,NitaWinLoop,NitaWin,NitaStill,NitaStill,,,,,,,true,true,Shaman005Projectile,,Shaman005UltiProjectile,amber_def_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UndertakerDefault,Undertaker,mortis_geo.scw:headGeo+hairGeo+cloakGeo+armsGeo+torsoGeo+capeGeo+capeGeo1+legsGeo+shoesGeo+lanternGeo+shovelGeo+shovelsmearGeo,,,mortis_base_cam.scw,emz_intro_pose.scw,,UndertakerIdle,UndertakerWalk,UndertakerAttack,UndertakerUltiAttack,UndertakerRecoil1,,UndertakerUltiRecoil1,,,UndertakerPushback,UndertakerWin,UndertakerWinloop,UndertakerLose,UndertakerLoseloop,UndertakerWin,UndertakerWinloop,UndertakerIdle,UndertakerWin,UndertakerWinloop,UndertakerWin,,UndertakerIdle,UndertakerIdle,UndertakerProfile,,,UndertakerProfile,UndertakerIdle,,,,,,MortisStill,MortisStill,MortisWin,MortisWinLoop,MortisLose,MortisLoseLoop,MortisWin,MortisWinLoop,MortisWinLoop,MortisWin,MortisWinLoop,MortisWin,MortisStill,MortisStill,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowDefault,Crow,crow_geo.glb,,,crow_base_cam.scw,emz_intro_pose.scw,,CrowIdle,CrowWalk,CrowPrimary,CrowSecondary,CrowRecoil,,CrowIdle,,CrowReload,CrowPushback,CrowWin,CrowWinloop,CrowLose,CrowLoseloop,CrowWin,CrowWinloop,CrowIdle,CrowWin,CrowWinloop,CrowWin,,CrowIdle,CrowIdle,CrowProfile,,,CrowProfile,CrowIdle,,,,,,CrowFace,CrowFace,CrowHappy,CrowFace,CrowSad,CrowSad,CrowHappy,CrowFace,CrowFace,CrowHappy,CrowFace,CrowHappy,CrowFace,CrowFace,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowWhite,Crow,crow_white_geo.glb,,,crow_base_cam.scw,emz_intro_pose.scw,,CrowIdle,CrowWalk,CrowPrimary,CrowSecondary,CrowRecoil,,CrowIdle,,CrowReload,CrowPushback,CrowWin,CrowWinloop,CrowLose,CrowLoseloop,CrowWin,CrowWinloop,CrowIdle,CrowWin,CrowWinloop,CrowWin,,CrowIdle,CrowIdle,CrowProfile,,,CrowProfile,CrowIdle,,,,,,Crow002Face,Crow002Face,Crow002Happy,Crow002Face,Crow002Sad,Crow002Sad,Crow002Happy,Crow002Face,Crow002Face,Crow002Happy,Crow002Face,Crow002Happy,Crow002Face,Crow002Face,,,,,,,,,Crow003Projectile,,Crow003UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeadMariachiDefault,DeadMariachi,poco_geo.scw,,,poco_base_cam.scw,emz_intro_pose.scw,,PocoIdle,PocoWalk,PocoAttack,PocoSecondary,PocoRecoil,,PocoRecoil,,PocoReload,PocoPushback,PocoWin,PocoWinloop,PocoLose,PocoLoseloop,PocoWin,PocoWinloop,PocoIdle,PocoWin,PocoWinloop,PocoWin,,PocoIdle,PocoIdle,PocoProfile,,,PocoProfile,PocoIdle,,,,,,PocoStill,PocoStill,PocoWin,PocoWinLoop,PocoLose,PocoLoseLoop,PocoWin,PocoWinLoop,PocoWinLoop,PocoWin,PocoWinLoop,PocoWin,PocoStill,PocoStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeDefault,BowDude,bo_geo.scw,,,bo_base_cam.scw,emz_intro_pose.scw,,BowGuyIdle,BowGuyWalk,BowGuyAttack,BowGuySecondary,BowGuyRecoil,,BowGuyRecoil2,,,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyLose,BowGuyLoseloop,BowGuyWin,BowGuyWinloop,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyWin,,BowGuyIdle,BowGuyIdle,BowGuyProfile,,,BowGuyProfile,BowGuyIdle,,,,,,BoStill,BoStill,BoWin,BoWinLoop,BoLose,BoLoseLoop,BoWin,BoWinLoop,BoWinLoop,BoWin,BoWinLoop,BoWin,BoStill,BoStill,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperDefault,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperWin,SniperWinloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,,SniperIdle,SniperIdle,SniperProfile,,,SniperProfile,SniperIdle,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperStillOpen,PiperStillOpen,PiperWin,PiperWinLoop,PiperLose,PiperLoseLoop,PiperWin,PiperWinLoop,PiperWinLoop,PiperWin,PiperWinLoop,PiperWin,PiperStillClosed,PiperStillClosed,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinigunDudeDefault,MinigunDude,pam_geo.scw,,,pam_base_cam.scw,emz_intro_pose.scw,,PamIdle,PamWalk,PamAttack,PamSecondary,PamRecoil,,PamSecondaryRecoil,,PamReload,PamPushback,PamWin,PamWinloop,PamLose,PamLoseloop,PamWin,PamWinloop,PamIdle,PamWin,PamWinloop,PamWin,,PamIdle,PamIdle,PamPortrait,,,PamPortrait,PamIdle,,,,,,PamFace,PamFace,PamHappy,PamFace,PamFace,PamFace,PamHappy,PamFace,PamFace,PamHappy,PamFace,PamFace,PamStill,PamStill,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyHair,BullDude,bull_viking_geo.scw,,,bull_base_cam.scw,emz_intro_pose.scw,,BullVikingIdle,BullVikingWalk,BullVikingPrimary,BullVikingSecondary,BullVikingRecoil,,BullVikingRecoil,,BullVikingIdle,BullVikingPushback,BullVikingWin,BullVikingWinloop,BullVikingLose,BullVikingLoseloop,BullVikingWin,BullVikingWinloop,BullVikingIdle,BullVikingWin,BullVikingWinloop,BullVikingWin,,BullVikingIdle,BullVikingIdle,BullGuyHairProfile,,,BullGuyHairProfile,BullVikingIdle,,,,,,BullStill,BullStill,BullWin,BullWinLoop,BullLose,BullLoseLoop,BullWin,BullWinLoop,BullWinLoop,BullWin,BullWinLoop,BullWin,BullStill,BullStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotGold,TrickshotDude,rico_gold_geo.scw,,,rico_base_cam.scw,emz_intro_pose.scw,,RicoGoldIdle,RicoGoldWalk,RicoGoldPrimary,RicoGoldSecondary,RicoGoldRecoil,,RicoGoldRecoil,,RicoGoldReload,RicoGoldPushback,RicoGoldWin,RicoGoldWinloop,RicoGoldLose,RicoGoldLoseloop,RicoGoldWin,RicoGoldWinloop,RicoGoldIdle,RicoGoldWin,RicoGoldWinloop,RicoGoldWin,,RicoGoldIdle,RicoGoldIdle,RicoProfile,,,RicoProfile,RicoGoldIdle,,,,,,Rico003Still,Rico003Still,Rico003Win,Rico003WinLoop,Rico003Lose,Rico003LoseLoop,Rico003Win,Rico003WinLoop,Rico003WinLoop,Rico003Win,Rico003WinLoop,Rico003Win,Rico003Still,Rico003Still,,,,,,,,,Rico003Projectile,,Rico003UltiProjectile,rico_003_atk,,rico_003_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
