"TID_JELLY_CATCH_RED_X_LEFT","<AMOUNT> Trash from defeat!","<AMOUNT> من القمامة تفصلك عن الهزيمة!","敌方再捡起<AMOUNT>个垃圾即可获胜！","敵方再撿起<AMOUNT>個垃圾即可獲勝！","<AMOUNT> Müll von Niederlage entfernt!","¡<AMOUNT> más de basura para perder!","<AMOUNT> roskan päässä tappiosta!","Encore <AMOUNT> déchets avant la défaite !","אשפה <AMOUNT> מתבוסה!","<AMOUNT> 1 Sampah lagi dan kamu kalah!","Ancora <AMOUNT> rifiuto/i per i nemici!","あと<AMOUNT>個ゴミを拾われると敗北！","패배까지 남은 쓰레기: <AMOUNT>개!","<AMOUNT> Sampah lagi sebelum kalah!","Nog <AMOUNT> afval tot nederlaag!","Śmieci za przegraną: <AMOUNT>","Lixo faltando para a derrota: <AMOUNT>!","Мусора до поражения: <AMOUNT>!","เหลือขยะอีก <AMOUNT> ชิ้นก็จะแพ้แล้ว!","Yenilgiye <AMOUNT> çöp kaldı!","Thêm <AMOUNT> Mẩu Rác là thua trận!"
"TID_JELLY_CATCH_BLUE_X_LEFT","<AMOUNT> Trash from victory!","<AMOUNT> من القمامة تفصلك عن النصر!","我方再捡起<AMOUNT>个垃圾即可获胜！","我方再撿起<AMOUNT>個垃圾即可獲勝！","Noch <AMOUNT> Müll bis zum Sieg!","¡<AMOUNT> más de basura para ganar!","<AMOUNT> roskan päässä voitosta!","Encore <AMOUNT> déchets avant la victoire !","אשפה <AMOUNT> מניצחון!","<AMOUNT> 1 Sampah lagi untuk menang!","Ancora <AMOUNT> rifiuto/i per vincere!","あと<AMOUNT>個ゴミを拾うと勝利！","승리까지 남은 쓰레기: <AMOUNT>개!","<AMOUNT> Sampah lagi untuk menang!","Nog <AMOUNT> afval voor overwinning!","Śmieci za wygraną: <AMOUNT>","Lixo faltando para a vitória: <AMOUNT>!","Мусора до победы: <AMOUNT>!","เหลือขยะอีก <AMOUNT> ชิ้นก็จะชนะแล้ว!","Zafere <AMOUNT> çöp kaldı!","Thêm <AMOUNT> Mẩu Rác là chiến thắng!"
"TID_TRUE_SILVER_SAMURAI_SKIN_SHOP","TRUE SILVER\nKENJI","كينجي\nالفضة الخالصة","铂银健次","閃耀銀賢治","STARSILBER\nKENJI","KENJI\nPLATEADO","JALOHOPEA-\nKENJI","KENJI\nARGENT MASSIF","יציקת קנג‘י\nמכסף","KENJI\nPERAK","KENJI\nARGENTEO","トゥルーシルバー\nケンジ","트루 실버 켄지","KENJI\nPERAK","MASSIEF ZILVEREN\nKENJI","SREBRNY\nKENJI","KENJI\nPRATEADO","СЕРЕБРЯНЫЙ\nКЭНДЗИ","เคนจิ\nร่างเงินล้วน","SAF GÜMÜŞ\nKENJI","KENJI\nBẰNG BẠC"
"TID_TRUE_GOLD_SAMURAI_SKIN_SHOP","TRUE GOLD\nKENJI","كينجي\nالذهب الخالص","辉金健次","璀璨金賢治","STARGOLD\nKENJI","KENJI\nDORADO","JALOKULTA-\nKENJI","KENJI\nOR MASSIF","יציקת קנג‘י\nמזהב","KENJI\nEMAS","KENJI\n24 CARATI","トゥルーゴールド\nケンジ","트루 골드 켄지","KENJI\nEMAS","MASSIEF GOUDEN\nKENJI","ZŁOTY\nKENJI","KENJI\nDOURADO","ЗОЛОТОЙ\nКЭНДЗИ","เคนจิ\nร่างทองล้วน","SAF ALTIN\nKENJI","KENJI\nBẰNG VÀNG"
"TID_TRUE_GOLD_DIGGER_SKIN_SHOP","TRUE GOLD\nMOE","مو\nالذهب الخالص","辉金阿萌","璀璨金莫","STARGOLD\nMOE","MOE\nDORADO","JALOKULTA-\nMOE","MOE\nOR MASSIF","יציקת מו\nמזהב","MOE\nEMAS","MOE\n24 CARATI","トゥルーゴールド\nモー","트루 골드 모","MOE\nEMAS","MASSIEF GOUDEN\nMOE","ZŁOTY\nMOE","MOE\nDOURADO","ЗОЛОТОЙ\nМО","โม\nร่างทองล้วน","SAF ALTIN\nMOE","MOE\nBẰNG VÀNG"
"TID_TRUE_SILVER_DIGGER_SKIN_SHOP","TRUE SILVER\nMOE","مو\nالفضة الخالصة","铂银阿萌","閃耀銀莫","STARSILBER\nMOE","MOE\nPLATEADO","JALOHOPEA-\nMOE","MOE\nARGENT MASSIF","יציקת מו\nמכסף","MOE\nPERAK","MOE\nARGENTEO","トゥルーシルバー\nモー","트루 실버 모","MOE\nPERAK","MASSIEF ZILVEREN\nMOE","SREBRNY\nMOE","MOE\nPRATEADO","СЕРЕБРЯНЫЙ\nМО","โม\nร่างเงินล้วน","SAF GÜMÜŞ\nMOE","MOE\nBẰNG BẠC"
"TID_MORNINGSTAR_SP_1_DESC","The explosions from Lumi's Blast Beat also set the area alight for <c00cc00><VALUE1></c> seconds. Fire damage also scales with explosion damage. Damage per second for the biggest explosion: <c00cc00><VALUE2></c>","الانفجارات الناتجة عن ’الإيقاع المتفجر‘ للومي تشعل المنطقة بالنيران أيضًا لمدة <c00cc00><VALUE1></c> ث. يتغير ضرر النار بتغير ضرر الانفجار. الضرر في الثانية لأكبر انفجار: <c00cc00><VALUE2></c>","露米超级技能制造的爆炸还会点燃地面，持续<c00cc00><VALUE1></c>秒。火焰伤害与超级技能爆炸伤害呈正比，最大爆炸对应的每秒火焰伤害：<c00cc00><VALUE2></c>","露米超級技能引發的爆炸還會點燃地面，持續<c00cc00><VALUE1></c>秒。火焰傷害與超級技能爆炸傷害呈正比，最大爆炸對應的火焰傷害每秒為：<c00cc00><VALUE2></c>","Die Explosionen von Lumis Fesselndem Beat setzen den Bereich außerdem <c00cc00><VALUE1></c> Sekunden lang in Brand. Der Schaden des Feuers erhöht sich mit dem Explosionsschaden. Schaden pro Sekunde für größte Explosion: <c00cc00><VALUE2></c>.","Las explosiones del Ritmo explosivo de Lumi también crean llamas durante <c00cc00><VALUE1></c> segundos. El daño infligido depende de la magnitud de cada explosión. Daño por segundo de la mayor explosión posible: <c00cc00><VALUE2></c>.","Lumin räjähtävät biitit sytyttävät alueen palamaan <c00cc00><VALUE1></c> sekunniksi. Liekkien tuhovoima määrittyy räjähdyksen tekemän tuhon perusteella. Suurimman räjähdyksen tuhovoima sekunnissa: <c00cc00><VALUE2></c>","Les explosions de Batterie explosive enflamment également la zone pendant <c00cc00><VALUE1></c> seconde(s). Les dégâts du feu correspondent aux dégâts de l'explosion. Dégâts par seconde de la plus grosse explosion : <c00cc00><VALUE2></c>.","הפיצוץ שנגרם מחבטת המחץ של לומי מצית את הזירה למשך <c00cc00><VALUE1></c> שניות. הנזק מהאש גובר גם עם נזק בכל פיצוץ. הנזק לשנייה בעקבות הפיצוץ הכי גדול: <c00cc00><VALUE2></c>","Ledakan dari Dentum Detonasi Lumi juga akan membakar area selama <c00cc00><VALUE1></c> detik. Kerusakan api juga akan mengikuti dengan besar ledakan. Kerusakan per detik untuk ledakan terbesar: <c00cc00><VALUE2></c>","Le esplosioni create dalla super di Lumi danno fuoco per <c00cc00><VALUE1></c> secondi al terreno colpito e i danni causati dalle fiamme variano in base alla potenza delle varie esplosioni. Le fiamme di quella più grossa causano <c00cc00><VALUE2></c> punti danno al secondo.","必殺技の爆発が<c00cc00><VALUE1></c>秒間にわたって地面を炎上させる。ダメージは爆発の威力に比例する。\n最大毎秒ダメージ：<c00cc00><VALUE2></c>","특수 공격으로 발생한 폭발이 <c00cc00><VALUE1></c>초간 주변을 불태웁니다. 화염 피해량은 폭발 피해량에 비례하며, 가장 큰 폭발은 초당 <c00cc00><VALUE2></c>의 피해를 줍니다.","Letupan daripada Hentaman Meletup Lumi juga membuat kawasan terbakar selama <c00cc00><VALUE1></c> saat. Kerosakan api akan bergantung pada kerosakan letupan. Kerosakan setiap saat untuk letupan terbesar: <c00cc00><VALUE2></c>","De explosies van Lumi's super zetten het gebied ook <c00cc00><VALUE1></c> seconden in brand. De brandschade wordt geschaald op basis van de explosieschade. Schade per seconde voor de grootste explosie: <c00cc00><VALUE2></c>.","Eksplozje z Wybuchowego uderzenia Lumi stawiają ten obszar w ogniu na <c00cc00><VALUE1></c> s. Obrażenia są proporcjonalne do obrażeń w wyniku eksplozji. Obrażenia na sekundę dla największej eksplozji: <c00cc00><VALUE2></c>","O impacto da Batida Explosiva da Lumi também deixa a área pegando fogo por <c00cc00><VALUE1></c> segundos. O dano aumenta com as explosões. Dano por segundo da maior explosão: <c00cc00><VALUE2></c>","Взрывы от Супера Луми также поджигают область взрыва на <c00cc00><VALUE1></c> с. Урон от огня тем больше, чем больше урон от взрыва. Урон от наибольшего взрыва: <c00cc00><VALUE2></c> ед./с.","ระเบิดจากจังหวะระเบิดสนั่นของลูมี่จะทำให้บริเวณนั้นไฟลุกเป็นระยะเวลา <c00cc00><VALUE1></c> วินาที ความเสียหายของไฟขึ้นอยู่กับความเสียหายจากระเบิด ความเสียหายต่อวินาทีของระเบิดลูกใหญ่ที่สุด: <c00cc00><VALUE2></c>","Lumi'nin Patlayan Ritim patlamaları ayrıca alanı <c00cc00><VALUE1></c> saniyeliğine ateşe verir. Ateşin verdiği hasar, patlamanın gücüyle orantılıdır. En büyük patlamada saniye başına hasar: <c00cc00><VALUE2></c>","Nhịp Điệu Phát Nổ của Lumi cũng sẽ thiêu cháy mặt đất trong vòng <c00cc00><VALUE1></c> giây. Sát thương lửa sẽ tỷ lệ thuận với sát thương vụ nổ. Sát thương mỗi giây từ vụ nổ lớn nhất: <c00cc00><VALUE2></c>"
"TID_CROW_FREEDOM_SKIN_SHOP","FREEDOM\nCROW","كرو\nالحرية","自由黑鸦","自由之翼","FREIHEITSSCHWINGE\nCROW","CROW\nLIBRE","VAPAUDEN\nCROW","CORBAC\nUSA","קרואו\nחירות","CROW\nSAYAP KEBEBASAN","CORVO\nPALADINO DELLA LIBERTÀ","フリーダム\nクロウ","프리덤 크로우","CROW\nKEBEBASAN","VRIJHEID-\nCROW","WOLNY\nKRUK","CORVO\nDA LIBERDADE","РЫЦАРЬ СВОБОДЫ\nВОРОН","โครว\nเทพแห่งเสรีภาพ","ÖZGÜR\nCROW","QUẠ\nÁNH SÁNG TỰ DO"
"TID_COMPETITIVE_PASS_UNLOCK_PASS","Activate PRO PASS to unlock premium rewards!","فعّل PRO PASS لفتح مكافآت فاخرة!","启用巅峰通行证，解锁专属奖励！","啟用PRO通行券，解鎖超讚獎勵！","Aktiviere den PRO-PASS, um Premiumbelohnungen freizuschalten!","¡Activa el Pro Pass para desbloquear recompensas exclusivas!","Avaa premium-palkintoja aktivoimalla Pro Pass!","Activez le PASS PRO pour débloquer des récompenses premium !","יש להפעיל את ה-PRO PASS לפתיחת פרסי פרמיום!","Aktifkan PRO PASS untuk membuka hadiah premium!","Attiva il PASS PRO per sbloccare ricompense premium!","プロパスを有効化してプレミアム報酬をアンロックしましょう！","프로 패스를 활성화하고 프리미엄 보상을 획득하세요!","Aktifkan PRO PASS untuk membuka ganjaran premium!","Activeer de PRO PASS om premium beloningen te ontgrendelen!","Aktywuj KARNET PRO, aby odblokować nagrody premium!","Ative o PRO PASS para liberar recompensas especiais!","Активируй PRO PASS, чтобы разблокировать премиальные награды!","เปิดใช้ Pro Pass เพื่อปลดล็อครางวัลพรีเมียม!","Pro Pass'i etkinleştirerek özel ödüller kazanırsın!","Kích hoạt VÉ PRO để mở khóa các phần thưởng tốt hơn!"
"TID_COMPETITIVE_PASS_GET_MORE_POINTS","Get more Pro Pass XP to unlock this Reward!","اربح المزيد من خبرة Pro Pass لفتح هذه المكافأة!","获取更多巅峰通行证经验值以解锁此奖励！","獲取更多PRO通行券經驗值以解鎖這項獎勵！","Hol dir mehr Pro-Pass-XP, um diese Belohnung freizuschalten!","¡Consigue más XP del Pro Pass para desbloquear esta recompensa!","Avaa tämä palkinto hankkimalla lisää Pro Pass XP:tä!","Gagnez plus d'EXP Pass Pro pour débloquer cette récompense !","צריך עוד Pro Pass XP כדי לפתוח את הפרס הזה!","Dapatkan lebih banyak XP Pro Pass untuk membuka Hadiah ini!","Ti servono più XP del Pass Pro per ottenere questo premio!","プロパスXPをもっと集めてこの報酬をアンロックしましょう！","프로 패스 XP를 더 모아 이 보상을 잠금 해제하세요!","Memperoleh lebih XP Pro Pass untuk membuka ganjaran ini!","Verzamel meer Pro Pass-XP voor deze beloning!","Zdobądź więcej PD Pro, aby odblokować tę nagrodę.","Obtenha mais XP do Pro Pass para liberar essa recompensa!","Чтобы разблокировать эту награду, нужно больше опыта Pro Pass!","เก็บค่าประสบการณ์ Pro Pass เพิ่มเพื่อปลดล็อครางวัลนี้!","Bu ödülü açmak için daha fazla Pro Pass DP'si almalısın!","Kiếm thêm ĐKN Vé Pro để mở khóa phần thưởng này!"
"TID_CORED_EVE_SKIN_SHOP","CORED\nEVE","إيف\nالتفاحة","果核伊芙","果核支配者","ENTKERNTE\nEVE","EVE\nMANZANA","KARA-\nEVE","EVE\nTROGNONNE","איב\nללא ליבה","EVE\nAPEL","EVE\nFRUTTO PROIBITO","アップルシェル\nイヴ","애플 라이더 이브","EVE\nTERAS","KLOKHUIS-\nEVE","WDRĄŻONA\nEVE","EVE\nGERMINAL","ЯБЛОЧНАЯ\nЕВА","อีฟ\nยานแอปเปิ้ล","TOHUM\nEVE","EVE\nCỐT LÕI"
"TID_MORNINGSTAR_GADGET_1","HIT THE LIGHTS","إشعال الأضواء","光芒乍现","光芒乍現","FLAMMENDE STERNE","EL SUELO ES LAVA","VALOJA PÄÄLLE","MÉTAL BRÛLANT","להבות כוכב","MENYALA BINTANGKU","MAZZAFRUSTI INFERNALI","ライトアップ","도화선","PENCETUS API","LICHT ONTVLAMBAAR","NIECH STANIE SIĘ ŚWIATŁOŚĆ","O CHÃO É LAVA","ОГНЕННОЕ ШОУ","กระบองดาวฟ้าฟาด","ALEVLİ TOPUZLAR","QUẢ CHÙY RỰC LỬA"
"TID_VILLAN_BIBI_SKIN","JUSTICE SMASHER BIBI","بيبي مقاتلة العدالة","惩戒者比比","懲戒者","VERBRECHENS-\nRÄCHERIN BIBI","BIBI IMPLACABLE","OIKEUDEN MURSKAAJA -BIBI","BILLIE JUSTICIÈRE","באבל מוחצת צדק","BIBI PEMBERANTAS KEADILAN","BIBI PUNITRICE","犯罪制裁者 ビビ","정의의 파괴자 비비","BIBI PENJAGA KEADILAN","GERECHTIGHEIDKLOPPER BIBI","POGROMCZYNI SPRAWIEDLIWOŚCI BIBI","BIBI INCORRUPTÍVEL","БЕЗБАШЕННАЯ БИБИ","ผู้ผดุงความยุติธรรม บีบี","ADALET DÜŞMANI BIBI","BIBI CÔNG LÝ"
