"TID","DE"
"TID_BOW_DUDE_ULTI_DESC","Bo versteckt explosive Fallen im Boden. Werden sie von einem Feind ausgelöst, explodieren sie nach kurzer Zeit, stoßen Gegner weg und fügen ihnen Schaden zu."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Je weiter Pipers Sniper-Schüsse fliegen, desto mehr Schaden richten sie an. Mit ihrem Superskill platziert sie Granaten und springt davon!"
"TID_SNIPER_WEAPON","BELLE-ISTIK"
"TID_SNIPER_WEAPON_DESC","Piper schießt einen Sniper-Schuss aus ihrem Sonnenschirm. Je weiter er fliegt, desto mehr Schaden richtet er an!"
"TID_SNIPER_ULTI","KNALLSCHIRMSPRUNG"
"TID_SNIPER_ULTI_DESC","Piper entgleitet elegant ihren Verehrern und lässt ihnen sogar noch ein Geschenk da: drei scharfe Granaten aus ihrem Strumpfband!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam beschießt ihre Gegner aus der Hüfte mit Altmetall. Ihr Superskill ist eine Maschine, die sie und ihre Verbündeten heilt."
"TID_MINIGUN_DUDE_WEAPON","SCHROTTNADO"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam deckt eine große Fläche mit Salven aus Altmetall ab. Wir raten zu Schutzbrillen!"
"TID_MINIGUN_DUDE_ULTI","MAMAS SCHMATZER"
"TID_MINIGUN_DUDE_ULTI_DESC","Pams Geschützturm verströmt eine lindernde Aura, die sie selbst sowie Verbündete in ihrem Wirkungsbereich heilt."
"TID_BONE_THROWER","Knochenwerfer"
"TID_BONE_THROWER_DESC","Mit seinem massiven Maschinengewehr kann der Minigunner es mit einer ganzen Horde von Gegnern aufnehmen. Sein Bewegungstempo ist langsam und er ist gegen Zurückstoßen immun."
"TID_BONE_THROWER_WEAPON","MINIGUN"
"TID_BONE_THROWER_WEAPON_DESC","Der Minigunner schafft es, das Tragen dieses massiven Maschinengewehrs leicht aussehen zu lassen. Er kann sogar laufen, während er es vollautomatisch abfeuert!"
"TID_BONE_THROWER_ULTI","VERBANDSKASTEN"
"TID_BONE_THROWER_ULTI_DESC","Es kann vorkommen, dass man in einem hochintensiven Feuergefecht einige Kratzer davonträgt. Der Verbandskasten sorgt dafür, dass dein Team gesund weiterkämpfen kann."
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","Tara wirft drei Karten, die ihre Feinde durchdringen. Mit ihrem Superskill erzeugt sie ein schwarzes Loch, das Gegner in dessen Mitte zieht und Schaden verursacht."
"TID_BLACK_HOLE_WEAPON","Tripeltarot"
"TID_BLACK_HOLE_WEAPON_DESC","Tara wirft geschickt drei Tarotkarten, die Gegner durchdringen. Was für ein Trick!"
"TID_BLACK_HOLE_ULTI","ANZIEHUNGSKRAFT"
"TID_BLACK_HOLE_ULTI_DESC","Tara beschwört einen Gravitationsbrunnen! Feinde im Wirkungsbereich werden hineingezogen und stoßen unter großen Schmerzen aneinander."
"TID_TURRET_DAMAGE","Geschützturmschaden"
"TID_TURRET_HEALTH","Geschützturm-Trefferpunkte"
"TID_STAT_DAMAGE_PER_SECOND","Schaden pro Sekunde"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Schaden pro Sekunde"
"TID_STAT_DAMAGE_PER_STRIKE","Schaden pro Schlag"
"TID_ROBOT","DEPUTY IRONS"
"TID_ROBOT_DESC","Der eiserne Arm des Gesetzes."
"TID_ROBOT_WEAPON","RAKETENSNIPE"
"TID_ROBOT_WEAPON_DESC","Depute Irons verschießt mit mechanischer Präzision eine hochexplosive Rakete, die eine extrem hohe Entfernung zurücklegen kann."
"TID_ROBOT_ULTI","SPERRZONE"
"TID_ROBOT_ULTI_DESC","Wenn es hart auf hart kommt, kann Deputy Irons Raketen auf einen Bereich regnen lassen, um Gegner zu erledigen und Schaulustige zu vertreiben."
"TID_ARMOR_STAT","Trefferpunkte"
"TID_HEALTH","Trefferpunkte"
"TID_STAT_GRENADE_DAMAGE","Schaden pro Granate"
"TID_STAT_MISSILE_DAMAGE","Schaden pro Rakete"
"TID_STAT_HEALTH","Trefferpunkte"
"TID_STAT_SPEED","Geschwindigkeit"
"TID_STAT_DAMAGE","Schaden"
"TID_STAT_DAMAGE_PER_SHOT","Schaden pro Kugel"
"TID_STAT_DAMAGE_PER_SHELL","Schaden pro Kugel"
"TID_STAT_HAMMER_DAMAGE","Schaden alle 0,2 Sek."
"TID_BATTLE","SPIELEN"
"TID_QUIT","Verl."
"TID_MATCHMAKING_QUIT","Verlassen"
"TID_MATCHMAKING_HEADING","Spielersuche"
"TID_MATCHMAKING_TIME_LABEL","Brawl beginnt in:"
"TID_MATCHMAKING_PLAYERS","Gefundene Spieler: <x>/<y>"
"TID_BUTTON_CANCEL","Abbrechen"
"TID_BUTTON_OK","Okay"
"TID_ENTER_NAME_TITLE","Willkommen bei Brawl Stars!"
"TID_ENTER_NAME_BODY","Wie lautet dein Name?"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Zeit bis Start: <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Verbunden"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Verbinden"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Anmelden"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Ohne spielen"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Möchtest du einen anderen Spielstand mit EP-Level <number> laden? Melde dich hierzu mit deiner Supercell ID an."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Fehler!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client nicht mit Server synchronisiert!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Spiel neu laden"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Verbindungsfehler"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Verbindung mit dem Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Anmeldung fehlgeschlagen"
"TID_ERROR_POP_UP_LOGIN_FAILED","Bitte versuche es später erneut."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Noch da?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Tippe auf die Schaltfläche unten, um das Spiel neu zu laden."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Spiel neu laden"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update verfügbar!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Gute Neuigkeiten! Eine neue Version des Spiels ist verfügbar."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Wartungsarbeiten"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Die Server werden derzeit gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_BANNED_TITLE","Du bist gesperrt!"
"TID_ERROR_POP_UP_BANNED","Du bist vorübergehend gesperrt!"
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Support kontaktieren"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Mehr Infos"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Wichtiger Hinweis"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars ist kostenlos spielbar, aber durch In-App-Käufe kann dein Fortschritt beschleunigt werden. (Diese kannst du in den Einstellungen deines Geräts deaktivieren.) Tippe auf \qOkay\q, um unsere Nutzungsbedingungen und unsere Datenschutzrichtlinien zu akzeptieren."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","Okay"
"TID_SERVER_ERROR_TITLE","Serverfehler <number>"
"TID_SERVER_ERROR","Die Verbindung wurde während des Brawls getrennt."
"TID_SERVER_ERROR_BUTTON","Okay"
"TID_COME_BACK_NOTIFICATION_SMALL","Wie wär´s mit noch einem Brawl?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Wie wär´s mit noch einem Brawl?"
"TID_COME_BACK_NOTIFICATION_LARGE","Wie wär´s mit noch einem Brawl?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Verbindung getrennt"
"TID_ERROR_POP_UP_CONNECTION_LOST","Bitte versuche erneut, dich anzumelden!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Anmeldung erneut versuchen"
"TID_TROPHIES","Trophäen"
"TID_PRACTICE","TRAINING"
"TID_READY","Bereit"
"TID_BATTLE_END_TITLE_VICTORY","SIEG!"
"TID_BATTLE_END_TITLE_DEFEAT","NIEDERLAGE"
"TID_BATTLE_END_TITLE_DRAW","Unentschieden"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","<TIME> lang überlebt"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Du bist Erster!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Platz: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Das Spiel endete in einem Unentschieden, da beide Teams gleich viele Juwelen gesammelt haben!"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Riesenbrawler in <TIME> besiegt"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","<TIME> lang überlebt"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","HERAUSFORDERUNG: <LEVEL> GEMEISTERT!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","NIEDERLAGE"
"TID_BATTLE_END_RETURN_HOME","VERLASSEN"
"TID_BATTLE_END_NEXT","Weiter"
"TID_BATTLE_END_TAP","Zum Fortfahren tippen"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","FÜR TRAININGSSPIELE GIBT ES KEINE TROPHÄEN"
"TID_BATTLE_END_XP_CAPPED","Sämtliche heute verfügbaren EP wurden eingesammelt"
"TID_BATTLE_END_PLAY_AGAIN","NOCH EIN SPIEL"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ABBRECHEN"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> ist deinem Team beigetreten."
"TID_RESPAWNING","Zurück in:\n<n1>"
"TID_TEAMS_POPUP_TITLE","TEAMS"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Teams von Freunden & deinem Club"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","WENN DU EINEM CLUB BEITRITTST, WERDEN AKTIVE MATCHES HIER ANGEZEIGT"
"TID_TEAMS_POPUP_SEARCH","MIT CODE BEITRETEN"
"TID_TEAMS_POPUP_CREATE","TEAM ERSTELLEN"
"TID_TEAM_SEARCH_POPUP_TITLE","TEAM MIT CODE BEITRETEN"
"TID_TEAM_SEARCH_POPUP_SEARCH","BEITRETEN"
"TID_TEAM_JOIN_ROOM_CODE","Code hier eingeben ..."
"TID_TEAM_CHANGE_MAP","ÄNDERN"
"TID_TEAM_TYPE_INFO_0","Ranglistenspiel"
"TID_TEAM_TYPE_INFO_1","Testspiel"
"TID_TEAM_TYPE_INFO_2","Ticketereignisse"
"TID_TEAM_MEMBER_LEFT_0","Du hast das Team verlassen."
"TID_TEAM_MEMBER_LEFT_1","Du wurdest aus dem Team gekickt."
"TID_TEAM_MEMBER_LEFT_2","Team wurde aufgelöst, da das Ereignis vorbei ist."
"TID_TEAM_MEMBER_LEFT_3","Team wurde aufgelöst, da der Ersteller das Team verlassen hat."
"TID_TEAM_GAME_STARTING","Brawl beginnt"
"TID_TEAM_CODE_COPIED","Code in Zwischenablage kopiert"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>EINLADUNG VERSCHICKT</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>ABGELEHNT</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>SPIELER IST OFFLINE</c>"
