"TID","FR"
"TID_TOP_HUD_NEXT_REWARD","Prochaine récompense"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Changement de récompense"
"TID_RANK_UP_REWARD_REPLACED_POWER","Aucun de vos brawlers ne peut être sélectionné pour recevoir <AMOUNT> points.\n\nVoulez-vous changer de récompense ?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Vous avez déjà <NAME>. Vous recevrez une autre récompense."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","DEMANDE D'AMI"
"TID_PLAYER_INFO_REMOVE_FRIEND","Supprimer de la liste d'amis"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Demande d'ami envoyée"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","DÉJÀ\nAMIS"
"TID_POWER_POINTS","POINTS DE POUVOIR"
"TID_HERO_INFO_LEVEL","POUVOIR"
"TID_HERO_INFO_RANK","RANG"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","AMÉLIORER AU NIV <LVL> DE POUVOIR"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","Touchez à nouveau pour confirmer"
"TID_HERO_INFO_MAX_LEVEL","POUVOIR MAX"
"TID_HERO_INFO_MORE_POWER_NEEDED","Gagnez plus de pouvoir pour améliorer."
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Ce brawler n'a pas assez de points de pouvoir."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Vous n'avez pas assez de pièces."
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler au niveau de pouvoir maximum"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","PREMIER BRAWLER"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Joueur signalé"
"TID_TOO_MANY_REPORTS_SENT","Vous avez atteint la limite quotidienne de signalements."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Veuillez patienter avant d'envoyer un nouveau signalement."
"TID_CHOOSE_CHARACTER","CHOIX DU BRAWLER"
"TID_ARMOR","SANTÉ"
"TID_ARMOR_DESC","Indique la quantité de dégâts que votre brawler peut encaisser avant d'être mis hors-jeu."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Grâce à son fidèle fusil, Shelly fait pleuvoir la chevrotine sur ses adversaires. Son super détruit les obstacles et garde l'équipe adverse à distance."
"TID_LONG_RANGE_SHOTGUN","CHEVROTINE"
"TID_LONG_RANGE_SHOTGUN_DESC","Un coup de feu projette une volée de plombs à distance moyenne. Plus il y a de plombs qui atteignent la cible, plus les dégâts sont élevés."
"TID_MEGA_BLASH_ULTI","SUPER CHEVROTINE"
"TID_MEGA_BLASH_ULTI_DESC","La super chevrotine de Shelly rase tout sur son passage, abris et ennemis compris ! Les survivants sont projetés en arrière."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Ses deux revolvers de précision sont ses biens les plus précieux. Ils dégomment tout ce qui bouge et leur portée augmente grâce au super."
"TID_RAPID_FIRE","SIX-COUPS"
"TID_RAPID_FIRE_DESC","Colt tire six coups à longue portée grâce à ses pistolets."
"TID_RAPID_FIRE_ULTI","PLUIE DE BALLES"
"TID_RAPID_FIRE_ULTI_DESC","C'est un vrai déluge de balles avec une portée encore plus longue et qui peuvent même détruire les abris."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Le fusil de Bull fait des dégâts de fou à courte portée. Il aime aller au contact avec son super : il charge et passe à travers les obstacles, pour repousser ses ennemis."
"TID_SHOTGUN_BLAST","DOUBLE CANON"
"TID_SHOTGUN_BLAST_DESC","Vous serez surpris par les dégâts que peut infliger un seul fusil. Et sa courte portée n'est pas un problème : Bull aime aller au contact."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","On rentre la tête dans les épaules et on fonce droit devant ! Face à Bull, ni les ennemis, ni les obstacles ne font le poids."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock lance des roquettes explosives à longue portée. Son super ? Une volée de roquettes qui détruit tous les obstacles."
"TID_FIREWORKS_WEAPON","ROCK N' ROQUETTE"
"TID_FIREWORKS_WEAPON_DESC","Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?"
"TID_FIREWORKS_ULTI","PLUIE DE ROQUETTES"
"TID_FIREWORKS_ULTI_DESC","C'est une apocalypse concoctée tout spécialement par Brock, un déluge explosif qui détruit aussi bien les adversaires que les obstacles."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike balance des bâtons de dynamite à tous les vents. Et quand son super est chargé, il ne s'embête plus : un bon gros tonneau pour tout faire péter !"
"TID_MORTAR","PÉTAGE DE PLOMBS"
"TID_MORTAR_DESC","Qui se soucie des obstacles quand on peut jeter deux bâtons de dynamite par-dessus ? Avec des mèches très courtes, bien sûr, pour une explosion imminente."
"TID_MORTAR_ULTI","TONNEAU QUI FAIT BOUM"
"TID_MORTAR_ULTI_DESC","Un bon gros tonneau de dynamite règle tous les problèmes (ou presque). Ennemis soufflés au loin garantis !"
"TID_LUCHADOR","EL COSTO"
"TID_LUCHADOR_DESC","El Costo attaque ses ennemis à coups de poings destructeurs et quand vient l'heure du super, il se lance sur une zone le coude en avant !"
"TID_LUCHADOR_WEAPON","FUREUR DE VAINCRE"
"TID_LUCHADOR_WEAPON_DESC","El Costo distribue des marrons pimentés à la mexicaine : il assène quatre coups de poing rapides comme l'éclair !"
"TID_LUCHADOR_ULTI","COUP DE COUDE EXPLOSIF"
"TID_LUCHADOR_ULTI_DESC","Il saute... Par dessus la troisième corde ! Puis il retombe, le coude d'abord, pour assommer ses adversaires et détruire les obstacles."
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet tire des balles qui rebondissent sur les murs. Son super est une volée de balles qui transpercent ses cibles."
"TID_TRICKSHOT_DUDE_WEAPON","BALLES RICOCHANTES"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Les balles de Ricochet ricochent contre les murs, rallongeant leur portée, et atteignent les adversaires même derrière les obstacles."
"TID_TRICKSHOT_DUDE_ULTI","SNOOKER"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet tire une longue rafale de balles qui transpercent ses ennemis et ricochent contre les murs."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike lance des grenades pleines d'épines. Son super crée un champ de petits cactus qui ralentissent les ennemis en leur causant des dégâts."
"TID_CACTUS_WEAPON","GRENADE KIPIK"
"TID_CACTUS_WEAPON_DESC","Spike lance un petit cactus qui explose et projette des épines de partout."
"TID_CACTUS_ULTI","ÉPINÉ SUR PLACE"
"TID_CACTUS_ULTI_DESC","Spike jette une grenade hérissée d'épines. Les ennemis à portée sont ralentis et reçoivent des dégâts."
"TID_BARKEEP","BARTABA"
"TID_BARKEEP_DESC","Bartaba lance des bouteilles à ses ennemis, faisant des dégâts de zone. Son super ? Une volée de bouteilles enflammées pour la 12 !"
"TID_BARKEEP_WEAPON","COCKTAIL BARLOTOV"
"TID_BARKEEP_WEAPON_DESC","Bartaba jette une bouteille qui se brise au sol. Les ennemis reçoivent des dégâts à l'impact, ainsi que des dégâts supplémentaires s'ils se tiennent dans la flaque."
"TID_BARKEEP_ULTI","TOURNÉE GÉNÉRALE"
"TID_BARKEEP_ULTI_DESC","Avec une volée de cocktails qui mettent le feu à une large surface, Bartaba fait fuir tous les méchants. Tournée générale !"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","L'électro-fusil de Jessie tire des orbes d'énergie qui rebondissent entre les ennemis. Une fois prête, elle déploie son super, une adorable petite tourelle qui fait mal, très mal."
"TID_MECHANIC_WEAPON","ÉLECTRO-FUSIL"
"TID_MECHANIC_WEAPON_DESC","Jessie tire une boule d'énergie. Après avoir atteint une cible, le projectile rebondit vers la suivante et en touche jusqu'à trois si elles sont à sa portée."
"TID_MECHANIC_ULTI","BAGARREUSE"
"TID_MECHANIC_ULTI_DESC","Une tourelle est déployée pour tirer automatiquement sur les adversaires. Et elle est entièrement conçue à partir de matériaux recyclés !"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita Pied Léger lance des ondes de choc dévastatrices. Son animal totem, invoqué grâce à son super, est Grand Nounours."
"TID_SHAMAN_WEAPON","RUPTURE"
"TID_SHAMAN_WEAPON_DESC","Nita génère une onde de choc qui inflige des dégâts aux ennemis dans son sillage."
"TID_SHAMAN_ULTI","MAL LÉCHÉ"
"TID_SHAMAN_ULTI_DESC","Nita invoque l'esprit de Grand Nounours pour chasser ses adversaires."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis attaque les ennemis à coups de pelle et son super est une volée de chauves-souris qui le soignent et attaquent ses ennemis."
"TID_UNDERTAKER_WEAPON","COUP DE PELLE"
"TID_UNDERTAKER_WEAPON_DESC","Mortis fonce sur ses ennemis et leur assène un grand coup de pelle. Après tout, c'est bon pour les affaires."
"TID_UNDERTAKER_ULTI","CHAUVES-SOURIS"
"TID_UNDERTAKER_ULTI_DESC","Mortis appelle des chauve-souris vampires qui drainent ses ennemis de leurs points de santé et restaurent les siens. Comme c'est charmant !"
"TID_CROW","CORBAC"
"TID_CROW_DESC","Corbac jette trois dagues empoisonnées. Quand il utilise son super, il effectue un grand bond lors duquel il tire ses dagues au décollage et à l'atterrissage."
"TID_CROW_WEAPON","DAGUES"
"TID_CROW_WEAPON_DESC","Corbac lance trois dagues empoisonnées. Les ennemis touchés reçoivent des dégâts sur la durée."
"TID_CROW_ULTI","SURVOL"
"TID_CROW_ULTI_DESC","Corbac lance des dagues empoisonnées tout autour de lui quand il s'envole, et encore quand il atterrit."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco tire des ondes sonores sur ses adversaires. Il perfectionne ses riffs pour attaquer ses ennemis, et soigner ses équipiers grâce à son super."
"TID_DEAD_MARIACHI_WEAPON","ACCORD MAJEUR"
"TID_DEAD_MARIACHI_WEAPON_DESC","Un accord de son guitarron crée une onde de choc à faire grincer les dents. Gare aux dégâts !"
"TID_DEAD_MARIACHI_ULTI","RAPPEL"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco soigne ses coéquipiers et lui-même grâce à ses jolies mélodies. Aucun effet sur les adversaires."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo tire trois flèches explosives sur ses cibles. Lorsqu'il utilise son super, il pose un trio de mines bien cachées au sol."
"TID_BOW_DUDE_WEAPON","SERRES D'AIGLE"
"TID_BOW_DUDE_WEAPON_DESC","Bo tire un trio de flèches explosives qui lacèrent ses ennemis comme les serres d'un grand aigle des plaines."
"TID_BOW_DUDE_ULTI","RENARD MALIN"
"TID_BOW_DUDE_ULTI_DESC","Bo dissimule des pièges explosifs sous terre. Si un adversaire marche dessus, ils explosent après un court délai, infligeant des dégâts et les projetant au loin."
"TID_SNIPER","POLLY"
"TID_SNIPER_DESC","Plus Polly tire de loin, plus elle fait de dégâts. Lorsqu'elle utilise son super, elle s'envole gracieusement en faisant tomber quelques grenades. Quelle classe !"
"TID_SNIPER_WEAPON","PARAFUSIL"
"TID_SNIPER_WEAPON_DESC","Polly tire avec le fusil dissimulé dans son ombrelle. Plus elle tire de loin, plus ça fait mal !"
"TID_SNIPER_ULTI","ET HOP !"
"TID_SNIPER_ULTI_DESC","Polly se débarrasse des prétendants un peu lourds. Elle s'échappe d'un bond et leur laisse trois grenades en cadeau !"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam, son canon sur la hanche, assaisonne ses ennemis d'éclats d'obus. Son super est une tourelle qui restaure sa santé et celle de ses équipiers."
"TID_MINIGUN_DUDE_WEAPON","DÉFERLANTE"
"TID_MINIGUN_DUDE_WEAPON_DESC","C'est une vague de débris métalliques qui s'abat sur une large zone. Tous à vos lunettes de protection !"
"TID_MINIGUN_DUDE_ULTI","POUTOU MAGIQUE"
"TID_MINIGUN_DUDE_ULTI_DESC","La tourelle de Pam lui rend des PV, tout en soignant les gros bobos de ses coéquipiers tant qu'ils sont à portée."
"TID_BONE_THROWER","LANCEUR D'OS"
"TID_BONE_THROWER_DESC","Petit mais costaud ! Avec sa mitrailleuse géante, ce franc-tireur taille mini fauche les méchants à la douzaine. (Vitesse de déplacement lente, ne peut pas être repoussé)"
"TID_BONE_THROWER_WEAPON","MITRAILLEUSE"
"TID_BONE_THROWER_WEAPON_DESC","Rien de plus maniable qu'une mitrailleuse. Lanceur d'os peut aussi s'éloigner et la laisser tirer en mode automatique !"
"TID_BONE_THROWER_ULTI","DISTRIBUTEUR DE PANSEMENTS"
"TID_BONE_THROWER_ULTI_DESC","Les égratignures pendant un combat, ça arrive. Pensez à maintenir votre équipe au top de leur forme et donnez-leur le pansement des héros !"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","L'attaque triple tarot de Tara transperce ses adversaires. Son super est un trou noir qui attire tous les ennemis alentour et leur cause des dégâts."
"TID_BLACK_HOLE_WEAPON","TRIPLE TAROT"
"TID_BLACK_HOLE_WEAPON_DESC","Un geste de la main et trois cartes de tarot transpercent ses adversaires. C'était bien celle-là, votre carte ?"
"TID_BLACK_HOLE_ULTI","PESANTEUR"
"TID_BLACK_HOLE_ULTI_DESC","Tara fait apparaître un puits de pesanteur mystique qui attire inexorablement les adversaires alentour... Pour qu'ils se rentrent tous dedans. Aïe."
"TID_TURRET_DAMAGE","Dégâts de la tourelle"
"TID_TURRET_HEALTH","Santé de la tourelle"
"TID_STAT_DAMAGE_PER_SECOND","Dégâts par seconde"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Dégâts par seconde"
"TID_STAT_DAMAGE_PER_STRIKE","Dégâts par coup de poing"
"TID_ROBOT","ADJOINT IRONS"
"TID_ROBOT_DESC","Construit pour servir. Adjoint à la destruction."
"TID_ROBOT_WEAPON","SNIPER À ROQUETTE"
"TID_ROBOT_WEAPON_DESC","L'adjoint Irons tire des roquettes à une distance considérable et avec une précision redoutable."
"TID_ROBOT_ULTI","BRIGADE ANTI-ÉMEUTE"
"TID_ROBOT_ULTI_DESC","À circonstances exceptionnelles, mesures exceptionnelles : une pluie de roquettes fait généralement l'affaire pour calmer les foules."
"TID_ARMOR_STAT","Santé"
"TID_HEALTH","Santé"
"TID_STAT_GRENADE_DAMAGE","Dégâts par grenade"
"TID_STAT_MISSILE_DAMAGE","Dégâts par roquette"
"TID_STAT_HEALTH","Points de vie"
"TID_STAT_SPEED","Vitesse"
"TID_STAT_DAMAGE","Dégâts"
"TID_STAT_DAMAGE_PER_SHOT","Dégâts par balle"
"TID_STAT_DAMAGE_PER_SHELL","Dégâts par cartouche"
"TID_STAT_HAMMER_DAMAGE","Dégâts toutes les 0,2 s"
"TID_BATTLE","JOUER"
"TID_QUIT","Quitter"
"TID_MATCHMAKING_QUIT","Quitter"
"TID_MATCHMAKING_HEADING","Recherche de joueurs"
"TID_MATCHMAKING_TIME_LABEL","Début du jeu dans :"
"TID_MATCHMAKING_PLAYERS","Joueurs trouvés <x>/<y>"
"TID_BUTTON_CANCEL","Annuler"
"TID_BUTTON_OK","O.K."
"TID_ENTER_NAME_TITLE","Bienvenue dans Brawl Stars !"
"TID_ENTER_NAME_BODY","Quel est votre nom ?"
"TID_TIME_DAYS","j"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","min"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Début dans <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Connecté"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Connexion"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Connexion"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Jouer sans Supercell ID"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Voulez-vous charger un compte de niveau d'EXP <number> ? Connectez-vous à Supercell ID."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Erreur"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Erreur de synchronisation client/serveur"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Erreur de connexion"
"TID_ERROR_POP_UP_CONNECTION_FAILED","La connexion au serveur a échoué. Veuillez vérifier votre connexion Internet et réessayer."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Échec de la connexion"
"TID_ERROR_POP_UP_LOGIN_FAILED","Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Toujours là ?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Touchez le bouton ci-dessous pour recharger le jeu."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Une mise à jour est disponible !"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Bonne nouvelle ! Une nouvelle version de Brawl Stars est disponible."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Mise à jour"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Nos serveurs sont en cours de maintenance. Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Réessayer"
"TID_ERROR_POP_UP_BANNED_TITLE","Vous avez été exclu(e)."
"TID_ERROR_POP_UP_BANNED","Vous avez été temporairement exclu(e)."
"TID_ERROR_POP_UP_BANNED_BUTTON","O.K."
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contacter l'assistance"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Plus d'infos"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Informations importantes"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars est gratuit, mais vous pouvez progresser plus rapidement grâce aux achats intégrés (ceux-ci peuvent être désactivés dans les paramètres de votre appareil). Appuyez sur O.K. pour accepter nos Conditions d'utilisation et notre Politique de confidentialité."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","O.K."
"TID_SERVER_ERROR_TITLE","Erreur de serveur <number>"
"TID_SERVER_ERROR","Votre connexion a été interrompue pendant le combat."
"TID_SERVER_ERROR_BUTTON","O.K."
"TID_COME_BACK_NOTIFICATION_SMALL","Encore un combat ?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Encore un combat ?"
"TID_COME_BACK_NOTIFICATION_LARGE","Encore un combat ?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connexion perdue"
"TID_ERROR_POP_UP_CONNECTION_LOST","Veuillez tenter de vous reconnecter."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Relancer la connexion"
"TID_TROPHIES","Trophées"
"TID_PRACTICE","ENTRAÎNEMENT"
"TID_READY","Prêt"
"TID_BATTLE_END_TITLE_VICTORY","VICTOIRE"
"TID_BATTLE_END_TITLE_DEFEAT","DÉFAITE"
"TID_BATTLE_END_TITLE_DRAW","Égalité"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","A survécu pendant <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Vous êtes #1 !"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Rang : <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Égalité : les deux équipes ont récupéré le même nombre de gemmes."
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Brawler géant vaincu en <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","Vous avez survécu <TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","NIVEAU DE DIFFICULTÉ <LEVEL> RÉUSSI !"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","DÉFAITE"
"TID_BATTLE_END_RETURN_HOME","QUITTER"
"TID_BATTLE_END_NEXT","Suivant"
"TID_BATTLE_END_TAP","toucher pour continuer"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","AUCUN TROPHÉE EN ENTRAÎNEMENT"
"TID_BATTLE_END_XP_CAPPED","Vous avez récupéré toute l'expérience pour aujourd'hui."
"TID_BATTLE_END_PLAY_AGAIN","REJOUER"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ANNULER"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> a rejoint l'équipe"
"TID_RESPAWNING","Retour :\n<n1>"
"TID_TEAMS_POPUP_TITLE","ÉQUIPES"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Équipes club et amis"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","REJOIGNEZ UN CLUB POUR VOIR LES PARTIES EN COURS"
"TID_TEAMS_POPUP_SEARCH","REJOINDRE AVEC CODE"
"TID_TEAMS_POPUP_CREATE","CRÉER ÉQUIPE"
"TID_TEAM_SEARCH_POPUP_TITLE","REJOINDRE AVEC CODE"
"TID_TEAM_SEARCH_POPUP_SEARCH","REJOINDRE"
"TID_TEAM_JOIN_ROOM_CODE","Saisir code de l'équipe..."
"TID_TEAM_CHANGE_MAP","MODIFIER"
"TID_TEAM_TYPE_INFO_0","Classé"
"TID_TEAM_TYPE_INFO_1","Amical"
"TID_TEAM_TYPE_INFO_2","Tickets"
"TID_TEAM_MEMBER_LEFT_0","Vous avez quitté l'équipe."
"TID_TEAM_MEMBER_LEFT_1","Vous avez été exclu(e) de l'équipe."
"TID_TEAM_MEMBER_LEFT_2","L'équipe n'existe plus : l'événement est terminé."
"TID_TEAM_MEMBER_LEFT_3","L'équipe n'existe plus : son créateur est parti."
"TID_TEAM_GAME_STARTING","Démarrage de la partie"
"TID_TEAM_CODE_COPIED","Code copié dans le presse-papiers"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>EN ATTENTE</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>REFUSÉE</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>HORS-LIGNE</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","toucher pour annuler"
"TID_TEAM_ERROR_1","Erreur du serveur d'équipe"
"TID_TEAM_ERROR_2","Impossible de rejoindre l'équipe : elle est au complet."
"TID_TEAM_ERROR_3","Impossible de rejoindre l'équipe : elle n'existe plus."
"TID_TEAM_ERROR_5","Code d'équipe erroné. Veuillez vérifier le code."
"TID_TEAM_ERROR_6","Aucune équipe correspondant à ce code."
"TID_TEAM_ERROR_7","Impossible de rejoindre une équipe dont vous avez été exclu(e)."
"TID_TEAM_ERROR_8","Veuillez vérifier les paramètres d'équipe. Il ne peut pas y avoir plus de 3 joueurs par équipe."
"TID_TEAM_ERROR_10","Échec de la création d'équipe : vous êtes déjà dans une équipe."
"TID_TEAM_ERROR_11","Échec de la création d'équipe : l'événement est terminé."
"TID_TEAM_ERROR_12","Impossible de rejoindre une équipe qui n'existe plus."
"TID_TEAM_ERROR_14","Échec de la création d'équipe : événement incompatible avec le jeu en équipe."
"TID_TEAM_ERROR_15","Impossible de rejoindre cette équipe : elle n'est pas accessible depuis votre région."
"TID_TEAM_ERROR_17","La partie ne peut pas démarrer. Les doublons de brawlers ne sont pas autorisés."
"TID_TEAM_ERROR_18","Impossible de démarrer la partie. Une maintenance du jeu va commencer."
"TID_TEAM_ERROR_19","Vous ne pouvez pas exclure le créateur de l'équipe tant qu'il est en ligne."
"TID_TEAM_ERROR_20","Impossible de changer de carte. Il y a trop de joueurs pour cette carte."
"TID_TEAM_ERROR_21","Impossible de démarrer la partie. Vous n'avez pas assez de tickets."
"TID_TEAM_ERROR_22","Impossible de changer de carte. Il y a trop de joueurs."
"TID_TEAM_ERROR_24","Échec de l'invitation. Aucun ami trouvé."
