"TID","JP"
"TID_RAPID_FIRE_DESC","自慢のリボルバーから長射程の6連弾を放つ。"
"TID_RAPID_FIRE_ULTI","ブレットストーム"
"TID_RAPID_FIRE_ULTI_DESC","爆発的な衝撃と共に飛び出す弾丸は、障害物も粉砕するパワーと圧倒的な飛距離を誇る。"
"TID_BULL_DUDE","ブル"
"TID_BULL_DUDE_DESC","ブルのショットガンは、近距離にいる標的に大ダメージを与える。必殺技で見せる突進は障害物を押しのけ、敵もなぎ倒す。"
"TID_SHOTGUN_BLAST","ダブルバレル"
"TID_SHOTGUN_BLAST_DESC","ダブルバレルのショットガンが大ダメージを与える。射程が短いため、パーソナルスペースに入ってしまうことも多々あるそうな。"
"TID_CHARGE","ブルドーザー"
"TID_CHARGE_DESC","頭を低くして、敵や障害物に猛突進！ こうなった彼は、もう誰にも止められない！"
"TID_ROCKET_GIRL","ブロック"
"TID_ROCKET_GIRL_DESC","ブロックは、爆発する長射程のロケット弾を発射する。必殺技は、障害物も木っ端みじんにする一斉射撃だ！"
"TID_FIREWORKS_WEAPON","ロックンロケット"
"TID_FIREWORKS_WEAPON_DESC","かなり射程の長いロックンロケットを1発ずつ発射する。"
"TID_FIREWORKS_ULTI","ロケットレイン"
"TID_FIREWORKS_ULTI_DESC","敵も障害物も吹き飛ばすロケットの連射。彼いわく、人はロケットの雨に打たれている姿が最も魅力的なのだとか。"
"TID_TNT_DUDE","ダイナマイク"
"TID_TNT_DUDE_DESC","ダイナマイクは、2本のダイナマイトを投げて攻撃する。必殺技はダイナマイトが詰まったタルで、あらゆるものを吹き飛ばす！"
"TID_MORTAR","短気決戦"
"TID_MORTAR_DESC","どんな障害物もものともせず、2本のダイナマイトを投げ入れる。彼の異常な短気さに合わせて、導火線はすべて短くカットしてある。"
"TID_MORTAR_ULTI","巨大タル爆弾"
"TID_MORTAR_ULTI_DESC","ダイナマイトが詰まった特大なタルが障害物を吹き飛ばす。やられなかった敵も爆風で押し戻してしまう。"
"TID_LUCHADOR","エル・プリモ"
"TID_LUCHADOR_DESC","エル・プリモは、敵に連続パンチを浴びせる。必殺技は、真下にいる者すべてにダメージを与えるエルボードロップだ。"
"TID_LUCHADOR_WEAPON","怒りの鉄拳"
"TID_LUCHADOR_WEAPON_DESC","怒りに燃えた灼熱の拳で敵を打つ。ハラペニョがきいたスパイシーなパンチが炸裂だ！"
"TID_LUCHADOR_ULTI","エルボー・ドロップ"
"TID_LUCHADOR_ULTI_DESC","高く跳び上がったら、障害物まで破壊する強力なエルボードロップを敵の脳天にお見舞いする。"
"TID_TRICKSHOT_DUDE","リコシェ"
"TID_TRICKSHOT_DUDE_DESC","リコシェは、壁に当たると跳ねる弾丸を発射する。必殺技はさらに射程が長く、標的を貫いて壁で跳ね返る。"
"TID_TRICKSHOT_DUDE_WEAPON","ピンボール"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","彼の弾丸は、壁に当たり跳ね返ると飛距離が延びる。障害物の後ろに隠れた敵もお手のもの。"
"TID_TRICKSHOT_DUDE_ULTI","トリックショット"
"TID_TRICKSHOT_DUDE_ULTI_DESC","長射程でパワフルな弾丸を放つ。敵に当たっても貫通して壁まで届き、跳ね返ると飛距離が延びる。"
"TID_CACTUS","スパイク"
"TID_CACTUS_DESC","スパイクは、トゲを飛ばすサボテンのグレネードを投げる。必殺技ではトゲトゲの地面を作り出して、敵の動きを鈍らせながらダメージを与える。"
"TID_CACTUS_WEAPON","サボテンボム"
"TID_CACTUS_WEAPON_DESC","四方八方にトゲを飛ばして爆発する、小さなサボテンを投げつける。"
"TID_CACTUS_ULTI","トゲトゲ地獄"
"TID_CACTUS_ULTI_DESC","トゲの海を生み出すグレネード。効果範囲に入った敵はダメージを負うだけでなく、動きも鈍くなる。"
"TID_BARKEEP","バーリー"
"TID_BARKEEP_DESC","バーリーは、範囲攻撃ができるボトルを投げる。必殺技は、広範囲に燃え広がるボトルの大盤振る舞いだ！"
"TID_BARKEEP_WEAPON","オン・ザ・ロック"
"TID_BARKEEP_WEAPON_DESC","投げたボトルが地面で割れ、キツいアルコールが敵にダメージを与える。ダメージは効果範囲にいる時間につれて大きくなる。"
"TID_BARKEEP_ULTI","ラストオーダー"
"TID_BARKEEP_ULTI_DESC","引火性があるのは言うまでもなく... 広範囲を火の海にするボトルを、店から何本か大サービス！"
"TID_MECHANIC","ジェシー"
"TID_MECHANIC_DESC","ジェシーのライフルは、敵から敵へと飛び移るエネルギー弾を発射する。必殺技は、可愛い見た目の強力なタレットだ！"
"TID_MECHANIC_WEAPON","ショックライフル"
"TID_MECHANIC_WEAPON_DESC","球状のエネルギー弾を発射する。敵に当たった後も射程にいる次の標的に向かって跳ね返り、最大3人まで攻撃できる。"
"TID_MECHANIC_ULTI","がらくタレット"
"TID_MECHANIC_ULTI_DESC","自動で敵を攻撃するタレットを設置する。しかもなんと100%リサイクル素材で作られた、環境に優しいタレットなのだ！"
"TID_SHAMAN","ニタ"
"TID_SHAMAN_DESC","ニタは、地面を震わす衝撃波で敵を攻撃する。必殺技では、彼女と共に戦う大きなクマを召喚する！"
"TID_SHAMAN_WEAPON","衝撃波"
"TID_SHAMAN_WEAPON_DESC","彼女の衝撃波は地面を揺らし、巻き込まれた敵にダメージを与える。"
"TID_SHAMAN_ULTI","威風堂々"
"TID_SHAMAN_ULTI_DESC","倒されるまで敵を追って攻撃し続ける、巨大な赤ちゃんクマを召喚する。"
"TID_UNDERTAKER","モーティス"
"TID_UNDERTAKER_DESC","モーティスは、シャベルを振ることで前へとダッシュする。必殺技では、敵のHPを吸い取って自身を癒すコウモリの群れを召喚する！"
"TID_UNDERTAKER_WEAPON","シャベルスイング"
"TID_UNDERTAKER_WEAPON_DESC","シャベルを素早く振ることで前方へダッシュする。新たな顧客開拓に向けた営業アピールも兼ねているのだとか。"
"TID_UNDERTAKER_ULTI","ドラキュラ"
"TID_UNDERTAKER_ULTI_DESC","吸血コウモリの群れを召喚し、吸い取った敵のHPを自らのHPとして取り込む。なんとも不気味である...。"
"TID_CROW","クロウ"
"TID_CROW_DESC","クロウは、毒を塗った3本の短剣を投げる。優雅に空を舞う必殺技では、離陸と着陸の瞬間に短剣を飛ばす。"
"TID_CROW_WEAPON","飛び出しナイフ"
"TID_CROW_WEAPON_DESC","3本の短剣を投げつける。かすり傷でも負った敵は、刃に塗られた毒によって時間とともにダメージを受ける。"
"TID_CROW_ULTI","スイープ"
"TID_CROW_ULTI_DESC","彼が好きなのは空を舞うこと... 離陸と着地の瞬間に、毒の塗られた短剣をあちこちへ投げる。"
"TID_DEAD_MARIACHI","ポコ"
"TID_DEAD_MARIACHI_DESC","ポコは、音波で敵を攻撃する。必殺技は、彼自身と周辺のチームメイトを回復する。"
"TID_DEAD_MARIACHI_WEAPON","パワーコード"
"TID_DEAD_MARIACHI_WEAPON_DESC","彼がギターをかき鳴らすと骨まで響く音波が発生し、それに当たった敵はダメージを受ける。"
"TID_DEAD_MARIACHI_ULTI","アンコール"
"TID_DEAD_MARIACHI_ULTI_DESC","その元気が出るメロディーが届く範囲にいる仲間と自身のHPを回復する。敵には効果を発揮しない。"
"TID_BOW_DUDE","ボウ"
"TID_BOW_DUDE_DESC","ボウは、ターゲットにむけて爆発性のある矢を3本放つ。必殺技では、起爆するまで見えない3つの地雷を仕掛ける！"
"TID_BOW_DUDE_WEAPON","鷹の爪"
"TID_BOW_DUDE_WEAPON_DESC","弓から放たれる爆発性のある3本の矢が、まるで鷹の爪のように敵を引き裂く。"
"TID_BOW_DUDE_ULTI","キツネ狩り"
"TID_BOW_DUDE_ULTI_DESC","地面に起爆性の罠を仕掛ける。敵に反応すると少し遅れて爆発し、吹き飛ばされた敵はダメージを受ける。"
"TID_SNIPER","エリザベス"
"TID_SNIPER_DESC","エリザベスのスナイパーショットは、敵がより遠くにいるほど大きなダメージを与える。必殺技では、華麗に空を舞いながらグレネードを落とす！"
"TID_SNIPER_WEAPON","ライフル傘"
"TID_SNIPER_WEAPON_DESC","傘の先からスナイパーショットを発射する。その弾丸のダメージは、飛距離が長いほど高くなる。"
"TID_SNIPER_ULTI","ポピンズ"
"TID_SNIPER_ULTI_DESC","しつこい取り巻きから逃げるため、ふわりと空を舞う。ただし、レディーの礼儀作法も忘れずに... 3つのグレネードを投下！"
"TID_MINIGUN_DUDE","パム"
"TID_MINIGUN_DUDE_DESC","パムは腰だめで射撃し、敵に金属片を浴びせる。必殺技は、自身も仲間も癒す回復タレットだ！"
"TID_MINIGUN_DUDE_WEAPON","メタルストーム"
"TID_MINIGUN_DUDE_WEAPON_DESC","大量の鉄くずを広範囲に噴出する。安全のため、ゴーグル着用をお忘れなく！"
"TID_MINIGUN_DUDE_ULTI","ママのくちづけ"
"TID_MINIGUN_DUDE_ULTI_DESC","癒しのタレットが、自身と効果範囲内にいる仲間のHPを回復します。"
"TID_BONE_THROWER","ボーンストライカー"
"TID_BONE_THROWER_DESC","この戦士に「ミニ」という言葉は似合わない！ミニガンナーはその巨大なマシンガンで、どんな悪党も手加減なしに成敗する（移動速度は遅く、押し戻しは無効）。"
"TID_BONE_THROWER_WEAPON","ミニガン"
"TID_BONE_THROWER_WEAPON_DESC","ミニガンナーがラクラクと持ち運ぶ、巨大なマシンガン。フルオートで連射しながら歩き回ることも可能。"
"TID_BONE_THROWER_ULTI","バンデージ・マシン"
"TID_BONE_THROWER_ULTI_DESC","激しい銃撃戦には、すり傷や切り傷が付き物。ばんそうこうで、チームをベストコンディションに保つ！"
"TID_BLACK_HOLE","タラ"
"TID_BLACK_HOLE_DESC","タラの3枚のタロットカードは、敵をすり抜ける。必殺技は、周辺にいる敵を吸い込んでダメージを与えるブラックホールだ！"
"TID_BLACK_HOLE_WEAPON","トリプルタロット"
"TID_BLACK_HOLE_WEAPON_DESC","手首のスナップをきかせて、3枚のタロットカードを飛ばす。敵をすり抜けるカードには、タネも仕掛けもない！"
"TID_BLACK_HOLE_ULTI","グラビティ"
"TID_BLACK_HOLE_ULTI_DESC","信じられないような本当の話... 重力を操ることができる！効果範囲内にいる敵は引きずり込まれ、激しくぶつかり合うはめになる。"
"TID_TURRET_DAMAGE","タレットのダメージ"
"TID_TURRET_HEALTH","タレットのHP"
"TID_STAT_DAMAGE_PER_SECOND","毎秒ダメージ"
"TID_STAT_DAMAGE_PER_SECOND_EACH","毎秒ダメージ"
"TID_STAT_DAMAGE_PER_STRIKE","パンチのダメージ"
"TID_ROBOT","アイアンコップ"
"TID_ROBOT_DESC","世のため人のため、破壊のかぎりを尽くすために生まれたマシン。"
"TID_ROBOT_WEAPON","ロケットスナイパー"
"TID_ROBOT_WEAPON_DESC","人知を超えた精度で、超長距離の射撃でもロケット弾を命中させる。"
"TID_ROBOT_ULTI","暴動鎮圧"
"TID_ROBOT_ULTI_DESC","非常手段が認められた場合、アイアンコップは、暴徒の群れに多数のロケット弾を撃ち込んで制圧することができる。"
"TID_ARMOR_STAT","HP"
"TID_HEALTH","HP"
"TID_STAT_GRENADE_DAMAGE","グレネードのダメージ"
"TID_STAT_MISSILE_DAMAGE","ロケット弾のダメージ"
"TID_STAT_HEALTH","HP"
"TID_STAT_SPEED","速度"
"TID_STAT_DAMAGE","ダメージ"
"TID_STAT_DAMAGE_PER_SHOT","弾丸のダメージ"
"TID_STAT_DAMAGE_PER_SHELL","弾丸のダメージ"
"TID_STAT_HAMMER_DAMAGE","0.2秒ごとのダメージ"
"TID_BATTLE","プレイ"
"TID_QUIT","終了"
"TID_MATCHMAKING_QUIT","終了"
"TID_MATCHMAKING_HEADING","プレイヤーを探しています"
"TID_MATCHMAKING_TIME_LABEL","ゲーム開始まで："
"TID_MATCHMAKING_PLAYERS","待機中のプレイヤー：<x>/<y>"
"TID_BUTTON_CANCEL","キャンセル"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","ブロスタへようこそ！"
"TID_ENTER_NAME_BODY","あなたの名前は？"
"TID_TIME_DAYS","日"
"TID_TIME_HOURS","時間"
"TID_TIME_MINS","分"
"TID_TIME_SECS","秒"
"TID_MATCHMAKING_TIME","開始時間：<TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","接続済み"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","接続する"
"TID_SUPERCELL_ID_LOGIN_BUTTON","ログイン"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","そのままプレイ"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","XPレベル<number>のアカウントを読み込みますか？Supercell IDでログインすると、進行状況を読み込みます。"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","エラー"
"TID_ERROR_POP_UP_OUT_OF_SYNC","クライアントとサーバーが同期していません。"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","ゲームを再起動"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","接続エラー"
"TID_ERROR_POP_UP_CONNECTION_FAILED","サーバーに接続できません。インターネット接続を確認し、再度お試しください。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","ログインできません"
"TID_ERROR_POP_UP_LOGIN_FAILED","しばらくたってから再度お試しください。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","応答がありません"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","下のボタンをタップして、ゲームを再起動してください。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","ゲームを再起動"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","アップデートがあります"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","ブロスタの新バージョンをダウンロードできます！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","アップデート"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","メンテナンス中"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","現在サーバーのメンテナンス中です。しばらくたってから再度お試しください。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_BANNED_TITLE","アカウント停止"
"TID_ERROR_POP_UP_BANNED","アカウントが一時的に停止されました。"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","サポートへ連絡"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","詳細"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","重要なお知らせ"
"TID_INFO_POP_UP_IAP_NOTE","ブロスタは無料でプレイできますが、アプリ内でアイテムを購入することで、ゲームを早く進めることもできます。またこの機能は、お使いのデバイスの「設定」内にある「App内での購入」から無効にすることもできます。「OK」をタップすると、当社のサービス利用規約とプライバシーポリシーに同意したものとみなされます。"
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","サーバーエラー：<number>"
"TID_SERVER_ERROR","バトル中に接続が切断されました。"
"TID_SERVER_ERROR_BUTTON","OK"
"TID_COME_BACK_NOTIFICATION_SMALL","もう1戦しませんか？"
"TID_COME_BACK_NOTIFICATION_MEDIUM","もう1戦しませんか？"
"TID_COME_BACK_NOTIFICATION_LARGE","もう1戦しませんか？"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","接続が切断されました"
"TID_ERROR_POP_UP_CONNECTION_LOST","再度ログインしてください。"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","再ログイン"
"TID_TROPHIES","トロフィー"
"TID_PRACTICE","練習"
"TID_READY","準備完了"
"TID_BATTLE_END_TITLE_VICTORY","勝利！"
"TID_BATTLE_END_TITLE_DEFEAT","敗北"
"TID_BATTLE_END_TITLE_DRAW","引き分け"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","生存時間：<TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","No.1!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","ランク：<RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","両チームのエメラルドが同数のため、引き分けです！"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","巨大キャラ撃破まで：<TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","生存時間：<TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","チャレンジレベル：<LEVEL>クリア！"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","敗北"
"TID_BATTLE_END_RETURN_HOME","終了"
"TID_BATTLE_END_NEXT","次へ"
"TID_BATTLE_END_TAP","タップして進む"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","練習ではトロフィーを獲得できません"
"TID_BATTLE_END_XP_CAPPED","今日のXPはすべて回収しました"
"TID_BATTLE_END_PLAY_AGAIN","もう一度"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","キャンセル"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME>がチームに参加しました"
"TID_RESPAWNING","リスポーンまで：\n<n1>"
"TID_TEAMS_POPUP_TITLE","チーム"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","クラブ＆フレンドチーム"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","クラブに参加してもっと楽しみましょう！"
"TID_TEAMS_POPUP_SEARCH","コードで参加"
"TID_TEAMS_POPUP_CREATE","チームを作る"
"TID_TEAM_SEARCH_POPUP_TITLE","コードで参加"
"TID_TEAM_SEARCH_POPUP_SEARCH","参加"
"TID_TEAM_JOIN_ROOM_CODE","ここにコードを入力..."
"TID_TEAM_CHANGE_MAP","変更"
"TID_TEAM_TYPE_INFO_0","ガチバトル"
"TID_TEAM_TYPE_INFO_1","フレンドバトル"
"TID_TEAM_TYPE_INFO_2","チケット"
"TID_TEAM_MEMBER_LEFT_0","チームを脱退しました。"
"TID_TEAM_MEMBER_LEFT_1","チームから追放されました。"
"TID_TEAM_MEMBER_LEFT_2","イベントが終了しているためチームは解散しています。"
"TID_TEAM_MEMBER_LEFT_3","チーム作成者が脱退したためチームは解散しています。"
"TID_TEAM_GAME_STARTING","まもなく開始"
"TID_TEAM_CODE_COPIED","コードをコピーしました"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>招待中</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>拒否</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>オフライン</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","タップして\nキャンセル"
"TID_TEAM_ERROR_1","チームサーバーエラー"
"TID_TEAM_ERROR_2","チームが満員のため参加できません。"
"TID_TEAM_ERROR_3","チームがすでに解散しているため参加できません。"
"TID_TEAM_ERROR_5","無効なコードです。正しいコードを確認してください。"
"TID_TEAM_ERROR_6","該当するチームが見つかりません。"
"TID_TEAM_ERROR_7","追放されるとチームに参加できません。"
"TID_TEAM_ERROR_8","チーム設定を確認してください。1チームに参加できるプレイヤーは3人までです。"
"TID_TEAM_ERROR_10","すでにチームに参加しているため、チームを作成できません。"
"TID_TEAM_ERROR_11","イベントが終了しているため、チームを作成できません。"
"TID_TEAM_ERROR_12","期限が切れたチームには参加できません。"
"TID_TEAM_ERROR_14","チームを作成できません。このイベントはチームプレイに対応していません。"
"TID_TEAM_ERROR_15","地域が異なるため、このチームには参加できません。"
"TID_TEAM_ERROR_17","ゲームを開始できません。\n同じキャラクターを使うことはできません。"
"TID_TEAM_ERROR_18","ゲームを開始できません。\nまもなくメンテナンスに入ります。"
"TID_TEAM_ERROR_19","チーム作成者がオンラインの間は追放できません。"
"TID_TEAM_ERROR_20","マップを変更できません。このマップを選ぶにはプレイヤーが多すぎます。"
"TID_TEAM_ERROR_21","チケットが足りないため、ゲームを開始できません。"
"TID_TEAM_ERROR_22","プレイヤーが多すぎるため、マップを変更できません。"
"TID_TEAM_ERROR_24","フレンドが見つからないため、招待できませんでした。"
"TID_TEAM_ERROR_25","チームが満員のため招待できません。"
"TID_TEAM_ERROR_26","招待が拒否されました。"
"TID_TEAM_ERROR_27","このプレイヤーは、現在チームの招待を受け付けていないため招待できません。"
"TID_TEAM_ERROR_28","招待できませんでした。プレイヤーがオフラインになりました。"
"TID_TEAM_ERROR_29","このプレイヤーは、すでにチームに参加しているため招待できません。"
"TID_TEAM_ERROR_30","返事待ちの招待があるため、ゲームを開始できません。"
"TID_TEAM_ERROR_31","返事待ちの招待があるため、イベントを変更できません。"
"TID_TEAM_ERROR_32","ゲームモードに対してチームメンバーが多すぎます"
"TID_TEAM_ERROR_33","このゲームモードはチームプレイに対応していません"
"TID_TEAM_ERROR_34","すでに最後のボスを倒しています"
"TID_TEAM_ERROR_40","チーム参加リクエストは保留中です"
"TID_TEAM_ERROR_41","チーム参加リクエストが拒否されました"
"TID_TEAM_ERROR_42","チームが見つからないため\n参加リクエストできません"
"TID_TEAM_ERROR_43","参加リクエストの受信者がもうチームにいません"
"TID_TEAM_ERROR_44","参加リクエストの受信者がオフラインです"
"TID_TEAM_ERROR_45","チームが満員のため参加リクエストできません"
"TID_TEAM_ERROR_46","参加リクエストの受信者にミュートされています"
"TID_TEAM_ERROR_47","参加リクエストを承認できるのはフレンドゲームの作成者のみです"
"TID_SELECT_LOCATION_TITLE","マップを選択"
