"TID","RU"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","У бойца не хватает очков силы!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","У тебя не хватает монет!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Боец достиг максимального уровня силы!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","НАЧАЛЬНЫЙ БОЕЦ"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Жалоба отправлена!"
"TID_TOO_MANY_REPORTS_SENT","Достигнут ежедневный лимит жалоб!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Подожди, прежде чем отправить другую жалобу."
"TID_CHOOSE_CHARACTER","ВЫБЕРИ БОЙЦА"
"TID_ARMOR","ЗДОРОВЬЕ"
"TID_ARMOR_DESC","Отражает количество урона, которое может выдержать боец."
"TID_SHOTGUN_GIRL","ШЕЛЛИ"
"TID_SHOTGUN_GIRL_DESC","Шелли обрушивает на другую команду шквал дроби из своего ружья. Её Супер уничтожает укрытия и удерживает противников на расстоянии!"
"TID_LONG_RANGE_SHOTGUN","КАРТЕЧЬ"
"TID_LONG_RANGE_SHOTGUN_DESC","Громобой Шелли выпускает сноп пуль на среднюю дистанцию. Чем больше пуль достигает цели, тем больше урон."
"TID_MEGA_BLASH_ULTI","СУПЕРОБСТРЕЛ"
"TID_MEGA_BLASH_ULTI_DESC","Суперобстрел Шелли сносит и укрытия, и врагов. Выживших отбрасывает назад."
"TID_GUNSLINGER","КОЛЬТ"
"TID_GUNSLINGER_DESC","Выстрелы из револьверов Кольта невероятно точны. Его Супер крошит укрытия и преодолевает ещё большую дистанцию!"
"TID_RAPID_FIRE","ПОЛНАЯ ОБОЙМА"
"TID_RAPID_FIRE_DESC","Кольт делает шесть выстрелов большой дальности из своих револьверов."
"TID_RAPID_FIRE_ULTI","ПУЛЕВОЙ ШТОРМ"
"TID_RAPID_FIRE_ULTI_DESC","Пули из револьверов Кольта покрывают огромное расстояние и уничтожают укрытия."
"TID_BULL_DUDE","БУЛЛ"
"TID_BULL_DUDE_DESC","Ружьё Булла наносит серьёзный урон на небольшой дистанции. Его Супер позволяет ему прорываться сквозь препятствия и отбрасывать врагов назад!"
"TID_SHOTGUN_BLAST","ДВУСТВОЛКА"
"TID_SHOTGUN_BLAST_DESC","Двустволка Булла наносит серьёзный урон, но обладает малой дальностью. Поэтому Булл предпочитает тесное общение."
"TID_CHARGE","БУЛЬДОЗЕР"
"TID_CHARGE_DESC","Нагнув голову, Булл проносится сквозь врагов и препятствия. Упорство — его второе я."
"TID_ROCKET_GIRL","БРОК"
"TID_ROCKET_GIRL_DESC","Запускаемая Броком взрывная ракета проходит большую дистанцию. Его Супер — сметающий укрытия дождь из баллистических ракет!"
"TID_FIREWORKS_WEAPON","РОКОВАЯ РАКЕТА"
"TID_FIREWORKS_WEAPON_DESC","Выпущенная Броком роковая ракета летит высоко и далеко."
"TID_FIREWORKS_ULTI","РАКЕТНЫЙ ДОЖДЬ"
"TID_FIREWORKS_ULTI_DESC","Заградительный ракетный огонь Брока сметает препятствия и врагов. Он искупает тебя под ракетным дождём!"
"TID_TNT_DUDE","ДИНАМАЙК"
"TID_TNT_DUDE_DESC","Динамайк бросает пару динамитных шашек. Его Супер — начиненная динамитом бочка, которая разнесёт укрытия в щепки!"
"TID_MORTAR","ЛОПНУВШЕЕ ТЕРПЕНИЕ"
"TID_MORTAR_DESC","Брошенная Майком пара шашек легко преодолеет препятствия, а начиняющий их динамит взрывоопасен, как характер Майка!"
"TID_MORTAR_ULTI","БОЛЬШОЙ БА-БАХ"
"TID_MORTAR_ULTI_DESC","Супермегамощный взрыв сносит укрытия. Выживших врагов отбрасывает взрывной волной!"
"TID_LUCHADOR","ЭЛЬ ПРИМО"
"TID_LUCHADOR_DESC","Эль Примо обрушивает на врагов град ударов. Его Супер, удар локтем в прыжке, наносит урон всем, кто окажется рядом!"
"TID_LUCHADOR_WEAPON","КУЛАКИ ЯРОСТИ"
"TID_LUCHADOR_WEAPON_DESC","Эль Примо наносит четыре неистовых удара своими мощными кулаками."
"TID_LUCHADOR_ULTI","МОГУЧИЙ ЛОКОТЬ"
"TID_LUCHADOR_ULTI_DESC","Высоко подпрыгнув, Эль Примо с силой обрушивает вниз свой локоть, разбрасывающий в стороны врагов и разрушающий укрытия."
"TID_TRICKSHOT_DUDE","РИКОШЕТ"
"TID_TRICKSHOT_DUDE_DESC","Выпущенные Рикошетом пули могут отскакивать от стен. Его Супер преодолевает большую дистанцию и насквозь прошивает цель!"
"TID_TRICKSHOT_DUDE_WEAPON","ПРУЖИНЯЩИЕ ПУЛИ"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Отскакивая от стен, пули Рикошета покрывают ещё большую дистанцию и могут достать спрятавшихся в укрытии врагов."
"TID_TRICKSHOT_DUDE_ULTI","КОРОННЫЙ УДАР"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Рикошет выпускает длинную очередь, которая прошивает врагов и может покрывать ещё большую дистанцию, отскакивая от стен."
"TID_CACTUS","СПАЙК"
"TID_CACTUS_DESC","Спайк бросает кактусные гранаты, осыпающие всё вокруг иголками. Его Супер создаёт лужайку с кактусами, замедляющую врагов и наносящую им урон!"
"TID_CACTUS_WEAPON","ИГОЛОЧНАЯ ГРАНАТА"
"TID_CACTUS_WEAPON_DESC","Спайк бросает маленький кактус, который взрывается и осыпает все вокруг иголками."
"TID_CACTUS_ULTI","ПРИГВОЗДИЛ!"
"TID_CACTUS_ULTI_DESC","Спайк бросает шипастую гранату, наносящую урон и замедляющую врагов, попавших в зону взрыва."
"TID_BARKEEP","БАРЛИ"
"TID_BARKEEP_DESC","Барли атакует, швыряя во врага бутылку; урон наносится брызгами. Его Супер — шквал бутылок, наполненных зажигательной смесью!"
"TID_BARKEEP_WEAPON","НЕРАЗБАВЛЕННАЯ СМЕСЬ"
"TID_BARKEEP_WEAPON_DESC","Барли швыряет бутылку, и она разбивается о землю. Разлетевшиеся брызги наносят урон врагам. Те из них, кто остаются в луже, продолжают получать урон."
"TID_BARKEEP_ULTI","ПОСЛЕДНИЙ ЗАКАЗ"
"TID_BARKEEP_ULTI_DESC","Обрушив шквал огненных бутылок, Барли заливает огнём огромную площадь. За счёт заведения!"
"TID_MECHANIC","ДЖЕССИ"
"TID_MECHANIC_DESC","Шоковая винтовка Джесси выстреливает энергосферой, отскакивающей от врага к врагу. Её Супер — установка милой, но смертоносной турели!"
"TID_MECHANIC_WEAPON","ШОКОВАЯ ВИНТОВКА"
"TID_MECHANIC_WEAPON_DESC","Попав в цель, выпущенная из винтовки Джесси энергосфера отскакивает к следующей в зоне действия цели и может таким образом поразить до трёх врагов."
"TID_MECHANIC_ULTI","СКРАППИ!"
"TID_MECHANIC_ULTI_DESC","Джесси Джанкер устанавливает автоматически стреляющую по врагам турель. Сделана из 100-процентного вторсырья!"
"TID_SHAMAN","НИТА"
"TID_SHAMAN_DESC","Нита атакует врагов волной энергии. Её Супер призывает огромного медведя, который сражается рядом с ней!"
"TID_SHAMAN_WEAPON","ДРЕВНЯЯ СИЛА"
"TID_SHAMAN_WEAPON_DESC","Выпускаемая Нитой волна энергии наносит урон всем попавшим в неё врагам."
"TID_SHAMAN_ULTI","МЕДВЕЖУТЬ"
"TID_SHAMAN_ULTI_DESC","Нита призывает дух большого медвежонка, чтобы вместе охотиться на врагов."
"TID_UNDERTAKER","МОРТИС"
"TID_UNDERTAKER_DESC","Мортис прыгает вперёд с каждым взмахом своей лопаты. Его Супер призывает стаю летучих мышей, наносящих урон врагам и исцеляющих его самого!"
"TID_UNDERTAKER_WEAPON","ВЗМАХ ЛОПАТОЙ"
"TID_UNDERTAKER_WEAPON_DESC","Прыжок и точный взмах лопатой — и у Мортиса вновь полно работы."
"TID_UNDERTAKER_ULTI","КРОВЬ ЖИЗНИ"
"TID_UNDERTAKER_ULTI_DESC","Мортис призывает стаю летучих мышей-вампиров, высасывающих здоровье у врагов и восстанавливающих его собственное. Брр!"
"TID_CROW","ВОРОН"
"TID_CROW_DESC","Ворон бросает три отравленных кинжала. Его Супер — стремительный прыжок, начиная и заканчивая который, Ворон разбрасывает по сторонам кинжалы!"
"TID_CROW_WEAPON","КЛИНКИ"
"TID_CROW_WEAPON_DESC","Ворон бросает три кинжала. Враги, задетые отравленными клинками, постепенно теряют здоровье."
"TID_CROW_ULTI","НАЛЁТ"
"TID_CROW_ULTI_DESC","Взмывая в небо и возвращаясь на землю, Ворон окружает себя кольцом отравленных кинжалов."
"TID_DEAD_MARIACHI","ПОКО"
"TID_DEAD_MARIACHI_DESC","Поко атакует врагов разрушительной звуковой волной. Его Супер исцеляет его самого и его товарищей по команде!"
"TID_DEAD_MARIACHI_WEAPON","МОЩНЫЙ АККОРД"
"TID_DEAD_MARIACHI_WEAPON_DESC","Ударив по струнам, Поко распространяет пронизывающую до костей звуковую волну. Наносит урон всем задетым ею врагам."
"TID_DEAD_MARIACHI_ULTI","НА БИС!"
"TID_DEAD_MARIACHI_ULTI_DESC","Поко лечит себя и находящихся рядом друзей, исполняя воодушевляющую мелодию. Не оказывает влияния на врагов."
"TID_BOW_DUDE","БО"
"TID_BOW_DUDE_DESC","Бо выпускает три взрывные стрелы. Его Супер —установка трёх секретных взрывных ловушек!"
"TID_BOW_DUDE_WEAPON","ОРЛИНЫЙ ГЛАЗ"
"TID_BOW_DUDE_WEAPON_DESC","Три выпущенные Бо взрывные стрелы рвут врагов на части, как орлиные когти."
"TID_BOW_DUDE_ULTI","ОХОТА НА ЛИС"
"TID_BOW_DUDE_ULTI_DESC","Ловушки Бо взрываются после активации врагом с небольшой задержкой. Нанеся урон, они отбрасывают противников назад."
"TID_SNIPER","ПАЙПЕР"
"TID_SNIPER_DESC","Снайперские выстрелы Пайпер наносят больше урона на большей дистанции. Её Супер — три гранаты, бросив которые, она сбегает!"
"TID_SNIPER_WEAPON","ЗОНТОВКА"
"TID_SNIPER_WEAPON_DESC","Пайпер делает снайперский выстрел из наконечника своего зонта. Чем больше дистанция выстрела, тем он становится мощнее!"
"TID_SNIPER_ULTI","ПРОМЕНАД"
"TID_SNIPER_ULTI_DESC","Пайпер сбегает от назойливых поклонников, оставляя маленький сувенир на память: три гранаты без чеки!"
"TID_MINIGUN_DUDE","ПЭМ"
"TID_MINIGUN_DUDE_DESC","Выстрелы Пэм усыпают всё вокруг шрапнелью. Её Супер — лечебная турель, восстанавливающая здоровье ей и товарищам по команде!"
"TID_MINIGUN_DUDE_WEAPON","БУРЯ ЛОМА"
"TID_MINIGUN_DUDE_WEAPON_DESC","Пэм осыпает округу кусками металлолома. Пожалуйста, наденьте защитные очки!"
"TID_MINIGUN_DUDE_ULTI","МАМОЧКИН ПОЦЕЛУЙ"
"TID_MINIGUN_DUDE_ULTI_DESC","Лечебная турель Пэм лечит её саму и всех товарищей, находящихся в зоне действия турели."
"TID_BONE_THROWER","Метатель костей"
"TID_BONE_THROWER_DESC","Ловко управляясь со своим массивным пулеметом, этот боец может уложить почти неограниченное количество врагов (низкая скорость перемещения, устойчивость к отбрасыванию)."
"TID_BONE_THROWER_WEAPON","МИНИГАН"
"TID_BONE_THROWER_WEAPON_DESC","Этот боец просто создан для своего минигана. Он даже может вести огонь на ходу!"
"TID_BONE_THROWER_ULTI","АВТОПЕРЕВЯЗКА"
"TID_BONE_THROWER_ULTI_DESC","В ожесточенной перестрелке получить царапину или серьёзную рану проще простого. Автоперевязка поможет всей команде остаться в строю!"
"TID_BLACK_HOLE","ТАРА"
"TID_BLACK_HOLE_DESC","Три карты таро Тары пронзают врагов. Её Супер — чёрная дыра, затягивающая находящихся поблизости врагов и наносящая им урон!"
"TID_BLACK_HOLE_WEAPON","ТРИ КАРТЫ ТАРО"
"TID_BLACK_HOLE_WEAPON_DESC","Небрежное движение руки, и три карты таро пронзают врагов. Вот это ловкость!"
"TID_BLACK_HOLE_ULTI","ПРИТЯЖЕНИЕ"
"TID_BLACK_HOLE_ULTI_DESC","Тара колдовством создает гравитационный колодец. Попавшие в зону действия враги сталкиваются друг с другом, испытывая мучительную боль."
"TID_TURRET_DAMAGE","Урон турели"
"TID_TURRET_HEALTH","Здоровье турели"
"TID_STAT_DAMAGE_PER_SECOND","Урон в секунду"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Урон в секунду"
"TID_STAT_DAMAGE_PER_STRIKE","Урон от удара"
"TID_ROBOT","ПОМОЩНИК ШЕРИФА АЙРОНС"
"TID_ROBOT_DESC","Создан служить. Призван разрушать."
"TID_ROBOT_WEAPON","РАКЕТНЫЙ СНАЙПЕР"
"TID_ROBOT_WEAPON_DESC","Помощник шерифа Айронс запускает взрывную ракету на невероятно длинную дистанцию с механической точностью."
"TID_ROBOT_ULTI","СДЕРЖИВАЕНИЕ ТОЛПЫ"
"TID_ROBOT_ULTI_DESC","Когда необходимо прибегнуть к крайним мерам, помощник шерифа Айронс готов обрушить на неуправляемую толпу шквал ракет."
"TID_ARMOR_STAT","Здоровье"
"TID_HEALTH","Здоровье"
"TID_STAT_GRENADE_DAMAGE","Урон от гранаты"
"TID_STAT_MISSILE_DAMAGE","Урон от ракеты"
"TID_STAT_HEALTH","Здоровье"
"TID_STAT_SPEED","Скорость"
"TID_STAT_DAMAGE","Урон"
"TID_STAT_DAMAGE_PER_SHOT","Урон от пули"
"TID_STAT_DAMAGE_PER_SHELL","Урон от выстрела"
"TID_STAT_HAMMER_DAMAGE","Урон каждые 0,2 с."
"TID_BATTLE","ИГРАТЬ"
"TID_QUIT","Выйти"
"TID_MATCHMAKING_QUIT","Выйти"
"TID_MATCHMAKING_HEADING","Поиск игроков"
"TID_MATCHMAKING_TIME_LABEL","Игра начнется через"
"TID_MATCHMAKING_PLAYERS","Найдено игроков: <x> из <y>"
"TID_BUTTON_CANCEL","Отмена"
"TID_BUTTON_OK","ОК"
"TID_ENTER_NAME_TITLE","Добро пожаловать в Brawl Stars!"
"TID_ENTER_NAME_BODY","Как тебя зовут?"
"TID_TIME_DAYS"," д."
"TID_TIME_HOURS"," ч."
"TID_TIME_MINS"," м."
"TID_TIME_SECS"," с."
"TID_MATCHMAKING_TIME","Время до начала: <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Подключено"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Подключение"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Вход"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Играть без подключения"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Хочешь загрузить другую игру с <number>-м уровнем опыта ? Для этого нужно войти в игру с Supercell ID."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Ошибка!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Клиент и сервер не синхронизированы!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Перезагрузить игру"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Ошибка подключения"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Не удаётся подключиться к серверу. Проверь подключение к Интернету и попробуй снова."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Попробовать снова"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Войти не удалось"
"TID_ERROR_POP_UP_LOGIN_FAILED","Пожалуйста, попробуй позже."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Попробовать снова"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Тут есть кто-нибудь?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Нажми на кнопку внизу, чтобы перезагрузить игру."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Перезагрузить игру"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Доступно обновление!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Отличные новости! Доступна новая версия Brawl Stars."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Обновление"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Технический перерыв"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Прости, на сервере ведутся технические работы. Попробуй, пожалуйста, позже."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Попробовать снова"
"TID_ERROR_POP_UP_BANNED_TITLE","Тебя заблокировали!"
"TID_ERROR_POP_UP_BANNED","Тебя временно заблокировали"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Поддержка"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Подробнее"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Важное сообщение"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars — бесплатная игра, но ты можешь ускорить её прохождение с помощью встроенных покупок (эту возможность можно отключить в настойках устройства). Если ты принимаешь условия пользования и политику конфиденциальности, нажми кнопку «OK»."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Ошибка сервера <number>"
"TID_SERVER_ERROR","Во время боя пропала связь."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_COME_BACK_NOTIFICATION_SMALL","Ещё один бой?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Ещё один бой?"
"TID_COME_BACK_NOTIFICATION_LARGE","Ещё один бой?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Подключение прервано"
"TID_ERROR_POP_UP_CONNECTION_LOST","Пожалуйста, попробуй войти снова!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Повторный вход"
"TID_TROPHIES","Трофеи"
"TID_PRACTICE","ТРЕНИРОВКА"
"TID_READY","Готово"
"TID_BATTLE_END_TITLE_VICTORY","ПОБЕДА!"
"TID_BATTLE_END_TITLE_DEFEAT","ПОРАЖЕНИЕ"
"TID_BATTLE_END_TITLE_DRAW","Ничья"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","Время выживания: <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Ты лучше всех!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Ранг: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Игра закончилась ничьей, потому что обе команды собрали одинаковое количество кристаллов."
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Мегабоец побеждён за <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","Время выживания: <TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","ИСПЫТАНИЕ УРОВНЯ «<LEVEL>» ПРОЙДЕНО!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","ПОРАЖЕНИЕ"
"TID_BATTLE_END_RETURN_HOME","ВЫЙТИ"
"TID_BATTLE_END_NEXT","Далее"
"TID_BATTLE_END_TAP","нажми для продолжения"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","В ТРЕНИРОВКЕ НЕЛЬЗЯ ВЫИГРАТЬ ТРОФЕИ"
"TID_BATTLE_END_XP_CAPPED","Весь доступный сегодня опыт уже получен"
"TID_BATTLE_END_PLAY_AGAIN","ИГРАТЬ СНОВА"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ОТМЕНА"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> вступает в твою команду"
"TID_RESPAWNING","Возвращение через\n<n1>"
"TID_TEAMS_POPUP_TITLE","КОМАНДЫ"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Команды клуба и друзей"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","ВСТУПИ В КЛУБ, ЧТОБЫ УВИДИТЬ АКТИВНЫЕ ИГРЫ"
"TID_TEAMS_POPUP_SEARCH","ВСТУПИТЬ ПО КОДУ"
"TID_TEAMS_POPUP_CREATE","СОЗДАТЬ КОМАНДУ"
"TID_TEAM_SEARCH_POPUP_TITLE","ВСТУПИТЬ В КОМАНДУ ПО КОДУ"
"TID_TEAM_SEARCH_POPUP_SEARCH","ВСТУПИТЬ"
"TID_TEAM_JOIN_ROOM_CODE","Введи здесь код команды..."
"TID_TEAM_CHANGE_MAP","СМЕНИТЬ"
"TID_TEAM_TYPE_INFO_0","Ранговый"
"TID_TEAM_TYPE_INFO_1","Дружеский"
"TID_TEAM_TYPE_INFO_2","По билетам"
"TID_TEAM_MEMBER_LEFT_0","Команда покинута."
"TID_TEAM_MEMBER_LEFT_1","Тебя выгнали из команды."
"TID_TEAM_MEMBER_LEFT_2","Команда распущена, потому что срок действия события истёк."
"TID_TEAM_MEMBER_LEFT_3","Команда распущена, потому что создатель команды ее покинул."
"TID_TEAM_GAME_STARTING","Игра начинается"
"TID_TEAM_CODE_COPIED","Код скопирован в буфер обмена"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>ОЖИДАНИЕ ОТВЕТА НА ПРИГЛАШЕНИЕ</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>ОТКЛОНЕНО</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>ПОЛЬЗОВАТЕЛЬ НЕ В СЕТИ</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","нажми для отмены"
"TID_TEAM_ERROR_1","Ошибка сервера команды"
"TID_TEAM_ERROR_2","Нельзя вступить, команда уже набрана."
"TID_TEAM_ERROR_3","Нельзя вступить. Команда уже распущена."
"TID_TEAM_ERROR_5","Недействительный код команды. Убедись, что он правильный."
"TID_TEAM_ERROR_6","Не удалость найти команду по такому коду."
"TID_TEAM_ERROR_7","Нельзя вступить в команду, если тебя раньше из неё выгнали."
"TID_TEAM_ERROR_8","Проверь настройки. Каждая из сторон может иметь не более трёх игроков."
"TID_TEAM_ERROR_10","Нельзя создать команду. Ты уже в команде."
"TID_TEAM_ERROR_11","Нельзя создать команду. Срок действия события истёк."
"TID_TEAM_ERROR_12","Нельзя вступить в команду, которая уже прекратила существовать."
"TID_TEAM_ERROR_14","Нельзя создать команду. Командная игра во время этого события невозможна."
"TID_TEAM_ERROR_15","Нельзя вступить в команду. Эта команда не в твоём регионе."
"TID_TEAM_ERROR_17","Невозможно начать игру. Использование повторяющихся бойцов не допускается."
"TID_TEAM_ERROR_18","Невозможно начать игру. Игра закрыта на техобслуживание."
"TID_TEAM_ERROR_19","Нельзя выгнать создателя команды, пока он в сети."
