"Name","Character","Model","ModelCNOverride","GadgetModel","PortraitCameraFile","IntroCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","LobbyAnim","LobbyLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","IntroAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","LobbyFace","LobbyLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","LobbyEffect","HeroScreenEffect","SignatureEffect","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","SecondaryProjectile","UltiProjectile","MainAttackEffect","MainAttackEffect2","UltiAttackEffect","UltiAttackEffect2","UseBlueTextureInMenus","MainAttackUseEffect","UltiUseEffect","UltiEndEffect","MeleeHitEffect","SpawnEffect","UltiLoopEffect","UltiLoopEffect2","StarPower1Effect","StarPower2Effect","AreaEffect","AreaEffectStarPower","AreaEffectStarPower2","AreaEffectAttack","SpawnedItem","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","BoneEffect1","BoneEffect2","BoneEffect3","BoneEffect4","BoneEffectUse","AutoAttackProjectile","ProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","MoveEffect","MoveEffect2","StillEffect","StillEffect2","ChargedShotEffect","DisableHeadRotation"
"TrickshotDefault","TrickshotDude","rico_geo.scw",,,"rico_base_cam.scw","emz_intro_pose.scw",,"RicoIdle","RicoWalk","RicoPrimary","RicoSecondary","RicoRecoil",,"RicoRecoil",,"RicoReload","RicoPushback","RicoWin","RicoWinloop","RicoLose","RicoLoseloop","RicoWin","RicoWinloop","RicoIdle","RicoWin","RicoWinloop","RicoWin","RicoIdle","RicoIdle","RicoProfile","RicoProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusDefault","Cactus","spike_geo.scw",,,"spike_base_cam.scw","emz_intro_pose.scw",,"SpikeIdle","SpikeWalk","SpikePrimary","SpikeSecondary","SpikeRecoil",,"SpikeRecoil2",,"SpikeReload","SpikeIdle","SpikeWin","SpikeWinloop","SpikeLose","SpikeLoseloop","SpikeWin","SpikeWinloop","SpikeIdle","SpikeWin","SpikeWinloop","SpikeWin","SpikeIdle","SpikeIdle","SpikeProfile","SpikeProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusPink","Cactus","spike_blossom_geo.scw",,,"spike_base_cam.scw","emz_intro_pose.scw",,"SpikeIdle","SpikeWalk","SpikePrimary","SpikeSecondary","SpikeRecoil",,"SpikeRecoil2",,"SpikeReload","SpikeIdle","SpikeWin","SpikeWinloop","SpikeLose","SpikeLoseloop","SpikeWin","SpikeWinloop","SpikeIdle","SpikeWin","SpikeWinloop","SpikeWin","SpikeIdle","SpikeIdle","SpikeProfile","SpikeProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spike002Projectile",,"Spike002UltiProjectile","spike_002_atk",,"spike_002_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepDefault","Barkeep","barkeep_geo.scw",,,"barley_base_cam.scw","barley_intro_pose.scw",,"BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepWin","BarkeepWinloop","BarkeepWinidleloop","BarkeepWin","BarkeepWinidleloop","BarkeepWin","BarkeepIdle","BarkeepIdle","BarkeepProfile","BarkeepIntro",,,,"BarkeepSecondary","BarkeepRecoil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicDefault","Mechanic","jessie_geo.scw:jessie_main+jessie_gun+jessie_hat+jessie_backpack",,,"jessie_base_cam.scw","emz_intro_pose.scw",,"JunkerIdle","JunkerWalk","JunkerPrimary","JunkerUltiAttack","JunkerRecoil",,"JunkerUltiRecoil",,"JunkerReload","JunkerPushback","JunkerWin","JunkerWinloop","JunkerLose","JunkerLoseloop","JunkerWin","JunkerWinloop","JunkerIdle","JunkerWin","JunkerWinloop","JunkerWin","JunkerIdle","JunkerIdle","JunkerProfile","JunkerProfile",,,,,,"JessieIdle","JessieIdle","JessieWin","JessieWinLoop","JessieLose","JessieLoseLoop","JessieWin","JessieWinLoop","JessieIdle","JessieWin","JessieWinLoop","JessieWin","JessieStill","JessieIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanDefault","Shaman","nita_geo.scw",,,"nita_base_cam.scw","emz_intro_pose.scw",,"ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanWinloop","ShamanIdle","ShamanWin","ShamanWinloop","ShamanWin","ShamanIdle","ShamanIdle","ShamanProfile","ShamanProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanPanda","Shaman","nita_geo.scw",,,"nita_base_cam.scw","emz_intro_pose.scw",,"ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanWinloop","ShamanIdle","ShamanWin","ShamanWinloop","ShamanWin","ShamanIdle","ShamanIdle","ShamanProfile","ShamanProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanBearDefault","ShamanPet","nita_bear_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"BearShibaIdle","BearWalk","BearAttack","BearShibaIdle","BearRecoil",,"BearShibaIdle",,"BearShibaIdle","BearPushback","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanBearPanda","ShamanPet","nita_bear_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"BearShibaIdle","BearWalk","BearAttack","BearShibaIdle","BearRecoil",,"BearShibaIdle",,"BearShibaIdle","BearPushback","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle","BearShibaIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerDefault","Undertaker","mortis_geo.scw:headGeo+hairGeo+cloakGeo+armsGeo+torsoGeo+capeGeo+capeGeo1+legsGeo+shoesGeo+lanternGeo+shovelGeo+shovelsmearGeo",,,"mortis_base_cam.scw","emz_intro_pose.scw",,"UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerPushback","UndertakerWin","UndertakerWinloop","UndertakerLose","UndertakerLoseloop","UndertakerWin","UndertakerWinloop","UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerWin","UndertakerIdle","UndertakerIdle","UndertakerProfile","UndertakerProfile",,,,,,"MortisWinloop","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisWinloop",,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CrowDefault","Crow","crow_geo.glb",,,"crow_base_cam.scw","emz_intro_pose.scw",,"CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowIdle",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowWinloop","CrowIdle","CrowWin","CrowWinloop","CrowWin","CrowIdle","CrowIdle","CrowProfile","CrowProfile",,,,,,"CrowFace","CrowFace","CrowHappy","CrowFace","CrowSad","CrowSad","CrowHappy","CrowFace","CrowFace","CrowHappy","CrowFace","CrowHappy","CrowFace","CrowFace",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CrowWhite","Crow","crow_white_geo.glb",,,"crow_base_cam.scw","emz_intro_pose.scw",,"CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowIdle",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowWinloop","CrowIdle","CrowWin","CrowWinloop","CrowWin","CrowIdle","CrowIdle","CrowProfile","CrowProfile",,,,,,"Crow002Face","Crow002Face","Crow002Happy","Crow002Face","Crow002Sad","Crow002Sad","Crow002Happy","Crow002Face","Crow002Face","Crow002Happy","Crow002Face","Crow002Happy","Crow002Face","Crow002Face",,,,,,,,,"Crow003Projectile",,"Crow003UltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeadMariachiDefault","DeadMariachi","poco_geo.scw",,,"poco_base_cam.scw","emz_intro_pose.scw",,"PocoIdle","PocoWalk","PocoAttack","PocoSecondary","PocoRecoil",,"PocoRecoil",,"PocoReload","PocoPushback","PocoWin","PocoWinloop","PocoLose","PocoLoseloop","PocoWin","PocoWinloop","PocoIdle","PocoWin","PocoWinloop","PocoWin","PocoIdle","PocoIdle","PocoProfile","PocoProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BowDudeDefault","BowDude","bo_geo.scw",,,"bo_base_cam.scw","emz_intro_pose.scw",,"BowGuyIdle","BowGuyWalk","BowGuyAttack","BowGuySecondary","BowGuyRecoil",,"BowGuyRecoil2",,,"BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyLose","BowGuyLoseloop","BowGuyWin","BowGuyWinloop","BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyWin","BowGuyIdle","BowGuyIdle","BowGuyProfile","BowGuyProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SniperDefault","Sniper","piper_geo.scw",,"piper_gadget_pistol_geo.scw","piper_portrait.scw","emz_intro_pose.scw",,"SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperRecoil",,"SniperRecoil",,"SniperReload","SniperPushback","SniperWin","SniperWinloop","SniperLose","SniperLoseloop","SniperWin","SniperWinloop","SniperIdle","SniperWin","SniperWinloop","SniperWin","SniperIdle","SniperIdle","SniperProfile","SniperProfile",,,,"SniperGadgetPistolAttack","SniperGadgetPistolRecoil","PiperStillOpen","PiperStillOpen","PiperWin","PiperWinLoop","PiperLose","PiperLoseLoop","PiperWin","PiperWinLoop","PiperWinLoop","PiperWin","PiperWinLoop","PiperWin","PiperStillClosed","PiperWinLoop",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeDefault","MinigunDude","pam_geo.scw",,,"pam_base_cam.scw","emz_intro_pose.scw",,"PamIdle","PamWalk","PamAttack","PamSecondary","PamRecoil",,"PamSecondaryRecoil",,"PamReload","PamPushback","PamWin","PamWinloop","PamLose","PamLoseloop","PamWin","PamWinloop","PamIdle","PamWin","PamWinloop","PamWin","PamIdle","PamIdle","PamPortrait","PamPortrait",,,,,,"PamFace","PamFace","PamHappy","PamFace","PamFace","PamFace","PamHappy","PamFace","PamFace","PamHappy","PamFace","PamFace","PamStill","PamStill",,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BullGuyHair","BullDude","bull_viking_geo.scw",,,"bull_base_cam.scw","emz_intro_pose.scw",,"BullVikingIdle","BullVikingWalk","BullVikingPrimary","BullVikingSecondary","BullVikingRecoil",,"BullVikingRecoil",,"BullVikingIdle","BullVikingPushback","BullVikingWin","BullVikingWinloop","BullVikingLose","BullVikingLoseloop","BullVikingWin","BullVikingWinloop","BullVikingIdle","BullVikingWin","BullVikingWinloop","BullVikingWin","BullVikingIdle","BullVikingIdle","BullGuyHairProfile","BullGuyHairProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrickshotGold","TrickshotDude","rico_gold_geo.scw",,,"rico_base_cam.scw","emz_intro_pose.scw",,"RicoGoldIdle","RicoGoldWalk","RicoGoldPrimary","RicoGoldSecondary","RicoGoldRecoil",,"RicoGoldRecoil",,"RicoGoldReload","RicoGoldPushback","RicoGoldWin","RicoGoldWinloop","RicoGoldLose","RicoGoldLoseloop","RicoGoldWin","RicoGoldWinloop","RicoGoldIdle","RicoGoldWin","RicoGoldWinloop","RicoGoldWin","RicoGoldIdle","RicoGoldIdle","RicoProfile","RicoProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rico003Projectile",,"Rico003UltiProjectile","rico_003_atk",,"rico_003_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepGold","Barkeep","barley_banker_geo.scw",,,"barley_base_cam.scw","emz_intro_pose.scw",,"BarkeepBankerIdle","BarkeepBankerWalk","BarkeepBankerPrimary","BarkeepBankerSecondary","BarkeepBankerRecoil",,"BarkeepBankerRecoil",,"BarkeepBankerReload","BarkeepBankerPushback","BarkeepBankerWin","BarkeepBankerWinloop","BarkeepBankerLose","BarkeepBankerLoseloop","BarkeepBankerWin","BarkeepBankerWinloop","BarkeepBankerWinidleloop","BarkeepBankerWin","BarkeepBankerWinidleloop","BarkeepBankerWin","BarkeepBankerIdle","BarkeepBankerIdle","BarkeepBankerProfile","BarkeepBankerProfile",,,,"BarkeepSecondary","BarkeepRecoil",,,,,,,,,,,,,,,,,,,,,,,"Barley003Projectile",,"Barley003UltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorRudo","Luchador","primo_elrudo_geo.scw",,,"primo_elrudo_portrait.scw","emz_intro_pose.scw",,"LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LuchadorRudoWin","LuchadorRudoWinloop","LouchadorLose","LouchadorLoseloop","LuchadorRudoWin","LuchadorRudoWinloop","LouchadorIdle","LuchadorRudoWin","LuchadorRudoWinloop","LuchadorRudoWin","LouchadorIdle","LouchadorIdle","LouchadorRudoPortrait","LouchadorRudoPortrait",,,,"LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BanditGirlBandita","ShotgunGirl","shelly_bandita_geo.scw",,,"shelly_base_cam.scw","emz_intro_pose.scw",,"ShellyBanditaIdle","ShellyBanditaWalk","ShellyBanditaPrimary","ShellyBanditaSecondary","ShellyBanditaRecoil",,"ShellyBanditaRecoil",,"ShellyBanditaReload","ShellyBanditaPushback","ShellyBanditaWin","ShellyBanditaWinloop","ShellyBanditaLose","ShellyBanditaLoseloop","ShellyBanditaWin","ShellyBanditaWinloop","ShellyBanditaIdle","ShellyBanditaWin","ShellyBanditaWinloop","ShellyBanditaWin","ShellyBanditaIdle","ShellyBanditaIdle","ShellyProfile","ShellyProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorRey","Luchador","primo_elrey_geo.scw",,,"primo_portrait.scw","emz_intro_pose.scw",,"LuchadorReyIdle","LuchadorReyWalk","LuchadorReyPrimary","LuchadorReySecondary","LuchadorReyRecoil","LuchadorReyRecoil2","LuchadorReyRecoil",,,"LouchadorPushback","LuchadorReyWin","LuchadorReyWinloop","LuchadorReyLose","LuchadorReyLoseloop","LuchadorReyWin","LuchadorReyWinloop","LuchadorReyIdle","LuchadorReyWin","LuchadorReyWinloop","LuchadorReyWin","LuchadorReyIdle","LuchadorReyIdle","LouchadorProfile","LouchadorProfile",,,,"LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle","PrimoElreyIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BallDefault",,"brawl_ball.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackholeDefault","BlackHole","tara_geo.scw",,,"tara_base_cam.scw","emz_intro_pose.scw",,"TaraIdle","TaraWalk","TaraPrimary","TaraSecondary","TaraRecoil",,"TaraSecondaryRecoil",,"TaraReload","TaraIdle","TaraWin","TaraWinloop","TaraLose","TaraLoseloop","TaraWin","TaraWinloop","TaraIdle","TaraWin","TaraWinloop","TaraWin","TaraIdle","TaraIdle","TaraProfile","TaraProfile",,,,,,"TaraFaceIdle","TaraFaceIdle","TaraFaceWin","TaraFaceWinLoop","TaraFaceLose","TaraFaceLoseloop","TaraFaceWin","TaraFaceWinLoop","TaraFaceIdle","TaraFaceIdle","TaraFaceIdle","TaraFaceIdle","TaraFaceIdle","TaraFaceIdle",,,,,,,"true","true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
