"Name","Type","SubType","ChargeCount","Cooldown","UseEffect","LoopingEffect","LoopingEffectPet","ActivationDelay","ActiveTicks","ShowCountdown","StopMovement","StopPetForDelay","AnimationIndex","SetAttackAngle","AimGuideType","ConsumesAmmo","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","Interruptable","RequirePetDistance","DestroyPet","Range","RequireEnemyInRange","TargetFriends","TargetIndirect","ShieldPercent","ShieldTicks","SpeedBoost","SpeedBoostTicks","SkipTypeCondition","UsableDuringCharge","CustomObject","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","CustomValue6","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText","RequiresSpecificActionText"
"Mechanic_Slow",,,3,100,"gadget_activate",,,,,,,,,,3,,,"MechanicSlowArea",,,,12,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"HookDude_Push","heal",1,2,100,"gadget_activate",,,,,,,,,,1,,"HookDudePushback",,,,,,,,,,,,,,,"true",,,700,,,,,,,,,
"ClusterBombDude_Dash","dash",,3,100,"gadget_activate","gadget_max_dash",,,8,,,,,,,,"ClusterBombDashMine",,"true",,,,,,,,,,,,,,,,900,2000,,,,,,,,
"Speedy_Dash","dash",,3,100,"gadget_activate","gadget_max_dash",,,8,,,,,,,,,,"true",,,,,,,,,100,10,,,,,,1000,2400,,,,,,,,
"ShotgunGirl_Dash","dash",,3,100,"gadget_activate","gadget_max_dash",,,8,,,,,,,,,,"true",,,,,,,,,,,,,,,,900,2000,,,,,,,,
"Driller_SpeedBoost",,,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,158,60,,,,,,,,,,,,,
"MinigunDude_BurstHeal",,,3,100,"gadget_activate",,,,,,,,,,3,,,"MinigunDudeTowerBurstHeal",,,,12,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"TntDude_Spin","spin_shoot",,3,100,"gadget_activate",,,,40,,,,,,,,,,"true",,"true",,,,,,,,,150,40,,,"TntDudeProjectile",2,100,700,700,100,,,,,
"Arcade_Teleport","teleport_to_pet",,3,100,"gadget_activate",,,,10,,"true",,,,,,,,"true",,,12,,,,,,,,,,,,"ArcadeTeleport",,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"BarrelBot_Spin","spin_shoot",,3,100,"gadget_activate","darryl_def_atk",,,15,,,,,,,,,,"true",,"true",,,,,,,,,,,,,"BarrelBotSpinProjectile",1,25,400,2500,0,1000,,,,
"HammerDude_Immunity","cc_immunity",,3,100,"gadget_activate","gadget_frank_headphones",,,30,,,,,,,,,,,"true",,,,,,,,,,,,,,,30,,,,,,,,,
"Whirlwind_Trail","trail",,3,100,"gadget_activate",,,,100,"true",,,,,,,,,,,,,,,,,,,,,,,,"WhirlwindTrail",450,,,,,,,,,
"BowDude_Totem","spawn",1,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BowDudeTotem",,,,,,,,,,
"Luchador_Grab","throw_opponent",,3,100,"gadget_activate",,,,10,,"true",,,,4,,,,"true",,"true",,,3,"true",,,,,,,,,,300,,,,,,,,,
"Undertaker_Swing","spin_shoot",,3,100,"gadget_activate",,,,8,,,,,,1,,"UndertakerSwingDamage",,"true",,,,,,,,,,,,,,,,100,,,,,,,,,
"BlackHole_Vision","vision",,3,100,"gadget_activate","gadget_tara_vision",,,100,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeadMariachi_Regen",,,3,100,"gadget_activate",,,,,,,,,,1,,"PocoRegenArea",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sniper_HandGun","repeat_shot",1,3,100,"gadget_activate",,,,5,,,,1,"true",4,,,,"true",,,,,7,"true",,,,,,,,,"PiperHandgunProjectile",5,100,,,,,,,,
"SpawnerDude_Promote","promote_minion",,3,100,"gadget_activate",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,150,1000,,,,,"TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_PORTER_ALREADY_PROMOTED",
"Sandstorm_Sleep","heal",1,3,100,"gadget_activate","gadget_sandy_sleep",,40,,"true","true",,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,
"BeeSniper_Slow","spawn",1,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeeSniperSlowPot",,,,,,,,,,
"BullDude_Heal","heal",1,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,
"Gunslinger_Reload","reload",,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,
"Mummy_Push",,,3,100,"gadget_activate",,,,,,,,,,1,,"MummyAccessoryPushback",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baseball_Heal","heal",2,3,100,"gadget_activate",,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,
"Ninja_Fake","spawn",2,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NinjaFake",200,,,,,,,,,
"Blower_Trampoline","spawn",3,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Controller_Explode","kill_projectile",,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ArcadeTeleport",,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_GUIDED_PROJECTILE",,,
"PowerLeveler_Blink","teleport_forward",,3,100,"gadget_activate",,,,5,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"ArcadeTeleport",1000,,,,,,,,,
"Crow_PoisonTrigger","poison_trigger",,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,70,,,,,,,,
"ArtilleryDude_Barrage","turret_barrage",,3,100,"gadget_activate",,,,25,,,,,,,,,,,,,14,,,,,,,,,,,,,5,500,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"ShotgunGirl_Focus","next_attack_change",1,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,1000,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"BowDude_MineTrigger","mine_trigger",,3,100,"gadget_activate",,"bo_002_ulti_trail",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_MINES",,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Undertaker_Reload","reload_speed",,3,100,"gadget_activate",,,,80,,,,,,,,,,,,,,,,,,,,,,,,1,,80,100,,,,,,,,
"Sniper_Seeker","next_attack_change",2,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,"SniperHomingProjectile",0,0,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Luchador_Meteor","spawn",4,3,100,"gadget_activate",,,,,,,,,,4,,,,,,,,,10,"true",,"true",,,,,,,"LuchadorMeteorSpawn",2000,,,,,,,,,
"Barkeep_HealPotion","repeat_shot",1,3,100,"gadget_activate",,,,30,,,,,"true",4,,,,"true",,"true",,,10,,"true","true",,,,,,,"BarkeepHealingProjectile",5,-500,3000,,,,,,,
"TntDude_Stun","next_attack_change",3,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Mechanic_TurretBuff","pet_attack_speed",,3,100,"gadget_activate",,"gadget_pet_on_loop",,100,"true",,,,,,,,,,,,12,,,,,,,,,,,,,3,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"Percenter_StaticDamage","next_attack_change",4,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,
"FireDude_Spill","trail",,3,100,"gadget_activate",,,,60,"true",,,,,,,"PetrolDistributionGadget",,,,,,,,,,,,,100,60,,,"PetrolDistributionTrail",200,,,,,,,,,
"BullDude_Stomp",,,3,100,"gadget_activate",,,,,,"true",,,,,,"BullSlowArea",,"true",,,,,,,,,,,,,,2,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_REQUIRES_BULLDOZER"
"Speedy_Rewind","rewind",,3,100,"gadget_activate","gadget_on_loop",,,80,"true",,,,,,,"SpeedyRewindArea",,,,,,,,,,,,,,,,,"ArcadeTeleport",,,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"BeeSniper_ExtraBee","repeat_shot",2,3,100,"gadget_bea_circlingBea_active",,,,18,,,,,,,,,,,,"true",,,,,,,,,,,,,"BeeSniperCirclingProjectile",6,1000,,,,,,,,
"BarrelBot_Slow","following_area",,3,100,"gadget_activate",,,,80,,,,,,,,,,,,,,,,,,,,,,,,,"BarrelBotSlowArea",,,,,,,,,,
"Shaman_Shield","shield_pet",,3,100,"gadget_activate",,,,60,"true",,,,,,,,,,,,12,,,,,,,,,,,,,35,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_BEAR","TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR",,
"Wally_Reposition","reposition_wall",,3,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_REQUIRES_WALL",,,
"RocketGirl_MegaRocket","next_attack_change",2,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,"RocketGirlGadgetProjectile",100,0,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Whirlwind_Fly","next_attack_change",5,3,100,"gadget_activate","gadget_on_loop",,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Arcade_Double","next_attack_change",2,3,100,"gadget_activate",,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,100,1800,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"Gunslinger_BigBullet","next_attack_change",2,3,100,"gadget_activate",,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,"GunslingerBigProjectile",600,100,,,,,,,"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE",
"IceDude_Freeze",,,3,100,"gadget_activate",,,,20,,"true",,,,,,,,"true",,,,,,,,,100,20,,,,,,,,,,,,,,,
