"TID","AR"
"TID_SERVER_ERROR","در طول نبرد ارتباطت قطع شد."
"TID_SERVER_ERROR_BUTTON","تایید"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","ارتباط قطع شد"
"TID_ERROR_POP_UP_CONNECTION_LOST","لطفاً دوباره وارد سیستم شو!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","ورود دوباره به سیستم"
"TID_TROPHIES","جام‌ها"
"TID_READY","حاضر"
"TID_BATTLE_END_TITLE_DRAW","تساوی"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","<TIME> دوام آورد"
"TID_BATTLE_END_DEATHMATCH_VICTORY","تو شماره یکی!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","رتبه: <RANK>"
"TID_BATTLE_END_NEXT","بعدی"
"TID_BATTLE_END_TAP","برای ادامه ضربه بزن"
"TID_RESPAWNING","جون تازه در:\n<n1>"
"TID_TEAM_ENTRY_GAME_INFO","<MODE> در <LOC>"
"TID_TEAM_MEMBER_LEFT_0","اتاق رو ترک کردی."
"TID_TEAM_MEMBER_LEFT_1","از اتاق بیرونت کردن."
"TID_TEAM_GAME_STARTING","شروع بازی"
"TID_TEAM_CODE_COPIED","کپی کردن کد به کلیپ‌بورد"
"TID_TEAM_ERROR_1","خطای سرور اتاق"
"TID_TEAM_ERROR_2","نمیشه به اتاق پیوست. اتاق پره."
"TID_TEAM_ERROR_3","نمیشه به اتاق پیوست. اتاق قبلا منحل شده."
"TID_TEAM_ERROR_5","کد اتاق نامعتبر. لطفا بررسی کن که کد درست رو وارد می‌کنی."
"TID_TEAM_ERROR_6","اتاقی که کدش رو وارد کردی پیدا نشد."
"TID_TEAM_ERROR_7","نمیشه به اتاق پیوست. نمیشه به اتاقی بپیوندی که قبلا ازش بیرون انداخته شدی."
"TID_TEAM_ERROR_8","تنظیمات طرف‌ها رو چک کن. هر طرف فقط می‌تونه 3 تا بازیکن داشته باشه."
"TID_TEAM_ERROR_10","نمیشه اتاق ایجاد کرد. همین الان توی یک اتاقی."
"TID_TEAM_ERROR_11","نمیشه اتاق ایجاد کرد. اتاق منقضی شده."
"TID_TEAM_ERROR_12","نمیشه به اتاق پیوست. اتاق منقضی شده."
"TID_TEAM_ERROR_15","نمیشه به اتاق پیوست. این اتاق در منطقه تو نیست."
"TID_TEAM_ERROR_17","نمیشه بازی رو شروع کرد. جنگجوهای یکسان در اتاق ممنوعن."
"TID_TEAM_ERROR_18","نمیشه بازی رو شروع کرد. بازی برای تعمیر و نگهداری متوقف خواهد شد."
"TID_TEAM_ERROR_19","نمیشه وقتی سازنده اتاق آنلاینه، بیرونش کنی."
"TID_TEAM_ERROR_21","نمیشه بازی رو شروع کرد. بلیت به اندازه کافی نیست"
"TID_TEAM_SEARCH_INVALID_CODE","کد اتاق نامعتبر. لطفا بررسی کن که کد درست رو وارد می‌کنی."
"TID_TEAM_JOIN","پیوستن"
"TID_TEAM_CANCEL_READY","لغو"
"TID_TEAM_TEAMCODE","کد اتاق"
"TID_TEAM_TEAMCODE_DESC","با استفاده از این کد، دوستات می‌تونن به اتاق دسترسی داشته باشن."
"TID_TEAM_WAITING_FOR_PLAYER","دعوت با کد اتاق"
"TID_TEAM_KICK","بیرون کردن"
"TID_TEAM_SWAP","تبادل طرف بازی"
"TID_TEAM_SWAP_HERE","اینجا مبادله کن"
"TID_TEAM_TOGGLE_TEAM","عوض کردن طرف"
"TID_TEAM_SIDE_LABEL","طرف</c>"
"TID_TEAM_SIDE_2","<c999999>تصادفی</c>"
"TID_TEAM_SIDE_0","<cffd700>آ</c>"
"TID_TEAM_SIDE_1","<c00ffff>ب</c>"
"TID_BONUS_REWARD","جایزه اضافی برای 3 پیروزی:"
"TID_BONUS_REWARD_COLLECTED","جایزه اضافی دریافت شد"
"TID_INFO_SERVER_ERROR_TITLE","خطای سرور"
"TID_INFO_SERVER_ERROR_BUTTON","بارگذاری مجدد بازی"
"TID_RARITY_NAME_1","کمیاب"
"TID_RARITY_NAME_2","سوپر کمیاب"
"TID_RARITY_NAME_3","حماسی"
"TID_RARITY_NAME_4","اسطوره‌ای"
"TID_RARITY_NAME_5","افسانه‌ای"
"TID_RANK_UP_POPUP_REWARD_BONUS","پاداش صعود رتبه"
"TID_RANK_UP_POPUP_RANK","رتبه <RANK>"
"TID_NAME_FAILED_TOO_SHORT","اسم زیادی کوتاهه!"
"TID_NAME_FAILED_PROFANITIES","اسم پذیرفتنی نیست!"
"TID_NAME_FAILED","اسم پذیرفتنی نیست!"
"TID_SELECT_HERO_INFO_1","<cFF8000>بازیکنان در مقابل بازیکنان</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>بازیکنان در مقابل ربات</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>بازی تکی با ربات</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>بازیکنان در مقابل بازیکنان</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>بازی تکی با ربات</c>"
"TID_NAVI_1","فروشگاه"
"TID_NAVI_4","جنگجوها"
"TID_BATTLE_MAIN_NEXT_REWARD","جایزه بعدی: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_COLLECTED_COINS","<VALUE>جمع شد!"
"TID_HERO_INFO_BACK","بازگشت"
"TID_HERO_INFO_UPGRADE","ارتقا"
"TID_HERO_INFO_ABILITY_LEVEL","سطح <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","خرید جنگجو"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_MATCHMAKE_FAILED_5","حریف‌یابی انجام نشد: رویداد منقضی شده است"
"TID_MATCHMAKE_FAILED_7","حریف‌یابی انجام نشد: ارتباط عضو اتاق قطع شده بود"
"TID_MATCHMAKE_FAILED_9","حریف‌یابی انجام نشد: وقفه نگهداری در شرف آغازه"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","پیروزی تیم آبی ظرف:"
"TID_ENEMY_TEAM_WINNING","پیروزی تیم قرمز ظرف:"
"TID_OWN_TEAM","تیم آبی"
"TID_ENEMY_TEAM","تیم قرمز"
"TID_COUNTDOWN","شمارش معکوس"
"TID_HERO_LIST_DO_GATCHA","جعبه جنگ رو باز کن"
"TID_HERO_LOCKED_CANNOT_VIEW","برای باز کردن جنگجوهای جدید، روی دکمه پیمایش ضربه بزن"
"TID_DAILY_COINS_COLLECTED","جمع شد!"
"TID_TEAM_BATTLE","ایجاد"
"TID_TEAM_UNREADY","آماده نیست"
"TID_TEAM_WAITING_WHILE_READY","تو آماده‌ای!\nدر انتظار دیگران."
"TID_GATCHA_SCREEN_OK","با حاله!"
"TID_GATCHA_SCREEN_TAP","تق! تق!"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_NAVI_BLOCKED_1","وقتی آماده‌ای نمی‌تونی صفحت رو تغییر بدی!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> منتظر دیگرانه تا آماده بشن"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> هنوز برای بازی آماده نیست"
"TID_TEAM_MEMBER_INFO_SELF_READY","وقتی آماده‌ای نمی‌تونی جنگجو رو تغییر بدی!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","وقتی آماده‌ای نمی‌تونی رویداد رو تغییر بدی!"
"TID_TEAM_INFO_TEAM_CODE","این کد رو با دوستات به اشتراک بگذار و آنها رو به اتاقت دعوت کن!\n\nبرای کپی کردن روی کلیپ بورد، دوباره ضربه بزن."
"TID_FREEZER","منجمد کننده"
"TID_GAME_OVER","بازی تمام شد"
"TID_LEVEL","سطح<LVL>"
"TID_PLAYERS_IN_MM","برخی بازیکن‌ها در حریف‌یابی هستن!"
"TID_ONLINE_INFO","بازیکنان آنلاین: <ONLINE> در حریف‌یابی: <MATCHMAKE> در مسابقه: <BATTLES>"
"TID_INPUT_NAME","اسمت رو اینجا وارد کن"
"TID_LEADERBOARD_YOUR_SCORE","امتیازت"
"TID_LEADERBOARD_YOUR_RANK","رتبه‌ات"
"TID_LEADERBOARD_HIGHEST_SCORE","بالاترین امتیازت"
"TID_SET_REGION_RESULT_0","تغییر موفقیت‌آمیز منطقه به <REGION>"
"TID_SET_REGION_RESULT_1","تغییر منطقه ناموفق: وقتی در یک گروه هستی، نمیشه منطقه رو تغییر داد"
"TID_SET_REGION_RESULT_2","تغییر منطقه ناموفق: وقتی در یک اتاق بازی هستی، نمیشه منطقه رو تغییر داد"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","کریستال ربایی"
"TID_BATTLE_END_MY_TEAM","تیم تو"
"TID_BATTLE_END_ENEMY_TEAM","تیم حریف"
"TID_BACK","بازگشت"
"TID_UNLOCK_SKIN_ERROR_1","جواهر کافی نیست"
"TID_EXPERIENCE_LEVEL","سطح تجربه"
"TID_BOT_1","ربات 1"
"TID_BOT_2","ربات 2"
"TID_BOT_3","ربات 3"
"TID_BOT_4","ربات 4"
"TID_BOT_5","ربات 5"
"TID_BOT_6","ربات 6"
"TID_BOT_7","ربات 7"
"TID_BOT_8","ربات 8"
"TID_BOT_9","ربات 9"
"TID_CRAFT_HERO_TITLE","خرید جنگجو"
"TID_CRAFT_HERO_BUTTON_LABEL","خرید"
"TID_UNLOCK_SKIN_TITLE","خرید جلد"
"TID_UNLOCK_SKIN_BUTTON_LABEL","خرید"
"TID_HERO_LIST_TOTAL_TROPHIES","مجموع جام‌ها"
"TID_GAME_MODE_2","سرقت"
"TID_GAME_MODE_3","پاداش"
"TID_GAME_MODE_3_DESC","برای گرفتن ستاره، اعضای تیم مقابل رو از پا درآر. ستاره بیشتری روی سر، به معنای جایزه بزرگ‌تره. تیمی که بیشترین ستاره رو داره برنده می‌شه!"
"TID_GAME_MODE_6_DESC","نه تای دیگر رو از پا درآر و خودت تنها بازمانده‌ی بازی باش. فقط یک جون داری پس هر کاری که از دستت برمی‌آد انجام بده."
"TID_GAME_MODE_5","توپ جنگی"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","صعود رتبه"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","صعود سطح"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","پیروزی"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","شکست"
"TID_BATTLE_END_GAIN_LABEL_DRAW","تساوی"
"TID_BATTLE_END_GAIN_LABEL_MVP","ستاره‌ی میدان"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","رتبه امتیاز"
"TID_BATTLE_END_MVP","ستاره‌ی میدان"
"TID_BATTLE_END_DEFEAT_INFO","ایشالله دفعه‌ی بعد!"
"TID_TUTORIAL_9","تو یک جنگجو به دنیا اومدی!\n\nدیگه وقتشه بریم حالشون رو بگیریم!"
"TID_HERO_SCORE_INFO_MAXED","به رتبه نهایی رسیدی."
"TID_XP_INFO_OTHER","سطح تجربه‌ی این بازیکن"
"TID_ALLIANCE_TYPE_OPEN","باز کردن"
"TID_ALLIANCE_TYPE_INVITE_ONLY","دعوتی"
"TID_ALLIANCE_TYPE_CLOSED","بسته"
"TID_STREAM_ENTRY_AGE","<time> قبل"
"TID_ALLIANCE_ROLE_LEADER","رهبر"
"TID_ALLIANCE_ROLE_CO_LEADER","دستیار رهبر"
"TID_ALLIANCE_ROLE_MEMBER","عضو"
"TID_ALLIANCE_ROLE_ELDER","پیشکسوت"
"TID_STREAM_SENDER_YOU","تو"
"TID_GOLDRUSH_1","معدن سنگ سخت"
"TID_BANKHEIST_1","انبار راهزن"
"TID_WANTED_1","ویرانه های معبد"
"TID_BATTLE_ROYALE_1","گذرگاه جمجمه"
"TID_GOLDRUSH_2","غار کریستال"
"TID_BANKHEIST_2","تنگه‌ی ترقه"
"TID_WANTED_2","اردوگاه یاغی‌ها"
"TID_BATTLE_ROYALE_2","دشت های طوفانی"
"TID_GOLDRUSH_3","غار قارچ"
"TID_BANKHEIST_3","محدوده امن"
"TID_WANTED_3","مربع سفالی"
"TID_BATTLE_ROYALE_3","دره مرگ"
"TID_WANTED_4","مزرعه کلم"
"TID_GOLDRUSH_4","جعبه استخون"
"TID_WANTED_5","باریک‌راه ستاره"
"TID_GOLDRUSH_5","معبد صخره‌ای"
"TID_WANTED_6","فلات افعی"
"TID_WANTED_7","تیر شهاب"
"TID_BATTLE_ROYALE_4","جشن یا قحطی"
"TID_WANTED_8","لونه موش خرما"
"TID_BANKHEIST_4","مرغزار جی جی"
"TID_CLAN_TOTAL_TROPHIES","جام‌های گروه"
"TID_CLAN_INFO_TAG","برچسب گروه"
"TID_CLAN_INFO_MESSAGE","پیام"
"TID_CLAN_INFO_REQUEST_JOIN","درخواست پیوستن"
"TID_CLAN_SEARCH_NO_RESULTS","گروهی پیدا نشد"
"TID_CLAN_INFO_MEMBERS","اعضاء"
"TID_ALLIANCE_CREATE_OK","گروه با موفقیت ایجاد شد"
"TID_TITLE_ALLIANCE","اطلاعات گروه"
"TID_ALLIANCE_LEFT","تو از قبیله خارج شدی!"
"TID_CLAN_MEMBER_DEMOTE","نزول رتبه"
"TID_CLAN_MEMBER_PROMOTE","ارتقا رتبه"
"TID_CLAN_MEMBER_KICK","بیرون کردن"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","مشاهده گروه"
"TID_BUTTON_INVITE","دعوت"
"TID_PLAYER_INFO_GOTO_CLAN","مشاهده گروه"
"TID_PLAYER_INFO_HEROES","جنگجوها(<FOUND>/<TOTAL>)"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","قفل این نماد در سطح تجربه <LEVEL> باز می‌شه"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","قفل ابن نماد با کسب <TROPHIES> جام باز می‌شه"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_5","قفل این نماد با <POINTS> امتیاز فصل باز می‌شه"
"TID_NO_CLAN","عضو گروهی نیست"
"TID_ULTIMATE_NOT_READY","به دشمنان ضربه بزن تا فوق‌حمله شارژ بشه!"
"TID_CANT_ACTIVATE_ULTI","بعد از شکست نمیشه فوق‌حمله رو فعال کرد!"
"TID_NAME_TOO_SHORT","اسمت زیادی کوتاهه"
"TID_ALLIANCE_JOINED","گروه پیوست"
"TID_BOUNTY_HUNTER_INTRO_TEXT","برای گرفتن ستاره، جنگجوها رو شکست بده"
"TID_ALLIANCE_PROMOTE_TITLE","تایید ارتقا رتبه"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","آیا مطمئنی می‌خوای <NAME> رو به سمت <ROLE> ارتقا بدی؟"
"TID_ALLIANCE_PROMOTE_BUTTON","ارتقا رتبه"
"TID_ALLIANCE_KICK_TITLE","تایید بیرون انداختن"
"TID_ALLIANCE_KICK_CONFIRMATION","مطمئنی می‌خوای <NAME> رو از گروه بیرون بندازی؟"
"TID_ALLIANCE_KICK_BUTTON","بیرون کردن"
"TID_ALLIANCE_DEMOTE_TITLE","تایید نزول رتبه"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","آیا مطمئنی می‌خوای <NAME> رو به سمت <ROLE> نزول بدی؟"
"TID_ALLIANCE_DEMOTE_BUTTON","نزول رتبه"
"TID_CLAN_RESPONSE_10","تنظیمات دخیره شد"
"TID_CLAN_RESPONSE_20","گروه ایجاد شد"
"TID_CLAN_RESPONSE_22","اسم پذیرفتنی نیست"
"TID_CLAN_RESPONSE_40","گروه پیوست"
"TID_CLAN_RESPONSE_42","پیوستن ناموفق: گروه پره"
"TID_CLAN_RESPONSE_43","پیوستن ناموفق: گروه باز نیست"
"TID_CLAN_RESPONSE_45","پیوستن ناموفق: برای پیوستن به این گروه تعداد جامت کافی نیست"
"TID_CLAN_RESPONSE_46","عضویت ناموفق: به خاطر درخواست عضویتی که قبلا رد شده/بیرون انداخته شده، از این گروه تحریم شدی"
"TID_CLAN_RESPONSE_47","عضویت ناموفق: امروز به گروه‌های زیادی پیوستی. امکان پیوستن به گروه امروز برات مسدود شده."
"TID_CLAN_RESPONSE_48","عضویت ناموفق: پیوستن به گروهی در منطقه دیگر ممکن نیست."
"TID_CLAN_RESPONSE_50","ارسال موفق درخواست عضویت"
"TID_CLAN_RESPONSE_51","ارسال ناموفق درخواست عضویت: این گروه دیگه درخواست عضویت قبول نمی‌کنه"
"TID_CLAN_RESPONSE_52","ارسال ناموفق درخواست عضویت: قبلا به این گروه درخواست فرستادی که هنوز بهش رسیدگی نشده"
"TID_CLAN_RESPONSE_53","ارسال ناموفق درخواست عضویت: برای پیوستن به این گروه به اندازه کافی جام نداری"
"TID_CLAN_RESPONSE_54","درخواست عضویت ناموفق: به خاطر درخواست عضویتی که قبلا رد شده/بیرون انداخته شده، از این گروه تحریم شدی"
"TID_CLAN_RESPONSE_55","درخواست عضویت ناموفق: پیوستن به گروهی در منطقه دیگر ممکن نیست."
"TID_CLAN_RESPONSE_70","بیرون اندختن موفق"
"TID_CLAN_RESPONSE_80","گروه رو ترک کردی"
"TID_CLAN_RESPONSE_81","ارتقا رتبه موفقیت‌آمیز"
"TID_CLAN_RESPONSE_82","نزول رتبه موفقیت‌آمیز"
"TID_CLAN_RESPONSE_90","قبول موفقیت‌آمیز"
"TID_CLAN_RESPONSE_91","رد موفقیت‌آمیز"
"TID_CLAN_RESPONSE_92","قبول ناموفق: هدف قبلا عضو یک گروه شده"
"TID_CLAN_RESPONSE_93","رسیدگی ناموفق: درخواست رو پیدا نکرد"
"TID_CLAN_RESPONSE_94","رسیدگی ناموفق: قبلا به درخواست رسیدگی شده"
"TID_CLAN_RESPONSE_95","رسیدگی ناموفق: اجازه لازم رو نداری"
"TID_CLAN_RESPONSE_96","رسیدگی ناموفق: هدف از این گروه تحریم شده است"
"TID_CLAN_RESPONSE_100","تو از قبیله بیرون انداخته شده‌ای"
"TID_CLAN_RESPONSE_101","ارتقا سمت گرفتی"
"TID_CLAN_RESPONSE_102","نزول سمت گرفتی"
"TID_ALLIANCE_NAME_TOO_SHORT","اسم گروه زیادی کوتاهه!"
"TID_CLAN_JOIN_REQUEST_TITLE","درخواست عضویت در گروه"
"TID_CLAN_JOIN_REQUEST_SEND","فرستادن"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","می خوام به گروهتون بپیوندم..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","این بازیکن رو در گروه می‌پذیری؟"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","پذیرش"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","رد"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","پذیرفته شده توسط <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","رد شده توسط <name>"
"TID_HINT_DRAG_TO_AIM","کشیدن برای هدف‌گیری"
