"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","FullscreenPreview","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","TrophyWorldReward","TrophyWorldIconFrameNumber","TrophyWorldMaxResourcePerFrame","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset","RecordsPopupRewards","CustomGachaScreenOverride","GridViewAsset","ShowGridViewCount"
"UpgradeMaterial",1,"TRUE","TRUE","TRUE","TRUE","TRUE",0,200,"sc/shop.sc#shop_item_resourses_coins",,"sc/shop.sc#shop_popupitem_1",,"sc/shop.sc#shop_item_daily_freebie_coins",,,,"shop_item_resourses_coins","shop_item_resourses_coins","sc/shop.sc#offer_item_coins_big","sc/shop.sc#offer_item_coins_big","sc/shop.sc#offer_item_coins_small","sc/shop.sc#offer_item_coins_big",,,,,"sc/shop.sc#hero_item_coins","offer_coins","sc/brawl_pass.sc#brawlpass_reward_premium_coins","sc/brawl_pass.sc#brawlpass_reward_free_coins",,"reward_profilebutton_1","TRUE",150,9999,"reward_popupitem_collected_1","reward_popupitem_small_1","reward_popupitem_medium_1","reward_popupitem_large_1","sc/trophy_world_common.sc#reward_item_coin",0,200,,,,,"offer_item_coins_small","offer_item_coins_small","offer_item_coins_small","TID_SHOP_OFFER_TITLE_1","resource","icon_resource_coin","sc/shop.sc#offer_item_coins_small",,"grid_item_coin","true"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,,,,,,,,,,,,,,
,,,,,,,2,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1500,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1,,,,,,,,,,,,,,
"Gems",16,"TRUE","TRUE","TRUE","TRUE",,0,30,"sc/shop.sc#shop_item_resourses_gems","sc/shop.sc#shop_item_resourses_gems_big","sc/shop.sc#shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_small","sc/shop.sc#offer_item_gems_big",,,,,"sc/shop.sc#hero_item_gems","offer_gems","sc/brawl_pass.sc#brawlpass_reward_premium_gems","sc/brawl_pass.sc#brawlpass_reward_free_gems",,"reward_profilebutton_16",,,,,"reward_popupitem_small_16",,,"reward_popupitem_small_16",0,30,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_simple","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_gem","sc/shop.sc#offer_item_gems_small",,"grid_item_gem","true"
,,,,,,,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,,,,,,,,,,,,,,
,,,,,,,2,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,170,,,,,,,,,,,,,,
,,,,,,,3,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,360,,,,,,,,,,,,,,
,,,,,,,4,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,950,,,,,,,,,,,,,,
,,,,,,,5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2000,,,,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-1,,,,,,,,,,,,,,
"StarPoints",17,"FALSE","FALSE",,"FALSE",,0,500,,,,,"sc/shop.sc#shop_item_daily_freebie_starpoints",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500,,,,"rank_reward_star_points","rank_reward_star_points","rank_reward_star_points",,"TID_SHOP_OFFER_TITLE_17","resource","icon_resource_starpt",,,,
,,,,,,,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1000,,,,,,,,,,,,,,
,,,,,,,2,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10000,,,,,,,,,,,,,,
,,,,,,,3,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20000,,,,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,,,,,,,,,,,
"BrawlPassTokens",28,"FALSE","TRUE",,"TRUE",,0,30,"sc/shop.sc#shop_item_resourses_gems",,"sc/shop.sc#shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_small","sc/shop.sc#offer_item_gems_big",,,,,,"offer_gems","sc/brawl_pass.sc#brawlpass_reward_premium_gems","sc/brawl_pass.sc#brawlpass_reward_free_gems",,"reward_profilebutton_16",,,,,,,,,0,30,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_small","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_key","sc/shop.sc#offer_item_gems_small",,"grid_item_xp","true"
"Emote",19,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_19",,"sc/shop.sc#shop_item_daily_freebie_pin",,,,,,"sc/shop.sc#offer_item_emote_big","sc/shop.sc#offer_item_emote_big","sc/shop.sc#offer_item_emote_small","sc/shop.sc#offer_item_emote_big",,,,,"sc/shop.sc#hero_item_emoji",,"sc/brawl_pass.sc#brawlpass_reward_premium_emote","sc/brawl_pass.sc#brawlpass_reward_free_emote",,,,,,"reward_popupitem_collected_19","reward_popupitem_small_19",,,,,,,,,,"offer_item_emote_small","offer_item_emote_small","offer_item_emote_small","TID_SHOP_OFFER_TITLE_19","pin","reward_profilebutton_3","sc/shop.sc#offer_item_emote_small",,"grid_item_emoji",
"EmoteBundle",20,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_emote_bundle","sc/shop.sc#shop_popupitem_22",,,,,,,"sc/shop.sc#offer_item_emote_bundle_big","sc/shop.sc#offer_item_emote_bundle_medium","sc/shop.sc#offer_item_emote_bundle_small","sc/shop.sc#offer_item_emote_bundle_medium","sc/shop.sc#offer_item_emote_bundle_highlight_big","sc/shop.sc#offer_item_emote_bundle_highlight_small","sc/shop.sc#offer_item_emote_bundle_highlight_small","sc/shop.sc#offer_item_emote_bundle_highlight_small","sc/shop.sc#hero_item_pins","offer_pin_pack","sc/brawl_pass.sc#brawlpass_reward_premium_emote_bundle","reward_popupitem_small_20",,"reward_popupitem_small_20",,,,"reward_popupitem_collected_20","reward_popupitem_small_20",,"reward_popupitem_small_20",,,,,,,,"offer_item_emote_bundle_small","offer_item_emote_bundle_small","offer_item_emote_bundle_small","TID_SHOP_OFFER_TITLE_20","box","reward_popupitem_small_20","sc/shop.sc#offer_item_emote_bundle_small",,"grid_item_random_pins",
"RandomEmotes",21,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_21",,,,,,,,"sc/shop.sc#offer_item_random_emotes_big","sc/shop.sc#offer_item_random_emotes_big","sc/shop.sc#offer_item_random_emotes_small","sc/shop.sc#offer_item_random_emotes_big",,,,,"sc/shop.sc#hero_item_pins","offer_pin_pack","sc/brawl_pass.sc#brawlpass_reward_premium_random_emotes","sc/brawl_pass.sc#brawlpass_reward_free_random_emotes",,,,,,"reward_popupitem_collected_21","reward_popupitem_small_21",,,,,,,,,,"offer_item_random_emotes_small","offer_item_random_emotes_small","offer_item_random_emotes_small","TID_SHOP_OFFER_TITLE_21","box",,"sc/shop.sc#offer_item_random_emotes_small",,"grid_item_random_pins",
"RandomEmotesForBrawler",22,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_22",,,,,,,,"sc/shop.sc#offer_item_random_emotes_for_brawler_big","sc/shop.sc#offer_item_random_emotes_for_brawler_big","sc/shop.sc#offer_item_random_emotes_for_brawler_small","sc/shop.sc#offer_item_random_emotes_for_brawler_big",,,,,"sc/shop.sc#hero_item_pins",,,,,,,,,"reward_popupitem_collected_22","reward_popupitem_small_22",,,,,,,,,,"offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_small","TID_SHOP_OFFER_TITLE_22","box",,"sc/shop.sc#offer_item_random_emotes_for_brawler_small",,"grid_item_random_pins",
"RandomEmoteOfRarity",23,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_24",,,,,,,,"sc/shop.sc#offer_item_random_rarity_emote_big","sc/shop.sc#offer_item_random_rarity_emote_big","sc/shop.sc#offer_item_random_rarity_emote_small","sc/shop.sc#offer_item_random_rarity_emote_big",,,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,,"offer_item_random_emote_of_rarity_small","offer_item_random_emote_of_rarity_small","offer_item_random_rarity_emote_small","TID_SHOP_OFFER_TITLE_23","pin",,"sc/shop.sc#offer_item_random_rarity_emote_small",,"grid_item_random_rarity_pin",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_random_epic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RandomEmotesPackOfRarity",27,"TRUE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_27","box",,,,"grid_item_random_pins",
"PlayerThumbnail",25,"TRUE","TRUE",,"TRUE",,,,"sc/brawl_pass.sc#brawlpass_reward_premium_playericon",,"sc/shop.sc#shop_popupitem_27",,,,,,,,"sc/shop.sc#offer_item_profilepic_big","sc/shop.sc#offer_item_profilepic_big","sc/shop.sc#offer_item_profilepic_small","sc/shop.sc#offer_item_profilepic_big",,,,,"sc/shop.sc#hero_item_player_profile",,"sc/brawl_pass.sc#brawlpass_reward_premium_playericon","sc/brawl_pass.sc#brawlpass_reward_free_playericon",,"sc/brawl_pass.sc#brawlpass_reward_premium_playericon",,,,,,,,,,,,,,"item_player_thumbnail","item_player_thumbnail","item_player_thumbnail","offer_item_profilepic_small","TID_REWARD_DESC_PLAYER_ICON_REGULAR","resource","reward_profilebutton_3","sc/shop.sc#offer_item_profilepic_small",,"grid_item_player_profile",
"GuaranteedBox",2,"FALSE","FALSE",,"FALSE",,,,"sc/shop.sc#shop_item_brawler",,"sc/shop.sc#shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","sc/shop.sc#offer_item_guarantee_brawler_big","sc/shop.sc#offer_item_guarantee_brawler_big","sc/shop.sc#offer_item_guarantee_brawler_small","sc/shop.sc#offer_item_guarantee_brawler_big",,,,,,,,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,,"sc/shop.sc#offer_item_guarantee_brawler_small",,,
"GuaranteedHero",3,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_3",,,,,,,,"sc/shop.sc#offer_item_brawler_big","sc/shop.sc#offer_item_brawler_small","sc/shop.sc#offer_item_skin_small","sc/shop.sc#offer_item_skin_big",,,,,"sc/shop.sc#hero_item_skin_brawler",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler","sc/shop.sc#offer_item_skin_small",,"reward_profilebutton_3",,,,"reward_popupitem_collected_3",,,"reward_popupitem_large_3","sc/trophy_world_common.sc#reward_item_brawler",,,"offer_item_portrait_small","offer_item_portrait_big","offer_item_portrait_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"brawler","reward_profilebutton_3","sc/shop.sc#offer_item_skin_small",,"grid_item_brawler",
"Skin",4,"TRUE","TRUE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","sc/shop.sc#offer_item_brawler_big","sc/shop.sc#offer_item_brawler_small","sc/shop.sc#offer_item_skin_small","sc/shop.sc#offer_item_skin_big",,,,,"sc/shop.sc#hero_item_skin_brawler",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler","sc/shop.sc#offer_item_skin_small",,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_4",,,,"offer_item_skin_small","offer_item_skin_big","chain_offer_item_brawler_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"skin","reward_profilebutton_3","sc/shop.sc#offer_item_skin_small",,"grid_item_skin",
"SkinAndHero",24,"FALSE","TRUE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","sc/shop.sc#offer_item_brawler_big","sc/shop.sc#offer_item_brawler_small","sc/shop.sc#offer_item_skin_small","sc/shop.sc#offer_item_skin_big",,,,,"sc/shop.sc#hero_item_skin_brawler",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler","sc/shop.sc#offer_item_skin_small",,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3",,,,"offer_item_skin_small","offer_item_skin_big","chain_offer_item_brawler_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"skin","reward_profilebutton_3","sc/shop.sc#offer_item_skin_small",,"grid_item_skin",
"PurchaseOptionSkin",26,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rank_midseason_reward_item",,,"TID_REWARD_DESC_PURCHASE_OPTION_SKIN","brawler",,,,,
"Item",5,"TRUE","FALSE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_5",,,,,,,,"sc/shop.sc#offer_item_star_power_big","sc/shop.sc#offer_item_star_power_big","sc/shop.sc#offer_item_star_power_small","sc/shop.sc#offer_item_star_power_big",,,,,"sc/shop.sc#hero_item_star_power",,,,,,,,,,,,,,,,,,,,"offer_item_star_power_small","offer_item_star_power_small","offer_item_star_power_small",,"resource",,"sc/shop.sc#offer_item_star_power_small",,"grid_item_starr_power",
"ClubFeature",29,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_13",,,"reward_profilebutton_13",,,,,,,"reward_popupitem_large_13","sc/trophy_world_common.sc#reward_item_club",,,,,,,,,,,,"reward_profilebutton_13",,,,
"GuaranteedHeroWithLevel",30,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_3",,,,,,,,"sc/shop.sc#offer_item_brawler_big","sc/shop.sc#offer_item_brawler_small","sc/shop.sc#offer_item_skin_small","sc/shop.sc#offer_item_brawler_small",,,,,"sc/shop.sc#hero_item_coins",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler","sc/shop.sc#offer_item_skin_small",,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3",,,,"offer_item_portrait_small","offer_item_portrait_big","offer_item_portrait_big",,"offer_item_skin_small","offer_item_skin_small","offer_item_skin_small",,"brawler","reward_profilebutton_3","sc/shop.sc#offer_item_skin_small",,"grid_item_power_level",
"GuaranteedBoxWithLevel",31,"FALSE","FALSE",,"FALSE",,,,"sc/shop.sc#shop_item_brawler",,"sc/shop.sc#shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","sc/shop.sc#offer_item_guarantee_brawler_big","sc/shop.sc#offer_item_guarantee_brawler_big","sc/shop.sc#offer_item_guarantee_brawler_small","sc/shop.sc#offer_item_guarantee_brawler_big",,,,,"sc/shop.sc#hero_item_coins",,,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,,"sc/shop.sc#offer_item_guarantee_brawler_small",,,
"GearToken",32,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GearScrap",33,"FALSE","FALSE",,"FALSE",,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,,,,,,,,,,,
,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,,,,
,,,,,,,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,200,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1,,,,,,,,,,,,,,
"Spray",35,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_26",,,,,,,,"sc/shop.sc#offer_item_spray_big","sc/shop.sc#offer_item_spray_big","sc/shop.sc#offer_item_spray_small","sc/shop.sc#offer_item_spray_big",,,,,"sc/shop.sc#hero_item_spray",,"sc/brawl_pass.sc#brawlpass_reward_premium_spray","sc/brawl_pass.sc#brawlpass_reward_free_spray",,,,,,,,,,,,,,,,,"offer_item_spray_small","offer_item_spray_small","offer_item_spray_small","TID_SHOP_OFFER_TITLE_35","spray",,"sc/shop.sc#offer_item_spray_small",,"grid_item_spray",
"SprayBundle",36,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,"sc/shop.sc#hero_item_graffiti_box",,"reward_popupitem_large_36","reward_popupitem_small_36",,"reward_profilebutton_36",,,,"reward_popupitem_collected_36","reward_popupitem_small_36",,"reward_popupitem_large_36","sc/trophy_world_common.sc#reward_item_sprays",,,,,,,,,,,,,,,"grid_item_spray",
"SpraySlot",37,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_37","reward_popupitem_small_37",,"reward_profilebutton_37",,,,"reward_popupitem_collected_37","reward_popupitem_small_37",,"reward_popupitem_large_37","sc/trophy_world_common.sc#reward_item_sprays",,,,,,,,,,,,,,,"grid_item_spray",
"QuestsFeature",18,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_18","reward_popupitem_small_18",,,"sc/trophy_world_common.sc#reward_item_season_quests",,,,,,,,,,,,,,,,
"RecruitToken",38,"TRUE","TRUE","TRUE","TRUE",,0,50,"sc/shop.sc#shop_item_resourses_recruit_tokens",,"sc/shop.sc#shop_popupitem_38",,"sc/shop.sc#shop_item_daily_freebie_recruit_tokens",,,,"shop_item_resourses_recruit_tokens","shop_item_resourses_recruit_tokens","sc/shop.sc#offer_item_recruit_tokens_big","sc/shop.sc#offer_item_recruit_tokens_big","sc/shop.sc#offer_item_recruit_tokens_small","sc/shop.sc#offer_item_recruit_tokens_big",,,,,"sc/shop.sc#hero_item_recruit_token","offer_recruit_tokens","sc/brawl_pass.sc#brawlpass_reward_premium_recruit_tokens","sc/brawl_pass.sc#brawlpass_reward_free_recruit_tokens",,"reward_profilebutton_38","TRUE",100,900,"reward_popupitem_collected_38","reward_popupitem_small_38","reward_popupitem_small_38","reward_popupitem_large_38","sc/trophy_world_common.sc#reward_item_credit",0,50,,,,,"offer_item_recruit_tokens_small","offer_item_recruit_tokens_small","offer_item_recruit_tokens_small","TID_SHOP_OFFER_TITLE_38","resource","icon_resource_recruit_token","sc/shop.sc#offer_item_recruit_tokens_small",,"grid_item_recruit_token","true"
,,,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2000,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,
"ChromaticToken",39,"TRUE","TRUE",,"TRUE",,0,50,"sc/shop.sc#shop_item_resourses_chromatic_coins",,"sc/shop.sc#shop_popupitem_39",,"sc/shop.sc#shop_item_daily_freebie_chromatic_coins",,,,"shop_item_resourses_chromatic_coins","shop_item_resourses_chromatic_coins","sc/shop.sc#offer_item_chromatic_coins_big","sc/shop.sc#offer_item_chromatic_coins_big","sc/shop.sc#offer_item_chromatic_coins_small","sc/shop.sc#offer_item_chromatic_coins_big",,,,,,"offer_chromatic_coins","sc/brawl_pass.sc#brawlpass_reward_premium_chromatic_coins","sc/brawl_pass.sc#brawlpass_reward_free_chromatic_coins",,"reward_profilebutton_39","TRUE",100,900,"reward_popupitem_collected_39","reward_popupitem_small_39","reward_popupitem_small_39","reward_popupitem_large_39",,0,50,,,,,"offer_item_chromatic_coins_small","offer_item_chromatic_coins_small","offer_item_chromatic_coins_small","TID_SHOP_OFFER_TITLE_39","resource","icon_resource_chromatic_coin","sc/shop.sc#offer_item_chromatic_coins_small",,,"true"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,
"PowerPoints",41,"TRUE","TRUE","TRUE","TRUE",,0,200,"sc/shop.sc#shop_item_resourses_generic_power_points",,"sc/shop.sc#shop_popupitem_12",,"sc/shop.sc#shop_item_daily_freebie_powerpoints",,,,"shop_item_resourses_generic_power_points","shop_item_resourses_power_points","sc/shop.sc#offer_item_generic_power_points_big","sc/shop.sc#offer_item_generic_power_points_big","sc/shop.sc#offer_item_generic_power_points_small","sc/shop.sc#offer_item_generic_power_points_big",,,,,"sc/shop.sc#hero_item_power_points","offer_chromatic_coins","sc/brawl_pass.sc#brawlpass_reward_premium_power_points","sc/brawl_pass.sc#brawlpass_reward_free_power_points",,"reward_profilebutton_12","TRUE",75,900,"reward_popupitem_collected_12","reward_popupitem_small_12","reward_popupitem_small_12","reward_popupitem_large_12","sc/trophy_world_common.sc#reward_item_powerpoint",0,200,,,,,"offer_item_generic_power_points_small","offer_item_generic_power_points_small","offer_item_generic_power_points_small","TID_SHOP_OFFER_TITLE_41","resource","icon_resource_powerpoints","sc/shop.sc#offer_item_generic_power_points_small",,"grid_item_power_point","true"
