"Name","Loop","AngleToSpawnOffset","FollowParent","FollowParentAngle","FollowBone","IgnoreInitialAngle","OwnScreenShake","OthersScreenShake","OwnHapticLevel","OthersHapticLevel","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","FakeObject3D","GroundBasis","Scale","SWFScaleX","SWFScaleY","EnemyVersion","ChinaReplacement","TargetedAnimation","EffectZ","EffectSpace","TargetOffsetZ","UseForcedZ","ForcedZ"
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"airhockey_crate_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_crate_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"airhockey_fence_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_fence_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"airhockey_fragile_explo",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_grass_explo",,,,,,,,,,,,,"ParticleEmitter",,,"grass_hit_big_airhockey",,"Above",,,100,,,,,,250,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
"airhockey_grass_explo_yellow",,,,,,,,,,,,,"ParticleEmitter",,,"grass_hit_big_airhockey",,"Above",,,100,,,,,,250,,,,
"airhockey_grass_hit",,,,,,,,,,,,,"ParticleEmitter",,,"grass_hit_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_grass","Sound",,,,,,,,,,,,,,,,,,
"airhockey_grass_hit_yellow",,,,,,,,,,,,,"ParticleEmitter",,,"grass_hit_airhockey",,"Above",,,100,,,,,,,,,,
"airhockey_rope_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"rope_explo_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_themed_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_themed_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"airhockey_trail",,,"true","true",,,,,,,,,"ParticleEmitter",,,"airhockey_glow",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler2.sc","airhockey_trail",,,"GroundTop",,"true",,100,100,,,,,,,,
"airhockey_ulti_trail",,,"true","true",,,,,,,,,"ParticleEmitter",,,"airhockey_glow",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"airhockey_ulti_stars",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler2.sc","airhockey_ulti_trail",,,"GroundTop",,"true",,160,160,,,,,,,,
"airhockey_wall1_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_wall1_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"airhockey_wall2_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_wall2_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hit_debris_airhockey",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_rock","Sound",,,,,,,,,,,,,,,,,,
"album_001",,,,,,,,,,,,,"ParticleEmitter",,,"album_001_above",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_001_behind",,"GroundLow",,,100,,,,,,,,,,
"album_002",,,,,,,,,,,,,"ParticleEmitter",,,"album_002_full",,"Above",,,100,,,,,,,,,,
"album_003",,,,,,,,,,,,,"ParticleEmitter",,,"album_003_moe_look",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_moe_cloud",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_gray_display",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_gray_lighting",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_gray_touch",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg1_cloud",,"GroundLow",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg1_cloud_02",,"GroundLow",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg2_handpunch",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg2_cloud",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg1_handpunch",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_003_meg1_handpunch_02",,"Above",,,100,,,,,,,,,,
"album_004",,,,,,,,,,,,,"ParticleEmitter",,,"album_004_rosa_screen",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_01_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_01_02",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_byron_screen",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_01_03",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_rosa_expression",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_expression",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_02_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_02_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_02_02",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_004_sprout_swing_02_03",,"Above",,,100,,,,,,,,,,
"album_005",,,,,,,,,,,,,"ParticleEmitter",,,"album_005_impact",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_kenji_slash_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_foot_impact_l",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_foot_impact_r",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_kenji_slash_02",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_kenji_impact",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_howling",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_slash_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_jump",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_kenji_foot_impact_l",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_kenji_foot_impact_r",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_slash_02",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_landing_l",,"GroundLow",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_landing_r",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_tears",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"album_005_nori_light_start",,"GroundLow",,,100,,,,,,,,,,
"alli_002_atk1",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_002_atk",,"Above",,,100,,,"alli_002_atk1_red",,,,,,,
,,,,,,,,,,,,"Alli_Atk_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk_trail_petal",,"Above",,,100,,,,,,,,,,
"alli_002_atk1_hit",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk_hit",,"Above",,,100,,,"alli_002_atk1_hit_red",,,,,,,
"alli_002_atk1_hit_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk_hit_red",,"Above",,,100,,,,,,,,,,
"alli_002_atk1_red",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_002_atk_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Alli_Atk_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk_trail_petal_red",,"Above",,,100,,,,,,,,,,
"alli_002_atk2_area",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond",,"GroundHigh",,"true",100,,,"alli_002_atk2_area_red",,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_sub",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_particle",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_petal",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_splash_heart",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_dust",,"Above",,,100,,,,,,,,,,
"alli_002_atk2_area_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_sub_red",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_particle_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_petal_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_splash_heart_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_dust_red",,"Above",,,100,,,,,,,,,,
"alli_002_atk2_jump",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_jump_petal",,"Object",,,100,,,"alli_002_atk2_jump_red",,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_jump_ripple",,"GroundTop",,"true",100,,,,,,,,,,
,,,,,,,,,,,,"Willow_Atk","Sound",,,,,,,,,,,,,,,,,,
"alli_002_atk2_jump_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_jump_petal_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_jump_ripple_red",,"GroundTop",,"true",100,,,,,,,,,,
,,,,,,,,,,,,"Willow_Atk","Sound",,,,,,,,,,,,,,,,,,
"alli_002_lobby",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_lobby_impact",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_lobby_leaf",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_lobby_smoke",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_lobby_sweat",,"Above",,,100,,,,,,,,,,
"alli_002_ulti_hp_boost",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost",,"GroundTop",,"true",100,,,"alli_002_ulti_hp_boost_red",,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_particle",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_petal",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_dust",,"Object",,,100,,,,,,,,,,
"alli_002_ulti_hp_boost_red",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_red",,"GroundTop",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_particle_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_petal_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_boost_dust_red",,"Object",,,100,,,,,,,,,,
"alli_002_ulti_invisible",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond",,"GroundHigh",,"true",100,,,"alli_002_ulti_invisible_red",,,,,,,
,,,,,,,,,,,,"Alli_Ulti_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_sub",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_ripple",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_particle",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_petal",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_splash",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_splash_heart",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_dust",,"Above",,,100,,,,,,,,,,
"alli_002_ulti_invisible_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,"Alli_Ulti_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_pond_sub_red",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_ripple_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_particle_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_petal_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_splash_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_atk2_ground_splash_heart_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_002_ulti_ground_dust_red",,"Above",,,100,,,,,,,,,,
"alli_def_atk1",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_def_atk",,"Above",,,100,,,"alli_def_atk1_red",,,,,,,
,,,,,,,,,,,,"Alli_Atk_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_trail_leaf",,"Above",,,100,,,,,,,,,,
"alli_def_atk1_hit",,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_hit",,"Above",,,100,,,"alli_def_atk1_hit_red",,,,,,,
"alli_def_atk1_hit_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_hit_red",,"Above",,,100,,,,,,,,,,
"alli_def_atk1_red",,,"true",,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Alli_Atk_Sfx","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_trail_leaf_red",,"Above",,,100,,,,,,,,,,
"alli_def_atk2_area",,,,,,,,,,,,,"SWF","sc/effects_brawler_alli.sc","alli_def_atk2_pond",,,"GroundHigh",,"true",,100,100,"alli_def_atk2_area_red",,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_ripple2",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler_alli.sc","alli_def_atk2_pond_sub",,,"GroundHigh",,,,100,100,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_ripple",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_splash",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_ulti_ground_dust",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_bite",,"Above",,,100,,,,,,,,,,
"alli_def_atk2_area_red",,,,,,,,,,,,,"SWF","sc/effects_brawler_alli.sc","alli_def_atk2_pond_red",,,"GroundHigh",,"true",,100,100,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_ripple2_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler_alli.sc","alli_def_atk2_pond_sub_red",,,"GroundHigh",,,,100,100,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_ripple_red",,"GroundHigh",,"true",100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk_ground_splash_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_ulti_ground_dust_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_bite_red",,"Above",,,100,,,,,,,,,,
"alli_def_atk2_jump",,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_jump_leaf",,"Object",,,100,,,"alli_def_atk2_jump_red",,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_jump_ripple",,"GroundTop",,"true",100,,,,,,,,,,
,,,,,,,,,,,,"Willow_Atk","Sound",,,,,,,,,,,,,,,,,,
"alli_def_atk2_jump_red",,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_jump_leaf_red",,"Object",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_atk2_jump_ripple_red",,"GroundTop",,"true",100,,,,,,,,,,
,,,,,,,,,,,,"Willow_Atk","Sound",,,,,,,,,,,,,,,,,,
"alli_def_footprint",,,"true","true",,,,,,,,,"ParticleEmitter",,,"alli_def_footprint",,"GroundTop",,"true",100,,,,,,,,,,
"alli_def_lobby",,,"true","true",,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_ground",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_splash_small_back_01",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_splash_small_back_02",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_splash_small_front_02",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_splash_small_front_01",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_splash",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_leaf_front",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_leaf_back",,"GroundTop",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_tremble_water",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_tremble_leaf_front",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"alli_def_lobby_tremble_leaf_back",,"GroundTop",,,100,,,,,,,,,,
