"Name","WinTrackType","Level","State","ShownLevelInCounter","HideLevelCounterText"
"PiggyLevel_2_3",2,3,3,3,
"PiggyLevel_2_4",2,4,4,4,
"PiggyLevel_2_5",2,5,5,5,
"PiggyLevel_2_6",2,6,6,6,
"PiggyLevel_2_7",2,7,7,7,
"PiggyLevel_2_8",2,8,8,8,
"PiggyLevel_2_9",2,9,9,9,
"PiggyLevel_2_10",2,10,10,10,
"PiggyLevel_2_11",2,11,11,11,
"PiggyLevel_2_12",2,12,12,12,
"PiggyLevel_2_13",2,13,13,13,
"PiggyLevel_2_14",2,14,14,14,
"PiggyLevel_2_15",2,15,15,15,
"PiggyLevel_2_16",2,16,16,16,
"PiggyLevel_2_17",2,17,17,17,
"PiggyLevel_2_18",2,18,18,18,
"PiggyLevel_2_19",2,19,19,19,
"PiggyLevel_2_20",2,20,20,20,
"PiggyLevel_2_21",2,21,21,21,
"PiggyLevel_2_22",2,22,22,22,
"PiggyLevel_2_23",2,23,23,23,
"PiggyLevel_2_24",2,24,24,24,
"PiggyLevel_2_25",2,25,25,25,
"PiggyLevel_2_26",2,26,26,26,
"PiggyLevel_2_27",2,27,27,27,
"PiggyLevel_2_28",2,28,28,28,
"PiggyLevel_2_29",2,29,29,29,
"PiggyLevel_2_30",2,30,30,30,
"PiggyLevel_2_31",2,31,31,31,
"PiggyLevel_2_32",2,32,32,32,
"PiggyLevel_3_0",3,0,0,0,
"PiggyLevel_3_1",3,1,1,1,
"PiggyLevel_3_2",3,2,2,2,
"PiggyLevel_3_3",3,3,3,3,
"PiggyLevel_3_4",3,4,4,4,
"PiggyLevel_3_5",3,5,5,5,
"PiggyLevel_3_6",3,6,6,6,
"PiggyLevel_3_7",3,7,7,7,
"PiggyLevel_3_8",3,8,8,8,
"PiggyLevel_3_9",3,9,9,9,
"PiggyLevel_3_10",3,10,10,10,
"PiggyLevel_3_11",3,11,11,11,
"PiggyLevel_3_12",3,12,12,12,
"PiggyLevel_3_13",3,13,13,13,
"PiggyLevel_3_14",3,14,14,14,
"PiggyLevel_3_15",3,15,15,15,
"PiggyLevel_3_16",3,16,16,16,
"PiggyLevel_3_17",3,17,17,17,
"PiggyLevel_3_18",3,18,18,18,
"PiggyLevel_3_19",3,19,19,19,
"PiggyLevel_3_20",3,20,20,20,
"PiggyLevel_3_21",3,21,21,21,
"PiggyLevel_3_22",3,22,22,22,
"PiggyLevel_3_23",3,23,23,23,
"PiggyLevel_3_24",3,24,24,24,
"PiggyLevel_3_25",3,25,25,25,
"PiggyLevel_3_26",3,26,26,26,
"PiggyLevel_3_27",3,27,27,27,
"PiggyLevel_3_28",3,28,28,28,
"PiggyLevel_3_29",3,29,29,29,
"PiggyLevel_3_30",3,30,30,30,
"PiggyLevel_3_31",3,31,31,31,
"PiggyLevel_3_32",3,32,32,32,
"PiggyLevel_4_0",4,0,0,1,
"PiggyLevel_4_1",4,1,1,1,
"PiggyLevel_4_2",4,2,2,2,
"PiggyLevel_4_3",4,3,3,3,
"PiggyLevel_4_4",4,4,4,4,
"PiggyLevel_4_5",4,5,5,5,
"PiggyLevel_4_6",4,6,6,5,
