"Name","TID","BubbleOverrideTID","Disabled","MessageType","FileName","DefaultExportName","PopoverExportNameOverride","QuickEmojiType","SortPriority","AgeGated","AvailableInClub"
"msg24","TID_QUICK_MESSAGE_ASK_BRAWLER","TID_QUICK_MESSAGE_ASK_BRAWLER_SPLIT",,5,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,6,,
"msg25","TID_QUICK_MESSAGE_ASK_MODE","TID_QUICK_MESSAGE_ASK_MODE_SPLIT",,6,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,15,,
"msg26",,,,3,"sc/emoji.sc","emoji_thumbsup",,1,30,,"TRUE"
"msg27",,,,3,"sc/emoji.sc","emoji_thumbsdown",,2,30,,"TRUE"
"msg28",,,,3,"sc/emoji.sc","emoji_smile",,3,0,,"TRUE"
"msg29",,,,3,"sc/emoji.sc","emoji_sad",,4,11,,"TRUE"
"msg30",,,,3,"sc/emoji.sc","emoji_laugh",,,0,,"TRUE"
"msg31",,,,3,"sc/emoji.sc","emoji_angry",,5,22,,"TRUE"
"msg32",,,,3,"sc/emoji.sc","emoji_annoyed",,,21,,"TRUE"
"msg33",,,,3,"sc/emoji.sc","emoji_blank",,,10,,"TRUE"
"msg34",,,,3,"sc/emoji.sc","emoji_grin",,,1,,"TRUE"
"msg35",,,,3,"sc/emoji.sc","emoji_rage",,,22,,"TRUE"
"msg36",,,,3,"sc/emoji.sc","emoji_shocked",,,12,,"TRUE"
"msg37","TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION",,,4,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg38",,,,3,"sc/emoji.sc","emoji_happy",,,0,,"TRUE"
"msg39",,,,3,"sc/emoji.sc","emoji_stunned",,,11,,"TRUE"
"msg40",,,,3,"sc/emoji.sc","emoji_bothered",,,20,,"TRUE"
"msg41",,,,3,"sc/emoji.sc","emoji_ecstatic",,,1,,"TRUE"
"msg42",,,,3,"sc/emoji.sc","emoji_speechless",,,10,,"TRUE"
"msg43",,,,3,"sc/emoji.sc","emoji_frenzied",,,22,,"TRUE"
"msg44","TID_QUICK_MESSAGE_ONE_MOMENT",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,7,,
"msg45","TID_QUICK_MESSAGE_ASK_STAR_TOKEN_HELP",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg55","TID_QUICK_MESSAGE_LETS_CHAT",,,7,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,"TRUE",
"msg56",,,,8,"sc/emoji.sc","emoji_happy",,,0,,"TRUE"
"msg57","TID_QUICK_MESSAGE_YO",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,8,,
"msg58","TID_QUICK_MESSAGE_LAG",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,11,,
"msg59","TID_QUICK_MESSAGE_GG",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,4,,
"msg60","TID_QUICK_MESSAGE_LOL",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,9,,
"msg61","TID_QUICK_MESSAGE_BRB",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,14,,
"msg62","TID_QUICK_MESSAGE_QUESTS",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,17,,
"msg63","TID_QUICK_MESSAGE_TROPHIES",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,16,,
