"Name","Index","TrophyCount","RewardType","RewardCount","RewardExtraData","RewardData","FallbackRewardType","FallbackRewardCount","FallbackRewardExtraData","FallbackRewardData"
"TM_41",41,320,"Credits",100,,,,,,
"TM_42",42,325,"ClubFeature",,,,,,,
"TM_43",43,335,"Coins",200,,,,,,
"TM_44",44,340,"PowerPoints",100,,,,,,
"TM_45",45,350,"Credits",100,,,,,,
"TM_46",46,360,"PowerPoints",100,,,,,,
"TM_47",47,370,"Coins",100,,,,,,
"TM_48",48,385,"PowerPoints",50,,,,,,
"TM_49",49,400,"PowerPoints",200,,,,,,
"TM_50",50,405,"Hero",,,"Gunslinger","Credits",160,,
"TM_51",51,410,"PowerPoints",100,,,,,,
"TM_52",52,420,"Credits",100,,,,,,
"TM_53",53,430,"PowerPoints",100,,,,,,
"TM_54",54,440,"Coins",100,,,,,,
"TM_55",55,450,"SpraySlot",5,,,,,,
"TM_56",56,460,"PowerPoints",100,,,,,,
"TM_57",57,470,"Coins",200,,,,,,
"TM_58",58,480,"PowerPoints",50,,,,,,
"TM_59",59,490,"Coins",100,,,,,,
"TM_60",60,500,"ChooseSuperRare",,,,"Credits",430,,
"TM_61",61,515,"Credits",100,,,,,,
"TM_62",62,530,"Coins",200,,,,,,
"TM_63",63,545,"PowerPoints",200,,,,,,
"TM_64",64,560,"Coins",200,,,,,,
"TM_65",65,575,"PowerPoints",50,,,,,,
"TM_66",66,590,"Coins",1000,,,,,,
"TM_67",67,605,"PowerPoints",100,,,,,,
"TM_68",68,620,"Credits",100,,,,,,
"TM_69",69,635,"PowerPoints",100,,,,,,
"TM_70",70,650,"Hero",,,"Barkeep","Credits",160,,
"TM_71",71,665,"Coins",200,,,,,,
"TM_72",72,680,"PowerPoints",100,,,,,,
"TM_73",73,695,"Coins",1000,,,,,,
"TM_74",74,710,"RandomStarrDrop",1,,,,,,
"TM_75",75,725,"Credits",100,,,,,,
"TM_76",76,740,"Coins",100,,,,,,
"TM_77",77,755,"PowerPoints",100,,,,,,
"TM_78",78,770,"Coins",200,,,,,,
"TM_79",79,785,"PowerPoints",200,,,,,,
"TM_80",80,800,"ChooseSuperRare",,,,"Credits",430,,
"TM_81",81,815,"Credits",100,,,,,,
"TM_82",82,830,"PowerPoints",100,,,,,,
"TM_83",83,845,"Coins",100,,,,,,
"TM_84",84,860,"PowerPoints",50,,,,,,
"TM_85",85,875,"Coins",1000,,,,,,
"TM_86",86,890,"PowerPoints",200,,,,,,
"TM_87",87,905,"Coins",200,,,,,,
"TM_88",88,920,"Credits",100,,,,,,
"TM_89",89,950,"Coins",1000,,,,,,
"TM_90",90,960,"Hero",,,"DeadMariachi","Credits",160,,
"TM_91",91,970,"Coins",200,,,,,,
"TM_92",92,980,"PowerPoints",50,,,,,,
"TM_93",93,1000,"EventSlot",,14,,,,,
"TM_94",94,1010,"Coins",100,,,,,,
"TM_95",95,1025,"PowerPoints",100,,,,,,
"TM_96",96,1040,"Coins",200,,,,,,
"TM_97",97,1055,"PowerPoints",50,,,,,,
"TM_98",98,1070,"Coins",100,,,,,,
"TM_99",99,1085,"PowerPoints",200,,,,,,
"TM_100",100,1100,"ChooseSuperRare",,,,"Credits",430,,
"TM_101",101,1120,"Coins",200,,,,,,
"TM_102",102,1140,"PowerPoints",100,,,,,,
"TM_103",103,1160,"Coins",100,,,,,,
"TM_104",104,1180,"Credits",100,,,,,,
"TM_105",105,1200,"Coins",1000,,,,,,
"TM_106",106,1220,"PowerPoints",100,,,,,,
"TM_107",107,1240,"Coins",100,,,,,,
"TM_108",108,1260,"PowerPoints",50,,,,,,
"TM_109",109,1280,"Coins",200,,,,,,
"TM_110",110,1300,"Hero",,,"Rosa","Credits",160,,
"TM_111",111,1320,"PowerPoints",50,,,,,,
"TM_112",112,1340,"Coins",1000,,,,,,
"TM_113",113,1360,"RandomStarrDrop",1,,,,,,
"TM_114",114,1380,"PowerPoints",100,,,,,,
"TM_115",115,1400,"Credits",100,,,,,,
"TM_116",116,1420,"PowerPoints",100,,,,,,
"TM_117",117,1440,"Coins",100,,,,,,
"TM_118",118,1460,"PowerPoints",50,,,,,,
"TM_119",119,1480,"Coins",200,,,,,,
"TM_120",120,1500,"ChooseSuperRare",,,,"Credits",430,,
"TM_121",121,1550,"Coins",100,,,,,,
"TM_122",122,1600,"Credits",100,,,,,,
"TM_123",123,1650,"PowerPoints",100,,,,,,
"TM_124",124,1700,"Coins",1000,,,,,,
"TM_125",125,1750,"PowerPoints",100,,,,,,
"TM_126",126,1800,"Coins",200,,,,,,
"TM_127",127,1850,"Hero",,,"RocketGirl","Credits",160,,
"TM_128",128,1900,"Coins",1000,,,,,,
"TM_129",129,1950,"Credits",100,,,,,,
"TM_130",130,2000,"Coins",1000,,,,,,
"TM_131",131,2050,"PowerPoints",200,,,,,,
"TM_132",132,2100,"Coins",200,,,,,,
"TM_133",133,2150,"PowerPoints",50,,,,,,
"TM_134",134,2200,"Coins",100,,,,,,
"TM_135",135,2250,"ChooseSuperRare",,,,"Credits",430,,
"TM_136",136,2300,"PowerPoints",100,,,,,,
"TM_137",137,2350,"Coins",200,,,,,,
"TM_138",138,2400,"PowerPoints",100,,,,,,
"TM_139",139,2450,"RandomStarrDrop",1,,,,,,
"TM_140",140,2500,"Credits",100,,,,,,
"TM_141",141,2550,"PowerPoints",50,,,,,,
"TM_142",142,2600,"Hero",,,"BullDude","Credits",160,,
"TM_143",143,2650,"Coins",1000,,,,,,
"TM_144",144,2700,"PowerPoints",50,,,,,,
"TM_145",145,2750,"Coins",200,,,,,,
"TM_146",146,2800,"PowerPoints",100,,,,,,
"TM_147",147,2850,"Coins",100,,,,,,
"TM_148",148,2900,"PowerPoints",200,,,,,,
"TM_149",149,2950,"Credits",100,,,,,,
"TM_150",150,3000,"ChooseSuperRare",,,,"Credits",430,,
"TM_151",151,3100,"PowerPoints",50,,,,,,
"TM_152",152,3200,"Coins",100,,,,,,
"TM_153",153,3300,"PowerPoints",100,,,,,,
"TM_154",154,3400,"Coins",1000,,,,,,
"TM_155",155,3500,"Credits",100,,,,,,
"TM_156",156,3600,"Coins",1000,,,,,,
"TM_157",157,3700,"PowerPoints",100,,,,,,
"TM_158",158,3800,"Coins",1000,,,,,,
"TM_159",159,3900,"PowerPoints",100,,,,,,
"TM_160",160,4000,"ChooseSuperRare",,,,"Credits",430,,
"TM_161",161,4100,"Credits",100,,,,,,
"TM_162",162,4200,"Coins",200,,,,,,
"TM_163",163,4300,"PowerPoints",100,,,,,,
"TM_164",164,4400,"RandomStarrDrop",1,,,,,,
"TM_165",165,4500,"Coins",100,,,,,,
"TM_166",166,4600,"PowerPoints",50,,,,,,
"TM_167",167,4700,"Credits",100,,,,,,
"TM_168",168,4800,"PowerPoints",50,,,,,,
"TM_169",169,4900,"Credits",100,,,,,,
"TM_170",170,5000,"ChooseSuperRare",,,,"Credits",430,,
"TM_171",171,5100,"Credits",250,,,,,,
"TM_172",172,5200,"PowerPoints",50,,,,,,
"TM_173",173,5300,"Coins",200,,,,,,
"TM_174",174,5400,"Bling",200,,,,,,
"TM_175",175,5500,"Credits",25,,,,,,
"TM_176",176,5600,"PowerPoints",100,,,,,,
"TM_177",177,5700,"Coins",1000,,,,,,
"TM_178",178,5800,"Credits",50,,,,,,
"TM_179",179,5900,"PowerPoints",200,,,,,,
"TM_180",180,6000,"RandomStarrDrop",1,,,,,,
"TM_181",181,6100,"Coins",100,,,,,,
"TM_182",182,6200,"Credits",25,,,,,,
"TM_183",183,6300,"PowerPoints",50,,,,,,
"TM_184",184,6400,"Coins",1000,,,,,,
"TM_185",185,6500,"StarrDropContainer",1,5,,,,,
"TM_186",186,6600,"Credits",50,,,,,,
"TM_187",187,6700,"PowerPoints",100,,,,,,
"TM_188",188,6800,"Coins",200,,,,,,
"TM_189",189,6900,"Credits",250,,,,,,
"TM_190",190,7000,"Bling",100,,,,,,
"TM_191",191,7100,"PowerPoints",100,,,,,,
"TM_192",192,7200,"Credits",50,,,,,,
"TM_193",193,7300,"PowerPoints",50,,,,,,
"TM_194",194,7400,"RandomStarrDrop",1,,,,,,
"TM_195",195,7500,"Coins",100,,,,,,
"TM_196",196,7600,"Credits",25,,,,,,
"TM_197",197,7700,"PowerPoints",100,,,,,,
"TM_198",198,7800,"Coins",1000,,,,,,
"TM_199",199,7900,"Credits",50,,,,,,
"TM_200",200,8000,"StarrDropContainer",1,5,,,,,
"TM_201",201,8100,"PowerPoints",100,,,,,,
"TM_202",202,8200,"Coins",200,,,,,,
"TM_203",203,8300,"Credits",25,,,,,,
"TM_204",204,8400,"PowerPoints",50,,,,,,
"TM_205",205,8500,"RandomStarrDrop",1,,,,,,
"TM_206",206,8600,"Coins",1000,,,,,,
"TM_207",207,8700,"Credits",50,,,,,,
"TM_208",208,8800,"PowerPoints",100,,,,,,
"TM_209",209,8900,"Coins",1000,,,,,,
"TM_210",210,9000,"Bling",100,,,,,,
"TM_211",211,9100,"PowerPoints",200,,,,,,
"TM_212",212,9200,"Coins",1000,,,,,,
"TM_213",213,9300,"Credits",50,,,,,,
"TM_214",214,9400,"PowerPoints",50,,,,,,
"TM_215",215,9500,"Coins",200,,,,,,
"TM_216",216,9600,"Credits",25,,,,,,
"TM_217",217,9700,"PowerPoints",100,,,,,,
"TM_218",218,9800,"Coins",1000,,,,,,
"TM_219",219,9900,"PowerPoints",50,,,,,,
"TM_220",220,10000,"OverchargeStarrDrop",1,,,,,,
"TM_221",221,10100,"Credits",25,,,,,,
"TM_222",222,10200,"PowerPoints",100,,,,,,
"TM_223",223,10300,"Coins",1000,,,,,,
"TM_224",224,10400,"Bling",100,,,,,,
"TM_225",225,10500,"Credits",50,,,,,,
"TM_226",226,10600,"PowerPoints",100,,,,,,
"TM_227",227,10700,"Coins",200,,,,,,
"TM_228",228,10800,"Credits",50,,,,,,
"TM_229",229,10900,"PowerPoints",100,,,,,,
"TM_230",230,11000,"RandomStarrDrop",1,,,,,,
"TM_231",231,11100,"Coins",200,,,,,,
"TM_232",232,11200,"Credits",25,,,,,,
"TM_233",233,11300,"PowerPoints",100,,,,,,
"TM_234",234,11400,"Coins",1000,,,,,,
"TM_235",235,11500,"StarrDropContainer",1,5,,,,,
"TM_236",236,11600,"Credits",50,,,,,,
"TM_237",237,11700,"PowerPoints",100,,,,,,
"TM_238",238,11800,"Coins",100,,,,,,
"TM_239",239,11900,"Credits",25,,,,,,
"TM_240",240,12000,"Bling",200,,,,,,
"TM_241",241,12100,"PowerPoints",50,,,,,,
"TM_242",242,12200,"Coins",200,,,,,,
"TM_243",243,12300,"PowerPoints",200,,,,,,
"TM_244",244,12400,"RandomStarrDrop",1,,,,,,
"TM_245",245,12500,"Coins",200,,,,,,
"TM_246",246,12600,"Credits",250,,,,,,
"TM_247",247,12700,"PowerPoints",50,,,,,,
"TM_248",248,12800,"Coins",1000,,,,,,
"TM_249",249,12900,"Credits",50,,,,,,
"TM_250",250,13000,"StarrDropContainer",1,5,,,,,
"TM_251",251,13100,"PowerPoints",100,,,,,,
"TM_252",252,13200,"Coins",100,,,,,,
"TM_253",253,13300,"Credits",250,,,,,,
"TM_254",254,13400,"PowerPoints",50,,,,,,
"TM_255",255,13500,"RandomStarrDrop",1,,,,,,
"TM_256",256,13600,"Coins",1000,,,,,,
"TM_257",257,13700,"Credits",25,,,,,,
"TM_258",258,13800,"PowerPoints",50,,,,,,
"TM_259",259,13900,"Coins",1000,,,,,,
"TM_260",260,14000,"Bling",100,,,,,,
"TM_261",261,14100,"PowerPoints",100,,,,,,
"TM_262",262,14200,"Coins",200,,,,,,
"TM_263",263,14300,"Credits",50,,,,,,
"TM_264",264,14400,"PowerPoints",50,,,,,,
"TM_265",265,14500,"Coins",1000,,,,,,
"TM_266",266,14600,"Credits",25,,,,,,
"TM_267",267,14700,"PowerPoints",50,,,,,,
"TM_268",268,14800,"Coins",1000,,,,,,
"TM_269",269,14900,"PowerPoints",200,,,,,,
"TM_270",270,15000,"StarrDropContainer",1,5,,,,,
"TM_271",271,15100,"Credits",25,,,,,,
"TM_272",272,15200,"PowerPoints",100,,,,,,
"TM_273",273,15300,"Coins",1000,,,,,,
"TM_274",274,15400,"Bling",100,,,,,,
"TM_275",275,15500,"Coins",200,,,,,,
"TM_276",276,15600,"PowerPoints",100,,,,,,
"TM_277",277,15700,"Coins",200,,,,,,
"TM_278",278,15800,"Credits",50,,,,,,
"TM_279",279,15900,"PowerPoints",100,,,,,,
"TM_280",280,16000,"RandomStarrDrop",1,,,,,,
"TM_281",281,16100,"Coins",1000,,,,,,
"TM_282",282,16200,"Credits",25,,,,,,
"TM_283",283,16300,"PowerPoints",100,,,,,,
"TM_284",284,16400,"Coins",200,,,,,,
"TM_285",285,16500,"StarrDropContainer",1,5,,,,,
"TM_286",286,16600,"Credits",50,,,,,,
"TM_287",287,16700,"PowerPoints",100,,,,,,
"TM_288",288,16800,"Coins",100,,,,,,
"TM_289",289,16900,"Credits",25,,,,,,
"TM_290",290,17000,"Bling",200,,,,,,
"TM_291",291,17100,"PowerPoints",50,,,,,,
"TM_292",292,17200,"Credits",50,,,,,,
"TM_293",293,17300,"PowerPoints",200,,,,,,
"TM_294",294,17400,"RandomStarrDrop",1,,,,,,
"TM_295",295,17500,"Coins",200,,,,,,
"TM_296",296,17600,"Credits",250,,,,,,
"TM_297",297,17700,"PowerPoints",50,,,,,,
"TM_298",298,17800,"Coins",1000,,,,,,
"TM_299",299,17900,"Credits",50,,,,,,
"TM_300",300,18000,"StarrDropContainer",1,5,,,,,
"TM_301",301,18100,"PowerPoints",100,,,,,,
"TM_302",302,18200,"Coins",100,,,,,,
"TM_303",303,18300,"Credits",250,,,,,,
"TM_304",304,18400,"PowerPoints",50,,,,,,
"TM_305",305,18500,"RandomStarrDrop",1,,,,,,
"TM_306",306,18600,"Coins",1000,,,,,,
"TM_307",307,18700,"Credits",25,,,,,,
"TM_308",308,18800,"PowerPoints",50,,,,,,
"TM_309",309,18900,"Coins",1000,,,,,,
"TM_310",310,19000,"Bling",100,,,,,,
"TM_311",311,19100,"PowerPoints",100,,,,,,
"TM_312",312,19200,"Coins",200,,,,,,
"TM_313",313,19300,"Credits",50,,,,,,
"TM_314",314,19400,"PowerPoints",50,,,,,,
"TM_315",315,19500,"Coins",1000,,,,,,
"TM_316",316,19600,"Credits",25,,,,,,
"TM_317",317,19700,"PowerPoints",50,,,,,,
"TM_318",318,19800,"Coins",1000,,,,,,
"TM_319",319,19900,"PowerPoints",200,,,,,,
"TM_320",320,20000,"StarrDropContainer",1,5,,,,,
"TM_321",321,20100,"Credits",25,,,,,,
"TM_322",322,20200,"PowerPoints",100,,,,,,
"TM_323",323,20300,"Coins",1000,,,,,,
"TM_324",324,20400,"Bling",100,,,,,,
"TM_325",325,20500,"Credits",50,,,,,,
"TM_326",326,20600,"PowerPoints",100,,,,,,
"TM_327",327,20700,"Coins",200,,,,,,
"TM_328",328,20800,"Credits",50,,,,,,
"TM_329",329,20900,"Coins",200,,,,,,
"TM_330",330,21000,"RandomStarrDrop",1,,,,,,
"TM_331",331,21100,"Coins",1000,,,,,,
"TM_332",332,21200,"Credits",25,,,,,,
"TM_333",333,21300,"PowerPoints",100,,,,,,
"TM_334",334,21400,"Coins",1000,,,,,,
"TM_335",335,21500,"StarrDropContainer",1,5,,,,,
"TM_336",336,21600,"Credits",50,,,,,,
"TM_337",337,21700,"PowerPoints",100,,,,,,
"TM_338",338,21800,"Coins",100,,,,,,
"TM_339",339,21900,"Credits",25,,,,,,
"TM_340",340,22000,"Bling",100,,,,,,
"TM_341",341,22100,"PowerPoints",50,,,,,,
"TM_342",342,22200,"Credits",25,,,,,,
"TM_343",343,22300,"PowerPoints",200,,,,,,
"TM_344",344,22400,"RandomStarrDrop",1,,,,,,
"TM_345",345,22500,"Coins",200,,,,,,
"TM_346",346,22600,"Credits",250,,,,,,
"TM_347",347,22700,"PowerPoints",50,,,,,,
"TM_348",348,22800,"Coins",1000,,,,,,
"TM_349",349,22900,"Credits",50,,,,,,
"TM_350",350,23000,"StarrDropContainer",1,5,,,,,
"TM_351",351,23100,"PowerPoints",100,,,,,,
"TM_352",352,23200,"Coins",100,,,,,,
"TM_353",353,23300,"Credits",250,,,,,,
"TM_354",354,23400,"PowerPoints",50,,,,,,
"TM_355",355,23500,"RandomStarrDrop",1,,,,,,
"TM_356",356,23600,"Coins",1000,,,,,,
"TM_357",357,23700,"Credits",25,,,,,,
"TM_358",358,23800,"PowerPoints",50,,,,,,
"TM_359",359,23900,"Coins",1000,,,,,,
"TM_360",360,24000,"Bling",200,,,,,,
"TM_361",361,24100,"PowerPoints",100,,,,,,
"TM_362",362,24200,"Coins",200,,,,,,
"TM_363",363,24300,"Credits",50,,,,,,
"TM_364",364,24400,"PowerPoints",50,,,,,,
"TM_365",365,24500,"Coins",1000,,,,,,
"TM_366",366,24600,"Credits",25,,,,,,
"TM_367",367,24700,"PowerPoints",50,,,,,,
"TM_368",368,24800,"Coins",1000,,,,,,
"TM_369",369,24900,"PowerPoints",200,,,,,,
"TM_370",370,25000,"StarrDropContainer",1,5,,,,,
"TM_371",371,25100,"Credits",25,,,,,,
"TM_372",372,25200,"PowerPoints",100,,,,,,
"TM_373",373,25300,"Coins",1000,,,,,,
"TM_374",374,25400,"Bling",100,,,,,,
"TM_375",375,25500,"Credits",50,,,,,,
"TM_376",376,25600,"PowerPoints",100,,,,,,
"TM_377",377,25700,"Coins",200,,,,,,
"TM_378",378,25800,"Credits",50,,,,,,
"TM_379",379,25900,"PowerPoints",100,,,,,,
"TM_380",380,26000,"RandomStarrDrop",1,,,,,,
"TM_381",381,26100,"Coins",1000,,,,,,
"TM_382",382,26200,"Credits",25,,,,,,
"TM_383",383,26300,"PowerPoints",100,,,,,,
"TM_384",384,26400,"Coins",1000,,,,,,
"TM_385",385,26500,"StarrDropContainer",1,5,,,,,
"TM_386",386,26600,"Credits",50,,,,,,
"TM_387",387,26700,"PowerPoints",100,,,,,,
"TM_388",388,26800,"Coins",100,,,,,,
"TM_389",389,26900,"Credits",25,,,,,,
"TM_390",390,27000,"Bling",200,,,,,,
"TM_391",391,27100,"Coins",200,,,,,,
"TM_392",392,27200,"Credits",25,,,,,,
"TM_393",393,27300,"PowerPoints",200,,,,,,
"TM_394",394,27400,"RandomStarrDrop",1,,,,,,
"TM_395",395,27500,"Coins",200,,,,,,
"TM_396",396,27600,"Credits",250,,,,,,
"TM_397",397,27700,"PowerPoints",50,,,,,,
"TM_398",398,27800,"Coins",1000,,,,,,
"TM_399",399,27900,"Credits",50,,,,,,
"TM_400",400,28000,"StarrDropContainer",1,5,,,,,
"TM_401",401,28100,"Coins",200,,,,,,
"TM_402",402,28200,"Credits",250,,,,,,
"TM_403",403,28300,"Coins",100,,,,,,
"TM_404",404,28400,"PowerPoints",50,,,,,,
"TM_405",405,28500,"RandomStarrDrop",1,,,,,,
"TM_406",406,28600,"Coins",1000,,,,,,
"TM_407",407,28700,"Credits",25,,,,,,
"TM_408",408,28800,"PowerPoints",50,,,,,,
"TM_409",409,28900,"Coins",1000,,,,,,
"TM_410",410,29000,"Bling",100,,,,,,
"TM_411",411,29100,"PowerPoints",100,,,,,,
"TM_412",412,29200,"Coins",200,,,,,,
"TM_413",413,29300,"Credits",50,,,,,,
"TM_414",414,29400,"PowerPoints",50,,,,,,
"TM_415",415,29500,"Coins",1000,,,,,,
"TM_416",416,29600,"Credits",25,,,,,,
"TM_417",417,29700,"PowerPoints",50,,,,,,
"TM_418",418,29800,"Coins",1000,,,,,,
"TM_419",419,29900,"PowerPoints",200,,,,,,
"TM_420",420,30000,"StarrDropContainer",1,5,,,,,
"TM_421",421,30200,"Credits",25,,,,,,
"TM_422",422,30400,"PowerPoints",100,,,,,,
"TM_423",423,30600,"Coins",1000,,,,,,
"TM_424",424,30800,"Bling",100,,,,,,
"TM_425",425,31000,"Credits",50,,,,,,
"TM_426",426,31200,"PowerPoints",100,,,,,,
"TM_427",427,31400,"Coins",200,,,,,,
"TM_428",428,31600,"Credits",50,,,,,,
"TM_429",429,31800,"PowerPoints",100,,,,,,
"TM_430",430,32000,"RandomStarrDrop",1,,,,,,
"TM_431",431,32200,"Coins",1000,,,,,,
"TM_432",432,32400,"Credits",25,,,,,,
"TM_433",433,32600,"PowerPoints",100,,,,,,
"TM_434",434,32800,"Coins",1000,,,,,,
"TM_435",435,33000,"StarrDropContainer",1,5,,,,,
"TM_436",436,33200,"Credits",50,,,,,,
"TM_437",437,33400,"PowerPoints",100,,,,,,
"TM_438",438,33600,"Coins",100,,,,,,
"TM_439",439,33800,"Credits",25,,,,,,
"TM_440",440,34000,"Bling",100,,,,,,
"TM_441",441,34200,"Coins",1000,,,,,,
"TM_442",442,34400,"Credits",50,,,,,,
"TM_443",443,34600,"PowerPoints",200,,,,,,
"TM_444",444,34800,"RandomStarrDrop",1,,,,,,
"TM_445",445,35000,"Coins",200,,,,,,
"TM_446",446,35200,"Credits",250,,,,,,
"TM_447",447,35400,"PowerPoints",50,,,,,,
"TM_448",448,35600,"Coins",1000,,,,,,
"TM_449",449,35800,"Credits",50,,,,,,
"TM_450",450,36000,"StarrDropContainer",1,5,,,,,
"TM_451",451,36200,"Coins",1000,,,,,,
"TM_452",452,36400,"Credits",250,,,,,,
"TM_453",453,36600,"Coins",100,,,,,,
"TM_454",454,36800,"PowerPoints",50,,,,,,
"TM_455",455,37000,"RandomStarrDrop",1,,,,,,
"TM_456",456,37200,"Coins",1000,,,,,,
"TM_457",457,37400,"Credits",25,,,,,,
"TM_458",458,37600,"PowerPoints",50,,,,,,
"TM_459",459,37800,"Coins",1000,,,,,,
"TM_460",460,38000,"Bling",200,,,,,,
"TM_461",461,38200,"PowerPoints",100,,,,,,
"TM_462",462,38400,"Coins",200,,,,,,
"TM_463",463,38600,"Credits",50,,,,,,
"TM_464",464,38800,"PowerPoints",50,,,,,,
"TM_465",465,39000,"Coins",1000,,,,,,
"TM_466",466,39200,"Credits",25,,,,,,
"TM_467",467,39400,"PowerPoints",50,,,,,,
"TM_468",468,39600,"Coins",1000,,,,,,
"TM_469",469,39800,"PowerPoints",200,,,,,,
"TM_470",470,40000,"OverchargeStarrDrop",1,,,,,,
"TM_471",471,40200,"Credits",25,,,,,,
"TM_472",472,40400,"PowerPoints",100,,,,,,
"TM_473",473,40600,"Coins",1000,,,,,,
"TM_474",474,40800,"Bling",100,,,,,,
"TM_475",475,41000,"Credits",50,,,,,,
"TM_476",476,41200,"PowerPoints",100,,,,,,
"TM_477",477,41400,"Coins",200,,,,,,
"TM_478",478,41600,"Credits",50,,,,,,
"TM_479",479,41800,"PowerPoints",100,,,,,,
"TM_480",480,42000,"RandomStarrDrop",1,,,,,,
"TM_481",481,42200,"Coins",1000,,,,,,
"TM_482",482,42400,"Credits",25,,,,,,
"TM_483",483,42600,"PowerPoints",100,,,,,,
"TM_484",484,42800,"Coins",1000,,,,,,
"TM_485",485,43000,"StarrDropContainer",1,5,,,,,
"TM_486",486,43200,"Credits",50,,,,,,
"TM_487",487,43400,"PowerPoints",100,,,,,,
"TM_488",488,43600,"Coins",100,,,,,,
"TM_489",489,43800,"Credits",25,,,,,,
"TM_490",490,44000,"Bling",200,,,,,,
"TM_491",491,44200,"Coins",1000,,,,,,
"TM_492",492,44400,"Credits",50,,,,,,
"TM_493",493,44600,"PowerPoints",200,,,,,,
"TM_494",494,44800,"RandomStarrDrop",1,,,,,,
"TM_495",495,45000,"Coins",200,,,,,,
"TM_496",496,45200,"Credits",250,,,,,,
"TM_497",497,45400,"PowerPoints",50,,,,,,
"TM_498",498,45600,"Coins",1000,,,,,,
"TM_499",499,45800,"Credits",50,,,,,,
"TM_500",500,46000,"StarrDropContainer",1,5,,,,,
"TM_501",501,46200,"Coins",1000,,,,,,
"TM_502",502,46400,"Credits",250,,,,,,
"TM_503",503,46600,"Coins",100,,,,,,
"TM_504",504,46800,"PowerPoints",50,,,,,,
"TM_505",505,47000,"RandomStarrDrop",1,,,,,,
"TM_506",506,47200,"Coins",1000,,,,,,
"TM_507",507,47400,"Credits",25,,,,,,
"TM_508",508,47600,"PowerPoints",50,,,,,,
"TM_509",509,47800,"Coins",1000,,,,,,
"TM_510",510,48000,"Bling",100,,,,,,
"TM_511",511,48200,"PowerPoints",100,,,,,,
"TM_512",512,48400,"Coins",200,,,,,,
"TM_513",513,48600,"Credits",50,,,,,,
"TM_514",514,48800,"PowerPoints",50,,,,,,
"TM_515",515,49000,"Coins",1000,,,,,,
"TM_516",516,49200,"Credits",25,,,,,,
"TM_517",517,49400,"PowerPoints",50,,,,,,
"TM_518",518,49600,"Coins",1000,,,,,,
"TM_519",519,49800,"PowerPoints",200,,,,,,
"TM_520",520,50000,"StarrDropContainer",1,5,,,,,
"TM_521",521,50200,"Credits",25,,,,,,
"TM_522",522,50400,"PowerPoints",100,,,,,,
"TM_523",523,50600,"Coins",1000,,,,,,
"TM_524",524,50800,"Bling",100,,,,,,
"TM_525",525,51000,"Credits",50,,,,,,
"TM_526",526,51200,"PowerPoints",100,,,,,,
"TM_527",527,51400,"Coins",200,,,,,,
"TM_528",528,51600,"Credits",50,,,,,,
"TM_529",529,51800,"PowerPoints",100,,,,,,
"TM_530",530,52000,"RandomStarrDrop",1,,,,,,
"TM_531",531,52200,"Coins",1000,,,,,,
"TM_532",532,52400,"Credits",25,,,,,,
"TM_533",533,52600,"PowerPoints",100,,,,,,
"TM_534",534,52800,"Coins",1000,,,,,,
