"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TicketsInDaredevilBrawlerBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_gg",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_phew",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_special",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_clap",1
"Daredevil Brawler",,,3,"SpecificBrawler","Daredevil",,,,,,,"Credits",1000,,,,,,,,,,,
"Daredevil Skin 29",,10,20,"ListedSkin",,,,1,29,,,"Bling",500,,,,"PuppeteerAxl",1,,,,,,
,,,,,,,,,,,,,,,,,"CocoonerRare",1,,,,,,
,,,,,,,,,,,,,,,,,"VoodooRare",1,,,,,,
"Daredevil Skin 79",,20,10,"ListedSkin",,,,30,79,,,"Bling",750,,,,"WeaponThrowerDarkcircus",1,,,,,,
,,,,,,,,,,,,,,,,,"JesterWoodspirit",1,,,,,,
"Daredevil Skin 149",,20,15,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"DuplicatorDarkcircus",1,,,,,,
,,,,,,,,,,,,,,,,,"ArcadeHauntedHouse",1,,,,,,
,,,,,,,,,,,,,,,,,"DuplicatorOutlaw",1,,,,,,
,,,,,,,,,,,,,,,,,"DeadMariachiOutlaw",1,,,,,,
,,,,,,,,,,,,,,,,,"JetpackGirlDarkFairy",1,,,,,,
,,,,,,,,,,,,,,,,,"CrowVulture",1,,,,,,
"Daredevil Skin 199",,12,10,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"Fury199Gem",1,,,,,,
,,,,,,,,,,,,,,,,,"Fury199GemChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,"Fury199GemChroma2",1,,,,,,
,,,,,,,,,,,,,,,,,"SnakeOilDarkcircus",1,,,,,,
"Daredevil Skin 299",,1,2,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"ShamanDarkcircus",1,,,,,,
"Daredevil Spray",,40,80,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_gigi",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_crymask",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_wasteland",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_sad_clown",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_saw_robot_01",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_saw_robot_02",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_saw_robot_03",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_gigi_1",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_gigi_2",1,,,,
,,,,,,,,,,,,,,,,,,,"spray_gigi_3",1,,,,
"Daredevil Icon",,20,20,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_gigi_box",1,,
,,,,,,,,,,,,,,,,,,,,,"player_icon_toys1",1,,
,,,,,,,,,,,,,,,,,,,,,"player_icon_toys2",1,,
"Daredevil Pin",,93,60,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_gigi",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_clown",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_fire",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_football_vuvuzela",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_happy",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_sad",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_angry",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_gg",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_phew",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_special",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_clap",1
,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_facepalm",1
