"Name","WinTrackType","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling","ExtraRewardType","ExtraRewardName"
"Win_0_101",0,101,,3,121,4664,1868,900,,
"Win_0_102",0,102,,3,122,4730,1896,914,,
"Win_0_103",0,103,,3,123,4796,1925,928,,
"Win_0_104",0,104,,3,124,4863,1954,943,,
"Win_0_105",0,105,,3,125,4931,1983,957,,
"Win_0_106",0,106,,3,126,4999,2012,972,,
"Win_0_107",0,107,,3,127,5068,2041,987,,
"Win_0_108",0,108,,3,128,5138,2071,1002,,
"Win_0_109",0,109,,3,129,5208,2101,1018,,
"Win_0_110",0,110,,3,130,5279,2132,1033,,
"Win_0_111",0,111,,3,131,5351,2162,1048,,
"Win_0_112",0,112,,3,132,5423,2193,1064,,
"Win_0_113",0,113,,3,133,5496,2224,1080,,
"Win_0_114",0,114,,3,134,5570,2256,1096,,
"Win_0_115",0,115,,3,135,5644,2287,1112,,
"Win_0_116",0,116,,3,136,5719,2320,1128,,
"Win_0_117",0,117,,3,137,5795,2352,1145,,
"Win_0_118",0,118,,3,138,5871,2385,1161,,
"Win_0_119",0,119,,3,139,5948,2418,1178,,
"Win_0_120",0,120,"TRUE",4,200,6026,2451,1195,,
"Win_0_121",0,121,,4,201,6104,2484,1212,,
"Win_0_122",0,122,,4,202,6183,2518,1229,,
"Win_0_123",0,123,,4,203,6263,2552,1246,,
"Win_0_124",0,124,,4,204,6344,2587,1263,,
"Win_0_125",0,125,,4,205,6425,2622,1281,,
"Win_0_126",0,126,,4,206,6507,2657,1299,,
"Win_0_127",0,127,,4,207,6590,2692,1317,,
"Win_0_128",0,128,,4,208,6674,2728,1335,,
"Win_0_129",0,129,,4,209,6758,2764,1353,,
"Win_0_130",0,130,,4,210,6844,2801,1372,,
"Win_0_131",0,131,,4,211,6930,2837,1390,,
"Win_0_132",0,132,,4,212,7016,2874,1409,,
"Win_0_133",0,133,,4,213,7104,2912,1428,,
"Win_0_134",0,134,,4,214,7192,2950,1447,,
"Win_0_135",0,135,,4,215,7282,2988,1467,,
"Win_0_136",0,136,,4,216,7372,3026,1486,,
"Win_0_137",0,137,,4,217,7463,3065,1506,,
"Win_0_138",0,138,,4,218,7554,3104,1526,,
"Win_0_139",0,139,,4,219,7647,3144,1546,,
"Win_0_140",0,140,,4,220,7740,3184,1566,,
"Win_0_141",0,141,,4,221,7834,3224,1586,,
"Win_0_142",0,142,,4,222,7930,3265,1607,,
"Win_0_143",0,143,,4,223,8026,3306,1628,,
"Win_0_144",0,144,,4,224,8122,3347,1649,,
"Win_0_145",0,145,,4,225,8220,3389,1670,,
"Win_0_146",0,146,,4,226,8319,3431,1691,,
"Win_0_147",0,147,,4,227,8418,3474,1713,,
"Win_0_148",0,148,,4,228,8519,3517,1735,,
"Win_0_149",0,149,,4,229,8620,3560,1757,,
"Win_0_150",0,150,,4,230,8723,3604,1779,,
"Win_0_151",0,151,,4,231,8826,3648,1801,,
"Win_0_152",0,152,,4,232,8930,3693,1824,,
"Win_0_153",0,153,,4,233,9035,3738,1846,,
"Win_0_154",0,154,,4,234,9142,3783,1869,,
"Win_0_155",0,155,,4,235,9249,3829,1893,,
"Win_0_156",0,156,,4,236,9357,3875,1916,,
"Win_0_157",0,157,,4,237,9466,3922,1940,,
"Win_0_158",0,158,,4,238,9576,3969,1964,,
"Win_0_159",0,159,,4,239,9687,4017,1988,,
"Win_0_160",0,160,"TRUE",5,300,9799,4065,2012,,
"Win_0_161",0,161,,5,301,9913,4113,2036,,
"Win_0_162",0,162,,5,302,10027,4162,2061,,
"Win_0_163",0,163,,5,303,10142,4211,2086,,
"Win_0_164",0,164,,5,304,10259,4261,2111,,
"Win_0_165",0,165,,5,305,10376,4311,2137,,
"Win_0_166",0,166,,5,306,10494,4362,2163,,
"Win_0_167",0,167,,5,307,10614,4413,2188,,
"Win_0_168",0,168,,5,308,10735,4465,2215,,
"Win_0_169",0,169,,5,309,10857,4517,2241,,
"Win_0_170",0,170,,5,310,10980,4569,2268,,
"Win_0_171",0,171,,5,311,11104,4623,2294,,
"Win_0_172",0,172,,5,312,11229,4676,2322,,
"Win_0_173",0,173,,5,313,11355,4730,2349,,
"Win_0_174",0,174,,5,314,11483,4785,2377,,
"Win_0_175",0,175,,5,315,11611,4840,2404,,
"Win_0_176",0,176,,5,316,11741,4895,2433,,
"Win_0_177",0,177,,5,317,11872,4951,2461,,
"Win_0_178",0,178,,5,318,12005,5008,2490,,
"Win_0_179",0,179,,5,319,12138,5065,2519,,
"Win_0_180",0,180,,5,320,12273,5123,2548,,
"Win_0_181",0,181,,5,321,12409,5181,2577,,
"Win_0_182",0,182,,5,322,12546,5239,2607,,
"Win_0_183",0,183,,5,323,12685,5299,2637,,
"Win_0_184",0,184,,5,324,12824,5358,2667,,
"Win_0_185",0,185,,5,325,12965,5419,2698,,
"Win_0_186",0,186,,5,326,13108,5480,2729,,
"Win_0_187",0,187,,5,327,13251,5541,2760,,
"Win_0_188",0,188,,5,328,13396,5603,2791,,
"Win_0_189",0,189,,5,329,13543,5666,2823,,
"Win_0_190",0,190,,5,330,13690,5729,2855,,
"Win_0_191",0,191,,5,331,13839,5793,2887,,
"Win_0_192",0,192,,5,332,13990,5857,2920,,
"Win_0_193",0,193,,5,333,14142,5922,2952,,
"Win_0_194",0,194,,5,334,14295,5987,2986,,
"Win_0_195",0,195,,5,335,14449,6053,3019,,
"Win_0_196",0,196,,5,336,14605,6120,3053,,
"Win_0_197",0,197,,5,337,14763,6187,3087,,
"Win_0_198",0,198,,5,338,14922,6255,3121,,
"Win_0_199",0,199,,5,339,15082,6324,3156,,
"Win_0_200",0,200,"TRUE",6,600,15244,6393,3191,,
"Win_1_1",1,1,,1,5,,,,,
"Win_1_2",1,2,,1,6,,,,,
"Win_1_3",1,3,,1,7,,,,,
"Win_1_4",1,4,,1,7,,,,,
"Win_1_5",1,5,,1,8,,,,,
"Win_1_6",1,6,,1,9,,,,,
"Win_1_7",1,7,,1,10,,,,,
"Win_1_8",1,8,,1,10,,,,,
"Win_1_9",1,9,,1,11,,,,,
"Win_1_10",1,10,,1,12,,,,,
"Win_1_11",1,11,,1,13,,,,,
"Win_1_12",1,12,,1,14,,,,,
"Win_1_13",1,13,,1,14,,,,,
"Win_1_14",1,14,,1,15,,,,,
"Win_1_15",1,15,,1,16,,,,,
"Win_1_16",1,16,,1,17,,,,,
"Win_1_17",1,17,,1,17,,,,,
"Win_1_18",1,18,,1,18,,,,,
"Win_1_19",1,19,,1,19,,,,,
"Win_1_20",1,20,,1,20,,,,,
"Win_1_21",1,21,,1,21,,,,,
"Win_1_22",1,22,,1,22,,,,,
"Win_1_23",1,23,,1,22,,,,,
"Win_1_24",1,24,,1,23,,,,,
"Win_1_25",1,25,"TRUE",2,24,,,,,
"Win_1_26",1,26,,2,25,,,,,
"Win_1_27",1,27,,2,26,,,,,
"Win_1_28",1,28,,2,26,,,,,
"Win_1_29",1,29,,2,27,,,,,
"Win_1_30",1,30,,2,28,,,,,
"Win_1_31",1,31,,2,29,,,,,
"Win_1_32",1,32,,2,30,,,,,
"Win_1_33",1,33,,2,31,,,,,
"Win_1_34",1,34,,2,31,,,,,
"Win_1_35",1,35,,2,32,,,,,
"Win_1_36",1,36,,2,33,,,,,
"Win_1_37",1,37,,2,34,,,,,
"Win_1_38",1,38,,2,35,,,,,
"Win_1_39",1,39,,2,36,,,,,
"Win_1_40",1,40,,2,36,,,,,
"Win_1_41",1,41,,2,37,,,,,
"Win_1_42",1,42,,2,38,,,,,
"Win_1_43",1,43,,2,39,,,,,
"Win_1_44",1,44,,2,40,,,,,
"Win_1_45",1,45,,2,41,,,,,
"Win_1_46",1,46,,2,42,,,,,
"Win_1_47",1,47,,2,42,,,,,
"Win_1_48",1,48,,2,43,,,,,
"Win_1_49",1,49,,2,44,,,,,
"Win_1_50",1,50,"TRUE",3,45,,,,,
"Win_1_51",1,51,,3,46,,,,,
"Win_1_52",1,52,,3,47,,,,,
"Win_1_53",1,53,,3,48,,,,,
"Win_1_54",1,54,,3,49,,,,,
"Win_1_55",1,55,,3,49,,,,,
"Win_1_56",1,56,,3,50,,,,,
"Win_1_57",1,57,,3,51,,,,,
"Win_1_58",1,58,,3,52,,,,,
"Win_1_59",1,59,,3,53,,,,,
"Win_1_60",1,60,,3,54,,,,,
"Win_1_61",1,61,,3,55,,,,,
"Win_1_62",1,62,,3,56,,,,,
"Win_1_63",1,63,,3,57,,,,,
"Win_1_64",1,64,,3,58,,,,,
"Win_1_65",1,65,,3,58,,,,,
"Win_1_66",1,66,,3,59,,,,,
"Win_1_67",1,67,,3,60,,,,,
"Win_1_68",1,68,,3,61,,,,,
"Win_1_69",1,69,,3,62,,,,,
"Win_1_70",1,70,,3,63,,,,,
"Win_1_71",1,71,,3,64,,,,,
"Win_1_72",1,72,,3,65,,,,,
"Win_1_73",1,73,,3,66,,,,,
"Win_1_74",1,74,,3,67,,,,,
"Win_1_75",1,75,"TRUE",4,68,,,,,
"Win_1_76",1,76,,4,69,,,,,
"Win_1_77",1,77,,4,70,,,,,
"Win_1_78",1,78,,4,71,,,,,
"Win_1_79",1,79,,4,71,,,,,
"Win_1_80",1,80,,4,72,,,,,
"Win_1_81",1,81,,4,73,,,,,
"Win_1_82",1,82,,4,74,,,,,
"Win_1_83",1,83,,4,75,,,,,
"Win_1_84",1,84,,4,76,,,,,
"Win_1_85",1,85,,4,77,,,,,
"Win_1_86",1,86,,4,78,,,,,
"Win_1_87",1,87,,4,79,,,,,
"Win_1_88",1,88,,4,80,,,,,
"Win_1_89",1,89,,4,81,,,,,
"Win_1_90",1,90,,4,82,,,,,
"Win_1_91",1,91,,4,83,,,,,
"Win_1_92",1,92,,4,84,,,,,
"Win_1_93",1,93,,4,85,,,,,
"Win_1_94",1,94,,4,86,,,,,
"Win_1_95",1,95,,4,87,,,,,
"Win_1_96",1,96,,4,88,,,,,
"Win_1_97",1,97,,4,89,,,,,
"Win_1_98",1,98,,4,90,,,,,
"Win_1_99",1,99,,4,91,,,,,
"Win_1_100",1,100,"TRUE",5,92,,,,,
"Win_1_101",1,101,,5,93,,,,,
"Win_1_102",1,102,,5,94,,,,,
"Win_1_103",1,103,,5,95,,,,,
"Win_1_104",1,104,,5,96,,,,,
"Win_1_105",1,105,,5,97,,,,,
"Win_1_106",1,106,,5,98,,,,,
"Win_1_107",1,107,,5,99,,,,,
"Win_1_108",1,108,,5,100,,,,,
"Win_1_109",1,109,,5,101,,,,,
"Win_1_110",1,110,,5,102,,,,,
"Win_1_111",1,111,,5,103,,,,,
"Win_1_112",1,112,,5,104,,,,,
"Win_1_113",1,113,,5,105,,,,,
"Win_1_114",1,114,,5,106,,,,,
"Win_1_115",1,115,,5,107,,,,,
"Win_1_116",1,116,,5,108,,,,,
"Win_1_117",1,117,,5,110,,,,,
"Win_1_118",1,118,,5,111,,,,,
"Win_1_119",1,119,,5,112,,,,,
"Win_1_120",1,120,,5,113,,,,,
"Win_1_121",1,121,,5,114,,,,,
"Win_1_122",1,122,,5,115,,,,,
"Win_1_123",1,123,,5,116,,,,,
"Win_1_124",1,124,,5,117,,,,,
"Win_1_125",1,125,"TRUE",6,118,,,,,
"Win_1_126",1,126,,6,119,,,,,
"Win_1_127",1,127,,6,120,,,,,
"Win_1_128",1,128,,6,121,,,,,
"Win_1_129",1,129,,6,122,,,,,
"Win_1_130",1,130,,6,124,,,,,
"Win_1_131",1,131,,6,125,,,,,
"Win_1_132",1,132,,6,126,,,,,
"Win_1_133",1,133,,6,127,,,,,
"Win_1_134",1,134,,6,128,,,,,
"Win_1_135",1,135,,6,129,,,,,
"Win_1_136",1,136,,6,130,,,,,
"Win_1_137",1,137,,6,131,,,,,
"Win_1_138",1,138,,6,132,,,,,
"Win_1_139",1,139,,6,133,,,,,
"Win_1_140",1,140,,6,135,,,,,
"Win_1_141",1,141,,6,136,,,,,
"Win_1_142",1,142,,6,137,,,,,
"Win_1_143",1,143,,6,138,,,,,
"Win_1_144",1,144,,6,139,,,,,
"Win_1_145",1,145,,6,140,,,,,
"Win_1_146",1,146,,6,141,,,,,
"Win_1_147",1,147,,6,143,,,,,
"Win_1_148",1,148,,6,144,,,,,
"Win_1_149",1,149,,6,145,,,,,
"Win_1_150",1,150,"TRUE",7,146,,,,,
"Win_1_151",1,151,,7,147,,,,,
"Win_1_152",1,152,,7,148,,,,,
"Win_1_153",1,153,,7,149,,,,,
"Win_1_154",1,154,,7,151,,,,,
"Win_1_155",1,155,,7,152,,,,,
"Win_1_156",1,156,,7,153,,,,,
"Win_1_157",1,157,,7,154,,,,,
"Win_1_158",1,158,,7,155,,,,,
"Win_1_159",1,159,,7,157,,,,,
"Win_1_160",1,160,,7,158,,,,,
"Win_1_161",1,161,,7,159,,,,,
"Win_1_162",1,162,,7,160,,,,,
"Win_1_163",1,163,,7,161,,,,,
"Win_1_164",1,164,,7,163,,,,,
"Win_1_165",1,165,,7,164,,,,,
"Win_1_166",1,166,,7,165,,,,,
"Win_1_167",1,167,,7,166,,,,,
"Win_1_168",1,168,,7,167,,,,,
"Win_1_169",1,169,,7,169,,,,,
"Win_1_170",1,170,,7,170,,,,,
"Win_1_171",1,171,,7,171,,,,,
"Win_1_172",1,172,,7,172,,,,,
"Win_1_173",1,173,,7,173,,,,,
"Win_1_174",1,174,,7,175,,,,,
"Win_1_175",1,175,"TRUE",8,176,,,,,
"Win_1_176",1,176,,8,177,,,,,
"Win_1_177",1,177,,8,178,,,,,
"Win_1_178",1,178,,8,180,,,,,
"Win_1_179",1,179,,8,181,,,,,
"Win_1_180",1,180,,8,182,,,,,
"Win_1_181",1,181,,8,183,,,,,
"Win_1_182",1,182,,8,185,,,,,
"Win_1_183",1,183,,8,186,,,,,
"Win_1_184",1,184,,8,187,,,,,
"Win_1_185",1,185,,8,189,,,,,
"Win_1_186",1,186,,8,190,,,,,
"Win_1_187",1,187,,8,191,,,,,
"Win_1_188",1,188,,8,192,,,,,
"Win_1_189",1,189,,8,194,,,,,
"Win_1_190",1,190,,8,195,,,,,
"Win_1_191",1,191,,8,196,,,,,
"Win_1_192",1,192,,8,198,,,,,
"Win_1_193",1,193,,8,199,,,,,
"Win_1_194",1,194,,8,200,,,,,
"Win_1_195",1,195,,8,201,,,,,
"Win_1_196",1,196,,8,203,,,,,
"Win_1_197",1,197,,8,204,,,,,
"Win_1_198",1,198,,8,205,,,,,
"Win_1_199",1,199,,8,207,,,,,
"Win_1_200",1,200,"TRUE",9,208,,,,,
"Win_1_201",1,201,,9,209,,,,,
"Win_1_202",1,202,,9,211,,,,,
"Win_1_203",1,203,,9,212,,,,,
"Win_1_204",1,204,,9,213,,,,,
"Win_1_205",1,205,,9,215,,,,,
"Win_1_206",1,206,,9,216,,,,,
"Win_1_207",1,207,,9,218,,,,,
"Win_1_208",1,208,,9,219,,,,,
"Win_1_209",1,209,,9,220,,,,,
"Win_1_210",1,210,,9,222,,,,,
"Win_1_211",1,211,,9,223,,,,,
"Win_1_212",1,212,,9,224,,,,,
"Win_1_213",1,213,,9,226,,,,,
"Win_1_214",1,214,,9,227,,,,,
"Win_1_215",1,215,,9,228,,,,,
"Win_1_216",1,216,,9,230,,,,,
"Win_1_217",1,217,,9,231,,,,,
"Win_1_218",1,218,,9,233,,,,,
"Win_1_219",1,219,,9,234,,,,,
"Win_1_220",1,220,,9,235,,,,,
"Win_1_221",1,221,,9,237,,,,,
"Win_1_222",1,222,,9,238,,,,,
"Win_1_223",1,223,,9,240,,,,,
"Win_1_224",1,224,,9,241,,,,,
"Win_1_225",1,225,"TRUE",10,243,,,,,
"Win_1_226",1,226,,10,244,,,,,
"Win_1_227",1,227,,10,245,,,,,
"Win_1_228",1,228,,10,247,,,,,
"Win_1_229",1,229,,10,248,,,,,
"Win_1_230",1,230,,10,250,,,,,
"Win_1_231",1,231,,10,251,,,,,
"Win_1_232",1,232,,10,253,,,,,
"Win_1_233",1,233,,10,254,,,,,
"Win_1_234",1,234,,10,256,,,,,
"Win_1_235",1,235,,10,257,,,,,
"Win_1_236",1,236,,10,258,,,,,
"Win_1_237",1,237,,10,260,,,,,
"Win_1_238",1,238,,10,261,,,,,
"Win_1_239",1,239,,10,263,,,,,
"Win_1_240",1,240,,10,264,,,,,
"Win_1_241",1,241,,10,266,,,,,
"Win_1_242",1,242,,10,267,,,,,
"Win_1_243",1,243,,10,269,,,,,
"Win_1_244",1,244,,10,270,,,,,
"Win_1_245",1,245,,10,272,,,,,
"Win_1_246",1,246,,10,273,,,,,
"Win_1_247",1,247,,10,275,,,,,
"Win_1_248",1,248,,10,276,,,,,
"Win_1_249",1,249,,10,278,,,,,
"Win_1_250",1,250,"TRUE",11,280,,,,,
"Win_1_251",1,251,,11,281,,,,,
"Win_1_252",1,252,,11,283,,,,,
"Win_1_253",1,253,,11,284,,,,,
"Win_1_254",1,254,,11,286,,,,,
"Win_1_255",1,255,,11,287,,,,,
"Win_1_256",1,256,,11,289,,,,,
"Win_1_257",1,257,,11,290,,,,,
"Win_1_258",1,258,,11,292,,,,,
"Win_1_259",1,259,,11,293,,,,,
"Win_1_260",1,260,,11,295,,,,,
"Win_1_261",1,261,,11,297,,,,,
"Win_1_262",1,262,,11,298,,,,,
"Win_1_263",1,263,,11,300,,,,,
"Win_1_264",1,264,,11,301,,,,,
"Win_1_265",1,265,,11,303,,,,,
"Win_1_266",1,266,,11,305,,,,,
"Win_1_267",1,267,,11,306,,,,,
"Win_1_268",1,268,,11,308,,,,,
"Win_1_269",1,269,,11,309,,,,,
"Win_1_270",1,270,,11,311,,,,,
"Win_1_271",1,271,,11,313,,,,,
"Win_1_272",1,272,,11,314,,,,,
"Win_1_273",1,273,,11,316,,,,,
"Win_1_274",1,274,,11,317,,,,,
"Win_1_275",1,275,"TRUE",12,319,,,,,
"Win_1_276",1,276,,12,321,,,,,
"Win_1_277",1,277,,12,322,,,,,
"Win_1_278",1,278,,12,324,,,,,
"Win_1_279",1,279,,12,326,,,,,
"Win_1_280",1,280,,12,327,,,,,
"Win_1_281",1,281,,12,329,,,,,
"Win_1_282",1,282,,12,331,,,,,
"Win_1_283",1,283,,12,332,,,,,
"Win_1_284",1,284,,12,334,,,,,
"Win_1_285",1,285,,12,336,,,,,
"Win_1_286",1,286,,12,337,,,,,
"Win_1_287",1,287,,12,339,,,,,
"Win_1_288",1,288,,12,341,,,,,
"Win_1_289",1,289,,12,343,,,,,
"Win_1_290",1,290,,12,344,,,,,
"Win_1_291",1,291,,12,346,,,,,
"Win_1_292",1,292,,12,348,,,,,
"Win_1_293",1,293,,12,349,,,,,
"Win_1_294",1,294,,12,351,,,,,
"Win_1_295",1,295,,12,353,,,,,
"Win_1_296",1,296,,12,355,,,,,
"Win_1_297",1,297,,12,356,,,,,
"Win_1_298",1,298,,12,358,,,,,
"Win_1_299",1,299,,12,360,,,,,
"Win_1_300",1,300,"TRUE",13,362,,,,,
"Win_1_301",1,301,,13,363,,,,,
"Win_1_302",1,302,,13,365,,,,,
"Win_1_303",1,303,,13,367,,,,,
"Win_1_304",1,304,,13,369,,,,,
"Win_1_305",1,305,,13,370,,,,,
"Win_1_306",1,306,,13,372,,,,,
"Win_1_307",1,307,,13,374,,,,,
"Win_1_308",1,308,,13,376,,,,,
"Win_1_309",1,309,,13,378,,,,,
"Win_1_310",1,310,,13,379,,,,,
"Win_1_311",1,311,,13,381,,,,,
"Win_1_312",1,312,,13,383,,,,,
"Win_1_313",1,313,,13,385,,,,,
"Win_1_314",1,314,,13,387,,,,,
"Win_1_315",1,315,,13,389,,,,,
"Win_1_316",1,316,,13,390,,,,,
"Win_1_317",1,317,,13,392,,,,,
"Win_1_318",1,318,,13,394,,,,,
"Win_1_319",1,319,,13,396,,,,,
"Win_1_320",1,320,,13,398,,,,,
"Win_1_321",1,321,,13,400,,,,,
"Win_1_322",1,322,,13,402,,,,,
"Win_1_323",1,323,,13,403,,,,,
"Win_1_324",1,324,,13,405,,,,,
"Win_1_325",1,325,"TRUE",14,407,,,,,
"Win_1_326",1,326,,14,409,,,,,
"Win_1_327",1,327,,14,411,,,,,
"Win_1_328",1,328,,14,413,,,,,
"Win_1_329",1,329,,14,415,,,,,
"Win_1_330",1,330,,14,417,,,,,
"Win_1_331",1,331,,14,419,,,,,
"Win_1_332",1,332,,14,421,,,,,
"Win_1_333",1,333,,14,422,,,,,
"Win_1_334",1,334,,14,424,,,,,
"Win_1_335",1,335,,14,426,,,,,
"Win_1_336",1,336,,14,428,,,,,
"Win_1_337",1,337,,14,430,,,,,
"Win_1_338",1,338,,14,432,,,,,
"Win_1_339",1,339,,14,434,,,,,
"Win_1_340",1,340,,14,436,,,,,
"Win_1_341",1,341,,14,438,,,,,
"Win_1_342",1,342,,14,440,,,,,
"Win_1_343",1,343,,14,442,,,,,
"Win_1_344",1,344,,14,444,,,,,
"Win_1_345",1,345,,14,446,,,,,
"Win_1_346",1,346,,14,448,,,,,
"Win_1_347",1,347,,14,450,,,,,
"Win_1_348",1,348,,14,452,,,,,
"Win_1_349",1,349,,14,454,,,,,
"Win_1_350",1,350,"TRUE",15,456,,,,,
"Win_1_351",1,351,,15,458,,,,,
"Win_1_352",1,352,,15,460,,,,,
"Win_1_353",1,353,,15,462,,,,,
"Win_1_354",1,354,,15,464,,,,,
"Win_1_355",1,355,,15,466,,,,,
"Win_1_356",1,356,,15,468,,,,,
"Win_1_357",1,357,,15,470,,,,,
"Win_1_358",1,358,,15,472,,,,,
"Win_1_359",1,359,,15,475,,,,,
"Win_1_360",1,360,,15,477,,,,,
"Win_1_361",1,361,,15,479,,,,,
"Win_1_362",1,362,,15,481,,,,,
"Win_1_363",1,363,,15,483,,,,,
"Win_1_364",1,364,,15,485,,,,,
"Win_1_365",1,365,,15,487,,,,,
"Win_1_366",1,366,,15,489,,,,,
"Win_1_367",1,367,,15,491,,,,,
"Win_1_368",1,368,,15,493,,,,,
"Win_1_369",1,369,,15,496,,,,,
"Win_1_370",1,370,,15,498,,,,,
"Win_1_371",1,371,,15,500,,,,,
"Win_1_372",1,372,,15,502,,,,,
"Win_1_373",1,373,,15,504,,,,,
"Win_1_374",1,374,,15,506,,,,,
"Win_1_375",1,375,"TRUE",16,508,,,,,
