"Name","PowerLeagueSeasonId","SkinsInRankedStar","TicketsInSkinDraw","SpraysInRankedStar","TicketsInSprayDraw","ProfilePicsInRankedStar","TicketsInProfilePicDraw"
,,"MechaDudeJaguar",3,"spray_meg_jungle",11,,
,,"SniperMariposa",3,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",3,,,,
,,"ArtilleryDudeSmuggler_orange",3,,,,
,,"ArcadePiano_black",3,,,,
,,"ShamanDragon_black",3,,,,
"Deepsea",24,"BlowerDeepsea",50,"spray_ranked_deepsea",100,"player_icon_ranked_deepsea",100
,,"AxeJugglerGreek",3,"spray_ranked_olympic",10,"player_icon_ranked_olympic",15
,,"TwinsVirus",3,"spray_ranked_hackers",10,"player_icon_ranked_hackers",15
,,"FleaGodzilla",3,"spray_ranked_godzilla",10,"player_icon_ranked_godzilla",14
,,"JesterLoki",3,"spray_ranked_ragnarok",10,"player_icon_ranked_logo",14
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",10,"player_icon_pl_logo",14
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",10,"player_icon_ranked_ragnarok",14
,,"DuplicatorDarkcircus",3,"spray_lola_circus",10,"player_icon_ranked_sandsoftime",14
,,"MaisieWasteland",3,"spray_maisie_wasteland",10,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",10,,
,,"MechaDudeJaguar",3,"spray_meg_jungle",10,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",3,,,,
,,"ArtilleryDudeSmuggler_orange",3,,,,
,,"ArcadePiano_black",3,,,,
,,"ShamanDragon_black",3,,,,
"SpongeBob",25,"ElectroSniperSCmake",50,"spray_ranked_sb",100,"player_icon_ranked_sb",100
,,"BlowerDeepsea",3,"spray_ranked_deepsea",10,"player_icon_ranked_deepsea",14
,,"AxeJugglerGreek",3,"spray_ranked_olympic",9,"player_icon_ranked_olympic",14
,,"TwinsVirus",3,"spray_ranked_hackers",9,"player_icon_ranked_hackers",12
,,"FleaGodzilla",3,"spray_ranked_godzilla",9,"player_icon_ranked_godzilla",12
,,"JesterLoki",3,"spray_ranked_ragnarok",9,"player_icon_ranked_logo",12
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",9,"player_icon_pl_logo",12
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",9,"player_icon_ranked_ragnarok",12
,,"DuplicatorDarkcircus",3,"spray_lola_circus",9,"player_icon_ranked_sandsoftime",12
,,"MaisieWasteland",3,"spray_maisie_wasteland",9,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",9,,
,,"MechaDudeJaguar",3,"spray_meg_jungle",9,,
,,"SniperMariposa",3,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"DarkOnceUpon",26,"BeamerOnceupon",50,"spray_ranked_darkonce",100,"player_icon_ranked_darkonceupon",100
,,"ElectroSniperSCmake",3,"spray_ranked_sb",9,"player_icon_ranked_sb",12
,,"BlowerDeepsea",3,"spray_ranked_deepsea",9,"player_icon_ranked_deepsea",11
,,"AxeJugglerGreek",3,"spray_ranked_olympic",9,"player_icon_ranked_olympic",11
,,"TwinsVirus",3,"spray_ranked_hackers",9,"player_icon_ranked_hackers",11
,,"FleaGodzilla",3,"spray_ranked_godzilla",8,"player_icon_ranked_godzilla",11
,,"JesterLoki",3,"spray_ranked_ragnarok",8,"player_icon_ranked_logo",11
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",8,"player_icon_pl_logo",11
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",8,"player_icon_ranked_ragnarok",11
,,"DuplicatorDarkcircus",3,"spray_lola_circus",8,"player_icon_ranked_sandsoftime",11
,,"MaisieWasteland",3,"spray_maisie_wasteland",8,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",8,,
,,"MechaDudeJaguar",3,"spray_meg_jungle",8,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",2,,,,
,,"DrillerJetski_purple",2,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"AngelsDemons",27,"AmbusherAngel",50,"spray_ranked_angelsdemons",100,"player_icon_ranked_angelsdemons",100
,,"BeamerOnceupon",3,"spray_ranked_darkonce",8,"player_icon_ranked_darkonceupon",10
,,"ElectroSniperSCmake",3,"spray_ranked_sb",8,"player_icon_ranked_sb",10
,,"BlowerDeepsea",3,"spray_ranked_deepsea",8,"player_icon_ranked_deepsea",10
,,"AxeJugglerGreek",3,"spray_ranked_olympic",8,"player_icon_ranked_olympic",10
,,"TwinsVirus",3,"spray_ranked_hackers",8,"player_icon_ranked_hackers",10
,,"FleaGodzilla",3,"spray_ranked_godzilla",8,"player_icon_ranked_godzilla",10
,,"JesterLoki",3,"spray_ranked_ragnarok",8,"player_icon_ranked_logo",10
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",8,"player_icon_pl_logo",10
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",8,"player_icon_ranked_ragnarok",10
,,"DuplicatorDarkcircus",3,"spray_lola_circus",7,"player_icon_ranked_sandsoftime",10
,,"MaisieWasteland",2,"spray_maisie_wasteland",7,,
,,"IceDudeStonetroll",2,"spray_lou_enchanted",7,,
,,"MechaDudeJaguar",2,"spray_meg_jungle",7,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",2,,,,
,,"DrillerJetski_purple",2,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"Toons",28,"RosaToon",50,"spray_ranked_toons2",100,"player_icon_ranked_toons2",100
,,"AmbusherAngel",3,"spray_ranked_angelsdemons",8,"player_icon_ranked_angelsdemons",10
,,"BeamerOnceupon",3,"spray_ranked_darkonce",8,"player_icon_ranked_darkonceupon",9
,,"ElectroSniperSCmake",3,"spray_ranked_sb",7,"player_icon_ranked_sb",9
,,"BlowerDeepsea",3,"spray_ranked_deepsea",7,"player_icon_ranked_deepsea",9
,,"AxeJugglerGreek",3,"spray_ranked_olympic",7,"player_icon_ranked_olympic",9
,,"TwinsVirus",3,"spray_ranked_hackers",7,"player_icon_ranked_hackers",9
,,"FleaGodzilla",3,"spray_ranked_godzilla",7,"player_icon_ranked_godzilla",9
,,"JesterLoki",3,"spray_ranked_ragnarok",7,"player_icon_ranked_logo",9
,,"TntDudeDynastic",2,"spray_ranked_sandsoftime",7,"player_icon_pl_logo",9
,,"TrickshotDudeDevil",2,"spray_cartoon_starr",7,"player_icon_ranked_ragnarok",9
,,"DuplicatorDarkcircus",2,"spray_lola_circus",7,"player_icon_ranked_sandsoftime",9
,,"MaisieWasteland",2,"spray_maisie_wasteland",7,,
,,"IceDudeStonetroll",2,"spray_lou_enchanted",7,,
,,"MechaDudeJaguar",2,"spray_meg_jungle",7,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",2,,,,
,,"DrillerJetski_purple",2,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"StarrForce",29,"DiggerStarrForce",50,"spray_ranked_starrforce",100,"player_icon_ranked_starrforce",100
,,"RosaToon",3,"spray_ranked_toons2",7,"player_icon_ranked_toons2",9
,,"AmbusherAngel",3,"spray_ranked_angelsdemons",7,"player_icon_ranked_angelsdemons",9
,,"BeamerOnceupon",3,"spray_ranked_darkonce",7,"player_icon_ranked_darkonceupon",9
,,"ElectroSniperSCmake",3,"spray_ranked_sb",7,"player_icon_ranked_sb",9
,,"BlowerDeepsea",3,"spray_ranked_deepsea",7,"player_icon_ranked_deepsea",8
,,"AxeJugglerGreek",3,"spray_ranked_olympic",7,"player_icon_ranked_olympic",8
,,"TwinsVirus",2,"spray_ranked_hackers",7,"player_icon_ranked_hackers",8
,,"FleaGodzilla",2,"spray_ranked_godzilla",7,"player_icon_ranked_godzilla",8
,,"JesterLoki",2,"spray_ranked_ragnarok",6,"player_icon_ranked_logo",8
,,"TntDudeDynastic",2,"spray_ranked_sandsoftime",6,"player_icon_pl_logo",8
,,"TrickshotDudeDevil",2,"spray_cartoon_starr",6,"player_icon_ranked_ragnarok",8
,,"DuplicatorDarkcircus",2,"spray_lola_circus",6,"player_icon_ranked_sandsoftime",8
,,"MaisieWasteland",2,"spray_maisie_wasteland",6,,
,,"IceDudeStonetroll",2,"spray_lou_enchanted",6,,
,,"MechaDudeJaguar",2,"spray_meg_jungle",6,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",2,,,,
,,"DrillerJetski_purple",2,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"GoodRandoms",30,"DeadMariachiGoodRandoms",50,"spray_ranked_goodrandoms",100,"player_icon_ranked_goodrandoms",100
,,"DiggerStarrForce",3,"spray_ranked_starrforce",7,"player_icon_ranked_starrforce",8
,,"RosaToon",3,"spray_ranked_toons2",7,"player_icon_ranked_toons2",8
,,"AmbusherAngel",3,"spray_ranked_angelsdemons",7,"player_icon_ranked_angelsdemons",8
,,"BeamerOnceupon",3,"spray_ranked_darkonce",7,"player_icon_ranked_darkonceupon",8
,,"ElectroSniperSCmake",2,"spray_ranked_sb",6,"player_icon_ranked_sb",8
,,"BlowerDeepsea",2,"spray_ranked_deepsea",6,"player_icon_ranked_deepsea",8
,,"AxeJugglerGreek",2,"spray_ranked_olympic",6,"player_icon_ranked_olympic",8
,,"TwinsVirus",2,"spray_ranked_hackers",6,"player_icon_ranked_hackers",8
,,"FleaGodzilla",2,"spray_ranked_godzilla",6,"player_icon_ranked_godzilla",8
,,"JesterLoki",2,"spray_ranked_ragnarok",6,"player_icon_ranked_logo",7
,,"TntDudeDynastic",2,"spray_ranked_sandsoftime",6,"player_icon_pl_logo",7
,,"TrickshotDudeDevil",2,"spray_cartoon_starr",6,"player_icon_ranked_ragnarok",7
,,"DuplicatorDarkcircus",2,"spray_lola_circus",6,"player_icon_ranked_sandsoftime",7
,,"MaisieWasteland",2,"spray_maisie_wasteland",6,,
,,"IceDudeStonetroll",2,"spray_lou_enchanted",6,,
,,"MechaDudeJaguar",2,"spray_meg_jungle",6,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",2,,,,
,,"DrillerJetski_purple",2,,,,
,,"RopeDudeDirector_blue",2,,,,
,,"ArtilleryDudeSmuggler_orange",2,,,,
,,"ArcadePiano_black",2,,,,
,,"ShamanDragon_black",2,,,,
"BrawlCup1",31,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup2",32,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup3",33,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup4",34,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup5",35,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup6",36,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"FleaGodzilla",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"JesterLoki",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TntDudeDynastic",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"TrickshotDudeDevil",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"DuplicatorDarkcircus",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"MaisieWasteland",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"IceDudeStonetroll",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"MechaDudeJaguar",1,"spray_meg_jungle",1,,
,,"SniperMariposa",1,"spray_ranked1_1",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_2",1,,
,,"DrillerJetski_purple",1,,,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup7",37,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
