"Name","Collab","Contest","EventSlot","ExtendedSpecialEventHero","GameModeVariation","EventModifier","ClipOverrideSWF","ClipOverrideExportName","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","ModeOverrideRoomFrameLabel","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","HideGameModeGraphicsWhileTall","IdleFrameLabel"
"DodgeballOverrides",,,,,"Dodgeball",,,,,,,,,,,,"TRUE",,"TRUE",
"TrophyThievesOverrides",,,,,"CTF",,,,,,,,,,,,"TRUE",,"TRUE",
"DancerShowdown",,,"MirrorMatch","Dancer","Showdown",,"sc/events.sc","event_mina_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_mina_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown"
"FuryShowdown",,,"MirrorMatch","Fury","Showdown",,"sc/events.sc","event_ziggy_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_ziggy_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown"
"SubwayContestTrailRunOverrides",,"SubwayContest","Contest",,"TrailRun",,,"event_trailrun_contest_banner",,,"event_trailrun_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestHeistOverrides",,"SubwayContest","Contest",,"Heist",,,"event_heist_contest_banner",,,"event_heist_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestSamuraiSmashOverrides5v5",,"SubwayContest","Contest",,"PaintBall",,,"event_paintball_contest_banner",,,"event_paintball_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestBrawlBallOverrides",,"SubwayContest","Contest",,"BrawlBall",,,"event_brawlball_contest_banner",,,"event_brawlball_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestGemGrabOverrides",,"SubwayContest","Contest",,"GemGrab",,,"event_gemgrab_contest_banner",,,"event_gemgrab_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestKnockoutOverrides",,"SubwayContest","Contest",,"Knockout",,,"event_knockout_contest_banner",,,"event_knockout_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayContestWipeoutOverrides",,"SubwayContest","Contest",,"Deathmatch",,,"event_wipeout_contest_banner",,,"event_wipeout_contest_banner",,,,,,"TRUE",,"TRUE",
"SubwayRainingCoinsKnockout5v5",,,,,"Knockout5v5","EventCollectToken",,,,,"event_gameroom_knockout_5v5_coins_square",,,,,,"TRUE",,"TRUE",
"SubwayContestHotzoneOverrides",,"SubwayContest","Contest",,"KingOfHill",,,"event_hotzone_contest_banner",,,"event_hotzone_contest_banner",,,,,,"TRUE",,"TRUE",
"BrawloweenShowdown",,,,,"Showdown","InvisibleBrawlers",,,,,"event_gameroom_survival_square",,,,,,,,"TRUE",
"DaredevilShowdown",,,"MirrorMatch","Daredevil","Showdown",,"sc/events.sc","event_gigi_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_gigi_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown"
