"Name","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","NumSkills","AttackSkills","AttackMaxCount","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorWidth","MoveStyle","SkillTPCameraType","BattleIntroFrameLabel","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod"
"MegaBossSpike",250,100,"MegaBossVulnerableGen",10,6,"MegaBossCactusPushAway;MegaBossCactusWeapon;MegaBossCactusUlti;MegaBossCactusPet;MegaBossCactusCharge;MegaBossCactusSecondWeapon","1;2;1;1;0;0",0,-15,"20;20;30;30;35;40","20;30;30;30;35;40","0;3;0;0;3;3","''-;-;-;-;-;-","0;-1;-1;-1;-1;-1","0;250;0;0;500;900","1;1;1;1;1;1","0;0;0;0;0;0","boss_spike_carreta","chat_letsplay_boss_spike_carreta","event_icon_boss_spike_carreta","event_gameroom_boss_spike_carreta",
,350,60,,,,,"1;2;1;2;1;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;2;2;3;1;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;4;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;5;3;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;6;3;2",150,10,,,,,,,,,,,,,
"MegaBossClusterBomb",250,100,"MegaBossVulnerableGen",10,6,"MegaTickPushAway;MegaTickUlti;MegaTickWeapon;MegaTickWeaponSecond;MegaTickUltiMid;MegaTickUltiLarge","1;2;1;1;0;0",0,-15,"20;20;30;30;35;40","20;30;35;40;45;50","0;0;0;1;0;0","-;-;-;MegaBossCrowUltiIndicator;-;-","0;-1;-1;-1;-1;1500","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_tick_brawloween","chat_letsplay_boss_tick_brawloween","event_icon_boss_tick_brawloween","event_gameroom_boss_tick_brawloween",
,350,60,,,,,"1;2;1;2;1;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;2;2;2;1;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;2;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;4;3;3;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;4;3;3;2",150,10,,,,,,,,,,,,,
"MegaBossSplitter",250,100,"MegaBossVulnerableGen",10,5,"MegaBossSplitterAtkPushAway;MegaBossSplitterLegDefence;MegaBossSplitterSpawnRobotsShoot;MegaBossSplitterSpawnRobotsThrow;MegaBossSplitterUlti360","1;1;0;0;0",0,-15,"40;20;30;30;30","20;30;30;30;30","0;0;1;1;0","-;-;MegaKenjiWarningSpawnRobots;MegaKenjiWarningSpawnRobots;-","0;-1;4800;4800;0","0;0;0;0;0;0","0;0;0;0;0","0;0;0;0;0","boss_rt_brawloween","chat_letsplay_boss_rt_brawloween","event_icon_boss_rt_brawloween","event_gameroom_boss_rt_brawloween",
,350,60,,,,,"1;1;1;1;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;2;1;1;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;2;1;1;2",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;2;2;3",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;3;3;3;5",150,10,,,,,,,,,,,,,
"MegaBossSplitterHead",250,100,"MegaBossVulnerableGen",10,4,"MegaBossSplitterAtk;MegaBossSplitterWeapon;MegaBossSplitterWeaponRange;MegaBossSplitterCharge","1;1;0;0",0,-15,"40;25;30;30","40;30;40;50","0;0;3;3","-;-;-;-","0;-1;-1;-1","0;0;300;550","1;1;1;1","0;0;0;0","boss_rt_brawloween","chat_letsplay_boss_rt_brawloween","event_icon_boss_rt_brawloween","event_gameroom_boss_rt_brawloween",
,350,60,,,,,"1;2;1;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;3;2;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;3;2;2",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;3;3;2",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;3;4;3",150,10,,,,,,,,,,,,,
"MegaBossKenjiGhost",250,100,"MegaBossVulnerableGen",10,6,"MegaKenjiPushAway;MegaKenjiAttackSlowProjectiles;MegaKenjiSpawnRobots;MegaKenjiCharge;MegaKenji360Madness;MegaKenjiSpawnKenji","1;3;2;1;0;0",0,-15,"20;20;30;30;40;35","20;30;30;30;40;35","0;0;0;3;1;1","-;-;-;-;MegaKenjiWarning360;MegaBossCrowMidSizeIndicator","0;-1;-1;-1;100;3000","0;0;0;350;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_kenji_ghost","chat_letsplay_boss_kenji_ghost","event_icon_boss_kenji_ghost","event_gameroom_boss_kenji_ghost",
,350,60,,,,,"1;3;2;1;2;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;3;3;1;2;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;3;3;1;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;1;3;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;3;2;3;1",150,10,,,,,,,,,,,,,
"MegaBossCrow",250,100,"MegaBossVulnerableGen",10,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",
,350,60,,,,,"1;3;1;3;1;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;2;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;4;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;4;1",150,10,,,,,,,,,,,,,
"MegaBossCrowRed",250,100,"MegaBossVulnerableGen",10,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",
,350,60,,,,,"1;3;1;3;0;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;1;0",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;1;0",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",150,10,,,,,,,,,,,,,
"MegaBossCrowWhite",250,100,"MegaBossVulnerableGen",10,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",
,350,60,,,,,"1;3;1;3;0;0",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;1;0",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;1;0",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",150,10,,,,,,,,,,,,,
"MegaBossFrank",250,100,"MegaBossVulnerableGen",10,6,"MegaBossFrankAttackPushAway;MegaBossFrankAttackUlti;MegaBossFrankAttackCharge;MegaBossFrankAoePull;MegaBossFrankAttackHyper;MegaBossFrankSpawnAdds","1;2;1;0;1;0",0,-15,"10;10;20;10;10;15","10;10;30;10;10;20","0;0;0;0;0;0","-;-;-;-;-;-","-1;-1;-1;-1;-1;-1","0;0;650;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_frank_knight","chat_letsplay_boss_st_frank","event_icon_boss_st_frank","event_gameroom_boss_st_frank",2
,350,60,,,,,"1;3;2;0;1;1",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;4;2;1;2;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;1;3;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;1;4;2",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;4;2;1;4;2",150,10,,,,,,,,,,,,,
"MegaBossFang",250,100,"MegaBossVulnerableGen",10,5,"MegaBossFangPushAway;MegaBossFangAttack2;MegaBossFangAttack3;MegaBossFangAttack4;MegaBossFangAttack5","1;2;1;1;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaKenjiWarningSpawnRobots;-;MegaKenjiWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1","0;0;0;0;0","default",,,,
,350,60,,,,,"1;2;1;2;1",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;1;2;1;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;2;2;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;5;4;2",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;5;4;2",150,10,,,,,,,,,,,,,
"MegaBossEmz",250,100,"MegaBossVulnerableGen",10,5,"MegaBossEmzPushAway;MegaBossEmzAttack2;MegaBossEmzAttack3;MegaBossEmzAttack4;MegaBossEmzAttack5","1;2;1;1;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaKenjiWarningSpawnRobots;-;MegaKenjiWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1","0;0;0;0;0","default",,,,
,350,60,,,,,"1;2;1;2;1",0,-10,,,,,,,,,,,,,
,400,30,,,,,"1;1;2;1;1",0,-5,,,,,,,,,,,,,
,0,0,,,,,"1;2;2;2;1",50,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;5;4;2",100,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;5;4;2",150,10,,,,,,,,,,,,,
"MegaBossSTDg",0,0,"MegaBossVulnerableGen",25,2,"MegaBossDgPushAway;MegaBossDgAttackCharge","1;3",0,-15,"20;20","20;30","0;3","-;-","-1;-1","0;300","1;1","0;0","boss_demogorgon","chat_letsplay_boss_st_demogorgon","event_icon_boss_st_demogorgon","event_gameroom_boss_st_demogorgon",
,0,0,,,,,"1;3",50,-10,,,,,,,,,,,,,
,0,0,,,,,"1;3",100,-5,,,,,,,,,,,,,
,0,0,,,,,"1;3",150,0,,,,,,,,,,,,,
,0,0,,,,,"1;3",200,5,,,,,,,,,,,,,
,0,0,,,,,"1;3",250,10,,,,,,,,,,,,,
"MegaBossSTVec",0,0,"MegaBossVulnerableGen",25,6,"MegaBossVecPushAway;MegaBossVecAttackBlackholeDistance;MegaBossVecAttackDropClock;MegaBossVecAttackSlowProjectile;MegaBossVecAttackBigBlackhole;MegaBossVecAttackRockExplosion","1;1;1;0;0;1",0,-15,"10;20;30;30;15;20","10;20;30;30;15;20","0;0;0;0;0;0","-;-;-;-;-;-","-1;-1;-1;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_vecna","chat_letsplay_boss_st_vecna","event_icon_boss_st_vecna","event_gameroom_boss_st_vecna",
,0,0,,,,,"1;1;1;1;0;1",50,-5,,,,,,,,,,,,,
,0,0,,,,,"1;1;1;1;1;1",100,0,,,,,,,,,,,,,
,0,0,,,,,"1;2;1;2;1;1",150,5,,,,,,,,,,,,,
,0,0,,,,,"1;2;1;2;1;2",200,10,,,,,,,,,,,,,
,0,0,,,,,"1;2;1;2;2;2",250,20,,,,,,,,,,,,,
