"Name","ParentAreaEffectForSkin","Disabled","FileName","OwnExportName","BlueExportName","RedExportName","NeutralExportName","Layer","ExportNameTop","ExportNameTopRed","ExportNameObject","Effect","LoopingEffect","ScaleLoopingEffect","HitEffect","AllowEffectInterrupt","PlaybackType","RotationType","Scale","TimeMs","MinTimeMs","Radius","Damage","DontOverrideDmg","DamageScaleType","CustomValue","CustomValue2","Type","StatusEffectSelf","StatusEffectAlly","StatusEffectEnemy","StatusEffectTickInterval","DelayFirstTick","IsPersonal","TargetEnemiesOnly","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionBulletOffset","BulletExplosionItem","ExpandOnDistance","BulletAngleOffset","BulletApplyAngle","DestroysEnvironment","DestroysDecorations","DestroysOnlyBushes","PushbackStrength","PushbackStrengthSelf","PushbackDeadzone","CanStopGrapple","StunTicks","SlowStrength","FreezeTicks","IgnoreFadeout","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs","RelatedImmunityAreas","DontShowToEnemy","RequireLineOfSight","ChainAreaEffect","ChainAreaEffect2","ChainAreaEffect3","OverchargedChainAreaEffect","OverchargedChainAreaEffect2","OverchargedChainAreaEffect3","SkinnedCustomValue","SpawnItem","SnapToTile","DamageScaleDistanceNear","DamageScaleDistanceFar","SourceType","OverHealTicks","StackOverHeal","MaxOverHeal","OverHealMultiplier","AffectOnlyHeroes","AffectProjectiles","IgnoreCharacters","InnerRadius","InnerRadiusDamagePercent","ExpireTypes","CurveBall","CurveBallAddDistance"
"Brock_009_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_atk_explosion_blue","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_009_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_explosion_blue","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_red","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_red","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_blue","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_blue","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_yellow","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_yellow","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_pink","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_pink","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_black","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_black","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlExplosion","","","sc/effects.sc","range400_blue","range400_blue","range400_red","","GroundHigh","","","","explosion_rocket_rose","","100","","","","","70","700","","600","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUltiExplosion","","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","explosion_rocket_rose_ulti","","100","","","","","100","700","","450","","","","","","Damage","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusExplosion","","","sc/effects.sc","","","","","GroundHigh","","","","spike_def_atk1_explosion","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusSpikeExplosion","","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","700","","300","","","","6","","BulletExplosion","","","","","","","","CactusSpike","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusUltiExplosion","","","sc/effects.sc","","","","","GroundHigh","","","","spike_def_ulti_explosion","","100","","","","","170","4500","","800","800","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","350","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_002_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_002_atk1_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_002_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike002Spike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_002_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_002_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_003_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_003_atk1_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_003_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike003Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_003_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_003_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_004_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_004_atk1_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_004_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike004Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_004_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_004_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_005_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_005_atk1_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_005_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike005Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_005_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_005_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_006_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_006_atk1_explosion","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_006_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike006Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_006_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_006_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_007_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_007_atk1_explosion","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_007_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike007Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_007_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_007_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_008_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_008_atk1_explosion","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_008_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike008Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_008_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_008_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_009_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_009_atk1_explosion","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_009_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","","","","","","","","","","","","","","Spike009Frag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spike_009_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_009_ulti_explosion","","100","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_def_atk","","","sc/effects.sc","","","","","GroundHigh","","","","barley_def_atk","","100","","","","","55","1900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_def_ulti","","","sc/effects.sc","","","","","GroundHigh","","","","barley_def_ulti","","100","","","","","55","3900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_002_atk","Barley_def_atk","","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","barley_002_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_002_ulti","Barley_def_ulti","","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","barley_002_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_004_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_004_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_004_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_004_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_005_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_005_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_005_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_005_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_006_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_006_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_006_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_006_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_007_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_007_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_007_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_007_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_008_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_008_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_008_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_008_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_009_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_009_atk","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_009_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_009_ulti","","100","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_ulti1_area","","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_ulti2_area","","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_atk_area","","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_explosion_blue","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_003_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_003_atk_explosion","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_003_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_003_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_004_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_004_atkHit_blue","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_004_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_004_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_005_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_atk_Hit","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_005_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_005_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_006_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_atkHit_blue","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_006_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_006_ulti2_area","","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_007_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_atkHit","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_007_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_007_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_008_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_atk_Hit","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_008_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_008_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_009_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_atk_Hit","","100","","","","","70","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_009_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_ulti1_explosion","","100","","","","","70","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_009_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piper_def_ulti","SniperBombExplosion","","sc/effects.sc","","","","","GroundHigh","","","","piper_def_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piper_003_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_003_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piper_004_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_004_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piper_005_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_005_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piper_006_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_006_ulti2_explosion","","100","","","","","133","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
