"Name","Type","Index","ProgressStart","Progress","League","Tier","Season","HeroPowerUnlock","PrimaryLvlUpRewardType","PrimaryLvlUpRewardCount","PrimaryLvlUpRewardExtraData","PrimaryLvlUpRewardData","SecondaryLvlUpRewardType","SecondaryLvlUpRewardCount","SecondaryLvlUpRewardExtraData","SecondaryLvlUpRewardData","DependsOnIndex","RankAssetFrame","RankNumberValue","RankFaceFrame","RankHexTextColor"
"goal_1_39",1,39,780,20,0,0,,,11,0,0,,-1,,,,-1,4,10,6,"0x33FFFF"
"goal_1_40",1,40,800,20,0,0,,,11,0,0,,-1,,,,-1,5,1,9,"0xF157FA"
"goal_1_41",1,41,820,20,0,0,,,11,0,0,,-1,,,,-1,5,2,9,"0xF157FA"
"goal_1_42",1,42,840,20,0,0,,,11,0,0,,-1,,,,-1,5,3,9,"0xF157FA"
"goal_1_43",1,43,860,20,0,0,,,11,0,0,,-1,,,,-1,5,4,9,"0xF157FA"
"goal_1_44",1,44,880,20,0,0,,,11,0,0,,-1,,,,-1,5,5,9,"0xF157FA"
"goal_1_45",1,45,900,20,0,0,,,11,0,0,,-1,,,,-1,5,6,9,"0xF157FA"
"goal_1_46",1,46,920,20,0,0,,,11,0,0,,-1,,,,-1,5,7,9,"0xF157FA"
"goal_1_47",1,47,940,20,0,0,,,11,0,0,,-1,,,,-1,5,8,9,"0xF157FA"
"goal_1_48",1,48,960,20,0,0,,,11,0,0,,-1,,,,-1,5,9,9,"0xF157FA"
"goal_1_49",1,49,980,20,0,0,,,11,0,0,,-1,,,,-1,5,10,9,"0xF157FA"
"goal_1_50",1,50,1000,200,0,0,,,11,0,0,,-1,,,,-1,6,,11,"0xFFFFFF"
"goal_1_51",1,51,1200,300,0,0,,,11,0,0,,-1,,,,-1,7,,11,"0xFFFFFF"
"goal_1_52",1,52,1500,500,0,0,,,11,0,0,,-1,,,,-1,8,,11,"0xFFFFFF"
"goal_1_53",1,53,2000,1000,0,0,,,11,0,0,,-1,,,,-1,9,,11,"0xFFFFFF"
"goal_5_0",5,0,0,40,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_1",5,1,40,50,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_2",5,2,90,60,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_3",5,3,150,70,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_4",5,4,220,80,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_5",5,5,300,90,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_6",5,6,390,100,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_7",5,7,490,110,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_8",5,8,600,120,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_9",5,9,720,130,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_10",5,10,850,140,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_11",5,11,990,150,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_12",5,12,1140,160,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_13",5,13,1300,170,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_14",5,14,1470,180,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_15",5,15,1650,190,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_16",5,16,1840,200,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_17",5,17,2040,210,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_18",5,18,2250,220,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_19",5,19,2470,230,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_20",5,20,2700,240,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_21",5,21,2940,250,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_22",5,22,3190,260,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_23",5,23,3450,270,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_24",5,24,3720,280,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_25",5,25,4000,290,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_26",5,26,4290,300,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_27",5,27,4590,310,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_28",5,28,4900,320,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_29",5,29,5220,330,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_30",5,30,5550,340,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_31",5,31,5890,350,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_32",5,32,6240,360,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_33",5,33,6600,370,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_34",5,34,6970,380,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_35",5,35,7350,390,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_36",5,36,7740,400,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_37",5,37,8140,410,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_38",5,38,8550,420,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_39",5,39,8970,430,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_40",5,40,9400,440,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_41",5,41,9840,450,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_42",5,42,10290,460,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_43",5,43,10750,470,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_44",5,44,11220,480,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_45",5,45,11700,490,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_46",5,46,12190,500,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_47",5,47,12690,510,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_48",5,48,13200,520,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_49",5,49,13720,530,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_50",5,50,14250,540,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_51",5,51,14790,550,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_52",5,52,15340,560,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_53",5,53,15900,570,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_54",5,54,16470,580,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_55",5,55,17050,590,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_56",5,56,17640,600,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_57",5,57,18240,610,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_58",5,58,18850,620,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_59",5,59,19470,630,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_60",5,60,20100,640,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_61",5,61,20740,650,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_62",5,62,21390,660,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_63",5,63,22050,670,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_64",5,64,22720,680,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_65",5,65,23400,690,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_66",5,66,24090,700,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_67",5,67,24790,710,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_68",5,68,25500,720,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_69",5,69,26220,730,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_70",5,70,26950,740,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_71",5,71,27690,750,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_72",5,72,28440,760,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_73",5,73,29200,770,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_74",5,74,29970,780,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_75",5,75,30750,790,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_76",5,76,31540,800,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_77",5,77,32340,810,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_78",5,78,33150,820,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_79",5,79,33970,830,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_80",5,80,34800,840,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_81",5,81,35640,850,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_82",5,82,36490,860,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_83",5,83,37350,870,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_84",5,84,38220,880,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_85",5,85,39100,890,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_86",5,86,39990,900,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_87",5,87,40890,910,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_88",5,88,41800,920,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_89",5,89,42720,930,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_90",5,90,43650,940,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_91",5,91,44590,950,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_92",5,92,45540,960,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_93",5,93,46500,970,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_94",5,94,47470,980,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_95",5,95,48450,990,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_96",5,96,49440,1000,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_97",5,97,50440,1010,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_98",5,98,51450,1020,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_99",5,99,52470,1030,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_100",5,100,53500,1040,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_101",5,101,54540,1050,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_102",5,102,55590,1060,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_103",5,103,56650,1070,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_104",5,104,57720,1080,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_105",5,105,58800,1090,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_106",5,106,59890,1100,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_107",5,107,60990,1110,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_108",5,108,62100,1120,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_109",5,109,63220,1130,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_110",5,110,64350,1140,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_111",5,111,65490,1150,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_112",5,112,66640,1160,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_113",5,113,67800,1170,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_114",5,114,68970,1180,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_115",5,115,70150,1190,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_116",5,116,71340,1200,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_117",5,117,72540,1210,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_118",5,118,73750,1220,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_119",5,119,74970,1230,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_120",5,120,76200,1240,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_121",5,121,77440,1250,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_122",5,122,78690,1260,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_123",5,123,79950,1270,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_124",5,124,81220,1280,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_125",5,125,82500,1290,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_126",5,126,83790,1300,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_127",5,127,85090,1310,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_128",5,128,86400,1320,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_129",5,129,87720,1330,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_130",5,130,89050,1340,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_131",5,131,90390,1350,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_132",5,132,91740,1360,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_133",5,133,93100,1370,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_134",5,134,94470,1380,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_135",5,135,95850,1390,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_136",5,136,97240,1400,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_137",5,137,98640,1410,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_138",5,138,100050,1420,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_139",5,139,101470,1430,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_140",5,140,102900,1440,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_141",5,141,104340,1450,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_142",5,142,105790,1460,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_143",5,143,107250,1470,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_144",5,144,108720,1480,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_145",5,145,110200,1490,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_146",5,146,111690,1500,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_147",5,147,113190,1510,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_148",5,148,114700,1520,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_149",5,149,116220,1530,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_150",5,150,117750,1540,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_151",5,151,119290,1550,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_152",5,152,120840,1560,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_153",5,153,122400,1570,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_154",5,154,123970,1580,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_155",5,155,125550,1590,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_156",5,156,127140,1600,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_157",5,157,128740,1610,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_158",5,158,130350,1620,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_159",5,159,131970,1630,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_160",5,160,133600,1640,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_161",5,161,135240,1650,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_162",5,162,136890,1660,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_163",5,163,138550,1670,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_164",5,164,140220,1680,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_165",5,165,141900,1690,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_166",5,166,143590,1700,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_167",5,167,145290,1710,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_168",5,168,147000,1720,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_169",5,169,148720,1730,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_170",5,170,150450,1740,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_171",5,171,152190,1750,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_172",5,172,153940,1760,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_173",5,173,155700,1770,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_174",5,174,157470,1780,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_175",5,175,159250,1790,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_176",5,176,161040,1800,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_177",5,177,162840,1810,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_178",5,178,164650,1820,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_179",5,179,166470,1830,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_180",5,180,168300,1840,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_181",5,181,170140,1850,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_182",5,182,171990,1860,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_183",5,183,173850,1870,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_184",5,184,175720,1880,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_185",5,185,177600,1890,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_186",5,186,179490,1900,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_187",5,187,181390,1910,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_188",5,188,183300,1920,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_189",5,189,185220,1930,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_190",5,190,187150,1940,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_191",5,191,189090,1950,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_192",5,192,191040,1960,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_193",5,193,193000,1970,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_194",5,194,194970,1980,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_195",5,195,196950,1990,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_196",5,196,198940,2000,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_197",5,197,200940,2010,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_198",5,198,202950,2020,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_199",5,199,204970,2030,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_200",5,200,207000,2040,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_201",5,201,209040,2050,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_202",5,202,211090,2060,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_203",5,203,213150,2070,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_204",5,204,215220,2080,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_205",5,205,217300,2090,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_206",5,206,219390,2100,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_207",5,207,221490,2110,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_208",5,208,223600,2120,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_209",5,209,225720,2130,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_210",5,210,227850,2140,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_211",5,211,229990,2150,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_212",5,212,232140,2160,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_213",5,213,234300,2170,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_214",5,214,236470,2180,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_215",5,215,238650,2190,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_216",5,216,240840,2200,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_217",5,217,243040,2210,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_218",5,218,245250,2220,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_219",5,219,247470,2230,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_220",5,220,249700,2240,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_221",5,221,251940,2250,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_222",5,222,254190,2260,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_223",5,223,256450,2270,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_224",5,224,258720,2280,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_225",5,225,261000,2290,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_226",5,226,263290,2300,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_227",5,227,265590,2310,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_228",5,228,267900,2320,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_229",5,229,270220,2330,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_230",5,230,272550,2340,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_231",5,231,274890,2350,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_232",5,232,277240,2360,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_233",5,233,279600,2370,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_234",5,234,281970,2380,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_235",5,235,284350,2390,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_236",5,236,286740,2400,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_237",5,237,289140,2410,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_238",5,238,291550,2420,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_239",5,239,293970,2430,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_240",5,240,296400,2440,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_241",5,241,298840,2450,0,0,,,11,0,0,,-1,,,,-1,,,,
"goal_5_242",5,242,301290,2460,0,0,,,11,0,0,,-1,,,,-1,,,,
