"TID","KR"
"TID_SHAMAN_ULTI_DESC","커다란 아기 곰을 소환해 적을 사냥합니다."
"TID_UNDERTAKER","모티스"
"TID_UNDERTAKER_DESC","전방으로 돌진하며 삽을 휘두릅니다. 특수 공격으로 박쥐 떼를 불러내 적에게 피해를 주고, 자기 자신의 HP를 회복합니다!"
"TID_UNDERTAKER_WEAPON","삽 스윙"
"TID_UNDERTAKER_WEAPON_DESC","전방으로 돌진하며 삽을 휘두릅니다. 잘못 맞으면 모티스가 처리해 줄 거예요."
"TID_UNDERTAKER_ULTI","피의 축제"
"TID_UNDERTAKER_ULTI_DESC","흡혈박쥐 떼를 불러내서 적의 HP를 흡수해 자신의 HP를 회복합니다. 으스스하네요!"
"TID_CROW","크로우"
"TID_CROW_DESC","독이 묻은 단검 세 개를 던집니다. 특수 공격으로 점프하고 착지할 때 여러 개의 단검을 던집니다!"
"TID_CROW_WEAPON","독 단검"
"TID_CROW_WEAPON_DESC","치명적인 단검 세 개를 던집니다. 독이 묻은 칼날에 베인 적은 일정 시간 동안 지속 피해를 받습니다."
"TID_CROW_ULTI","공중 단검 투척"
"TID_CROW_ULTI_DESC","하늘로 날아올라 착지 시 독이 묻은 여러 개의 단검을 주위에 흩뿌립니다."
"TID_DEAD_MARIACHI","포코"
"TID_DEAD_MARIACHI_DESC","적에게 음파를 쏴서 피해를 줍니다. 특수 공격으로 자기 자신과 팀원의 HP를 회복합니다!"
"TID_DEAD_MARIACHI_WEAPON","파워 코드"
"TID_DEAD_MARIACHI_WEAPON_DESC","기타를 연주해 영혼을 울리는 음파를 정면으로 내보내고, 음파에 맞은 적에게 피해를 줍니다."
"TID_DEAD_MARIACHI_ULTI","앙코르"
"TID_DEAD_MARIACHI_ULTI_DESC","경쾌한 멜로디를 연주하여 범위 안의 아군과 자신의 HP를 회복합니다. 적에게는 영향을 주지 않습니다."
"TID_BOW_DUDE","보"
"TID_BOW_DUDE_DESC","폭발 화살 세 발을 쏩니다. 특수 공격으로 지면에 폭발 지뢰를 숨겨 설치합니다!"
"TID_BOW_DUDE_WEAPON","독수리 화살"
"TID_BOW_DUDE_WEAPON_DESC","폭발하는 화살 세 발을 쏴 독수리의 발톱처럼 적들을 갈기갈기 찢습니다."
"TID_BOW_DUDE_ULTI","여우 사냥"
"TID_BOW_DUDE_ULTI_DESC","지면에 폭발 지뢰를 설치합니다. 적이 밟으면 잠시 후 지뢰가 폭발해 적을 뒤로 밀쳐내며 피해를 줍니다."
"TID_SNIPER","파이퍼"
"TID_SNIPER_DESC","우산으로 위장한 저격용 총으로 멀리 있는 적에게 더 큰 피해를 줍니다. 특수 공격으로 공중으로 점프하며 수류탄 세 개를 떨어뜨립니다!"
"TID_SNIPER_WEAPON","건브렐라"
"TID_SNIPER_WEAPON_DESC","우산으로 위장한 총으로 저격합니다. 적이 멀리 있을수록 더 큰 피해를 줍니다."
"TID_SNIPER_ULTI","팡팡팡"
"TID_SNIPER_ULTI_DESC","끈질기게 쫓아다니는 이들을 피해 수류탄 3개를 남기고 공중으로 우아하게 점프해 떠납니다."
"TID_MINIGUN_DUDE","팸"
"TID_MINIGUN_DUDE_DESC","고철 파편으로 적에게 피해를 줍니다. 특수 공격으로 힐링 터렛을 설치해 자신과 팀원의 HP를 회복합니다!"
"TID_MINIGUN_DUDE_WEAPON","메탈스톰"
"TID_MINIGUN_DUDE_WEAPON_DESC","넓은 범위에 대량의 고철 파편을 발사합니다. 위험하니 안전 고글은 필수입니다!"
"TID_MINIGUN_DUDE_ULTI","엄마의 뽀뽀"
"TID_MINIGUN_DUDE_ULTI_DESC","힐링 터렛으로 자기 자신과 범위 내 팀원의 HP를 회복합니다."
"TID_BONE_THROWER","미니거너"
"TID_BONE_THROWER_DESC","거대한 기관총을 자유자재로 다룹니다. 거의 모든 나쁜 녀석들을 무찌릅니다. 이동 속도는 느리지만 뒤로 밀려나지 않습니다."
"TID_BONE_THROWER_WEAPON","미니건"
"TID_BONE_THROWER_WEAPON_DESC","미니거너는 기관총을 자유자재로 다룹니다. 심지어 자동 사격을 하며 이동할 수도 있습니다!"
"TID_BONE_THROWER_ULTI","밴드 디스펜서"
"TID_BONE_THROWER_ULTI_DESC","치열한 총격전에서 부상을 입을 수 있습니다. 밴드 디스펜서로 전체 팀의 전투 상태를 최상으로 유지하세요!"
"TID_BLACK_HOLE","타라"
"TID_BLACK_HOLE_DESC","적을 관통하는 타로 카드 3장을 날립니다. 특수 공격으로 중력장을 생성해 가까이 있는 적을 끌어들여 피해를 줍니다!"
"TID_BLACK_HOLE_WEAPON","트리플 타로"
"TID_BLACK_HOLE_WEAPON_DESC","타라가 손목을 한번 까딱해 적을 관통하는 타로 카드 3장을 날립니다! 엄청난 기술이죠!"
"TID_BLACK_HOLE_ULTI","중력장"
"TID_BLACK_HOLE_ULTI_DESC","상상을 초월하는 중력장을 만들어 냅니다! 중력장 안으로 빨려 들어간 적들은 서로 부딪히며 피해를 받습니다."
"TID_TURRET_DAMAGE","터렛 피해량"
"TID_TURRET_HEALTH","터렛 HP"
"TID_STAT_DAMAGE_PER_SECOND","초당 피해량"
"TID_STAT_DAMAGE_PER_SECOND_EACH","초당 피해량"
"TID_STAT_DAMAGE_PER_STRIKE","펀치당 피해량"
"TID_ROBOT","강철 보안관"
"TID_ROBOT_DESC","파괴 임무를 명 받았습니다!"
"TID_ROBOT_WEAPON","로켓 저격"
"TID_ROBOT_WEAPON_DESC","강철 보안관은 엄청난 거리에서 기계 같은 정확성으로 폭발성 로켓을 발사합니다."
"TID_ROBOT_ULTI","군중 제어"
"TID_ROBOT_ULTI_DESC","강철 보안관이 특단의 조치로 야단법석 제멋대로 행동하는 군중에게 대량의 로켓을 퍼붓습니다."
"TID_ARMOR_STAT","HP"
"TID_HEALTH","HP"
"TID_STAT_GRENADE_DAMAGE","수류탄당 피해량"
"TID_STAT_MISSILE_DAMAGE","로켓당 피해량"
"TID_STAT_HEALTH","HP"
"TID_STAT_SPEED","속도"
"TID_STAT_DAMAGE","피해량"
"TID_STAT_DAMAGE_PER_SHOT","탄당 피해량"
"TID_STAT_DAMAGE_PER_SHELL","탄당 피해량"
"TID_STAT_HAMMER_DAMAGE","0.2초마다 피해"
"TID_BATTLE","플레이"
"TID_QUIT","나가기"
"TID_MATCHMAKING_QUIT","종료"
"TID_MATCHMAKING_HEADING","플레이어 찾는 중"
"TID_MATCHMAKING_TIME_LABEL","게임 시작까지:"
"TID_MATCHMAKING_PLAYERS","찾은 플레이어: <x>/<y>"
"TID_BUTTON_CANCEL","취소"
"TID_BUTTON_OK","확인"
"TID_ENTER_NAME_TITLE","브롤스타즈에 오신 걸 환영합니다!"
"TID_ENTER_NAME_BODY","이름이 무엇인가요?"
"TID_TIME_DAYS","일"
"TID_TIME_HOURS","시간"
"TID_TIME_MINS","분"
"TID_TIME_SECS","초"
"TID_MATCHMAKING_TIME","시작 시간: <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","연동됨"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","연동하기"
"TID_SUPERCELL_ID_LOGIN_BUTTON","로그인"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","없이 플레이"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","XP 레벨이 <number>인 다른 게임 진행 상황을 불러올까요? Supercell ID로 로그인해서 불러오세요!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","오류!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","클라이언트와 서버가 동기화되지 않았습니다!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","다시 불러오기"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","연결 오류"
"TID_ERROR_POP_UP_CONNECTION_FAILED","서버에 연결할 수 없습니다. 인터넷 연결을 확인하고 다시 시도해 주세요."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","다시 시도"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","로그인 실패"
"TID_ERROR_POP_UP_LOGIN_FAILED","나중에 다시 시도해 주세요."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","다시 시도"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","연결 해제"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","아래 버튼을 누르면 게임을 다시 불러옵니다."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","다시 불러오기"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","업데이트가 있습니다!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","새로운 버전이 출시되었습니다. 게임을 업데이트하세요!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","업데이트"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","서버 점검"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","죄송합니다. 현재 서버 점검 중입니다. 잠시 후 다시 시도해 주세요."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","다시 시도"
"TID_ERROR_POP_UP_BANNED_TITLE","계정이 차단되었습니다!"
"TID_ERROR_POP_UP_BANNED","계정이 일시적으로 차단되었습니다!"
"TID_ERROR_POP_UP_BANNED_BUTTON","확인"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","고객 지원 문의"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","추가 정보"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","중요 공지"
"TID_INFO_POP_UP_IAP_NOTE","브롤스타즈는 무료 게임이지만 인앱 구매를 통해 게임을 더 빠르게 진행할 수 있습니다. 인앱 구매는 기기 설정에서 차단할 수 있습니다. 확인을 누르면 이용 약관과 개인정보 보호정책에 동의하게 됩니다."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","확인"
"TID_SERVER_ERROR_TITLE","서버 오류 <number>"
"TID_SERVER_ERROR","전투 중 연결이 끊어졌습니다."
"TID_SERVER_ERROR_BUTTON","확인"
"TID_COME_BACK_NOTIFICATION_SMALL","전투 한판 어때요?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","전투 한판 어때요?"
"TID_COME_BACK_NOTIFICATION_LARGE","전투 한판 어때요?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","연결 실패"
"TID_ERROR_POP_UP_CONNECTION_LOST","다시 로그인해주세요!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","로그인 재시도"
"TID_TROPHIES","트로피"
"TID_PRACTICE","연습"
"TID_READY","준비"
"TID_BATTLE_END_TITLE_VICTORY","승리"
"TID_BATTLE_END_TITLE_DEFEAT","패배"
"TID_BATTLE_END_TITLE_DRAW","무승부"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","생존 시간: <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","1위 달성!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","<RANK>위"
"TID_BATTLE_END_TVST_DRAW_DESC","양쪽 팀이 모은 보석 수가 같아, 게임이 무승부로 종료되었습니다!"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","빅 브롤러 처치 시간: <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","생존 시간: <TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","도전: <LEVEL> 완료!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","패배"
"TID_BATTLE_END_RETURN_HOME","나가기"
"TID_BATTLE_END_NEXT","다음"
"TID_BATTLE_END_TAP","탭해서 계속 진행"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","연습 모드에서는 트로피를 획득하지 않습니다!"
"TID_BATTLE_END_XP_CAPPED","오늘 모을 수 있는 XP를 모두 획득했습니다!"
"TID_BATTLE_END_PLAY_AGAIN","다시 플레이"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","취소"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> 님이 팀에 참가했습니다."
"TID_RESPAWNING","부활:\n<n1>"
"TID_TEAMS_POPUP_TITLE","팀"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","클럽 및 친구 팀"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","클럽에 가입해 진행 중인 게임을 확인하세요!"
"TID_TEAMS_POPUP_SEARCH","코드로 참가"
"TID_TEAMS_POPUP_CREATE","팀 생성"
"TID_TEAM_SEARCH_POPUP_TITLE","코드로 팀 참가"
"TID_TEAM_SEARCH_POPUP_SEARCH","참가"
"TID_TEAM_JOIN_ROOM_CODE","팀 코드를 이곳에 입력하세요."
"TID_TEAM_CHANGE_MAP","변경"
"TID_TEAM_TYPE_INFO_0","경쟁전"
"TID_TEAM_TYPE_INFO_1","친선전"
"TID_TEAM_TYPE_INFO_2","티켓 이벤트"
"TID_TEAM_MEMBER_LEFT_0","팀을 나갔습니다."
"TID_TEAM_MEMBER_LEFT_1","팀에서 추방되었습니다."
"TID_TEAM_MEMBER_LEFT_2","이벤트가 만료되어 팀이 해체되었습니다."
"TID_TEAM_MEMBER_LEFT_3","팀 생성자가 팀을 나가서 팀이 해체되었습니다."
"TID_TEAM_GAME_STARTING","게임 시작"
"TID_TEAM_CODE_COPIED","코드가 클립보드에 복사되었습니다!"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>초대 보류</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>거절</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>대상 오프라인</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","탭해서 취소"
"TID_TEAM_ERROR_1","팀 서버 오류"
"TID_TEAM_ERROR_2","팀 참가 실패: 팀이 가득 찼습니다."
"TID_TEAM_ERROR_3","팀 참가 실패: 팀이 이미 해체되었습니다."
"TID_TEAM_ERROR_5","잘못된 팀 코드입니다.\n올바른 코드인지 확인해 주세요."
"TID_TEAM_ERROR_6","해당 코드의 팀을 찾을 수 없습니다."
"TID_TEAM_ERROR_7","팀 참가 실패: 추방되었던 팀에는 참가할 수 없습니다."
"TID_TEAM_ERROR_8","팀 설정을 확인해주세요. 한 팀에는 3인 이상 참가할 수 없습니다."
"TID_TEAM_ERROR_10","팀 생성 실패: 이미 다른 팀에 있습니다."
"TID_TEAM_ERROR_11","팀 생성 실패: 이벤트가 만료되었습니다."
"TID_TEAM_ERROR_12","팀 참가 실패: 해당 팀은 만료되었습니다."
"TID_TEAM_ERROR_14","팀 생성 실패: 해당 이벤트는 팀으로 플레이할 수 없습니다."
"TID_TEAM_ERROR_15","팀 참가 실패: 같은 지역에 있는 팀이 아닙니다."
"TID_TEAM_ERROR_17","게임 시작 실패: 브롤러를 중복으로 사용할 수 없습니다."
"TID_TEAM_ERROR_18","게임 시작 실패: 게임이 곧 점검에 들어갑니다."
"TID_TEAM_ERROR_19","팀 생성자가 온라인일 때는 추방할 수 없습니다."
"TID_TEAM_ERROR_20","맵 변경 실패: 플레이어가 너무 많습니다."
"TID_TEAM_ERROR_21","게임 시작 실패: 티켓이 부족합니다."
"TID_TEAM_ERROR_22","맵 변경 불가: 플레이어가 너무 많습니다."
"TID_TEAM_ERROR_24","초대 실패: 친구를 찾을 수 없습니다."
"TID_TEAM_ERROR_25","초대 실패: 팀이 가득 찼습니다."
"TID_TEAM_ERROR_26","초대가 거절되었습니다."
"TID_TEAM_ERROR_27","초대 실패: 해당 플레이어는 팀 초대를 받고 있지 않습니다."
"TID_TEAM_ERROR_28","초대 실패: 플레이어가 오프라인 상태입니다."
"TID_TEAM_ERROR_29","초대 실패: 다른 팀에 참가한 플레이어입니다."
