"TID","FI"
"TID_PURCHASE_BRAWL_PASS_TITLE","HANKI BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWL PASS -PAKETTI"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Avaa Brawl Pass -palkintoja ja lisätehtäviä"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","Brawl Pass + <NUM> tasoa"
"TID_UNDERDOG","ALTAVASTAAJA"
"TID_ACCESSORY","VARUSTE"
"TID_BATTLE_END_COIN_SHOWER","KOLIKKOKUURO-\nTAPAHTUMA"
"TID_LFG_POPUP_TITLE_MEMBER","ETSI JÄSENTÄ"
"TID_LFG_POPUP_TITLE_TEAM","ETSI JOUKKUETTA"
"TID_LFG_POPUP_INFO_MEMBER","Etsi pelaajia, jotka haluavat perustaa joukkueen kanssasi."
"TID_LFG_POPUP_INFO_TEAM","Etsi jäsentä nykyiseen joukkueeseesi."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Tapahtuman edellytykset (vaihda napauttamalla)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Haluan pelata (vaihda napauttamalla):"
"TID_LFG_POPUP_START_SEARCH","OK!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Tämä pelitila ei tue enempää pelaajia."
"TID_LOOKING_FOR_A_TEAM","ETSIN JOUKKUETTA"
"TID_LOOKING_FOR_A_MEMBER","ETSIMME JÄSENTÄ"
"TID_CC_TEASER_TITLE","Tulossa pian!"
"TID_CC_TEASER_INFO","Valmistaudu <WIN> voiton mestaruushaasteeseen!\n\nParanna mahdollisuuksiasi pelaamalla kavereidesi kanssa tai käyttämällä Etsin joukkuetta -toimintoa.\n\nHaaste on saatavilla vain <DURATION> tuntia, joten älä aikaile!"
"TID_CC_POPUP_TITLE","MESTARUUSHAASTE"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","Ansaitse mahtavia palkintoja joka voitolla! Suoritat haasteen <WINS> voitolla, kun taas <LOSSES> häviöllä putoat pelistä."
"TID_CC_POPUP_1_DESC","Ansaitse mahtavia palkintoja joka voitolla! Suoritat Cupin <WINS> voitolla, kun taas <LOSSES> häviöllä putoat pelistä."
"TID_CC_POPUP_WINS","VOITOT: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","VAIHE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","NELJÄNNESFINAALIT"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINAALIT"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINAALI"
"TID_CC_POPUP_QUALIFY_INFO","Suorita haaste, niin pääset Brawl Stars -mestaruuskisan seuraavaan vaiheeseen!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Voita PSG-Shelly-asu suoriutumalla haasteesta!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Haaste suoritettu!"
"TID_CC_POPUP_CHALLENGE_OVER","HAASTE OHI"
"TID_CC_POPUP_OUT_OF_LIVES","KAIKKI YRITYKSET KÄYTETTY"
"TID_CC_POPUP_BUY_LIVES","OSTETAANKO <NUM> LISÄÄ?"
"TID_CC_POPUP_COMPLETED","HAASTE SUORITETTU"
"TID_CC_POPUP_LEVEL","VAIHE <LEVEL>"
"TID_CC_POPUP_WIN","VOITTO"
"TID_CC_POPUP_LOSSES","HÄVIÖT"
"TID_QUALIFIED_TITLE","Online-karsinta AVATTU!"
"TID_QUALIFIED_INFO","Selvisit mestaruushaasteesta, vau! Huippua!\n\nJatka matkaasi kohti Brawl Stars -mestaruutta menemällä osoitteeseen <cFFE400><URL></c>."
"TID_QUALIFIED_INFO_HUB","Selvisit mestaruushaasteesta, vau! Mahtavaa!\n\nJatka matkaasi Brawl Stars -mestaruuskisassa menemällä aloitusnäytön uuteen e-urheiluosioon!"
"TID_QUALIFIED_INFO_PSG","Onnea PSG CUP -voitosta! Sait PSG-Shelly-asun!"
"TID_QUALIFIED_GO","OK!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","MESTARUUS-\nHAASTE"
"TID_BATTLE_END_CC_WIN_LABEL","PALKINTO <AMOUNT>. VOITOSTA"
"TID_BATTLE_END_CC_DEFEAT_0","Haaste päättyi.\nParempi onni ensi kerralla!"
"TID_BATTLE_END_CC_DEFEAT_1","Pelisi päättyy seuraavaan häviöön. Älä luovuta!"
"TID_BATTLE_END_CC_DEFEAT_2","Hävisit tällä kertaa, mutta voit jatkaa vielä!"
"TID_BATTLE_END_CC_DRAW_DESC","Tavoittele voittoa pelaamalla uudelleen!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","PÄÄSIT JATKOON!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Onnea! Pääsit Brawl Stars -mestaruuskisan toiseen vaiheeseen.\nKatso lisätietoja pelin Viestit-kansiosta."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","TÄHTITAISTELULIIGAN palkinnot"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Loppupisteiden mukaan\nmääräytyvä palkinto"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Sijoitus"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Pisteet"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Lisäpalkinto maailmanlaajuisen\npistetaulukon kärkeen pääsystä"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","TÄHTITAISTELULIIGAN PÄÄTÖSPALKINNOT"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","PISTETAULUKKO"
"TID_PRO_LEAGUE_SEASON_END_TIME","LIIGAN PÄÄTTYMISEEN"
"TID_PRO_LEAGUE_POPUP_TITLE","TÄHTITAISTELU"
"TID_EVENT_LABEL_PRO_LEAGUE","TÄHTI-\nTAISTELU"
"TID_PRO_LEAGUE_POPUP_INFO","Testaa taitosi tähtitaistelussa! Kilpaile kolmessa päivittäisessä ottelussa ja koeta kurkottaa liigan pistetaulukon kärkeen. Kun liigakausi päättyy, saat tähtipisteitä keräämiesi pisteiden ja maailmanlaajuisen pistetaulukon sijoituksesi mukaan."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","NYKYINEN LIIGA"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","EDELLINEN LIIGA"
"TID_PRO_LEAGUE_LABEL","TÄHTITAISTELU"
"TID_TEAM_ERROR_38","Valitse tehotason 10 rämäpää!"
"TID_TEAM_ERROR_39","Tähtitaistelupelejä ei ole enää jäljellä tänään."
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> OTTELUA JÄLJELLÄ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","TÄHTITAISTELULIIGA PÄÄTTYI"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Pisteesi"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Sijoituksesi"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Tähtipistepalkinto"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","TÄHTITAISTELUPALKINTO: Ansaitsit <AMOUNT> <cff00ff>tähtipistettä</c>!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Eeppinen voitto (3 lisäpistettä):"
"TID_OVERWHELMING_VICTORY_GMV_0","Voita ennen 15. jalokiven ilmestymistä."
"TID_OVERWHELMING_VICTORY_GMV_5","Voita 2-0."
"TID_OVERWHELMING_VICTORY_GMV_2","Voita niin, että kassakaapissanne on ainakin 60 % elinvoimaa jäljellä."
"TID_OVERWHELMING_VICTORY_GMV_11","Voita niin, että tukikohdassanne on ainakin 80 % elinvoimaa jäljellä."
"TID_OVERWHELMING_VICTORY_GMV_3","Voita vähintään 10 tähden ylivoimalla."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Ansaitse pisteitä ottelusijoituksesi mukaan."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Ansaitse 30 pistettä voitosta, 15 tasapelistä ja lohdutuspalkinnoksi 5 tappiosta."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PISTEET"
"TID_DOUBLE_TOKEN_WEEKEND","TUPLAPOLETTITAPAHTUMA"
"TID_COIN_SHOWER_EVENT","KOLIKKOKUUROTAPAHTUMA"
"TID_RANKS_ADDED_TITLE","Rämäpäiden uudet arvot"
"TID_RANKS_ADDED_DESC","Olemme lisänneet rämäpäiden arvoasteikolle arvot 21-35.\n\nOlet saanut <cff00ff><STARPOINTS></c> tähtipistettä ja <TOKENS> polettia rämäpäistä, jotka ovat jo saavuttaneet nämä arvot."
"TID_SKINS_TITLE","ASUT"
"TID_SKINS_BUTTON_LABEL","ASUT"
"TID_SKIN_PREVIEW","ASUN ESIKATSELU"
"TID_DEFAULT_SKIN","RÄMÄPÄÄN <HERO> OLETUSASU"
"TID_HERO_LVL_UP_MATERIAL","kolikkoa"
"TID_TOKENS","polettia"
"TID_FIRST_WINS","tähtipolettia"
"TID_BUTTON_INBOX","VIESTIT"
"TID_INBOX_TITLE","VIESTIT"
"TID_INBOX_SYSTEM_SENDER","Järjestelmä"
"TID_INBOX_SUPPORT_SENDER","Brawl Stars -tuki"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> sitten"
"TID_INBOX_CLAIM","LUNASTA"
"TID_INBOX_VIEW","KATSO"
"TID_INBOX_TAB_0","JENGIPOSTI"
"TID_INBOX_TAB_1","OMA POSTI"
"TID_INBOX_NO_ENTRIES","EI TIETOJA"
"TID_INBOX_CAPTION_99","Pokaaliliiga on päättynyt"
"TID_INBOX_CAPTION_94","Asulahja: <NAME>"
"TID_INBOX_CAPTION_93","Rämäpäälahja: <NAME>"
"TID_INBOX_CAPTION_92","Lahja: <AMOUNT> tehopistettä rämäpäälle <NAME>"
"TID_INBOX_CAPTION_91","Lahja: <AMOUNT> lippua"
"TID_INBOX_CAPTION_90","Lahja: <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Lahja: <AMOUNT> jalokiveä"
"TID_INBOX_CAPTION_88","Lahja: <AMOUNT> poletintuplaajaa"
"TID_INBOX_CAPTION_85","<AMOUNT> jalokiven poisto"
"TID_INBOX_CAPTION_84_4","Lahja: tähtivoima (<ABI>) rämäpäälle <NAME>"
"TID_INBOX_CAPTION_84_5","Lahja: varuste (<ABI>) rämäpäälle <NAME>"
"TID_INBOX_CAPTION_78","Rämäpäiden arvoasteikossa nyt myös tasot 21-30!"
"TID_INBOX_CAPTION_76","Online-karsinta AVATTU!"
"TID_INBOX_CAPTION_75","Palkinto voitosta (<CHALLENGE>):\n<NAME>"
"TID_INBOX_CAPTION_74","Lippuhyvitys"
"TID_INBOX_CAPTION_73","LAHJA: BRAWL PASS"
"TID_INBOX_CAPTION_72_52","LAHJA: MERKKI"
"TID_INBOX_CAPTION_71","LAHJA: <AMOUNT> POLETTIA BRAWL PASS -KAUDELLE <SEASON>"
"TID_INBOX_CAPTION_70","Palkinto voitosta (<CHALLENGE>):"
"TID_INBOX_CAPTION_64","Lahja: <AMOUNT> x <NAME>"
"TID_INBOX_NEW","UUSI!"
"TID_BAND_MAIL_POPUP_TITLE","JENGIPOSTI"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Kirjoita viestisi tähän..."
"TID_BAND_MAIL_POPUP_POST","LÄHETÄ"
"TID_BAND_MAIL_POPUP_NO_MSG","Kirjoita ensin viesti."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Tätä toimintoa ei voi käyttää demotilillä."
"TID_REVOKE_TITLE","Viesti pelaajatuelta"
"TID_REVOKE_OK","Selvä"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Liittymispyyntöä ei voi lähettää. Olet jo joukkueessa."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Liittymispyyntöä ei voi lähettää. Joukkuekutsu odottamassa."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Liittymispyyntöä ei voi lähettää. Sinulla on liittymispyyntö odottamassa."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Liittymispyyntö peruttu."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","HALUAISIN LIITTYÄ JOUKKUEESEENNE"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VOITTO</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>TAPPIO</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>TASAPELI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_AGE","<TIME> sitten"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","Taso"
"TID_BATTLE_LOG_TVST_VERSUS","vs"
"TID_BATTLE_LOG_TITLE","OTTELULOKI"
"TID_BATTLE_LOG_REPLAY","KATSELE"
"TID_BATTLE_LOG_MVP","TÄHTIPELAAJA"
"TID_BATTLE_LOG_FRIENDLY","YSTÄVYYSOTTELU"
"TID_BATTLE_LOG_TOURNAMENT","TURNAUS"
"TID_BATTLE_LOG_PVP","SIJOITUSOTTELU"
"TID_BATTLE_LOG_PRO_LEAGUE","TÄHTITAISTELU"
"TID_BATTLE_LOG_RANKED","TÄHTILIIGA"
"TID_BATTLE_LOG_NO_ENTRIES","EI TIETOJA"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Tämä on robotti."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Uusinnat tällä hetkellä poissa käytöstä"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Uusinta ei ole vielä saatavilla."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Ei uusintaa: rämäpäällä ei ole tarpeeksi pokaaleja."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Uusinnat avautuvat, kun rämäpäälläsi on <NUM> pokaalia."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Ei uusintaa: tallennus epäonnistui."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Uusinta ei ole enää saatavilla."
"TID_PLAYER_XP_LEVEL","TASO"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Kaverin lisääminen epäonnistui."
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Kaverilinkki on vanhentunut!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Kaverin lisääminen epäonnistui. Hänen kaverilistansa on täynnä!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Kaverin lisääminen epäonnistui. Kaverilistasi on jo täynnä!"
"TID_ADD_FRIEND_FAILED_BANNED","Kaverin lisääminen epäonnistui. Pelaaja on estetty!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> jäljellä"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> polettia ajassa <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Seuraava palkinto"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Vahvista vaihtoehtoinen palkinto"
"TID_RANK_UP_REWARD_REPLACED_POWER","Yksikään rämäpäistäsi ei voi saada <AMOUNT> tehopistettä.\n\nHaluatko sen sijaan vaihtoehtoisen palkinnon?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Koska sinulla on jo <NAME>, sinulle annetaan vaihtoehtoinen palkinto."
"TID_RANK_UP_REWARD_REPLACED_PIN","Koska sinulla on jo tämä merkki, sinulle annetaan vaihtoehtoinen palkinto."
"TID_RANK_UP_REWARD_REPLACED_SKIN","Koska sinulla on jo <NAME>, sinulle annetaan vaihtoehtoinen palkinto."
"TID_RANK_UP_REWARD_REPLACED_GEN","Koska sinulla on jo tämä palkinto, sinulle annetaan vaihtoehtoinen palkinto."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","LÄHETÄ KAVERIPYYNTÖ"
"TID_PLAYER_INFO_REMOVE_FRIEND","POISTA KAVERILISTALTA"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","KAVERIPYYNTÖ LÄHETETTY"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","PELINSISÄINEN\nKAVERI"
"TID_POWER_POINTS","TEHOPISTEITÄ"
"TID_HERO_INFO_LEVEL","TEHO"
"TID_HERO_INFO_LEVEL_LONG","TEHOTASO"
"TID_HERO_INFO_RANK","ARVO"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","PÄIVITÄ TEHOTASOLLE <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","VAHVISTA NAPAUTTAMALLA UUDELLEEN"
"TID_HERO_INFO_MAX_LEVEL","YLIN TEHOTASO"
"TID_HERO_INFO_MORE_POWER_NEEDED","Kerää lisää tehopisteitä päivittääksesi!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Rämäpäällä ei ole tarpeeksi tehopisteitä."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Tarvitset enemmän kolikoita!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Rämäpää on jo korkeimmalla tehotasollaan!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ENSIMMÄINEN RÄMÄPÄÄ"
"TID_HERO_INFO_STAR_POWER_EQUIP","VALITSE"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","VALITTU"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pelaaja ilmiannettu!"
"TID_TOO_MANY_REPORTS_SENT","Päivittäinen ilmiantorajasi on tullut täyteen."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Odota ennen uuden ilmiannon lähettämistä."
"TID_CHOOSE_CHARACTER","VALITSE RÄMÄPÄÄ"
"TID_ARMOR","ELINVOIMA"
"TID_ARMOR_DESC","Kertoo, paljonko pitkäkestoista vahinkoa rämäpää kestää."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shellyn haulikko täräyttää järeitä hauleja laajalle alueelle. Hänen supervoimansa kaataa seiniä ja pitää vastustajat loitolla!"
"TID_LONG_RANGE_SHOTGUN","JÄREÄT HAULIT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shellyn tuliluikku laukoo keskipitkän kantaman ammuksia leveälle alueelle. Mitä enemmän osumia, sitä enemmän tuhoa."
"TID_MEGA_BLASH_ULTI","SUPERPANOS"
"TID_MEGA_BLASH_ULTI_DESC","Shellyn superpanos tuhoaa sekä suojia että vastustajia. Selviytyjät pysykööt loitolla."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt ampuu kaksi tarkkaa luotiryöppyä kahdella revolverillaan. Hänen supervoimansa saa luodit lentämään laajemmalle ja silppuaa suojapaikat."
"TID_RAPID_FIRE","SARJALAUKAUS"
"TID_RAPID_FIRE_DESC","Colt ampuu revolvereistaan kuusi suoraa pitkän kantaman laukausta."
"TID_RAPID_FIRE_ULTI","LUOTISADE"
"TID_RAPID_FIRE_ULTI_DESC","Colt laskee matkaan valtavia luotiryöppyjä, jotka ulottuvat erikoispitkälle ja tuhoavat suojapaikkoja."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bullin haulikko tekee valtavaa tuhoa lähietäisyydeltä. Supervoima saa hänet rynnimään seinienkin läpi ja tyrmäämään vastustajia."
"TID_SHOTGUN_BLAST","KAKSOISPIIPPU"
"TID_SHOTGUN_BLAST_DESC","Bullin kaksipiippuinen haulikko levittää raskasta tuhoa. Sen kantama on lyhyt, joten Bull tulee mielellään lähietäisyydelle."
"TID_CHARGE","HÄRÄN HYÖKKÄYS"
"TID_CHARGE_DESC","Bull ottaa hyökkäysasennon ja raivaa tiensä vastustajien ja esteiden läpi. Hän on aina ollut kovapäistä sorttia!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock tulittaa vastustajiaan räjähtävillä pitkän kantaman raketeilla. Hänen superhyökkäyksensä on raju rakettikeskitys, joka tuhoaa suojapaikkoja."
"TID_FIREWORKS_WEAPON","ROKKIRAKETTI"
"TID_FIREWORKS_WEAPON_DESC","Brockin rokkiraketti lentää pitkälle ja todellakin soi mennessään."
"TID_FIREWORKS_ULTI","RAKETTIKUURO"
"TID_FIREWORKS_ULTI_DESC","Brock tulittaa rakettiryöpyn, joka kaataa vastustajia ja esteitä. Oletko nähnyt Brockin jammailevan? Se on sadetanssi, joka tietää rakettikuuroa."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike viskaa kaksi räjähtävää dynamiittipötköä. Hänen superhyökkäyksensä on kokonainen dynamiittitynnyri, joka tuhoaa suojapaikkoja."
"TID_MORTAR","SYTYTYSLANKA"
"TID_MORTAR_DESC","Mike heittää kaksi dynamiittipötköä, jotka kiitävät vaivatta yli esteiden. Sytytyslangat ovat yhtä lyhyet kuin Miken pinna, kun hän hermostuu!"
"TID_MORTAR_ULTI","ISO PAMAUS"
"TID_MORTAR_ULTI_DESC","Kookas dynamiittitynnyri räjäyttää piilopaikat taivaan tuuliin. Pamauksesta selvinneet vastustajat lentävät kauemmas!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo lataa ryöpyn nyrkiniskuja vastustajaansa. Hänen supervoimansa on tuhoisa loikalla vauhditettu kyynärisku."
"TID_LUCHADOR_WEAPON","RAIVONYRKIT"
"TID_LUCHADOR_WEAPON_DESC","El Primo nakuttaa menemään neljä napakkaa nyrkiniskua. Siinä vasta tulinen pikku rystyburrito!"
"TID_LUCHADOR_ULTI","LENTÄVÄ KYYNÄRISKU"
"TID_LUCHADOR_ULTI_DESC","El Primo loikkaa korkeuksiin ja pudottaa galaktisen kyynärpäänsä, joka tyrmää lähistöllä olevia vastustajia ja tuhoaa suojapaikkoja."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico ampuu ryöpyn luoteja, jotka kimpoavat seinistä. Superillaan hän tulittaa järeän annoksen pomppivia ammuksia, jotka lävistävät kohteensa."
"TID_TRICKSHOT_DUDE_WEAPON","POMPPUPANOKSET"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricon luodit saavat lisää kantamaa pomppaamalla seinistä ja voivat osua suojien takana piileskeleviin vastustajiinkin."
"TID_TRICKSHOT_DUDE_ULTI","TAITOLAUKAUS"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico tulittaa pitkän luotiryöpyn, joka läpäisee vastustajia ja pomppaa seinistä saaden näin lisää kantamaa."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike heittelee kaktuskranaatteja, joista sinkoutuu piikkejä. Spiken supervoima on pisteliäällä asenteella kylvetty piikkikenttä, joka hidastaa ja vahingoittaa vastustajia."
"TID_CACTUS_WEAPON","KAKTUSKRANAATTI"
"TID_CACTUS_WEAPON_DESC","Spike sinkoaa matkaan pienen kaktuksen, joka räjähtää ja ampuu piikkejä sinne sun tänne."
"TID_CACTUS_ULTI","PIIKKIMATTO"
"TID_CACTUS_ULTI_DESC","Spike sinkoaa piikikkään kranaatin. Räjähdysalueella olevat vastustajat vahingoittuvat ja hidastuvat."
"TID_BARKEEP","BARLEY"
