TID,PL
TID_LFG_POPUP_TITLE_TEAM,ZNAJDŹ DRUŻYNĘ
TID_LFG_POPUP_INFO_MEMBER,"Znajdź graczy, z którymi stworzysz drużynę"
TID_LFG_POPUP_INFO_TEAM,"Znajdź gracza, którego dołączysz do obecnej drużyny"
TID_LFG_POPUP_EVENT_LABEL_MEMBER,"Kryteria wydarzenia (stuknij, by zmienić)"
TID_LFG_POPUP_EVENT_LABEL_TEAM,"Chcę zagrać (stuknij, by zmienić)"
TID_LFG_POPUP_START_SEARCH,RUSZAJ!
TID_LFG_NO_ROOM_FOR_PLAYERS,Ten tryb gry nie obsługuje większej liczby graczy
TID_LOOKING_FOR_A_TEAM,SZUKANIE DRUŻYNY
TID_LOOKING_FOR_A_MEMBER,SZUKANIE CZŁONKA
TID_CC_TEASER_TITLE,Już wkrótce!
TID_CC_TEASER_INFO,"Przygotuj się na <WIN>-rundowe Wyzwanie Mistrzowskie!\n\nZagraj ze znajomymi albo użyj funkcji \qSzukanie drużyny\q, by zwiększyć swoje szanse.\n\nWyzwanie trwa tylko <DURATION> godz., więc nie trać czasu!"
TID_CC_POPUP_TITLE,WYZWANIE MISTRZOWSKIE
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,"Zdobywaj wspaniałe nagrody za każdą wygraną! <WINS> - tyle wygranych wystarczy, by zaliczyć wyzwanie, ale po <LOSSES> porażkach wypadasz z gry!"
TID_CC_POPUP_1_DESC,"Zdobywaj wspaniałe nagrody za każdą wygraną! <WINS> - tyle wygranych wystarczy, by zdobyć puchar, ale po <LOSSES> porażkach wypadasz z gry!"
TID_CC_POPUP_WINS,ZWYCIĘSTWA: <WINS>/<MAX>
TID_CC_POPUP_WINS_FOR_EVENT,ETAP <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,ĆWIERĆFINAŁ
TID_POPUP_WINS_FOR_EVENT_PSG_2,PÓŁFINAŁ
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINAŁ
TID_CC_POPUP_QUALIFY_INFO,"Zalicz wyzwanie, aby przejść do następnego etapu w Mistrzostwach Brawl Stars!"
TID_CC_POPUP_QUALIFY_INFO_PSG,"Przejdź wyzwanie, aby zdobyć przebranie PSG Shelly!"
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Ukończono wyzwanie!
TID_CC_POPUP_CHALLENGE_OVER,WYZWANIE ZAKOŃCZONE
TID_CC_POPUP_OUT_OF_LIVES,WYCZERPANO LIMIT PRÓB
TID_CC_POPUP_BUY_LIVES,DOKUPIĆ <NUM>?
TID_CC_POPUP_COMPLETED,UKOŃCZONO WYZWANIE
TID_CC_POPUP_LEVEL,ETAP <LEVEL>
TID_CC_POPUP_WIN,WYGRANE
TID_CC_POPUP_LOSSES,PORAŻKI
TID_QUALIFIED_TITLE,ODBLOKOWANO kwalifikacje online!
TID_QUALIFIED_INFO,"Gratulacje, zaliczasz wyzwanie mistrzowskie! WSPANIALE!\n\nAby kontynuować drogę i wejść do MISTRZOSTW BRAWL STARS, przejdź tutaj: <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Gratulacje, zaliczasz wyzwanie mistrzowskie! WSPANIALE!\n\nAby kontynuować drogę w MISTRZOSTWACH BRAWL STARS, przejdź do nowej sekcji E-SPORTY na ekranie głównym!"
TID_QUALIFIED_INFO_PSG,"Gratulacje, wygrywasz PSG CUP! Tym samym odblokowano przebranie PSG Shelly!"
TID_QUALIFIED_GO,RUSZAJ!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,WYZWANIE MISTRZOWSKIE
TID_BATTLE_END_CC_WIN_LABEL,NAGRODA ZA ZWYCIĘSTWO NR <AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,Wyzwanie zakończone\nPowodzenia następnym razem!
TID_BATTLE_END_CC_DEFEAT_1,Jeszcze jedna przegrana i wypadasz. Walcz dalej!
TID_BATTLE_END_CC_DEFEAT_2,"Tym razem Ci nie wyszło, ale nadal jesteś w grze!"
TID_BATTLE_END_CC_DRAW_DESC,"Zagraj ponownie, by wygrać!"
TID_BATTLE_END_CC_QUALIFY_LABEL,ZAKWALIFIKOWANO!
TID_BATTLE_END_CC_QUALIFY_INFO,Gratulacje! Przechodzisz do następnego etapu w Mistrzostwach Brawl Stars.\nWięcej informacji znajdziesz w skrzynce odbiorczej.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Nagrody w lidze IGRZYSK MOCY
TID_PRO_LEAGUE_INFO_POPUP_INFO,Nagroda zależna od\nkońcowej liczby punktów
TID_PRO_LEAGUE_INFO_POPUP_RANK,Pozycja
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Punkty
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Dodatkowa nagroda za czołowe\nmiejsce w tabeli wyników
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,NAGRODY KOŃCOWE W LIDZE IGRZYSK MOCY
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,TABELA LIGOWA
TID_PRO_LEAGUE_SEASON_END_TIME,LIGA KOŃCZY SIĘ ZA
TID_PRO_LEAGUE_POPUP_TITLE,IGRZYSKA MOCY
TID_EVENT_LABEL_PRO_LEAGUE,IGRZYSKA MOCY
TID_PRO_LEAGUE_POPUP_INFO,"Sprawdź się w IGRZYSKACH MOCY! Stań do walki trzy razy dziennie, by wspiąć się na szczyt ligowej tabeli. Gdy tylko sezon ligowy dobiegnie końca, otrzymasz gwiezdne punkty w nagrodę za zgromadzone punkty i pozycję w globalnej tabeli ligowej."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,BIEŻĄCA LIGA
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,POPRZEDNIA LIGA
TID_PRO_LEAGUE_LABEL,IGRZYSKA MOCY
TID_TEAM_ERROR_38,Wybierz Zadymiarza o poziomie mocy 10!
TID_TEAM_ERROR_39,Na dzisiaj nie ma już żadnych rozgrywek w ramach IGRZYSK MOCY!
TID_PRO_LEAGUE_GAMES,POZOSTAŁE BITWY: <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,ZAKOŃCZONO LIGĘ IGRZYSK MOCY
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Twoje punkty
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Twoja pozycja
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Gwiezdne punkty w nagrodę
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,NAGRODA ZA IGRZYSKA MOCY: zdobywasz <AMOUNT> <cff00ff>gwiezdnych punktów</c>!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Epickie zwycięstwo (+3 punkty):
TID_OVERWHELMING_VICTORY_GMV_0,"Wygraj, zanim pojawi się 15. klejnot"
TID_OVERWHELMING_VICTORY_GMV_5,Wygraj 2-0
TID_OVERWHELMING_VICTORY_GMV_2,"Wygraj, mając przynajmniej 60% PŻ sejfu"
TID_OVERWHELMING_VICTORY_GMV_11,"Wygraj, mając przynajmniej 80% PŻ bazy"
TID_OVERWHELMING_VICTORY_GMV_3,"Wygraj, mając przynajmniej 10 gwiazdek więcej od przeciwnika"
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Zdobywaj punkty za pozycję zdobytą w meczu
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Zyskasz 30 punktów za zwycięstwo, 15 za remis i 5 punktów jako nagrodę pocieszenia za porażkę"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,PUNKTY
TID_DOUBLE_TOKEN_WEEKEND,IMPREZA Z PODWAJANIEM ŻETONÓW
TID_COIN_SHOWER_EVENT,WYDARZENIE: DESZCZ MONET
TID_RANKS_ADDED_TITLE,Nowe rangi Zadymiarzy
TID_RANKS_ADDED_DESC,"Dodaliśmy rangi 21-35 dla wszystkich Zadymiarzy.\n\nZyskujesz <cff00ff><STARPOINTS></c> gwiezdnych punktów i <TOKENS> żetonów za Zadymiarzy, którzy już osiągnęli te nowe rangi."
TID_SKINS_TITLE,PRZEBRANIA
TID_SKINS_BUTTON_LABEL,PRZEBRANIA
TID_SKIN_PREVIEW,PODGLĄD PRZEBRANIA
TID_DEFAULT_SKIN,DOMYŚLNE PRZEBRANIE DLA: <HERO>
TID_HERO_LVL_UP_MATERIAL,Monety
TID_TOKENS,Żetony
TID_FIRST_WINS,Gwiezdne żetony
TID_CLUB_COINS,Monety klubowe
TID_BUTTON_INBOX,ODEBRANE
TID_INBOX_TITLE,ODEBRANE
TID_INBOX_SYSTEM_SENDER,System
TID_INBOX_SUPPORT_SENDER,Brawl Stars - wsparcie
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> temu
TID_INBOX_CLAIM,ODBIERZ
TID_INBOX_VIEW,ZOBACZ
TID_INBOX_TAB_0,KLUB
TID_INBOX_TAB_1,OSOBISTE
TID_INBOX_NO_ENTRIES,BRAK WPISÓW
TID_INBOX_CAPTION_99,Liga pucharów się zakończyła
TID_INBOX_CAPTION_94,Darowane przebrania: <NAME>
TID_INBOX_CAPTION_93,Darowani Zadymiarze: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Darowani Zadymiarze: <NAME> (poziom mocy <LEVEL>)
TID_INBOX_CAPTION_92,Darowane <AMOUNT> pkt. mocy dla: <NAME>
TID_INBOX_CAPTION_91,Darowane bilety: <AMOUNT>
TID_INBOX_CAPTION_90,Darowane <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Darowane klejnoty: <AMOUNT>
TID_INBOX_CAPTION_88,Darowane podwajacze żetonów: <AMOUNT>
TID_INBOX_CAPTION_85,Odwołanie <AMOUNT> klejnotów
TID_INBOX_CAPTION_84_4,Darowana gwiezdna moc <ABI> dla: <NAME>
TID_INBOX_CAPTION_84_5,Ofiarowanie gadżetu <ABI> dla: <NAME>
TID_INBOX_CAPTION_78,Rangi 21-30 dla Zadymiarzy już są dostępne!
TID_INBOX_CAPTION_76,ODBLOKOWANO kwalifikacje online!
TID_INBOX_CAPTION_75,Nagroda za wygraną w <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Zwrot za bilety
TID_INBOX_CAPTION_73,PODARUNEK: KARNET ZADYMIARSKI
TID_INBOX_CAPTION_72_52,PODARUNEK: ODZNAKA
TID_INBOX_CAPTION_71,PODARUNEK: <AMOUNT> ŻETONY NA SEZON KARNETU ZADYMIARSKIEGO <SEASON>
TID_INBOX_CAPTION_70,Nagroda za wygraną w <CHALLENGE>:
TID_INBOX_CAPTION_64,Podarunek: <AMOUNT>x <NAME>
TID_INBOX_NEW,NOWOŚĆ!
TID_BAND_MAIL_POPUP_TITLE,POCZTA KLUBOWA
TID_BAND_MAIL_POPUP_DEFAULT_TXT,tu napisz wiadomość...
TID_BAND_MAIL_POPUP_POST,PUBLIKUJ
TID_BAND_MAIL_POPUP_NO_MSG,Pamiętaj o wpisaniu wiadomości
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Ta funkcja jest niedostępna w przypadku kont demo
TID_REVOKE_TITLE,Wiadomość z działu wsparcia
TID_REVOKE_OK,Rozumiem
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Nie można wysłać prośby o dołączenie. Jesteś już w drużynie
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Nie można wysłać prośby o dołączenie. Masz oczekujące zaproszenie do drużyny
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Nie można wysłać prośby o dołączenie. Masz oczekującą prośbę o dołączenie
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Prośba o dołączenie została anulowana
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,CHCĘ DOŁĄCZYĆ DO TWOJEJ DRUŻYNY
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>WYGRANA</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>PORAŻKA</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>REMIS</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>RANGA <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>RANGA <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>RANGA <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> temu
TID_BATTLE_LOG_HERO_LEVEL_LABEL,POZ.
TID_BATTLE_LOG_TVST_VERSUS,KONTRA
TID_BATTLE_LOG_TITLE,DZIENNIK BITEW
TID_BATTLE_LOG_REPLAY,POWTÓRKA
TID_BATTLE_LOG_MVP,GWIAZDA GRY
TID_BATTLE_LOG_FRIENDLY,DLA ZNAJOMYCH
TID_BATTLE_LOG_TOURNAMENT,TURNIEJ
TID_BATTLE_LOG_PVP,RANKINGOWY
TID_BATTLE_LOG_PRO_LEAGUE,IGRZYSKA MOCY
TID_BATTLE_LOG_RANKED,LIGA MOCY
TID_BATTLE_LOG_NO_ENTRIES,BRAK WPISÓW
TID_BATTLE_LOG_THIS_IS_A_BOT,To jest bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Możliwość powtórki jest obecnie wyłączona
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Nie ma jeszcze możliwości powtórki
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Brak możliwości powtórki: Zadymiarz ma zbyt mało pucharów
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Powtórki zostaną odblokowane po zdobyciu <NUM> pucharów dla tego Zadymiarza
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Brak możliwości powtórki: nagranie nieudane
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Powtórka nie jest już dostępna
TID_PLAYER_XP_LEVEL,POZIOM
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Nie udało się dodać znajomego
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Link znajomego wygasł!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Nie można dodać znajomego, jego lista znajomych jest pełna!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Nie można dodać znajomego, twoja lista znajomych jest pełna!"
TID_ADD_FRIEND_FAILED_BANNED,"Nie można dodać znajomego, użytkownik jest zablokowany!"
TID_KEYPOOL_KEYS_REMAINING,Pozostało <VALUE>
TID_KEYPOOL_NEXT_PATCH,Liczba żetonów: +<KEYS> w ciągu <TIME>
TID_TOP_HUD_NEXT_REWARD,Następna nagroda
TID_RANK_UP_REWARD_REPLACED_TITLE,Potwierdź inną wybraną nagrodę
TID_RANK_UP_REWARD_REPLACED_POWER,Żaden z Twoich Zadymiarzy nie może otrzymać <AMOUNT> pkt. mocy.\n\nCzy zamiast tego chcesz otrzymać inną nagrodę?
TID_RANK_UP_REWARD_REPLACED_HERO,"Otrzymasz inną nagrodę, ponieważ <NAME> jest już w twoim posiadaniu."
TID_RANK_UP_REWARD_REPLACED_PIN,"Otrzymasz inną nagrodę, ponieważ masz już tę odznakę."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Otrzymasz inną nagrodę, ponieważ <NAME> jest już w twoim posiadaniu."
TID_RANK_UP_REWARD_REPLACED_GEN,"Otrzymasz inną nagrodę, ponieważ tę już masz."
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,ZAPROŚ DO ZNAJOMYCH
TID_PLAYER_INFO_REMOVE_FRIEND,USUŃ Z LISTY ZNAJOMYCH
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,WYSŁANO ZAPROSZENIE DO ZNAJOMYCH
TID_PLAYER_INFO_IS_YOUR_FRIEND,ZNAJOMY\nW GRZE
TID_POWER_POINTS,PUNKTY MOCY
TID_HERO_INFO_LEVEL,MOC
TID_HERO_INFO_LEVEL_LONG,POZIOM MOCY
TID_HERO_INFO_RANK,RANGA
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,PRZEJDŹ NA <LVL>. POZIOM MOCY
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,"STUKNIJ PONOWNIE, ABY POTWIERDZIĆ"
TID_HERO_INFO_MAX_LEVEL,MAKSYMALNA MOC
TID_HERO_INFO_MORE_POWER_NEEDED,"Zbierz więcej mocy, aby móc się rozwijać!"
TID_HERO_INFO_LEVEL_UP_ERROR_4,Zadymiarz nie ma wystarczającej liczby punktów mocy
TID_HERO_INFO_LEVEL_UP_ERROR_3,Masz za mało monet!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Zadymiarz osiągnął już maksymalny poziom mocy!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,ZADYMIARZ POCZĄTKOWY
TID_HERO_INFO_STAR_POWER_EQUIP,WYBIERZ
TID_HERO_INFO_STAR_POWER_EQUIPPED,WYBRANO
TID_PLAYER_REPORTED_SUCCESSFULLY,Gracz zgłoszony!
TID_TOO_MANY_REPORTS_SENT,Dzienny limit zgłoszeń został wyczerpany.
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Zanim wyślesz kolejne zgłoszenie, musisz trochę odczekać"
TID_CHOOSE_CHARACTER,WYBIERZ ZADYMIARZA
TID_ARMOR,PUNKTY ŻYCIA
TID_ARMOR_DESC,"Pokazuje, ile obrażeń może przyjąć Zadymiarz, zanim zostanie pokonany."
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,"Strzelba Shelly ma szeroki zasięg i strzela we wrogą drużynę śrutem. Superatak Shelly niszczy osłony i sprawia, że przeciwnicy trzymają się na dystans."
TID_LONG_RANGE_SHOTGUN,ŚRUTÓWKA
TID_LONG_RANGE_SHOTGUN_DESC,"Śrutówka Shelly ma średni zasięg i razi wrogów na szerokim obszarze. Im większa ilość śrutu trafi do celu, tym większe zadaje obrażenia."
TID_MEGA_BLASH_ULTI,SUPERPOCISK
TID_MEGA_BLASH_ULTI_DESC,"Superpocisk Shelly niszczy i osłony, i wrogów. Każdy, kto przeżyje, zostaje odrzucony."
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Colt zasypuje przeciwników starannie wymierzonym gradem kul ze swoich rewolwerów. Jego superatak niszczy osłony i wzmacnia siłę ognia.
TID_RAPID_FIRE,SZEŚCIOSTRZAŁOWCE
TID_RAPID_FIRE_DESC,Colt oddaje ze swoich rewolwerów sześć dalekosiężnych strzałów.
TID_RAPID_FIRE_ULTI,GRAD KUL
TID_RAPID_FIRE_ULTI_DESC,"Colt wystrzeliwuje potężną serię pocisków, które mają wyjątkowo daleki zasięg i potrafią niszczyć osłony."
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,Bull zadaje swoją strzelbą ogromne obrażenia z bliska. Superatak pozwala mu atakować nawet przez bariery i odrzucać wrogów!
TID_SHOTGUN_BLAST,DUBELTÓWKA
TID_SHOTGUN_BLAST_DESC,"Dubeltówka zadaje duże obrażenia, lecz ma bardzo krótki zasięg, dlatego Bull lubi atakować z bliska."
TID_CHARGE,BULDOŻER
TID_CHARGE_DESC,Bull pochyla się i niczym buldożer uderza w przeciwników oraz przeszkody. Widać ma mocną głowę!
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Brock wystrzeliwuje we wrogów długodystansową, wybuchową rakietę. Jego superatak to seria rakiet balistycznych, która niszczy osłony."
TID_FIREWORKS_WEAPON,BROCKOWA RAKIETA
TID_FIREWORKS_WEAPON_DESC,Brock częstuje wrogów jedną Brockową Rakietą o naprawdę dużym zasięgu.
TID_FIREWORKS_ULTI,DESZCZ RAKIET
TID_FIREWORKS_ULTI_DESC,"Brock atakuje serią rakiet, która zmiata z powierzchni ziemi wrogów oraz przeszkody. Przygotuj się na nadciągający kataklizm!"
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Mike rzuca dwoma wybuchowymi laskami dynamitu. Jego superatak to beczka wypełniona dynamitem, która niszczy osłony."
TID_MORTAR,KRÓTKI LONT
TID_MORTAR_DESC,"Mike rzuca dwoma laskami dynamitu, które mijają wszystkie napotkane na drodze przeszkody. Ich lonty są bardzo krótkie - zupełnie jak cierpliwość wybuchowego Mike´a!"
TID_MORTAR_ULTI,WYBUCHOWA BECZKA
TID_MORTAR_ULTI_DESC,"Wielka beczka dynamitu, która wysadza osłony w powietrze. Przeciwnicy, którym uda się przetrwać wybuch, zostają odrzuceni w tył."
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo zasypuje przeciwników gradem uderzeń. Jego superatak to cios łokciem z góry, który zadaje obrażenia wszystkiemu, co znajdzie się poniżej."
TID_LUCHADOR_WEAPON,PIĘŚCI FURII
TID_LUCHADOR_WEAPON_DESC,"El Primo w furii atakuje przeciwników ciosami czterech pięści. Są one równie ostre, co papryczki jalapeno!"
TID_LUCHADOR_ULTI,SPADAJĄCY ŁOKIEĆ
TID_LUCHADOR_ULTI_DESC,"El Primo wyskakuje w górę i zadaje potężny cios międzygalaktycznym łokciem, zwalającym z nóg wrogów i niszczącym osłony."
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,"Rico strzela gumowymi pociskami odbijającymi się od ścian, a w ramach superataku wystrzeliwuje długą serię gumowych kul, które przebijają trafione cele."
TID_TRICKSHOT_DUDE_WEAPON,ODBIJAJĄCE SIĘ POCISKI
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Wystrzelone przez Rico pociski odbijają się od ścian, zyskując dalszy zasięg. Mogą trafiać we wrogów kryjących się za osłonami."
TID_TRICKSHOT_DUDE_ULTI,SPRYTNY STRZAŁ
TID_TRICKSHOT_DUDE_ULTI_DESC,"Rico strzela długą serią pocisków, które przebijają wrogów i odbijają się od ścian, zwiększając przy tym zasięg."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,"Naszpikowane igłami kaktusowe granaty sieją spustoszenie wśród wrogów Spike´a, a jego potężny superatak to spowalniające i raniące przeciwników pole kaktusowych kolców."
TID_CACTUS_WEAPON,KOLCZASTY GRANAT
TID_CACTUS_WEAPON_DESC,"Spike rzuca niewielkim kaktusem, który po wybuchu rozrzuca kolce w różnych kierunkach."
TID_CACTUS_ULTI,KOLCZASTE POLE
TID_CACTUS_ULTI_DESC,Spike rzuca kolczastym granatem. Znajdujący się w zasięgu wybuchu wrogowie zostają spowolnieni i otrzymują obrażenia.
TID_BARKEEP,BARLEY
TID_BARKEEP_DESC,"Ataki Barleya polegają na ciskaniu we wrogów butelkami, których zawartość powoduje obrażenia. Jego superatak to potężna seria płonących butelek."
TID_BARKEEP_WEAPON,WYSOKIE STĘŻENIE
