"Name","BehaviorType","CanMoveAtSameTime","Targeted","Cooldown","ActiveTime","CastingTime","CastingRange","MaxCastingRange","RechargeTime","MaxCharge","Damage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","AlwaysCastAtMaxRange","Projectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","SpawnedItem","IconSWF","IconExportName","LargeIconSWF","LargeIconExportName","ButtonSWF","ButtonExportName","AttackEffect","UseEffect","EndEffect","LoopEffect"
"CactusUlti","Attack","true","true",250,150,,23,,,,100,100,0,,1,,"true",,,,,,,"CactusUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","cactus_attack_ulti",,,
"BarkeepWeapon","Attack","true","true",250,150,,22,,2000,3,120,100,0,,1,,"true",,,,,,,"BarkeepProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button","barkeep_attack",,,
"BarkeepUlti","Attack","true","true",250,1050,,28,,,,120,200,100,,1,,"true",,,,,,,"BarkeepUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","barkeep_attack_ulti",,,
"MechanicWeapon","Attack","true","true",250,150,,27,,2000,3,140,100,0,,1,,"true",,,,,,,"MechanicProjectile1",,,,,,,,,"sc/ui.sc","rapid_fire_button","mechanic_attack",,,
"MechanicUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"MechanicUltiProjectile","MechanicTurret",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","mechanic_ulti",,,
"ShamanWeapon","Attack","true","true",250,150,,18,,1250,3,160,100,0,,1,,"true",,,,,,,"ShamanProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shaman_attack",,,
"ShamanUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"ShamanUltiProjectile","ShamanPet",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","turret_button","shaman_ulti",,,
"TntDudeWeapon","Attack","true","true",250,150,,22,,1700,3,160,100,30,,2,,"true",,,,,,,"TntDudeProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button","tnt_attack",,,
"TntDudeUlti","Attack","true","true",250,150,,22,,,,500,100,0,,1,,"true",,,,,,,"TntDudeUltiProjectile",,,,,,"skillicon_dynamite_ulti",,,"sc/ui.sc","plasma_bomb_button","tnt_attack_ulti",,,
"LuchadorWeapon","Attack","true","true",50,650,,9,,800,3,80,150,0,,1,"true",,,,,,,,"LuchadorProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","luchador_attack",,,
"LuchadorUlti","Charge",,"true",50,,,27,,,,200,,,,,,,130,1600,3,,,,,,,,,,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"luchador_ulti","ground_hit_800",
"UndertakerWeapon","Charge",,"true",0,,,9,,2500,3,160,,,,,,,,2700,4,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"undertaker_attack",,
"UndertakerUlti","Attack","true","true",0,200,,40,,,,200,150,,,1,,,,,,,,,"UndertakerUltiProjectile",,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","undertaker_attack_ulti",,,
"CrowWeapon","Attack","true","true",250,150,,28,,1500,3,60,100,45,,3,,"true",,,,,,,"CrowProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","crow_attack",,,
"CrowUlti","Charge",,"true",50,,,26,,,,60,,,,,,,0,1500,2,,,,,,"CrowUltiKnifes",,,,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"crow_ulti",,
"DeadMariachiWeapon","Attack","true","true",250,150,,19,,2000,3,160,100,130,,4,,"true",,,,,,,"DeadMariachiProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","dead_mariachi_attack",,,
"DeadMariachiUlti","Attack","true","true",250,150,,28,,,,400,100,130,,3,,"true",,,,,,,"DeadMariachiUltiProjectile",,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","dead_mariachi_attack_ulti",,,
"BowDudeWeapon","Attack","true","true",50,650,,26,,2000,3,80,200,30,2,1,,,,,,,,,"BowDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","bow_dude_attack",,,
"BowDudeUlti","Attack","true","true",50,250,,26,,,,300,200,,,1,,,,,,1,1,,"BowDudeSpawnMineProjectile",,,,"BoxOfMines",,"skillicon_build_bigger_turret",,,"sc/ui.sc","button_mine","bow_dude_ulti",,,
"SniperWeapon","Attack","true","true",250,150,,35,,3000,3,460,100,0,,1,,"true",,,,,,,"SniperProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","sniper_attack",,,
"SniperUlti","Charge",,"true",50,,,26,,,,300,,,,,,,0,1500,6,1,1,,,,,,"BoxOfBombs",,"skillicon_hammer_ulti",,,"sc/ui.sc","charge_button",,"sniper_ulti","sniper_landing_smoke_ring",
"MinigunDudeWeapon","Attack","true","true",50,1950,,27,,2500,3,60,100,70,3,1,,,,,,,,,"MinigunDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","minigun_attack",,,
"MinigunDudeUlti","Attack","true","true",50,250,,15,,,,,200,,,1,,,,,,1,1,,"MinigunDudeUltiProjectile","HealingStation",,,,,"skillicon_build_bigger_turret",,,"sc/ui.sc","button_mine","minigun_ulti",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warp","Blink","true","true",8000,,,19,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","item_icon_teleport",,,"sc/ui.sc","button_teleport",,,,
"Invisibility","Invisibility","true",,15000,5000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","button_sprint",,,,
"SupplyCrate","SpawnItem","true","true",40000,,1000,14,,,,,,,,,,,,,,,,,,,,,"SupplyCrate",,,,,"sc/ui.sc","button_mine",,,,
"Bow","Attack","true","true",500,150,,20,40,,,150,100,0,,,,"true",,,,,,,,,,,,,,,,"sc/ui.sc","rapid_fire_button","laser_attack",,,
"BouncingForceBall","Attack","true","true",900,150,,80,,,,140,100,,,,,"true",,,,,,,,,,,,,"skillicon_powercharge",,,"sc/ui.sc","rapid_fire_button","laser_attack",,,
"BoneThrowerWeapon","Attack","true","true",300,250,,27,,,,,200,0,,,,,,,,,,,"BoneThrowerProjectile",,,,,,,,,"sc/ui.sc","plasma_bomb_button",,,,
"BoneThrowerUlti","BuffMinion","true","true",300,,200,27,,,,25,150,,,,,,,,,,,,"BoneThrowerUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button",,,,
