"Name","Character","PetSkin","CostGems","TID","Model","BlueTexture","RedTexture","BlueSpecular","RedSpecular","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyAnimLoop","SadAnim","SadAnimLoop","SignatureAnim","UiPoseAnim","IdleFace","WalkFace","HappyFace","SadFace","SignatureFace","UiPoseFace","HeadRotationIngame","HatScaleIngame"
"TrickshotDefault","TrickshotDude",,,"TID_TRICKSHOT_DEFAULT_SKIN","rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","rickoshea_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaWin","RickosheaUipose",,,,,,,0,100
"CactusDefault","Cactus",,,"TID_CACTUS_DEFAULT_SKIN","cactus_geo.scw:cactus_arms1+cactus_body1+cactus_flower1+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","cactus_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusWin","CactusUipose",,,,,,,0,100
"CactusPink","Cactus",,200,"TID_CACTUS_PINK_SKIN","cactusPink_geo.scw:cactus_arms1+cactus_body1+cactus_flowergirl+cactus_flowergirl001+cactus_needles1+cactus_waistcoat1+cactus_ammo1","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","cactusPink_d_01.pvr","CactusIdle","CactusWalk","CactusPrimary","CactusSecondary","CactusRecoil",,"CactusRecoil2",,"CactusReload","CactusIdle","CactusWin","CactusWinloop","CactusLose","CactusLoseloop","CactusWin","CactusUipose",,,,,,,0,100
"BarkeepDefault","Barkeep",,,"TID_BARKEEP_DEFAULT_SKIN","barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","barkeep_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepWin","BarkeepUipose",,,,,,,0,100
"MechanicDefault","Mechanic","TurretDefault",,"TID_MECHANIC_DEFAULT_SKIN","junker_geo.scw:female_eyebrows1+junker_backpack1+junker_beltbuckle1+junker_body1+junker_gun1+junker_hat1+junker_head1","junker_d_01.pvr","junker_d_01.pvr","junker_d_01.pvr","junker_d_01.pvr","JunkerIdle","JunkerWalk","JunkerPrimary","JunkerUltiAttack","JunkerRecoil",,"JunkerUltiRecoil",,"JunkerReload","JunkerPushback","JunkerWin","JunkerWinloop","JunkerLose","JunkerLoseloop","JunkerWin","JunkerUipose",,,,,,,0,100
"ShamanDefault","Shaman","ShamanBearDefault",,"TID_SHAMAN_DEFAULT_SKIN","shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","shaman_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanUipose",,,,,,,0,100
"ShamanPanda","Shaman","ShamanBearPanda",50,"TID_SHAMAN_PANDA_SKIN","shaman_geo.scw:shaman_body1+shaman_deadeye1+shaman_hair1+shaman_head1+shaman_shawl1","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","shamanPanda_d_01.pvr","ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanWin","ShamanUipose",,,,,,,0,100
"ShamanBearDefault","ShamanPet",,,,"bear_geo.scw","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","shamanbear_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearWalk","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,0,100
"ShamanBearPanda","ShamanPet",,,,"bear_geo.scw","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","shamanbearPanda_d_01.pvr","BearIdle","BearWalk","BearAttack","BearIdle","BearRecoil",,"BearIdle",,"BearIdle","BearPushback","BearIdle","BearWalk","BearIdle","BearIdle","BearIdle","BearIdle",,,,,,,0,100
"UndertakerDefault","Undertaker",,,"TID_UNDERTAKER_DEFAULT_SKIN","basic_tall_geo.scw:body+legs+shovel","undertaker_tex.pvr","undertaker_tex.pvr","undertaker_tex.pvr","undertaker_tex.pvr","UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerLose","UndertakerLoseloop","UndertakerWin","UndertakerUipose",,,,,,,0,100
"CrowDefault","Crow",,,"TID_CROW_DEFAULT_SKIN","crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowSecondary",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowUipose",,,,,,,0,100
"CrowWhite","Crow",,200,"TID_CROW_WHITE_SKIN","crow_geo.scw:crow_accessories1+crow_body1+crow_boots1+crow_hands1+crow_head1","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","crowWhite_d_01.pvr","CrowIdle","CrowWalk","CrowPrimary","CrowSecondary","CrowRecoil",,"CrowSecondary",,"CrowReload","CrowPushback","CrowWin","CrowWinloop","CrowLose","CrowLoseloop","CrowWin","CrowUipose",,,,,,,0,100
"DeadMariachiDefault","DeadMariachi",,,"TID_DEADMARIACHI_DEFAULT_SKIN","mariachi_geo.scw:Body+Guitar","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","mariachi_tex.pvr","MariachiIdle","MariachiWalk","MariachiAttack","MariachiSecondary","MariachiRecoil",,"MariachiRecoil",,"MariachiReload","MariachiPushback","MariachiWin","MariachiWinloop","MariachiLose","MariachiLoseloop","MariachiWin","MariachiWin",,,,,,,0,100
"BowDudeDefault","BowDude",,,"TID_BOW_DEFAULT_SKIN","bowdude_geo.scw:head+body+shoes+quiver+bow+arrow+eagle_hat","bowman_blue_tex.pvr","bowman_tex.pvr","bowman_blue_tex.pvr","bowman_tex.pvr","BowGuyIdle","BowGuyWalk","BowGuyAttack","BowGuySecondary","BowGuyRecoil",,"BowGuyRecoil2",,,"BowGuyIdle","BowGuyWin","BowGuyWinloop","BowGuyLose","BowGuyLoseloop","BowGuyWin","BowGuyUIpose",,,,,,,0,100
"SniperDefault","Sniper",,,"TID_SNIPER_DEFAULT_SKIN","sniper_geo.scw:gunbrella_01+head_01+bow_01+body_01","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","sniper_d_01.pvr","SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperRecoil",,"SniperRecoil",,"SniperReload","SniperPushback","SniperWin","SniperWinloop","SniperLose","SniperLoseloop","SniperWin","SniperWin",,,,,,,0,100
"MinigunDudeDefault","MinigunDude",,,"TID_MINIGUN_DEFAULT_SKIN","basic_tank_geo.scw:tank_torso2+tank_legs1+male_boots2+tank_face1+tank_hair1+tank_ears1+tank_eyebrows1+tank_nose1+tank_bullhead+tank_gun1","bullguy_tex.pvr","bullguy_tex.pvr","bullguy_tex.pvr","bullguy_tex.pvr","BullGuyIdle","BullGuyWalk","BullGuyPrimary","BullGuySecondary","BullGuyRecoil",,"BullGuyRecoil",,"BullGuyReload","BullGuyPushback","BullGuyPrimary","BullGuyWalk","BullGuyIdle","BullGuyIdle","BullGuyWalk","BullGuyIdle",,,,,,,0,100
"BullGuyHair","BullDude",,50,"TID_BULL_HAIR_SKIN","bull_geo.scw:body+gun","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","BullIdle","BullWalk","BullPrimary","BullSecondary","BullRecoil",,"BullRecoil",,"BullReload","BullPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockWin","BullUipose",,,,,,,0,100
"TrickshotGold","TrickshotDude",,100,"TID_TRICKSHOT_GOLD_SKIN","rickoshea_geo.scw:head+body+shoes+hat+gun","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","rickoshea_gold_tex.pvr","RickosheaIdle","RickosheaWalk","RickosheaPrimary","RickosheaSecondary","RickosheaRecoil",,"RickosheaRecoil",,"RickosheaReload","RickosheaPushback","RickosheaWin","RickosheaWinloop","RickosheaLose","RickosheaLoseloop","RickosheaWin","RickosheaUipose",,,,,,,0,100
"BarkeepGold","Barkeep",,100,"TID_BARKEEP_GOLD_SKIN","barkeep_geo.scw:head+body+shoes+hat+Bottle_R+rag","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","barkeep_gold_tex.pvr","BarkeepIdle","BarkeepWalk","BarkeepPrimary","BarkeepSecondary","BarkeepRecoil",,"BarkeepRecoil",,"BarkeepReload","BarkeepPushback","BarkeepWin","BarkeepWinloop","BarkeepLose","BarkeepLoseloop","BarkeepWin","BarkeepUipose",,,,,,,0,100
"LuchadorRudo","Luchador",,50,"TID_LUCHADOR_RUDO_SKIN","louchador_geo.scw:body+buckle1+wings","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","louchador_rudo_tex.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorUipose",,,,,,,0,100
"BanditGirlBandita","ShotgunGirl",,50,"TID_SHOTGUN_BANDITA_SKIN","shelly_geo.scw:body+gun","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","shelly_bandito_d_01.pvr","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyWin","ShellyUipose",,,,,,,0,100
"LuchadorRey","Luchador",,100,"TID_LUCHADOR_KING_SKIN","louchador_geo.scw:body+buckle2+kingcrown1+kingcape1+kingcapeback1+kingpin1","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","louchadorRey_d_01.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorUipose",,,,,,,0,100
