"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent"
"CactusProjectile",2000,"sc/effects.sc","cactus_projectile","cactus_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,100,,,,,0,1,20,100,,"CactusExplosion","CactusSpikeExplosion",,,"Gen_Trail_dust","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,
"CactusUltiProjectile",1200,"sc/effects.sc","cactus_ulti_projectile","cactus_ulti_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,100,1,20,100,,"CactusUltiExplosion",,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,
"CactusSpike",3000,"sc/effects.sc","cactus_projectile_spike","cactus_projectile_spike_red",,,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,20,100,,,,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile1",2400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,2,20,100,,,,,,"electricity_Trail","true",,,,,,,,1,"MechanicProjectile2",,,,,,,,,,,,,
"MechanicProjectile2",1400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,1,20,100,,,,,,"electricity_Trail","true",,,,,,,,1,"MechanicProjectile3",,,,,,,,,,,,,
"MechanicProjectile3",1400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,1,20,100,,,,,,"electricity_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"MechanicUltiProjectile",1100,"sc/effects.sc","turret_projectile","turret_projectile","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"ShamanUltiProjectile",1100,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,,,,,,"magic_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"BarkeepProjectile",1200,"sc/effects.sc","bottle_blue","bottle_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,110,1,20,100,"true","BarkeepExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"BarkeepUltiProjectile",1300,"sc/effects.sc","bottle_blue_ulti","bottle_red_ulti","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,"true","BarkeepUltiExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"TntDudeProjectile",1200,"sc/effects.sc","basic_grenade_projectile","dynamite_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1500,35,180,1,20,100,"true","TntDudeExplosion",,,,"Gen_Trail","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,
"TntDudeUltiProjectile",1200,"sc/effects.sc","grenadeer_ulti","dynamite_bundle_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1500,35,180,1,20,100,,"TntDudeUltiExplosion",,,,"Plasma_Trail","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,
"BoneThrowerProjectile",1200,"sc/effects.sc","basic_grenade_projectile","basic_grenade_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,4000,35,130,1,20,100,,,,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,"true",,,,,
"BoneThrowerUltiProjectile",1200,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,15000,35,130,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,"true",,,,,
"ShamanProjectile",2500,"sc/effects.sc","shaman_ptojectile","shaman_ptojectile_red",,,,,,,"Gen_hit","Gen_hit",,200,,,,,0,1,20,100,,,,,,"Shaman_trail","true",,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,
"DummyProjectileForLaserBall",2300,"sc/effects.sc","projectile_small_blue","projectile_small_red",,"projectile_light","projectile_light_red",,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,20,100,,,,,,"Gen_Trail_small","true",,"true",,,,,,,,,,,,,,,,,,,,
"MechanicTurretProjectile",2400,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow","projectile_light","projectile_light_red",,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerUltiProjectile",2500,"sc/effects.sc","bat_clump_projectile","bat_clump_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,400,,,,,0,1,20,100,,,,,,"Bats","true",,,,"true",,,,,,,,,,,,,,100,"true",,,
"CrowProjectile",3000,"sc/effects.sc","throwing_knife","throwing_knife_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",0,,,,,0,2,20,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,150,,
"CrowUltiProjectile",3000,"sc/effects.sc","throwing_knife_spinning","throwing_knife_spinning_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",0,,,,,0,1,20,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,150,,
"DeadMariachiProjectile",1800,"sc/effects.sc","soundwave","soundwave","soundwave",,,,,,"Mariachi_hit","Mariachi_hit",,150,,,,,0,4,20,100,,,,,,"Mariachi_soundwaves_trail","true",,,,"true",,,,,,,,,,,,,,,,,400,
"DeadMariachiUltiProjectile",2400,"sc/effects.sc","Hammer_ptojectile","Hammer_ptojectile_red",,,,,,,"Mariachi_hit","Mariachi_hit",,400,,,,,0,1,20,100,,,,,,"Mariachi_ulti_trail","true",,,"DoNotRotateClip","true",,,,,,,,,,,,,,,"true",,400,100
"BowDudeSpawnMineProjectile",2200,"sc/effects.sc","ballistic_minearrow_projectile","ballistic_minearrow_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,350,2,20,100,,,,,,"Plasma_Trail","true",,,"UseZFrames",,,,,,,,,,,,,,,,,,,
"BowDudeProjectile",2400,"sc/effects.sc","bomb_arrow","bomb_arrow_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,4,20,100,,"BowDudeExplosion",,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,
"SniperProjectile",3800,"sc/effects.sc","sniper_bullet_blue","sniper_bullet_red","projectile_shadow",,,,,,"sniper_hit","sniper_hit","no_hit",50,,,,,0,3,20,100,,,,,,"Sniper_Trail","true",,,,,,,,,,10,100,,,,,,,,,,,
"MinigunDudeProjectile",3800,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,20,100,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeUltiProjectile",1100,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,,,,0,"true",,,,100,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,
"LuchadorProjectile",3000,"sc/effects.sc","primo_fist_blue","Primo_fist_red","projectile_shadow_big",,,,,,,"Lucha_hit",,150,,,,,0,1,20,80,,,,,,"lucha_smoke_Trail","true",,,"Use360Frames","true",,,,,,,,,,,20,100,,,,,,
