"Name","Disabled","WeaponSkill","UltimateSkill","Pet","Speed","Hitpoints","MeleeAutoAttackSplashDamage","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackProjectileSpread","AutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","UltiChargeMul","UltiChargeDiv","Type","DamagerPercentFromAliens","DefaultSkin","FileName","BlueExportName","RedExportName","ShadowExportName","AreaEffect","DeathAreaEffect","TakeDamageEffect","DeathEffect","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","MeleeHitEffect","AutoAttackStartEffect","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackStartEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","EndScreenScale","CollisionRadius","HealthBar","HealthBarOffsetY","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ForceAttackAnimationToEnd","IconSWF","IconExportName","ThumbnailCameraYAdjustment","ThumbnailCameraZAdjustment","Archetype","DamageCtg","SpeedCtg","HpCtg","RecoilAmount","Homeworld","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling"
"TntDude",,"TntDudeWeapon","TntDudeUlti",,650,600,,,,,,,,12,,120,100,"Hero",,"TntGuyDefault",,,,,,,"takedamage_gen","death_tnt_dude","Gen_move_fx","reload_tnt_dude","No_ammo_shotgungirl",,,,,"Tnt_guy_kill_vo","Tnt_guy_lead_vo","Tnt_guy_start_vo","Tnt_guy_ulti_vo","Tnt_guy_hurt_vo","Tnt_guy_die_vo",35,80,80,,,35,130,110,80,120,"Medium",-42,,350,,,"TID_TNT_DUDE",,"sc/ui.sc","hero_icon_mike",-1,0,2,3,2,1,0,"human","footstep",25,200,100,"true","true"
"Luchador",,"LuchadorWeapon","LuchadorUlti",,650,1300,,,,,,,,12,,120,100,"Hero",,"LuchadorDefault",,,,,,,"takedamage_gen","death_luchador","Gen_move_fx",,"No_ammo_shotgungirl",,,"Gen_hit_melee",,,,,,,,50,80,80,,,35,110,93,80,145,"Medium",-60,,350,,,"TID_LUCHADOR",,"sc/ui.sc","hero_icon_primo",2,5,1,2,2,3,0,"human","footstep",40,250,130,,
"Undertaker",,"UndertakerWeapon","UndertakerUlti",,750,800,,,,,,,,12,,120,100,"Hero",,"UndertakerDefault",,,,,,,"takedamage_gen","death_undertaker","Gen_move_fx","reload_undertaker","No_ammo_shotgungirl",,,,,,,,,,,50,80,80,,,35,110,100,80,120,"Medium",-55,,350,,,"TID_UNDERTAKER",,"sc/ui.sc","hero_icon_mortis",2,5,1,2,2,3,0,"human","footstep",25,350,165,,
"Crow",,"CrowWeapon","CrowUlti",,750,600,,,,,,,,12,,200,100,"Hero",,"CrowDefault",,,,,,,"takedamage_gen","death_crow","Gen_move_fx","reload_crow","No_ammo_shotgungirl","crow_dryfire",,,,,,,,,,45,80,80,,,35,110,100,80,120,"Medium",-38,,350,,,"TID_CROW",,"sc/ui.sc","hero_icon_crow",,,2,3,2,2,0,"human","footstep",20,200,100,"true","true"
"DeadMariachi",,"DeadMariachiWeapon","DeadMariachiUlti",,650,800,,,,,,,,12,,120,100,"Hero",,"DeadMariachiDefault",,,,,,,"takedamage_gen","death_dead_mariachi","Gen_move_fx","reload_dead_mariachi","No_ammo_shotgungirl",,,,,,,,,,,20,80,80,,,35,110,100,80,120,"Medium",-45,,0,,,"TID_DEAD_MARIACHI",,"sc/ui.sc","hero_icon_poco",,,2,3,2,2,0,"human","footstep",25,250,100,,
"BowDude",,"BowDudeWeapon","BowDudeUlti",,650,900,,,,,,,,12,,120,100,"Hero",,"BowDudeDefault",,,,,,,"takedamage_gen","death_bow_dude","Gen_move_fx","reload_bow_dude","No_ammo_shotgungirl","dry_fire_bowdude",,,,,,,,,,45,80,80,,,35,100,90,80,120,"Medium",-55,,350,,,"TID_BOW_DUDE",,"sc/ui.sc","hero_icon_bo",,,2,3,2,2,0,"human","footstep",30,300,100,,"true"
"Sniper",,"SniperWeapon","SniperUlti",,650,600,,,,,,,,12,,120,100,"Hero",,"SniperDefault",,,,,,,"takedamage_gen","death_sniper","Gen_move_fx","reload_sniper","No_ammo_shotgungirl",,,,,,,,,,,45,80,80,,,35,110,100,90,120,"Medium",-45,,350,,,"TID_SNIPER",,"sc/ui.sc","hero_icon_piper",,,2,3,2,2,100,"human","footstep",25,400,160,,
"MinigunDude","true","MinigunDudeWeapon","MinigunDudeUlti",,550,1200,,,,,,,,12,,120,100,"Hero",,"MinigunDudeDefault",,,,,,,"takedamage_gen","death_minigun","Gen_move_fx","reload_minigun","No_ammo_shotgungirl",,,,,,,,,,,50,80,80,,,35,110,,80,145,"Medium",-55,,350,,,"TID_MINIGUN_DUDE",,"sc/ui.sc","hero_icon_dummy",2,5,1,2,2,3,400,"human","footstep",30,400,130,,
"TutorialDummy",,,,,0,400,,,,,,,,12,,,,"Minion_Building",,"BullGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,"No_ammo_shotgungirl",,,,,,,,,,,35,80,80,,,35,110,,,145,"Medium",-45,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
"TutorialDummy2",,,,,0,400,,,,,,,,12,,,,"Minion_Building_charges_ulti",,"BullGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,,,,,,,,,,,,35,80,80,,,35,110,,,145,"Medium",-45,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
"MechanicTurret",,,,,0,700,,350,60,,,30,"MechanicTurretProjectile",27,,,,"Minion_Building",,"TurretDefault",,,,,,,"nuts_bolts_metal_small","nuts_bolts_metal_explosion",,,,,"SpawnTurret",,"turret_attack",,,,,,,35,75,75,,,25,110,150,,120,"Medium",-30,,150,,,,,,,,,,,,,,,"footstep",25,400,160,,
"HealingStation",,,,,0,800,,,,,,,,12,,,,"Minion_Building",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow","HealingStationHeal",,,,,,,,,,,,,,,,,,75,75,,,25,45,,,120,"Medium",-45,,300,,,,,,,,,,,,,,,"footstep",25,400,160,,
"Safe1",,,,,0,5000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,100,-100,0,0,0,100,,,160,"Medium",-45,,300,,,,,,,,,,,,,,,"footstep",25,400,160,,
"Safe2",,,,,0,6000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,100,-100,0,0,0,100,,,160,"Medium",-45,,300,,,,,,,,,,,,,,,"footstep",25,400,160,,
"Safe3",,,,,0,8000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,100,-100,0,0,0,100,,,160,"Medium",-45,,300,,,,,,,,,,,,,,,"footstep",25,400,160,,
"Safe4",,,,,0,9000,,700,,,,,,20,,,,"Pvp_Base",,,"sc/chr_comtower.sc","comm_tower_1","comm_tower_1","safe_shadow",,,"nuts_bolts_metal_small","safe_explosion",,,,,,,,,,,,,,,100,-100,0,0,0,100,,,160,"Medium",-45,,300,,,,,,,,,,,,,,,"footstep",25,400,160,,
"ExplodingBarrel",,,,,0,3000,,,,,,,,,,,,"Minion_Building",,,"sc/level.sc","tnt_box","tnt_box","tnt_box_shadow",,"ExplodingBarrelExplosion",,,,,,,,,,,,,,,,35,100,-100,0,0,0,100,,,145,"Medium",-45,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
"PoisonBarrel",,,,,0,2,,,,,,,,,,,,"Minion_Building",,,"sc/chr_comtower.sc","toxic_barrel_1","toxic_barrel_1","blocking4_mid_shadow",,"PoisonBarrelExplosion",,,,,,,,,,,,,,,,35,80,80,,,35,100,,,145,,,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
"ShamanPet",,,,,500,1000,,600,100,,,,,6,,,,"Minion_FindEnemies",,"ShamanBearDefault",,,,,,,,"death_bull_dude","Gen_move_fx",,,,"bear_spawn",,"bear_attack",,,,,,,30,85,80,,,25,110,200,,145,"Medium",-58,,,,,,,,,,,,,,,,,"footstep",25,250,160,,
"BoneThrowerPet",,,,,800,700,,300,40,,,,,4,200,,,"Minion_Dog",,"RocketGirlDefault",,,,,,,,,"Gen_alien_move_fx",,,,,,,,,,,,,,85,80,,,25,80,,,120,"Medium",-40,,,,,,,,,,,,,,,,,"footstep",25,400,160,,
"LaserBall",,,,,0,1,,,,,,,,,,,,"LaserBall",,,"sc/chr_comtower.sc","exploding_barrel_1","exploding_barrel_1","blocking4_mid_shadow",,,,,,,,,,,,,,,,,,,80,80,,,25,70,,,120,,,,,,,,,,,,,,,,,,,,,,160,,
"LootBox",,,,,0,1500,,,,,,,,,,,,"LootBox",,,"sc/level.sc","powerup_barrel","powerup_barrel","powerup_barrel_shadow",,,,,,,,,,,,,,,,,,35,100,-100,0,0,0,100,,,145,"Medium",-40,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
"TutorialDummy3",,,,,0,50,,,,,,,,12,,,,"Minion_Building_charges_ulti",,"TntGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx",,,,,,,,,,,,,35,80,80,,,35,110,,,145,"Medium",-45,,350,,,,,,,,,,,,,,,"footstep",25,400,160,,
