"Name","IconSWF","IconExportName","Target","RequiresCard","Type","Skill","Value","Value2","NumCards","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName"
"Barkeep_ulti","sc/ui.sc","ulti_icon","Barkeep",,"skill","BarkeepUlti",6,,5,"common","TID_BARKEEP_ULTI","TID_STAT_DAMAGE_PER_SECOND_EACH",,"genicon_damage",
"Mechanic_unlock","sc/ui.sc",,"Mechanic",,"unlock",,,,1,"common",,,,,
"Mechanic_hp","sc/ui.sc","health_icon","Mechanic",,"hp",,35,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Mechanic_abi","sc/ui.sc","attack_icon","Mechanic",,"skill","MechanicWeapon",7,,5,"common","TID_MECHANIC_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Mechanic_ulti","sc/ui.sc","ulti_icon","Mechanic",,"skill","MechanicUlti",3,35,5,"common","TID_MECHANIC_ULTI","TID_TURRET_DAMAGE","TID_TURRET_HEALTH","genicon_damage","genicon_health"
"Shaman_unlock","sc/ui.sc",,"Shaman",,"unlock",,,,1,"common",,,,,
"Shaman_hp","sc/ui.sc","health_icon","Shaman",,"hp",,40,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Shaman_abi","sc/ui.sc","attack_icon","Shaman",,"skill","ShamanWeapon",8,,5,"common","TID_SHAMAN_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Shaman_ulti","sc/ui.sc","ulti_icon","Shaman",,"skill","ShamanUlti",5,50,5,"common","TID_SHAMAN_ULTI","TID_TURRET_DAMAGE","TID_TURRET_HEALTH","genicon_damage","genicon_health"
"TntDude_unlock","sc/ui.sc",,"TntDude",,"unlock",,,,1,"common",,,,,
"TntDude_hp","sc/ui.sc","health_icon","TntDude",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"TntDude_abi","sc/ui.sc","attack_icon","TntDude",,"skill","TntDudeWeapon",8,,5,"common","TID_MORTAR","TID_STAT_PER_DYNAMITE",,"genicon_damage",
"TntDude_ulti","sc/ui.sc","ulti_icon","TntDude",,"skill","TntDudeUlti",25,,5,"common","TID_MORTAR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Luchador_unlock","sc/ui.sc",,"Luchador",,"unlock",,,,1,"common",,,,,
"Luchador_hp","sc/ui.sc","health_icon","Luchador",,"hp",,65,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Luchador_abi","sc/ui.sc","attack_icon","Luchador",,"skill","LuchadorWeapon",4,,5,"common","TID_LUCHADOR_WEAPON","TID_STAT_DAMAGE_PER_STRIKE",,"genicon_damage",
"Luchador_ulti","sc/ui.sc","ulti_icon","Luchador",,"skill","LuchadorUlti",10,,5,"common","TID_LUCHADOR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Undertaker_unlock","sc/ui.sc",,"Undertaker",,"unlock",,,,1,"epic",,,,,
"Undertaker_hp","sc/ui.sc","health_icon","Undertaker",,"hp",,40,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Undertaker_abi","sc/ui.sc","attack_icon","Undertaker",,"skill","UndertakerWeapon",8,,5,"common","TID_UNDERTAKER_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"Undertaker_ulti","sc/ui.sc","ulti_icon","Undertaker",,"skill","UndertakerUlti",10,,5,"common","TID_UNDERTAKER_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
"Crow_unlock","sc/ui.sc",,"Crow",,"unlock",,,,1,"legendary",,,,,
"Crow_hp","sc/ui.sc","health_icon","Crow",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Crow_abi","sc/ui.sc","attack_icon","Crow",,"skill","CrowWeapon",3,,5,"common","TID_CROW_WEAPON","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",
"Crow_ulti","sc/ui.sc","ulti_icon","Crow",,"skill","CrowUlti",3,,5,"common","TID_CROW_ULTI","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",
"DeadMariachi_unlock","sc/ui.sc",,"DeadMariachi",,"unlock",,,,1,"rare",,,,,
"DeadMariachi_hp","sc/ui.sc","health_icon","DeadMariachi",,"hp",,40,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"DeadMariachi_abi","sc/ui.sc","attack_icon","DeadMariachi",,"skill","DeadMariachiWeapon",8,,5,"common","TID_DEAD_MARIACHI_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"DeadMariachi_ulti","sc/ui.sc","ulti_icon","DeadMariachi",,"skill","DeadMariachiUlti",20,,5,"common","TID_DEAD_MARIACHI_ULTI","TID_STAT_HEAL",,"genicon_health",
"BowDude_unlock","sc/ui.sc",,"BowDude",,"unlock",,,,1,"epic",,,,,
"BowDude_hp","sc/ui.sc","health_icon","BowDude",,"hp",,45,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BowDude_abi","sc/ui.sc","attack_icon","BowDude",,"skill","BowDudeWeapon",4,,5,"common","TID_BOW_DUDE_WEAPON","TID_STAT_DAMAGE_PER_ARROW",,"genicon_damage",
"BowDude_ulti","sc/ui.sc","ulti_icon","BowDude",,"skill","BowDudeUlti",15,,5,"common","TID_BOW_DUDE_ULTI","TID_STAT_DAMAGE_PER_MINE",,"genicon_damage",
"Sniper_unlock","sc/ui.sc",,"Sniper",,"unlock",,,,1,"epic",,,,,
"Sniper_hp","sc/ui.sc","health_icon","Sniper",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Sniper_abi","sc/ui.sc","attack_icon","Sniper",,"skill","SniperWeapon",23,,5,"common","TID_SNIPER_WEAPON","TID_STAT_MAX_DAMAGE",,"genicon_damage",
"Sniper_ulti","sc/ui.sc","ulti_icon","Sniper",,"skill","SniperUlti",15,,5,"common","TID_SNIPER_ULTI","TID_STAT_DAMAGE_PER_BOMB",,"genicon_damage",
"MinigunDude_unlock","sc/ui.sc",,"MinigunDude",,"unlock",,,,1,"epic",,,,,
"MinigunDude_hp","sc/ui.sc","health_icon","MinigunDude",,"hp",,60,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"MinigunDude_abi","sc/ui.sc","attack_icon","MinigunDude",,"skill","MinigunDudeWeapon",3,,5,"common","TID_MINIGUN_DUDE_WEAPON","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"MinigunDude_ulti","sc/ui.sc","ulti_icon","MinigunDude",,"skill","MinigunDudeUlti",5,40,5,"common","TID_MINIGUN_DUDE_ULTI","TID_STAT_DAMAGE",,"genicon_damage",
