Name,Conf,Disabled,Campaigns,IconOverride,SkinGroupId,ObtainType,ObtainTypeCN,LastChance,MasterSkin,PetSkin,PetSkin2,CostClubCoins,CostStarPoints,CostGems,CostCoins,TID,ShopTID,Features,CommunityCredit,MaterialsFile,BlueTexture,RedTexture,BlueSpecular,RedSpecular,OutlineShader
CrowDefault,CrowDefault,,,,,,,,,,,,,,,,,,,,crow_tex.pvr,crow_tex.pvr,crow_tex.pvr,crow_tex.pvr,
CrowWhite,CrowWhite,,,,,,,,,,,,,79,,TID_CROW_WHITE_SKIN,TID_CROW_WHITE_SKIN_SHOP,"MODEL,TEXTURE",,,crow_white_tex.pvr,crow_white_tex.pvr,crow_white_tex.pvr,crow_white_tex.pvr,
DeadMariachiDefault,DeadMariachiDefault,,,,,,,,,,,,,,,,,,,,poco_tex.pvr,poco_tex.pvr,poco_tex.pvr,poco_tex.pvr,
BowDudeDefault,BowDudeDefault,,,,,,,,,BowDudeTotemDefault,,,,,,,,,,,bo_tex.pvr,bo_tex.pvr,bo_tex.pvr,bo_tex.pvr,
SniperDefault,SniperDefault,,,,,,,,,,,,,,,,,,,,piper_tex.pvr,piper_tex.pvr,piper_tex.pvr,piper_tex.pvr,
MinigunDudeDefault,MinigunDudeDefault,,,,,,,,,HealstationDefault,,,,,,,,,,,,,,,
BullGuyHair,BullGuyHair,,ARCHIVED,,,4,4,,,,,,,79,,TID_BULL_HAIR_SKIN,TID_BULL_HAIR_SKIN_SHOP,MODEL,,,bull_viking_tex.pvr,bull_viking_tex.pvr,bull_viking_tex.pvr,bull_viking_tex.pvr,
TrickshotGold,TrickshotGold,,,,,,,,,,,,,149,,TID_TRICKSHOT_GOLD_SKIN,TID_TRICKSHOT_GOLD_SKIN_SHOP,"MODEL,VFX",,,rico_gold_tex.pvr,rico_gold_tex.pvr,rico_gold_tex.pvr,rico_gold_tex.pvr,
BarkeepGold,BarkeepGold,,,,,,,,,,,,,29,,TID_BARKEEP_GOLD_SKIN,TID_BARKEEP_GOLD_SKIN_SHOP,"MODEL,VFX",,,barley_banker_tex.pvr,barley_banker_tex.pvr,barley_banker_tex.pvr,barley_banker_tex.pvr,
LuchadorRudo,LuchadorRudo,,,,,,,,,,,,,79,,TID_LUCHADOR_RUDO_SKIN,TID_LUCHADOR_RUDO_SKIN_SHOP,"MODEL,VFX,ANIM",,,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,
BanditGirlBandita,BanditGirlBandita,,,,,,4,,,,,,,29,,TID_SHOTGUN_BANDITA_SKIN,TID_SHOTGUN_BANDITA_SKIN_SHOP,MODEL,,,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,
LuchadorRey,LuchadorRey,,,,,,,,,,,,,149,,TID_LUCHADOR_KING_SKIN,TID_LUCHADOR_KING_SKIN_SHOP,"MODEL,VFX,ANIM",,,primo_elrey_tex.pvr,primo_elrey_tex.pvr,primo_elrey_tex.pvr,primo_elrey_tex.pvr,
BallDefault,BallDefault,,,,,,,,,,,,,,,,,,,,,,,,
BlackholeDefault,BlackholeDefault,,,,,,,,,,,,,,,,,,,,tara_tex.pvr,tara_tex.pvr,tara_tex.pvr,tara_tex.pvr,
HealstationDefault,HealstationDefault,,,,,,,,,,,,,,,,,,,,pam_turret_blue_tex.pvr,pam_turret_red_tex.pvr,pam_turret_blue_tex.pvr,pam_turret_red_tex.pvr,
BarrelbotDefault,BarrelbotDefault,,,,,,,,,,,,,,,,,,,,darryl_tex.pvr,darryl_tex.pvr,darryl_tex.pvr,"darryl_tex.pvr+value(masks/darryl/darryl_msk.png,0.698000)",
BlackholePetDefault,BlackholePetDefault,,,,,,,,,,,,,,,,,,,,tara_superability_tex.pvr,tara_superability_tex.pvr,tara_superability_tex.pvr,tara_superability_tex.pvr,
TntPetDefault,TntPetDefault,,,,,,,,,,,,,,,,,,,,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,
RangedBotDefault,RangedBotDefault,,,,,,,,,,,,,,,,,,,,rangedbot_tex.pvr,rangedbot_tex.pvr,rangedbot_tex.pvr,rangedbot_tex.pvr,
MeleeFastBotDefault,MeleeFastBotDefault,,,,,,,,,,,,,,,,,,,,fastmeleebot_tex.pvr,fastmeleebot_tex.pvr,fastmeleebot_tex.pvr,fastmeleebot_tex.pvr,
MeleeBotDefault,MeleeBotDefault,,,,,,,,,,,,,,,,,,,,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,
BossBotDefault,BossBotDefault,,,,,,,,,,,,,,,,,,,,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,
ArtilleryGalDefault,ArtilleryGalDefault,,,,,,,,,ArtilleryTurretDefault,,,,,,,,,,,mari_tex.pvr,mari_tex.pvr,mari_tex.pvr,mari_tex.pvr,
FrankDefault,FrankDefault,,,,,,,,,,,,,,,,,,,,frank_tex.pvr,frank_tex.pvr,frank_tex.pvr,frank_tex.pvr,
ArtilleryTurretDefault,ArtilleryTurretDefault,,,,,,,,,,,,,,,,,,,,mari_tex.pvr,mari_tex.pvr,mari_tex.pvr,mari_tex.pvr,
MechanicKnight,MechanicKnight,,,,,,,,,TurretDragon,,,,149,,TID_MECHANIC_KNIGHT_SKIN,TID_MECHANIC_KNIGHT_SKIN_SHOP,"MODEL,TURRET,VFX,ANIM",,,jessie_knight_tex.pvr,jessie_knight_tex.pvr,jessie_knight_tex.pvr,jessie_knight_tex.pvr,
FrankCaveman,FrankCaveman,,ARCHIVED,,,4,4,,,,,,,79,,TID_FRANK_CAVEMAN_SKIN,TID_FRANK_CAVEMAN_SKIN_SHOP,MODEL,,,frank_caveman_01.pvr,frank_caveman_01.pvr,frank_caveman_01.pvr,frank_caveman_01.pvr,
TurretDragon,TurretDragon,,,,,,,,,,,,,,,,,,,,turret_dragon_tex.pvr,turret_dragon_tex.pvr,turret_dragon_tex.pvr,turret_dragon_tex.pvr,
MechanicSummer,MechanicSummer,,,,,,,,,TurretSummertime,,,,79,,TID_MECHANIC_SUMMER_SKIN,TID_MECHANIC_SUMMER_SKIN_SHOP,"MODEL,TURRET,VFX",,,jessie_summertime_tex.pvr,jessie_summertime_tex.pvr,jessie_summertime_tex.pvr,jessie_summertime_tex.pvr,
TurretSummertime,TurretSummertime,,,,,,,,,,,,,,,,,,,,turret_summertime_tex.pvr,turret_summertime_tex.pvr,turret_summertime_tex.pvr,turret_summertime_tex.pvr,
CrowPheonix,CrowPheonix,,LEGENDARYSET,,,,,,,,,,,299,,TID_CROW_PHEONIX_SKIN,TID_CROW_PHEONIX_SKIN_SHOP,"MODEL,VFX,ANIM",,,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,
UndertakerGreaser,UndertakerGreaser,,RETRO,emoji_mortis_retro,,3,3,,,,,,,149,,TID_UNDERTAKER_GREASER_SKIN,TID_UNDERTAKER_GREASER_SKIN_SHOP,"MODEL,ANIM",,,mortis_greaser_tex_02.pvr,mortis_greaser_tex_02.pvr,mortis_greaser_tex_02.pvr,mortis_greaser_tex_02.pvr,
BigBotDefault,BigBotDefault,,,,,,,,,,,,,,,,,,,,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,
BanditGirlPrereg,BanditGirlPrereg,,,,,1,3,,,,,,,,,TID_SHOTGUN_STAR_SKIN,TID_SHOTGUN_STAR_SKIN_SHOP,"MODEL,VFX",,,shelly_prereg_01.pvr,shelly_prereg_01.pvr,shelly_prereg_01.pvr,shelly_prereg_01.pvr,
LootBox,LootBox,,,,,,,,,,,,,,,,,,,,,,,,
TntBox,TntBox,,,,,,,,,,,,,,,,,,,,,,,,
Safe,Safe,,,,,,,,,,,,,,,,,,,,,,,,
TntGuySanta,TntGuySanta,,BRAWLIDAYS_2018,,,4,4,true,,,,,,79,,TID_DYNAMIKE_SANTA_SKIN,TID_DYNAMIKE_SANTA_SKIN_SHOP,"MODEL,VFX",,,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,221.860001)",dynamike_santa_tex.pvr,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,213.488007)",dynamike_santa_tex.pvr,
TntGuyChef,TntGuyChef,,ARCHIVED,,,4,4,,,,,,,149,,TID_DYNAMIKE_CHEF_SKIN,TID_DYNAMIKE_CHEF_SKIN_SHOP,"MODEL,VFX",,,"dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,221.860001)",dynamike_chef_tex.pvr,"dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,213.488007)",dynamike_chef_tex.pvr,
RocketGirlBoombox,RocketGirlBoombox,,ARCHIVED,,,4,4,,,,,,,79,,TID_BROCK_BOOMBOX_SKIN,TID_BROCK_BOOMBOX_SKIN_SHOP,MODEL,,,"brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,230.233002)",brock_boombox_tex.pvr,"brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,213.488007)",brock_boombox_tex.pvr,
BarkeepWizard,BarkeepWizard,,,,,2,4,,,,,,,,,TID_BARLEY_WIZARD_SKIN,TID_BARLEY_WIZARD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX",,,barley_wizard_tex.pvr,barley_wizard_tex.pvr,barley_wizard_tex.pvr,barley_wizard_tex.pvr,
ShamanReindeer,ShamanReindeer,,BRAWLIDAYS_2018,,,4,4,true,,ShamanBearReindeer,,,,149,,TID_NITA_REINDEER_SKIN,TID_NITA_REINDEER_SKIN_SHOP,"MODEL,PET",,,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,
ArtilleryGalElf,ArtilleryGalElf,,BRAWLIDAYS_2018,,,4,4,true,,ArtilleryTurretElf,,,,79,,TID_PENNY_ELF_SKIN,TID_PENNY_ELF_SKIN_SHOP,"MODEL,TURRET,VFX",,,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,
NinjaDefault,NinjaDefault,,,,,,,,,,,,,,,,,,,,leon_tex.pvr,leon_tex.pvr,leon_tex.pvr,leon_tex.pvr,
UndertakerHat,UndertakerHat,,,,1,5,5,,UndertakerDefault,,,,,,,TID_UNDERTAKER_HAT_SKIN,TID_UNDERTAKER_HAT_SKIN_SHOP,MODEL,,,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,
BullGuyFootbull,BullGuyFootbull,,ARCHIVED,,,4,4,,,,,,,79,,TID_SKIN_FOOTBULL,TID_SKIN_FOOTBULL_SHOP,MODEL,,,bull_footbull_tex.pvr,bull_footbull_tex.pvr,bull_footbull_tex.pvr,bull_footbull_tex.pvr,
ShamanBearReindeer,ShamanBearReindeer,,,,,,,,,,,,,,,,,,,,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,
ArtilleryTurretElf,ArtilleryTurretElf,,,,,,,,,,,,,,,,,,,,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,
HookDefault,HookDefault,,,,,,,,,,,,,,,,,,,,gene_tex.pvr,gene_tex.pvr,gene_tex.pvr,gene_tex.pvr,
TrickshotPopcorn,TrickshotPopcorn,,,,,,,,,,,,,149,,TID_SKIN_POPCORN_RICO,TID_SKIN_POPCORN_RICO_SHOP,"MODEL,VFX",,,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,
GunSlingerHanbok,GunSlingerHanbok,,LNY_2019,,,4,4,true,,,,,,149,,TID_SKIN_LUNAR_COLT,TID_SKIN_LUNAR_COLT_SHOP,"MODEL,TEXTURE,VFX",,,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,
BarrelbotCny,BarrelbotCny,,LNY_2019,,,4,4,true,,,,,,79,,TID_SKIN_DUMPLING_DARRYL,TID_SKIN_DUMPLING_DARRYL_SHOP,"MODEL,TEXTURE,VFX",,,darryl_cny_tex.pvr,darryl_cny_tex.pvr,darryl_cny_tex.pvr,darryl_cny_tex.pvr,
PocoValentine,PocoValentine,,BRAWLENTINES,emoji_poco_stvalentines,,,,,,,,,,149,,TID_SKIN_VALENTINE_POCO,TID_SKIN_VALENTINE_POCO_SHOP,"MODEL,VFX",,,poco_valentine_tex.pvr,poco_valentine_tex.pvr,poco_valentine_tex.pvr,poco_valentine_tex.pvr,
RocketGirlCny,RocketGirlCny,,LNY_2019,,,4,4,true,,,,,,149,,TID_SKIN_LUNAR_BROCK,TID_SKIN_LUNAR_BROCK_SHOP,"MODEL,TEXTURE,VFX",,,brock_cny_tex.pvr,brock_cny_tex.pvr,brock_cny_tex.pvr,brock_cny_tex.pvr,
WhirlwindDefault,WhirlwindDefault,,,,,,,,,,,,,,,,,,,,carl_tex.pvr,carl_tex.pvr,carl_tex.pvr,carl_tex.pvr,
RoboWarsBox,RoboWarsBox,,,,,,,,,,,,,,,,,,,,,,,,
UndertakerNightwitch,UndertakerNightwitch,,,,,,,,,,,,,149,,TID_UNDERTAKER_NIGHTWITCH_SKIN,TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,"MODEL,VFX",,,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,
RoboWarsBaseDefault,RoboWarsBaseDefault,,,,,,,,,,,,,,,,,,,,siege_base.pvr,siege_base_red.pvr,,,
RosaDefault,RosaDefault,,,,,,,,,,,,,,,,,,,,,,,,
MineCart,MineCart,,,,,,,,,,,,,,,,,,,,,,,,
ShamanShiba,ShamanShiba,,,,,,,,,ShamanBearShiba,,,,149,,TID_SHAMAN_SHIBA_SKIN,TID_SHAMAN_SHIBA_SKIN_SHOP,"MODEL,PET,VFX,ANIM,SFX",,,nita_shiba_tex.pvr,nita_shiba_tex.pvr,nita_shiba_tex.pvr,nita_shiba_tex.pvr,
ShamanBearShiba,ShamanBearShiba,,,,,,,,,,,,,,,,,,,,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,
BaseballDefault,BaseballDefault,,,,,,,,,,,,,,,,,,,,bibi_tex.pvr,bibi_tex.pvr,bibi_tex.pvr,bibi_tex.pvr,
MineCartB,MineCartB,,,,,,,,,,,,,,,,,,,,,,,,
MineCartC,MineCartC,,,,,,,,,,,,,,,,,,,,,,,,
MineCartD,MineCartD,,,,,,,,,,,,,,,,,,,,,,,,
MineCartE,MineCartE,,,,,,,,,,,,,,,,,,,,,,,,
ClusterBombDefault,ClusterBombDefault,,,,,,,,,ClusterBombPetDefault,,,,,,,,,,,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,
ClusterBombPetDefault,ClusterBombPetDefault,,,,,,,,,,,,,,,,,,,,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,
ArtilleryGalBunny,ArtilleryGalBunny,,,,,,,,,ArtilleryTurretBunny,,,,79,,TID_PENNY_BUNNY_SKIN,TID_PENNY_BUNNY_SKIN_SHOP,"MODEL,TURRET,VFX",,,penny_bunny_tex.pvr,penny_bunny_tex.pvr,penny_bunny_tex.pvr,penny_bunny_tex.pvr,
ArtilleryTurretBunny,ArtilleryTurretBunny,,,,,,,,,,,,,,,,,,,,penny_bunny_tex.pvr,penny_bunny_tex.pvr,penny_bunny_tex.pvr,penny_bunny_tex.pvr,
BarkeepMs,BarkeepMs,,RETRO,emoji_barley_retro,,3,3,,,,,,,149,,TID_BARLEY_MS_SKIN,TID_BARLEY_MS_SKIN_SHOP,"MODEL,VFX,ANIM",,,barley_ms_tex.pvr,barley_ms_tex.pvr,barley_ms_tex.pvr,barley_ms_tex.pvr,
RocketGirlHotrod,RocketGirlHotrod,,RETRO,emoji_brock_retro,,3,3,,,,,,,149,,TID_BROCK_HOTROD_SKIN,TID_BROCK_HOTROD_SKIN_SHOP,"MODEL,VFX",,,brock_hotrod_tex.pvr,brock_hotrod_tex.pvr,brock_hotrod_tex.pvr,brock_hotrod_tex.pvr,
BarkeepMaple,BarkeepLumberjack,,,,,,,,,,,,,79,,TID_BARLEY_MAPLE_SKIN,TID_BARLEY_MAPLE_SKIN_SHOP,"MODEL,VFX",,,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,
WhirlwindRR,WhirlwindHotrod,,RETRO,emoji_carl_retro,,3,3,,,,,,,79,,TID_CARL_RR_SKIN,TID_CARL_RR_SKIN_SHOP,"MODEL,VFX",,,carl_hotrod_tex.pvr,carl_hotrod_tex.pvr,carl_hotrod_tex.pvr,carl_hotrod_tex.pvr,
BoMecha,BoMecha,,,,8,,,,,,,,,299,,TID_BO_MECHA_SKIN,TID_BO_MECHA_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)",bo_mecha_tex.png,"bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)",bo_mecha_tex.png,
CrowMecha,CrowMecha,,LEGENDARYSET,,9,,,,,,,,,299,,TID_CROW_MECHA_SKIN,TID_CROW_MECHA_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,crow_mecha_tex.png,crow_mecha_tex.png,crow_mecha_tex.png,crow_mecha_tex.png,
Cactusmecha,Cactusmecha,,LEGENDARYSET,,,,,,,,,,,149,,TID_SPIKE_ROBO_SKIN,TID_SPIKE_ROBO_SKIN_SHOP,"MODEL,VFX,ANIM,SFX",,,spike_mecha_tex.pvr,spike_mecha_tex.pvr,spike_mecha_tex.pvr,spike_mecha_tex.pvr,
TntDudeMecha,TntDudeMecha,,,,,,,,,,,,,299,,TID_MIKE_ROBO_SKIN,TID_MIKE_ROBO_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)+value(masks/dynamike/dynamike_mecha_ammo_msk.png,1.279000)",dynamike_mecha_tex.pvr,"dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)",dynamike_mecha_tex.pvr,
BowDudeMechaWhite,BoMecha,,,,8,,,,,BowDudeTotemDefault,,,10000,,,TID_BO_MECHA_LIGHT_SKIN,TID_BO_MECHA_LIGHT_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_colour02_msk.png,0.000000)",
BowDudeMechaGold,BoMecha,,,,8,,,,,BowDudeTotemDefault,,,50000,,,TID_BO_MECHA_GOLD_SKIN,TID_BO_MECHA_GOLD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)",
CrowMechaGold,CrowMecha,,,,9,,,,,,,,50000,,,TID_CROW_MECHA_GOLD_SKIN,TID_CROW_MECHA_GOLD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,crow_mechagold_tex.png,crow_mechagold_tex.png,crow_mechagold_tex.png,crow_mechagold_tex.png,
