Name,Disabled,FileName,ExportName,Character,Skin,IsPicto,BattleCategory,Rarity,EmoteType,SoundEffect,SfxIndex,LockedForChronos,EmoteBundles,IsDefaultBattleEmote
emoji_poco_gg,,sc/ui.sc,emoji_poco_gg,DeadMariachi,,,SPECIAL,RARE,GG,Poco_lead,2,,,
emoji_poco_sad,,sc/ui.sc,emoji_poco_sad,DeadMariachi,,,SAD,COMMON,SAD,Poco_hurt,3,,,
emoji_poco_thanks,,sc/ui.sc,emoji_poco_thanks,DeadMariachi,,,SPECIAL,EPIC,THANKS,Poco_start,2,,,
emoji_primo,,sc/ui.sc,emoji_primo,Luchador,,TRUE,DEFAULT,DEFAULT,DEFAULT,El_primo_start,1,,,
emoji_primo_angry,,sc/ui.sc,emoji_primo_angry,Luchador,,,ANGRY,COMMON,ANGRY,El_primo_hurt,3,,,
emoji_primo_gg,,sc/ui.sc,emoji_primo_gg,Luchador,,,SPECIAL,RARE,GG,El_primo_kill,1,,,
emoji_primo_sad,,sc/ui.sc,emoji_primo_sad,Luchador,,,SAD,COMMON,SAD,El_primo_die,0,,,
emoji_primo_thanks,,sc/ui.sc,emoji_primo_thanks,Luchador,,,SPECIAL,EPIC,THANKS,El_primo_start,5,,,
emoji_rage,,sc/ui.sc,emoji_rage,,,,ANGRY,DEFAULT,ANGRY,,,,,TRUE
emoji_rico,,sc/ui.sc,emoji_rico,TrickshotDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Rick_start,2,,,
emoji_rico_angry,,sc/ui.sc,emoji_rico_angry,TrickshotDude,,,ANGRY,COMMON,ANGRY,Rick_hurt,4,,,
emoji_rico_gg,,sc/ui.sc,emoji_rico_gg,TrickshotDude,,,SPECIAL,RARE,GG,Rick_kill,5,,,
emoji_rico_sad,,sc/ui.sc,emoji_rico_sad,TrickshotDude,,,SAD,COMMON,SAD,Rick_die,0,,,
emoji_rico_thanks,,sc/ui.sc,emoji_rico_thanks,TrickshotDude,,,SPECIAL,EPIC,THANKS,Rick_start,4,,,
emoji_rosa,,sc/ui.sc,emoji_rosa,Rosa,,TRUE,DEFAULT,DEFAULT,DEFAULT,Rosa_start,0,,,
emoji_rosa_angry,,sc/ui.sc,emoji_rosa_angry,Rosa,,,ANGRY,COMMON,ANGRY,Rosa_die,1,,,
emoji_rosa_gg,,sc/ui.sc,emoji_rosa_gg,Rosa,,,SPECIAL,RARE,GG,Rosa_ulti_vo,0,,,
emoji_rosa_sad,,sc/ui.sc,emoji_rosa_sad,Rosa,,,SAD,COMMON,SAD,Rosa_die,2,,,
emoji_rosa_thanks,,sc/ui.sc,emoji_rosa_thanks,Rosa,,,SPECIAL,EPIC,THANKS,Rosa_lead,2,,,
emoji_sad,,sc/ui.sc,emoji_sad,,,,SAD,DEFAULT,SAD,,,,,TRUE
emoji_sandy,,sc/ui.sc,emoji_sandy,Sandstorm,,TRUE,DEFAULT,DEFAULT,DEFAULT,Sandy_start_vo,0,,,
emoji_sandy_angry,,sc/ui.sc,emoji_sandy_angry,Sandstorm,,,ANGRY,COMMON,ANGRY,Sandy_hurt_vo,1,,,
emoji_sandy_gg,,sc/ui.sc,emoji_sandy_gg,Sandstorm,,,SPECIAL,RARE,GG,Sandy_kill_vo,0,,,
emoji_sandy_sad,,sc/ui.sc,emoji_sandy_sad,Sandstorm,,,SAD,COMMON,SAD,Sandy_die_vo,2,,,
emoji_sandy_thanks,,sc/ui.sc,emoji_sandy_thanks,Sandstorm,,,SPECIAL,EPIC,THANKS,Sandy_kill_vo,1,,,
emoji_shelly,,sc/ui.sc,emoji_shelly,ShotgunGirl,,TRUE,DEFAULT,DEFAULT,DEFAULT,Shelly_Start,3,,,
emoji_shelly_angry,,sc/ui.sc,emoji_shelly_angry,ShotgunGirl,,,ANGRY,COMMON,ANGRY,Shelly_Die,3,,,
emoji_shelly_gg,,sc/ui.sc,emoji_shelly_gg,ShotgunGirl,,,SPECIAL,RARE,GG,Shelly_Lead,0,,,
emoji_shelly_sad,,sc/ui.sc,emoji_shelly_sad,ShotgunGirl,,,SAD,COMMON,SAD,Shelly_Die,0,,,
emoji_shelly_thanks,,sc/ui.sc,emoji_shelly_thanks,ShotgunGirl,,,SPECIAL,EPIC,THANKS,Shelly_Lead,3,,,
emoji_shocked,,sc/ui.sc,emoji_shocked,,,,SAD,DEFAULT,SAD,,,,,
emoji_smile,,sc/ui.sc,emoji_smile,,,,HAPPY,DEFAULT,HAPPY,,,,,TRUE
emoji_speechless,,sc/ui.sc,emoji_speechless,,,,SAD,DEFAULT,SAD,,,,,
emoji_spike,,sc/ui.sc,emoji_spike,Cactus,,TRUE,DEFAULT,DEFAULT,DEFAULT,,,,,
emoji_spike_angry,,sc/ui.sc,emoji_spike_angry,Cactus,,,ANGRY,COMMON,ANGRY,,,,,
emoji_spike_gg,,sc/ui.sc,emoji_spike_gg,Cactus,,,SPECIAL,RARE,GG,,,,,
emoji_spike_sad,,sc/ui.sc,emoji_spike_sad,Cactus,,,SAD,COMMON,SAD,,,,,
emoji_spike_thanks,,sc/ui.sc,emoji_spike_thanks,Cactus,,,SPECIAL,EPIC,THANKS,,,,,
emoji_sprout,,sc/ui.sc,emoji_sprout,Wally,,TRUE,DEFAULT,DEFAULT,DEFAULT,Sprout_Start_VO,0,,,
emoji_sprout_angry,,sc/ui.sc,emoji_sprout_angry,Wally,,,ANGRY,COMMON,ANGRY,Sprout_Die_VO,1,,,
emoji_sprout_gg,,sc/ui.sc,emoji_sprout_gg,Wally,,,SPECIAL,RARE,GG,Sprout_Lead_VO,0,,,
emoji_sprout_sad,,sc/ui.sc,emoji_sprout_sad,Wally,,,SAD,COMMON,SAD,Sprout_Hurt_VO,2,,,
emoji_sprout_thanks,,sc/ui.sc,emoji_sprout_thanks,Wally,,,SPECIAL,EPIC,THANKS,Sprout_Start_VO,3,,,
emoji_stunned,,sc/ui.sc,emoji_stunned,,,,SAD,DEFAULT,SAD,,,,,
emoji_tara,,sc/ui.sc,emoji_tara,BlackHole,,TRUE,DEFAULT,DEFAULT,DEFAULT,Tara_start_vo,0,,,
emoji_tara_angry,,sc/ui.sc,emoji_tara_angry,BlackHole,,,ANGRY,COMMON,ANGRY,Tara_hurt_vo,2,,,
emoji_tara_gg,,sc/ui.sc,emoji_tara_gg,BlackHole,,,SPECIAL,RARE,GG,Tara_kill_vo,3,,,
emoji_tara_sad,,sc/ui.sc,emoji_tara_sad,BlackHole,,,SAD,COMMON,SAD,Tara_die_vo,1,,,
emoji_tara_thanks,,sc/ui.sc,emoji_tara_thanks,BlackHole,,,SPECIAL,EPIC,THANKS,Tara_lead_vo,0,,,
emoji_thumbsdown,,sc/ui.sc,emoji_thumbsdown,,,,SPECIAL,DEFAULT,THANKS,,,,,
emoji_thumbsup,,sc/ui.sc,emoji_thumbsup,,,,SPECIAL,DEFAULT,THANKS,,,,,
emoji_tick,,sc/ui.sc,emoji_tick,ClusterBombDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Tick_vo_1,0,,,
emoji_tick_angry,,sc/ui.sc,emoji_tick_angry,ClusterBombDude,,,ANGRY,COMMON,ANGRY,Tick_vo_hurt,2,,,
emoji_tick_gg,,sc/ui.sc,emoji_tick_gg,ClusterBombDude,,,SPECIAL,RARE,GG,Tick_vo_1,1,,,
emoji_tick_sad,,sc/ui.sc,emoji_tick_sad,ClusterBombDude,,,SAD,COMMON,SAD,Tick_vo_hurt,0,,,
emoji_tick_thanks,,sc/ui.sc,emoji_tick_thanks,ClusterBombDude,,,SPECIAL,EPIC,THANKS,Tick_vo_1,3,,,
emoji_8bit_happy,,sc/ui.sc,emoji_8bit_happy,Arcade,,,HAPPY,COMMON,HAPPY,8bit_lead_vo,0,,,
emoji_barley_happy,,sc/ui.sc,emoji_barley_happy,Barkeep,,,HAPPY,COMMON,HAPPY,Barley_Kill,2,,,
emoji_bea_happy,,sc/ui.sc,emoji_bea_happy,BeeSniper,,,HAPPY,COMMON,HAPPY,Bea_Kill_VO,0,,,
emoji_bibi_happy,,sc/ui.sc,emoji_bibi_happy,Baseball,,,HAPPY,COMMON,HAPPY,Bibi_lead_vo,0,,,
emoji_bo_happy,,sc/ui.sc,emoji_bo_happy,BowDude,,,HAPPY,COMMON,HAPPY,Bo_kill,0,,,
emoji_brock_happy,,sc/ui.sc,emoji_brock_happy,RocketGirl,,,HAPPY,COMMON,HAPPY,Brock_lead_vo,0,,,
emoji_bull_happy,,sc/ui.sc,emoji_bull_happy,BullDude,,,HAPPY,COMMON,HAPPY,Bull_kill,1,,,
emoji_carl_happy,,sc/ui.sc,emoji_carl_happy,Whirlwind,,,HAPPY,COMMON,HAPPY,Carl_ulti_vo,1,,,
emoji_colt_happy,,sc/ui.sc,emoji_colt_happy,Gunslinger,,,HAPPY,COMMON,HAPPY,Hotshot_Lead,3,,,
emoji_crow_happy,,sc/ui.sc,emoji_crow_happy,Crow,,,HAPPY,COMMON,HAPPY,Crow_Kill,0,,,
emoji_darryl_happy,,sc/ui.sc,emoji_darryl_happy,BarrelBot,,,HAPPY,COMMON,HAPPY,Darryl_Kill_VO,2,,,
emoji_dynamike_happy,,sc/ui.sc,emoji_dynamike_happy,TntDude,,,HAPPY,COMMON,HAPPY,Tnt_guy_kill_vo,2,,,
emoji_emz_happy,,sc/ui.sc,emoji_emz_happy,Mummy,,,HAPPY,COMMON,HAPPY,Emz_ulti_vo,0,,,
emoji_frank_happy,,sc/ui.sc,emoji_frank_happy,HammerDude,,,HAPPY,COMMON,HAPPY,Frank_vo,4,,,
emoji_gene_happy,,sc/ui.sc,emoji_gene_happy,HookDude,,,HAPPY,COMMON,HAPPY,Gene_vo,1,,,
emoji_jacky_happy,,sc/ui.sc,emoji_jacky_happy,Driller,,,HAPPY,COMMON,HAPPY,Jackie_Ulti_VO,1,,,
emoji_jessie_happy,,sc/ui.sc,emoji_jessie_happy,Mechanic,,,HAPPY,COMMON,HAPPY,Jess_kill,0,,,
emoji_leon_happy,,sc/ui.sc,emoji_leon_happy,Ninja,,,HAPPY,COMMON,HAPPY,Leon_kill_vo,1,,,
emoji_mortis_happy,,sc/ui.sc,emoji_mortis_happy,Undertaker,,,HAPPY,COMMON,HAPPY,Mortis_lead,2,,,
emoji_nita_happy,,sc/ui.sc,emoji_nita_happy,Shaman,,,HAPPY,COMMON,HAPPY,Nita_kill,1,,,
emoji_pam_happy,,sc/ui.sc,emoji_pam_happy,MinigunDude,,,HAPPY,COMMON,HAPPY,Pam_lead,0,,,
