"TID","PL"
"TID_SHAMAN_ULTI","NIEDŹWIEDZIA PRZYSŁUGA"
"TID_SHAMAN_ULTI_DESC","Nita wzywa ducha Wielkiego Niedźwiadka, który przypuszcza atak na jej wrogów."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis błyskawicznie przesuwa się do przodu z każdym machnięciem łopaty. Podczas superataku nasyła na wrogów stado nietoperzy, które zadają im rany i leczą swojego pana."
"TID_UNDERTAKER_WEAPON","MACHNIĘCIE ŁOPATĄ"
"TID_UNDERTAKER_WEAPON_DESC","Mortis błyskawicznie przesuwa się do przodu z każdym potężnym machnięciem łopatą, bez wahania korzystając ze swojej przewagi."
"TID_UNDERTAKER_ULTI","ŻYCIODAJNA KREW"
"TID_UNDERTAKER_ULTI_DESC","Mortis przyzywa stado wampirycznych nietoperzy, które wysysają życie z jego wrogów i leczą swojego pana. Przerażające!"
"TID_CROW","KRUK"
"TID_CROW_DESC","Kruk wystrzeliwuje trzy zatrute sztylety. Jego superatakiem jest skok, podczas którego rzuca sztyletami zarówno w trakcie lotu, jak i w chwili lądowania."
"TID_CROW_WEAPON","NÓŻ SPRĘŻYNOWY"
"TID_CROW_WEAPON_DESC","Kruk rzuca trzema groźnymi sztyletami. Zranieni ich zatrutymi ostrzami wrogowie będą otrzymywać obrażenia w miarę upływu czasu."
"TID_CROW_ULTI","NALOT"
"TID_CROW_ULTI_DESC","Kruk wzbija się w niebo i podczas startu oraz lądowania rzuca wokół zatrutymi sztyletami."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco atakuje wrogów szkodliwymi falami dźwiękowymi. Superatak tego Zadymiarza może wyleczyć zarówno jego, jak i członków drużyny."
"TID_DEAD_MARIACHI_WEAPON","AKORD MOCY"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco swoim brzdękaniem na gitarze wysyła wstrząsające fale dźwiękowe. Wrogowie trafieni tymi falami odnoszą obrażenia."
"TID_DEAD_MARIACHI_ULTI","BIS!"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco leczy siebie i wszystkich znajomych, do których może dotrzeć swoją podnoszącą na duchu melodią. Nie ma ona wpływu na wrogów."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo posyła trzy wybuchowe strzały w kierunku wybranych celów. Podczas superataku umieszcza na ziemi trzy ukryte miny."
"TID_BOW_DUDE_WEAPON","STRZAŁ W DZIESIĄTKĘ"
"TID_BOW_DUDE_WEAPON_DESC","Bo wystrzeliwuje trzy wybuchowe strzały, które bezlitośnie rozszarpują wrogów."
"TID_BOW_DUDE_ULTI","PUŁAPKA"
"TID_BOW_DUDE_ULTI_DESC","Bo ukrywa w ziemi wybuchowe pułapki. Gdy zostaną uruchomione przez wrogów, po chwili eksplodują, odrzucając ich do tyłu i zadając im obrażenia."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Snajperskie strzały Piper zadają tym więcej obrażeń, im dalej lecą. Podczas superataku Piper rzuca sobie pod nogi granaty, a następnie odskakuje na bezpieczną odległość."
"TID_SNIPER_WEAPON","ZABÓJCZA PARASOLKA"
"TID_SNIPER_WEAPON_DESC","Piper strzela ze swojej parasolki niczym snajper. Im dalej leci strzał, tym większej nabiera mocy!"
"TID_SNIPER_ULTI","WYBUCHOWA DAMA"
"TID_SNIPER_ULTI_DESC","Piper odskakuje, aby oddalić się od nachalnych zalotników, jednak zostawia im prezent godny damy: odpięte od podwiązki granaty!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam oddaje strzał z biodra, zasypując swoje cele odłamkami pocisku. Jej superatak to leczące działko, które przywraca jej i członkom drużyny punkty życia!"
"TID_MINIGUN_DUDE_WEAPON","ZŁOMOBURZA"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam rozrzuca złom na dużym obszarze, więc pamiętaj, by założyć okulary ochronne!"
"TID_MINIGUN_DUDE_ULTI","BUZIAK OD MAMY"
"TID_MINIGUN_DUDE_ULTI_DESC","Działko leczące podreperuje kondycję Pam i pozostałych Zadymiarzy z drużyny, którzy znajdą się w jego zasięgu."
"TID_BONE_THROWER","Kościomiot"
"TID_BONE_THROWER_DESC","Minigunner ma naprawdę imponujące rozmiary! Uzbrojony w ogromny karabin maszynowy da sobie radę niemal z dowolną liczbą wrogów. (Porusza się powoli, ale jest odporny na odrzut)."
"TID_BONE_THROWER_WEAPON","MINIGUN"
"TID_BONE_THROWER_WEAPON_DESC","Minigunner świetnie sobie radzi z tym ogromnym karabinem maszynowym. Może się poruszać, nawet gdy broń strzela w całkowicie automatycznym trybie!"
"TID_BONE_THROWER_ULTI","DOZOWNIK BANDAŻY"
"TID_BONE_THROWER_ULTI_DESC","Czasami w trakcie intensywnej strzelaniny mogą ci się przytrafić zadrapania albo rany. Dozownik bandaży sprawi, że cała drużyna będzie w dobrej formie podczas walki!"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","Potrójny atak kartami tarota przebija wrogów na wylot. Superatak Tary to czarna otchłań, która wciąga najbliżej położonych wrogów, zadając im obrażenia."
"TID_BLACK_HOLE_WEAPON","TRZY KARTY TAROTA"
"TID_BLACK_HOLE_WEAPON_DESC","Zręcznym ruchem ręki Tara ciska trzy karty tarota we wrogów, przebijając ich na wylot. Niezła sztuczka!"
"TID_BLACK_HOLE_ULTI","GRAWITACJA"
"TID_BLACK_HOLE_ULTI_DESC","Tara wyczarowuje oszałamiającą studnię grawitacyjną. Będący w jej zasięgu wrogowie zostają w nią wessani i boleśnie zmiażdżeni."
"TID_TURRET_DAMAGE","Obrażenia działka"
"TID_TURRET_HEALTH","Punkty życia działka"
"TID_STAT_DAMAGE_PER_SECOND","Obrażenia na sekundę"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Obrażenia na sekundę"
"TID_STAT_DAMAGE_PER_STRIKE","Obrażenia od uderzenia"
"TID_ROBOT","BLASZANY SZERYF"
"TID_ROBOT_DESC","Zbudowany po to, by służyć. Zaprogramowany, by niszczyć."
"TID_ROBOT_WEAPON","RAKIETA DALEKIEGO ZASIĘGU"
"TID_ROBOT_WEAPON_DESC","Blaszany Szeryf z mechaniczną precyzją strzela wybuchową rakietą dalekiego zasięgu."
"TID_ROBOT_ULTI","KONTROLA NAD TŁUMEM"
"TID_ROBOT_ULTI_DESC","Gdy nadchodzi czas na zastosowanie drastycznych środków, Blaszany Szeryf posyła serię rakiet w kierunku nieposkromionych tłumów."
"TID_ARMOR_STAT","Punkty życia"
"TID_HEALTH","Punkty życia"
"TID_STAT_GRENADE_DAMAGE","Obrażenia od granatu"
"TID_STAT_MISSILE_DAMAGE","Obrażenia od rakiety"
"TID_STAT_HEALTH","Punkty zdrowia"
"TID_STAT_SPEED","Prędkość"
"TID_STAT_DAMAGE","Obrażenia"
"TID_STAT_DAMAGE_PER_SHOT","Obrażenia od pocisku"
"TID_STAT_DAMAGE_PER_SHELL","Obrażenia od naboju"
"TID_STAT_HAMMER_DAMAGE","Obrażenia co 0,2 s"
"TID_BATTLE","GRAJ"
"TID_QUIT","Wyjście"
"TID_MATCHMAKING_QUIT","Wyjście"
"TID_MATCHMAKING_HEADING","Wyszukiwanie graczy"
"TID_MATCHMAKING_TIME_LABEL","Rozpoczęcie gry za:"
"TID_MATCHMAKING_PLAYERS","Znaleziono graczy <x>/<y>"
"TID_BUTTON_CANCEL","Anuluj"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Witaj w Brawl Stars!"
"TID_ENTER_NAME_BODY","Jak masz na imię?"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Zaczynamy za <TIME>"
"TID_SUPERCELL_ID_TITLE","Identyfikator Supercell"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Połączono"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Połącz"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Zaloguj"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Graj bez"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Czy chcesz wczytać inną grę na <number>. poziomie doświadczenia? Możesz to zrobić, logując się za pomocą swojego identyfikatora Supercell."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Błąd!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Brak synchronizacji między klientem a serwerem!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Wczytaj grę ponownie"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Błąd połączenia"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Nie można połączyć się z serwerem. Sprawdź połączenie internetowe i spróbuj ponownie."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Spróbuj ponownie"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Logowanie nie powiodło się"
"TID_ERROR_POP_UP_LOGIN_FAILED","Spróbuj ponownie później."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Spróbuj ponownie"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Jesteś tam?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Kliknij poniższy przycisk, aby ponownie wczytać grę."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Wczytaj grę ponownie"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Dostępna aktualizacja!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Dobre wieści! Dostępna jest nowa wersja Brawl Stars."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Aktualizacja"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Przerwa konserwacyjna"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Przepraszamy, nasze serwery są w trakcie konserwacji. Prosimy spróbować później."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Spróbuj ponownie"
"TID_ERROR_POP_UP_BANNED_TITLE","Zostałeś zablokowany!"
"TID_ERROR_POP_UP_BANNED","Zostałeś chwilowo zablokowany"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Skontaktuj się z działem wsparcia"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Więcej informacji"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Ważny komunikat"
"TID_INFO_POP_UP_IAP_NOTE","Gra Brawl Stars jest dostępna za darmo, lecz pozwala przyspieszyć postępy dzięki zakupom w aplikacji (funkcję tę można wyłączyć w ustawieniach urządzenia). Stuknij OK, aby zaakceptować nasz Regulamin i Politykę prywatności."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Błąd serwera <number>"
"TID_SERVER_ERROR","Twoje połączenie zostało przerwane w trakcie walki."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_COME_BACK_NOTIFICATION_SMALL","Co powiesz na kolejną bitwę?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Co powiesz na kolejną bitwę?"
"TID_COME_BACK_NOTIFICATION_LARGE","Co powiesz na kolejną bitwę?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Utracono połączenie"
"TID_ERROR_POP_UP_CONNECTION_LOST","Spróbuj zalogować się ponownie!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Zaloguj się ponownie"
"TID_TROPHIES","Puchary"
"TID_PRACTICE","ĆWICZENIA"
