"TID","AR"
"TID_REVOKE_TITLE","رسالة من فريق الدعم"
"TID_REVOKE_OK","حسنًا"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","تعذر إرسال طلب الانضمام. أنت في فريق بالفعل"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","تعذر إرسال طلب الانضمام. لديك دعوة فريق معلقة"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","تعذر إرسال طلب الانضمام. لديك طلب انضمام معلق"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","أُلغي طلب الانضمام"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","أريد الانضمام إلى فريقك"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>نصر</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>هزيمة</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>تعادل</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>الترتيب <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>الترتيب <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>الترتيب <RANK></c>"
"TID_BATTLE_LOG_AGE","قبل <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","مستوى"
"TID_BATTLE_LOG_TVST_VERSUS","ضد"
"TID_BATTLE_LOG_TITLE","سجل المعارك"
"TID_BATTLE_LOG_REPLAY","إعادة العرض"
"TID_BATTLE_LOG_SURVIVED_FOR","صمود لمدة <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","هزمت الزعيم في <TIME>"
"TID_BATTLE_LOG_MVP","نجم المواجهة"
"TID_BATTLE_LOG_FRIENDLY","ودية"
"TID_BATTLE_LOG_PVP","مصنفة"
"TID_BATTLE_LOG_NO_ENTRIES","السجل فارغ"
"TID_BATTLE_LOG_THIS_IS_A_BOT","هذا روبوت"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","تسجيل إعادات العرض معطل حاليًا"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","لا توجد إعادات عرض حتى الآن"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","إعادة العرض غير متاحة؛ عدد كؤوس البطل أقل من اللازم."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","اجمع <NUM> من كؤوس البطل لفتح إعادات العرض."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","إعادة العرض غير متاحة؛ فشل التسجيل."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","لم تعد إعادة العرض متاحة."
"TID_PLAYER_XP_LEVEL","المستوى"
"TID_PLAYER_RANK_TIER_0","1"
"TID_PLAYER_RANK_TIER_1","2"
"TID_PLAYER_RANK_TIER_2","3"
"TID_PLAYER_RANK_TIER_3","4"
"TID_PLAYER_RANK_TIER_4","5"
"TID_PLAYER_RANK_TIER_5","6"
"TID_ADD_FRIEND_FAILED","فشلت إضافة صديق"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","انتهت صلاحية رابط الصديق!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","تعذرت إضافة الصديق نظرًا لاكتمال قائمة الأصدقاء لديه!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","تعذرت إضافة الصديق نظرًا لاكتمال قائمة الأصدقاء لديك!"
"TID_ADD_FRIEND_FAILED_BANNED","تعذرت إضافة الصديق نظرًا لحظر هذا المستخدم!"
"TID_KEYPOOL_KEYS_REMAINING","الباقي <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> من الأقراص بعد <TIME>"
"TID_TOP_HUD_NEXT_REWARD","المكافأة التالية"
"TID_RANK_UP_REWARD_REPLACED_TITLE","تأكيد المكافأة البديلة"
"TID_RANK_UP_REWARD_REPLACED_POWER","لا يمكن لأي من الأبطال لديك الحصول على <AMOUNT> من نقاط القوة.\n\nأتريد المطالبة بمكافأة بديلة؟"
"TID_RANK_UP_REWARD_REPLACED_HERO","بما أن لديك <NAME> بالفعل، فستحصل على مكافأة بديلة."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","إرسال طلب صداقة"
"TID_PLAYER_INFO_REMOVE_FRIEND","إزالة من قائمة الأصدقاء"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","تم إرسال طلب صداقة"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","صديق\nباللعبة"
"TID_POWER_POINTS","نقاط القوة"
"TID_HERO_INFO_LEVEL","القوة"
"TID_HERO_INFO_RANK","الترتيب"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","الترقية إلى مستوى القوة <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","اضغط مجددًا للتأكيد"
"TID_HERO_INFO_MAX_LEVEL","أقصى قوة"
"TID_HERO_INFO_MORE_POWER_NEEDED","اجمع المزيد من نقاط القوة للترقية!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","لا يملك هذا البطل نقاط قوة كافية."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","لا تملك نقودًا كافية!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","لقد بلغ هذا البطل مستوى قوته الأعلى!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","بطل مبتدئ"
"TID_HERO_INFO_STAR_POWER_EQUIP","التحديد"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","محددة"
"TID_PLAYER_REPORTED_SUCCESSFULLY","تم الإبلاغ عن اللاعب!"
"TID_TOO_MANY_REPORTS_SENT","تجاوزت حد الإبلاغ اليومي!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","الرجاء الانتظار قبل إرسال بلاغ آخر"
"TID_CHOOSE_CHARACTER","اختر البطل"
"TID_ARMOR","الصحة"
"TID_ARMOR_DESC","يمثل مدى الضرر الذي يمكن للبطل استيعابه قبل السقوط."
"TID_SHOTGUN_GIRL","شيلي"
"TID_SHOTGUN_GIRL_DESC","تحمل شيلي بندقيتها التي ترش أعداءها بالخردق، وعند استخدامها الزخم تستطيع تدمير الساتر وإبعاد خصومها عنها!"
"TID_LONG_RANGE_SHOTGUN","هجوم الخردق"
"TID_LONG_RANGE_SHOTGUN_DESC","تشن شيلي هجوم الخردق الكثيف متوسط المدى. كلما كانت تصويباتها دقيقة، ألحقت المزيد من الضرر."
"TID_MEGA_BLASH_ULTI","الخرطوشة الفتاكة"
"TID_MEGA_BLASH_ULTI_DESC","تنفذ شيلي هجوم الخرطوشة الفتاكة الذي يخترق السواتر، ويصيب أعداءها. أي ناجين من الهجوم يتقهقرون على الفور."
"TID_GUNSLINGER","كولت"
"TID_GUNSLINGER_DESC","رصاصات كولت لا تخطئ هدفها، وعند استخدامه الزخم يستطيع نسف أي ساتر ليصل وابل رصاصات مسدسيه الاثنين إلى مدى أبعد."
"TID_RAPID_FIRE","المسدسات"
"TID_RAPID_FIRE_DESC","كولت يطلق ست طلقات بعيدة المدى من مسدساته."
"TID_RAPID_FIRE_ULTI","عاصفة الرصاص"
"TID_RAPID_FIRE_ULTI_DESC","يطلق كولت وابلاً هائلاً من الرصاص بعيد المدى القادر على تدمير الساتر."
"TID_BULL_DUDE","بول"
"TID_BULL_DUDE_DESC","يلحق بول ببندقيته ضررًا هائلاً قصير المدى. يعتمد هجوم الزخم لديه على اختراق الحواجز وكبح الأعداء للوراء."
"TID_SHOTGUN_BLAST","ثنائي الطلقات"
"TID_SHOTGUN_BLAST_DESC","تلحق بندقية بول ثنائية الطلقات أضرارًا كبيرة. سلاح بول قصير المدى؛ لذا فهو يفضل الاشتباك المباشر عن قرب."
"TID_CHARGE","البلدوزر"
"TID_CHARGE_DESC","يندفع بول بمقدمة رأسه كالثور ويكسح أعداءه وأي عقبات في طريقه. لطالما كان صلبًا عنيدًا كالثور."
"TID_ROCKET_GIRL","بروك"
"TID_ROCKET_GIRL_DESC","يطلق بروك صاروخًا متفجرًا بعيد المدى ليفتك بأعدائه. ضربة الزخم لديه عبارة عن سلسلة صواريخ بالستية قادرة على تدمير أي ساتر."
"TID_FIREWORKS_WEAPON","صاروخ بعيد المدى"
"TID_FIREWORKS_WEAPON_DESC","يطلق بروك صاروخًا واحدًا قويًا يصل إلى مدى بعيد."
"TID_FIREWORKS_ULTI","سيل الصواريخ"
"TID_FIREWORKS_ULTI_DESC","يطلق بروك وابل صواريخ يقضي على الأعداء والعقبات. لا شيء أحب إليه من إمطار أعدائه بالصواريخ!"
"TID_TNT_DUDE","دينامايك"
"TID_TNT_DUDE_DESC","يقذف دينامايك إصبعي ديناميت مشتعلين في هجومه العادي. أما في هجوم الزخم، فإنه يلقي برميل ديناميت يفجر أي ساتر في طريقه."
"TID_MORTAR","الفتيل المشتعل"
"TID_MORTAR_DESC","يقذف مايك إصبعي ديناميت يجتازان أي عقبات في طريقهما. ينفجر الديناميت بسرعة كغضب مايك."
"TID_MORTAR_ULTI","البرميل المتفجر الكبير"
"TID_MORTAR_ULTI_DESC","يتفجر برميل الديناميت الضخم هذا ليدمر الساتر، ويدفع الأعداء الناجين إلى التقهقر."
"TID_LUCHADOR","إل بريمو"
"TID_LUCHADOR_DESC","يصرع إل بريمو أعداءه بلكماته الجنونية، وفي هجوم الزخم ينزل عليهم بضربة الكوع التي تلحق بهم الضرر."
"TID_LUCHADOR_WEAPON","قبضتا الغضب"
"TID_LUCHADOR_WEAPON_DESC","ينقض إل بريمو بأربع لكمات غاضبة على خصومه. يا لها من ضربات نارية كالفلفل الحار!"
"TID_LUCHADOR_ULTI","ضربة الكوع"
"TID_LUCHADOR_ULTI_DESC","يقفز إل بريمو عاليًا وينزل بضربة كوع صاعقة تفتت أعداءه وتدمر الساتر!"
"TID_TRICKSHOT_DUDE_OLD","ريكوشيه"
"TID_TRICKSHOT_DUDE_DESC","يطلق ريكو وابلاً من الرصاصات التي تقفز عند إصابتها الجدران، وعند استخدامه الزخم يرش الهدف برصاصاته النطاطة التي تخترقه على الفور."
"TID_TRICKSHOT_DUDE_WEAPON","الرصاص المرتد"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","يرتد رصاص ريكو عند إصابة الجدران، فيزداد مداه. كما أن بإمكانه إصابة الأعداء المحتمين بساتر."
"TID_TRICKSHOT_DUDE_ULTI","الضربة المراوغة"
"TID_TRICKSHOT_DUDE_ULTI_DESC","يطلق ريكو وابلاً من الرصاص الذي يخترق الأعداء ويرتد عند إصابة الجدران، فيزداد مداه."
"TID_CACTUS","سبايك"
"TID_CACTUS_DESC","يلقي سبايك قنابل من الصبار المتفجر الذي تتطاير منه الأشواك، ولديه قوة زخم فعالة تصنع نطاقًا من الأشواك التي تبطئ الأعداء وتلحق بهم الضرر."
"TID_CACTUS_WEAPON","قنبلة الأشواك"
"TID_CACTUS_WEAPON_DESC","يطلق سبايك صبارة صغيرة تتفجر إلى أشواك تطير في اتجاهات مختلفة."
"TID_CACTUS_ULTI","سكة الأشواك"
"TID_CACTUS_ULTI_DESC","يلقي سبايك قنبلة يدوية شائكة تلحق الضرر بالأعداء في منطقة انفجارها، وتبطئ حركتهم."
"TID_BARKEEP","بارلي"
"TID_BARKEEP_DESC","يهاجم بارلي الأعداء بالزجاجات ويلحَق بهم الضرر من لمس سوائلها. هجوم الزخم لديه عبارة عن سيل من الزجاجات الحارقة."
"TID_BARKEEP_WEAPON","الشراب المُركز"
"TID_BARKEEP_WEAPON_DESC","يلقي بارلي بالزجاجات فتنكسر على الأرض. يلحق الضرر بالأعداء من تطاير السائل، ويزيد بمرور الوقت إذا بقوا في بركة السائل."
"TID_BARKEEP_ULTI","شطّبنا"
"TID_BARKEEP_ULTI_DESC","يقذف بارلي سلسلة من الزجاجات الحارقة، فتغطي مساحة كبيرة بألسنة اللهب. حساب هذه المشروبات على المحل!"
"TID_MECHANIC","جيسي"
"TID_MECHANIC_DESC","تطلق بندقية جيسي الصاعقة كرات طاقة تتنقل بين الأعداء. ويتمثل الزخم لديها في نشر برجها الرشاش الخطير رغم حجمه الصغير."
"TID_MECHANIC_WEAPON","بندقية الصدمات"
"TID_MECHANIC_WEAPON_DESC","تطلق جيسي كرة طاقة ترتد من هدف إلى الهدف الذي يليه، وتصيب حتى ثلاثة أعداء."
"TID_MECHANIC_ULTI","البرج الطائر"
"TID_MECHANIC_ULTI_DESC","تطلق جيسي برجًا رشاشًا يطلق النار على الأعداء تلقائيًا، وهو مصنوع كليًا من مواد معاد تدويرها."
"TID_SHAMAN","نيتا"
"TID_SHAMAN_DESC","تضرب نيتا أعداءها بصدمة رعدية، وعند استخدامها الزخم تستدعي الدب الكبير ليقاتل إلى جانبها."
"TID_SHAMAN_WEAPON","الصدع"
"TID_SHAMAN_WEAPON_DESC","ترسل نيتا موجة صادمة تلحق الضرر بالأعداء في منطقة الارتجاج."
"TID_SHAMAN_ULTI","استدعاء الدب"
"TID_SHAMAN_ULTI_DESC","نيتا تستدعي روح الدب الكبير لمطاردة أعدائها والإيقاع بهم."
"TID_UNDERTAKER","مورتيس"
"TID_UNDERTAKER_DESC","يندفع مورتيس تجاه أعدائه بسرعة، ويهاجمهم بجاروفه. عند استخدامه الزخم، يرسل سربًا من الخفافيش التي تلحق الضرر بأعدائه وتمنحه الفرصة ليتعافى."
"TID_UNDERTAKER_WEAPON","جاروف المدافن"
"TID_UNDERTAKER_WEAPON_DESC","يندفع مورتيس قُدمًا بسرعة، ويلوح بجاروفه ليسدد ضربة خاطفة لأعدائه ترديهم صرعى في توابيته."
"TID_UNDERTAKER_ULTI","مصاصو الدماء"
"TID_UNDERTAKER_ULTI_DESC","يستدعي مورتيس سربًا من الخفافيش مصاصة الدماء التي تستنزف صحة أعدائه لتمده بها. يا للهول!"
"TID_CROW","كرو"
"TID_CROW_DESC","يرمي كرو أعداءه بثلاثة خناجر مسممة. عند الزخم، يطير ليلقي الخناجر لحظة انطلاقه وعند هبوطه."
"TID_CROW_WEAPON","المطواة"
"TID_CROW_WEAPON_DESC","يلقي كرو بثلاثة خناجر مسمومة تلحق الضرر بأعدائه بمرور الوقت."
"TID_CROW_ULTI","الانقضاض"
"TID_CROW_ULTI_DESC","يطير كرو إلى السماء، ويرمي حلقة من الخناجر المسمومة حوله عند الطيران والهبوط."
"TID_DEAD_MARIACHI","بوكو"
"TID_DEAD_MARIACHI_DESC","يرسل بوكو موجات صوتية مدمرة إلى أعدائه، وعند استخدامه الزخم يعالج نفسه وزملاءه بالفريق."
"TID_DEAD_MARIACHI_WEAPON","الوتر الحساس"
"TID_DEAD_MARIACHI_WEAPON_DESC","يعزف بوكو على جيتاره المكسيكي الكبير، فيرسل موجات صوتية تقشعر لها أبدان أعدائه وتلحق بهم الضرر."
"TID_DEAD_MARIACHI_ULTI","لحن الحياة"
"TID_DEAD_MARIACHI_ULTI_DESC","يعالج بوكو نفسه وجميع الأصدقاء في نطاقه بلحنه الشافي. لا يؤثر ذلك على الأعداء."
"TID_BOW_DUDE","بو"
"TID_BOW_DUDE_DESC","يستهدف بو أعداءه بسهام متفجرة، وعند الزخم يزرع ثلاثة ألغام متفجرة في الأرض."
"TID_BOW_DUDE_WEAPON","السهام النافذة"
"TID_BOW_DUDE_WEAPON_DESC","يطلق بو ثلاثة سهام متفجرة تمزق أعداءه كمخالب النسر."
"TID_BOW_DUDE_ULTI","فخ الألغام"
"TID_BOW_DUDE_ULTI_DESC","ينصب بو الفخاخ المتفجرة في الأرض. تنفجر الفخاخ خلال لحظات من لمسها، فتطيح بالأعداء وتلحق بهم الضرر."
"TID_SNIPER","بايبر"
"TID_SNIPER_DESC","تلحق رصاصات بايبر القناصة ضررًا أكبر كلما طال مداها. يتمثل هجوم الزخم لديها في نشر القنابل تحتها قبل القفز بعيدًا عن الانفجار."
"TID_SNIPER_WEAPON","المظلة القاتلة"
"TID_SNIPER_WEAPON_DESC","تطلق بايبر رصاصة قناصة من مظلتها، وتكتسب الطلقة قوة أكبر كلما طارت إلى مدى أبعد!"
"TID_SNIPER_ULTI","فرقع لوز"
"TID_SNIPER_ULTI_DESC","تقفز بايبر لتتجنب معجبيها المزعجين إلا أنها تترك لهم هدية لطيفة مكونة من قنابل يدوية حية!"
"TID_MINIGUN_DUDE","بام"
"TID_MINIGUN_DUDE_DESC","تباغت بام أعداءها بالهجوم بالقذائف المتناثرة. يتمثل الزخم لديها في نشر برج علاجي يسترد الصحة لها ولزملائها."
"TID_MINIGUN_DUDE_WEAPON","عاصفة الخردة"
"TID_MINIGUN_DUDE_WEAPON_DESC","بام ترش مساحة كبيرة بطلقات من الخردة. يُنصح بارتداء نظارات واقية!"
"TID_MINIGUN_DUDE_ULTI","قبلة الأم"
"TID_MINIGUN_DUDE_ULTI_DESC","لدى بام برج شفاء يعالجها وزملاءها الموجودين في منطقة التأثير."
"TID_BONE_THROWER","قاذف العظام"
"TID_BONE_THROWER_DESC","لا شيء صغير بخصوص هذا المدفعي! يستعمل رشاشه الآلي الهائل بحرفية كبيرة؛ حيث يمكنه سحق أي حشد من الأعداء (حركتة بطيئة ومحصن ضد الدفع للخلف)."
"TID_BONE_THROWER_WEAPON","الرشاش الآلي"
"TID_BONE_THROWER_WEAPON_DESC","يستخدم المدفعي رشاشه الآلي الكبير بسلاسة وخفة؛ حتى أنه يطلق النار تلقائيًا خلال التنقل."
"TID_BONE_THROWER_ULTI","الإسعافات"
"TID_BONE_THROWER_ULTI_DESC","أحيانًا تصاب بالجروح والخدوش خلال تبادل إطلاق النار. تساعد الإسعافات إبقاء فريقك كله بحالة جيدة للقتال."
"TID_BLACK_HOLE","تارا"
"TID_BLACK_HOLE_DESC","هجوم تارا المتمثل في التاروت الثلاثي قادر على تمزيق أعدائها، وعند استخدام الزخم تفتح هوة سوداء تسحب الأعداء القريبين وتلحق بهم الضرر."
"TID_BLACK_HOLE_WEAPON","ثلاثي التاروت"
"TID_BLACK_HOLE_WEAPON_DESC","تلقي تارا ثلاث بطاقات تاروت بحركة خاطفة فتصعق أعداءها. يا لها من خفة يد!"
"TID_BLACK_HOLE_ULTI","الجاذبية"
"TID_BLACK_HOLE_ULTI_DESC","تارا تستحضر قوة الجاذبية المذهلة أيضًا؛ حيث يتعرض الأعداء في منطقة التأثير إلى السحب والارتطام بعضهم ببعض لينسحقوا بطريقة أليمة."
"TID_TURRET_DAMAGE","ضرر البرج"
"TID_TURRET_HEALTH","صحة البرج"
"TID_STAT_DAMAGE_PER_SECOND","الضرر في الثانية"
"TID_STAT_DAMAGE_PER_SECOND_EACH","الضرر في الثانية"
"TID_STAT_DAMAGE_PER_STRIKE","ضرر اللكمة الواحدة"
"TID_ROBOT","الملازم أيرنز"
"TID_ROBOT_DESC","صُمم للخدمة. مبرمج للتدمير."
"TID_ROBOT_WEAPON","قاذف صواريخ"
"TID_ROBOT_WEAPON_DESC","يطلق الملازم أيرنز صاروخًا متفجرًا بعيد الأمد بدقة عالية."
"TID_ROBOT_ULTI","تقويض الجموع"
"TID_ROBOT_ULTI_DESC","عندما تدعو الحاجة إلى اتخاذ تدابير قاسية، يمكن للملازم أيرنز إطلاق وابل من الصواريخ على الجموع الجامحة."
"TID_ARMOR_STAT","الصحة"
"TID_HEALTH","الصحة"
"TID_STAT_GRENADE_DAMAGE","ضرر القنبلة الواحدة"
"TID_STAT_MISSILE_DAMAGE","ضرر الصاروخ الواحد"
"TID_STAT_HEALTH","نقاط الصمود"
"TID_STAT_SPEED","السرعة"
"TID_STAT_DAMAGE","الضرر"
"TID_STAT_DAMAGE_PER_SHOT","ضرر الرصاصة الواحدة"
"TID_STAT_DAMAGE_PER_SHELL","ضرر الخرطوشة الواحدة"
"TID_STAT_HAMMER_DAMAGE","الضرر كل 0.2 ثانية"
"TID_BATTLE","اللعب"
"TID_QUIT","الخروج"
"TID_MATCHMAKING_QUIT","الخروج"
"TID_MATCHMAKING_HEADING","البحث عن لاعبين"
"TID_MATCHMAKING_TIME_LABEL","تبدأ المواجهة بعد:"
"TID_MATCHMAKING_PLAYERS","يوجد <y>/<x> من اللاعبين"
"TID_BUTTON_CANCEL","إلغاء"
"TID_BUTTON_OK","موافق"
"TID_ENTER_NAME_TITLE","مرحبًا بك في Brawl Stars!"
"TID_ENTER_NAME_BODY","ما اسمك؟"
"TID_TIME_DAYS","ي"
"TID_TIME_HOURS","س"
"TID_TIME_MINS","د"
"TID_TIME_SECS","ث"
"TID_MATCHMAKING_TIME","البدء بعد <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","متصل"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","الاتصال"
"TID_SUPERCELL_ID_LOGIN_BUTTON","تسجيل الدخول"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","اللعب دون"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","هل تريد تحميل تقدم آخر بمستوى خبرة <number>؟ يمكنك تحميله بتسجيل الدخول عبر Supercell ID الخاص بك."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","خطأ!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","العميل والخادم غير متزامنين!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","إعادة تحميل اللعبة"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","خطأ في الاتصال"
"TID_ERROR_POP_UP_CONNECTION_FAILED","تعذر الاتصال بالخادم. تحقق من الاتصال بالإنترنت ثم حاول مرة أخرى."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","إعادة المحاولة"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","فشل تسجيل الدخول"
"TID_ERROR_POP_UP_LOGIN_FAILED","الرجاء إعادة المحاولة لاحقًا."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","إعادة المحاولة"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","هل أحد هنا؟"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","المس الزر أدناه لإعادة تحميل اللعبة."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","إعادة تحميل اللعبة"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","هناك تحديث متوفر!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","لدينا أخبار طيبة! يتوفر إصدار جديد من Brawl Stars."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","التحديث"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","فاصل الصيانة"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","عذرًا، الخوادم قيد الصيانة. الرجاء المحاولة مرة أخرى لاحقًا."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","إعادة المحاولة"
"TID_ERROR_POP_UP_BANNED_TITLE","تم حظرك!"
"TID_ERROR_POP_UP_BANNED","تم حظرك مؤقتًا."
"TID_ERROR_POP_UP_BANNED_BUTTON","موافق"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","الاتصال بالدعم"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","المزيد"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","تنبيه مهم"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars تتيح اللعب مجانًا، ولكن يمكنك تسريع تقدمك في اللعب بشراء عناصر داخل التطبيق (يمكنك تعطيل هذا الخيار في إعدادات الجهاز). المس 'موافق' لقبول شروط الخدمة وسياسة الخصوصية الخاصة بنا."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","موافق"
"TID_SERVER_ERROR_TITLE","خطأ الخادم <number>"
"TID_SERVER_ERROR","انقطع اتصالك أثناء المعركة."
"TID_SERVER_ERROR_BUTTON","موافق"
"TID_COME_BACK_NOTIFICATION_SMALL","ما رأيك في خوض معركة أخرى؟"
"TID_COME_BACK_NOTIFICATION_MEDIUM","ما رأيك في خوض معركة أخرى؟"
"TID_COME_BACK_NOTIFICATION_LARGE","ما رأيك في خوض معركة أخرى؟"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","انقطع الاتصال"
"TID_ERROR_POP_UP_CONNECTION_LOST","الرجاء محاولة تسجيل الدخول مجددًا!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","إعادة محاولة تسجيل الدخول"
"TID_TROPHIES","الكؤوس"
"TID_PRACTICE","التدريب"
"TID_READY","مستعد"
"TID_BATTLE_END_TITLE_VICTORY","نصر!"
"TID_BATTLE_END_TITLE_DEFEAT","هزيمة"
"TID_BATTLE_END_TITLE_DRAW","تعادل"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","صمود لمدة <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","أنت الأول!"
