"TID","TH"
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","ไม่พบฤดูกาล Brawl Pass ปัจจุบัน โปรดลองอีกครั้งในภายหลัง"
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","ปลดล็อคฤดูกาล Brawl Pass ปัจจุบันแล้ว"
"TID_TAKEDOWNS_LABEL","กำจัดคู่ต่อสู้"
"TID_DEFEAT_LABEL","พ่ายแพ้"
"TID_UNDERDOG","ไก่รองบ่อน"
"TID_ACCESSORY","อุปกรณ์เสริม"
"TID_BATTLE_END_COIN_SHOWER","อีเวนท์เหรียญโปรยปราย"
"TID_BATTLE_END_CC_SHOWER","อีเวนท์เครดิตโครม่าโปรยปราย"
"TID_LFG_POPUP_TITLE_MEMBER","ค้นหาสมาชิก"
"TID_LFG_POPUP_TITLE_TEAM","ค้นหาทีม"
"TID_LFG_POPUP_INFO_MEMBER","ค้นหาผู้เล่นเพื่อร่วมทีมกับคุณ"
"TID_LFG_POPUP_INFO_TEAM","ค้นหาผู้เล่นเพื่อเข้าร่วมทีมปัจจุบันของคุณ"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","เกณฑ์อีเวนท์ (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","ฉันต้องการเล่น (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_START_SEARCH","ไปเลย!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","โหมดเกมนี้ไม่รองรับผู้เล่นเพิ่มเติมแล้ว"
"TID_LFG_NOT_AVAILABLE_FOR_MODE","ใช้งานไม่ได้ในโหมดเกมปัจจุบัน"
"TID_LOOKING_FOR_A_TEAM","กำลังค้นหาทีม"
"TID_LOOKING_FOR_A_MEMBER","กำลังค้นหาสมาชิก"
"TID_CC_TEASER_TITLE","เร็วๆ นี้!"
"TID_CC_TEASER_INFO","เตรียมตัวให้พร้อมสำหรับความท้าทายชิงแชมป์ ชนะ <WIN> ครั้ง!\n\nเล่นกับเพื่อนหรือใช้ฟีเจอร์ \qค้นหาทีม\q เพื่อเพิ่มโอกาสของคุณ\n\nความท้าทายจะเปิดให้เล่นเพียง <DURATION> ชั่วโมงเท่านั้น ใช้เวลาให้คุ้มค่าล่ะ!"
"TID_CC_POPUP_TITLE","ความท้าทายชิงแชมป์"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อพิชิตความท้าทาย หากแพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_1_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อคว้าถ้วย แต่แพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_WINS","ชนะ <WINS>/<MAX> ครั้ง"
"TID_CC_POPUP_WINS_FOR_EVENT","ด่าน <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","รอบ 8 ทีมสุดท้าย"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","รอบรองชนะเลิศ"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","รอบชิงชนะเลิศ"
"TID_CC_POPUP_QUALIFY_INFO","เอาชนะความท้าทายเพื่อผ่านเข้าสู่ด่านต่อไปของศึกชิงแชมป์ Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","เอาชนะความท้าทายเพื่อชิงสกินเชลลี่ PSG"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","ความท้าทายสำเร็จแล้ว!"
"TID_CC_POPUP_CHALLENGE_OVER","จบความท้าทาย"
"TID_CC_POPUP_OUT_OF_LIVES","ไม่มีโอกาสเหลือแล้ว"
"TID_CC_POPUP_BUY_LIVES","ซื้ออีก <NUM> หรือไม่?"
"TID_CC_POPUP_COMPLETED","ทำความท้าทายสำเร็จแล้ว!"
"TID_CC_POPUP_LEVEL","ด่าน <LEVEL>"
"TID_CC_POPUP_WIN","ชนะ"
"TID_CC_POPUP_LOSSES","แพ้"
"TID_QUALIFIED_TITLE","ปลดล็อครอบคัดเลือกแบบออนไลน์แล้ว!"
"TID_QUALIFIED_INFO","ว้าว คุณเอาชนะความท้าทายศึกชิงแชมป์ได้! เยี่ยมไปเลย!\n\nเพื่อมุ่งหน้าสู่ศึกชิงแชมป์ Brawl Stars ไปยัง <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_HUB","ว้าว คุณเอาชนะความท้าทายศึกชิงแชมป์ได้! เยี่ยมไปเลย!\n\nเพื่อมุ่งหน้าสู่ศึกชิงแชมป์ Brawl Stars ไปยังส่วนอีสปอร์ตใหม่ในหน้าจอหลัก!"
"TID_QUALIFIED_INFO_PSG","ยินดีด้วย! คุณชนะ PSG CUP! คุณได้ปลดล็อคสกินเชลลี่ PSG!"
"TID_QUALIFIED_GO","ไป!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","ความท้าทายชิงแชมป์"
"TID_BATTLE_END_CC_WIN_LABEL","รางวัลสำหรับการชนะครั้งที่ #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","ความท้าทายจบแล้ว\nขอให้ครั้งต่อไปโชคดี!"
"TID_BATTLE_END_CC_DEFEAT_1","แพ้อีกหนึ่งครั้งแล้วคุณจะไม่ได้ไปต่อ สู้ต่อไป!"
"TID_BATTLE_END_CC_DEFEAT_2","คุณพ่ายแพ้ศึกนี้ แต่คุณยังสามารถเล่นต่อได้!"
"TID_BATTLE_END_CC_DRAW_DESC","เล่นอีกครั้งเพื่อคว้าชัย!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","ผ่านเข้ารอบ!"
"TID_BATTLE_END_CC_QUALIFY_INFO","ยินดีด้วย! คุณผ่านเข้าด่านถัดไปในศึกชิงแชมป์ Brawl Stars\nดูที่กล่องข้อความสำหรับข้อมูลเพิ่มเติม"
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","รางวัลลีกศึกพลังดวงดาว"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","รางวัลขึ้นอยู่กับ\nแต้มสุดท้ายของคุณ"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","อันดับ"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","แต้ม"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","รางวัลเพิ่มเติมเมื่อไปถึง\nอันดับสูงสุดบนกระดานผู้นำทั่วโลก"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","รางวัลสิ้นสุดลีกศึกพลังดวงดาว"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","ตารางลีก"
"TID_PRO_LEAGUE_SEASON_END_TIME","ลีกสิ้นสุดใน"
"TID_PRO_LEAGUE_POPUP_TITLE","ศึกพลังดวงดาว"
"TID_EVENT_LABEL_PRO_LEAGUE","ศึกพลังดวงดาว"
"TID_PRO_LEAGUE_POPUP_INFO","ทดสอบทักษะของคุณในศึกพลังดวงดาว แข่งขัน 3 แมตช์ในแต่ละวันเพื่อไต่อันดับขึ้นไปในตารางลีก เมื่อลีกสิ้นสุดลง คุณจะได้รับค่าดวงดาวขึ้นอยู่กับแต้มที่สะสมได้และอันดับในตารางลีกทั่วโลก"
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","ลีกปัจจุบัน"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","ลีกที่ผ่านมา"
"TID_PRO_LEAGUE_LABEL","ศึกพลังดวงดาว"
"TID_TEAM_ERROR_38","เลือกบรอว์เลอร์ที่มีเลเวลพลัง 10!"
"TID_TEAM_ERROR_39","ไม่มีเกมศึกพลังดวงดาวเหลือสำหรับวันนี้แล้ว!"
"TID_PRO_LEAGUE_GAMES","เหลือการต่อสู้ <GAMESLEFT>/<MAXGAMES> ครั้ง"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","ลีกศึกพลังดวงดาวสิ้นสุดแล้ว"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","แต้มของคุณ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","อันดับของคุณ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","รางวัลค่าดวงดาว"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","รางวัลศึกพลังดวงดาว: ได้รับ<AMOUNT>ค่าดวงดาว<cff00ff> </c> หน่วย!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","ชัยชนะสุดอีปิค (+3 แต้ม):"
"TID_OVERWHELMING_VICTORY_GMV_0","ชนะก่อนอัญมณีเม็ดที่ 15 ปรากฏ"
"TID_OVERWHELMING_VICTORY_GMV_5","ชนะ 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","ชนะโดยตู้นิรภัยยังมีพลังชีวิตเหลืออย่างน้อย 60%"
"TID_OVERWHELMING_VICTORY_GMV_11","ชนะโดยฐานยังมีพลังชีวิตเหลืออย่างน้อย 80%"
"TID_OVERWHELMING_VICTORY_GMV_3","ชนะโดยมีดาวมากกว่าศัตรูอย่างน้อย 10 ดวง"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","คะแนนตามอันดับของคุณ"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","ชนะรับ 30 แต้ม เสมอ 15 แต้ม และรางวัลปลอบใจ 5 แต้มถ้าแพ้"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","แต้ม"
"TID_DOUBLE_TOKEN_WEEKEND","อีเวนท์ค่าประสบการณ์คูณสอง"
"TID_COIN_SHOWER_EVENT","เหรียญโปรยปราย"
"TID_CHROMA_CREDITS_SHOWER_EVENT","เครดิตโครม่าโปรยปราย"
"TID_MASTERY_POINTS_BOOST_EVENT","ความชำนาญวิปลาส"
"TID_SKINS_TITLE","สกิน"
"TID_SKINS_BUTTON_LABEL","สกิน"
"TID_SKIN_PREVIEW","ดูตัวอย่างสกิน"
"TID_DEFAULT_SKIN","สกินตั้งต้นของ <HERO>"
"TID_HERO_LVL_UP_MATERIAL","เหรียญ"
"TID_TOKENS","โทเค็น"
"TID_FIRST_WINS","โทเค็นดวงดาว"
"TID_CLUB_COINS","เหรียญคลับ"
"TID_BUTTON_INBOX","กล่องข้อความ"
"TID_INBOX_TITLE","กล่องข้อความ"
"TID_INBOX_SYSTEM_SENDER","ระบบ"
"TID_INBOX_SUPPORT_SENDER","ฝ่ายสนับสนุน Brawl Stars"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> ที่แล้ว"
"TID_INBOX_CLAIM","รับ"
"TID_INBOX_VIEW","ดู"
"TID_INBOX_TAB_0","จดหมายคลับ"
"TID_INBOX_TAB_1","จดหมายส่วนตัว"
"TID_INBOX_NO_ENTRIES","ไม่มีข้อมูล"
"TID_INBOX_CAPTION_101","การบริจาค: อัปเกรด Brawl Pass+"
"TID_INBOX_CAPTION_100","การบริจาค: Brawl Pass+"
"TID_INBOX_CAPTION_99","ลีกถ้วยรางวัลสิ้นสุดแล้ว"
"TID_INBOX_CAPTION_94","คุณได้รับสกิน: <NAME>"
"TID_INBOX_CAPTION_93","คุณได้รับบรอว์เลอร์: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","การบริจาคบรอว์เลอร์: <NAME> (เลเวลพลัง <LEVEL>)"
"TID_INBOX_CAPTION_92","คุณได้รับค่าพลัง <AMOUNT> หน่วยสำหรับ <NAME>"
"TID_INBOX_CAPTION_91","คุณได้รับตั๋ว <AMOUNT> ใบ"
"TID_INBOX_CAPTION_90","คุณได้รับ<NAME> <AMOUNT> อัน"
"TID_INBOX_CAPTION_89","คุณได้รับอัญมณี <AMOUNT> เม็ด"
"TID_INBOX_CAPTION_88","คุณได้รับตัวคูณค่าประสบการณ์ <AMOUNT> อัน"
"TID_INBOX_CAPTION_85","การเพิกถอนอัญมณี <AMOUNT> เม็ด"
"TID_INBOX_CAPTION_84_4","บริจาคพลังดวงดาว <ABI> ให้กับ <NAME>"
"TID_INBOX_CAPTION_84_5","บริจาคอุปกรณ์เสริม <ABI> ให้กับ <NAME>"
"TID_INBOX_CAPTION_84_6","บริจาคไฮเปอร์ชาร์จ <ABI> ให้กับ <NAME>"
"TID_INBOX_CAPTION_78","อันดับบรอว์เลอร์ 21-30 มาถึงแล้ว!"
"TID_INBOX_CAPTION_76","ปลดล็อครอบคัดเลือกแบบออนไลน์แล้ว!"
"TID_INBOX_CAPTION_75","รางวัลชัยชนะ<CHALLENGE>:\n<NAME>"
"TID_INBOX_CAPTION_74","การชดเชยตั๋ว"
"TID_INBOX_CAPTION_73","การบริจาค: Brawl Pass"
"TID_INBOX_CAPTION_72_52","การบริจาค: อีโมจิ"
"TID_INBOX_CAPTION_71","การบริจาค: โทเค็น <AMOUNT> ชิ้นให้กับ Brawl Pass ฤดูกาล <SEASON>"
"TID_INBOX_CAPTION_70","รางวัลชัยชนะ<CHALLENGE>"
"TID_INBOX_CAPTION_64","การบริจาค: <NAME> <AMOUNT> อัน"
"TID_INBOX_CAPTION_DONATION","การบริจาค: <TEXT>"
"TID_INBOX_NEW","ใหม่!"
"TID_BAND_MAIL_POPUP_TITLE","จดหมายคลับ"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","เขียนข้อความของคุณที่นี่..."
"TID_BAND_MAIL_POPUP_POST","โพสต์"
"TID_BAND_MAIL_POPUP_NO_MSG","อย่าลืมใส่ข้อความ"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","ฟีเจอร์นี้ไม่สามารถใช้งานได้ในบัญชีทดลอง"
"TID_REVOKE_TITLE","ข้อความจากฝ่ายสนับสนุน"
"TID_REVOKE_OK","ตกลง"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","ไม่สามารถส่งคำขอเข้าร่วมได้ คุณอยู่ในทีมอยู่แล้ว"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","ไม่สามารถส่งคำขอเข้าร่วมได้ คุณมีคำเชิญทีมที่รอดำเนินการอยู่"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","ไม่สามารถส่งคำขอเข้าร่วมได้ คุณมีคำขอเข้าร่วมที่รอดำเนินการอยู่"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","คำขอเข้าร่วมถูกยกเลิก"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","ฉันอยากเข้าร่วมทีมของคุณ"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ชัยชนะ</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>พ่ายแพ้</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>เสมอ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>อันดับ <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>อันดับ <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>อันดับ <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ที่แล้ว"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","เลเวล"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","บันทึกการต่อสู้"
"TID_BATTLE_LOG_REPLAY","รีเพลย์"
"TID_BATTLE_LOG_MVP","ผู้เล่นเด่น"
"TID_BATTLE_LOG_FRIENDLY","ฉันมิตร"
"TID_BATTLE_LOG_TOURNAMENT","ทัวร์นาเมนต์"
"TID_BATTLE_LOG_PVP","จัดอันดับ"
"TID_BATTLE_LOG_PRO_LEAGUE","ศึกพลังดวงดาว"
"TID_BATTLE_LOG_RANKED","จัดอันดับ"
"TID_BATTLE_LOG_NO_ENTRIES","ไม่มีข้อมูล"
"TID_BATTLE_LOG_THIS_IS_A_BOT","นี่คือบอท"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","รีเพลย์ถูกปิดใช้งานในขณะนี้"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","รีเพลย์ยังใช้งานไม่ได้"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","ไม่มีรีเพลย์: ถ้วยรางวัลบรอว์เลอร์น้อยเกินไป"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","เก็บถ้วยรางวัลบรอว์เลอร์ <NUM> ถ้วยเพื่อปลดล็อครีเพลย์"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","ไม่มีรีเพลย์: การบันทึกล้มเหลว"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","รีเพลย์ใช้งานไม่ได้แล้ว"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","ไม่สามารถเพิ่มเพื่อนได้"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","ลิงก์เพื่อนหมดอายุแล้ว!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","ไม่สามารถเพิ่มเพื่อนได้ รายชื่อเพื่อนของพวกเขาเต็มแล้ว!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","ไม่สามารถเพิ่มเพื่อนได้ รายชื่อเพื่อนของคุณเต็มแล้ว!"
"TID_ADD_FRIEND_FAILED_BANNED","ไม่สามารถเพิ่มเพื่อนได้ ผู้ใช้ถูกแบน"
"TID_KEYPOOL_KEYS_REMAINING","เหลืออีก <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","โทเค็น +<KEYS> ชิ้นใน <TIME>"
"TID_TOP_HUD_NEXT_REWARD","รางวัลถัดไป"
"TID_RANK_UP_REWARD_REPLACED_TITLE","ยืนยันรางวัลสำรอง"
"TID_RANK_UP_REWARD_REPLACED_POWER","ไม่สามารถเลือกบรอว์เลอร์ที่จะรับค่าพลังจำนวน <AMOUNT> ได้\n\nต้องการรับรางวัลสำรองแทนหรือไม่?"
"TID_RANK_UP_REWARD_REPLACED_HERO","เนื่องจากคุณมี <NAME> อยู่แล้ว คุณจะได้รับรางวัลสำรองแทน"
"TID_RANK_UP_REWARD_REPLACED_PIN","เนื่องจากคุณมีอีโมจินี้อยู่แล้ว คุณจะได้รับรางวัลสำรองแทน"
"TID_RANK_UP_REWARD_REPLACED_SKIN","เนื่องจากคุณมี <NAME> อยู่แล้ว คุณจะได้รับรางวัลสำรองแทน"
"TID_RANK_UP_REWARD_REPLACED_GEN","เนื่องจากคุณมีรางวัลนี้อยู่แล้ว คุณจะได้รับรางวัลอื่นสำรองแทน"
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","ไม่มีบรอว์เลอร์ตัวไหนสามารถรับค่าพลัง <AMOUNT> แต้มได้ และคุณได้มาถึงขีดจำกัดสูงสุดของค่าพลังแล้ว\n\nคุณอยากรับรางวัลสำรองแทนหรือไม่?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ส่งคำขอเป็นเพื่อน"
"TID_PLAYER_INFO_REMOVE_FRIEND","ลบออกจากรายชื่อเพื่อน"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ส่งคำขอเป็นเพื่อนแล้ว"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","เพื่อน\nในเกม"
"TID_POWER_POINTS","ค่าพลัง"
"TID_HERO_INFO_LEVEL","พลัง"
"TID_HERO_INFO_LEVEL_LONG","เลเวลพลัง"
"TID_HERO_INFO_RANK","ขั้น"
"TID_HERO_TIER_MAX","สูงสุด"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","อัปเกรดเป็นเลเวลพลัง <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","แตะอีกครั้งเพื่อยืนยัน"
"TID_HERO_INFO_MAX_LEVEL","พลังสูงสุด"
"TID_HERO_INFO_MORE_POWER_NEEDED","รวบรวมค่าพลังเพิ่มเพื่ออัปเกรด!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","บรอว์เลอร์มีค่าพลังไม่เพียงพอ"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","คุณมีเหรียญไม่เพียงพอ!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","บรอว์เลอร์ถึงเลเวลพลังสูงสุดแล้ว!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","บรอว์เลอร์เริ่มต้น"
"TID_HERO_INFO_STAR_POWER_EQUIP","เลือก"
