Name,ParentProjectileForSkin,Disabled,Speed,FileName,BlueSCW,RedSCW,BlueExportName,RedExportName,ShadowExportName,BlueGroundGlowExportName,RedGroundGlowExportName,PreExplosionBlueExportName,PreExplosionRedExportName,PreExplosionTimeMs,HitEffectEnv,HitEffectChar,MaxRangeReachedEffect,CancelEffect,Radius,IgnoreCloseWalls,Indirect,ConstantFlyTime,TriggerWithDelayMs,BouncePercent,Gravity,EarlyTicks,HideTime,Scale,RandomStartFrame,SpawnAreaEffectObject,SpawnAreaEffectObject2,AreaEffect2DamagePercent,SpawnCharacter,SpawnItem,SpawnAreaEffectTrail,TrailEffect,ShotByHero,IsBeam,IsBouncing,DistanceAddFromBounce,MaxDistanceBounces,Rendering,PiercesCharacters,PiercesEnvironment,PiercesEnvironmentLikeButter,PushbackStrength,PushbackType,ChainsToEnemies,ChainBullets,ChainSpread,ChainTravelDistance,ChainBullet,ExecuteChainSpecialCase,DamagePercentStart,DamagePercentEnd,DamageChangeStartPromille,DamageChangeEndPromille,IgnoreDamageChangeForUltiCharge,DamagesConstantlyTickDelay,FreezeStrength,FreezeDurationMS,StunLengthMS,PartialStunPromille,ScaleStart,ScaleEnd,AttractsPet,LifeStealPercent,PassesEnvironment,PoisonDamagePercent,SuppressHealing,SuppressHealingTicks,DamageOnlyWithOneProj,HealOwnPercent,CanGrowStronger,HideFaster,GrapplesEnemy,KickBack,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,GroundBasis,MinDistanceForSpread,IsFriendlyHomingMissile,IsBoomerang,CanHitAgainAfterBounce,IsHomingMissile,UltiChargeChangePercent,PoisonType,AppliedEffectVisualType,TravelType,TravelTypeVariable,SteerStrength,SteerIgnoreTicks,HomeDistance,SteerLifeTime,VisualizeEndPoint,UniqueProperty,CustomUniquePropertyValue,CustomObject,CustomObject2
Shelly005UltiProjectile,ShotgunGirlUltiProjectile,,,sc/effects_brawler.sc,,,shelly_005_ulti_projectile,shelly_005_ulti_projectile_red,shadow_normal_circle,,,,,,shelly_005_ulti_reached,shelly_005_ulti_hit,shelly_005_ulti_reached,,,,,,,,0,3,0,100,1,,,,,,,shelly_005_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunslingerProjectile,,,3804,sc/effects_brawler.sc,,,bullet_pistol_def_atk_blue,bullet_pistol_def_atk_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,colt_def_atk_reached,,50,,,,,,0,2,0,130,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunslingerUltiProjectile,,,4891,sc/effects_brawler.sc,,,bullet_pistol_def_ulti_blue,bullet_pistol_def_ulti_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,colt_def_ulti_reached,,101,,,,,,0,2,0,125,,,,,,,,,true,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt002Projectile,GunslingerProjectile,,,sc/effects_brawler.sc,,,colt_002_bullet_atk_blue,colt_002_bullet_atk_red,shadow_normal_circle,,,,,,colt_002_hit,colt_002_hit,colt_def_atk_reached,,,,,,,,0,,0,130,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt002UltiProjectile,GunslingerUltiProjectile,,,sc/effects_brawler.sc,,,colt_002_bullet_ulti_blue,colt_002_bullet_ulti_red,shadow_normal_circle,,,,,,colt_002_hit,colt_002_hit,colt_def_ulti_reached,,,,,,,,0,,0,125,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt003Projectile,GunslingerProjectile,,,sc/effects_brawler.sc,,,colt_003_bullet_atk_blue,colt_003_bullet_atk_red,shadow_normal_circle,,,,,,colt_003_atk_hitEnv,colt_003_atk_hit,colt_003_atk_reached,,,,,,,,0,,0,130,2,,,,,,,colt_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt003UltiProjectile,GunslingerUltiProjectile,,,sc/effects_brawler.sc,,,colt_003_bullet_ulti_blue,colt_003_bullet_ulti_red,shadow_normal_circle,,,,,,colt_003_atk_hitEnv,colt_003_atk_hit,colt_003_ulti_reached,,,,,,,,0,,0,125,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt004Projectile,GunslingerProjectile,,,sc/effects_brawler.sc,,,colt_004_bullet_atk_blue,colt_004_bullet_atk_red,shadow_normal_circle,,,,,,colt_004_atk_reached,colt_004_atk_hit,colt_004_atk_reached,,,,,,,,0,,0,130,,,,,,,,colt_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt004UltiProjectile,GunslingerUltiProjectile,,,sc/effects_brawler.sc,,,colt_004_bullet_ulti_blue,colt_004_bullet_ulti_red,shadow_normal_circle,,,,,,colt_004_ulti_reached,colt_004_ulti_hit,colt_004_ulti_reached,,,,,,,,0,,0,125,,,,,,,,colt_004_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullDudeProjectile,,,2853,sc/effects_brawler.sc,,,bullet_shotgun_def_blue_short,bullet_shotgun_def_red_short,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,bull_def_atk_reached,,0,,,,,,0,2,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull002Projectile,BullDudeProjectile,,2853,sc/effects_brawler.sc,,,bull_002_atk_projectile,bull_002_atk_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,bull_002_atk_reached,,0,,,,,,0,2,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull003Projectile,BullDudeProjectile,,2853,sc/effects_brawler.sc,,,bull_003_atk_projectile,bull_003_atk_projectile_red,shadow_normal_circle,,,,,,bull_003_atk_reached,bull_003_atk_hit,bull_003_atk_reached,,0,,,,,,0,2,0,100,,,,,,,,bull_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull004Projectile,BullDudeProjectile,,2853,sc/effects_brawler.sc,,,bull_004_atk_projectile,bull_004_atk_projectile_red,shadow_normal_circle,,,,,,bull_004_atk_reached,bull_004_atk_hit,bull_004_atk_reached,,0,,,,,,0,2,0,100,2,,,,,,,bull_004_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull005Projectile,BullDudeProjectile,,2853,sc/effects_brawler.sc,,,bull_005_atk_projectile,bull_005_atk_projectile_red,shadow_normal_circle,,,,,,bull_005_atk_reached,bull_005_atk_hit,bull_005_atk_reached,,0,,,,,,0,2,0,100,2,,,,,,,bull_005_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull006Projectile,BullDudeProjectile,,2853,sc/effects_brawler.sc,,,bull_006_atk_projectile,bull_006_atk_projectile_red,shadow_normal_circle,,,,,,bull_006_atk_reached,bull_006_atk_hit,bull_006_atk_reached,,0,,,,,,0,2,0,100,2,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlProjectile,,,2700,sc/effects_brawler.sc,sc3d/brock_rocket_blue.scw,sc3d/brock_rocket_red.scw,brock_def_atk_tail_blue,brock_def_atk_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,101,,,,,,0,2,0,120,,Brock_def_atk_area,BurnMainAttack,30,,,,brock_def_atk_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlUltiProjectile,,,870,sc/effects_brawler.sc,sc3d/brock_rocket_blue.scw,sc3d/brock_rocket_red.scw,brock_def_ulti_tail_blue,brock_def_ulti_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,0,,true,true,,,93,2,0,120,,Brock_def_ulti_area,,,,,,brock_def_ulti_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock002Projectile,RocketGirlProjectile,,,sc/effects_brawler.sc,sc3d/brock_rocket_blue.scw,sc3d/brock_rocket_red.scw,brock_002_atk_tail_blue,brock_002_atk_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,0,,0,120,,Brock_002_atk_area,BurnMainAttack,,,,,brock_def_atk_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock002UltiProjectile,RocketGirlUltiProjectile,,,sc/effects_brawler.sc,sc3d/brock_rocket_blue.scw,sc3d/brock_rocket_red.scw,brock_def_ulti_tail_blue,brock_def_ulti_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,93,,0,120,,Brock_002_ulti_area,,,,,,brock_def_ulti_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock003Projectile,RocketGirlProjectile,,,sc/effects_brawler.sc,sc3d/brock_003_atk_blue.scw,sc3d/brock_003_atk_red.scw,brock_def_atk_tail_blue,brock_def_atk_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,0,,0,120,,Brock_def_atk_area,BurnMainAttack,,,,,brock_def_atk_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock003UltiProjectile,RocketGirlUltiProjectile,,,sc/effects_brawler.sc,sc3d/brock_003_atk_blue.scw,sc3d/brock_003_atk_red.scw,brock_def_ulti_tail_blue,brock_def_ulti_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,93,,0,120,,Brock_def_ulti_area,,,,,,brock_def_ulti_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock004Projectile,RocketGirlProjectile,,,sc/effects_brawler.sc,sc3d/brock_004_atk_blue.scw,sc3d/brock_004_atk_red.scw,brock_004_atk_tail_blue,brock_004_atk_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,0,,0,120,,Brock_004_atk_area,BurnMainAttackWater,,,,,brock_004_atk_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock004UltiProjectile,RocketGirlUltiProjectile,,,sc/effects_brawler.sc,sc3d/brock_004_atk_blue.scw,sc3d/brock_004_atk_red.scw,brock_004_ulti_tail,brock_004_ulti_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,93,,0,120,,Brock_004_ulti_area,,,,,,brock_004_ulti_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock005Projectile,RocketGirlProjectile,,,sc/effects_brawler.sc,sc3d/brock_005_atk_blue.scw,sc3d/brock_005_atk_red.scw,brock_def_atk_tail_blue,brock_def_atk_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,101,,,,,,0,2,0,120,,Brock_def_atk_area,BurnMainAttack,,,,,brock_def_atk_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock005UltiProjectile,RocketGirlUltiProjectile,,,sc/effects_brawler.sc,sc3d/brock_005_atk_blue.scw,sc3d/brock_005_atk_red.scw,brock_def_ulti_tail_blue,brock_def_ulti_tail_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,0,,true,true,,,93,2,0,100,,Brock_def_ulti_area,,,,,,brock_def_ulti_trail,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotDudeProjectile,,,3478,sc/effects_brawler.sc,,,rico_def_atk_bullet_blue,rico_def_atk_bullet_red,shadow_normal_circle,,,,,,Trickshot_hit_env,Gen_hit,rico_def_atk_reached,,101,,,,,,0,3,0,130,,,,,,,,,true,,true,500,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotDudeUltiProjectile,,,4891,sc/effects_brawler.sc,,,rico_def_ulti_bullet_blue,rico_def_ulti_bullet_red,shadow_normal_circle,,,,,,Trickshot_hit_env,Gen_hit,rico_def_ulti_reached,,101,,,,,,0,3,0,130,,,,,,,,rico_ulti_trail_twinkles,true,,true,500,6,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico002Projectile,TrickshotDudeProjectile,,,sc/effects_brawler.sc,,,rico_002_atk_bullet_blue,rico_002_atk_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env,rico_002_hit_env,rico_002_atk_reached,,,,,,,,0,,0,130,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico002UltiProjectile,TrickshotDudeUltiProjectile,,,sc/effects_brawler.sc,,,rico_002_ulti_bullet_blue,rico_002_ulti_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env_ulti,rico_002_hit_env_ulti,rico_002_ulti_reached,,,,,,,,0,,0,130,,,,,,,,rico_ulti_trail_twinkles,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico003Projectile,TrickshotDudeProjectile,,,sc/effects_brawler.sc,,,rico_003_atk_bullet_blue,rico_003_atk_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env,rico_002_hit_env,rico_003_atk_reached,,,,,,,,0,,0,130,,,,,,,,rico_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico003UltiProjectile,TrickshotDudeUltiProjectile,,,sc/effects_brawler.sc,,,rico_003_ulti_bullet_blue,rico_003_ulti_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env_ulti,rico_002_hit_env_ulti,rico_003_ulti_reached,,,,,,,,0,,0,130,,,,,,,,rico_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico004Projectile,TrickshotDudeProjectile,,,sc/effects_brawler.sc,,,rico_004_atk_bullet_blue,rico_004_atk_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env,rico_002_hit_env,rico_004_atk_reached,,,,,,,,0,,0,130,,,,,,,,rico_004_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico004UltiProjectile,TrickshotDudeUltiProjectile,,,sc/effects_brawler.sc,,,rico_004_ulti_bullet_blue,rico_004_ulti_bullet_red,shadow_normal_circle,,,,,,rico_002_hit_env_ulti,rico_002_hit_env_ulti,rico_004_ulti_reached,,,,,,,,0,,0,130,,,,,,,,rico_004_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico005Projectile,TrickshotDudeProjectile,,,sc/effects_brawler.sc,,,rico_005_atk_bullet_blue,rico_005_atk_bullet_red,shadow_normal_circle,,,,,,rico_005_atk_hitEnv,rico_005_atk_hit,rico_005_atk_reached,,,,,,,,0,,0,130,,,,,,,,rico_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico005UltiProjectile,TrickshotDudeUltiProjectile,,,sc/effects_brawler.sc,,,rico_005_ulti_bullet_blue,rico_005_ulti_bullet_red,shadow_normal_circle,,,,,,rico_005_ulti_hitEnv,rico_005_ulti_hit,rico_005_ulti_reached,,,,,,,,0,,0,130,,,,,,,,rico_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico006Projectile,TrickshotDudeProjectile,,,sc/effects_brawler.sc,,,rico_006_atk_bullet_blue,rico_006_atk_bullet_red,shadow_normal_circle,,,,,,rico_006_atk_hitEnv,rico_006_atk_hit,rico_006_atk_reached,,,,,,,,0,,0,130,,,,,,,,rico_006_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico006UltiProjectile,TrickshotDudeUltiProjectile,,,sc/effects_brawler.sc,,,rico_006_ulti_bullet_blue2,rico_006_ulti_bullet_red2,shadow_normal_circle,,,,,,rico_006_ulti_hitEnv,rico_006_ulti_hit,rico_006_ulti_reached,,,,,,,,0,,0,130,,,,,,,,rico_006_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusProjectile,,,2174,sc/effects_brawler.sc,,,spike_def_atk1_projectie,spike_def_atk1_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,150,,,,,,0,2,0,120,,CactusExplosion,CactusSpikeExplosion,,,,,,true,,,,,UseZFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusUltiProjectile,,,1739,sc/effects_brawler.sc,,,spike_def_ulti_projectile,spike_def_ulti_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,0,,true,,,,240,1,0,100,,CactusUltiExplosion,,,,,,Gen_Trail_dust,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusSpike,,,3261,sc/effects_brawler.sc,,,spike_def_atk2_projectile,spike_def_atk2_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,spike_def_atk2_reached,,50,,,,,,0,1,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike002Projectile,CactusProjectile,,,sc/effects_brawler.sc,,,spike_002_atk1_projectile_blue,spike_002_atk1_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,0,,0,120,,Spike_002_atk1_explosion,Spike_002_atk2,,,,,spike_002_atk1_trail,true,,,,,DoNotRotateClip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike002UltiProjectile,CactusUltiProjectile,,,sc/effects_brawler.sc,,,spike_002_ulti_projectile_blue,spike_002_ulti_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,240,,0,100,,Spike_002_ulti_explosion,,,,,,spike_002_atk1_trail,true,,,,,DoNotRotateClip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike002Spike,CactusSpike,,,sc/effects_brawler.sc,,,spike_002_atk2_projectile,spike_002_atk2_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,spike_002_atk2_reached,,,,,,,,0,,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike003Projectile,CactusProjectile,,,sc/effects_brawler.sc,,,spike_003_atk1_projectile,spike_003_atk1_projectile_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,,,,,,,,,0,,0,120,,Spike_003_atk1_explosion,Spike_003_atk2,,,,,spike_003_atk1_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
