"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundSCW","EnvironmentSCW","MaskedEnvironmentSCW","CampaignGroundSCW","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","DestructableSCW_CN","DestructableMesh_CN","DestructableAngleStep_CN","FragileSCW","FragileMesh","FragileAngleStep","FragileSCW_CN","FragileMesh_CN","FragileAngleStep_CN","WaterTileSCW","FenceSCW","RopeFenceSCW","RoadSCW","IndestructibleSCW","IndestructibleMesh","GroundFillerSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
"OasisBeach","TRUE","oasis_","sc/events.sc","event_beach_banner",,"BattleMusic","sc3d/bgr_beach_ground.scw","sc3d/bgr_beach.scw",,,"sc3d/rock2.scw","Rock_2",90,"sc3d/stone_ruin_1.scw","stone_ruin_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/plant_1_small.scw",,1,,,,"sc3d/vase_1.scw","vase_1",1,,,,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/generic_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,234,180,119,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,,
,,,,,,,,,,,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortuary",,"mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground.scw","sc3d/bgr_mortuary.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_mortuary.scw",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryHW","TRUE","mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground.scw","sc3d/bgr_mortuary.scw+sc3d/bgr_mortuary_decos_hw.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_mortuary.scw",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryShowdown",,"mortuary_","sc/events.sc","event_mortuary_showdown_banner",,"Halloween_ingame","sc3d/bgr_mortuary_showdown_ground.scw","sc3d/bgr_mortuary_showdown.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",60,60
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryShowdownHW","TRUE","mortuary_","sc/events.sc","event_mortuary_showdown_banner",,"Halloween_ingame","sc3d/bgr_mortuary_showdown_ground.scw","sc3d/bgr_mortuary_showdown.scw+sc3d/bgr_mortuary_showdown_decos_hw.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",60,60
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassfield",,"grassfield_","sc/events.sc","event_brawlball_banner",,"BattleMusic","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",,,"sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_1_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/vase_1.scw","vase_1",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/generic_rope_fence.scw",,"sc3d/brick1.scw","brick_1",,,,,,,,60,150,87,15,150,223,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
