Name,BehaviorType,CanMoveAtSameTime,Targeted,CanAutoShoot,MovementBasedAutoshoot,AttackFacing,Cooldown,ActiveTime,CastingTime,CastingRange,RangeVisual,RangeInputScale,MaxCastingRange,AllowAimOutsideMap,ForceValidTile,RechargeTime,MaxCharge,Damage,PercentDamage,MsBetweenAttacks,Spread,AttackPattern,NumBulletsInOneAttack,TwoGuns,ExecuteFirstAttackImmediately,MovementSpeed,ChargePushback,OverchargedChargePushback,ChargeSpeed,ChargeType,NumSpawns,MaxSpawns,BreakInvisibilityOnAttack,SeeInvisibilityDistance,AlwaysCastAtMaxRange,Projectile,OverchargedProjectile,SummonedCharacter,AreaEffectObject,AreaEffectObject2,OverchargedAreaEffectObject,OverchargedAreaEffectObject2,AreaEffectFollow,SpawnedItem,SpawnItemTriggerType,ButtonSWF,ButtonExportName,ButtonExportNameBlue,AttackEffect,OverchargedAttackEffect,UseEffect,OverchargedUseEffect,EndEffect,OverchargedEndEffect,LoopEffect,LoopEffect2,OverchargedLoopEffect,OverchargedLoopEffect2,ChargeMoveSound,MultiShot,SkillChangeType,SecondarySkill,SecondarySkill2,SecondarySkill3,SecondarySkill4,ShowTimerBar,SecondaryProjectile,ThirdProjectile,ChargedShotCount,DamageModifier,HoldToShoot,UsableInShadowRealm,"HealSelfOnActivationType","HealSelfOnActivationPower",CustomString,CustomString2,CustomValue
TrickshotDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,1250,,40,,,,,,,,360,,100,20,1,1,,TRUE,,,,,,,,,,,TrickshotDudeUltiProjectile,,,,,,,,,,,,,rico_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,2000,3,540,,100,,,1,,TRUE,,,,,,,,,,,CactusProjectile,,,,,,,,,,,,,cactus_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CactusUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,,,400,,100,0,,1,,TRUE,,,,,,,,,,,CactusUltiProjectile,CactusOverchargedUltiProjectile,,,,,,,,,,,,cactus_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,2000,3,800,,100,0,,1,,TRUE,,,,,,,,,,,BarkeepProjectile,,,,,,,,,,,,,barkeep_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BarkeepUlti,Attack,TRUE,TRUE,TRUE,,,250,1050,,28,,,,,,,,800,,200,75,9,1,,TRUE,,,,,,,,,,,BarkeepUltiProjectile,,,,,,,,,,,,,barkeep_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MechanicWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,,,1800,3,1060,,100,0,,1,,TRUE,,,,,,,,,,,MechanicProjectile1,,,,,,,,,,,,,mechanic_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MechanicUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,MechanicUltiProjectile,MechanicOverchargedUltiProjectile,MechanicTurret,,,,,,,,,,,mechanic_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,18,,,,,,1100,3,960,,100,0,,1,,TRUE,,,,,,,,,,,ShamanProjectile,,,,,,,,,,,,,shaman_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ShamanUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,ShamanUltiProjectile,"ShamanOverChargedUltiProjectile",ShamanPet,,,,,,,,,,,shaman_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,1600,3,800,,100,30,,2,,TRUE,,,,,,,,,,,TntDudeProjectile,,,,,,,,,,,,,tnt_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
TntDudeUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,,,2200,,100,0,,1,,TRUE,,,,,,,,,,,TntDudeUltiProjectile,TntDudeOverchargedUltiProjectile,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LuchadorWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,9,,,,,,800,3,380,,150,0,,1,TRUE,TRUE,,,,,,,,,,,PrimoDefProjectile,,,,,,,,,,,,,luchador_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
LuchadorUlti,Charge,,TRUE,TRUE,,,50,,,27,,,,,,,,960,,,,,,,,,130,-100,1600,3,,,,,,,,,,,,,,,,,,,,,luchador_ulti,luchador_overcharged_ulti,luchador_ulti_ground_hit,luchador_overcharged_ulti_ground_hit,,,,,,,,,,,,,,,,,,,,,,,
UndertakerWeapon,Charge,,TRUE,TRUE,,,0,,,8,,,,,,2400,3,1000,,,,,,,,,,,2700,4,,,,,TRUE,,,,,,,,,,,,,,,,mortis_def_atk,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
UndertakerUlti,Attack,TRUE,TRUE,TRUE,,,0,200,,30,,,,,,,,900,,150,,,1,,TRUE,,,,,,,,,,,UndertakerUltiProjectile,,,,,,,,,,,,,undertaker_attack_ulti,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,26,,,,,,1400,3,320,,100,45,,3,,TRUE,,,,,,,,,,,CrowProjectile,,,,,,,,,,,,,crow_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CrowUlti,Charge,,TRUE,TRUE,,,50,,,26,,,,,,,,320,,,,,,,,,0,,3000,2,,,,,,,,,CrowUltiKnifes,,CrowOverchargedUltiKnifes,,TRUE,,,,,,,,crow_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,
DeadMariachiWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,21,,,,,,1600,3,760,,100,130,,4,,TRUE,,,,,,,,,,,DeadMariachiProjectile,,,,,,,,,,,,,poco_def_atk_direct,,poco_def_atk_root,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
DeadMariachiUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,28,,,,,,,,2100,,100,130,,3,,TRUE,,,,,,,,,,,DeadMariachiUltiProjectile,,,,,,,,,,,,,poco_def_atk_direct,,poco_def_ulti_root,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,26,,,,,,1700,3,640,,200,30,2,1,,TRUE,,,,,,,,,,,BowDudeProjectile,,,,,,,,,,,,,bow_dude_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BowDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,26,,,,,,,,1440,,200,,,1,,TRUE,,,,,,1,1,,,,BowDudeSpawnMineProjectile,,,,,,,,BoxOfMines,,,,,bo_def_ulti_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,30,,,,,,2300,3,1700,,100,,,1,,TRUE,,,,,,,,,,,SniperProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SniperUlti,Charge,,TRUE,TRUE,,,50,,,26,,,,,,,,900,,,,,,,,,0,,1500,6,1,1,,,,,,,,,,,,BoxOfBombs,,,,,,,sniper_ulti,,piper_def_ulti_end,,,,,,,,,,,,,,,,,,,,,,,,
MinigunDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,950,,27,,,,,,1300,3,260,,100,60,3,1,,TRUE,,,,,,,,,,,MinigunDudeProjectile,,,,,,,,,,,,,pam_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MinigunDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,MinigunDudeUltiProjectile,,HealingStation,,,,,,,,,,,minigun_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackHoleWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,24,,,,,,2000,3,480,,100,50,,3,,TRUE,,,,,,,,,,,BlackHoleProjectile,,,,,,,,,,,,,tara_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BlackHoleUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,20,,,,,,,,800,,100,0,,1,,TRUE,,,,,,,,,,,BlackHoleUltiProjectile,,,,,,,,,,,,,blackhole_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelBotWeapon,Attack,TRUE,TRUE,TRUE,,,50,550,,18,,,,,,1800,3,240,,250,80,,5,TRUE,TRUE,,,,,,,,,,,BarrelBotProjectile,,,,,,,,,,,,,darryl_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BarrelBotUlti,Charge,,TRUE,TRUE,,,50,,,21,,,,,,,,400,,,,,,,,,70,,2400,7,,,,,TRUE,,,,,,,,,,,,,,,,barrel_bot_ulti,,,,barrel_bot_ulti_loop,,,,Barrelbot_step,,,,,,,,,,,,,,,,,,
ArtilleryDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,24,,,,,,2000,3,980,,100,0,,1,,TRUE,,,,,,,,,,,ArtilleryDudeProjectile,,,,,,,,,,,,,penny_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ArtilleryDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,ArtilleryDudeUltiProjectile,,ArtilleryDudeTurret,,,,,,,,,,,artillery_dude_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warp,Blink,TRUE,TRUE,,,,250,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SupplyCrate,Attack,TRUE,TRUE,,,,250,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SupplyCrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow,Attack,TRUE,TRUE,,,,250,150,,20,,,40,,,,,600,,100,0,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,laser_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummySkillForLaserBall,Attack,TRUE,TRUE,,,,250,150,,24,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForLaserBall,,,,,,,,,,,,,laser_ball_throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummyUltiSkillForLaserBall,Attack,TRUE,TRUE,,,,250,150,,36,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForLaserBall,,,,,,,,,,,,,laser_ball_throw_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummySkillForLaserBallBurning,Attack,TRUE,TRUE,,,,250,150,,24,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForLaserBallBurning,,,,,,,,,,,,,laser_ball_throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummyUltiSkillForLaserBallBurning,Attack,TRUE,TRUE,,,,250,150,,36,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForLaserBallBurning,,,,,,,,,,,,,laser_ball_throw_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BossRapidFire,Attack,,TRUE,,,,50,1850,1250,40,,,,,,1250,3,900,,300,90,3,1,,TRUE,,,,,,,,,,,BossProjectile,,,,,,,,,,,,,minion_missile_atk,,minion_warning_long,,,,,,,,,,,,,,,,,,,,,,,,,,
BossCharge,Charge,,TRUE,,,,50,,1000,33,,,,,,,,1400,,,,,,,,,130,,1800,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,,,,,,,,,,,,,,,,,
MeleeEnemyCharge,Charge,,TRUE,,,,50,,,33,,,,,,,,1000,,,,,,,,,130,,2400,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,,,,,,,,,,,,,,,,,
HammerDudeWeapon,Attack,,TRUE,TRUE,,,50,700,,18,,,,,,800,3,1240,,600,130,,4,,,,,,,,,,,,,HammerDudeProjectile,,,,,,,,,,,,,hammer_dude_attack,,hammer_dude_start_attack,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
HammerDudeUlti,Attack,,TRUE,TRUE,,,50,1200,,21,,,,,,,,1240,,1100,130,,4,,,,,,,,,,,,,HammerDudeUltiProjectile,,,,,,,,,,,,,hammer_dude_ulti,,hammer_dude_start_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,
HookWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,17,,,,,,2000,3,1000,,100,0,,1,,TRUE,,,,,,,,,,,HookProjectile,,,,,,,,,,,,,gene_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
HookUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,HookUltiProjectile,"HookUltiOverchargedProjectile",,,,,,,,,,,,gene_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClusterBombDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,26,,,,,,2400,3,640,,100,0,,1,,TRUE,,,,,,,,,,,ClusterBombProjectile,,,,,,,,,,,,,tick_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ClusterBombDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,10,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,ClusterBombSummonProjectile,"ClusterBombOverchargedSummonProjectile",ClusterBombPet,,,,,,,,,,,tick_attack_ulti,,tick_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,
BoneThrowerWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,,,2000,3,,,100,0,,1,,TRUE,,,,,,,,,,,BoneThrowerProjectile,,,,,,,,,,,,,bonethrower_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BoneThrowerUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,,,,,100,,500,,,1,,TRUE,,,,,,,,,,,BoneThrowerUltiProjectile,,,,,,,,,,,,,bonethrower_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NinjaWeapon,Attack,TRUE,TRUE,TRUE,,,50,450,,29,,,,,,1900,3,480,,100,35,2,1,TRUE,TRUE,,,,,,,,,,,LeonDefProjectile,,,,,,,,,,,,,ninja_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
NinjaUlti,Invisibility,TRUE,,TRUE,,,50,6000,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,1200,,,,,,,,,,,,,,,,,ninja_go_invisible,ninja_go_invisible_overcharged,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
RosaWeapon,Attack,TRUE,TRUE,TRUE,,,50,800,,11,,,,,,1000,3,460,,250,130,,3,TRUE,TRUE,,,,,,,,,,,RosaProjectile,RosaOverchargedProjectile,,,,,,,,,,,,rosa_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
RosaUlti,Shield,TRUE,,TRUE,,,50,3000,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,RosaOverchargedUltiArea,,,,,,,,,,rosa_def_ulti,rosa_def_overcharge_use,,,rosa_def_ulti_loop,,rosa_def_overcharge_loop,,,,,,,,,TRUE,,,,,,,,,,,
SandstormUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,,,,,100,0,,1,,TRUE,,,,,,,,,,,SandstormUltiProjectile,"SandstormOverchargedUltiProjectile",,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhirlwindWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,25,,,,,,2000,1,740,,100,0,,1,,TRUE,,,,,,,,,,,WhirlwindProjectile,,,,,,,,,,,,,whirlwind_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
WhirlwindUlti,Ww,TRUE,,TRUE,,,50,3000,,7,,,,,,,,500,,600,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,carl_def_ulti_loop,carl_def_ulti_ground,,,,,,,,,,TRUE,,,,,,,,,,,
BaseballWeapon,Attack,TRUE,TRUE,TRUE,,,50,700,,11,,,,,,800,3,1400,,600,300,,1,,,,200,,2000,,,,,,,,,,,,,,,,,,,,bibi_def_atk,,bibi_swing,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BaseballUlti,Attack,TRUE,TRUE,TRUE,,,50,150,,120,,,,,,,,900,,100,,,,,TRUE,,,,,,,,,,,BaseballUltiProjectile,BaseballOverchargedUltiProjectile,,,,,,,,,,,,bibi_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcadeWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,30,,,,,,1500,3,320,,100,18,3,1,,TRUE,,,,,,,,,,,ArcadeProjectile,,,,,,,,,,,,,arcade_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ArcadeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,ArcadeUltiProjectile,,DamageBooster,,,,,,,,,,,,,arcade_def_ulti_atk,,,,,,,,,,,,,,,,,,,,,,,,,,
SandstormWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,18,,,,,,1800,3,900,,100,80,4,3,,TRUE,,,,,,,,,,,SandstormProjectile,,,,,,,,,,,,,poco_def_atk_direct,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BeeSniperWeapon,Attack,TRUE,TRUE,TRUE,,,50,150,,30,,,,,,900,1,800,,100,,,1,,TRUE,,,,,,,,,,,BeeSniperProjectile,,,,,,,,,,,,,bea_def_atk,,,,,,,,,,,,,,,,,,BeeSniperChargedProjectile,,1,250,,TRUE,,,,,
BeeSniperUlti,Attack,TRUE,TRUE,TRUE,,,50,150,,27,,,,,,,,100,,100,30,,7,,TRUE,,,,,,,,,,,BeeSniperUltiProjectile,,,,,,,,,,,,,tick_def_atk,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
MummyWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,20,,,,,,2000,3,520,,100,80,5,5,,TRUE,,,,,,,,,,,MummyProjectile,,,,,,,,,,,,,emz_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MummyUlti,AreaBuff,TRUE,,TRUE,,,50,5000,,,,,,,,,,240,,70,,,,,,,,,,,,,,,,,,,MummyUltiArea,,,,TRUE,,,,,,,,emz_def_ulti_use,,,,Dummy_effect,,,,,,,,,,,TRUE,,,,,,,,,,,
SpawnerDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,SpawnerDudeUltiProjectile,,SpawnerDudeTurret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpawnerDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,21,,,,,,1600,3,760,,100,,,1,,TRUE,,,,,,,,,,,SpawnerDudeProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SpeedyWeapon,Attack,TRUE,TRUE,TRUE,,,50,450,,25,,,,,,1300,4,320,,100,30,6,1,,TRUE,,,,,,,,,,,SpeedyProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SpeedyUlti,AreaBuff,TRUE,,TRUE,,,50,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpeedyUltiArea,,"SpeedyUltiOverchargedArea",,TRUE,,,,,,,,,,,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,
HomerWeapon,Attack,TRUE,TRUE,TRUE,,,50,150,,20,,,,,,2200,3,800,,100,,,1,,TRUE,,,,,,,,,,,HomerProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
HomerUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,HomerUltiProjectile,,ReloadBooster,,,,,,,,,,,shaman_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummySkillForCTF,Attack,TRUE,TRUE,,,,250,150,,13,,200,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForCTF,,,,,,,,,,,,,laser_ball_throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummyUltiSkillForCTF,Attack,TRUE,TRUE,,,,250,150,,20,,300,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForCTF,,,,,,,,,,,,,laser_ball_throw_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrillerWeapon,Attack,TRUE,,TRUE,,1,250,150,,10,,,,,,1800,3,,,1000,,,,,,,,,,,,,,,,,,,DrillerDamageArea,,,,TRUE,,,,,,luchador_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
DrillerUlti,Attack,TRUE,,TRUE,,1,250,500,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,DrillerUltiArea,,DrillerOverchargedUltiArea,,TRUE,,,,,,,,driller_def_ulti_use,driller_def_overcharge_use,,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,
BlowerWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,25,,,,,,1200,3,280,,100,,7,6,,TRUE,,,,,,,,,,,BlowerProjectile,,,,,,,,,,,,,bull_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BlowerUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,30,,,,,,,,500,,100,,7,5,,TRUE,,,,,,,,,,,BlowerUltiProjectile,,,,,,,,,,,,,shelly_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ControllerWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,26,,,,,,1800,3,740,,100,50,,3,,TRUE,,,,,,,,,,,ControllerProjectile,,,,,,,,,,,,,bull_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ControllerUlti,Attack,,TRUE,TRUE,,,50,150,,10,,,,,,,,1800,,100,0,,1,,TRUE,,,,,,,,,,,ControllerUltiProjectile,,,,,,,,,,,,,colt_def_ulti,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
WallyWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,15,,,,,1,1700,3,980,,100,30,,1,,TRUE,,,,,,,,,,,WallyProjectile,,,,,,,,,,,,,sprout_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
