Name,Disabled,FileName,BackgroundFile,FallBackMusic,Volume,Loop,PlayCount,FadeOutTimeSec,DurationSec,MovieClipFrameLabel
Space_Brawl_Ingame,TRUE,music/military_lase_tag_ingame_01.ogg,,,70,TRUE,,,60,
,TRUE,music/military_lase_tag_ingame_03.ogg,,,70,TRUE,,,60,
,TRUE,music/military_lase_tag_ingame_02.ogg,,,70,TRUE,,,60,
Xmas_Pirate_Menu,TRUE,music/brawl_pirate_menu_01.ogg,,,60,TRUE,,,67,
Pirate_Brawl_Ingame,TRUE,music/pirate_brawl_ingame_01.ogg,,,70,TRUE,,,63,
MenuMusic,,music/brawl_stars_menu_01.ogg,,,60,TRUE,,,153,
MechMenuMusic,TRUE,music/mech_menu_01.ogg,,,60,TRUE,,,78,
Cnymenu_music,TRUE,music/background/cny_brawl_menu_01.ogg,TRUE,Snow_brawl,60,TRUE,,,178,
Brawl_royale_menu_music,TRUE,music/royale_brawl_menu_01.ogg,,,60,TRUE,,,91,
Brawl_dawgs_menu,TRUE,music/brawl_dawgs_menu_01.ogg,,,60,TRUE,,,95,
Xmas_menu,,music/brawlmass_01.ogg,,,60,TRUE,,,85,
10th_Anniversary_Menu,TRUE,music/brawl_original_menu_01.ogg,,,60,TRUE,,,124,
WinJingle,,music/slugfest_game_won_01.ogg,,,80,,1,,,
LoseJingle,,music/slugfest_game_lost_01.ogg,,,70,,1,,,
DrawJingle,,music/laser_game_draw_01.ogg,,,70,,1,,,
Win_loop,,music/win_screen_loop_4x_01.ogg,,,60,TRUE,,,30,
Draw_loop,,music/draw_screen_loop_4x_01.ogg,,,60,TRUE,,,34,
Lose_loop,,music/lose_screen_loop_4x_01.ogg,,,60,TRUE,,,28,
Brawlbawl_goal,,music/brawl_goal_02.ogg,,,80,,1,,,
Brawlbawl_other_goal,,music/brawl_other_goal_01.ogg,,,80,,1,,,
30_sec_panic,,music/brawl_panic_time_01.ogg,,,75,TRUE,,,30,
Brawl_xmas_flag_win,,sfx/brawloween_load_01.ogg,,,70,,1,,,
Brawl_xmas_flag_lose,,sfx/brawloween_load_01.ogg,,,70,,1,,,
Snowtel_Menu,TRUE,music/snowtel_menu_01.ogg,,,60,TRUE,,,60,
Snowtel_Ingame,,music/snowtel_ingame_01.ogg,,,70,TRUE,,,69,
Ranked_pick,,music/bs_nerd_mode_01.ogg,,,60,TRUE,,,67,
Golden_Week_Menu,TRUE,music/background/golden_paw_stars_01.ogg,TRUE,Snow_brawl,60,TRUE,,,81,
Action_Western_Menu,TRUE,music/action_western_stars_01.ogg,,,60,TRUE,,,72,
Action_Western_Ingame,TRUE,music/rooty_tooty_ingame_01.ogg,,,70,TRUE,,,61,
Basketbrawl_goal,,music/brawl_score_point_01.ogg,,,80,,1,,,
Basketbrawl_other_goal,,music/brawl_other_point_01.ogg,,,80,,1,,,
Volleybrawl_goal,,music/brawl_score_point_01.ogg,,,80,,1,,,
Volleybrawl_other_goal,,music/brawl_other_point_01.ogg,,,80,,1,,,
Summer_Brawl_Menu_Muzak,TRUE,music/brawl_dinobeach_menu_01.ogg,,,60,TRUE,,,54,
Summer_Brawl_Ingame_Music,TRUE,music/brawl_dinobeach_ingame_01.ogg,,,70,TRUE,,,72,
Punk_Brawl_Menu,TRUE,music/brawl_punk_menu_01.ogg,,,70,TRUE,,,75,
Fairytale_Menu,TRUE,music/brawl_fairytale_menu_01.ogg,,,60,TRUE,,,57,
Courtyard_Ingame,TRUE,music/brawl_castle_ingame_01.ogg,,,70,TRUE,,,67,
Brawlywood_Ingame,TRUE,music/brawlywood_ingame_01.ogg,,,70,TRUE,,,82,
Brawlywood_Menu,TRUE,music/brawlywood_menu_01.ogg,,,60,TRUE,,,52,
Retro_Fight_Menu,,music/retro_fighting_menu_01.ogg,,,60,TRUE,,,90,
Retro_Fight_Ingame,,music/retro_fight_ingame_01.ogg,,,70,TRUE,,,62,
Biodome_Menu,TRUE,music/biodome_menu_01.ogg,,,60,TRUE,,,66,
Biodome_Ingame,TRUE,music/biodome_ingame_01.ogg,,,70,TRUE,,,66,
Pinstuntbrawl_Menu,TRUE,music/pinstuntbrawl_menu_01.ogg,,,60,TRUE,,,83,
Pinstuntbrawl_Ingame,TRUE,music/pinstuntbrawl_ingame_01.ogg,,,70,TRUE,,,65,
Bad_Randoms_Music,TRUE,music/we_wont_cooperate.ogg,,,70,TRUE,,,133,
,TRUE,music/background/healing_lies.ogg,TRUE,,70,TRUE,,,119,
,TRUE,music/background/mortis_game.ogg,TRUE,,70,TRUE,,,135,
,TRUE,music/background/together_song.ogg,TRUE,,70,TRUE,,,141,
Deepsea_Beastieboys_Menu,TRUE,music/deepsea_beastieboys_brawl_menu_01.ogg,,,60,TRUE,,,64,
Underwater_Braw_Ingame,TRUE,music/underwater_brawl_ingame_01.ogg,,,70,TRUE,,,67,
Robotfactory_Menu,TRUE,music/robot_factory_brawl_menu_01.ogg,,,60,TRUE,,,90,
Robotfactory_Ingame,,music/robot_factory_brawl_ingame_01.ogg,,,70,TRUE,,,58,
TopGun_Action_Menu,TRUE,music/top_gun_action_brawl_menu_01.ogg,,,60,TRUE,,,102,
Ghosttrain_Menu,TRUE,music/brawloween_2022_menu_01.ogg,,,60,TRUE,,,65,
Ghosttrain_Ingame,TRUE,music/brawloween_ghost_train_ingame_01.ogg,,,70,TRUE,,,91,
Candyland_Ingame,TRUE,music/brawl_candy_level_ingame_01.ogg,,,70,TRUE,,,76,
Krampus_Menu,TRUE,music/brawl_krampus_menu_01.ogg,,,60,TRUE,,,59,
Brawlentines_Menu,TRUE,music/brawlentine_menu_01.ogg,,,60,TRUE,,,96,
Mandy_Candy_Menu,TRUE,music/mandy_candy_meny_muzak_01.ogg,,,60,TRUE,,,71,
Scifi_Noir_Menu,TRUE,music/brawl_scifi_noir_menu_01.ogg,,,60,TRUE,,,84,
Mask_Dance_Menu,TRUE,music/brawl_mask_dance_menu_01.ogg,,,60,TRUE,,,96,
Lounge_Hub_Ingame,TRUE,music/brawl_lounge_ingame_01.ogg,,,70,TRUE,,,76,
Brawlympus_Menu,TRUE,music/brawlympus_menu_music_01.ogg,,,60,TRUE,,,86,
Brawl_Jungle_Menu,TRUE,music/brawl_jungle_menu_music_01.ogg,,,60,TRUE,,,50,
Brawl_Jungle_Ingame,TRUE,music/brawl_jungle_ingame_music_01.ogg,,,60,TRUE,,,45,
BasketbrawL_Ingame,TRUE,music/basket_brawl_ingame_music_01.ogg,,,60,TRUE,,,172,
Brawl_Enchanted_Forest_Menu,TRUE,music/brawl_enchanted_forest_menu_01.ogg,,,60,TRUE,,,79,
Brawl_Enchanted_Forest_Ingame,TRUE,music/brawl_enchanted_forest_ingame_01.ogg,,,70,TRUE,,,96,
Brawl_Cursed_Pirates_Menu,TRUE,music/brawl_cursed_pirate_menu_01.ogg,,,60,TRUE,,,59,
Highschool_Menu,,music/highschool_menu_music_01.ogg,,,60,TRUE,,,89,
Wasteland_Menu,TRUE,music/wasteland_menu_muzak_01.ogg,,,60,TRUE,,,72,
Wasteland_Ingame,TRUE,music/wasteland_ingame_music_01.ogg,,,70,TRUE,,,103,
Circus_Menu,TRUE,music/circus_menu_01.ogg,,,60,TRUE,,,80,
Circus_Ingame,TRUE,music/circus_ingame_01.ogg,,,70,TRUE,,,48,
Hindu_Menu,TRUE,music/hindu_menu_01.ogg,,,60,TRUE,,,80,
Piggybank_Ingame,,music/piggybank_ingame_01.ogg,,,70,TRUE,,,61,
BowDudeSagittarius_Menu,,music/background/BowDudeSagittarius_bg_vo.ogg,TRUE,,60,TRUE,,,80,
ShotgunGirlElectronictoy_Menu,,music/background/ShotgunGirlElectronictoy_bg_vo.ogg,TRUE,,20,TRUE,,,80,
RollerCapricorn_Menu,,music/background/RollerCapricorn_bg_vo.ogg,TRUE,,60,TRUE,,,80,
Brawly_Toonz_Menu,,music/brawly_toonz_menu_music.ogg,,,60,TRUE,,,65,
Brawly_Toonz_Ingame,,music/brawly_toonz_ingame_01.ogg,,,70,TRUE,,,60,
emzaquarius_Menu,,music/background/emzaquarius_bg_vo.ogg,TRUE,,60,TRUE,,,80,
piperPisces_Menu,,music/background/piperPisces_bg_vo.ogg,TRUE,,60,TRUE,,,80,
Collect_Menu,,music/collect_bg_vo.ogg,,,60,TRUE,,,80,
K2_Gallery,,music/k2_bgm_gallery_01.ogg,,,60,TRUE,,,80,
Tronmortis_Menu,,music/background/Tronmortis_bg_vo.ogg,TRUE,,40,TRUE,,,80,
