"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent","CanGrowStronger","HideFaster","GrapplesEnemy"
"CactusProjectile",2174,"sc/effects.sc","cactus_projectile","cactus_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,150,,,,,0,2,0,120,,"CactusExplosion","CactusSpikeExplosion",,,"Gen_Trail_dust","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,
"CactusUltiProjectile",1739,"sc/effects.sc","cactus_ulti_projectile","cactus_ulti_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,1,0,100,,"CactusUltiExplosion",,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusSpike",3261,"sc/effects.sc","cactus_projectile_spike","cactus_projectile_spike_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,1,0,100,,,,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile1",2609,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",150,,,,,0,2,0,125,,,,,,"electricity_Trail","true",,,,,,,,,1,,,20,"MechanicProjectile2",,,,,,,,,,,,,,,,
"MechanicProjectile2",1522,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",150,,,,,0,1,0,125,,,,,,"electricity_Trail","true",,,,,,,,,1,,,20,"MechanicProjectile3",,,,,,,,,,,,,,,,
"MechanicProjectile3",1522,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",150,,,,,0,1,0,125,,,,,,"electricity_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicUltiProjectile",1196,"sc/effects.sc","turret_projectile","turret_projectile","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanUltiProjectile",1196,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,,,,,,"magic_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepProjectile",1750,"sc/effects.sc","bottle_blue","bottle_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,1,0,100,1,"BarkeepExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepUltiProjectile",1504,"sc/effects.sc","bottle_blue_ulti","bottle_red_ulti","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,1,"BarkeepUltiExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeProjectile",1900,"sc/effects.sc","basic_grenade_projectile","dynamite_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1100,35,430,1,0,100,1,"TntDudeExplosion",,,,"Gen_Trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeUltiProjectile",1600,"sc/effects.sc","grenadeer_ulti","dynamite_bundle_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1300,35,330,1,0,100,,"TntDudeUltiExplosion",,,,"Plasma_Trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,
"BoneThrowerProjectile",1305,"sc/effects.sc","basic_grenade_projectile","basic_grenade_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,4000,35,150,1,0,100,,,,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,
"BoneThrowerUltiProjectile",1305,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,15000,35,150,1,0,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,
"ShamanProjectile",2718,"sc/effects.sc","shaman_ptojectile","shaman_ptojectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,250,,,,,0,1,0,110,,,,,,"Shaman_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,,,,,
"DummyProjectileForLaserBall",2499,"sc/effects.sc","projectile_small_blue","projectile_small_red",,"projectile_light","projectile_light_red",,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,0,100,,,,,,"Gen_Trail_small","true",,"true",0,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicTurretProjectile",3478,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerUltiProjectile",2718,"sc/effects.sc","bat_clump_projectile","bat_clump_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,400,,,,,0,1,0,100,,,,,,"Bats","true",,,,,"true",,,,,,,,,,,,,,,,,100,"true",,,,,,
"CrowProjectile",3261,"sc/effects.sc","throwing_knife","throwing_knife_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",50,,,,,0,3,0,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
"CrowUltiProjectile",3261,"sc/effects.sc","throwing_knife_spinning","throwing_knife_spinning_red","projectile_shadow",,,,,,"Gen_hit","Poison_hit","no_hit",50,,,,,0,1,0,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
"DeadMariachiProjectile",2500,"sc/effects.sc","soundwave","soundwave","soundwave",,,,,,"Mariachi_hit","Mariachi_hit",,150,,,,,0,4,0,100,,,,,,"Mariachi_soundwaves_trail","true",,,,,"true",,,,,,,,,,,,,,,,,,,,250,,,,
"DeadMariachiUltiProjectile",5000,"sc/effects.sc","Hammer_ptojectile","Hammer_ptojectile_red",,,,,,,"Mariachi_hit","Mariachi_hit",,400,,,,,0,1,0,100,,,,,,"Mariachi_ulti_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,"true",,400,100,,,
"BowDudeSpawnMineProjectile",2391,"sc/effects.sc","ballistic_minearrow_projectile","ballistic_minearrow_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,405,2,0,100,,,,,,"Plasma_Trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,
"BowDudeProjectile",2609,"sc/effects.sc","bomb_arrow","bomb_arrow_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",70,,,,,0,5,0,100,,"BowDudeExplosion",,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"SniperProjectile",4000,"sc/effects.sc","sniper_bullet_blue","sniper_bullet_red","projectile_shadow",,,,,,"sniper_hit","sniper_hit","no_hit",101,,,,,0,3,0,100,,,,,,"Sniper_Trail","true",,,,,,,,,,,,,,10,100,,,,,,,,,,,,"true",,
"MinigunDudeProjectile",4130,"sc/effects.sc","scrap_prjectile","scrap_prjectile_red","scrap_shadown",,,,,,"Trash_hit","Trash_hit","no_hit",50,,,,,0,2,0,85,2,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeUltiProjectile",1196,"sc/effects.sc","helstation_projectile_blue","helstation_projectile_red","projectile_shadow",,,,,,,,,0,"true",,,,170,3,0,100,,,,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorProjectile",3261,"sc/effects.sc","primo_fist_blue","Primo_fist_red","projectile_shadow_big",,,,,,,"Lucha_hit",,150,,,,,0,1,0,80,,,,,,"lucha_smoke_Trail","true",,,,"Use360Frames","true",,,,,,,,,,,,,,20,100,,,,,,,,"true",
"BlackHoleProjectile",3152,"sc/effects.sc","playing_card","playing_card_red","projectile_shadow",,,,,,"blackhole_hit_envy","Gen_hit","blackhole_no_hit",100,,,,,0,2,0,100,,,,,,"sparkle_trail","true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,
"BlackHoleUltiProjectile",1522,"sc/effects.sc","black_hole_projectile","black_hole_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,200,1,0,100,,"BlackHoleUltiSuck","BlackHoleUltiExplosion",,,"sparkle_trail_dark","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,
"BarrelBotProjectile",3044,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeProjectile",3200,"sc/effects.sc","coinbag_projectile_blue","coinbag_projectile_red","projectile_shadow",,,,,,"gold_no_hit","gold_hit","gold_no_hit",150,,,,,0,2,0,120,,,,,,"gold_Trail","true",,,,,,,,,,3,100,16,"ArtilleryDudeProjectile2",,,,,,,,,,,,,,,,
"ArtilleryDudeProjectile2",2500,"sc/effects.sc","coin_burst","coin_burst","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",101,,,,,0,2,0,60,,,,,,"gold_Trail","true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeUltiProjectile",1196,"sc/effects.sc","turret_projectile","turret_projectile","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,139,1,0,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeTurretProjectile",750,"sc/effects.sc","cannon_projectile_blue","cannon_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,90,1,0,100,1,"ArtilleryDudeTurretExplosion",,,,"Gen_Trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlPetProjectile",2826,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackHolePetProjectile",3152,"sc/effects.sc","playing_card","playing_card_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,0,100,,,,,,"sparkle_trail",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,
"CoopRangedEnemyProjectile",2282,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",100,,,,,0,2,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BossProjectile",2282,"sc/effects.sc","rocket1_projectile_blue","rocket1_projectile_red","projectile_shadow",,,,,,"explosion_rocket_rose","explosion_rocket_rose","explosion_rocket_rose",150,,,,,0,2,0,130,,,,,,"Rocket_Trail",,,,,"Use360Frames",,,,,,,,,,,,,,,,,,,,,,,,,
"HammerDudeProjectile",5000,"sc/effects.sc","shaman_ptojectile","shaman_ptojectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,150,,,,,0,2,0,100,,,,,,"Hammer_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,250,,,,
"HammerDudeUltiProjectile",6000,"sc/effects.sc","shaman_ptojectile","shaman_ptojectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,250,,,,,0,2,0,100,,,,,,"Hammer_trail","true",,,,"DoNotRotateClip","true","true","true",,,,,,,,,,,2000,,,,,,,250,,,,
"CrowProjectileFlame",3261,"sc/effects.sc","throwing_knife","throwing_knife_red","projectile_shadow",,,,,,"Gen_hit",,"no_hit",50,,,,,0,3,0,100,,,,,,"flame_trail","true",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
"CrowUltiProjectileFlame",3261,"sc/effects.sc","throwing_knife_spinning","throwing_knife_spinning_red","projectile_shadow",,,,,,"Gen_hit",,"no_hit",50,,,,,0,1,0,100,,,,,,"flame_trail","true",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
"HookUltiProjectile",3600,"sc/effects.sc","primo_fist_blue","Primo_fist_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",150,,,,,0,2,0,60,,,,,,"Gen_Trail_small","true",,,,"Use360Frames",,,,,,,,,"HookUltiProjectile2",,,,,,,,,,,,,,,,"true"
"HookUltiProjectile2",3600,"sc/effects.sc","primo_fist_blue","Primo_fist_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",150,,,,,0,2,0,60,,,,,,"Gen_Trail_small","true",,,,"Use360Frames",,,,,,,,,,,,,,,,,,,"true",,,,,,"true"
"HookProjectile",2935,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ClusterBombProjectile",300,"sc/effects.sc","cactus_projectile","cactus_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",1800,,17,2,0,100,,"ClusterBombExplosion",,,,"Gen_Trail_dust","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,
"ClusterBombProjectile2",2000,"sc/effects.sc","cactus_ulti_projectile","cactus_ulti_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,200,1,0,100,,"ClusterBombExplosion2",,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AutorifleProjectile",3800,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
