"Name","TID","Type","TypeCN","Disabled","ExistsApple","ExistsAndroid","ExistsCN","DisabledCN","ExistsAppleCN","ExistsAndroidCN","GeoSet","Diamonds","BonusPercentage","USD","Order","RMB","TencentID","IconExportName","FrameNumber","StarterPackNumber","XpLevelReq","ValueFactor","LabelTID","LabelValue","TagLabelTID","Bg","Decor","IsPromotion","Coins","RefundGemValue","PricingValueEqualGems","SCIDStore","PremiumPass","PremiumPlusPass","BundledTierCount","DiscountOf","BundledXP"
"com.supercell.laser.march2019pack","TID_IAP_REFRESHER_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,191,,499,9,,,,,,,4,,,,1,3,,1111,322,,,,"FALSE",,,
"com.supercell.laser.starterpack8","TID_STARTER_PACK_8",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,470,,999,0,,,,,8,125,4,,,,1,0,,2000,705,,,,"FALSE",,,
"com.supercell.laser.goldenweek","TID_IAP_GOLDENWEEK_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,330,,999,9,,,,,,,3,,,,4,4,,1500,506,,,,"FALSE",,,
"com.supercell.laser.retropolisgempack","TID_IAP_RETROPOLIS_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,250,,499,0,,,,,,,3,,,,4,5,,,250,,,,"FALSE",,,
"com.supercell.laser.retropoliscoins1","TID_IAP_RETROCOIN_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,0,,,,,,,3,,,,3,5,,2100,247,,,,"FALSE",,,
"com.supercell.laser.retropoliscoins2","TID_IAP_RETROCOIN_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,1,,,,,,,3,,,,3,5,,2100,247,,,,"FALSE",,,
"com.supercell.laser.retropoliscoins3","TID_IAP_RETROCOIN_PACK_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,2,,,,,,,3,,,,3,5,,2100,247,,,,"FALSE",,,
"com.supercell.laser.sprinkle0","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,80,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle1","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,1,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle2","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,80,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle3","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle4","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle5","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle6","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle7","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle8","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.sprinkle9","TID_PROMOCODE_PACK",4,,,"FALSE","TRUE","FALSE","TRUE",,,,0,,99,9,,,,,,,,,,,,,"TRUE",0,0,,,,"FALSE",,,
"com.supercell.laser.som1","TID_IAP_SOM_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,9,,,,,,,2,,,,3,4,,1700,200,,,,"FALSE",,,
"com.supercell.laser.som2","TID_IAP_SOM_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,999,9,,,,,,,2,,,,3,4,,4200,494,,,,"FALSE",,,
"com.supercell.laser.som3","TID_IAP_SOM_PACK_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,820,,1999,9,,,,,,,2,,,,1,4,,0,820,,,,"FALSE",,,
"com.supercell.laser.som4","TID_IAP_SOM_PACK_4",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,570,,999,9,,,,,,,4,,,,1,4,,2000,805,,,,"FALSE",,,
"com.supercell.laser.august1","TID_IAP_AUGUST_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,370,,999,9,,,,,,,3,,,,1,4,,2000,605,,,,"FALSE",,,
"com.supercell.laser.august2","TID_IAP_AUGUST_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,790,,1999,9,,,,,,,3,,,,1,4,,2000,1025,,,,"FALSE",,,
"com.supercell.laser.flash1","TID_IAP_FLASH_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,100,,499,9,,,,,,,,"TID_BEST_VALUE_EXTRA",25,,4,4,,0,100,,,,"FALSE",,,
"com.supercell.laser.flash2","TID_IAP_FLASH_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1100,,2999,9,,,,,,,4,,,,1,4,,8000,2041,,,,"FALSE",,,
"com.supercell.laser.moon191","TID_IAP_MOON_19_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,260,,999,9,,,,,,,3,,,,1,4,,2000,495,,,,"FALSE",,,
"com.supercell.laser.moon192","TID_IAP_MOON_19_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1250,,4999,9,,,,,,,,"TID_BEST_VALUE_EXTRA",30,,4,4,,0,1250,,,,"FALSE",,,
"com.supercell.laser.b2s191","TID_IAP_B2S_19_PACK_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,340,,999,9,,,,,,,3,,,,1,4,,1500,516,,,,"FALSE",,,
"com.supercell.laser.b2s192","TID_IAP_B2S_19_PACK_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,9,,,,,,,5,,,,3,4,,3500,412,,,,"FALSE",,,
"com.supercell.laser.b2s193","TID_IAP_B2S_19_PACK_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,45,,199,9,,,,,,,,"TID_BEST_VALUE_EXTRA",50,,4,4,,0,45,,,,"FALSE",,,
"com.supercell.laser.cw191","TID_IAP_CYBER_WEEK_19_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,80,,199,9,,,,,,,,"TID_BEST_VALUE_DISCOUNT",60,,1,4,,0,80,,,,"FALSE",,,
"com.supercell.laser.cw192","TID_IAP_CYBER_WEEK_19_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,9,,,,,,,3,,,,3,4,,2100,247,,,,"FALSE",,,
"com.supercell.laser.cw193","TID_IAP_CYBER_WEEK_19_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,190,,299,9,,,,,,,5,,,,1,4,,500,249,,,,"FALSE",,,
"com.supercell.laser.gstar2019","TID_IAP_GSTAR2019_FINALS",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1110,,4999,9,,,,,,,3,,,,6,4,,12000,2522,,,,"FALSE",,,
"com.supercell.laser.bow191","TID_IAP_BRAWLOWEEN_19_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,420,,999,9,,,,,,,4,,,,1,4,,2100,667,,,,"FALSE",,,
"com.supercell.laser.bow192","TID_IAP_BRAWLOWEEN_19_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,699,9,,,,,,,3,,,,3,4,,3000,353,,,,"FALSE",,,
"com.supercell.laser.bow193","TID_IAP_BRAWLOWEEN_19_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,380,,1499,9,,,,,,,,"TID_BEST_VALUE_DISCOUNT",25,,4,4,,0,380,,,,"FALSE",,,
"com.supercell.laser.arabic01","TID_IAP_ARABIC_19_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,110,,199,9,,,,,,,5,,,,1,4,,480,166,,,,"FALSE",,,
"com.supercell.laser.arabic02","TID_IAP_ARABIC_19_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,9,,,,,,,4,,,,3,4,,2800,329,,,,"FALSE",,,
"com.supercell.laser.xmas190","TID_IAP_XMAS_19_0",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,360,,999,9,,,,,,,3,,,,7,4,,1200,501,,,,"FALSE",,,
"com.supercell.laser.xmas191","TID_IAP_XMAS_19_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,80,,99,9,,,,,,,5,,,,7,4,,0,80,,,,"FALSE",,,
"com.supercell.laser.xmas192","TID_IAP_XMAS_19_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,340,,499,9,,,,,,,5,,,,7,4,,600,411,,,,"FALSE",,,
"com.supercell.laser.xmas193","TID_IAP_XMAS_19_3",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,510,,999,9,,,,,,,5,,,,7,4,,2700,828,,,,"FALSE",,,
"com.supercell.laser.xmas194","TID_IAP_XMAS_19_4",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,930,,1999,9,,,,,,,5,,,,7,4,,6000,1636,,,,"FALSE",,,
"com.supercell.laser.cp1119","TID_IAP_COINPACK_11_19",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,299,9,,,,,,,3,,,,3,4,,1250,147,,,,"FALSE",,,
"com.supercell.laser.xmas195","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,199,9,,,,,,,5,,,,7,4,,0,160,,,,"FALSE",,,
"com.supercell.laser.xmas196","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,470,,699,9,,,,,,,5,,,,7,4,,900,576,,,,"FALSE",,,
"com.supercell.laser.xmas197","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,640,,1299,9,,,,,,,5,,,,7,4,,3500,1052,,,,"FALSE",,,
"com.supercell.laser.xmas198","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1140,,2499,9,,,,,,,5,,,,7,4,,8000,2081,,,,"FALSE",,,
"com.supercell.laser.xmas199","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,299,9,,,,,,,5,,,,7,4,,700,242,,,,"FALSE",,,
"com.supercell.laser.xmas200","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,470,,799,9,,,,,,,5,,,,7,4,,1700,670,,,,"FALSE",,,
"com.supercell.laser.xmas201","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,640,,1499,9,,,,,,,5,,,,7,4,,5100,1240,,,,"FALSE",,,
"com.supercell.laser.xmas202","TID_IAP_XMAS_19_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1140,,2999,9,,,,,,,5,,,,7,4,,11500,2493,,,,"FALSE",,,
"com.supercell.laser.ny201","TID_IAP_NEW_YEAR_20",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,180,,499,9,,,,,,,3,,,,1,4,,600,251,,,,"FALSE",,,
"com.supercell.laser.cp0120","TID_IAP_COINPACK_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,99,9,,,,,,,4,,,,3,4,,550,65,,,,"FALSE",,,
"com.supercell.laser.cp0121","TID_IAP_COINPACK_GENERIC",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,199,9,,,,,,,3,,,,3,4,,1400,165,,,,"FALSE",,,
"com.supercell.laser.lny201","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,299,9,,,,,,,5,,,,8,4,,800,254,,,,"FALSE",,,
"com.supercell.laser.lny202","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,299,9,,,,,,,4,,,,8,4,,350,201,,,,"FALSE",,,
"com.supercell.laser.lny203","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,230,,499,9,,,,,,,4,,,,8,4,,900,336,,,,"FALSE",,,
"com.supercell.laser.lny204","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,460,,999,9,,,,,,,4,,,,8,4,,1700,660,,,,"FALSE",,,
"com.supercell.laser.lny205","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,900,,1999,9,,,,,,,4,,,,8,4,,3600,1324,,,,"FALSE",,,
"com.supercell.laser.lny206","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,240,,399,9,,,,,,,5,,,,8,4,,800,334,,,,"FALSE",,,
"com.supercell.laser.lny207","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,240,,499,9,,,,,,,4,,,,8,4,,800,334,,,,"FALSE",,,
"com.supercell.laser.lny208","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,520,,999,9,,,,,,,4,,,,8,4,,1200,661,,,,"FALSE",,,
"com.supercell.laser.lny209","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,750,,1499,9,,,,,,,4,,,,8,4,,2100,997,,,,"FALSE",,,
"com.supercell.laser.lny2010","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1300,,2999,9,,,,,,,4,,,,8,4,,6000,2006,,,,"FALSE",,,
"com.supercell.laser.lny2011","TID_IAP_LNY2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,130,,199,9,,,,,,,5,,,,8,4,,300,165,,,,"FALSE",,,
"com.supercell.laser.tgs201","TID_IAP_TGS2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,499,9,,,,,,,3,,,,1,4,,750,248,,,,"FALSE",,,
"com.supercell.laser.tgs202","TID_IAP_TGS2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,320,,999,9,,,,,,,3,,,,1,4,,1500,496,,,,"FALSE",,,
"com.supercell.laser.vd20","TID_IAP_VD2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,230,,499,9,,,,,,,3,,,,1,4,,300,265,,,,"FALSE",,,
"com.supercell.laser.mar20","TID_IAP_MAR2020",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,470,,999,9,,,,,,,3,,,,1,4,,200,494,,,,"FALSE",,,
"com.supercell.laser.brawlpass0","TID_SHOP_SPECIAL_OFFER",5,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,0,,,,,,,,,,,,,,,0,,,,"FALSE",,,
"com.supercell.laser.brawlpass1","TID_SHOP_SPECIAL_OFFER",5,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,499,0,,,,,,,,,,,,,,,0,,,,"FALSE",,,
"com.supercell.laser.0320gp","TID_SHOP_SPECIAL_OFFER",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,415,,1999,9,,,,,,,,"TID_BEST_VALUE_EXTRA",15,,4,4,,0,415,,,,"FALSE",,,
"com.supercell.laser.0320backup","TID_SHOP_SPECIAL_OFFER",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,270,,499,9,,,,,,,3,,,,1,4,,0,270,,,,"FALSE",,,
"com.supercell.laser.bundle099","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,99,0,,,,,,,,,,,,,,,,15,,,"FALSE",,,
"com.supercell.laser.bundle199","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,199,0,,,,,,,,,,,,,,,,30,,,"FALSE",,,
"com.supercell.laser.bundle299","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,299,0,,,,,,,,,,,,,,,,48,,,"FALSE",,,
"com.supercell.laser.bundle399","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,399,0,,,,,,,,,,,,,,,,64,,,"FALSE",,,
"com.supercell.laser.bundle499","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,499,0,,,,,,,,,,,,,,,,80,,,"FALSE",,,
"com.supercell.laser.bundle599","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,599,0,,,,,,,,,,,,,,,,102,,,"FALSE",,,
"com.supercell.laser.bundle699","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,699,0,,,,,,,,,,,,,,,,119,,,"FALSE",,,
"com.supercell.laser.bundle799","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,799,0,,,,,,,,,,,,,,,,136,,,"FALSE",,,
"com.supercell.laser.bundle899","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,899,0,,,,,,,,,,,,,,,,153,,,"FALSE",,,
"com.supercell.laser.bundle999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,999,0,,,,,,,,,,,,,,,,170,,,"FALSE",,,
"com.supercell.laser.bundle1099","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1099,0,,,,,,,,,,,,,,,,198,,,"FALSE",,,
"com.supercell.laser.bundle1199","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1199,0,,,,,,,,,,,,,,,,216,,,"FALSE",,,
"com.supercell.laser.bundle1299","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1299,0,,,,,,,,,,,,,,,,234,,,"FALSE",,,
"com.supercell.laser.bundle1399","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1399,0,,,,,,,,,,,,,,,,252,,,"FALSE",,,
"com.supercell.laser.bundle1499","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1499,0,,,,,,,,,,,,,,,,270,,,"FALSE",,,
"com.supercell.laser.bundle1599","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1599,0,,,,,,,,,,,,,,,,288,,,"FALSE",,,
"com.supercell.laser.bundle1699","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1699,0,,,,,,,,,,,,,,,,306,,,"FALSE",,,
"com.supercell.laser.bundle1799","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1799,0,,,,,,,,,,,,,,,,324,,,"FALSE",,,
"com.supercell.laser.bundle1899","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1899,0,,,,,,,,,,,,,,,,342,,,"FALSE",,,
"com.supercell.laser.bundle1999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,1999,0,,,,,,,,,,,,,,,,360,,,"FALSE",,,
"com.supercell.laser.bundle2999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,2999,0,,,,,,,,,,,,,,,,570,,,"FALSE",,,
"com.supercell.laser.bundle3999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,3999,0,,,,,,,,,,,,,,,,760,,,"FALSE",,,
"com.supercell.laser.bundle4999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,4999,0,,,,,,,,,,,,,,,,950,,,"FALSE",,,
"com.supercell.laser.bundle9999","TID_IAP_BUNDLE_OFFER",6,,,"TRUE","TRUE","FALSE","TRUE",,,,0,,9999,0,,,,,,,,,,,,,,,,2000,,,"FALSE",,,
"com.supercell.laser.psg1","TID_IAP_PSG_WEEKEND",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,240,,499,0,,,,,,,4,,,,1,4,,700,322,,,,"FALSE",,,
"com.supercell.laser.psg2","TID_IAP_PSG_WEEKEND",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,490,,999,0,,,,,,,4,,,,1,4,,1700,690,,,,"FALSE",,,
"com.supercell.laser.04200","TID_IAP_APRIL20_0",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,499,0,,,,,,,3,,,,1,4,,700,242,,,,"FALSE",,,
"com.supercell.laser.gw200","TID_IAP_GOLDENWEEK20",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,320,,499,0,,,,,,,5,,,,1,4,,700,402,,,,"FALSE",,,
"com.supercell.laser.gw201","TID_IAP_GOLDENWEEK20",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,570,,999,0,,,,,,,5,,,,1,4,,2400,852,,,,"FALSE",,,
"com.supercell.laser.gw202","TID_IAP_GOLDENWEEK20",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,1740,,2999,0,,,,,,,5,,,,1,4,,8200,2705,,,,"FALSE",,,
"com.supercell.laser.04201","TID_IAP_APRIL20_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,80,,199,0,,,,,,,4,,,,1,4,,350,121,,,,"FALSE",,,
"com.supercell.laser.04202","TID_IAP_APRIL20_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,0,,299,0,,,,,,,4,,,,3,4,,1100,129,,,,"FALSE",,,
"com.supercell.laser.sc101","TID_IAP_SC10_1",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,200,,499,0,,,,,,,4,,,,1,4,,1100,329,,,,"FALSE",,,
"com.supercell.laser.sc102","TID_IAP_SC10_2",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,400,,999,0,,,,,,,4,,,,1,4,,2400,682,,,,"FALSE",,,
"com.supercell.laser.0620","TID_IAP_0620",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,499,0,,,,,,,3,,,,1,4,,700,242,,,,"FALSE",,,
"com.supercell.laser.0720","TID_IAP_0720",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,160,,499,0,,,,,,,3,,,,1,4,,700,242,,,,"FALSE",,,
