"Name","Loop","FollowParent","OwnScreenShake","OthersScreenShake","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","EffectZ"
,,,,,,,"SWF","sc/effects.sc","ExplosionGroundGlowBlue",,,"Ground",,60,,,,,,
,,,,,130,,"SWF","sc/effects.sc","ElectricLightning",,,"Object",,60,,,,,,
,,,,,,,"SWF","sc/effects.sc","ElectricGlowBall",,,"Object",,60,,,,,,
,,,,,200,,"ScreenFlash",,,,,"Ground",-1258291201,60,,,,,,
"Health_fx","true","true",,,,,"ParticleEmitter",,,"health_fx_particles",,"Object",,,,,,,,
"testfx1",,,,,,,"ParticleEmitter","sc/effects.sc",,"Dust_emitter",,"Object",,,,,,,,
"testfx2","true","true",,,,"Sound_poison_bomb","ParticleEmitter","sc/effects.sc",,"Toxic_emitter",,"Object",,,,,,,,
"heal_area_fx","true","true",,,,"Sound_Heal","ParticleEmitter","sc/effects.sc",,"heal_area_particles",,"Ground",,,,,,,,
"Collect_plasmoid",,"true",,,,"Orb_get","ParticleEmitter",,,"Point_collect_emitter",,"Object",,,,,,,,
,,,,,,,"SWF","sc/effects.sc","collect_glow1",,,"Ground",,75,,,,,,
"Ring_Trail","true","true",,,,,"ParticleEmitter",,,"Ring_trail_emitter",,"Above",,100,,,,,,
"Healing",,"true",,,,,"ParticleEmitter",,,"Health_collect_emitter",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"heal_particle",,"Above",,,,,,,,
"HealingBig",,"true",,,,"Sound_Heal","ParticleEmitter",,,"Health_collect_emitter",,"Object",,,,,,,,
,,,,,,,,,,"heal_particle",,"Above",,,,,,,,
"poison_fog",,,,,,,"ParticleEmitter",,,"poison_fog_emitter",,"Above",,,,,,,,
"poison_skull",,,,,,,"ParticleEmitter",,,"poison_fog_skull_particle",,"Above",,,,,,,,
"gen_troop_death",,,,,,,"ParticleEmitter",,,"ground_explosion",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"ground_splat_emitter",,"Ground",,,,,,,,
,,,,,,,"ParticleEmitter",,,"ground_splat_small",,"Ground",,,,,,,,
,,,,,,,"ParticleEmitter",,,"splats_flying",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Death_Dust_emitter",,"Object",,,,,,,,
,,,,,,,"SWF","sc/effects.sc",,,,"Object",,50,,,,,,
"Gen_small_explosion",,,200,150,,"Sound_Gen_small_explosion","ParticleEmitter",,,"Small_Dust_emitter",,"Object",,70,,,,,,
,,,,,,,"ParticleEmitter",,,"Small_explosion_streaks_emitter",,"Object",,70,,,,,,
,,,,,,,"SWF","sc/effects.sc","gen_explosion_ring2",,,"Object",,70,,,,,,
,,,,,,,"ParticleEmitter",,,"Gen_Small_Debris_emitter",,"Above",,70,,,,,,
"Gen_small_explosion_2",,,200,150,,"Sound_Gen_small_explosion","ParticleEmitter",,,"Small_Dust_emitter",,"Object",,70,,,,,,
,,,,,,,"ParticleEmitter",,,"Small_explosion_streaks_emitter",,"Object",,70,,,,,,
,,,,,,,"ParticleEmitter",,,"ground_explosion",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"sparks",,"Above",,70,,,,,,
,,,,,,,"ParticleEmitter",,,"Gen_Small_Debris_emitter",,"Above",,70,,,,,,
"bandit_reload",,"true",,,,"bandit_reload","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"laser_attack",,,,,,"LaserShot01","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"laser_muzzle_emitter",,"Object",,100,,,,,,
"tgrenade_attack",,,,,,"Timedgrenade","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"laser_muzzle_emitter",,"Object",,100,,,,,,
"grenade_attack",,,,,,"Sound_Grenade","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Spawn_plasmoid",,"true",,,,"Orb_spawn","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"sniper_hit","true","true",100,50,,,"SWF","sc/effects.sc","sniper_hit",,,"Above",,50,,,,,,
"Mariachi_hit_red","true","true",,,,,"SWF","sc/effects.sc","sound_hit_red",,,"Above",,50,,,,,,
"Mariachi_hit","true","true",,,,,"SWF","sc/effects.sc","sound_hit",,,"Above",,50,,,,"Mariachi_hit_red",,
"Mariachi_soundwaves_trail","true","true",,,,,"ParticleEmitter",,,"soundwave_trail_dust",,"Object",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"music_note_particle",,"Object",,,,,,,,
"nuts_bolts_metal_small","true","true",,,,,"ParticleEmitter",,,"Nuts_and_bolts_particle",,"Ground",,50,,,,,,
,,,,,,,"Effect",,,,"Gen_hit","Object",,100,,,,,,
"nuts_bolts_metal_explosion","true","true",,,,,"ParticleEmitter",,,"Nuts_and_bolts_particle_big",,"Object",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"Gen_dark_smoke",,"Object",,,,,,,,
,,,,,,,"Effect",,,,"Gen_small_explosion_2","Object",,,,,,,,
"Mariachi_ulti_trail","true","true",,,,,"ParticleEmitter",,,"soundwave_trail_heal_ulti_flowers",,"Object",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"soundwave_trail_heal_ulti",,"Object",,120,,,,,,
,,,,,,,"ParticleEmitter",,,,,"Above",,500,,,,,,
,,,,,,,"ParticleEmitter",,,"heal_particle",,"Above",,500,,,,,,
"safe_explosion","true","true",,,,,"ParticleEmitter",,,"Gems_flying",,"Above",,50,,,,,,
,,,,,,,"Effect",,,,"Gen_Explosion","Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks_big",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks",,"Object",,,,,,,,
"Shaman_trail","true","true",,,,,"ParticleEmitter",,,"Hammer_trail_particle",,"Ground",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"magic_native_particle",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks_big",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_dust",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"magic_native_particle",,"Above",,,,,,,,
"Hammer_trail","true","true",,,,,"ParticleEmitter",,,"Hammer_trail_particle",,"Ground",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks_big",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_rocks",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_trail_dust",,"Above",,,,,,,,
"Purple_Trail","true","true",,,,,"ParticleEmitter",,,"purple_trail_particle",,"Above",,50,,,,,,
"Gen_dust_puff","true",,,,,,"ParticleEmitter",,,"dust_puff",,"Ground",,100,,,,,,
"Gen_move_fx","true",,,,,,"ParticleEmitter",,,"walking_smoke",,"Ground",,100,,,,,,
"Melee_alien_atk",,,,,,"Alien_melee_atk","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Gen_alien_move_fx","true",,,,,,"SWF","sc/effects.sc","gen_move_fx",,,"Ground",,100,,,,,,
"Tap_direction",,"true",,,,"Tap_direction","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Blink_red",,,,,,"Sound_Blink","SWF","sc/effects.sc","teleport_light1_fx_red",,,"Above",,60,,,,,,
,,,,,200,,"ParticleEmitter",,,"Teleport_light_particles",,"Above",,,,,,,,
"Blink",,,,,,"Sound_Blink","SWF","sc/effects.sc","teleport_light1_fx",,,"Above",,60,,,,"Blink_red",,
,,,,,200,,"ParticleEmitter",,,"Teleport_light_particles",,"Above",,,,,,,,
"Immunity_red",,"true",,,,"Sound_Armor","SWF","sc/effects.sc","shield_fx_red",,,"Above",,100,,,,,,
,,,,,,,"SWF","sc/effects.sc","shield_fx_back_red",,,"Ground",,,,,,,,
"Immunity",,"true",,,,"Sound_Armor","SWF","sc/effects.sc","shield_fx",,,"Above",,100,,,,"Immunity_red",,
"poison_trail_old","true","true",,,,,"ParticleEmitter",,,"poison_trail_particle",,"Object",,75,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_trail_particle",,"Object",,33,,,,,,
"Chop_atk",,,,,,"Metal_swipe","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Hazzard_atk",,,,,,"Hazzard_atk","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Deadeye_atk",,,,,,"Sound_Deadeye_atk","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Gen_Grenade","true","true",,,,"Sound_Grenade","ParticleEmitter",,,"gen_trail_particle",,"Above",,50,,,,,,
"UltiReady",,"true",,,,"Ulti_ready","ParticleEmitter",,,"Point_collect_emitter",,"Object",,,,,,,,
"UltiGain",,"true",,,,"Ulti_gain","ParticleEmitter",,,"Point_collect_emitter",,"Object",,,,,,,,
"Grass_wind_fx",,,,,,,"ParticleEmitter",,,"Grass_wind",,"Object",,100,,,,,,
"Box_hit_fx",,,,,,"Bullet_rico_wood","ParticleEmitter",,,"splinters_small",,"Ground",,100,,,,,,
"mine_Grass_hit_fx",,,,,,"Bullet_rico_grass","ParticleEmitter",,,"Grass_hit_mine",,"Object",,100,,,,,,
"Grass_hit_fx_yellow",,,,,,"Bullet_rico_grass","ParticleEmitter",,,"Grass_hit_yellow",,"Object",,100,,,,,,
"Grass_hit_fx",,,,,,"Bullet_rico_grass","ParticleEmitter",,,"Grass_hit",,"Object",,100,,,,,,
"mine_Grass_explo_fx",,,,,,,"ParticleEmitter",,,"Explo_dust",,"Object",,120,,,,,,
,,,,,,,"ParticleEmitter",,,"Grass_hit_big_mine",,"Object",,,,,,,,
"Grass_explo_fx_yellow",,,,,,,"ParticleEmitter",,,"Explo_dust",,"Object",,120,,,,,,
,,,,,,,"ParticleEmitter",,,"Grass_hit_big_yellow",,"Object",,,,,,,,
"Grass_explo_fx",,,,,,,"ParticleEmitter",,,"Explo_dust",,"Object",,120,,,,,,
,,,,,,,"ParticleEmitter",,,"Grass_hit_big",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"leaves_on_ground",,"Object",,100,,,,,,
"mine_Rock_hit_fx",,,,,,"Bullet_rico_rock","ParticleEmitter",,,"Rock_hit_debris1_mine",,"Object",,133,,,,,,
"mine_blocking2_hit",,,,,,,"Effect",,,,"mine_Rock_hit_fx","Object",,133,,,,,,
"blocking2_hit",,,,,,,"Effect",,,,"Rock_hit_fx","Object",,133,,,,,,
"Rock_hit_fx",,,,,,"Bullet_rico_rock","ParticleEmitter",,,"Rock_hit_debris1",,"Object",,133,,,,,,
"mine_blocking2_explosion",,,,,,,"Effect",,,,"mine_Rock_explo_fx","Object",,100,,,,,,
"blocking2_explosion",,,,,,,"Effect",,,,"Gen_wood_explosion","Object",,100,,,,,,
"Gen_wood_explosion",,,,,,,"ParticleEmitter",,,"splinters",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"planks",,"Ground",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"planks_fly",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"fire_after_explosion",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Explo_dust",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"ground_explosion_small",,"Object",,,,,,,,
"oasis_Gen_wood_explosion",,,300,300,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris1_mine",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris2_mine",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Explo_dust",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"ground_explosion_small",,"Ground",,50,,,,,,
"mine_Rock_explo_fx",,,300,300,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris1_mine",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris2_mine",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Explo_dust",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"ground_explosion_small",,"Ground",,50,,,,,,
"oasis_fragile_explo_debris",,,,,,,"ParticleEmitter","sc/effects.sc",,"fragile_explo_debris_oasis",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Explo_dust",,"Above",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"ground_explosion_small",,"Ground",,50,,,,,,
"fragile_explo_debris",,,,,,,"ParticleEmitter","sc/effects.sc",,"fragile_explo_debris",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Explo_dust",,"Above",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"ground_explosion_small",,"Ground",,50,,,,,,
"Rock_explo_fx",,,300,300,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris1",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Rock_explo_debris2",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"Explo_dust",,"Above",,100,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc",,"ground_explosion_small",,"Ground",,50,,,,,,
"StartCharge",,"true",,,,"Rhinofire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"StartBuildTurretUlti",,"true",,,,"Robocon","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Bullet_bounce_enemy",,,,,,,"ParticleEmitter",,,"gen_bouncefx_dot_emitter",,"Object",,,,,,,,
"Bullet_bounce",,,,,,,"ParticleEmitter",,,"gen_bouncefx_dot_blue_emitter",,"Object",,,,,,"Bullet_bounce_enemy",,
"lucha_smoke_Trail","true","true",,,,,"ParticleEmitter",,,"lucha_smoke_emitter",,"Object",,75,,,,,,
"Smoke_Trail","true","true",,,,,"ParticleEmitter",,,"shotgun_trail_smoke_emitter",,"Object",,75,,,,,,
"Rocket_Trail","true","true",,,,,"ParticleEmitter",,,"rocket_trail_smoke_emitter",,"Above",,75,,,,,,
,,,,,,,"ParticleEmitter",,,"rocket_spark_emitter",,"Above",,75,,,,,,
"SpawnTurret",,"true",,,,"Roboturret","ParticleEmitter","sc/effects.sc",,"Gen_dust_emitter",,"Object",,100,,,,,,
"gunslinger_attack",,,100,,,"gunslinger_fire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell",,"Ground",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash_smaller",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter_smaller",,"Object",,100,,,,,,
"gunslinger_attack_ulti",,,200,,,"gunslinger_fire_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell",,"Ground",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash_smaller",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter_smaller",,"Object",,100,,,,,,
"shotgun_girl_attack",,,200,,,"Shotgun","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell_shotgun",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Object",,100,,,,,,
"shotgun_girl_attack_ulti",,,450,150,,"Utilshotgun","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Object",,100,,,,,,
"No_ammo_shotgungirl",,"true",,,,"No_ammo_shotgungirl","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Dry_fire_shotgungirl",,"true",,,,"Dry_fire_shotgungirl","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"dry_fire_bowdude",,"true",,,,"Bow_dryfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"dry_fire_mechanic",,"true",,,,"Jess_dryfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"crow_dryfire",,"true",,,,"crow_dryfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"Brock_dryfire",,"true",,,,"Brock_dryfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"dry_fire_barkeep",,"true",,,,"Barkeep_dryfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"bull_dude_attack",,,200,,,"Rhinofire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell_shotgun",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Object",,100,,,,,,
"tnt_attack",,,,,,"tnt_attack","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"tnt_attack_ulti",,,,,,"tnt_attack_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"rocket_girl_attack_ulti",,,200,,,"Robotfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Object",,100,,,,,,
"rocket_girl_attack",,,200,,,"Robotfire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Object",,100,,,,,,
"trickshot_dude_attack",,,100,,,"Trickshot_fire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell",,"Ground",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash_smaller",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter_smaller",,"Object",,100,,,,,,
"trickshot_dude_attack_ulti",,,200,,,"Trickshot_fire_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shell",,"Ground",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"muzzle_flash_smaller",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Object",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter_smaller",,"Object",,100,,,,,,
"cactus_attack",,,,,,"spike_atk","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"cactus_attack_ulti",,,,,,"tnt_attack_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"bow_dude_attack",,,,,,"Bow_fire","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"bow_dude_ulti",,,,,,"tnt_attack_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"barkeep_attack",,,,,,"Barkeep_atk","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"barkeep_attack_ulti",,,,,,"Barkeep_ulti_throw","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"luchador_attack_red",,,,,,"Lucha_punch","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"luchador_attack",,,,,,"Lucha_punch","SWF","sc/effects.sc",,,,"Object",,100,,,,"luchador_attack_red",,
"hammer_ulti_explosion",,,450,150,,"Sound_Gen_small_explosion","ParticleEmitter",,,"Small_Dust_emitter",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Small_explosion_streaks_emitter",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_ulti_rocks",,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Hammer_ulti_cracks",,"Ground",,,,,,,,
,,,,,,,"SWF","sc/effects.sc","gen_explosion_ring2",,,"Object",,,,,,,,
,,,,,,,"ParticleEmitter",,,"Gen_Small_Debris_emitter",,"Above",,,,,,,,
"mechanic_attack_red",,,200,,,"Jess_shoot","SWF","sc/effects.sc","electricity_attack_red",,,"Object",,30,,,,,,
"mechanic_attack",,,200,,,"Jess_shoot","SWF","sc/effects.sc","electricity_attack",,,"Object",,100,,,,"mechanic_attack_red",,
,,,,,,,"ParticleEmitter",,,"spark_fx_emitter",,"Object",,,,,,,,
"mechanic_ulti",,,,,,"Jess_throw","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"shaman_attack",,,200,,,"Earth_atk","Effect",,,,"mechanic_attack","Ground",,,,,,,,
"shaman_ulti",,,,,,"Nita_ulti_throw","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"bear_attack",,,,,,"tnt_attack","Effect",,,,"undertaker_attack","Object",,100,,,,,,
"undertaker_attack",,"true",,,,"Mortis_atk","SWF","sc/effects.sc","slash_gen",,,"Object",,100,,,,,,
"undertaker_attack_ulti",,,,,,"Mortis_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"crow_attack",,,,,,"Crow_throw","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"crow_ulti",,"true",,,,"tnt_attack_ulti","SWF","sc/effects.sc",,,,"Object",,100,,,,,,
"dead_mariachi_attack_red",,,,,,"Poco_atk","SWF","sc/effects.sc","sound_attack_red",,,"Object",,200,,,,,,100
"dead_mariachi_attack",,,,,,"Poco_atk","SWF","sc/effects.sc","sound_attack",,,"Object",,200,,,,"dead_mariachi_attack_red",,100
"dead_mariachi_attack_ulti_red",,,,,,"Poco_ulti","SWF","sc/effects.sc","sound_attack_ulti_red",,,"Object",,100,,,,,,
