"TID","EN"
"TID_MECHANIC_ULTI","Scrappy!"
"TID_MECHANIC_ULTI_DESC","Jessie cobbles together a gun turret out of random scrap. She's a genius!"
"TID_SHAMAN","Nita"
"TID_SHAMAN_DESC","Nita Littlefoot is the latest in a long line of Tribal shamans. Her spirit animal is the Big Baby Bear."
"TID_SHAMAN_WEAPON","Rupture"
"TID_SHAMAN_WEAPON_DESC","Nita sends forth a shockwave, rupturing the ground and damaging enemies caught in the tremor."
"TID_SHAMAN_ULTI","Overbearing"
"TID_SHAMAN_ULTI_DESC","Nita calls the spirit of Big Baby Bear to manifest and maul her enemies."
"TID_UNDERTAKER","Mortis"
"TID_UNDERTAKER_DESC","Mortis the undertaker puts people in coffins. Despite his spindly frame and apparent years, he moves with surprising speed."
"TID_UNDERTAKER_WEAPON","Shovel Swing"
"TID_UNDERTAKER_WEAPON_DESC","Mortis creates business opportunities for himself by dashing forward with a sharp swing of his shovel."
"TID_UNDERTAKER_ULTI","Life Blood"
"TID_UNDERTAKER_ULTI_DESC","Mortis calls forth a swarm of vampire bats that drain the health of his enemies while restoring his. Creepy!"
"TID_CROW","Crow"
"TID_CROW_DESC","This enigmatic creature just appeared in town one day. Nobody dares to ruffle his feathers – not anymore."
"TID_CROW_WEAPON","Knife Toss"
"TID_CROW_WEAPON_DESC","Crow throws a triple threat of poisoned daggers. Enemies nicked by these blades will take damage over time."
"TID_CROW_ULTI","Swoop"
"TID_CROW_ULTI_DESC","Crow takes to the skies, throwing a ring of poisoned daggers around him both on take-off and landing."
"TID_DEAD_MARIACHI","Poco"
"TID_DEAD_MARIACHI_DESC","After losing his fans to a rival band, Poco fills every waking moment trying to find the perfect riff to win it all back."
"TID_DEAD_MARIACHI_WEAPON","Power Chord"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco strums his guitarrón, sending forward bone-jarring sound waves. Enemies hit by the waves take damage."
"TID_DEAD_MARIACHI_ULTI","Encore"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco plays an uplifting melody that heals himself and any teammates within range. Encore!"
"TID_BOW_DUDE","Bo"
"TID_BOW_DUDE_DESC","Bo the Eagle Hunter is the greatest bowman the Tribes have ever known. His arrows are simply explosive!"
"TID_BOW_DUDE_WEAPON","Eagle-eyed"
"TID_BOW_DUDE_WEAPON_DESC","Bo releases a trio of exploding arrows, tearing up enemies like an eagle's talons."
"TID_BOW_DUDE_ULTI","Catch a Fox"
"TID_BOW_DUDE_ULTI_DESC","Bo hides explosive traps on the ground. Enemies stepping on them get blown up and away!"
"TID_SNIPER","Piper"
"TID_SNIPER_DESC","Piper de la Prim is always the Belle of the Brawl. All class to begin with, she was also top of her class in sharpshooting."
"TID_SNIPER_WEAPON","Gunbrella"
"TID_SNIPER_WEAPON_DESC","Piper fires a sniper shot from the tip of her parasol. The shot gains more oompf the farther it flies!"
"TID_SNIPER_ULTI","Poppin'"
"TID_SNIPER_ULTI_DESC","Piper hops away to avoid pushy suitors. She leaves them a lady's favor though: three live grenades from her garter!"
"TID_MINIGUN_DUDE","Minigunner"
"TID_MINIGUN_DUDE_DESC","There's nothing mini about this gunner! Handy with his massive machine gun, the Minigunner can mow down almost any number of bad guys. (Movement speed slow, immune to pushback)"
"TID_MINIGUN_DUDE_WEAPON","Minigun"
"TID_MINIGUN_DUDE_WEAPON_DESC","The Minigunner makes wielding this massive machine gun easy. He can even walk while firing it full auto!"
"TID_MINIGUN_DUDE_ULTI","Bandage Dispenser"
"TID_MINIGUN_DUDE_ULTI_DESC","Sometimes you get scratches and flesh wounds in a high-intensity firefight. The Bandage Dispenser helps keep your whole team in fighting shape!"
"TID_TURRET_DAMAGE","Damage"
"TID_TURRET_HEALTH","Health"
"TID_STAT_DAMAGE_PER_SECOND","Damage per second"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Damage per second"
"TID_STAT_DAMAGE_PER_STRIKE","Damage per punch"
"TID_ROBOT","Deputy Irons"
"TID_ROBOT_DESC","Built to serve. Deputized to destroy."
"TID_ROBOT_WEAPON","Rocket Snipe"
"TID_ROBOT_WEAPON_DESC","Deputy Irons shoots an explosive rocket at extreme ranges with mechanical precision."
"TID_ROBOT_ULTI","Crowd Control"
"TID_ROBOT_ULTI_DESC","When extreme measures are called for, Deputy Irons can rain down a barrage of rockets on the unruly crowd."
"TID_ARMOR_STAT","Health"
"TID_HEALTH","Health"
"TID_STAT_GRENADE_DAMAGE","Damage per grenade"
"TID_STAT_MISSILE_DAMAGE","Damage per rocket"
"TID_STAT_HEALTH","Hit points"
"TID_STAT_SPEED","Speed"
"TID_STAT_DAMAGE","Damage"
"TID_STAT_DAMAGE_PER_SHOT","Damage per bullet"
"TID_STAT_DAMAGE_PER_SHELL","Damage per shell"
"TID_STAT_HAMMER_DAMAGE","Damage every 0.2 sec"
"TID_BATTLE","Brawl"
"TID_QUIT","Quit"
"TID_MATCHMAKING_QUIT","Quit"
"TID_MATCHMAKING_HEADING","Searching for players"
"TID_MATCHMAKING_TIME_LABEL","Game starts in:"
"TID_MATCHMAKING_PLAYERS","Players found <x>/<y>"
"TID_BUTTON_CANCEL","Cancel"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Welcome to Brawl Stars!"
"TID_ENTER_NAME_BODY","What's your name?"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","min"
"TID_TIME_SECS","sec"
"TID_MATCHMAKING_TIME","Time to start <TIME>"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reload game"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Connection error"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed"
"TID_ERROR_POP_UP_LOGIN_FAILED","Please try again later."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Anyone there?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Click the button below to reload the game."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update is available!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Good news! A new version of Brawl Stars is available."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance break"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, the servers are under maintenance. Please try again later."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Try again"
"TID_ERROR_POP_UP_BANNED_TITLE","You have been banned!"
"TID_ERROR_POP_UP_BANNED","You have been banned temporarily"
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contact Support"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","More Info"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Important Notice"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","Okay"
"TID_SERVER_ERROR_TITLE","Server error <number>"
"TID_SERVER_ERROR","You were disconnected during combat."
"TID_SERVER_ERROR_BUTTON","Okay"
"TID_COME_BACK_NOTIFICATION_SMALL","How about another Brawl?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","How about another Brawl?"
"TID_COME_BACK_NOTIFICATION_LARGE","How about another Brawl?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost"
"TID_ERROR_POP_UP_CONNECTION_LOST","Please try logging in again!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Retry login"
"TID_TROPHIES","Trophies"
"TID_PRACTICE","Bot Brawl"
"TID_READY","Ready"
"TID_BATTLE_END_TITLE_VICTORY","Victory!"
"TID_BATTLE_END_TITLE_DEFEAT","Enemy team wins"
"TID_BATTLE_END_TITLE_DRAW","Draw"
"TID_BATTLE_END_DEATHMATCH_VICTORY","You are #1!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Rank: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Game ended in a draw because both teams collected the same amount of crystals!"
"TID_BATTLE_END_RETURN_HOME","Return home"
"TID_BATTLE_END_NEXT","Next"
"TID_BATTLE_END_TAP","tap to proceed"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","No trophies from matches against Bots"
"TID_BATTLE_END_XP_CAPPED","All event experience collected"
"TID_RESPAWNING","New life in:\n<n1>"
"TID_TEAM_JOIN_ROOM_CODE","Input room code here"
"TID_TEAM_JOIN_TITLE","Join Game Room"
"TID_TEAM_JOIN_INFO","Input the code you have received from your friend to join this room."
"TID_TEAM_JOIN_OK","Join"
"TID_TEAM_MEMBER_LEFT_0","You left the room."
"TID_TEAM_MEMBER_LEFT_1","You were kicked from room."
"TID_TEAM_MEMBER_LEFT_2","Room has been discarded because day has changed."
"TID_TEAM_GAME_STARTING","Game starting"
"TID_TEAM_ERROR_1","Room server error"
"TID_TEAM_ERROR_2","Cannot join room. Room is full."
"TID_TEAM_ERROR_3","Cannot join room. Room has already been disbanded."
"TID_TEAM_ERROR_4","Cannot join room. You haven't unlocked any of the required Brawlers."
"TID_TEAM_ERROR_5","Invalid room code. Please check that the code is correct."
"TID_TEAM_ERROR_6","Cannot find a room with the given code."
"TID_TEAM_ERROR_7","Cannot join room. You cannot rejoin a room you have been kicked out of."
"TID_TEAM_ERROR_8","Check side settings. No side can have more than 3 players."
"TID_TEAM_ERROR_9","Cannot join room. You haven't unlocked any of the required Brawlers."
"TID_TEAM_ERROR_10","Cannot create room. You are already in a room."
"TID_TEAM_ERROR_11","Cannot create room. Event has expired."
"TID_TEAM_ERROR_12","Cannot join room. Room has expired."
"TID_TEAM_ERROR_14","Cannot create room. This event does not support team play."
"TID_TEAM_ERROR_15","Cannot join room. This room is not in your region."
"TID_TEAM_ERROR_16","Cannot join room. You have not unlocked this room's event."
"TID_TEAM_ERROR_17","Cannot start game. Duplicate Brawlers are not allowed."
"TID_TEAM_ERROR_18","Cannot start game. Game is going down for maintenance."
"TID_TEAM_SEARCH_INVALID_CODE","Invalid room code. Please check that the code is correct."
"TID_TEAM_LEAVE","Leave"
"TID_TEAM_JOIN","Join"
"TID_TEAM_READY_BUTTON_LABEL","I'm ready"
"TID_TEAM_CANCEL_READY","Cancel"
"TID_TEAM_QUIT","Quit"
"TID_TEAM_TEAMCODE","Room code"
"TID_TEAM_TEAMCODE_DESC","Your friends can access the room using this code"
"TID_TEAM_WAITING_FOR_PLAYER","Invite with room code"
"TID_TEAM_NO_PLAYER","empty"
"TID_TEAMCREATE_EVENT","Location"
"TID_TEAM_KICK","Kick"
"TID_TEAM_TOGGLE_TEAM","Toggle side"
"TID_TEAM_SIDE_LABEL","Side</c>"
"TID_TEAM_SIDE_2","<c999999>Random</c>"
"TID_TEAM_SIDE_0","<cffd700>A</c>"
"TID_TEAM_SIDE_1","<c00ffff>B</c>"
"TID_TEAM_PRACTISE_BUTTON_LABEL","Practice against bots"
"TID_BONUS_REWARD","Bonus Reward for 3 victories:"
"TID_BONUS_REWARD_COLLECTED","Bonus Reward claimed"
"TID_INFO_SERVER_ERROR_TITLE","Server error"
"TID_INFO_SERVER_ERROR_BUTTON","Reload game"
"TID_RARITY_NAME_0",
"TID_RARITY_NAME_1","Rare"
"TID_RARITY_NAME_2","Epic"
"TID_RARITY_NAME_3","Legendary"
"TID_RARITY_COLOR_0","fdffe9"
"TID_RARITY_COLOR_1","79b5ff"
"TID_RARITY_COLOR_2","ff81ff"
"TID_RARITY_COLOR_3","ffe38f"
"TID_NAME_FAILED_TOO_SHORT","Name too short!"
"TID_NAME_FAILED_PROFANITIES","Name not accepted!"
"TID_NAME_FAILED","Name not accepted!"
"TID_EVENT_STARTED","<LOCATION> is now open! New rewards available!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Players vs Players</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Players vs Bots</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Play solo with Bots</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Players vs Players</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Play solo with Bots</c>"
"TID_NAVI_1","Shop"
"TID_NAVI_2","News"
"TID_NAVI_3","Brawl"
"TID_NAVI_4","Brawlers"
"TID_NAVI_57","Social"
"TID_BATTLE_MAIN_NEXT_REWARD","Next reward: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_NEXT_PLANET","New location in: <TIME>"
"TID_BATTLE_MAIN_COLLECTED_COINS","<VALUE> collected"
"TID_GATCHA_ERROR_NOT_ENOUGH_GOLD","Not enough Coins, Brawl to get more!"
"TID_GATCHA_INFO","<c0000ff>Brawl Boxes</c>\n\nOpen Brawl Boxes to find Brawlers or Elixir.\n\nFinding duplicate Brawlers will pay out in Chips."
"TID_HERO_INFO_ARMOR","Health"
"TID_HERO_INFO_ABILITY","Attack"
"TID_HERO_INFO_ULTI","Super"
"TID_HERO_INFO_BACK","BACK"
"TID_HERO_INFO_UPGRADE","UPGRADE"
"TID_HERO_INFO_ABILITY_LEVEL","LVL <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Buy Brawler"
"TID_MATCHMAKE_FAILED_5","Matchmake failed: event has expired"
"TID_MATCHMAKE_FAILED_7","Matchmake failed: room member was disconnected"
"TID_MATCHMAKE_FAILED_9","Matchmake failed: maintanance is starting"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","Blue team will win in:"
"TID_ENEMY_TEAM_WINNING","Red team will win in:"
"TID_OWN_TEAM","Blue team"
"TID_ENEMY_TEAM","Red team"
"TID_COUNTDOWN","COUNTDOWN"
"TID_HERO_LIST_UNLOCKED","Unlocked: <COUNT>/<TOTAL>"
"TID_HERO_LIST_LABEL","Brawlers"
"TID_HERO_LIST_DO_GATCHA","Open\nBrawl Box"
"TID_HERO_LOCKED_CANNOT_VIEW","Tap the roll button to unlock new Brawlers"
"TID_DAILY_COINS_COLLECTED","All Coins collected"
"TID_TEAM_BATTLE","Create game room"
"TID_TEAM_UNREADY","not ready"
"TID_TEAM_WAITING_WHILE_READY","You're ready!\nWaiting for others."
"TID_GATCHA_SCREEN_NEW_HERO","New <NAME> Brawler"
"TID_GATCHA_SCREEN_EXISTING_HERO","Duplicate <NAME>"
"TID_GATCHA_SCREEN_UPGRADIUM_DROP_HEADER","Elixir"
"TID_UPGRADIUM_GATCHA_DESC","You’ve received Elixir! \n\nUse Elixir to upgrade your Brawlers."
"TID_DUST_GATCHA_DESC","You’ve received Chips! \n\nUse Chips to buy new Brawlers!"
"TID_GATCHA_SCREEN_OK","Cool!"
"TID_GATCHA_SCREEN_TAP","Tap! Tap!"
"TID_NAVI_BLOCKED_1","You can't change page while ready!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> is waiting for others to get ready"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> is not yet ready for the game"
"TID_TEAM_MEMBER_INFO_SELF_READY","Cannot change Brawler while ready!"
"TID_TEAM_NO_MEMBER_INFO","Share the room code manually. Your friends can use it to join this game room"
"TID_TEAM_INFO_TEAM_CODE","This code can be used to reference this room. Share it with your friends, and they will be able to join this room by entering the code into the room search."
"TID_FREEZER","Freezer"
"TID_GAME_OVER","Match over"
"TID_LEVEL","lvl<LVL>"
"TID_PLAYERS_IN_MM","There are players in the matchmaking!"
"TID_ONLINE_INFO","Players online: <ONLINE>       in matchmaking: <MATCHMAKE>       in match: <BATTLES>"
"TID_INPUT_NAME","Input your name here"
"TID_LEADERBOARD_YOUR_SCORE","Your score"
"TID_LEADERBOARD_YOUR_RANK","Your rank"
"TID_LEADERBOARD_HIGHEST_SCORE","Your Highest Score"
"TID_LEADERBOARD_LOCAL","Local (<COUNTRY>)"
"TID_REGION_0","North America"
"TID_REGION_1","Asia"
"TID_SET_REGION_RESULT_0","Region switched successfully to <REGION>"
"TID_SET_REGION_RESULT_1","Region change failed: cannot change region while in a Band"
"TID_SET_REGION_RESULT_2","Region change failed: cannot change region while in a game room"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Crystal Grab"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Grab and hold 10 crystals!"
"TID_BATTLE_END_MY_TEAM","Your Team"
"TID_BATTLE_END_ENEMY_TEAM","Enemy Team"
"TID_BACK","BACK"
"TID_CARD_CRAFT_ERROR_2","Not enough Elixir, open Brawl Boxes to get Elixir"
"TID_CARD_CRAFT_ERROR_3","Not enough Chips, open Brawl Boxes to get Chips"
"TID_UNLOCK_SKIN_ERROR_1","Not enough Gems"
"TID_EXPERIENCE_LEVEL","Experience level"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Buy Brawler"
"TID_CRAFT_HERO_BUTTON_LABEL","Buy"
"TID_UNLOCK_SKIN_TITLE","Buy skin"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Buy"
"TID_HERO_LIST_TOTAL_TROPHIES","Total trophies"
"TID_TOP_TOOL_TIP_1","Collect Coins from new events and Brawls. \n\nUse Coins to open Brawl Boxes."
"TID_TOP_TOOL_TIP_2","Get Chips for duplicate Brawlers from Brawl Boxes.\n\n Use Chips to buy new Brawlers."
"TID_TOP_TOOL_TIP_3","Purchase Gems from the Shop with real money. \n\nUse Gems to buy Brawl Boxes, new skins and Boosters."
"TID_TOP_TOOL_TIP_4","Find Elixir inside Brawl Boxes. \n\nUse Elixir to upgrade your Brawlers."
"TID_GAME_MODE_0","Smash & Grab"
"TID_GAME_MODE_0_DESC","The team that grabs and holds 10 crystals to the end of countdown wins! Losing lives will spill grabbed crystals. "
"TID_GAME_MODE_2","Heist"
"TID_GAME_MODE_2_DESC","One team defends the safe. The other tries to break it open. Surprise! You won’t know which team you’ll be on!"
"TID_GAME_MODE_3","Bounty"
"TID_GAME_MODE_3_DESC","Hunt the other team for Stars. More Stars on heads means bigger bounties. The team with the most stars wins!"
"TID_GAME_MODE_6","Showdown"
"TID_GAME_MODE_6_DESC","Take down the other nine and be the last one standing. There are no teams and you only have one life. Game on!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","First win"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Rank up"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Level up"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Victory"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Defeat"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Draw"
"TID_BATTLE_END_GAIN_LABEL_MVP","Star Player"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Rank score"
"TID_BATTLE_END_GAIN_LABEL_COIN_BOOST","Coin boost\n <c00cc00><PARAM>%</c>"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","<c00cc00>Coin\nDoubler</c>"
"TID_BATTLE_END_COIN_REWARDS","Coin rewards"
"TID_BATTLE_END_MVP","STAR PLAYER"
"TID_BATTLE_END_DEFEAT_INFO","Better luck next time!"
"TID_TUTORIAL_1","Hello, I'm Shelly. Let me show you how to move around.\n\nTap on that yellow circle!"
"TID_TUTORIAL_2","You did it! Now move me to that next yellow circle."
"TID_TUTORIAL_3","You can hide from enemies in bushes. Let's go to that circle and I'll show you."
"TID_TUTORIAL_4","Awesome, now I'm totally hidden! Let's keep moving."
"TID_TUTORIAL_5","Attack by swiping and releasing towards your target.\n\nTry it on that target!"
"TID_TUTORIAL_6","Nice, keep going!"
"TID_TUTORIAL_7","Attacking targets charges up the Super attack meter. \n\nShoot those targets!"
"TID_TUTORIAL_8","Those targets don't stand a chance against my Super. Shoot!"
"TID_TUTORIAL_9","You're a natural Brawler! \n\nNow, let's go get 'em!"
"TID_TUTORIAL_10","Super is ready! Now tap on the Super button to activate it."
"TID_TUTORIAL_11","Kaboom! Oh, those orange bars show your ammo. I'll reload as fast as I can!"
"TID_FIGHT_TUTORIAL","Play"
"TID_HERO_SCORE_INFO","Collect trophies for this Brawler by winning games against other players. Reach <PROGRESS> trophies to achieve next rank and earn <COINS> Coins."
"TID_HERO_SCORE_INFO_MAXED","You have reached the final rank. Trophy limit is <CAP>"
"TID_XP_INFO_ME","Your experience level.\n\nGain experience by Brawling. Collect <REMPROGRESS> more experience points to reach level <LEVEL> and earn <COINS> Coins."
"TID_XP_INFO_OTHER","This player's experience level"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","Win one practice match to unlock the full game"
"TID_HERO_SCORE_SUM_INFO","Total trophies of all Brawlers"
"TID_CLAN_TAB_CREATE","Create Band"
"TID_CLAN_TAB_SEARCH","Find Band"
"TID_CLAN_TAB_MY_CLAN","My Band"
"TID_CLAN_TAB_FRIENDS","Friends"
"TID_CLAN_CREATE_BUTTON","Create"
"TID_CLAN_SAVE_BUTTON","Save"
"TID_CLAN_CREATE_TITLE","Create a new Band"
"TID_ALLIANCE_TYPE_OPEN","Open"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Invite only"
"TID_ALLIANCE_TYPE_CLOSED","Closed"
"TID_CLAN_SEARCH_TITLE","Search for Bands"
"TID_STREAM_ENTRY_AGE","<time> ago"
"TID_ALLIANCE_ROLE_LEADER","Leader"
"TID_ALLIANCE_ROLE_CO_LEADER","Co-leader"
"TID_ALLIANCE_ROLE_MEMBER","Member"
"TID_ALLIANCE_ROLE_ELDER","Elder"
"TID_STREAM_SENDER_YOU","You"
"TID_GOLDRUSH_1","Hard Rock Mine"
"TID_BANKHEIST_1","Bandit Stash"
"TID_WANTED_1","Temple Ruins"
"TID_BATTLE_ROYALE_1","Skull Creek"
"TID_GOLDRUSH_2","Crystal Cavern"
"TID_BANKHEIST_2","Kaboom Canyon"
"TID_WANTED_2","Outlaw Camp"
"TID_BATTLE_ROYALE_2","Stormy Plains"
"TID_GOLDRUSH_3","Mushroom Cave"
"TID_BANKHEIST_3","Safe Zone"
"TID_WANTED_3","Terracotta Square"
"TID_BATTLE_ROYALE_3","Death Valley"
"TID_WANTED_4","Cabbage Patch"
"TID_GOLDRUSH_4","Bone Box"
