"Name","FileName","StartFrame","EndFrame","RunningTimeMs","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"BullGuyIdle","basic_tank_bullguy_idle.scw",-1,-1,-1,,500,500,,"true",
"BullGuyWalk","basic_tank_bullguy_walk.scw",-1,-1,-1,,500,500,,"true",1
"BullGuyPrimary","basic_tank_bullguy_attack.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BullGuySecondary","basic_tank_bullguy_attack.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BullGuyRecoil","basic_tank_bullguy_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullGuyRecoil2","basic_tank_bullguy_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullGuyReload","basic_tank_bullguy_reload.scw",-1,-1,-1,,100,100,100,"false","ChestBone#2"
"BullGuyPushback","basic_tank_bullguy_idle.scw",-1,-1,-1,,100,200,400,"false",5
"ShamangirlIdle","basic_female_shaman_idle.scw",-1,-1,-1,,100,100,,"true",
"ShamangirlWalk","basic_female_shaman_run.scw",-1,-1,-1,,100,100,,"true",1
"ShamangirlAttack","basic_female_shaman_attack.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"ShamangirlSecondary","basic_female_shaman_attack.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"ShamangirlRecoil","basic_female_shaman_attack.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"ShamangirlReload","basic_female_shaman_attack.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"ShamangirlPushback","basic_female_shaman_attack.scw",-1,-1,-1,,200,300,500,"false",5
"UndertakerIdle","undertaker_idle.scw",-1,-1,-1,,100,100,,"true",
"UndertakerAttack","undertaker_recoil1.scw",-1,-1,-1,,100,100,,"false","SpineBone#3"
"UndertakerWalk","undertaker_walk.scw",-1,-1,-1,,100,100,,"true",1
"UndertakerRecoil1","undertaker_recoil1.scw",-1,-1,-1,,100,100,,"false","SpineBone#3"
"UndertakerUltiRecoil1","undertaker_ulti_recoil1.scw",-1,-1,-1,,100,10,3,"false","ChestBone#4"
"UndertakerUltiAttack","undertaker_ulti_attack.scw",-1,-1,-1,,100,10,3,"false","ChestBone#3"
"UndertakerUipose","undertaker_uipose1.scw",-1,-1,-1,,100,10,3,"false","ChestBone#3"
"UndertakerWin","undertaker_win1.scw",-1,-1,-1,,,,200,"false","ChestBone#3"
"UndertakerWinloop","undertaker_winloop1.scw",-1,-1,-1,,,,,"true","ChestBone#3"
"UndertakerLose","undertaker_lose1.scw",-1,-1,-1,,,,200,"false","ChestBone#3"
"UndertakerLoseloop","undertaker_loseloop1.scw",-1,-1,-1,,,,,"true","ChestBone#3"
"MariachiIdle","mariachi_idle.scw",-1,-1,-1,,100,100,,"true",
"MariachiWalk","mariachi_walk.scw",-1,-1,-1,140,100,100,,"true",1
"MariachiAttack","mariachi_attack.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"MariachiSecondary","mariachi_attack.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"MariachiRecoil","mariachi_recoil.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"MariachiReload","mariachi_reload.scw",-1,-1,-1,,100,200,200,"false","ChestBone#2"
"MariachiPushback","mariachi_idle.scw",-1,-1,-1,,200,300,500,"false",5
"MariachiWin","mariachi_win1.scw",-1,-1,-1,50,,,50,"false",
"MariachiWinloop","mariachi_winloop1.scw",-1,-1,-1,,,,,"true",
"MariachiLose","mariachi_lose1.scw",-1,-1,-1,,,,50,"false",
"MariachiLoseloop","mariachi_loseloop1.scw",-1,-1,-1,,,,,"true",
"CrowIdle","crow_idle1.scw",-1,-1,-1,,100,100,,"true",
"CrowWalk","crow_walk1.scw",-1,-1,-1,200,100,100,,"true",1
"CrowPrimary","crow_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"CrowSecondary","crow_attack2.scw",-1,-1,-1,,50,50,10,"false",5
"CrowRecoil","crow_recoil1.scw",-1,-1,-1,,50,50,200,"false","ChestBone#4"
"CrowRecoil2","crow_attack2.scw",-1,-1,-1,,50,50,10,"false",5
"CrowReload","crow_idle1.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"CrowUipose","crow_uipose1.scw",-1,-1,-1,,200,200,200,"false",
"CrowPushback","crow_idle1.scw",-1,-1,-1,,200,100,200,"false",5
"CrowWin","crow_win1.scw",-1,-1,-1,,,,200,"false",
"CrowWinloop","crow_winloop1.scw",-1,-1,-1,,,,,"true",
"CrowLose","crow_lose1.scw",-1,-1,-1,,,,200,"false",
"CrowLoseloop","crow_loseloop1.scw",-1,-1,-1,,,,,"true",
"BowGuyIdle","bowdude_idle.scw",-1,-1,-1,,500,500,,"true",
"BowGuyWalk","bowdude_walk.scw",-1,-1,-1,150,500,500,,"true",1
"BowGuyAttack","bowdude_attack.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuySecondary","bowdude_ultiattack1.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyRecoil","bowdude_recoil.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyRecoil2","bowdude_ultirecoil1.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyReload","bowdude_idle.scw",-1,-1,-1,,100,100,100,"false","ChestBone#2"
"BowGuyPushback","bowdude_idle.scw",-1,-1,-1,,100,200,400,"false",5
"BowGuyUIpose","bowdude_menu.scw",-1,-1,-1,,500,500,,"true",
"BowGuyWin","bowdude_win1.scw",-1,-1,-1,,,,200,"false",
"BowGuyWinloop","bowdude_winloop1.scw",-1,-1,-1,,,,,"true",
"BowGuyLose","bowdude_lose1.scw",-1,-1,-1,,,,200,"false",
"BowGuyLoseloop","bowdude_loseloop1.scw",-1,-1,-1,,,,,"true",
"RickosheaIdle","rickoshea_idle.scw",-1,-1,-1,,100,100,,"true",
"RickosheaWalk","rickoshea_walk.scw",-1,-1,-1,100,100,100,,"true",1
"RickosheaPrimary","rickoshea_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RickosheaSecondary","rickoshea_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RickosheaRecoil","rickoshea_recoil.scw",-1,-1,-1,,100,200,400,"false","ChestBone#4"
"RickosheaRecoil2","rickoshea_recoil.scw",-1,-1,-1,,100,200,400,"false","ChestBone#4"
"RickosheaReload","rickoshea_reload.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"RickosheaUipose","rickoshea_menu.scw",-1,-1,-1,,200,200,200,"false",
"RickosheaPushback","rickoshea_idle.scw",-1,-1,-1,,200,100,200,"false",5
"RickosheaWin","rickoshea_win1.scw",-1,-1,-1,,,,200,"false",
"RickosheaWinloop","rickoshea_winloop1.scw",-1,-1,-1,,,,,"true",
"RickosheaLose","rickoshea_lose1.scw",-1,-1,-1,,,,200,"false",
"RickosheaLoseloop","rickoshea_loseloop1.scw",-1,-1,-1,,,,,"true",
"JunkerIdle","junker_idle1.scw",-1,-1,-1,,100,100,,"true",
"JunkerWalk","junker_walk1.scw",-1,-1,-1,200,100,100,,"true",1
"JunkerPrimary","junker_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"JunkerUltiAttack","junker_ulti1.scw",-1,-1,-1,,200,200,10,"false",5
"JunkerRecoil","junker_recoil1.scw",-1,-1,-1,,50,50,200,"false","ChestBone#4"
"JunkerUltiRecoil","junker_ultirecoil1.scw",-1,-1,-1,,200,200,100,"false",5
"JunkerReload","junker_idle1.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"JunkerUipose","junker_uipose1.scw",-1,-1,-1,,200,200,200,"false",
"JunkerPushback","junker_idle1.scw",-1,-1,-1,,200,100,200,"false",5
"JunkerWin","junker_win1.scw",-1,-1,-1,,,,200,"false",
"JunkerWinloop","junker_winloop1.scw",-1,-1,-1,,,,,"true",
"JunkerLose","junker_lose1.scw",-1,-1,-1,,,,200,"false",
"JunkerLoseloop","junker_loseloop1.scw",-1,-1,-1,,,,,"true",
"BarkeepIdle","barkeep_idle.scw",-1,-1,-1,,100,100,,"true",
"BarkeepWalk","barkeep_walk.scw",-1,-1,-1,120,100,100,,"true",1
"BarkeepPrimary","barkeep_attack1.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BarkeepSecondary","barkeep_attack1.scw",-1,-1,-1,,100,50,200,"false","ChestBone#3"
"BarkeepRecoil","barkeep_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BarkeepRecoil2","barkeep_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BarkeepReload","barkeep_reload.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"BarkeepUipose","barkeep_uipose.scw",-1,-1,-1,,200,200,200,"false",
"BarkeepPushback","barkeep_idle.scw",-1,-1,-1,,200,100,200,"false",5
"BarkeepWin","barkeep_win1.scw",-1,-1,-1,,,,200,"false",
"BarkeepWinloop","barkeep_winloop1.scw",-1,-1,-1,,,,,"true",
"BarkeepLose","barkeep_lose1.scw",-1,-1,-1,,,,200,"false",
"BarkeepLoseloop","barkeep_loseloop1.scw",-1,-1,-1,,,,,"true",
"CactusIdle","cactus_idle1.scw",-1,-1,-1,,100,100,,"true",
"CactusWalk","cactus_walk1.scw",-1,-1,-1,100,100,100,,"true",1
"CactusPrimary","cactus_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"CactusSecondary","cactus_ultirecoil1.scw",-1,-1,-1,,50,50,200,"false",5
"CactusRecoil","cactus_recoil1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"CactusRecoil2","cactus_ultirecoil1.scw",-1,-1,-1,,50,50,200,"false",5
"CactusReload","cactus_idle1.scw",-1,-1,-1,,200,200,200,"false",5
"CactusUipose","cactus_uipose1.scw",-1,-1,-1,,200,200,,"true",
"CactusPushback","cactus_idle1.scw",-1,-1,-1,,200,100,200,"false",5
"CactusWin","cactus_win1.scw",-1,-1,-1,,,,200,"false",
"CactusWinloop","cactus_winloop1.scw",-1,-1,-1,,,,,"true",
"CactusLose","cactus_lose1.scw",-1,-1,-1,,,,200,"false",
"CactusLoseloop","cactus_loseloop1.scw",-1,-1,-1,,,,,"true",
"LouchadorIdle","louchador_idle.scw",-1,-1,-1,,500,500,,"true",
"LouchadorWalk","louchador_walk.scw",-1,-1,-1,150,120,200,,"true",1
"LouchadorPrimary","louchador_attack1.scw",-1,-1,-1,,100,100,50,"false","ChestBone#3"
"LouchadorSecondary","louchador_ulti_attack1.scw",-1,-1,-1,,100,100,,"false","ChestBone#3"
"LouchadorRecoil","louchador_recoil.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"LouchadorReload","louchador_idle.scw",-1,-1,-1,,200,500,500,"false","ChestBone#2"
"LouchadorPushback","louchador_idle.scw",-1,-1,-1,,100,100,400,"false",5
"LouchadorUipose","louchador_menu.scw",-1,-1,-1,,500,500,,"true",
"LouchadorRecoil2","louchador_recoil2.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"LouchadorWin","luchador_win1.scw",-1,-1,-1,,,,200,"false",5
"LouchadorWinloop","luchador_winloop1.scw",-1,-1,-1,,,,,"true",1
"LouchadorLose","luchador_lose1.scw",-1,-1,-1,,,,200,"false",5
"LouchadorLoseloop","luchador_loseloop1.scw",-1,-1,-1,,,,,"true",1
"ShamanIdle","shaman_idle1.scw",-1,-1,-1,,100,100,,"true",
"ShamanWalk","shaman_walk1.scw",-1,-1,-1,200,100,100,,"true",1
"ShamanAttack","shaman_attack1.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"ShamanSecondary","shaman_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"ShamanRecoil","shaman_recoil1.scw",-1,-1,-1,,100,100,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"ShamanReload","shaman_idle1.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"ShamanPushback","shaman_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"ShamanUipose","shaman_uipose1.scw",-1,-1,-1,,200,300,500,"false",5
"ShamanWin","shaman_win1.scw",-1,-1,-1,,,,200,"false",5
"ShamanWinloop","shaman_winloop1.scw",-1,-1,-1,,,,,"true",1
"ShamanLose","shaman_lose1.scw",-1,-1,-1,,,,200,"false",5
"ShamanLoseloop","shaman_loseloop1.scw",-1,-1,-1,,,,,"true",1
"ShellyIdle","shelly_idle.scw",-1,-1,-1,,100,100,,"true",
"ShellyWalk","shelly_walk.scw",-1,-1,-1,,100,100,,"true",1
"ShellyPrimary","shelly_attack1.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"ShellySecondary","shelly_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"ShellyRecoil","shelly_recoil1.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"ShellyRecoil2","shelly_recoil1.scw",-1,-1,-1,,100,200,100,"false","ChestBone#4"
"ShellyReload","shelly_reload.scw",-1,-1,-1,,200,10,100,"false","ChestBone#2"
"ShellyPushback","shelly_pushback.scw",-1,-1,-1,,100,100,200,"false",5
"ShellyUipose","shelly_uipose.scw",-1,-1,-1,,100,100,200,"false",5
"ShellyWin","shelly_win1.scw",-1,-1,-1,,,,200,"false",5
"ShellyWinloop","shelly_winloop1.scw",-1,-1,-1,,,,,"true",1
"ShellyLose","shelly_lose1.scw",-1,-1,-1,,,,200,"false",5
"ShellyLoseloop","shelly_loseloop1.scw",-1,-1,-1,,,,,"true",1
"BearIdle","bear_idle1.scw",-1,-1,-1,,100,100,,"true",
"BearWalk","bear_walk1.scw",-1,-1,-1,100,100,100,,"true",1
"BearAttack","bear_attack1.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"BearRecoil","bear_recoil1.scw",-1,-1,-1,,1,1,50,"false","ChestBone#4"
"BearPushback","bear_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"BrockIdle","brock_idle1.scw",-1,-1,-1,,100,100,,"true",
"BrockWalk","brock_walk1.scw",-1,-1,-1,150,100,100,,"true",1
"BrockPrimary","brock_attack1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockSecondary","brock_ultiattack1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockRecoil","brock_recoil1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockRecoil2","brock_ultirecoil1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockReload","brock_idle1.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"BrockPushback","brock_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"BrockUipose","brock_uipose1.scw",-1,-1,-1,,200,300,500,"false",5
"BrockWin","brock_win1.scw",-1,-1,-1,,,,200,"false",5
"BrockWinloop","brock_winloop1.scw",-1,-1,-1,,,,,"true",5
"BrockLose","brock_lose1.scw",-1,-1,-1,,,,200,"false",5
"BrockLoseloop","brock_loseloop1.scw",-1,-1,-1,,,,,"true",5
"BullIdle","bull_idle.scw",-1,-1,-1,,500,500,,"true",
"BullWalk","bull_run.scw",-1,-1,-1,,500,500,,"true",1
"BullPrimary","bull_attack.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BullSecondary","bull_charge.scw",-1,-1,-1,,100,200,200,"true","ChestBone#4"
"BullRecoil","bull_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullRecoil2","bull_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullReload","bull_idle.scw",-1,-1,-1,,100,100,100,"false","ChestBone#2"
"BullPushback","bull_idle.scw",-1,-1,-1,,100,200,400,"false",5
"BullUipose","bull_menu.scw",-1,-1,-1,,200,300,500,"false",5
"BullRockIdle","bull_rock_idle.scw",-1,-1,-1,,500,500,,"true",
"BullRockWalk","bull_rock_run.scw",-1,-1,-1,140,500,500,,"true",1
"BullRockPrimary","bull_rock_attack.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BullRockSecondary","bull_rock_charge.scw",-1,-1,-1,,100,200,200,"true","ChestBone#4"
"BullRockRecoil","bull_rock_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullRockRecoil2","bull_rock_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullRockReload","bull_rock_idle.scw",-1,-1,-1,,100,100,600,"false","ChestBone#2"
"BullRockPushback","bull_rock_idle.scw",-1,-1,-1,,100,200,400,"false",5
"BullRockUipose","bull_rock_menu.scw",-1,-1,-1,,200,300,500,"false",5
"BullRockWin","bull_rock_win1.scw",-1,-1,-1,,,,200,"false",5
"BullRockWinloop","bull_rock_winloop1.scw",-1,-1,-1,,,,,"true",5
"BullRockLose","bull_rock_lose1.scw",-1,-1,-1,,,,200,"false",5
"BullRockLoseloop","bull_rock_loseloop1.scw",-1,-1,-1,,,,,"true",5
"SniperIdle","sniper_idle1.scw",-1,-1,-1,,100,100,,"true",
"SniperWalk","sniper_walk1.scw",-1,-1,-1,150,100,100,,"true",1
"SniperAttack","sniper_attack1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperSecondary","sniper_ulti1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperRecoil","sniper_recoil1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperReload","sniper_idle1.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"SniperPushback","sniper_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"SniperUipose","sniper_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"SniperWin","sniper_win1.scw",0,26,-1,,,,200,"false",5
"SniperWinloop","sniper_win1.scw",26,60,-1,,,,100,"true",1
"SniperLose","sniper_lose1.scw",0,30,-1,,,,200,"false",5
"SniperLoseloop","sniper_lose1.scw",30,39,-1,,,,,"true",1
