"rmsep","Loop","FollowParent","FollowParentAngle","FollowBone","OwnScreenShake","OthersScreenShake","OwnHapticLevel","OthersHapticLevel","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","GroundBasis","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","ChinaReplacement","FlashWidth","EffectZ"
"mode_tc_boss_atk_jump",,,,,,,,,,"Barnzilla_Jump","ParticleEmitter",,,"piper_002_ulti_use",,"GroundHigh",,,120,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"piper_002_ulti_use_smoke",,"GroundLow",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"ground_fragments_some",,"GroundLow",,,100,,,,,,,
"mode_valley_hit",,,,,,,,,,"Volleybrawl_ball_hit","ParticleEmitter",,,"mode_valley_hit_impact",,"Object",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_valley_hit_glow",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_valley_hit_twinkles",,"GroundTop",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_valley_hit_stars",,"Object",,,100,,,,,,,
"mode_basket_hit",,,,,,,,,,"Basketbrawl_rim_hit","ParticleEmitter",,,"mode_valley_hit_impact",,"Object",,,50,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_valley_hit_glow",,"Above",,,30,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_valley_hit_twinkles",,"GroundTop",,,50,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_basket_hit_ringWave",,"Object",,,70,,,,,,,
"mode_hold_spawn",,,,,,,,,,,"ParticleEmitter",,,"mode_hold_spawn_frags",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_hold_spawn_gas",,"Object",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_hold_spawn_gas_base",,"GroundTop",,,100,,,,,,,
"mode_hold_trail",,,,,,,,,,,"ParticleEmitter",,,"mode_hold_trail_gas_base",,"GroundTop",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_hold_trail_frags",,"GroundTop",,,100,,,,,,,
"gen_brawler_death",,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke",,"GroundHigh",,,100,,,,"gen_brawler_death_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_explode",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_gas",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_particle_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_ring",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_dust",,"Above",,,100,,,,,,,
"gen_brawler_death_red",,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_red",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_explode_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_gas_red",,"GroundLow","true",,60,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_particle_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_ring_red",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_dust_red",,"Above",,,100,,,,,,,
"gen_silver_moving",,"true",,,,,,,,,"ParticleEmitter",,,"gen_silver_moving_aura_add",,"GroundTop",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_silver_moving_dots",,"Above",,,100,,,,,,,
"gen_silver_lobby_aura",,"true",,,,,,,,,"ParticleEmitter",,,"gen_silver_lobby_aura",,"GroundLow",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_silver_lobby_dots",,"Above",,,100,,,,,,,
"gen_gold_atk_single",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_beams_lot",,"Object",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_glow_cone",,"Above",,,100,,,,,,,
"gen_gold_atk_single_small",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_beams_lot",,"Object",,,80,,,,,,,50
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_glow_cone",,"Above",,,100,,,,,,,
"gen_gold_atk_spray",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_beams_spray",,"Object",,,100,,,,,,,
"gen_gold_atk_multiple",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_beams",,"Object",,,100,,,,,,,
"gen_gold_atk_jacky",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_jacky",,"Object",,,100,,,,,,,
"gen_gold_atk_mortis",,"true",,,,,,,,"Mortis_atk","ParticleEmitter",,,"gen_gold_atk_sparkles_trail",,"Object",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","mortis_gold_atk",,,"Above",,,100,,,,,,,
"tnt_dude_gold_atk_throw",,"true",,,,,,,,"tnt_attack","ParticleEmitter",,,"gen_gold_atk_glow_cone_delay",,"Object",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_sparkles",,"Object",,,100,,,,,,,
"gen_gold_atk_throw",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_glow_cone_delay",,"Object",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_atk_sparkles",,"Object",,,100,,,,,,,
"gen_gold_moving",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_aura_add",,"GroundTop",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_moving_twinkle",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_moving_dots",,"Above",,,100,,,,,,,
"gen_gold_lobby_aura",,"true",,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_aura",,"GroundLow",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_aura_add",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_twinkle",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_dots",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_gold_lobby_beams",,"GroundTop",,,100,,,,,,,
"gen_debuff_curse","true","true",,,,,,,,,"SWF","sc/effects_brawler.sc","belle_def_ulti_curse_red",,,"Above",,,55,,,,"gen_debuff_curse_red",,,320
"gen_debuff_curse_red","true","true",,,,,,,,,"SWF","sc/effects_brawler.sc","belle_def_ulti_curse",,,"Above",,,55,,,,,,,320
"boss_tc_attack_area",,,,,200,200,,,,"Barnzilla_Tail","ParticleEmitter",,,"boss_pve_areal_wipe",,"Above","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"boss_pve_areal_dust",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"boss_pve_areal_frags",,"GroundHigh",,,100,,,,,,,
"boss_tc_skill_warning_short",,,,,,,,,,"raidboss_warning","ParticleEmitter",,,"raidboss_skill_warning_short",,"Above",,,100,,,,,,,
"boss_tc_skill_warning_medium",,,,,,,,,,"raidboss_warning","ParticleEmitter",,,"raidboss_skill_warning_medium",,"Above",,,100,,,,,,,
"boss_tc_skill_warning_long",,,,,,,,,,"raidboss_warning","ParticleEmitter",,,"raidboss_skill_warning_long",,"Above",,,100,,,,,,,
"boss_tc_ranged_attack",,,,,,,,,,"raidboss_attack","SWF","sc/effects.sc","muzzle_flash",,,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"shell_shotgun",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"muzzle_flash_smaller",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"shooting_spark_emitter",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_small_smoke_emitter",,"Above",,,,,,,,,,
"bossrace_skill_warning",,,,,,,,,,,"ParticleEmitter",,,"raidboss_skill_warning_short",,"Above",,,,,,,,,,
"raidboss_rocket_warning",,"true",,,,,,,,"raidboss_rocket_attack","SWF","sc/effects.sc",,,,"Above",,,100,,,,,,,
"raidboss_rocket_explosion",,,,,600,600,,,,,"ParticleEmitter",,,"Small_Dust_emitter_320",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"Small_explosion_streaks_emitter_270",,"Above",,,,,,,,,,
,,,,,,,,,,,"SWF","sc/effects.sc","gen_explosion_ring2",,,"Above","true",,270,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"Gen_Small_Debris_emitter_270",,"Above",,,,,,,,,,
,"true","true",,,,,,,,,"ParticleEmitter",,,"meteor_shards_80",,"Above",,,,,,,,,,
"burning_ground_raid_boss",,"true",,,,,,,,,"ParticleEmitter",,,"burning_particle_raid_boss",,"GroundHigh",,,,,,,,,,
"gadget_activate",,"true",,,,,,,,"Player_gadget_Button","ParticleEmitter",,,"gadget_activate_stars",,"Above",,,100,,,,"gadget_activate_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_activate_speedLine",,"GroundHigh","true",,100,,,,,,,
,,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_active_ground",,,"GroundHigh","true",,100,,,,,,,
,,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_activate_shine",,,"Above",,,100,,,,,,,
"gadget_activate_red",,"true",,,,,,,,"Enemy_Gadget_Button","ParticleEmitter",,,"gadget_activate_stars_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_activate_speedLine_red",,"GroundHigh","true",,100,,,,,,,
,,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_active_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_activate_shine_red",,,"Above",,,100,,,,,,,
"gadget_on_loop",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_on_loop",,,"Above","true",,75,,,,"gadget_on_loop_red",,,800
,,,,,,,,,,,"ParticleEmitter",,,"gadgets_on_loop_glow",,"Above",,,100,,,,,,,
"gadget_on_loop_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadgets_on_loop_red",,,"Above","true",,75,,,,,,,800
,,,,,,,,,,,"ParticleEmitter",,,"gadgets_on_loop_glow_red",,"Above",,,100,,,,,,,
"gadget_pet_on_loop",,,,,,,,,,,"ParticleEmitter",,,"gadgets_pet_on_glow",,"Above",,,100,,,,"gadget_pet_on_loop_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"gadgets_pet_on_ring",,"Above","true",,100,,,,,,,
"gadget_pet_on_loop_red",,,,,,,,,,,"ParticleEmitter",,,"gadgets_pet_on_glow_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadgets_pet_on_ring_red",,"Above","true",,100,,,,,,,
"gadget_arcade_teleport",,,,,,,,,,"8bit_Gadget","ParticleEmitter",,,"arcade_def_atk_hit",,"Above",,,150,,,,"gadget_arcade_teleport_red",,,150
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel",,"Above",,,150,,,,,,,150
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_ground",,"Above",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_teleport_ground",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_teleport_pixel",,,"Above",,,60,,,,,,,
"gadget_arcade_teleport_red",,,,,,,,,,"8bit_Gadget","ParticleEmitter",,,"arcade_def_atk_hit_red",,"Above",,,150,,,,,,,150
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_red",,"Above",,,150,,,,,,,150
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_ground_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_teleport_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_teleport_pixel_red",,,"Above",,,60,,,,,,,
"gadget_arcade_plugged",,"true",,,,,,,,,"ParticleEmitter",,,"gadget_arcade_plugged_tail",,"Above","true",,100,,,,"gadget_arcade_plugged_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_arcade_plugged_frags",,"Above",,,100,,,,,,,
"gadget_arcade_plugged_red",,"true",,,,,,,,,"ParticleEmitter",,,"gadget_arcade_plugged_tail_red",,"Above","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_arcade_plugged_frags_red",,"Above",,,100,,,,,,,
"gadget_arcade_plugged_area",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area",,,"GroundLow","true",,110,,,,"gadget_arcade_plugged_area_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol",,,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel",,"Above",,,,,,,,,,
"gadget_arcade_plugged_area_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area_red",,,"GroundLow","true",,110,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol_red",,,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel_red",,"Above",,,,,,,,,,
"gadget_arcade002_plugged_area",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area",,,"GroundLow","true",,110,,,,"gadget_arcade002_plugged_area_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_002_ulti_smoke",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_002_ulti_elec",,"Above",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_002_ulti_symbol",,,"Above",,,100,,,,,,,
"gadget_arcade002_plugged_area_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area_red",,,"GroundLow","true",,110,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_002_ulti_smoke_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_002_ulti_elec_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_002_ulti_symbol_red",,,"Above",,,100,,,,,,,
"gadget_arcade003_plugged_area",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area",,,"GroundLow","true",,110,,,,"gadget_arcade003_plugged_area_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_003_ulti_notes",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel",,"Above",,,,,,,,,,
"gadget_arcade003_plugged_area_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area_red",,,"GroundLow","true",,110,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_003_ulti_notes_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel_red",,"Above",,,,,,,,,,
"gadget_arcade004_plugged_area",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area",,,"GroundLow","true",,110,,,,"gadget_arcade004_plugged_area_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_area",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol",,,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud",,"Object",,,,,,,,,,
"gadget_arcade004_plugged_area_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_arcade_pluggedin_area_red",,,"GroundLow","true",,110,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_area_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol_red",,,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud_red",,"Object",,,,,,,,,,
"gadget_barley_slow",,,,,200,50,,,,"Barley_Gadget","SWF","sc/effects_brawler.sc","gadget_barley_slow_ground",,,"GroundLow","true",,187,,,,"gadget_barley_slow_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","spike_def_ulti_cloud",,,"Above",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_bubble",,"GroundHigh",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_bubble_ground",,"GroundHigh",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_ring",,"GroundHigh","true",,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_gas",,"GroundHigh","true",,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_blue",,"Above",,,125,,,,,,,
"gadget_barley_slow_red",,,,,200,50,,,,"Barley_Gadget","SWF","sc/effects_brawler.sc","gadget_barley_slow_ground_red",,,"GroundLow","true",,187,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","spike_def_ulti_cloud_red",,,"Above",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_bubble_red",,"GroundHigh",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_bubble_ground_red",,"GroundHigh",,,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_ring_red",,"GroundHigh","true",,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_slow_gas_red",,"GroundHigh","true",,125,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Above",,,125,,,,,,,
"gadget_barley_heal_trail",,"true",,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_trail",,"Above",,,100,,,,"gadget_barley_heal_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_trailGround",,"GroundHigh","true",,100,,,,,,,
"gadget_barley_heal_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_trail_red",,"Above",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_trailGround_red",,"GroundHigh","true",,100,,,,,,,
"gadget_barley_heal",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","gadget_barley_heal_ground",,,"GroundHigh","true",,100,,,,"gadget_barley_heal_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","gadget_barley_heal_bubble",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_icons",,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_shards",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gadget_barley_heal_wave",,"GroundHigh","true",,,,,,,,,
