"Name","OfferType","IconFrameNumber","MaxResourcePerFrame","FileName","ShopItemAsset","PopupItemAsset","ShopItemBg","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ConfirmItemAsset","ConfirmItemBg","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetRankProfile","OfferAssetRankLarge","BrawlPassAssetPaid","BrawlPassAssetFree","RankedRewardAsset","RankedGoalAsset","RewardDescTID"
"MediumBox",14,1,,"sc/ui.sc","shop_item_resourses_boxes","shop_popupitem_14","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_14","shop_popupprice_wrapper_1","offer_item_boxes_big","offer_item_boxes_big","offer_item_boxes_small","reward_profilebutton_14",,"brawlpass_reward_premium_big_box","brawlpass_reward_free_big_box",,"offer_item_boxes_small","TID_SHOP_OFFER_TITLE_14"
"AdBox",15,,,"sc/ui.sc",,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_15"
"Gems",16,0,30,"sc/ui.sc","shop_item_resourses_gems","shop_popupitem_16","shop_price_wrapper_1","shop_item_resourses_gems",,,,"shop_item_resourses_gems",,"shop_popupprice_wrapper_1","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","reward_profilebutton_16","reward_popupitem_large_16","reward_popupitem_large_16","brawlpass_reward_free_gems",,"offer_item_gems_small","TID_SHOP_OFFER_TITLE_16"
,,1,80,,,,,,,,,,,,,,,,,,,,,
,,2,170,,,,,,,,,,,,,,,,,,,,,
,,3,360,,,,,,,,,,,,,,,,,,,,,
,,4,950,,,,,,,,,,,,,,,,,,,,,
,,5,2000,,,,,,,,,,,,,,,,,,,,,
,,5,-1,,,,,,,,,,,,,,,,,,,,,
"StarPoints",17,0,500,"sc/ui.sc",,,,,,,,,,,,,,,,,,"rank_reward_star_points","rank_reward_star_points","TID_SHOP_OFFER_TITLE_17"
,,1,1000,,,,,,,,,,,,,,,,,,,,,
,,2,10000,,,,,,,,,,,,,,,,,,,,,
,,3,20000,,,,,,,,,,,,,,,,,,,,,
,,4,-1,,,,,,,,,,,,,,,,,,,,,
"Emote",19,,,"sc/ui.sc","shop_listitem_19","shop_popupitem_19","shop_price_wrapper_1","shop_listitem_19",,,,"shop_listitem_19",,"shop_popupprice_wrapper_1","offer_item_emote_big","offer_item_emote_big","offer_item_emote_small","reward_profilebutton_19","reward_popupitem_large_19","brawlpass_reward_premium_emote","reward_popupitem_small_19",,"offer_item_emote_small","TID_SHOP_OFFER_TITLE_19"
"EmoteBundle",20,,,"sc/ui.sc","shop_listitem_21","shop_popupitem_emote_bundle","shop_price_wrapper_1","shop_listitem_21",,,,"shop_listitem_21",,"shop_popupprice_wrapper_1","offer_item_emote_bundle_big","offer_item_emote_bundle_medium","offer_item_emote_bundle_small","reward_popupitem_small_20","reward_popupitem_small_20","brawlpass_reward_premium_emote_bundle","reward_popupitem_small_20",,"offer_item_emote_bundle_small","TID_SHOP_OFFER_TITLE_20"
"RandomEmotes",21,,,"sc/ui.sc","shop_listitem_21","shop_popupitem_21","shop_price_wrapper_1","shop_listitem_21",,,,"shop_listitem_21",,"shop_popupprice_wrapper_1","offer_item_random_emotes_big","offer_item_random_emotes_big","offer_item_random_emotes_small","reward_profilebutton_21","reward_popupitem_large_21","brawlpass_reward_premium_random_emotes","brawlpass_reward_free_random_emotes",,"offer_item_random_emotes_small","TID_SHOP_OFFER_TITLE_21"
"RandomEmotesForBrawler",22,,,"sc/ui.sc","shop_listitem_22","shop_popupitem_22","shop_price_wrapper_1","shop_listitem_22",,,,"shop_listitem_22",,"shop_popupprice_wrapper_1","offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_small","reward_profilebutton_22","reward_popupitem_large_22","reward_popupitem_large_22","reward_popupitem_small_22",,"offer_item_random_emotes_for_brawler_small","TID_SHOP_OFFER_TITLE_22"
"RandomEmoteOfRarity",23,,,"sc/ui.sc","shop_listitem_23","shop_popupitem_23","shop_price_wrapper_1","shop_listitem_23",,,,"shop_listitem_23",,"shop_popupprice_wrapper_1","offer_item_random_emote_of_rarity_big","offer_item_random_emote_of_rarity_big","offer_item_random_emote_of_rarity_small","reward_profilebutton_22","reward_popupitem_large_22","reward_popupitem_large_22","reward_popupitem_small_22",,"offer_item_random_emote_of_rarity_small","TID_SHOP_OFFER_TITLE_23"
"PlayerThumbnail",25,,,"sc/ui.sc",,,,,,,,,,,,,,,,,,"item_player_thumbnail","item_player_thumbnail","TID_REWARD_DESC_PLAYER_ICON"
"PurchaseOptionSkin",26,,,"sc/ui.sc",,,,,,,,,,,,,,,,,,,"rank_midseason_reward_item","TID_REWARD_DESC_PURCHASE_OPTION_SKIN"
