TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Cannot send join request. You have a pending team invite,تعذر إرسال طلب الانضمام. لديك دعوة فريق معلقة,无法发送组队请求，您之前发出的组队邀请正在等待处理。,無法發送小隊請求，你發送的小隊邀請仍在等待答覆。,Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Teameinladung.,No es posible enviar la solicitud porque tienes pendiente una invitación a un equipo.,Liittymispyyntöä ei voi lähettää. Joukkuekutsu odottamassa.,Envoi de la demande impossible : vous avez une invitation en attente.,לא ניתן לשלוח בקשת הצטרפות. יש לך הזמנה לקבוצה בהמתנה,Gagal mengirim permintaan bergabung. Ada undangan tim yang belum diterima,Impossibile inviare la richiesta. Hai un invito in sospeso.,保留中の招待があるため\n参加申請を送信できません,참가 요청 실패: 보류 중인 팀 초대가 있습니다.,Tidak boleh menghantar permintaan penyertaan. Anda mempunyai jemputan pasukan tertangguh,Kan het deelnameverzoek niet verzenden. Je hebt al een teamuitnodiging in behandeling.,Nie można wysłać prośby o dołączenie. Masz oczekujące zaproszenie do drużyny,Não é possível enviar o pedido. Você tem convite de equipe pendente.,Нельзя отправить запрос на вступление.\nСначала рассмотри приглашение в команду.,ไม่สามารถส่งคำขอเข้าร่วมได้ คุณมีคำเชิญทีมที่รอดำเนินการอยู่,Katılma isteği gönderilemiyor. Beklemede olan bir takım davetin var.,Không thể gửi yêu cầu gia nhập. Bạn có lời mời vào đội đang chờ trả lời
TID_RANK_UP_REWARD_REPLACED_TITLE,Confirm Alternative Reward,تأكيد المكافأة البديلة,确认领取替代奖励,確認領取替代獎勵,Alternative Belohnung bestätigen,Confirmar nueva recompensa,Vahvista vaihtoehtoinen palkinto,Changement de récompense,אישור פרס חלופי,Konfirmasi Hadiah Alternatif,Conferma premio alternativo,代替報酬を確認,대체 보상 확인,Sahkan Ganjaran Alternatif,Alternatieve beloning bevestigen,Potwierdź inną wybraną nagrodę,Confirmar a recompensa alternativa,Альтернативная награда,ยืนยันรางวัลสำรอง,Alternatif Ödül Onayı,Xác nhận phần thưởng thay thế
TID_RANK_UP_REWARD_REPLACED_PIN,Since you already have this Pin you will get the alternative reward.,بما أنك تملك هذا التعبير بالفعل، فستحصل على مكافأة بديلة.,由于您已拥有这款表情，您将获得替代奖励。,由於你已擁有這款表情，你將獲得替代獎勵。,Du hast diesen Pin bereits freigeschaltet. Daher bekommst du die alternative Belohnung.,"Como ya tienes esta reacción, recibirás otra recompensa en su lugar.","Koska sinulla on jo tämä merkki, sinulle annetaan vaihtoehtoinen palkinto.",Vous avez déjà cette émote. Vous recevrez une autre récompense.,"כיוון שכבר יש לך סיכה כזאת, ניתן לך את הפרס החלופי.","Karena kamu sudah memiliki Pin ini, kamu akan mendapatkan hadiah alternatif.","Possiedi già questa reazione, quindi riceverai il premio alternativo.",すでにこのピンズを所有しているため代替報酬を受け取ります。,해당 핀을 보유하여 대체 보상이 지급됩니다.,"Memandangkan anda telah memiliki pin ini, anda akan dapat ganjaran lain.","Aangezien je deze reactie al hebt, krijg je een alternatieve beloning.","Otrzymasz inną nagrodę, ponieważ masz już tę odznakę.","Como já tem essa reação, você ganhará a recompensa alternativa.","У тебя уже есть этот значок, поэтому ты получишь альтернативную награду.",เนื่องจากคุณมีอีโมจินี้อยู่แล้ว คุณจะได้รับรางวัลสำรองแทน,Bu rozet sende zaten olduğundan alternatif ödülü alacaksın.,Vì bạn đã có Huy hiệu này rồi nên bạn sẽ nhận được phần thưởng thay thế.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"None of your Brawlers can receive <AMOUNT> power points, and you have reached the maximum amount of power points.\n\nClaim the alternative reward instead?",لا يمكن لأي بطل من الأبطال أن يتلقى <AMOUNT> من نقاط القوة، وقد وصلت إلى الحد الأقصى من نقاط القوة.\n\nأتريد المطالبة بالمكافأة البديلة بدلاً من ذلك؟,没有英雄可接收<AMOUNT>战力能量，且您的战力能量已达上限。\n\n是否领取替代奖励？,沒有英雄可接收<AMOUNT>能量點數，且你的能量點數已達上限。\n\n是否領取替代獎勵？,Keiner deiner Brawler kann <AMOUNT> Powerpunkte erhalten und du hast das Maximum an Powerpunkten erreicht.\n\nMöchtest du stattdessen die alternative Belohnung einfordern?,"Ninguno de tus brawlers puede recibir <AMOUNT> puntos de fuerza, y ya has alcanzado el máximo.\n\n¿Quieres reclamar otra recompensa en su lugar?","Yksikään rämäpäistäsi ei voi saada <AMOUNT> tehopistettä, ja sinulla jo enimmäismäärä tehopisteitä.\n\nHaluatko lunastaa vaihtoehtoisen palkinnon?","Vous avez atteint le maximum de points de pouvoir, et aucun de vos brawlers ne peut en recevoir <AMOUNT>.\n\nRécupérer la récompense alternative ?","אף אחד מהבראולרים שלך לא יכול לקבל <AMOUNT> נקודות כוח, כי הגעת לכמות המקסימלית.\n\nרוצה לקבל פרס חלופי במקום?",Tidak ada Jagoan yang dapat menerima <AMOUNT> Poin Kekuatan dan Poin Kekuatan yang dimiliki telah mencapai batas maksimum.\n\nKlaim hadiah alternatif?,Hai raggiunto il limite massimo di punti energia a disposizione e nessuno dei tuoi brawler può riceverne <AMOUNT>.\n\nPreferisci ritirare il premio alternativo?,パワーポイントの所持数が上限に達しており、<AMOUNT>パワーポイントを受け取れるキャラクターもいません。\n\n代替報酬を受け取りますか？,"<AMOUNT> PP를 받을 수 있는 브롤러가 없고, PP 한도에 도달하셨습니다.\n\n대체 보상이 지급됩니다.",Tiada brawler anda yang boleh menerima <AMOUNT> mata kuasa dan anda telah mencapai bilangan had mata kuasa.\n\nTerima ganjaran lain?,Je bezit geen knokker die <AMOUNT> krachtpunten kan ontvangen en hebt het maximale aantal krachtpunten bereikt.\n\nWil je de alternatieve beloning ophalen?,Żaden z twoich Zadymiarzy nie może otrzymać <AMOUNT> pkt mocy i osiągnięto maksymalną liczbę punktów mocy.\n\nOdebrać zamiast tego alternatywną nagrodę?,"Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder, e você chegou à quantidade máxima de pontos de poder.\n\nDeseja resgatar a recompensa alternativa?","Достигнуто максимальное количество очков силы, и ни один из твоих бойцов не может получить <AMOUNT> очк. силы.\n\nЗабрать альтернативную награду?",ไม่มีบรอว์เลอร์ตัวไหนสามารถรับค่าพลัง <AMOUNT> แต้มได้ และคุณได้มาถึงขีดจำกัดสูงสุดของค่าพลังแล้ว\n\nคุณอยากรับรางวัลอื่นแทนหรือไม่?,<AMOUNT> güç puanı alabilecek savaşçın yok ve maksimum güç puanı limitine ulaştın.\n\nAlternatif ödülü almak ister misin?,"Không có Chiến binh Brawl nào của bạn có thể nhận <AMOUNT> điểm sức mạnh, và bạn đã đạt số điểm sức mạnh tối đa.\n\nBạn có muốn nhận phần thưởng khác không?"
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler already at maximum Power Level!,بلغ هذا البطل مستوى القوة الأقصى!,英雄已达到最高战力等级！,英雄已達到最高戰力等級！,Brawler ist schon auf dem höchsten Powerlevel!,¡Este brawler ya ha alcanzado el nivel máximo de fuerza!,Rämäpää on jo korkeimmalla tehotasolla!,Brawler au niveau de pouvoir maximum,הבראולר הגיע לרמת כוח מקסימלית!,Level Kekuatan Jagoan sudah maksimal!,Brawler già al livello massimo!,キャラクターのパワーレベルはすでに最大です！,브롤러가 이미 최대 파워 레벨입니다!,Brawler sudah berada pada tahap kuasa maksimum!,Knokker al op maximumlevel!,Zadymiarz osiągnął już maksymalny poziom mocy!,O Brawler já atingiu o nível de poder máximo!,Боец достиг максимального уровня силы!,บรอว์เลอร์ถึงเลเวลพลังสูงสุดแล้ว!,Savaşçı zaten maksimum seviyede!,Chiến binh Brawl đã đạt Cấp Sức mạnh tối đa!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Please wait before sending another report,الرجاء الانتظار قبل إرسال بلاغ آخر,请稍后再进行举报,請稍後再進行檢舉,"Warte bitte, bevor du eine weitere Meldung schickst.",Espera antes de enviar otra denuncia.,Odota ennen uuden ilmiannon lähettämistä.,Veuillez patienter avant d'envoyer un nouveau signalement.,נא להמתין לפני שליחת דוח נוסף,Harap tunggu sebelum mengirimkan laporan lain,Aspetta prima di inviare una nuova segnalazione,次の報告を行えるようになるまで、しばらくお待ちください,신고 접수가 다시 가능해질 때까지 기다려 주세요!,Sila tunggu sebelum menghantar laporan lain,Wacht voordat je een ander rapport verstuurt.,"Zanim wyślesz kolejne zgłoszenie, musisz trochę odczekać",Aguarde antes de enviar outra denúncia.,"Подожди, прежде чем отправлять новую жалобу.",โปรดรอก่อนส่งรายงานอีกครั้ง,Başka şikayette bulunmadan önce beklemelisin.,Hãy chờ trước khi có thể gửi thêm báo cáo
TID_UNDERTAKER_ULTI_DESC,Mortis calls forth a swarm of vampire bats that drain the health of enemy Brawlers while restoring his. Creepy!,يستدعي مورتيس سربًا من الخفافيش مصاصة الدماء التي تستنزف صحة الأبطال الأعداء لتمده بها. يا للهول!,莫提斯召唤出一群蝙蝠，它们伤害敌方英雄的同时也能为莫提斯恢复生命值，太恐怖了！,莫提斯召喚出一群蝙蝠，牠們在傷害敵方英雄的同時也會為莫提斯恢復生命值，太恐怖了！,"Mortis ruft einen Schwarm blutsaugender Fledermäuse herbei, die Trefferpunkte gegnerischer Brawler stehlen und ihn heilen. Gruselig!",Mortis invoca a una bandada de murciélagos vampiro que absorben la salud de los brawlers enemigos y se la traspasan a él. ¡Es espeluznante!,"Mortis kutsuu paikalle parven vampyyrilepakoita, jotka imevät vastustajarämäpäiltä elinvoimaa ja palauttavat hänen omansa. Karmeaa!",Mortis appelle des chauve-souris vampires qui drainent les brawlers ennemis de leurs points de santé et restaurent les siens. Comme c'est charmant !,מורטיס מזמן נחיל ערפדים שמנקזים את בריאותם של בראולרים אויבים תוך שהוא משקם את בריאותו שלו. מצמרר!,Mortis memanggil kawanan kelelawar vampir yang akan mengisap kesehatan Jagoan lawan untuk menyembuhkan dirinya. Seram!,"Mortis chiama a sé uno stormo di pipistrelli che, succhiando la salute dei brawler nemici, curano quella del loro padrone. Disgustoso...",吸血コウモリの群れを召喚し、吸い取った敵のHPを自らのHPとして取り込む。なんとも不気味である...,흡혈박쥐 떼를 불러내서 적 브롤러의 HP를 흡수해 자신의 HP를 회복합니다. 으스스하네요!,Mortis menyeru sekerumun kelawar pontianak yang menghisap nilai nyawa brawler musuh dan pada masa yang sama memulihkan nilai nyawa dirinya. Seramnya!,Mortis roept een zwerm vampiervleermuizen op die de gezondheid van vijandelijke knokkers aftappen terwijl ze de zijne herstellen. Eng hoor!,"Mortis przyzywa stado wampirycznych nietoperzy, które wysysają życie z Zadymiarzy przeciwnika i leczą swojego pana. Przerażające!","Com uma ajudinha de morcegos-vampiros, Mortis suga a saúde de Brawlers inimigos para restaurar a sua própria. Que nojo!","Мортис призывает летучих мышей-вампиров, которые высасывают здоровье у вражеских бойцов и восстанавливают его собственное. Бр-р!",มอร์ติสเรียกฝูงค้างคาวแวมไพร์ที่ดูดพลังชีวิตของ\nบรอว์เลอร์ศัตรูมาฟื้นคืนพลังชีวิตให้กับตนเอง สยอง!,"Mortis, düşman savaşçıların sağlığını emen ve kendi sağlığını artıran bir vampir yarasa sürüsü çağırır. Tüyler ürpertici!",Mortis triệu hồi một bầy dơi cà rồng có khả năng hút cạn máu của các Chiến binh Brawl đối thủ và phục hồi máu cho y. Thật đáng sợ!
TID_TURRET_DAMAGE,Turret Damage,ضرر البرج,炮台伤害,炮台傷害,Geschützturmschaden,Daño de la torreta,Tykkitornin tuhovoima,Dégâts de la tourelle,נזק צריח,Kerusakan Turet,Danni torretta,タレットのダメージ,터렛 피해량,kerosakan turet,Geschutschade,Obrażenia działka,Dano da torreta,Урон турели,พลังโจมตีของป้อมปืน,Taret Hasarı,Sát thương Trụ súng
TID_TURRET_HEALTH,Turret Health,صحة البرج,炮台生命值,炮台生命值,Geschützturm-Trefferpunkte,Salud de la torreta,Tykkitornin elinvoima,Santé de la tourelle,חיי צריח,Kesehatan Turet,Salute torretta,タレットのHP,터렛 HP,Nilai nyawa turet,Geschutgezondheid,Punkty życia działka,Saúde da torreta,Здоровье турели,พลังชีวิตป้อมปืน,Taret Sağlığı,Máu Trụ súng
TID_STAT_HEALTH,Hit points,نقاط الصمود,生命值,生命值,Trefferpunkte,Puntos de vida,Osumapisteet,Points de santé,נקודות פגיעה,Poin Kesehatan,Punti salute,HP,HP,nilai nyawa,Levenspunten,Punkty zdrowia,Pontos de vida,Здоровье,พลังชีวิต,Sağlık,Máu
TID_TEAM_ERROR_29,Invite failed. Player is already in a team,فشلت الدعوة. اللاعب في فريق بالفعل.,邀请失败，玩家已加入其他小队。,邀請失敗，玩家已在其他小隊中。,Einladung fehlgeschlagen. Spieler ist bereits in einem Team.,No se puede enviar la invitación porque el jugador ya pertenece a un equipo.,Kutsu epäonnistui. Pelaaja on jo joukkueessa.,Échec de l'invitation. Ce joueur est déjà dans une équipe.,ההזמנה נכשלה. השחקן כבר בקבוצה,Gagal mengundang. Pemain sudah ada dalam tim.,Errore nella richiesta. Il giocatore è già in una squadra.,このプレイヤーは、すでにチームに参加しているため招待できません。,초대 실패: 이미 다른 팀에 참가한 플레이어입니다.,Jemputan gagal. Pemain telah ada pasukan,Uitnodigen mislukt. Speler zit al in een team.,Zaproszenie nieudane. Gracz jest już w drużynie,Falha ao convidar. O jogador já está em uma equipe.,Пригласить не удалось. Игрок уже в команде.,การเชิญล้มเหลว ผู้เล่นอยู่ในทีมอยู่แล้ว,Davet edilemedi. Oyuncu zaten bir takımda.,Không gửi được lời mời. Người chơi đã gia nhập một đội rồi
TID_TEAM_ERROR_122,This Brawler is banned from the match,هذا البطل محظور في هذه المواجهة,该英雄已被禁用,該英雄已被禁用,Dieser Brawler ist in diesem Match gesperrt.,No se puede usar este brawler en la partida.,Tämä rämäpää on estetty tässä ottelussa.,Ce brawler est banni pour la partie.,הבראולר הזה נחסם מהמשחק,Jagoan ini tidak dapat digunakan dalam Laga,Non puoi utilizzare questo brawler in battaglia.,この試合では使用できないキャラクターです,해당 매치에서 금지된 브롤러입니다.,Brawler ini dilarang daripada perlawanan.,Deze knokker is uitgesloten van het gevecht.,Ten Zadymiarz nie jest dopuszczony do meczu,Este Brawler não pode jogar a partida.,На этого бойца наложен запрет.,บรอว์เลอร์นี้ถูกแบนจากแมตช์,Bu savaşçı bu maçta kullanılamaz.,Chiến binh Brawl này bị cấm tham gia trận đấu
