"Name","Disabled","DisabledCN","LegacyExpLevelLimit","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName","SortOrder","IsReward","IsAvailableForOffers","LockedForChronos","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","CatalogPreRequirementSkin","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogMainCategory"
"rank01","","","0","0","","sc/ui.sc","player_icon_starrforce_01","1000","true","","","","","","","","","",""
"rank02","","","0","0","","sc/ui.sc","player_icon_starrforce_02","1001","true","","","","","","","","","",""
"hero45","","","0","0","Roller","sc/ui.sc","player_icon_stu","112","","","","","","","","","","",""
"rank03","","","0","0","","sc/ui.sc","player_icon_actionshow_01","1002","true","","","","","","","","","",""
"rank04","","","0","0","","sc/ui.sc","player_icon_actionshow_02","1003","true","","","","","","","","","",""
"hero46","","","0","0","ElectroSniper","sc/ui.sc","player_icon_belle","706","","","","","","","","","","",""
"hero47","","","0","0","StickyBomb","sc/ui.sc","player_icon_squeak","508","","","","","","","","","","",""
"hero48","","","0","0","RopeDude","sc/ui.sc","player_icon_buzz","707","","","","","","","","","","",""
"hero49","","","0","0","AssaultShotgun","sc/ui.sc","player_icon_griff","408","","","","","","","","","","",""
"rank05","","","0","0","","sc/ui.sc","player_icon_velocirapids_01","1004","true","","","","","","","","","",""
"rank06","","","0","0","","sc/ui.sc","player_icon_velocirapids_02","1005","true","","","","","","","","","",""
"hero50","","","0","0","Knight","sc/ui.sc","player_icon_ash","708","","","","","","","","","","",""
"rank07","","","0","0","","sc/ui.sc","player_icon_ft_01","1006","true","","","","","","","","","",""
"rank08","","","0","0","","sc/ui.sc","player_icon_ft_02","1007","true","","","","","","","","","",""
"hero51","","","0","0","MechaDude","sc/ui.sc","player_icon_meg","606","","","","","","","","","","",""
"hero52","","","0","0","Duplicator","sc/ui.sc","player_icon_lolla","709","","","","","","","","","","",""
"rank09","","","0","0","","sc/ui.sc","player_icon_bw_01","1008","true","","","","","","","","","",""
"rank10","","","0","0","","sc/ui.sc","player_icon_bw_02","1009","true","","","","","","","","","",""
"rank11","","","0","0","","sc/ui.sc","player_icon_lny2022_01","1010","true","","","","","","","","","",""
"rank12","","","0","0","","sc/ui.sc","player_icon_lny2022_02","1011","true","","","","","","","","","",""
"hero53","","","0","0","CrossBomber","sc/ui.sc","player_icon_grom","409","","","","","","","","","","",""
"hero54","","","0","0","KickerDude","sc/ui.sc","player_icon_fang","710","","","","","","","","","","",""
"hero55","","","0","0","Flea","sc/ui.sc","player_icon_eve","711","","","","","","","","","","",""
"rank13","","","0","0","","sc/ui.sc","player_icon_biodome_01","1012","true","","","","","","","","","",""
"rank14","","","0","0","","sc/ui.sc","player_icon_biodome_02","1013","true","","","","","","","","","",""
"hero56","","","0","0","JetpackGirl","sc/ui.sc","player_icon_janet","712","","","","","","","","","","",""
"hero57","","","0","0","CannonGirl","sc/ui.sc","player_icon_bonnie","410","","","","","","","","","","",""
"rank15","","","0","0","","sc/ui.sc","player_icon_stuntshow_01","1014","true","","","","","","","","","",""
"rank16","","","0","0","","sc/ui.sc","player_icon_stuntshow_02","1015","true","","","","","","","","","",""
"player_icon_tick1","","","0","0","","sc/ui.sc","player_icon_tick1","2001","true","","","","","","","","","",""
"player_icon_stu1","","","0","0","","sc/ui.sc","player_icon_stu1","2002","true","","","","","","","","","",""
"player_icon_shelly1","","","0","0","","sc/ui.sc","player_icon_shelly1","2003","true","","","","","","","","","",""
"player_icon_nita1","","","0","0","","sc/ui.sc","player_icon_nita1","2004","true","","","","","","","","","",""
"player_icon_jessie1","","","0","0","","sc/ui.sc","player_icon_jessie1","2005","true","","","","","","","","","",""
"player_icon_emz1","","","0","0","","sc/ui.sc","player_icon_emz1","2006","true","","","","","","","","","",""
"player_icon_dynamike1","","","0","0","","sc/ui.sc","player_icon_dynamike1","2007","true","","","","","","","","","",""
"player_icon_colt1","","","0","0","","sc/ui.sc","player_icon_colt1","2008","true","","","","","","","","","",""
"player_icon_bull1","","","0","0","","sc/ui.sc","player_icon_bull1","2009","true","","","","","","","","","",""
"player_icon_brock1","","","0","0","","sc/ui.sc","player_icon_brock1","2010","true","","","","","","","","","",""
"player_icon_bo1","","","0","0","","sc/ui.sc","player_icon_bo1","2011","true","","","","","","","","","",""
"player_icon_8bit1","","","0","0","","sc/ui.sc","player_icon_8bit1","2012","true","","","","","","","","","",""
"player_icon_villains","","","0","0","","sc/ui.sc","player_icon_villains","3001","","true","","750","19","","","","","",""
"player_icon_stuntshow","","","0","0","","sc/ui.sc","player_icon_stuntshow","3002","","true","","750","19","","","","","",""
"player_icon_lantern","","","0","0","","sc/ui.sc","player_icon_lantern","3003","","true","","750","19","","","","","",""
"player_icon_goldenweek","","","0","0","","sc/ui.sc","player_icon_goldenweek","3004","","true","","750","19","","","","","",""
"hero58","","","0","0","Silencer","sc/ui.sc","player_icon_otis","713","","","","","","","","","","",""
"rank17","","","0","0","","sc/ui.sc","player_icon_deepsea_01","1016","true","","","","","","","","","",""
"rank18","","","0","0","","sc/ui.sc","player_icon_deepsea_02","1017","true","","","","","","","","","",""
"player_icon_ruffs_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_ruffs_bt21","4001","","true","","","19","","","RuffsChimmy","","",""
"player_icon_bull_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_bull_bt21","4002","","true","","","19","","","BullDudeMang","","",""
"player_icon_bibi_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_bibi_bt21","4003","","true","","","19","","","BaseballRj","","",""
"player_icon_edgar_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_edgar_bt21","4004","","true","","","19","","","EnragerTata","","",""
"player_icon_sandy_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_sandy_bt21","4005","","true","","","19","","","SandstormKoya","","",""
"player_icon_tick_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_tick_bt21","4006","","true","","","19","","","ClusterBombDudeShooky","","",""
"player_icon_jacky_bt21","","TRUE","0","0","","sc/ui.sc","player_icon_jacky_bt21","4007","","true","","","19","","","DrillerCooky","","",""
"player_icon_deepsea","","","0","0","","sc/ui.sc","player_icon_deepsea","3005","","true","","750","19","","","","","",""
"player_icon_primo1","","","0","0","","sc/ui.sc","player_icon_primo1","2013","true","","","","","","","","","",""
"player_icon_barley1","","","0","0","","sc/ui.sc","player_icon_barley1","2014","true","","","","","","","","","",""
"player_icon_rosa1","","","0","0","","sc/ui.sc","player_icon_rosa1","2015","true","","","","","","","","","",""
"player_icon_poco1","","","0","0","","sc/ui.sc","player_icon_poco1","2016","true","","","","","","","","","",""
"player_icon_darryl1","","","0","0","","sc/ui.sc","player_icon_darryl1","2017","true","","","","","","","","","",""
"player_icon_penny1","","","0","0","","sc/ui.sc","player_icon_penny1","2018","true","","","","","","","","","",""
"player_icon_carl1","","","0","0","","sc/ui.sc","player_icon_carl1","2019","true","","","","","","","","","",""
"player_icon_rico1","","","0","0","","sc/ui.sc","player_icon_rico1","2020","true","","","","","","","","","",""
"player_icon_jacky1","","","0","0","","sc/ui.sc","player_icon_jacky1","2020","true","","","","","","","","","",""
"player_icon_badrandoms","","","0","0","","sc/ui.sc","player_icon_badrandoms","3006","","true","","750","19","","","","","",""
"player_icon_pirates","","","0","0","","sc/ui.sc","player_icon_pirates","3007","","true","","750","19","","","","","",""
"rank19","","","0","0","","sc/ui.sc","player_icon_lola_outlaw_01","1018","true","","","","","","","","","",""
"rank20","","","0","0","","sc/ui.sc","player_icon_lola_outlaw_02","1019","true","","","","","","","","","",""
"player_icon_mortis_mecha","","","0","0","","sc/ui.sc","player_icon_mortis_mecha","4008","","true","","750","19","","","UndertakerMecha","","",""
"player_icon_outlaw","","","0","0","","sc/ui.sc","player_icon_outlaw","3008","","true","","750","19","","","","","",""
"player_icon_esports_intz","","","0","0","","sc/ui.sc","player_icon_esports_intz","5001","","true","TRUE","750","19","TRUE","","","","WF_2020",""
"player_icon_esports_navi","","","0","0","","sc/ui.sc","player_icon_esports_navi","5002","","true","","","19","","","","","WF_2020",""
"player_icon_esports_obey","","","0","0","","sc/ui.sc","player_icon_esports_obey","5003","","true","TRUE","750","19","TRUE","","","","WF_2020",""
"player_icon_esports_qlash","","","0","0","","sc/ui.sc","player_icon_esports_qlash","5004","","true","","","19","","","","","WF_2020",""
"player_icon_esports_sk","","","0","0","","sc/ui.sc","player_icon_esports_sk","5005","","true","","","19","","","","","WF_2020",""
"player_icon_esports_stmn","","","0","0","","sc/ui.sc","player_icon_esports_stmn","5006","","true","","","19","","","","","WF_2020",""
"player_icon_esports_tq","","","0","0","","sc/ui.sc","player_icon_esports_tq","5007","","true","","","19","","","","","WF_2020",""
"player_icon_esports_tribe","","","0","0","","sc/ui.sc","player_icon_esports_tribe","5008","","true","","","19","","","","","WF_2020",""
"player_icon_esports_zeta","","","0","0","","sc/ui.sc","player_icon_esports_zeta","5009","","true","","","19","","","","","WF_2020",""
"player_icon_esports_totem","","","0","0","","sc/ui.sc","player_icon_esports_totem","5010","","true","","","19","","","","","WF_2020",""
"player_icon_mecha","","","0","0","","sc/ui.sc","player_icon_mecha","3009","","true","","750","19","","","","","",""
"player_icon_robot_colt","","","0","0","","sc/ui.sc","player_icon_robot_colt","3010","","true","","750","19","","","","","",""
"player_icon_robots_1","","","0","0","","sc/ui.sc","player_icon_robots_1","3011","","true","","750","19","","","","","",""
"player_icon_robots_2","","","0","0","","sc/ui.sc","player_icon_robots_2","3012","","true","","750","19","","","","","",""
"player_icon_robots_3","","","0","0","","sc/ui.sc","player_icon_robots_3","3013","","true","","750","19","","","","","",""
"player_icon_robots_4","","","0","0","","sc/ui.sc","player_icon_robots_4","3014","","true","","750","19","","","","","",""
"player_icon_claw","","","0","0","","sc/ui.sc","player_icon_claw","3015","","true","","750","19","","","","","",""
"player_icon_defeat_them_all","","","0","0","","sc/ui.sc","player_icon_defeat_them_all","3016","","true","","750","19","","","","","",""
"hero59","","","0","0","WeaponThrower","sc/ui.sc","player_icon_bronson","714","","","","","","","","","","",""
"hero60","","","0","0","SoulCollector","sc/ui.sc","player_icon_gus","306","","","","","","","","","","",""
"player_icon_leon_ghost","","","0","0","","sc/ui.sc","player_icon_leon_ghost","4009","","true","","750","19","","","NinjaGhost","","",""
"player_icon_squeak_veteran1","","","0","0","","sc/ui.sc","player_icon_squeak_veteran1","4010","","true","","750","19","","","StickyBombVeteran","","",""
"player_icon_squeak_veteran2","","","0","0","","sc/ui.sc","player_icon_squeak_veteran2","4011","","true","","750","19","","","StickyBombVeteran","","",""
"rank21","","","0","0","","sc/ui.sc","player_icon_colette_ghost1","1020","true","","","","","","","","","",""
"rank22","","","0","0","","sc/ui.sc","player_icon_colette_ghost2","1021","true","","","","","","","","","",""
"player_icon_bscwf","","","0","0","","sc/ui.sc","player_icon_bscwf","5000","","true","","750","19","","","","","",""
"player_icon_lastbox","","","0","0","","sc/ui.sc","player_icon_lastbox","3017","","true","TRUE","","","","","","","",""
"player_icon_ghosttrain","","","0","0","","sc/ui.sc","player_icon_ghosttrain","3018","","true","","750","19","","","","","",""
"player_icon_action","","","0","0","","sc/ui.sc","player_icon_action","3019","","true","","750","19","","","","","",""
"hero61","","","0","0","ShieldTank","sc/ui.sc","player_icon_buster","715","","","","","","","","","","",""
"player_icon_brawlball","","","0","0","","sc/ui.sc","player_icon_brawlball","3020","","true","","750","19","","","","","",""
"rank23","","","0","0","","sc/ui.sc","player_icon_ash_pl1","1022","true","","","","","","","","","",""
"rank24","","","0","0","","sc/ui.sc","player_icon_ash_pl2","1023","true","","","","","","","","","",""
"player_icon_holidaybox","","","0","0","","sc/ui.sc","player_icon_holidaybox","3020","","true","TRUE","","","","","","","",""
"player_icon_candyland_skull","","","0","0","","sc/ui.sc","player_icon_candyland_skull","3021","","true","","750","19","","","","","",""
"player_icon_candyland","","","0","0","","sc/ui.sc","player_icon_candyland","3022","","true","TRUE","","","","","","","",""
"player_icon_brawlentines","","","0","0","","sc/ui.sc","player_icon_brawlentines","3023","","true","","750","19","","","","","",""
"player_icon_darkmas","","","0","0","","sc/ui.sc","player_icon_darkmas","3024","","true","","750","19","","","","","",""
"player_icon_lny2023","","","0","0","","sc/ui.sc","player_icon_lny2023","3025","","true","","750","19","","","","","",""
"player_icon_anniversary1","","TRUE","0","0","","sc/ui.sc","player_icon_anniversary1","3026","","true","TRUE","","","","","","","",""
"player_icon_anniversary2","","TRUE","0","0","","sc/ui.sc","player_icon_anniversary2","3027","","true","TRUE","","","","","","","",""
"player_icon_anniversary3","","TRUE","0","0","","sc/ui.sc","player_icon_anniversary3","3028","","true","TRUE","","","","","","","",""
"player_icon_anniversary4","","TRUE","0","0","","sc/ui.sc","player_icon_anniversary4","3029","","true","TRUE","","","","","","","",""
"player_icon_brawlidays1","","","0","0","","sc/ui.sc","player_icon_brawlidays1","3030","","true","","750","19","","","","","",""
"player_icon_brawlidays2","","","0","0","","sc/ui.sc","player_icon_brawlidays2","3031","","true","","750","19","","","","","",""
"player_icon_brawlidays3","","","0","0","","sc/ui.sc","player_icon_brawlidays3","3032","","true","","750","19","","","","","",""
"player_icon_brawlidays4","","","0","0","","sc/ui.sc","player_icon_brawlidays4","3033","","true","","750","19","","","","","",""
"player_icon_brawlidays5","","","0","0","","sc/ui.sc","player_icon_brawlidays5","3034","","true","","750","19","","","","","",""
"player_icon_brawlidays6","","","0","0","","sc/ui.sc","player_icon_brawlidays6","3035","","true","","750","19","","","","","",""
"player_icon_lny1","","","0","0","","sc/ui.sc","player_icon_lny1","3036","","true","","750","19","","","","","",""
"player_icon_lny2","","","0","0","","sc/ui.sc","player_icon_lny2","3037","","true","","750","19","","","","","",""
"player_icon_lny3","","","0","0","","sc/ui.sc","player_icon_lny3","3038","","true","","750","19","","","","","",""
"hero62","","","0","0","DoorMan","sc/ui.sc","player_icon_gray","509","","","","","","","","","","",""
"hero63","","","0","0","Beamer","sc/ui.sc","player_icon_mandy","716","","","","","","","","","","",""
"hero64","","","0","0","Jester","sc/ui.sc","player_icon_chester","607","","","","","","","","","","",""
"player_icon_creators","","","0","0","","sc/ui.sc","player_icon_creators","3039","","true","TRUE","","","","","","","",""
"player_icon_edgar1","","","0","0","","sc/ui.sc","player_icon_edgar1","2021","true","","","","","","","","","",""
"player_icon_bea1","","","0","0","","sc/ui.sc","player_icon_bea1","2022","true","","","","","","","","","",""
"player_icon_bibi1","","","0","0","","sc/ui.sc","player_icon_bibi1","2023","true","","","","","","","","","",""
"player_icon_bonnie1","","","0","0","","sc/ui.sc","player_icon_bonnie1","2024","true","","","","","","","","","",""
"player_icon_frank1","","","0","0","","sc/ui.sc","player_icon_frank1","2025","true","","","","","","","","","",""
"player_icon_griff1","","","0","0","","sc/ui.sc","player_icon_griff1","2026","true","","","","","","","","","",""
"player_icon_grom1","","","0","0","","sc/ui.sc","player_icon_grom1","2027","true","","","","","","","","","",""
"player_icon_nani1","","","0","0","","sc/ui.sc","player_icon_nani1","2028","true","","","","","","","","","",""
"player_icon_pam1","","","0","0","","sc/ui.sc","player_icon_pam1","2029","true","","","","","","","","","",""
"player_icon_piper1","","","0","0","","sc/ui.sc","player_icon_piper1","2030","true","","","","","","","","","",""
"player_icon_byron1","","","0","0","","sc/ui.sc","player_icon_byron1","2031","true","","","","","","","","","",""
"player_icon_gene1","","","0","0","","sc/ui.sc","player_icon_gene1","2032","true","","","","","","","","","",""
"player_icon_mrp1","","","0","0","","sc/ui.sc","player_icon_mrp1","2033","true","","","","","","","","","",""
"player_icon_tara1","","","0","0","","sc/ui.sc","player_icon_tara1","2034","true","","","","","","","","","",""
"player_icon_squeak1","","","0","0","","sc/ui.sc","player_icon_squeak1","2035","true","","","","","","","","","",""
"player_icon_max1","","","0","0","","sc/ui.sc","player_icon_max1","2036","true","","","","","","","","","",""
"player_icon_leon1","","","0","0","","sc/ui.sc","player_icon_leon1","2037","true","","","","","","","","","",""
"player_icon_meg1","","","0","0","","sc/ui.sc","player_icon_meg1","2039","true","","","","","","","","","",""
"player_icon_crow1","","","0","0","","sc/ui.sc","player_icon_crow1","2040","true","","","","","","","","","",""
"player_icon_spike1","","","0","0","","sc/ui.sc","player_icon_spike1","2041","true","","","","","","","","","",""
"player_icon_mortis1","","","0","0","","sc/ui.sc","player_icon_mortis1","2042","true","","","","","","","","","",""
"player_icon_amber1","","","0","0","","sc/ui.sc","player_icon_amber1","2043","true","","","","","","","","","",""
"player_icon_gale1","","","0","0","","sc/ui.sc","player_icon_gale1","2044","true","","","","","","","","","",""
"player_icon_colette1","","","0","0","","sc/ui.sc","player_icon_colette1","2046","true","","","","","","","","","",""
"player_icon_surge1","","","0","0","","sc/ui.sc","player_icon_surge1","2047","true","","","","","","","","","",""
"player_icon_sandy1","","","0","0","","sc/ui.sc","player_icon_sandy1","2045","true","","","","","","","","","",""
"player_icon_sprout1","","","0","0","","sc/ui.sc","player_icon_sprout1","2038","true","","","","","","","","","",""
"player_icon_ruffs1","","","0","0","","sc/ui.sc","player_icon_ruffs1","2048","true","","","","","","","","","",""
"player_icon_belle1","","","0","0","","sc/ui.sc","player_icon_belle1","2049","true","","","","","","","","","",""
"player_icon_otis1","","","0","0","","sc/ui.sc","player_icon_otis1","2050","true","","","","","","","","","",""
"player_icon_janet1","","","0","0","","sc/ui.sc","player_icon_janet1","2051","true","","","","","","","","","",""
"player_icon_carpet_carl","","","0","0","","sc/ui.sc","player_icon_carpet_carl","3040","","true","","750","19","","","WhirlwindRamadan","","",""
"player_icon_popstar_janet","","","0","0","","sc/ui.sc","player_icon_popstar_janet","3041","","true","","750","19","","","JetpackGirlPopstar","","",""
"player_icon_easter_nani","","","0","0","","sc/ui.sc","player_icon_easter_nani","3042","","true","","750","19","","","ControllerEaster","","",""
"rank25","","","0","0","","sc/ui.sc","player_icon_piper_pl1","1024","true","","","","","","","","","",""
"rank26","","","0","0","","sc/ui.sc","player_icon_piper_pl2","1025","true","","","","","","","","","",""
"player_icon_mask_dynamike","","","0","0","","sc/ui.sc","player_icon_mask_dynamike","3043","","true","","750","19","","","TntDudeTengu","","",""
"player_icon_mask_lola","","","0","0","","sc/ui.sc","player_icon_mask_lola","3044","","true","","750","19","","","DuplicatorKitsune","","",""
"player_icon_mask_otis","","","0","0","","sc/ui.sc","player_icon_mask_otis","3045","","true","","750","19","","","SilencerOni","","",""
"player_icon_masks","","","0","0","","sc/ui.sc","player_icon_masks","3046","","true","","750","19","","","","","",""
"player_icon_biodome","","","0","0","","sc/ui.sc","player_icon_biodome","3047","","true","","750","19","","","","","",""
"player_icon_womenday","","","0","0","","sc/ui.sc","player_icon_womenday","3048","","true","","750","19","","","","","",""
"player_icon_starr","","","0","0","","sc/ui.sc","player_icon_starr","3049","","true","","750","19","","","","","",""
"player_icon_gray1","","","0","0","","sc/ui.sc","player_icon_gray1","2038","true","","","","","","","","","",""
"player_icon_buzz1","","","0","0","","sc/ui.sc","player_icon_buzz1","2052","true","","","","","","","","","",""
"player_icon_ash1","","","0","0","","sc/ui.sc","player_icon_ash1","2053","true","","","","","","","","","",""
"player_icon_fang1","","","0","0","","sc/ui.sc","player_icon_fang1","2054","true","","","","","","","","","",""
"player_icon_gus1","","","0","0","","sc/ui.sc","player_icon_gus1","2055","true","","","","","","","","","",""
"player_icon_willow1","","","0","0","","sc/ui.sc","player_icon_willow1","2056","true","","","","","","","","","",""
"player_icon_rt1","","","0","0","","sc/ui.sc","player_icon_rt1","2057","true","","","","","","","","","",""
"player_icon_chester1","","","0","0","","sc/ui.sc","player_icon_chester1","2058","true","","","","","","","","","",""
"player_icon_eve1","","","0","0","","sc/ui.sc","player_icon_eve1","2059","true","","","","","","","","","",""
"player_icon_lola1","","","0","0","","sc/ui.sc","player_icon_lola1","2060","true","","","","","","","","","",""
"player_icon_sam1","","","0","0","","sc/ui.sc","player_icon_sam1","2061","true","","","","","","","","","",""
"player_icon_lou1","","","0","0","","sc/ui.sc","player_icon_lou1","2062","true","","","","","","","","","",""
"player_icon_easter2023","","","0","0","","sc/ui.sc","player_icon_easter2023","3050","","true","","750","19","","","","","",""
"player_icon_buster1","","","0","0","","sc/ui.sc","player_icon_buster1","2063","true","","","","","","","","","",""
"player_icon_mandy1","","","0","0","","sc/ui.sc","player_icon_mandy1","2064","true","","","","","","","","","",""
"hero65","","","0","0","Splitter","sc/ui.sc","player_icon_artie","717","","","","","","","","","","",""
"hero66","","","0","0","Puppeteer","sc/ui.sc","player_icon_willow","510","","","","","","","","","","",""
"player_icon_bunny_brigade","","","0","0","","sc/ui.sc","player_icon_bunny_brigade","3051","","true","","750","19","","","","","",""
"player_icon_jungle","","","0","0","","sc/ui.sc","player_icon_jungle","3052","true","true","TRUE","750","19","","","","","",""
"player_icon_olympus","","","0","0","","sc/ui.sc","player_icon_olympus","3053","true","true","TRUE","750","19","","","","","",""
"player_icon_gw1","","","0","0","","sc/ui.sc","player_icon_gw1","3054","true","true","TRUE","750","19","","","","","",""
"player_icon_gw2","","","0","0","","sc/ui.sc","player_icon_gw2","3055","true","true","TRUE","750","19","","","","","",""
"player_icon_gw3","","","0","0","","sc/ui.sc","player_icon_gw3","3056","true","true","TRUE","750","19","","","","","",""
"player_icon_bp_jungle","","","0","0","","sc/ui.sc","player_icon_bp_jungle","3057","true","","","","","","","","","",""
"player_icon_colt_jungle","","","0","0","","sc/ui.sc","player_icon_colt_jungle","3058","true","true","TRUE","750","19","","","GunslingerMonkey","","",""
"player_icon_amazon_frog","","","0","0","","sc/ui.sc","player_icon_amazon_frog","3059","true","true","TRUE","750","19","","","","","",""
"player_icon_maisie1","","","0","0","","sc/ui.sc","player_icon_maisie1","2065","true","","","","","","","","","",""
