"Name","Disabled","TID","TileSetPrefix","BgPrefix","SWF","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","LargeMap","CommunityCredit"
"Tutorial",,,"mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_welcome","Tutorial",,0,0,100,60,,,
"BossFight1",,"TID_BOSS_1",,,"sc/canyon_level.sc",30,0,0,255,230,230,"sc/ui.sc","event_boss","BossFight","BossFight_1",0,66,66,60,,,
"Wanted8",,"TID_WANTED_8","oasis_",,"sc/oasis_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_8",0,66,66,60,,,
"Heist4",,"TID_BANKHEIST_4",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_4",100,0,0,60,,,
"Ball1",,"TID_BALL_1","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_1",0,66,66,60,,,
"Ball2",,"TID_BALL_2","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_2",0,66,66,60,,,
"Ball3",,"TID_BALL_3","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_3",0,66,66,60,,,
"Coop1",,"TID_COOP_1",,,"sc/canyon_level.sc",0,0,40,210,210,255,"sc/ui.sc","event_coop","Survival","Coop_1",100,0,0,60,,,
"SurvivalTeam1",,"TID_BATTLE_ROYALE_TEAM_1",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","SurvivalTeam_1",100,0,0,60,,,
"Coop2",,"TID_COOP_2",,,"sc/canyon_level.sc",0,0,40,210,210,255,"sc/ui.sc","event_coop","Survival","Coop_2",100,0,0,60,,,
"BossFight2",,"TID_BOSS_2","mine_",,"sc/mine_level.sc",30,0,0,255,230,230,"sc/ui.sc","event_boss","BossFight","BossFight_2",0,0,100,60,,,
"Gemgrab8","true","TID_GOLDRUSH_8",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","CoinRush","Gemgrab_8",0,0,100,60,,,
"Survival5",,"TID_BATTLE_ROYALE_5",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_5",100,0,0,60,,,"Mordeus"
"Survival6",,"TID_BATTLE_ROYALE_6",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_6",100,0,0,60,,,
"SurvivalTeam2",,"TID_BATTLE_ROYALE_1",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_1",100,0,0,60,,,
"SurvivalTeam3",,"TID_BATTLE_ROYALE_2",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_2",100,0,0,60,,,"OwenReds"
"SurvivalTeam4",,"TID_BATTLE_ROYALE_3",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_3",100,0,0,60,,,
"SurvivalTeam5",,"TID_BATTLE_ROYALE_4",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_4",100,0,0,60,,,
"SurvivalTeam6",,"TID_BATTLE_ROYALE_5",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_5",100,0,0,60,,,"Mordeus"
"GeneratedRobo",,"TID_COOP_GENERATED",,,"sc/canyon_level.sc",0,0,40,210,210,255,"sc/ui.sc","event_coop","Survival","GeneratedRobo",100,0,0,60,,,
"Gemgrab7",,"TID_GOLDRUSH_7","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_7",0,0,100,60,,,"Elatrock & Dragonhoff (pixelcrux.com admin)"
"Gemgrab10",,"TID_GOLDRUSH_10","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_10",0,0,100,60,,,"Lewinham"
"Heist5",,"TID_BANKHEIST_5",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_5",100,0,0,60,,,"Rushalisk"
"Survival7",,"TID_BATTLE_ROYALE_TEAM_1",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","SurvivalTeam_1",100,0,0,60,,,
"SurvivalTeam7",,"TID_BATTLE_ROYALE_6",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_6",100,0,0,60,,,
"Survival8",,"TID_BATTLE_ROYALE_8",,"survival_water_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_8",100,0,0,60,,,"Rushalisk"
"SurvivalTeam8",,"TID_BATTLE_ROYALE_8",,"survival_water_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_8",100,0,0,60,,,"Rushalisk"
"Heist6",,"TID_BANKHEIST_6",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_6",100,0,0,60,,,"Mordeus"
"Gemgrab11",,"TID_GOLDRUSH_11","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_11",0,0,100,60,,,"FatBubblyDragon"
"Heist7",,"TID_BANKHEIST_7",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_7",100,0,0,60,,,"Schmedricks"
"Ball4",,"TID_BALL_4","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_4",0,66,66,60,,,"Lex"
"Ball6",,"TID_BALL_6","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_6",0,66,66,60,,,"Mordeus"
"Ball7",,"TID_BALL_7","grassfield_",,"sc/grassfield_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_7",0,66,66,60,,,"Lewinham"
"Heist8",,"TID_BANKHEIST_8",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_8",100,0,0,60,,,"AlexEsteAdevarat "
"Wanted9",,"TID_WANTED_9","oasis_",,"sc/oasis_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_9",0,66,66,60,,,"thelucas2000 "
"Survival12",,"TID_BATTLE_ROYALE_12",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_12",100,0,0,60,,,"Tony_A9"
"SurvivalTeam12",,"TID_BATTLE_ROYALE_12",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_12",100,0,0,60,,,"Tony_A9"
