"CodeName","Group","Data","ConstructFromBlocks","MetaData"
111,,"............................................................",,
112,,"............................................................",,
113,,"............................................................",,
114,,"............................................................",,
115,,"...1....................................................1...",,
116,,"............................................................",,
117,,"............................................................",,
118,,"............................................................",,
119,,"............................................................",,
120,,"............................................................",,
121,,"............................................................",,
122,,"............................................................",,
123,,"......................1..............1......................",,
124,,"............................................................",,
125,,"............................................................",,
126,,"............................................................",,
127,"Template_Survival_2","............................................................",,
128,,"............................................................",,
129,,"............................................................",,
130,,"...........1................2.2..............1..............",,
131,,"............................................................",,
132,,"............................................................",,
133,,"............................................................",,
134,,"............................................................",,
135,,"............................................................",,
136,,"............................................................",,
137,,"............................................................",,
138,,"............................................................",,
139,,"............................................................",,
140,,"............................................................",,
141,,"............................................................",,
142,,"............................................................",,
143,,"............................................................",,
144,,"............................................................",,
145,,"...1....................................................1...",,
146,,"............................................................",,
147,,"............................................................",,
148,,"............................................................",,
149,,"............................................................",,
150,,"............................................................",,
151,,"............................................................",,
152,,"...2.2................................................2.2...",,
153,,"............................................................",,
154,,"............................................................",,
155,,"............................................................",,
156,,"............................................................",,
157,,"............................................................",,
158,,"............................................................",,
159,,"............................................................",,
160,,"............................................................",,
161,,"............................................................",,
162,,"............................................................",,
163,,"............................................................",,
164,,"...1....................................................1...",,
165,,"............................................................",,
166,,"............................................................",,
167,,"............................................................",,
168,,"............................................................",,
169,,"............................................................",,
170,,"............................................................",,
171,,"............................................................",,
172,,"............................................................",,
173,,"............................................................",,
174,,"............................................................",,
175,,"...1....................................................1...",,
176,,"............................................................",,
177,,"............................................................",,
178,,"............................................................",,
179,,"............................................................",,
180,,"............................................................",,
181,,"............................................................",,
182,,"............................................................",,
183,,"...........2.2........1..............1........2.2...........",,
184,,"............................................................",,
185,,"............................................................",,
186,,"............................................................",,
187,"Template_Siege","...........2.2.2...........",,"{""data"":[{""x"":16,""y"":19,""id"":0}, {""x"":10,""y"":19,""id"":1}, {""x"":18,""y"":16,""id"":2}, {""x"":8,""y"":22,""id"":3}, {""x"":11,""y"":17,""id"":4}, {""x"":15,""y"":21,""id"":5}, {""x"":13,""y"":19,""id"":6}]}"
188,,"...........................",,
189,,"...........................",,
190,,".............8.............",,
191,,"...........................",,
192,,"...........................",,
193,,"...........................",,
194,,"...........................",,
195,,"...........................",,
196,,"...........................",,
197,,"...........................",,
198,,"...........................",,
199,,"...........................",,
200,,"...........................",,
201,,"...........................",,
202,,"...........................",,
203,,"..................g........",,
204,,"...........g...............",,
205,,"...........................",,
206,,"..........g..g..g..........",,
207,,"...........................",,
208,,"...............g...........",,
209,,"........g..................",,
210,,"...........................",,
211,,"...........................",,
212,,"...........................",,
213,,"...........................",,
214,,"...........................",,
215,,"...........................",,
216,,"...........................",,
217,,"...........................",,
218,,"...........................",,
219,,"...........................",,
220,,"...........................",,
221,,"...........................",,
222,,".............8.............",,
223,,"...........................",,
224,,"...........................",,
225,,"...........1.1.1...........",,
226,"Template_Bounty","........2.2.2........",,
227,,".....................",,
228,,".....................",,
229,,".....................",,
230,,".....................",,
231,,".....................",,
232,,".....................",,
233,,".....................",,
234,,".....................",,
235,,".....................",,
236,,".....................",,
237,,".....................",,
238,,".....................",,
239,,".....................",,
240,,".....................",,
241,,".....................",,
242,,".....................",,
243,,".....................",,
244,,".....................",,
245,,".....................",,
246,,".....................",,
247,,".....................",,
248,,".....................",,
249,,".....................",,
250,,".....................",,
251,,".....................",,
252,,".....................",,
253,,".....................",,
254,,".....................",,
255,,".....................",,
256,,".....................",,
257,,".....................",,
258,,"........1.1.1........",,
259,"Template_Heist","........2.2.2........",,
260,,".....................",,
261,,".....................",,
262,,".....................",,
263,,"..........8..........",,
264,,".....................",,
265,,".....................",,
266,,".....................",,
267,,".....................",,
268,,".....................",,
269,,".....................",,
270,,".....................",,
271,,".....................",,
272,,".....................",,
273,,".....................",,
274,,".....................",,
275,,".....................",,
276,,".....................",,
277,,".....................",,
278,,".....................",,
279,,".....................",,
280,,".....................",,
281,,".....................",,
282,,".....................",,
283,,".....................",,
284,,".....................",,
285,,".....................",,
286,,".....................",,
287,,"..........8..........",,
288,,".....................",,
289,,".....................",,
290,,".....................",,
291,,"........1.1.1........",,
292,"Template_KingOfHill","........2.2.2........",,
293,,".....................",,
294,,".....................",,
295,,".....................",,
296,,".....................",,
297,,".....................",,
298,,".....................",,
299,,".....................",,
300,,".....................",,
301,,".....................",,
302,,".....................",,
303,,".....................",,
304,,"...8.................",,
305,,".....................",,
306,,".....................",,
307,,".....................",,
308,,"..........8..........",,
309,,".....................",,
310,,".....................",,
311,,".....................",,
312,,".................8...",,
313,,".....................",,
314,,".....................",,
315,,".....................",,
316,,".....................",,
317,,".....................",,
318,,".....................",,
319,,".....................",,
320,,".....................",,
321,,".....................",,
322,,".....................",,
323,,".....................",,
324,,"........1.1.1........",,
