"Name","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling"
"Win101",101,,3,100,3082,1138,535
"Win102",102,,3,100,3120,1154,542
"Win103",103,,3,100,3159,1169,550
"Win104",104,,3,100,3198,1185,559
"Win105",105,,3,100,3238,1201,567
"Win106",106,,3,100,3278,1217,575
"Win107",107,,3,100,3318,1233,583
"Win108",108,,3,100,3358,1250,592
"Win109",109,,3,100,3399,1266,600
"Win110",110,,3,100,3440,1283,609
"Win111",111,,3,100,3482,1300,617
"Win112",112,,3,100,3524,1317,626
"Win113",113,,3,100,3567,1334,635
"Win114",114,,3,100,3609,1351,643
"Win115",115,,3,100,3653,1368,652
"Win116",116,,3,100,3696,1386,661
"Win117",117,,3,100,3740,1404,670
"Win118",118,,3,100,3785,1422,680
"Win119",119,,3,100,3830,1440,689
"Win120",120,,3,100,3875,1458,698
"Win121",121,,3,100,3920,1476,708
"Win122",122,,3,100,3967,1495,717
"Win123",123,,3,100,4013,1514,727
"Win124",124,,3,100,4060,1533,736
"Win125",125,,3,100,4107,1552,746
"Win126",126,,3,100,4155,1571,756
"Win127",127,,3,100,4203,1591,766
"Win128",128,,3,100,4252,1610,776
"Win129",129,,3,100,4301,1630,786
"Win130",130,,3,100,4351,1650,796
"Win131",131,,3,100,4401,1670,807
"Win132",132,,3,100,4451,1691,817
"Win133",133,,3,100,4502,1711,828
"Win134",134,,3,100,4554,1732,838
"Win135",135,,3,100,4606,1753,849
"Win136",136,,3,100,4658,1774,860
"Win137",137,,3,100,4711,1795,871
"Win138",138,,3,100,4764,1817,882
"Win139",139,,3,100,4818,1839,893
"Win140",140,,3,100,4873,1861,904
"Win141",141,,3,100,4927,1883,916
"Win142",142,,3,100,4983,1905,927
"Win143",143,,3,100,5039,1928,938
"Win144",144,,3,100,5095,1950,950
"Win145",145,,3,100,5152,1973,962
"Win146",146,,3,100,5209,1996,974
"Win147",147,,3,100,5267,2020,986
"Win148",148,,3,100,5326,2043,998
"Win149",149,,3,100,5385,2067,1010
"Win150",150,"TRUE",4,175,5444,2091,1022
"Win151",151,,4,175,5505,2115,1035
"Win152",152,,4,175,5565,2140,1047
"Win153",153,,4,175,5626,2165,1060
"Win154",154,,4,175,5688,2190,1073
"Win155",155,,4,175,5751,2215,1085
"Win156",156,,4,175,5814,2240,1098
"Win157",157,,4,175,5877,2266,1112
"Win158",158,,4,175,5941,2292,1125
"Win159",159,,4,175,6006,2318,1138
"Win160",160,,4,175,6071,2344,1152
"Win161",161,,4,175,6137,2371,1165
"Win162",162,,4,175,6203,2397,1179
"Win163",163,,4,175,6271,2424,1193
"Win164",164,,4,175,6338,2452,1207
"Win165",165,,4,175,6407,2479,1221
"Win166",166,,4,175,6476,2507,1235
"Win167",167,,4,175,6545,2535,1249
"Win168",168,,4,175,6615,2564,1264
"Win169",169,,4,175,6686,2592,1279
"Win170",170,,4,175,6758,2621,1293
"Win171",171,,4,175,6830,2650,1308
"Win172",172,,4,175,6903,2680,1323
"Win173",173,,4,175,6977,2709,1338
"Win174",174,,4,175,7051,2739,1354
"Win175",175,,4,175,7126,2769,1369
"Win176",176,,4,175,7201,2800,1385
"Win177",177,,4,175,7278,2831,1401
"Win178",178,,4,175,7355,2862,1417
"Win179",179,,4,175,7432,2893,1433
"Win180",180,,4,175,7511,2925,1449
"Win181",181,,4,175,7590,2957,1465
"Win182",182,,4,175,7670,2989,1482
"Win183",183,,4,175,7750,3021,1498
"Win184",184,,4,175,7832,3054,1515
"Win185",185,,4,175,7914,3087,1532
"Win186",186,,4,175,7997,3121,1549
"Win187",187,,4,175,8080,3154,1566
"Win188",188,,4,175,8165,3188,1584
"Win189",189,,4,175,8250,3223,1601
"Win190",190,,4,175,8336,3257,1619
"Win191",191,,4,175,8422,3292,1637
"Win192",192,,4,175,8510,3328,1655
"Win193",193,,4,175,8598,3363,1673
"Win194",194,,4,175,8687,3399,1692
"Win195",195,,4,175,8777,3436,1710
"Win196",196,,4,175,8868,3472,1729
"Win197",197,,4,175,8960,3509,1748
"Win198",198,,4,175,9052,3546,1767
"Win199",199,,4,175,9146,3584,1786
"Win200",200,"TRUE",5,250,9240,3622,1806
"Win201",201,,5,250,9335,3660,1825
"Win202",202,,5,250,9431,3699,1845
"Win203",203,,5,250,9528,3738,1865
"Win204",204,,5,250,9625,3778,1885
"Win205",205,,5,250,9724,3817,1906
"Win206",206,,5,250,9823,3858,1926
"Win207",207,,5,250,9924,3898,1947
"Win208",208,,5,250,10025,3939,1968
"Win209",209,,5,250,10127,3980,1989
"Win210",210,,5,250,10231,4022,2010
"Win211",211,,5,250,10335,4064,2032
"Win212",212,,5,250,10440,4106,2053
"Win213",213,,5,250,10546,4149,2075
"Win214",214,,5,250,10653,4192,2097
"Win215",215,,5,250,10761,4236,2120
"Win216",216,,5,250,10870,4280,2142
"Win217",217,,5,250,10980,4324,2165
"Win218",218,,5,250,11091,4369,2188
"Win219",219,,5,250,11203,4414,2211
"Win220",220,,5,250,11317,4460,2234
"Win221",221,,5,250,11431,4506,2258
"Win222",222,,5,250,11546,4552,2282
"Win223",223,,5,250,11662,4599,2306
"Win224",224,,5,250,11780,4647,2330
"Win225",225,,5,250,11898,4694,2354
"Win226",226,,5,250,12018,4743,2379
"Win227",227,,5,250,12138,4791,2404
"Win228",228,,5,250,12260,4840,2429
"Win229",229,,5,250,12383,4890,2454
"Win230",230,,5,250,12507,4940,2480
"Win231",231,,5,250,12632,4990,2506
"Win232",232,,5,250,12758,5041,2532
"Win233",233,,5,250,12886,5093,2558
"Win234",234,,5,250,13014,5145,2585
"Win235",235,,5,250,13144,5197,2612
"Win236",236,,5,250,13275,5250,2639
"Win237",237,,5,250,13407,5303,2666
"Win238",238,,5,250,13541,5357,2693
"Win239",239,,5,250,13675,5411,2721
"Win240",240,,5,250,13811,5466,2749
"Win241",241,,5,250,13948,5521,2778
"Win242",242,,5,250,14087,5577,2806
"Win243",243,,5,250,14226,5634,2835
"Win244",244,,5,250,14367,5690,2864
"Win245",245,,5,250,14509,5748,2893
"Win246",246,,5,250,14653,5806,2923
"Win247",247,,5,250,14798,5864,2953
"Win248",248,,5,250,14944,5923,2983
"Win249",249,,5,250,15092,5983,3014
"Win250",250,"TRUE",6,600,15241,6043,3044
