"Name","LockedForChronos","Disabled","ItemName","WeaponSkill","UltimateSkill","Pet","Speed","Hitpoints","HealthPromilleLostPerSecond","HealPercentChange","LifeTimeTicks","MeleeAutoAttackSplashDamage","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackProjectileSpread","AutoAttackProjectile","AutoAttackOverchagedProjectile","AutoAttackRange","RegeneratePerSecond","LowPriorityTarget","UltiChargeInitial","UltiChargeMul","UltiChargeUltiMul","OverchargeChargeMul","OverchargeChargeActiveMul","OverchargeDamagePercent","OverchargeSpeedPercent","OverchargeShieldPercent","Type","CarryableType","DamagerPercentFromAliens","DefaultSkin","Mastery","ManualRotations","FileName","BlueExportName","RedExportName","ShadowExportName","AreaEffect","DeathAreaEffect","TakeDamageEffect","KillEffect","DeathEffect","AllowDeathEffectOverride","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","FitToBoxScale","EndScreenScale","GatchaScreenScale","HomeScreenScale","BattleIntroScale","ShowPetInHeroScreen","HeroScreenXOffset","HeroScreenZOffset","BattleIntroXOffset","BattleIntroZOffset","HeroScreenEmoteX","HeroScreenEmoteY","CollisionRadius","HealthBar","HealthBarOffsetY","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ForceAttackAnimationToEnd","IconSWF","IconExportName","RecoilAmount","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus","CanWalkOverWater","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","ChargeUltiAutomatically","ChargeUltiFromDamage","VideoLink","ShouldEncodePetStatus","SecondaryPet","ExtraMinions","PetAutoSpawnDelay","PetSpawnCount","HasPowerLevels","OffenseRating","DefenseRating","UtilityRating","ShowHealInBattleEnd","UniqueProperty","UniquePropertyValue1","UniquePropertyValue2"
"Undertaker","","","mortis","UndertakerWeapon","UndertakerUlti","","820","3800","","","","","","","","","","","","12","","","","89","134","","","","","","Hero","","","UndertakerDefault","MasteryUndertaker","","","","","","","","takedamage_gen","","death_undertaker","true","Gen_move_fx","reload_undertaker","No_ammo_shotgungirl","dry_fire_barkeep","","Dummy_effect","","","","","","","","","","","","","","","","Mortis_kill","Mortis_lead","Mortis_start","Mortis_ulti_vo","Mortis_hurt","Mortis_die","Mortis_atk_vo","Mortis_start","1","50","","80","80","","","35","130","200","285","95","170","260","260","","","","-100","-100","","20","120","Medium","-59","","350","","","TID_UNDERTAKER","","sc/ui.sc","hero_icon_mortis","0","footstep","25","350","165","","","1","2","3","","","","","","","","","","","MortisTutorial","","","","","","","2","3","4","","3","90","6"
"Crow","","","crow","CrowWeapon","CrowUlti","","820","2400","","","","","","","","","","","","12","","","","89","75","","","","","","Hero","","","CrowDefault","MasteryCrow","","","","","","","","takedamage_gen","","death_crow","true","Gen_move_fx","reload_crow","No_ammo_shotgungirl","crow_dryfire","","","","","","","","","","","","","","","","","","Crow_Kill","Crow_Lead","Crow_Start","Crow_Ulti","Crow_Takedamage","Crow_Die","","Crow_Start","0","45","","80","80","","","35","116","230","350","90","210","290","300","","","","","-50","-10","20","120","Medium","-41","","400","","","TID_CROW","","sc/ui.sc","hero_icon_crow","0","footstep","20","200","100","","","2","1","3","","","","","","","","","","","CrowTutorial","","","","","","","5","1","3","","","",""
"DeadMariachi","","","poco","DeadMariachiWeapon","DeadMariachiUlti","","720","3700","","","","","","","","","","","","12","","","","110","150","","","","","","Hero","","","DeadMariachiDefault","MasteryDeadMariachi","","","","","","","","takedamage_gen","","death_dead_mariachi","true","Gen_move_fx","reload_dead_mariachi","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Poco_kill","Poco_lead","Poco_start","Poco_ulti_vo","Poco_hurt","Poco_die","","Poco_start","1","20","","80","80","","","35","116","200","300","85","180","260","260","","","","-250","50","","60","120","Medium","-56","","0","","","TID_DEAD_MARIACHI","","sc/ui.sc","hero_icon_poco","0","footstep","25","250","100","","","1","3","2","","","","","","","","","","","PocoTutorial","","","","","","","2","3","4","TRUE","","",""
"BowDude","","","bo","BowDudeWeapon","BowDudeUlti","","720","3600","","","","","","","","","","","","12","","","","80","93","","","","","","Hero","","","BowDudeDefault","MasteryBowDude","","","","","","","","takedamage_gen","","death_bow_dude","true","Gen_move_fx","reload_bow_dude","No_ammo_shotgungirl","dry_fire_bowdude","","","","","","","","","","","","","","","","","","Bo_kill","Bo_lead","Bo_start","Bo_ulti_vo","Bo_hurt","Bo_die","Bo_atk_vo","Bo_start","2","45","","80","80","","","35","106","170","245","75","165","220","220","","-150","","","-200","-40","","120","Medium","-56","","400","","","TID_BOW_DUDE","","sc/ui.sc","hero_icon_bo","0","footstep","30","300","100","true","","1","2","3","","","","","","","","","","","BoTutorial","","","","","","","3","2","4","","","",""
"Sniper","","","piper","SniperWeapon","SniperUlti","","720","2400","","","","","","","","","","","","12","","","","97","90","","","","","","Hero","","","SniperDefault","MasterySniper","","","","","","","","takedamage_gen","","death_sniper","true","Gen_move_fx","reload_sniper","No_ammo_shotgungirl","Minig_dryfire","","","","","","","","","","","","","","","","","","Piper_Kill","Piper_Lead","Piper_Start","Piper_Ulti","Piper_Takedamage","Piper_Die","","Piper_Start","0","45","","80","80","","","35","116","200","320","90","190","260","270","","","","-100","-180","","","120","Medium","-46","","450","","","TID_SNIPER","","sc/ui.sc","hero_icon_piper","100","footstep","25","400","160","","","2","3","1","","","","","","","","","","","PiperTutorial","","","","","","","5","1","3","","","",""
"MinigunDude","","","pam","MinigunDudeWeapon","MinigunDudeUlti","","720","4800","","","","","","","","","","","","12","","","","105","130","","","","","","Hero","","","MinigunDudeDefault","MasteryMinigunDude","","","","","","","","takedamage_gen","","death_minigun","true","Gen_move_fx","reload_minigun","No_ammo_shotgungirl","Minig_dryfire","","","","","","","","","","","","","","","","","","Pam_kill","Pam_lead","Pam_start","Pam_ulti","Pam_hurt","Pam_die","","Pam_start","2","40","","80","80","","","35","106","170","245","75","150","220","220","true","-500","","","-50","-80","","145","Medium","-59","","450","","","TID_MINIGUN_DUDE","","sc/ui.sc","hero_icon_mj","400","footstep","30","400","130","","","1","3","2","","","","","","","","","","","PamTutorial","","","","","","","2","4","3","","","",""
"BlackHole","","","tara","BlackHoleWeapon","BlackHoleUlti","BlackHolePet","720","3100","","","","","","","","","","","","12","","","","77","90","","","","","","Hero","","","BlackholeDefault","MasteryBlackHole","","","","","","","","takedamage_gen","","death_blackhole","true","Gen_move_fx","reload_blackhole","No_ammo_shotgungirl","Mystic_dryfire","","","","","","","","","","","","","","","","","","Tara_kill_vo","Tara_lead_vo","Tara_start_vo","","Tara_hurt_vo","Tara_die_vo","","Tara_start_vo","0","50","","80","80","","","35","120","210","300","90","175","270","290","","","","-150","-350","-20","30","120","Medium","-59","","450","","","TID_BLACK_HOLE","","sc/ui.sc","hero_icon_taro","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","TaraTutorial","","","","","","","2","2","5","","","",""
"BarrelBot","","","darryl","BarrelBotWeapon","BarrelBotUlti","","770","5300","","","","","","","","","","","","12","","","","117","120","","","","","","Hero","","","BarrelbotDefault","MasteryBarrelBot","","","","","","","","takedamage_gen","","death_barrel_bot","true","Gen_move_fx","reload_barrel_bot","No_ammo_shotgungirl","Dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","Darryl_Kill_VO","Darryl_Lead_VO","Darryl_Start_VO","Darryl_Ulti_VO","Darryl_Hurt_VO","Darryl_Die_VO","","Darryl_Start_VO","4","50","0","80","80","","","35","116","190","257","80","175","230","230","","","","-150","","","80","145","Medium","-48","","450","","","TID_BARREL_BOT","","sc/ui.sc","hero_icon_barrelbot","600","footstep","40","300","130","","","1","2","3","","","","","","","","","132","","DarrylTutorial","","","","","","","3","4","2","","4","18","50"
"ArtilleryDude","","","penny","ArtilleryDudeWeapon","ArtilleryDudeUlti","","720","3200","","","","","","","","","","","","12","","","","93","100","","","","","","Hero","","","ArtilleryGalDefault","MasteryArtilleryDude","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","reload_artillery_dude","No_ammo_shotgungirl","dry_fire_mechanic","","","","","","","","","","","","","","","","","","Penny_kill","Penny_lead","Penny_start","Penny_ulti","Penny_takedamage","Penny_die","","Penny_start","0","35","","80","80","","","35","110","190","290","80","150","260","270","","","","","150","-80","60","120","Medium","-45","","400","","","TID_ARTILLERY_DUDE","","sc/ui.sc","hero_icon_penny","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","PennyTutorial","","","","","","","3","2","4","","","",""
"HammerDude","","","frank","HammerDudeWeapon","HammerDudeUlti","","770","7000","","","","","","","","","","","","12","","","","120","120","","","","","","Hero","","","FrankDefault","MasteryHammerDude","","","","","","","","takedamage_gen","","death_hammer_dude","true","Gen_move_fx","","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","2","75","","80","80","","","35","110","150","240","80","150","230","230","","","","","-200","","","145","Medium","-60","","100","","","TID_HAMMER_DUDE","","sc/ui.sc","hero_icon_frank","0","footstep","40","250","130","","","1","3","2","","","","","","","","","","240","FrankTutorial","","","","","","","2","5","2","","","",""
"HookDude","","","gene","HookWeapon","HookUlti","","720","3600","","","","","","","","","","","","12","","","","105","100","","","","","","Hero","","","HookDefault","MasteryHookDude","","","","","","","","takedamage_gen","","death_hook_dude","true","Gen_move_fx","reload_gene","No_ammo_shotgungirl","dry_fire_gene","","","","","","","","","","","","","","","","","","Gene_vo","Gene_vo","Gene_vo","Gene_vo","Gene_vo","Gene_vo","","Gene_vo","1","30","","80","80","","","35","116","230","340","90","175","270","280","","","","","100","","","120","Medium","-36","","350","","","TID_HOOK","","sc/ui.sc","hero_icon_gene","0","footstep","25","350","200","","","1","3","2","","","","","","","","","","","GeneTutorial","","","","","","","2","2","5","","","",""
"ClusterBombDude","","","tick","ClusterBombDudeWeapon","ClusterBombDudeUlti","","720","2200","","","","","","","","","","","","12","","","","110","70","","","","","","Hero","","","ClusterBombDefault","MasteryClusterBombDude","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","reload_tick","No_ammo_shotgungirl","Dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","Tick_vo_1","Tick_vo_1","Tick_vo_1","Tick_vo_1","Tick_vo_hurt","Tick_vo_die","","Tick_vo_1","0","35","","80","80","","","35","110","230","270","80","150","270","270","","","","","100","-20","50","120","Medium","-40","","350","","","TID_CLUSTER_BOMB_DUDE","","sc/ui.sc","hero_icon_tick","0","footstep","85","300","160","","","3","2","1","","","","","","","","","","","","true","","","","","","5","1","3","","","",""
"Ninja","","","leon","NinjaWeapon","NinjaUlti","","820","3400","","","","","","","","","","","","12","","","","105","100","","","","","","Hero","","","NinjaDefault","MasteryNinja","","","","","","","","takedamage_gen","","death_ninja","true","Gen_move_fx","reload_leon","No_ammo_shotgungirl","Dry_fire_leon","","","","","","","","","","","","","","","","","","Leon_kill_vo","Leon_lead_vo","Leon_start_vo","Leon_ulti_vo","Leon_hurt_vo","Leon_die_vo","","Leon_start_vo","2","50","","80","80","","","35","116","190","330","80","150","270","290","","","","","","","","120","Medium","-55","","450","","","TID_NINJA","","sc/ui.sc","hero_icon_leon","0","footstep","25","250","130","","","3","2","1","","","","","","","","","","","LeonTutorial","","","","","","","4","2","3","","","",""
"Rosa","","","rosa","RosaWeapon","RosaUlti","","770","5400","","","","","","","","","","","","12","","","","97","100","40","20","20","20","25","Hero","","","RosaDefault","MasteryRosa","","","","","","","","takedamage_gen","","death_rosa","true","Gen_move_fx","reload_rosa","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Rosa_kill","Rosa_lead","Rosa_start","Rosa_ulti_vo","Rosa_hurt","Rosa_die","","Rosa_start","2","50","","80","80","","","35","110","100","245","80","150","240","240","","","","","-250","","50","145","Medium","-55","","400","","","TID_ROSA","","sc/ui.sc","hero_icon_rosa","0","footstep","30","400","130","","","3","2","1","","","","","","","","","","240","","","","","","","","3","5","1","","","",""
"Whirlwind","","","carl","WhirlwindWeapon","WhirlwindUlti","","720","4000","","","","","","","","","","","","12","","","","102","60","","","","","","Hero","","","WhirlwindDefault","MasteryWhirlwind","","","","","","","","takedamage_gen","","death_whirlwind","true","Gen_move_fx","reload_whirlwind","No_ammo_shotgungirl","Dry_fire_whirlwind","","carl_def_ulti_hit","","","","","","","","","","","","","","","","Carl_kill_vo","Carl_lead_vo","Carl_start_vo","Carl_ulti_vo","Carl_hurt_vo","Carl_die_vo","Carl_atk_vo","Carl_start_vo","5","30","","80","80","","","35","110","190","255","80","150","230","250","","","","","100","-20","60","120","Medium","-48","","450","","","TID_WHIRLWIND","","sc/ui.sc","hero_icon_carl","0","","25","50","200","TRUE","TRUE","1","3","2","","","","","","","","","","","","","","","","","","3","3","3","","","",""
"Baseball","","","bibi","BaseballWeapon","BaseballUlti","","820","4800","","","","","","","","","","","","12","","","","100","112","","","","","","Hero","","","BaseballDefault","MasteryBaseball","","","","","","","","takedamage_gen","","death_baseball","true","Gen_move_fx","reload_baseball","No_ammo_shotgungirl","dry_fire_barkeep","","bibi_def_atk_hit","","","","","","","","","","","","","","","","Bibi_kill_vo","Bibi_lead_vo","Bibi_start_vo","Bibi_ulti_vo","Bibi_hurt_vo","Bibi_die_vo","","Bibi_start_vo","5","30","","80","80","","","35","116","210","320","90","190","270","270","","","","","100","","60","120","Medium","-48","","450","","","TID_BASEBALL","","sc/ui.sc","hero_icon_bibi","0","footstep","25","400","100","","","1","3","2","","","","","","","","","","","","","","","","","","3","3","3","","","",""
"Arcade","","","8bit","ArcadeWeapon","ArcadeUlti","","580","5000","","","","","","","","","","","","12","","","","106","100","","","","","","Hero","","","ArcadeDefault","MasteryArcade","","","","","","","","takedamage_gen","","death_arcade","true","Gen_move_fx","reload_arcade","No_ammo_shotgungirl","arcade_dryfire","","","","","","","","","","","","","","","","","","8bit_kill_vo","8bit_lead_vo","8bit_start_vo","8bit_ulti_vo","8bit_hurt_vo","8bit_die_vo","","8bit_start_vo","2","57","","80","80","","","35","116","240","300","80","210","240","240","true","-500","","-50","300","","80","145","Medium","-43","","450","","","TID_ARCADE","","sc/ui.sc","hero_icon_8bit","0","footstep","30","400","130","","","1","3","2","","","","","","","","","","","","","","","","","","5","1","3","","","",""
"Sandstorm","","","sandy","SandstormWeapon","SandstormUlti","","770","3800","","","","","","","","","","","","12","","","","75","100","","","","","","Hero","","","SandstormDefault","MasterySandstorm","","","","","","","","takedamage_gen","","death_rosa","true","Gen_move_fx","reload_sandy","No_ammo_shotgungirl","Dry_fire_sandy","","","","","","","","","","","","","","","","","","Sandy_kill_vo","Sandy_lead_vo","Sandy_start_vo","Sandy_ulti_vo","Sandy_hurt_vo","Sandy_die_vo","","Sandy_start_vo","4","50","","80","80","","","35","116","190","330","80","150","270","270","","","","50","200","-10","30","145","Medium","-55","","400","","","TID_SANDSTORM","","sc/ui.sc","hero_icon_sandy","0","footstep","30","400","130","","","3","2","1","","","","","","","","","","","","","","","","","","2","2","5","","","",""
