"Name","Disable","Traits","Rarity","TitleTID","DescriptionTID","SWF","IconExportName","ExcludeBrawlers","LinkedToCharacterProgress","Family","Level"
"R_Shade_AttackRange_L",,"R_Shade_AttackRange_L_1;R_Shade_AttackRange_L_2","legendary",,"TID_R_ATTACKRANGE_MELEE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_ProjectileSpeed_S",,"R_ProjectileSpeed_S","super_rare",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_ProjectileSpeed_E",,"R_ProjectileSpeed_E","epic",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_ProjectileSpeed_L",,"R_ProjectileSpeed_L","legendary",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_ProjectileSpeed_Max_S",,"R_ProjectileSpeed_Max_S","super_rare",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_ProjectileSpeed_Max_E",,"R_ProjectileSpeed_Max_E","epic",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_ProjectileSpeed_Max_L",,"R_ProjectileSpeed_Max_L","legendary",,"TID_R_PROJECTILESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_speed",,,,
"R_GadgetCooldown_S",,"R_GadgetCooldown_S","super_rare",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_GadgetCooldown_E",,"R_GadgetCooldown_E","epic",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_GadgetCooldown_L",,"R_GadgetCooldown_L","legendary",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_GadgetCooldown_Mini_S",,"R_GadgetCooldown_Mini_S","super_rare",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_GadgetCooldown_Mini_E",,"R_GadgetCooldown_Mini_E","epic",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_GadgetCooldown_Mini_L",,"R_GadgetCooldown_Mini_L","legendary",,"TID_R_GADGETCOOLDOWN_DESC","sc/ui_roguelite.sc","icon_power_card_gadget_cooldown",,,,
"R_BulletSize_S",,"R_BulletSize_S","super_rare",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_E",,"R_BulletSize_E","epic",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_L",,"R_BulletSize_L","legendary",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Boom_S",,"R_BulletSize_S","super_rare",,"TID_R_BULLETSIZE_BOOM_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Boom_E",,"R_BulletSize_E","epic",,"TID_R_BULLETSIZE_BOOM_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Boom_L",,"R_BulletSize_L","legendary",,"TID_R_BULLETSIZE_BOOM_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Mini_S",,"R_BulletSize_Mini_S","super_rare",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Mini_E",,"R_BulletSize_Mini_E","epic",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Mini_L",,"R_BulletSize_Mini_L","legendary",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_WithItem_S",,"R_BulletSize_Mini_S;R_BulletSizeArea_Mini_WithItem_S","super_rare",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_WithItem_E",,"R_BulletSize_Mini_E;R_BulletSizeArea_Mini_WithItem_E","epic",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_WithItem_L",,"R_BulletSize_Mini_L;R_BulletSizeArea_Mini_WithItem_L","legendary",,"TID_R_BULLETSIZE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Fist_S",,"R_BulletSize_S","super_rare",,"TID_R_BULLETSIZE_FIST_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Fist_E",,"R_BulletSize_E","epic",,"TID_R_BULLETSIZE_FIST_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Fist_L",,"R_BulletSize_L","legendary",,"TID_R_BULLETSIZE_FIST_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Bubble_S",,"R_BulletSize_S","super_rare",,"TID_R_BULLETSIZE_BUBBLE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Bubble_E",,"R_BulletSize_E","epic",,"TID_R_BULLETSIZE_BUBBLE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_BulletSize_Bubble_L",,"R_BulletSize_L","legendary",,"TID_R_BULLETSIZE_BUBBLE_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_AreaEffectSize_S",,"R_AreaEffectSize_S","super_rare",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_E",,"R_AreaEffectSize_E","epic",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_L",,"R_AreaEffectSize_L","legendary",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Mini_S",,"R_AreaEffectSize_Mini_S","super_rare",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Mini_E",,"R_AreaEffectSize_Mini_E","epic",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Mini_L",,"R_AreaEffectSize_Mini_L","legendary",,"TID_R_AREAEFFECT_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Melee_S",,"R_AreaEffectSize_Melee_S","super_rare",,"TID_R_AREAEFFECTMELEE_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Melee_E",,"R_AreaEffectSize_Melee_E","epic",,"TID_R_AREAEFFECTMELEE_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSize_Melee_L",,"R_AreaEffectSize_Melee_L","legendary",,"TID_R_AREAEFFECTMELEE_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_S",,"R_AreaEffectSizeThrower_S;R_BulletSizeThrower_S","super_rare",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_E",,"R_AreaEffectSizeThrower_E;R_BulletSizeThrower_E","epic",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_L",,"R_AreaEffectSizeThrower_L;R_BulletSizeThrower_L","legendary",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_Mini_S",,"R_AreaEffectSizeThrower_Mini_S;R_BulletSizeThrower_Mini_S","super_rare",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_Mini_E",,"R_AreaEffectSizeThrower_Mini_E;R_BulletSizeThrower_Mini_E","epic",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffectSizeThrower_Mini_L",,"R_AreaEffectSizeThrower_Mini_L;R_BulletSizeThrower_Mini_L","legendary",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_area_effect",,,,
"R_AreaEffect_BulletSize_S",,"R_AreaEffect_BulletSize_S_1;R_AreaEffect_BulletSize_S_2","super_rare",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_AreaEffect_BulletSize_E",,"R_AreaEffect_BulletSize_E_1;R_AreaEffect_BulletSize_E_2","epic",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_AreaEffect_BulletSize_L",,"R_AreaEffect_BulletSize_L_1;R_AreaEffect_BulletSize_L_2","legendary",,"TID_R_AREAEFFECTTHROWER_DESC","sc/ui_roguelite.sc","icon_power_card_projectile_size",,,,
"R_DamageReduction_S",,"R_DamageReduction_S;R_DamageReduction_Effect_E","super_rare",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_E",,"R_DamageReduction_E;R_DamageReduction_Effect_E","epic",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_L",,"R_DamageReduction_L;R_DamageReduction_Effect_L","legendary",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_Max_L",,"R_DamageReduction_Max_L;R_DamageReduction_Effect_L","legendary",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_Mini_S",,"R_DamageReduction_Mini_S;R_DamageReduction_Effect_E","super_rare",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_Mini_E",,"R_DamageReduction_Mini_E;R_DamageReduction_Effect_E","epic",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_DamageReduction_Mini_L",,"R_DamageReduction_Mini_L;R_DamageReduction_Effect_L","legendary",,"TID_R_DAMAGEREDUCTION_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_LifeSteal_S",,"R_LifeSteal_S","super_rare",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_E",,"R_LifeSteal_E","epic",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_L",,"R_LifeSteal_L","legendary",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Mini_S",,"R_LifeSteal_Mini_S","super_rare",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Mini_E",,"R_LifeSteal_Mini_E","epic",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Mini_L",,"R_LifeSteal_Mini_L","legendary",,"TID_R_LIFESTEAL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Pet_S",,"R_LifeSteal_Pet_S","super_rare",,"TID_R_LIFESTEAL_PET_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Pet_E",,"R_LifeSteal_Pet_E","epic",,"TID_R_LIFESTEAL_PET_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_LifeSteal_Pet_L",,"R_LifeSteal_Pet_L","legendary",,"TID_R_LIFESTEAL_PET_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_RegenFaster_E",,"R_RegenFaster","epic",,"TID_R_REGENFASTER_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_ConsShield_Mini_L",,"R_ConsShield_Mini","legendary",,"TID_R_CONSSHIELD_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_ConsShield_L",,"R_ConsShield","legendary",,"TID_R_CONSSHIELD_DESC","sc/ui_roguelite.sc","icon_power_card_damage_reduction_shield",,,,
"R_SpawnBushOnMove_L",,"R_SpawnBushOnMove","legendary",,"TID_R_SRAWNBUSHONMOVE_DESC","sc/ui_roguelite.sc","icon_power_card_area_bush",,,,
"R_SpawnBushOnAttack_L",,"R_SpawnBushOnAttack_L","legendary",,"TID_R_SRAWNBUSHONATTACK_DESC","sc/ui_roguelite.sc","icon_power_card_area_bush",,,,
"R_HealOnKill_E",,"R_HealOnKill","legendary",,"TID_R_HEALONKILL_DESC","sc/ui_roguelite.sc","icon_power_card_lifesteal",,,,
"R_InvisibleOnKill_L",,"R_InvisibleOnKill","legendary",,"TID_R_INVISIBLEONKILL_DESC","sc/ui_roguelite.sc","icon_power_card_invisible",,,,
"R_PowerCubeOnUlti_E",,"R_PowerCubeOnUlti","epic",,"TID_R_POWERCUBEONULTI_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_PowerCubeOnStart_S",,"R_PowerCubeOnStart_S","super_rare",,"TID_R_POWERCUBEATSTART_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_PowerCubeOnStart_E",,"R_PowerCubeOnStart_E","epic",,"TID_R_POWERCUBEATSTART_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_PowerCubeOnStart_L",,"R_PowerCubeOnStart_L","legendary",,"TID_R_POWERCUBEATSTART_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_PowerCubeOnKill_E",,"R_PowerCubeOnKill","epic",,"TID_R_POWERCUBEONKILL_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_PowerCubeOnKillDouble_L",,"R_PowerCubeOnKillDouble_L","legendary",,"TID_R_POWERCUBEDOUBLEONKILL_DESC","sc/ui_roguelite.sc","icon_power_card_power_cube",,,,
"R_HealOnMove_E",,"R_HealOnMove","epic",,"TID_R_HEALONMOVE_DESC","sc/ui_roguelite.sc","icon_power_card_heal",,,,
"R_SpeedUpOnAtk_E",,"R_SpeedUpOnAtk;R_SpeedUpOnSuper","epic",,"TID_R_SPEEDUPONATK_DESC","sc/ui_roguelite.sc","icon_power_card_assassin",,,,
"R_KnockbackOnTakeDmg_L",,"R_KnockbackOnTakeDmg","legendary",,"TID_R_KNOCKBACKONTAKEDMG_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_SeeThroghtBushOnSuper_E",,"R_SeeThroghtBushOnSuper","epic",,"TID_R_SEETHROUGHTBUSHONSUPER_DESC","sc/ui_roguelite.sc","icon_power_card_area_bush",,,,
"R_SlowDownOnHit_L",,"R_SlowDownOnHit","legendary",,"TID_R_SLOWDOWNONHIT_DESC","sc/ui_roguelite.sc","icon_power_card_slowdown",,,,
"R_PoisonOnHit_S",,"R_PoisonOnHit_S","super_rare",,"TID_R_POISONONHIT_MINI_DESC","sc/ui_roguelite.sc","icon_power_card_poison_on_hit",,,,
"R_PoisonOnHit_E",,"R_PoisonOnHit_E","epic",,"TID_R_POISONONHIT_DESC","sc/ui_roguelite.sc","icon_power_card_poison_on_hit",,,,
"R_PoisonOnHit_L",,"R_PoisonOnHit_L","legendary",,"TID_R_POISONONHIT_BUFF_DESC","sc/ui_roguelite.sc","icon_power_card_poison_on_hit",,,,
"R_AutoChargeUlti_Sam_E",,"R_AutoChargeUlti_Sam_E","epic",,"TID_R_SAM_AUTOCHARGEULTI_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_AutoChargeUlti_Max_E",,"R_AutoChargeUlti_Max_E","epic",,"TID_R_AUTOCHARGEULTI_EXTRA_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_AutoChargeUlti_L",,"R_AutoChargeUlti_L","legendary",,"TID_R_AUTOCHARGEULTI_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_AutoChargeUlti_Max_L",,"R_AutoChargeUlti_Max_L","legendary",,"TID_R_AUTOCHARGEULTI_EXTRA_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_HomeInOnAttack_L",,"R_HomeInOnAtk_1;R_HomeInOnAtk_2;R_HomeInOnAtk_3;R_HomeInOnAtk_4;R_HomeInOnUlti_1;R_HomeInOnUlti_2;R_HomeInOnUlti_3;R_HomeInOnUlti_4","legendary",,"TID_R_HOMEINONATTACK_DESC","sc/ui_roguelite.sc","icon_power_card_homing",,,,
"R_HomeInOnAttack_Max_L",,"R_HomeInOnAtk_Max_1;R_HomeInOnAtk_2;R_HomeInOnAtk_3;R_HomeInOnAtk_4;R_HomeInOnUlti_1;R_HomeInOnUlti_2;R_HomeInOnUlti_3;R_HomeInOnUlti_4","legendary",,"TID_R_HOMEINONATTACK_DESC","sc/ui_roguelite.sc","icon_power_card_homing",,,,
"R_HomeIn_MainAtk_L",,"R_HomeInOnAtk_1;R_HomeInOnAtk_2;R_HomeInOnAtk_3;R_HomeInOnAtk_4","legendary",,"TID_R_HOMEINONNORMALATK_DESC","sc/ui_roguelite.sc","icon_power_card_homing",,,,
"R_HomeIn_Super_L",,"R_HomeInOnUlti_1;R_HomeInOnUlti_2;R_HomeInOnUlti_3;R_HomeInOnUlti_4","legendary",,"TID_R_HOMEINONULTI_DESC","sc/ui_roguelite.sc","icon_power_card_homing",,,,
"R_HomeInOnAttack_Melee_L",,"R_HomeInOnAtk_Melee_1;R_HomeInOnAtk_Melee_2;R_HomeInOnAtk_Melee_3;R_HomeInOnAtk_Melee_4","legendary",,"TID_R_HOMEINONNORMALATK_DESC","sc/ui_roguelite.sc","icon_power_card_homing",,,,
"R_DestroyEnvironment_L",,"R_DestroyEnvironment","legendary",,"TID_R_DESTROYENVIRONMENT_DESC","sc/ui_roguelite.sc","icon_power_card_destroy",,,,
"R_PassEnvironment_L",,"R_PassEnvironment","legendary",,"TID_R_PASSENVIRONMENT_SUPER_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_PierceCharacter_E",,"R_PierceCharacter","epic",,"TID_R_PIERCECHARACTER_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_HealBuff_S",,"R_HealBuff_S","super_rare",,"TID_R_HEALBUFF_DESC","sc/ui_roguelite.sc","icon_power_card_heal",,,,
