"Name","InstanceID","LockedForChronos","Disabled","ItemName","WeaponSkill","UltimateSkill","OverchargedUltimateSkill","Pet","AltPet","MovementType","Speed","Hitpoints","Traits","Components","HealthPromilleLostPerSecond","HealPercentChange","LifeTimeTicks","SkipDeploy","MeleeAutoAttackSplashDamage","DelayTicksFirstAttack","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackTicksBetweenBurstShots","AutoAttackProjectileSpread","AutoAttackProjectile","OverchargedAutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","LowPriorityTarget","UltiUses","UltiChargeInitial","UltiChargeMul","UltiChargeUltiMul","OverchargeChargeMul","OverchargePassiveChargeMul","OverchargeChargeActiveMul","OverchargeDamagePercent","OverchargeSpeedPercent","OverchargeShieldPercent","Type","IsNeutral","IsBossPet","CarryableType","DefaultSkin","Mastery","BrawlerTrophyRewards","ManualRotations","FileName","BlueExportName","RedExportName","ShadowExportName","OverchargedEffect","OverchargedUseDefaultSkin","StatusEffect","AreaEffect","DeathAreaEffect","DeathOverchargedAreaEffect","TakeDamageEffect","KillEffect","DeathEffect","DeathEffectOvercharged","AllowDeathEffectOverride","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","OverchargedSpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","FitToBoxScale","EndScreenScale","GatchaScreenScale","HomeScreenScale","BattleIntroScale","ShowPetInHeroScreen","AlwaysShowWithPet","HeroScreenXOffset","HeroScreenZOffset","BattleIntroXOffset","BattleIntroZOffset","HeroScreenEmoteX","HeroScreenEmoteY","CollisionRadius","HealthBar","HealthBarOffsetY","FloorIndicatorScale","HealthBarScale","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ClassArchetype","ForceAttackAnimationToEnd","IconSWF","IconExportName","EmblemExportName","RecoilAmount","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus","CanWalkOverWater","WaterFootstepEffect","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","ChargeUltiAutomatically","ChargeUltiFromDamage","ChargeUltiFromHealing","VideoLink","ShouldEncodePetStatus","SecondaryPet","IsExternalPet","ExtraMinions","PetAutoSpawnDelay","PetSpawnCount","PowerLevelsType","PowerLevelsSpeedBuff","OffenseRating","DefenseRating","UtilityRating","ShowHealInBattleEnd","OrbitingRadius","OrbitingAngularSpeed","UniqueProperty","UniquePropertyValue1","UniquePropertyValue2","ArenaOverrideMaxHpBuff","ArenaOverrideDmgBuff","ArenaOverrideSpeedBuff","ArenaOverrideReloadBuff","PetRotatable","HyperMoveEffect","HumanoidSpecies","BuddyCharacter","BossModeUltiRate","SpecialEventType","SpecialEventType2"
"TntDude","9","","","dynamike","TntDudeWeapon","TntDudeUlti","","TntPet","","","800","3000","","","","","","","","","","","","","","","","","12","","","","","125","91","30","","","5","20","5","Hero","","","","TntGuyDefault","MasteryTntDude","TrophyRewardsTntDude","","","","","","","","","","","","takedamage_gen","","death_tnt_dude","","true","gen_move_fx","reload_tnt_dude","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","Tnt_guy_kill_vo","Tnt_guy_lead_vo","Tnt_guy_start_vo","Tnt_guy_ulti_vo","Tnt_guy_hurt_vo","Tnt_guy_die_vo","","Tnt_guy_start_vo","2","35","","80","80","","","35","116","190","300","80","150","270","270","","","","","","-100","","60","120","Medium","-50","","","","350","","","TID_TNT_DUDE","artillery","","sc/hero_portraits.sc","hero_icon_mike","mastery_brawler_icon_dynamike","","footstep","25","200","100","true","true","2","1","3","","","","","","","","","","","","","MikeTutorial","","","","","","","","","5","2","2","","","","HAS_MODIFIED_SELF_PUSHBACK_SPEED","30","","","","","","","","","","110","","back_item_01_s;back_item_01_s_hc"
"Luchador","10","","","elprimo","LuchadorWeapon","LuchadorUlti","","","","","800","6500","","Brawler_Luchador","","","","","","","","","","","","","","","12","","","","","106","105","30","","","5","20","5","Hero","","","","LuchadorDefault","MasteryLuchador","TrophyRewardsLuchador","","","","","","","","","","","","takedamage_gen","","death_luchador","","true","gen_move_fx","","no_ammo_shotgungirl","dry_fire_barkeep","","","gen_hit_melee","","","","","","","","","","","","","","","","El_primo_kill","El_primo_lead","El_primo_start","El_primo_ulti","El_primo_hurt","El_primo_die","El_primo_atk","El_primo_start","2","50","50","80","80","","","35","116","170","245","90","150","235","245","","","","","-200","-450","-20","-20","145","Medium","-56","","","","400","","","TID_LUCHADOR","tank","","sc/hero_portraits.sc","hero_icon_primo","mastery_brawler_icon_primo","","footstep","40","250","130","","","1","3","2","","","","","","","","","","","240","","PrimpTutorial","","","","","","","","","2","5","2","","","","IS_LUCHADOR","","","900","5","","200","","","","LuchadorBuddy","140","",""
"Undertaker","11","","","mortis","UndertakerWeapon","UndertakerUlti","","","","","855","4000","","","","","","","","","","","","","","","","","12","","","","","85","134","30","","","5","20","5","Hero","","","","UndertakerDefault","MasteryUndertaker","TrophyRewardsUndertaker","","","","","","","","","","","","takedamage_gen","","death_undertaker","","true","gen_move_fx","reload_undertaker","no_ammo_shotgungirl","dry_fire_barkeep","","","dummy_effect","","","","","","","","","","","","","","","","Mortis_kill","Mortis_lead","Mortis_start","Mortis_ulti_vo","Mortis_hurt","Mortis_die","Mortis_atk_vo","Mortis_start","1","50","","80","80","","","35","130","200","285","95","170","260","260","","","","","-100","-100","","20","120","Medium","-59","","","","350","","","TID_UNDERTAKER","assassin","","sc/hero_portraits.sc","hero_icon_mortis","mastery_brawler_icon_mortis","","footstep","25","350","165","","","1","2","3","","","","","","","","","","","","","MortisTutorial","","","","","","","","","2","3","4","","","","HAS_LONGER_DASH","90","6","500","5","","150","","","","UndertakerBuddy","175","",""
"Crow","12","","","crow","CrowWeapon","CrowUlti","","","","","855","2800","","","","","","","","","","","","","","","","","12","","","","","94","75","55","","","5","20","5","Hero","","","","CrowDefault","MasteryCrow","TrophyRewardsCrow","","","","","","","","","","","","takedamage_gen","","death_crow","","true","gen_move_fx","reload_crow","no_ammo_shotgungirl","crow_dryfire","","","","","","","","","","","","","","","","","","","Crow_Kill","Crow_Lead","Crow_Start","Crow_Ulti","Crow_Takedamage","Crow_Die","","Crow_Start","","45","","80","80","","","35","116","230","350","90","210","290","300","","","","","","-50","-10","20","120","Medium","-41","","","","400","","","TID_CROW","assassin","","sc/hero_portraits.sc","hero_icon_crow","mastery_brawler_icon_crow","","footstep","20","200","100","","","2","1","3","","","","","","","","","","","","","CrowTutorial","","","","","","","","","5","1","3","","","","","","","","6","","","","","","CrowBuddy","70","",""
"DeadMariachi","13","","","poco","DeadMariachiWeapon","DeadMariachiUlti","","","","","750","4000","DeadMariachiProjectileHealPassive","","","","","","","","","","","","","","","","12","","","","","115","150","40","","","5","20","5","Hero","","","","DeadMariachiDefault","MasteryDeadMariachi","TrophyRewardsDeadMariachi","","","","","","","","","","","","takedamage_gen","","death_dead_mariachi","","true","gen_move_fx","reload_dead_mariachi","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","Poco_kill","Poco_lead","Poco_start","Poco_ulti_vo","Poco_hurt","Poco_die","","Poco_start","1","20","","80","80","","","35","116","200","300","85","180","265","260","","","","","-250","50","","60","120","Medium","-56","","","","","","","TID_DEAD_MARIACHI","support","","sc/hero_portraits.sc","hero_icon_poco","mastery_brawler_icon_poco","","footstep","25","250","100","","","1","3","2","","","","","","","","","","","","","PocoTutorial","","","","","","","","","2","3","4","true","","","","","","","","","","","","","DeadMariachiBuddy","120","",""
"BowDude","14","","","bo","BowDudeWeapon","BowDudeUlti","","","","","750","3800","","","","","","","","","","","","","","","","","12","","","","","67","93","40","","","5","20","5","Hero","","","","BowDudeDefault","MasteryBowDude","TrophyRewardsBowDude","","","","","","","","","","","","takedamage_gen","","death_bow_dude","","true","gen_move_fx","reload_bow_dude","no_ammo_shotgungirl","dry_fire_bowdude","","","","","","","","","","","","","","","","","","","Bo_kill","Bo_lead","Bo_start","Bo_ulti_vo","Bo_hurt","Bo_die","Bo_atk_vo","Bo_start","2","45","","80","80","","","35","106","170","245","75","165","220","220","","","-150","","200","-200","-40","","120","Medium","-56","","","","400","","","TID_BOW_DUDE","controller","","sc/hero_portraits.sc","hero_icon_bo","mastery_brawler_icon_bo","","footstep","30","300","100","true","","1","2","3","","","","","","","","","","","","","BoTutorial","","","","","","","","","3","2","4","","","","","","","","4","","","","","","BowDudeBuddy","","",""
"Sniper","15","","","piper","SniperWeapon","SniperUlti","","","","","750","2800","","","","","","","","","","","","","","","","","12","","","","","93","90","35","","","5","20","5","Hero","","","","SniperDefault","MasterySniper","TrophyRewardsSniper","","","","","","","","","","","","takedamage_gen","","death_sniper","","true","gen_move_fx","reload_sniper","no_ammo_shotgungirl","minig_dryfire","","","","","","","","","","","","","","","","","","","Piper_Kill","Piper_Lead","Piper_Start","Piper_Ulti","Piper_Takedamage","Piper_Die","","Piper_Start","","45","","80","80","","","35","116","200","320","90","190","260","270","","","","","-100","-180","","","120","Medium","-46","","","","450","","","TID_SNIPER","marksman","","sc/hero_portraits.sc","hero_icon_piper","mastery_brawler_icon_piper","100","footstep","25","400","160","","","2","3","1","","","","","","","","","","","","","PiperTutorial","","","","","","","","","5","1","3","","","","IS_SNIPER","","","","8","","","","","","","140","","R_elbow_s_hc"
"MinigunDude","16","","","pam","MinigunDudeWeapon","MinigunDudeUlti","","","","","750","5000","","","","","","","","","","","","","","","","","12","","","","","90","130","30","","","5","20","5","Hero","","","","MinigunDudeDefault","MasteryMinigunDude","TrophyRewardsMinigunDude","","","","","","","","","","","","takedamage_gen","","death_minigun","","true","gen_move_fx","reload_minigun","no_ammo_shotgungirl","minig_dryfire","","","","","","","","","","","","","","","","","","","Pam_kill","Pam_lead","Pam_start","Pam_ulti","Pam_hurt","Pam_die","","Pam_start","2","40","","80","80","","","35","106","170","245","75","150","220","220","true","","-500","","","-50","-80","","145","Medium","-59","","","","450","","","TID_MINIGUN_DUDE","support","","sc/hero_portraits.sc","hero_icon_mj","mastery_brawler_icon_pam","400","footstep","30","400","130","","","1","3","2","","","","","","","","","","","","","PamTutorial","","","","","","","","","2","4","3","","","","","","","500","","","","","","","","","","gun_s"
"BlackHole","17","","","tara","BlackHoleWeapon","BlackHoleUlti","","BlackHolePet","","","750","3300","","","","","","","","","","","","","","","","","12","","","","","70","122","50","","","5","20","5","Hero","","","","BlackholeDefault","MasteryBlackHole","TrophyRewardsBlackHole","","","","","","","","","","","","takedamage_gen","","death_blackhole","","true","gen_move_fx","reload_blackhole","no_ammo_shotgungirl","mystic_dryfire","","","","","","","","","","","","","","","","","","","Tara_kill_vo","Tara_lead_vo","Tara_start_vo","","Tara_hurt_vo","Tara_die_vo","","Tara_start_vo","","50","","80","80","","","35","120","210","300","90","175","270","290","","","","","-150","-350","-20","30","120","Medium","-59","","","","450","","","TID_BLACK_HOLE","damage_dealer","","sc/hero_portraits.sc","hero_icon_taro","mastery_brawler_icon_tara","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","","","TaraTutorial","","","","","","","","","2","2","5","","","","","","","","4","","","","","","","","",""
"BarrelBot","18","","","darryl","BarrelBotWeapon","BarrelBotUlti","","","","","800","5500","","","","","","","","","","","","","","","","","12","","","2","","85","55","30","100","","5","20","5","Hero","","","","BarrelbotDefault","MasteryBarrelBot","TrophyRewardsBarrelBot","","","","","","","","","","","","takedamage_gen","","death_barrel_bot","","true","gen_move_fx","reload_barrel_bot","no_ammo_shotgungirl","dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","","Darryl_Kill_VO","Darryl_Lead_VO","Darryl_Start_VO","Darryl_Ulti_VO","Darryl_Hurt_VO","Darryl_Die_VO","","Darryl_Start_VO","4","50","","80","80","","","35","116","190","257","80","175","230","230","","","","","-150","","","80","145","Medium","-48","","","","450","","","TID_BARREL_BOT","tank","","sc/hero_portraits.sc","hero_icon_barrelbot","mastery_brawler_icon_darryl","600","footstep","40","300","130","","","1","2","3","","","","","","","","","","132","","","DarrylTutorial","","","","","","","","","3","4","2","","","","SHIELD_FOR_ROLL","","","900","5","","","","","","","125","",""
"ArtilleryDude","19","","","penny","ArtilleryDudeWeapon","ArtilleryDudeUlti","","","","","750","3500","","","","","","","","","","","","","","","","","12","","","","","89","100","30","","","5","20","5","Hero","","","","ArtilleryGalDefault","MasteryArtilleryDude","TrophyRewardsArtilleryDude","","","","","","","","","","","","takedamage_gen","","death_artillery_dude","","true","gen_move_fx","reload_artillery_dude","no_ammo_shotgungirl","dry_fire_mechanic","","","","","","","","","","","","","","","","","","","Penny_kill","Penny_lead","Penny_start","Penny_ulti","Penny_takedamage","Penny_die","","Penny_start","","35","","80","80","","","35","110","190","290","80","150","260","270","","","","","","150","-80","60","120","Medium","-45","","","","400","","","TID_ARTILLERY_DUDE","controller","","sc/hero_portraits.sc","hero_icon_penny","mastery_brawler_icon_penny","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","","","PennyTutorial","","","","","","","","","3","2","4","","","","","","","350","","6","150","","","","","120","",""
"HammerDude","20","","","frank","HammerDudeWeapon","HammerDudeUlti","","","","","800","6800","","","","","","","","","","","","","","","","","12","","","","","120","120","30","","","5","20","5","Hero","","","","FrankDefault","MasteryHammerDude","TrophyRewardsHammerDude","","","","","","","","","","","","takedamage_gen","","death_hammer_dude","","true","gen_move_fx","","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","Frank_vo","2","75","","80","80","","","35","110","150","240","80","150","230","230","","","","","","-200","","","145","Medium","-60","","","","100","","","TID_HAMMER_DUDE","tank","","sc/hero_portraits.sc","hero_icon_frank","mastery_brawler_icon_frank","","footstep","40","250","130","","","1","3","2","","","","","","","","","","","240","","FrankTutorial","","","","","","","","","2","5","2","","","","IS_HAMMER_DUDE","","","850","","","","","","","HammerDudeBuddy","125","",""
